context: The Third Plate response:	One
context: The Third Seat\Megishima Tosuke\High School Division, 3rd Year\High School Division, 3rd Year\Tsukasa\Eishi\And of course Soma-kun went right up to the A-team of upperclassmen...\I want to join the Elite Ten right now. response:	Would anyone be willing to accept a Shokugeki challenge from me?
context: Megishima Tosuke\High School Division, 3rd Year\High School Division, 3rd Year\Tsukasa\Eishi\And of course Soma-kun went right up to the A-team of upperclassmen...\I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me? response:	Hey, Yukihira!
context: High School Division, 3rd Year\High School Division, 3rd Year\Tsukasa\Eishi\And of course Soma-kun went right up to the A-team of upperclassmen...\I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me?\Hey, Yukihira! response:	Well, I sure got turned down pretty quick.
context: High School Division, 3rd Year\Tsukasa\Eishi\And of course Soma-kun went right up to the A-team of upperclassmen...\I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me?\Hey, Yukihira!\Well, I sure got turned down pretty quick. response:	That was a downer.
context: Tsukasa\Eishi\And of course Soma-kun went right up to the A-team of upperclassmen...\I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me?\Hey, Yukihira!\Well, I sure got turned down pretty quick.\That was a downer. response:	Yeah...
context: Eishi\And of course Soma-kun went right up to the A-team of upperclassmen...\I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me?\Hey, Yukihira!\Well, I sure got turned down pretty quick.\That was a downer.\Yeah... response:	It almost gave me a heart attack.
context: And of course Soma-kun went right up to the A-team of upperclassmen...\I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me?\Hey, Yukihira!\Well, I sure got turned down pretty quick.\That was a downer.\Yeah...\It almost gave me a heart attack. response:	I should've waited until everyone relaxed a bit, I guess.
context: I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me?\Hey, Yukihira!\Well, I sure got turned down pretty quick.\That was a downer.\Yeah...\It almost gave me a heart attack.\I should've waited until everyone relaxed a bit, I guess. response:	I don't think that was the problem...
context: Would anyone be willing to accept a Shokugeki challenge from me?\Hey, Yukihira!\Well, I sure got turned down pretty quick.\That was a downer.\Yeah...\It almost gave me a heart attack.\I should've waited until everyone relaxed a bit, I guess.\I don't think that was the problem... response:	I still get chills thinking about it.
context: Hey, Yukihira!\Well, I sure got turned down pretty quick.\That was a downer.\Yeah...\It almost gave me a heart attack.\I should've waited until everyone relaxed a bit, I guess.\I don't think that was the problem...\I still get chills thinking about it. response:	The Totsuki Elite Ten were amazing people.
context: Well, I sure got turned down pretty quick.\That was a downer.\Yeah...\It almost gave me a heart attack.\I should've waited until everyone relaxed a bit, I guess.\I don't think that was the problem...\I still get chills thinking about it.\The Totsuki Elite Ten were amazing people. response:	The cake by the fourth seat, Akanegakubo-senpai, was also...
context: That was a downer.\Yeah...\It almost gave me a heart attack.\I should've waited until everyone relaxed a bit, I guess.\I don't think that was the problem...\I still get chills thinking about it.\The Totsuki Elite Ten were amazing people.\The cake by the fourth seat, Akanegakubo-senpai, was also... response:	Yeah, that was pretty amazing stuff.
context: Yeah...\It almost gave me a heart attack.\I should've waited until everyone relaxed a bit, I guess.\I don't think that was the problem...\I still get chills thinking about it.\The Totsuki Elite Ten were amazing people.\The cake by the fourth seat, Akanegakubo-senpai, was also...\Yeah, that was pretty amazing stuff. response:	I got a pretty strong message about how amazing the Elite Ten are.
context: It almost gave me a heart attack.\I should've waited until everyone relaxed a bit, I guess.\I don't think that was the problem...\I still get chills thinking about it.\The Totsuki Elite Ten were amazing people.\The cake by the fourth seat, Akanegakubo-senpai, was also...\Yeah, that was pretty amazing stuff.\I got a pretty strong message about how amazing the Elite Ten are. response:	I hope we've helped you understand.
context: I should've waited until everyone relaxed a bit, I guess.\I don't think that was the problem...\I still get chills thinking about it.\The Totsuki Elite Ten were amazing people.\The cake by the fourth seat, Akanegakubo-senpai, was also...\Yeah, that was pretty amazing stuff.\I got a pretty strong message about how amazing the Elite Ten are.\I hope we've helped you understand. response:	There is a profound difference between the abilities of
context: I don't think that was the problem...\I still get chills thinking about it.\The Totsuki Elite Ten were amazing people.\The cake by the fourth seat, Akanegakubo-senpai, was also...\Yeah, that was pretty amazing stuff.\I got a pretty strong message about how amazing the Elite Ten are.\I hope we've helped you understand.\There is a profound difference between the abilities of response:	those who are the Elite Ten and those who are not.
context: I still get chills thinking about it.\The Totsuki Elite Ten were amazing people.\The cake by the fourth seat, Akanegakubo-senpai, was also...\Yeah, that was pretty amazing stuff.\I got a pretty strong message about how amazing the Elite Ten are.\I hope we've helped you understand.\There is a profound difference between the abilities of\those who are the Elite Ten and those who are not. response:	So yeah, that's how it is.
context: The Totsuki Elite Ten were amazing people.\The cake by the fourth seat, Akanegakubo-senpai, was also...\Yeah, that was pretty amazing stuff.\I got a pretty strong message about how amazing the Elite Ten are.\I hope we've helped you understand.\There is a profound difference between the abilities of\those who are the Elite Ten and those who are not.\So yeah, that's how it is. response:	I think you've figured out the nuances of things, at least a little,
context: The cake by the fourth seat, Akanegakubo-senpai, was also...\Yeah, that was pretty amazing stuff.\I got a pretty strong message about how amazing the Elite Ten are.\I hope we've helped you understand.\There is a profound difference between the abilities of\those who are the Elite Ten and those who are not.\So yeah, that's how it is.\I think you've figured out the nuances of things, at least a little, response:	but we really, seriously, and absolutely don't have any time to waste on you guys.
context: Yeah, that was pretty amazing stuff.\I got a pretty strong message about how amazing the Elite Ten are.\I hope we've helped you understand.\There is a profound difference between the abilities of\those who are the Elite Ten and those who are not.\So yeah, that's how it is.\I think you've figured out the nuances of things, at least a little,\but we really, seriously, and absolutely don't have any time to waste on you guys. response:	But, well, I guess...
context: I got a pretty strong message about how amazing the Elite Ten are.\I hope we've helped you understand.\There is a profound difference between the abilities of\those who are the Elite Ten and those who are not.\So yeah, that's how it is.\I think you've figured out the nuances of things, at least a little,\but we really, seriously, and absolutely don't have any time to waste on you guys.\But, well, I guess... response:	If, for example, you guys have anything anything at all
context: I hope we've helped you understand.\There is a profound difference between the abilities of\those who are the Elite Ten and those who are not.\So yeah, that's how it is.\I think you've figured out the nuances of things, at least a little,\but we really, seriously, and absolutely don't have any time to waste on you guys.\But, well, I guess...\If, for example, you guys have anything anything at all response:	cooking-wise that would let you guys win over me,
context: There is a profound difference between the abilities of\those who are the Elite Ten and those who are not.\So yeah, that's how it is.\I think you've figured out the nuances of things, at least a little,\but we really, seriously, and absolutely don't have any time to waste on you guys.\But, well, I guess...\If, for example, you guys have anything anything at all\cooking-wise that would let you guys win over me, response:	I guess I could accept a Shokugeki challenge.
context: those who are the Elite Ten and those who are not.\So yeah, that's how it is.\I think you've figured out the nuances of things, at least a little,\but we really, seriously, and absolutely don't have any time to waste on you guys.\But, well, I guess...\If, for example, you guys have anything anything at all\cooking-wise that would let you guys win over me,\I guess I could accept a Shokugeki challenge. response:	Their height.
context: So yeah, that's how it is.\I think you've figured out the nuances of things, at least a little,\but we really, seriously, and absolutely don't have any time to waste on you guys.\But, well, I guess...\If, for example, you guys have anything anything at all\cooking-wise that would let you guys win over me,\I guess I could accept a Shokugeki challenge.\Their height. response:	I said cooking-wise, bitch!
context: I think you've figured out the nuances of things, at least a little,\but we really, seriously, and absolutely don't have any time to waste on you guys.\But, well, I guess...\If, for example, you guys have anything anything at all\cooking-wise that would let you guys win over me,\I guess I could accept a Shokugeki challenge.\Their height.\I said cooking-wise, bitch! response:	Kuga-senpai said he's open to accepting a Shokugeki challenge,
context: but we really, seriously, and absolutely don't have any time to waste on you guys.\But, well, I guess...\If, for example, you guys have anything anything at all\cooking-wise that would let you guys win over me,\I guess I could accept a Shokugeki challenge.\Their height.\I said cooking-wise, bitch!\Kuga-senpai said he's open to accepting a Shokugeki challenge, response:	but the conditions are pretty steep if I need something I can top him on.
context: But, well, I guess...\If, for example, you guys have anything anything at all\cooking-wise that would let you guys win over me,\I guess I could accept a Shokugeki challenge.\Their height.\I said cooking-wise, bitch!\Kuga-senpai said he's open to accepting a Shokugeki challenge,\but the conditions are pretty steep if I need something I can top him on. response:	It's not like there are even other ways of competing with him.
context: If, for example, you guys have anything anything at all\cooking-wise that would let you guys win over me,\I guess I could accept a Shokugeki challenge.\Their height.\I said cooking-wise, bitch!\Kuga-senpai said he's open to accepting a Shokugeki challenge,\but the conditions are pretty steep if I need something I can top him on.\It's not like there are even other ways of competing with him. response:	You're right.
context: cooking-wise that would let you guys win over me,\I guess I could accept a Shokugeki challenge.\Their height.\I said cooking-wise, bitch!\Kuga-senpai said he's open to accepting a Shokugeki challenge,\but the conditions are pretty steep if I need something I can top him on.\It's not like there are even other ways of competing with him.\You're right. response:	Since he's a second-year, we'd rarely be in the same cooking classes, too.
context: I guess I could accept a Shokugeki challenge.\Their height.\I said cooking-wise, bitch!\Kuga-senpai said he's open to accepting a Shokugeki challenge,\but the conditions are pretty steep if I need something I can top him on.\It's not like there are even other ways of competing with him.\You're right.\Since he's a second-year, we'd rarely be in the same cooking classes, too. response:	Huh?
context: Their height.\I said cooking-wise, bitch!\Kuga-senpai said he's open to accepting a Shokugeki challenge,\but the conditions are pretty steep if I need something I can top him on.\It's not like there are even other ways of competing with him.\You're right.\Since he's a second-year, we'd rarely be in the same cooking classes, too.\Huh? response:	I thought you were against the whole idea of me
context: I said cooking-wise, bitch!\Kuga-senpai said he's open to accepting a Shokugeki challenge,\but the conditions are pretty steep if I need something I can top him on.\It's not like there are even other ways of competing with him.\You're right.\Since he's a second-year, we'd rarely be in the same cooking classes, too.\Huh?\I thought you were against the whole idea of me response:	challenging the Elite Ten to a Shokugeki, Tadokoro.
context: Kuga-senpai said he's open to accepting a Shokugeki challenge,\but the conditions are pretty steep if I need something I can top him on.\It's not like there are even other ways of competing with him.\You're right.\Since he's a second-year, we'd rarely be in the same cooking classes, too.\Huh?\I thought you were against the whole idea of me\challenging the Elite Ten to a Shokugeki, Tadokoro. response:	What?!
context: but the conditions are pretty steep if I need something I can top him on.\It's not like there are even other ways of competing with him.\You're right.\Since he's a second-year, we'd rarely be in the same cooking classes, too.\Huh?\I thought you were against the whole idea of me\challenging the Elite Ten to a Shokugeki, Tadokoro.\What?! response:	Y-Yeah.
context: It's not like there are even other ways of competing with him.\You're right.\Since he's a second-year, we'd rarely be in the same cooking classes, too.\Huh?\I thought you were against the whole idea of me\challenging the Elite Ten to a Shokugeki, Tadokoro.\What?!\Y-Yeah. response:	Of course, I wouldn't want you to get expelled or anything.
context: You're right.\Since he's a second-year, we'd rarely be in the same cooking classes, too.\Huh?\I thought you were against the whole idea of me\challenging the Elite Ten to a Shokugeki, Tadokoro.\What?!\Y-Yeah.\Of course, I wouldn't want you to get expelled or anything. response:	But Soma-kun, you're an amazing chef.
context: Since he's a second-year, we'd rarely be in the same cooking classes, too.\Huh?\I thought you were against the whole idea of me\challenging the Elite Ten to a Shokugeki, Tadokoro.\What?!\Y-Yeah.\Of course, I wouldn't want you to get expelled or anything.\But Soma-kun, you're an amazing chef. response:	They may be upperclassmen,
context: Huh?\I thought you were against the whole idea of me\challenging the Elite Ten to a Shokugeki, Tadokoro.\What?!\Y-Yeah.\Of course, I wouldn't want you to get expelled or anything.\But Soma-kun, you're an amazing chef.\They may be upperclassmen, response:	but I feel being spoken to that way must've been frustrating.
context: I thought you were against the whole idea of me\challenging the Elite Ten to a Shokugeki, Tadokoro.\What?!\Y-Yeah.\Of course, I wouldn't want you to get expelled or anything.\But Soma-kun, you're an amazing chef.\They may be upperclassmen,\but I feel being spoken to that way must've been frustrating. response:	Gotcha.
context: challenging the Elite Ten to a Shokugeki, Tadokoro.\What?!\Y-Yeah.\Of course, I wouldn't want you to get expelled or anything.\But Soma-kun, you're an amazing chef.\They may be upperclassmen,\but I feel being spoken to that way must've been frustrating.\Gotcha. response:	Thanks.
context: What?!\Y-Yeah.\Of course, I wouldn't want you to get expelled or anything.\But Soma-kun, you're an amazing chef.\They may be upperclassmen,\but I feel being spoken to that way must've been frustrating.\Gotcha.\Thanks. response:	That's a huge truck.
context: Y-Yeah.\Of course, I wouldn't want you to get expelled or anything.\But Soma-kun, you're an amazing chef.\They may be upperclassmen,\but I feel being spoken to that way must've been frustrating.\Gotcha.\Thanks.\That's a huge truck. response:	I wonder if they're building something again.
context: Of course, I wouldn't want you to get expelled or anything.\But Soma-kun, you're an amazing chef.\They may be upperclassmen,\but I feel being spoken to that way must've been frustrating.\Gotcha.\Thanks.\That's a huge truck.\I wonder if they're building something again. response:	Oh, right.
context: But Soma-kun, you're an amazing chef.\They may be upperclassmen,\but I feel being spoken to that way must've been frustrating.\Gotcha.\Thanks.\That's a huge truck.\I wonder if they're building something again.\Oh, right. response:	It's almost time to prep.
context: They may be upperclassmen,\but I feel being spoken to that way must've been frustrating.\Gotcha.\Thanks.\That's a huge truck.\I wonder if they're building something again.\Oh, right.\It's almost time to prep. response:	Prep?
context: but I feel being spoken to that way must've been frustrating.\Gotcha.\Thanks.\That's a huge truck.\I wonder if they're building something again.\Oh, right.\It's almost time to prep.\Prep? response:	Yeah.
context: Gotcha.\Thanks.\That's a huge truck.\I wonder if they're building something again.\Oh, right.\It's almost time to prep.\Prep?\Yeah. response:	Every year, we have an event to celebrate the end of autumn.
context: Thanks.\That's a huge truck.\I wonder if they're building something again.\Oh, right.\It's almost time to prep.\Prep?\Yeah.\Every year, we have an event to celebrate the end of autumn. response:	It's Totsuki Academy's school festival.
context: That's a huge truck.\I wonder if they're building something again.\Oh, right.\It's almost time to prep.\Prep?\Yeah.\Every year, we have an event to celebrate the end of autumn.\It's Totsuki Academy's school festival. response:	School festival?
context: I wonder if they're building something again.\Oh, right.\It's almost time to prep.\Prep?\Yeah.\Every year, we have an event to celebrate the end of autumn.\It's Totsuki Academy's school festival.\School festival? response:	Yeah, it's called the Moon Festival.
context: Oh, right.\It's almost time to prep.\Prep?\Yeah.\Every year, we have an event to celebrate the end of autumn.\It's Totsuki Academy's school festival.\School festival?\Yeah, it's called the Moon Festival. response:	If you sign up,
context: It's almost time to prep.\Prep?\Yeah.\Every year, we have an event to celebrate the end of autumn.\It's Totsuki Academy's school festival.\School festival?\Yeah, it's called the Moon Festival.\If you sign up, response:	you can set up a food booth as an individual or as a group participant.
context: Prep?\Yeah.\Every year, we have an event to celebrate the end of autumn.\It's Totsuki Academy's school festival.\School festival?\Yeah, it's called the Moon Festival.\If you sign up,\you can set up a food booth as an individual or as a group participant. response:	Uh, Soma-kun?
context: Yeah.\Every year, we have an event to celebrate the end of autumn.\It's Totsuki Academy's school festival.\School festival?\Yeah, it's called the Moon Festival.\If you sign up,\you can set up a food booth as an individual or as a group participant.\Uh, Soma-kun? response:	That's it, Tadokoro!
context: Every year, we have an event to celebrate the end of autumn.\It's Totsuki Academy's school festival.\School festival?\Yeah, it's called the Moon Festival.\If you sign up,\you can set up a food booth as an individual or as a group participant.\Uh, Soma-kun?\That's it, Tadokoro! response:	Food Wars
context: It's Totsuki Academy's school festival.\School festival?\Yeah, it's called the Moon Festival.\If you sign up,\you can set up a food booth as an individual or as a group participant.\Uh, Soma-kun?\That's it, Tadokoro!\Food Wars response:	The Third Plate
context: School festival?\Yeah, it's called the Moon Festival.\If you sign up,\you can set up a food booth as an individual or as a group participant.\Uh, Soma-kun?\That's it, Tadokoro!\Food Wars\The Third Plate response:	Challenging the Elite Ten
context: Yeah, it's called the Moon Festival.\If you sign up,\you can set up a food booth as an individual or as a group participant.\Uh, Soma-kun?\That's it, Tadokoro!\Food Wars\The Third Plate\Challenging the Elite Ten response:	What do you wanna do for lunch?
context: If you sign up,\you can set up a food booth as an individual or as a group participant.\Uh, Soma-kun?\That's it, Tadokoro!\Food Wars\The Third Plate\Challenging the Elite Ten\What do you wanna do for lunch? response:	Um...
context: you can set up a food booth as an individual or as a group participant.\Uh, Soma-kun?\That's it, Tadokoro!\Food Wars\The Third Plate\Challenging the Elite Ten\What do you wanna do for lunch?\Um... response:	The 92nd Moon Festival
context: Uh, Soma-kun?\That's it, Tadokoro!\Food Wars\The Third Plate\Challenging the Elite Ten\What do you wanna do for lunch?\Um...\The 92nd Moon Festival response:	Participation Guide
context: That's it, Tadokoro!\Food Wars\The Third Plate\Challenging the Elite Ten\What do you wanna do for lunch?\Um...\The 92nd Moon Festival\Participation Guide response:	So the Moon Festival goes on for five days.
context: Food Wars\The Third Plate\Challenging the Elite Ten\What do you wanna do for lunch?\Um...\The 92nd Moon Festival\Participation Guide\So the Moon Festival goes on for five days. response:	They announce booth sales every day, huh.
context: The Third Plate\Challenging the Elite Ten\What do you wanna do for lunch?\Um...\The 92nd Moon Festival\Participation Guide\So the Moon Festival goes on for five days.\They announce booth sales every day, huh. response:	This is sounding more and more like it.
context: Challenging the Elite Ten\What do you wanna do for lunch?\Um...\The 92nd Moon Festival\Participation Guide\So the Moon Festival goes on for five days.\They announce booth sales every day, huh.\This is sounding more and more like it. response:	Oh, hey, Nakiri!
context: What do you wanna do for lunch?\Um...\The 92nd Moon Festival\Participation Guide\So the Moon Festival goes on for five days.\They announce booth sales every day, huh.\This is sounding more and more like it.\Oh, hey, Nakiri! response:	Yukihira-kun...
context: Um...\The 92nd Moon Festival\Participation Guide\So the Moon Festival goes on for five days.\They announce booth sales every day, huh.\This is sounding more and more like it.\Oh, hey, Nakiri!\Yukihira-kun... response:	What a coincidence, huh?
context: The 92nd Moon Festival\Participation Guide\So the Moon Festival goes on for five days.\They announce booth sales every day, huh.\This is sounding more and more like it.\Oh, hey, Nakiri!\Yukihira-kun...\What a coincidence, huh? response:	What class did you just come from?
context: Participation Guide\So the Moon Festival goes on for five days.\They announce booth sales every day, huh.\This is sounding more and more like it.\Oh, hey, Nakiri!\Yukihira-kun...\What a coincidence, huh?\What class did you just come from? response:	I've told you several times that I don't want you starting up conversations with me!
context: So the Moon Festival goes on for five days.\They announce booth sales every day, huh.\This is sounding more and more like it.\Oh, hey, Nakiri!\Yukihira-kun...\What a coincidence, huh?\What class did you just come from?\I've told you several times that I don't want you starting up conversations with me! response:	Wh-Why isn't Hisako here right now?
context: They announce booth sales every day, huh.\This is sounding more and more like it.\Oh, hey, Nakiri!\Yukihira-kun...\What a coincidence, huh?\What class did you just come from?\I've told you several times that I don't want you starting up conversations with me!\Wh-Why isn't Hisako here right now? response:	By the way, are you also going to set up a booth?
context: This is sounding more and more like it.\Oh, hey, Nakiri!\Yukihira-kun...\What a coincidence, huh?\What class did you just come from?\I've told you several times that I don't want you starting up conversations with me!\Wh-Why isn't Hisako here right now?\By the way, are you also going to set up a booth? response:	Are you referring to the Moon Festival?
context: Oh, hey, Nakiri!\Yukihira-kun...\What a coincidence, huh?\What class did you just come from?\I've told you several times that I don't want you starting up conversations with me!\Wh-Why isn't Hisako here right now?\By the way, are you also going to set up a booth?\Are you referring to the Moon Festival? response:	Of course I am.
context: Yukihira-kun...\What a coincidence, huh?\What class did you just come from?\I've told you several times that I don't want you starting up conversations with me!\Wh-Why isn't Hisako here right now?\By the way, are you also going to set up a booth?\Are you referring to the Moon Festival?\Of course I am. response:	The Elite Ten's booths are the main attraction at the event every year.
