context: You've got plenty blooming lately right in your own garden. response:	Oh, there's much more to it than being in full bloom.
context: The Trapnest members play this game every night?\I'm beginning to think that Shichi Narabe is a really cool game.\And a game Ren's excited about, saying he won't lose to anyone.\Is it fun? That Shichi Narabe?\Huh? You don't know it?\How can you live life without running into Shichi Narabe at some point?\I'd like to know too, Shin.\So do I. response:	Teach me how to play Shichi Narabe. I'm getting tired of Mahjongg.
context: I'm beginning to think that Shichi Narabe is a really cool game.\And a game Ren's excited about, saying he won't lose to anyone.\Is it fun? That Shichi Narabe?\Huh? You don't know it?\How can you live life without running into Shichi Narabe at some point?\I'd like to know too, Shin.\So do I.\Teach me how to play Shichi Narabe. I'm getting tired of Mahjongg. response:	Forget it! I've had enough of Shichi Narabe!
context: And a game Ren's excited about, saying he won't lose to anyone.\Is it fun? That Shichi Narabe?\Huh? You don't know it?\How can you live life without running into Shichi Narabe at some point?\I'd like to know too, Shin.\So do I.\Teach me how to play Shichi Narabe. I'm getting tired of Mahjongg.\Forget it! I've had enough of Shichi Narabe! response:	Hey Shin, what sorta life experience
context: Is it fun? That Shichi Narabe?\Huh? You don't know it?\How can you live life without running into Shichi Narabe at some point?\I'd like to know too, Shin.\So do I.\Teach me how to play Shichi Narabe. I'm getting tired of Mahjongg.\Forget it! I've had enough of Shichi Narabe!\Hey Shin, what sorta life experience response:	have you had to be able to easily mingle with any group of people?
context: Huh? You don't know it?\How can you live life without running into Shichi Narabe at some point?\I'd like to know too, Shin.\So do I.\Teach me how to play Shichi Narabe. I'm getting tired of Mahjongg.\Forget it! I've had enough of Shichi Narabe!\Hey Shin, what sorta life experience\have you had to be able to easily mingle with any group of people? response:	He's already talking casually with them. He's really something.
context: How can you live life without running into Shichi Narabe at some point?\I'd like to know too, Shin.\So do I.\Teach me how to play Shichi Narabe. I'm getting tired of Mahjongg.\Forget it! I've had enough of Shichi Narabe!\Hey Shin, what sorta life experience\have you had to be able to easily mingle with any group of people?\He's already talking casually with them. He's really something. response:	Shin, if you're tired of Mahjongg, switch with me.
context: I'd like to know too, Shin.\So do I.\Teach me how to play Shichi Narabe. I'm getting tired of Mahjongg.\Forget it! I've had enough of Shichi Narabe!\Hey Shin, what sorta life experience\have you had to be able to easily mingle with any group of people?\He's already talking casually with them. He's really something.\Shin, if you're tired of Mahjongg, switch with me. response:	I'll switch with you. Where's the toilet?
context: So do I.\Teach me how to play Shichi Narabe. I'm getting tired of Mahjongg.\Forget it! I've had enough of Shichi Narabe!\Hey Shin, what sorta life experience\have you had to be able to easily mingle with any group of people?\He's already talking casually with them. He's really something.\Shin, if you're tired of Mahjongg, switch with me.\I'll switch with you. Where's the toilet? response:	Over there.
context: Teach me how to play Shichi Narabe. I'm getting tired of Mahjongg.\Forget it! I've had enough of Shichi Narabe!\Hey Shin, what sorta life experience\have you had to be able to easily mingle with any group of people?\He's already talking casually with them. He's really something.\Shin, if you're tired of Mahjongg, switch with me.\I'll switch with you. Where's the toilet?\Over there. response:	So even Takumi goes to the toilet! I'm surprised by the most trivial things.
context: Forget it! I've had enough of Shichi Narabe!\Hey Shin, what sorta life experience\have you had to be able to easily mingle with any group of people?\He's already talking casually with them. He's really something.\Shin, if you're tired of Mahjongg, switch with me.\I'll switch with you. Where's the toilet?\Over there.\So even Takumi goes to the toilet! I'm surprised by the most trivial things. response:	Oh, no. There's something wrong with me.
context: Hey Shin, what sorta life experience\have you had to be able to easily mingle with any group of people?\He's already talking casually with them. He's really something.\Shin, if you're tired of Mahjongg, switch with me.\I'll switch with you. Where's the toilet?\Over there.\So even Takumi goes to the toilet! I'm surprised by the most trivial things.\Oh, no. There's something wrong with me. response:	In person, Ren and Takumi were a lot different from what I had imagined.
context: have you had to be able to easily mingle with any group of people?\He's already talking casually with them. He's really something.\Shin, if you're tired of Mahjongg, switch with me.\I'll switch with you. Where's the toilet?\Over there.\So even Takumi goes to the toilet! I'm surprised by the most trivial things.\Oh, no. There's something wrong with me.\In person, Ren and Takumi were a lot different from what I had imagined. response:	Trapnest hardly appears on TV,
context: He's already talking casually with them. He's really something.\Shin, if you're tired of Mahjongg, switch with me.\I'll switch with you. Where's the toilet?\Over there.\So even Takumi goes to the toilet! I'm surprised by the most trivial things.\Oh, no. There's something wrong with me.\In person, Ren and Takumi were a lot different from what I had imagined.\Trapnest hardly appears on TV, response:	so I could only judge them from their songs and looks.
context: Shin, if you're tired of Mahjongg, switch with me.\I'll switch with you. Where's the toilet?\Over there.\So even Takumi goes to the toilet! I'm surprised by the most trivial things.\Oh, no. There's something wrong with me.\In person, Ren and Takumi were a lot different from what I had imagined.\Trapnest hardly appears on TV,\so I could only judge them from their songs and looks. response:	I had assumed them to be a lot more laid back and cool.
context: I'll switch with you. Where's the toilet?\Over there.\So even Takumi goes to the toilet! I'm surprised by the most trivial things.\Oh, no. There's something wrong with me.\In person, Ren and Takumi were a lot different from what I had imagined.\Trapnest hardly appears on TV,\so I could only judge them from their songs and looks.\I had assumed them to be a lot more laid back and cool. response:	Especially Takumi. He's the band leader
context: Over there.\So even Takumi goes to the toilet! I'm surprised by the most trivial things.\Oh, no. There's something wrong with me.\In person, Ren and Takumi were a lot different from what I had imagined.\Trapnest hardly appears on TV,\so I could only judge them from their songs and looks.\I had assumed them to be a lot more laid back and cool.\Especially Takumi. He's the band leader response:	and he's so serious and composed in interviews.
context: So even Takumi goes to the toilet! I'm surprised by the most trivial things.\Oh, no. There's something wrong with me.\In person, Ren and Takumi were a lot different from what I had imagined.\Trapnest hardly appears on TV,\so I could only judge them from their songs and looks.\I had assumed them to be a lot more laid back and cool.\Especially Takumi. He's the band leader\and he's so serious and composed in interviews. response:	How can I put it... I had created this character
context: Oh, no. There's something wrong with me.\In person, Ren and Takumi were a lot different from what I had imagined.\Trapnest hardly appears on TV,\so I could only judge them from their songs and looks.\I had assumed them to be a lot more laid back and cool.\Especially Takumi. He's the band leader\and he's so serious and composed in interviews.\How can I put it... I had created this character response:	who was calm and composed based on what I assumed of him.
context: In person, Ren and Takumi were a lot different from what I had imagined.\Trapnest hardly appears on TV,\so I could only judge them from their songs and looks.\I had assumed them to be a lot more laid back and cool.\Especially Takumi. He's the band leader\and he's so serious and composed in interviews.\How can I put it... I had created this character\who was calm and composed based on what I assumed of him. response:	But he's more like a friendly older brother.
context: Trapnest hardly appears on TV,\so I could only judge them from their songs and looks.\I had assumed them to be a lot more laid back and cool.\Especially Takumi. He's the band leader\and he's so serious and composed in interviews.\How can I put it... I had created this character\who was calm and composed based on what I assumed of him.\But he's more like a friendly older brother. response:	These tomatoes are really delicious.
context: so I could only judge them from their songs and looks.\I had assumed them to be a lot more laid back and cool.\Especially Takumi. He's the band leader\and he's so serious and composed in interviews.\How can I put it... I had created this character\who was calm and composed based on what I assumed of him.\But he's more like a friendly older brother.\These tomatoes are really delicious. response:	Where did you get them from?
context: I had assumed them to be a lot more laid back and cool.\Especially Takumi. He's the band leader\and he's so serious and composed in interviews.\How can I put it... I had created this character\who was calm and composed based on what I assumed of him.\But he's more like a friendly older brother.\These tomatoes are really delicious.\Where did you get them from? response:	J-Jun-chan's... ah, my friend's family grows them. She gave them to me.
context: Especially Takumi. He's the band leader\and he's so serious and composed in interviews.\How can I put it... I had created this character\who was calm and composed based on what I assumed of him.\But he's more like a friendly older brother.\These tomatoes are really delicious.\Where did you get them from?\J-Jun-chan's... ah, my friend's family grows them. She gave them to me. response:	Oh? That's nice.
context: and he's so serious and composed in interviews.\How can I put it... I had created this character\who was calm and composed based on what I assumed of him.\But he's more like a friendly older brother.\These tomatoes are really delicious.\Where did you get them from?\J-Jun-chan's... ah, my friend's family grows them. She gave them to me.\Oh? That's nice. response:	Tomatoes. Takumi likes tomatoes.
context: How can I put it... I had created this character\who was calm and composed based on what I assumed of him.\But he's more like a friendly older brother.\These tomatoes are really delicious.\Where did you get them from?\J-Jun-chan's... ah, my friend's family grows them. She gave them to me.\Oh? That's nice.\Tomatoes. Takumi likes tomatoes. response:	Would you like to take some with you? There's lots more.
context: who was calm and composed based on what I assumed of him.\But he's more like a friendly older brother.\These tomatoes are really delicious.\Where did you get them from?\J-Jun-chan's... ah, my friend's family grows them. She gave them to me.\Oh? That's nice.\Tomatoes. Takumi likes tomatoes.\Would you like to take some with you? There's lots more. response:	Hmm...
context: But he's more like a friendly older brother.\These tomatoes are really delicious.\Where did you get them from?\J-Jun-chan's... ah, my friend's family grows them. She gave them to me.\Oh? That's nice.\Tomatoes. Takumi likes tomatoes.\Would you like to take some with you? There's lots more.\Hmm... response:	I'd love to but I can't. We're back on tour starting the day after tomorrow.
context: These tomatoes are really delicious.\Where did you get them from?\J-Jun-chan's... ah, my friend's family grows them. She gave them to me.\Oh? That's nice.\Tomatoes. Takumi likes tomatoes.\Would you like to take some with you? There's lots more.\Hmm...\I'd love to but I can't. We're back on tour starting the day after tomorrow. response:	Oh yeah. The tour.
context: Where did you get them from?\J-Jun-chan's... ah, my friend's family grows them. She gave them to me.\Oh? That's nice.\Tomatoes. Takumi likes tomatoes.\Would you like to take some with you? There's lots more.\Hmm...\I'd love to but I can't. We're back on tour starting the day after tomorrow.\Oh yeah. The tour. response:	That live concert was really great.
context: J-Jun-chan's... ah, my friend's family grows them. She gave them to me.\Oh? That's nice.\Tomatoes. Takumi likes tomatoes.\Would you like to take some with you? There's lots more.\Hmm...\I'd love to but I can't. We're back on tour starting the day after tomorrow.\Oh yeah. The tour.\That live concert was really great. response:	I'm rooting for you. I wish you the best of luck.
context: Oh? That's nice.\Tomatoes. Takumi likes tomatoes.\Would you like to take some with you? There's lots more.\Hmm...\I'd love to but I can't. We're back on tour starting the day after tomorrow.\Oh yeah. The tour.\That live concert was really great.\I'm rooting for you. I wish you the best of luck. response:	So cool! He really is so totally cool in person.
context: Tomatoes. Takumi likes tomatoes.\Would you like to take some with you? There's lots more.\Hmm...\I'd love to but I can't. We're back on tour starting the day after tomorrow.\Oh yeah. The tour.\That live concert was really great.\I'm rooting for you. I wish you the best of luck.\So cool! He really is so totally cool in person. response:	What can I do? I can't take this. My body's frozen.
context: Would you like to take some with you? There's lots more.\Hmm...\I'd love to but I can't. We're back on tour starting the day after tomorrow.\Oh yeah. The tour.\That live concert was really great.\I'm rooting for you. I wish you the best of luck.\So cool! He really is so totally cool in person.\What can I do? I can't take this. My body's frozen. response:	- It must be Yasu. - He's finally here.
context: Hmm...\I'd love to but I can't. We're back on tour starting the day after tomorrow.\Oh yeah. The tour.\That live concert was really great.\I'm rooting for you. I wish you the best of luck.\So cool! He really is so totally cool in person.\What can I do? I can't take this. My body's frozen.\- It must be Yasu. - He's finally here. response:	- What took him? - Hachiko, get the door.
context: I'd love to but I can't. We're back on tour starting the day after tomorrow.\Oh yeah. The tour.\That live concert was really great.\I'm rooting for you. I wish you the best of luck.\So cool! He really is so totally cool in person.\What can I do? I can't take this. My body's frozen.\- It must be Yasu. - He's finally here.\- What took him? - Hachiko, get the door. response:	I'll go.
context: Oh yeah. The tour.\That live concert was really great.\I'm rooting for you. I wish you the best of luck.\So cool! He really is so totally cool in person.\What can I do? I can't take this. My body's frozen.\- It must be Yasu. - He's finally here.\- What took him? - Hachiko, get the door.\I'll go. response:	Yasu, long time no see. How've you been?
context: That live concert was really great.\I'm rooting for you. I wish you the best of luck.\So cool! He really is so totally cool in person.\What can I do? I can't take this. My body's frozen.\- It must be Yasu. - He's finally here.\- What took him? - Hachiko, get the door.\I'll go.\Yasu, long time no see. How've you been? response:	Takumi, what are you doing here?
context: I'm rooting for you. I wish you the best of luck.\So cool! He really is so totally cool in person.\What can I do? I can't take this. My body's frozen.\- It must be Yasu. - He's finally here.\- What took him? - Hachiko, get the door.\I'll go.\Yasu, long time no see. How've you been?\Takumi, what are you doing here? response:	Classmates?
context: So cool! He really is so totally cool in person.\What can I do? I can't take this. My body's frozen.\- It must be Yasu. - He's finally here.\- What took him? - Hachiko, get the door.\I'll go.\Yasu, long time no see. How've you been?\Takumi, what are you doing here?\Classmates? response:	Yeah, we went to the same junior high school.
context: What can I do? I can't take this. My body's frozen.\- It must be Yasu. - He's finally here.\- What took him? - Hachiko, get the door.\I'll go.\Yasu, long time no see. How've you been?\Takumi, what are you doing here?\Classmates?\Yeah, we went to the same junior high school. response:	Although we really weren't that close. I didn't even wanna get close to him.
context: - It must be Yasu. - He's finally here.\- What took him? - Hachiko, get the door.\I'll go.\Yasu, long time no see. How've you been?\Takumi, what are you doing here?\Classmates?\Yeah, we went to the same junior high school.\Although we really weren't that close. I didn't even wanna get close to him. response:	- What? - I never knew that either.
context: - What took him? - Hachiko, get the door.\I'll go.\Yasu, long time no see. How've you been?\Takumi, what are you doing here?\Classmates?\Yeah, we went to the same junior high school.\Although we really weren't that close. I didn't even wanna get close to him.\- What? - I never knew that either. response:	You'd always do stuff that raised the question,
context: I'll go.\Yasu, long time no see. How've you been?\Takumi, what are you doing here?\Classmates?\Yeah, we went to the same junior high school.\Although we really weren't that close. I didn't even wanna get close to him.\- What? - I never knew that either.\You'd always do stuff that raised the question, response:	As a human being, should you be doing that?
context: Yasu, long time no see. How've you been?\Takumi, what are you doing here?\Classmates?\Yeah, we went to the same junior high school.\Although we really weren't that close. I didn't even wanna get close to him.\- What? - I never knew that either.\You'd always do stuff that raised the question,\As a human being, should you be doing that? response:	It's amazing you never got sent to juvenile prison.
context: Takumi, what are you doing here?\Classmates?\Yeah, we went to the same junior high school.\Although we really weren't that close. I didn't even wanna get close to him.\- What? - I never knew that either.\You'd always do stuff that raised the question,\As a human being, should you be doing that?\It's amazing you never got sent to juvenile prison. response:	Unlike you, I'm a delicate person.
context: Classmates?\Yeah, we went to the same junior high school.\Although we really weren't that close. I didn't even wanna get close to him.\- What? - I never knew that either.\You'd always do stuff that raised the question,\As a human being, should you be doing that?\It's amazing you never got sent to juvenile prison.\Unlike you, I'm a delicate person. response:	Things were hard for me during my childhood.
context: Yeah, we went to the same junior high school.\Although we really weren't that close. I didn't even wanna get close to him.\- What? - I never knew that either.\You'd always do stuff that raised the question,\As a human being, should you be doing that?\It's amazing you never got sent to juvenile prison.\Unlike you, I'm a delicate person.\Things were hard for me during my childhood. response:	Then we went to different high schools and started our own bands.
context: Although we really weren't that close. I didn't even wanna get close to him.\- What? - I never knew that either.\You'd always do stuff that raised the question,\As a human being, should you be doing that?\It's amazing you never got sent to juvenile prison.\Unlike you, I'm a delicate person.\Things were hard for me during my childhood.\Then we went to different high schools and started our own bands. response:	We'd meet at band competitions,
context: - What? - I never knew that either.\You'd always do stuff that raised the question,\As a human being, should you be doing that?\It's amazing you never got sent to juvenile prison.\Unlike you, I'm a delicate person.\Things were hard for me during my childhood.\Then we went to different high schools and started our own bands.\We'd meet at band competitions, response:	and it's only after that, that we became friends.
context: You'd always do stuff that raised the question,\As a human being, should you be doing that?\It's amazing you never got sent to juvenile prison.\Unlike you, I'm a delicate person.\Things were hard for me during my childhood.\Then we went to different high schools and started our own bands.\We'd meet at band competitions,\and it's only after that, that we became friends. response:	It's a small town, after all. Not only at concerts,
context: As a human being, should you be doing that?\It's amazing you never got sent to juvenile prison.\Unlike you, I'm a delicate person.\Things were hard for me during my childhood.\Then we went to different high schools and started our own bands.\We'd meet at band competitions,\and it's only after that, that we became friends.\It's a small town, after all. Not only at concerts, response:	but we'd even bump into each other at music studios.
context: It's amazing you never got sent to juvenile prison.\Unlike you, I'm a delicate person.\Things were hard for me during my childhood.\Then we went to different high schools and started our own bands.\We'd meet at band competitions,\and it's only after that, that we became friends.\It's a small town, after all. Not only at concerts,\but we'd even bump into each other at music studios. response:	Around then I used to frequent live performances,
context: Unlike you, I'm a delicate person.\Things were hard for me during my childhood.\Then we went to different high schools and started our own bands.\We'd meet at band competitions,\and it's only after that, that we became friends.\It's a small town, after all. Not only at concerts,\but we'd even bump into each other at music studios.\Around then I used to frequent live performances, response:	but I'd say Trapnest left the strongest impression!
context: Things were hard for me during my childhood.\Then we went to different high schools and started our own bands.\We'd meet at band competitions,\and it's only after that, that we became friends.\It's a small town, after all. Not only at concerts,\but we'd even bump into each other at music studios.\Around then I used to frequent live performances,\but I'd say Trapnest left the strongest impression! response:	I was especially impressed with the superb female singer!
context: Then we went to different high schools and started our own bands.\We'd meet at band competitions,\and it's only after that, that we became friends.\It's a small town, after all. Not only at concerts,\but we'd even bump into each other at music studios.\Around then I used to frequent live performances,\but I'd say Trapnest left the strongest impression!\I was especially impressed with the superb female singer! response:	- Just the singer? - No!
context: We'd meet at band competitions,\and it's only after that, that we became friends.\It's a small town, after all. Not only at concerts,\but we'd even bump into each other at music studios.\Around then I used to frequent live performances,\but I'd say Trapnest left the strongest impression!\I was especially impressed with the superb female singer!\- Just the singer? - No! response:	The instrumentals too, of course.
context: and it's only after that, that we became friends.\It's a small town, after all. Not only at concerts,\but we'd even bump into each other at music studios.\Around then I used to frequent live performances,\but I'd say Trapnest left the strongest impression!\I was especially impressed with the superb female singer!\- Just the singer? - No!\The instrumentals too, of course. response:	Watch out, Nobu. Takumi can become violent.
context: It's a small town, after all. Not only at concerts,\but we'd even bump into each other at music studios.\Around then I used to frequent live performances,\but I'd say Trapnest left the strongest impression!\I was especially impressed with the superb female singer!\- Just the singer? - No!\The instrumentals too, of course.\Watch out, Nobu. Takumi can become violent. response:	So Nobu's a big fan of Reira.
context: but we'd even bump into each other at music studios.\Around then I used to frequent live performances,\but I'd say Trapnest left the strongest impression!\I was especially impressed with the superb female singer!\- Just the singer? - No!\The instrumentals too, of course.\Watch out, Nobu. Takumi can become violent.\So Nobu's a big fan of Reira. response:	Oh, really? Then should I ask Reira to come?
context: Around then I used to frequent live performances,\but I'd say Trapnest left the strongest impression!\I was especially impressed with the superb female singer!\- Just the singer? - No!\The instrumentals too, of course.\Watch out, Nobu. Takumi can become violent.\So Nobu's a big fan of Reira.\Oh, really? Then should I ask Reira to come? response:	Huh?!
context: but I'd say Trapnest left the strongest impression!\I was especially impressed with the superb female singer!\- Just the singer? - No!\The instrumentals too, of course.\Watch out, Nobu. Takumi can become violent.\So Nobu's a big fan of Reira.\Oh, really? Then should I ask Reira to come?\Huh?! response:	I'll give her a call.
context: I was especially impressed with the superb female singer!\- Just the singer? - No!\The instrumentals too, of course.\Watch out, Nobu. Takumi can become violent.\So Nobu's a big fan of Reira.\Oh, really? Then should I ask Reira to come?\Huh?!\I'll give her a call. response:	N-No, but I'll get really nervous around her.
context: - Just the singer? - No!\The instrumentals too, of course.\Watch out, Nobu. Takumi can become violent.\So Nobu's a big fan of Reira.\Oh, really? Then should I ask Reira to come?\Huh?!\I'll give her a call.\N-No, but I'll get really nervous around her. response:	Besides, she doesn't know how to play mahjongg.
context: The instrumentals too, of course.\Watch out, Nobu. Takumi can become violent.\So Nobu's a big fan of Reira.\Oh, really? Then should I ask Reira to come?\Huh?!\I'll give her a call.\N-No, but I'll get really nervous around her.\Besides, she doesn't know how to play mahjongg. response:	Don't call her.
context: Watch out, Nobu. Takumi can become violent.\So Nobu's a big fan of Reira.\Oh, really? Then should I ask Reira to come?\Huh?!\I'll give her a call.\N-No, but I'll get really nervous around her.\Besides, she doesn't know how to play mahjongg.\Don't call her. response:	Who cares if she doesn't play mahjongg? I'd love to meet Reira.
