context: Pre! Preparation! response:	I'm not strong
context: P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff response:	I'm only worrying about things that don't matter
context: P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter response:	How does it feel? It feels like that
context: If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that response:	You're gentle and sincere yet eccentric
context: I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric response:	I pretend to be strong all over and compete against you
context: What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you response:	Just by being honest, it's so stimulating and I feel dizzy
context: But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy response:	I get hurt, I hurt you, in a preparation of pure feelings
context: Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings response:	In my head, there's always a pre-parade of pure feelings all by myself
context: Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself response:	ba ni ra
context: I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra response:	With vanilla salt
context: How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt response:	vanilla
context: You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla response:	If it's just sweet
context: I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet response:	Then let's put salt on
context: Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on response:	Because I want you to know more about me
context: I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me response:	More than anyone else, I want to bare my self
context: In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self response:	But I can't do it, I've got nothing for experience
context: ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience response:	It's too frustrating
context: With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating response:	But a love that's just sweet
context: vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet response:	Is slightly different from what I'm seeking
context: If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking response:	If I'm told it's white
context: Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white response:	I'd say it's black
context: Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black response:	I can't be honest
context: More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest response:	I say one thing but do another
context: But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another response:	If I'm told, I love you
context: It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you response:	I'd say, I hate you
context: But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you response:	I'm happy, but what am I saying?
context: Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying? response:	Like putting salt
context: If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt response:	Into sweet vanilla...
context: I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla... response:	Fluffy bangs give a gentle expression
context: I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Fluffy bangs give a gentle expression response:	Gently capture women's hearts
context: I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Fluffy bangs give a gentle expression\Gently capture women's hearts response:	Mould
context: If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Fluffy bangs give a gentle expression\Gently capture women's hearts\Mould response:	Tiger And Dragon
context: I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Fluffy bangs give a gentle expression\Gently capture women's hearts\Mould\Tiger And Dragon response:	HERE
context: I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Fluffy bangs give a gentle expression\Gently capture women's hearts\Mould\Tiger And Dragon\HERE response:	Lost and Found
context: Like putting salt\Into sweet vanilla...\Fluffy bangs give a gentle expression\Gently capture women's hearts\Mould\Tiger And Dragon\HERE\Lost and Found response:	Oohashi High School
context: Into sweet vanilla...\Fluffy bangs give a gentle expression\Gently capture women's hearts\Mould\Tiger And Dragon\HERE\Lost and Found\Oohashi High School response:	Oohashi High School Opening Ceremony
context: Fluffy bangs give a gentle expression\Gently capture women's hearts\Mould\Tiger And Dragon\HERE\Lost and Found\Oohashi High School\Oohashi High School Opening Ceremony response:	Ferocity of a tiger
context: Gently capture women's hearts\Mould\Tiger And Dragon\HERE\Lost and Found\Oohashi High School\Oohashi High School Opening Ceremony\Ferocity of a tiger response:	But small
context: Mould\Tiger And Dragon\HERE\Lost and Found\Oohashi High School\Oohashi High School Opening Ceremony\Ferocity of a tiger\But small response:	Best Driving Collection -Spring-
context: Tiger And Dragon\HERE\Lost and Found\Oohashi High School\Oohashi High School Opening Ceremony\Ferocity of a tiger\But small\Best Driving Collection -Spring- response:	To Kitamura Yuusaku-sama
context: HERE\Lost and Found\Oohashi High School\Oohashi High School Opening Ceremony\Ferocity of a tiger\But small\Best Driving Collection -Spring-\To Kitamura Yuusaku-sama response:	To Kitamura Yuusaku-sama
context: Lost and Found\Oohashi High School\Oohashi High School Opening Ceremony\Ferocity of a tiger\But small\Best Driving Collection -Spring-\To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama response:	To Kitamura Yuusaku-sama
context: Oohashi High School\Oohashi High School Opening Ceremony\Ferocity of a tiger\But small\Best Driving Collection -Spring-\To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama response:	From Aisaka Taiga
context: Oohashi High School Opening Ceremony\Ferocity of a tiger\But small\Best Driving Collection -Spring-\To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama\From Aisaka Taiga response:	From Aisaka Taiga
context: Ferocity of a tiger\But small\Best Driving Collection -Spring-\To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama\From Aisaka Taiga\From Aisaka Taiga response:	From Aisaka Taiga
context: But small\Best Driving Collection -Spring-\To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama\From Aisaka Taiga\From Aisaka Taiga\From Aisaka Taiga response:	From Aisaka Taiga
context: Best Driving Collection -Spring-\To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama\From Aisaka Taiga\From Aisaka Taiga\From Aisaka Taiga\From Aisaka Taiga response:	Takasu Yasuko Professional Name: Mirano
context: To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama\From Aisaka Taiga\From Aisaka Taiga\From Aisaka Taiga\From Aisaka Taiga\Takasu Yasuko Professional Name: Mirano response:	Takasu Yasuko Professional Name: Mirano
context: To Kitamura Yuusaku-sama\To Kitamura Yuusaku-sama\From Aisaka Taiga\From Aisaka Taiga\From Aisaka Taiga\From Aisaka Taiga\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano response:	Takasu Yasuko Professional Name: Mirano
context: To Kitamura Yuusaku-sama\From Aisaka Taiga\From Aisaka Taiga\From Aisaka Taiga\From Aisaka Taiga\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano response:	Takasu Yasuko Professional Name: Mirano
context: From Aisaka Taiga\From Aisaka Taiga\From Aisaka Taiga\From Aisaka Taiga\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano response:	Takasu Yasuko Professional Name: Mirano
context: From Aisaka Taiga\From Aisaka Taiga\From Aisaka Taiga\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano response:	Takasu Yasuko Professional Name: Mirano
context: From Aisaka Taiga\From Aisaka Taiga\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano response:	Takasu Yasuko Professional Name: Mirano
context: From Aisaka Taiga\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano response:	Takasu Yasuko Professional Name: Mirano
context: Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano response:	Takasu Yasuko Professional Name: Mirano
context: Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano response:	At work
context: Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\At work response:	At work
context: Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\At work\At work response:	At work
context: Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\At work\At work\At work response:	At work
context: Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\At work\At work\At work\At work response:	At work
context: Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\At work\At work\At work\At work\At work response:	At work
context: Takasu Yasuko Professional Name: Mirano\Takasu Yasuko Professional Name: Mirano\At work\At work\At work\At work\At work\At work response:	At work
context: Takasu Yasuko Professional Name: Mirano\At work\At work\At work\At work\At work\At work\At work response:	Next Episode Preview
context: At work\At work\At work\At work\At work\At work\At work\Next Episode Preview response:	Ryuuji And Taiga
context: At work\At work\At work\At work\At work\At work\Next Episode Preview\Ryuuji And Taiga response:	There's something in this world that nobody has seen yet.
context: At work\At work\At work\At work\At work\Next Episode Preview\Ryuuji And Taiga\There's something in this world that nobody has seen yet. response:	This reeks...
context: At work\At work\At work\At work\Next Episode Preview\Ryuuji And Taiga\There's something in this world that nobody has seen yet.\This reeks... response:	What the hell? It's getting mouldy again.
context: At work\At work\At work\Next Episode Preview\Ryuuji And Taiga\There's something in this world that nobody has seen yet.\This reeks...\What the hell? It's getting mouldy again. response:	I only just cleaned it off, too.
context: At work\At work\Next Episode Preview\Ryuuji And Taiga\There's something in this world that nobody has seen yet.\This reeks...\What the hell? It's getting mouldy again.\I only just cleaned it off, too. response:	It's something gentle and very sweet...
context: At work\Next Episode Preview\Ryuuji And Taiga\There's something in this world that nobody has seen yet.\This reeks...\What the hell? It's getting mouldy again.\I only just cleaned it off, too.\It's something gentle and very sweet... response:	Where did I put that rag?
context: Next Episode Preview\Ryuuji And Taiga\There's something in this world that nobody has seen yet.\This reeks...\What the hell? It's getting mouldy again.\I only just cleaned it off, too.\It's something gentle and very sweet...\Where did I put that rag? response:	That's why the world has hidden it.
context: Ryuuji And Taiga\There's something in this world that nobody has seen yet.\This reeks...\What the hell? It's getting mouldy again.\I only just cleaned it off, too.\It's something gentle and very sweet...\Where did I put that rag?\That's why the world has hidden it. response:	To make sure that not just anyone can get their hands on it.
context: There's something in this world that nobody has seen yet.\This reeks...\What the hell? It's getting mouldy again.\I only just cleaned it off, too.\It's something gentle and very sweet...\Where did I put that rag?\That's why the world has hidden it.\To make sure that not just anyone can get their hands on it. response:	Shit, it's not coming off!
context: This reeks...\What the hell? It's getting mouldy again.\I only just cleaned it off, too.\It's something gentle and very sweet...\Where did I put that rag?\That's why the world has hidden it.\To make sure that not just anyone can get their hands on it.\Shit, it's not coming off! response:	But it's nothing a Takasu can't handle...
context: What the hell? It's getting mouldy again.\I only just cleaned it off, too.\It's something gentle and very sweet...\Where did I put that rag?\That's why the world has hidden it.\To make sure that not just anyone can get their hands on it.\Shit, it's not coming off!\But it's nothing a Takasu can't handle... response:	But at some point, someone will find it.
context: I only just cleaned it off, too.\It's something gentle and very sweet...\Where did I put that rag?\That's why the world has hidden it.\To make sure that not just anyone can get their hands on it.\Shit, it's not coming off!\But it's nothing a Takasu can't handle...\But at some point, someone will find it. response:	The one who is destined to do so will be able to find it.
context: It's something gentle and very sweet...\Where did I put that rag?\That's why the world has hidden it.\To make sure that not just anyone can get their hands on it.\Shit, it's not coming off!\But it's nothing a Takasu can't handle...\But at some point, someone will find it.\The one who is destined to do so will be able to find it. response:	That's just how it works.
context: Where did I put that rag?\That's why the world has hidden it.\To make sure that not just anyone can get their hands on it.\Shit, it's not coming off!\But it's nothing a Takasu can't handle...\But at some point, someone will find it.\The one who is destined to do so will be able to find it.\That's just how it works. response:	Eco, eco, eco, ecology.
context: That's why the world has hidden it.\To make sure that not just anyone can get their hands on it.\Shit, it's not coming off!\But it's nothing a Takasu can't handle...\But at some point, someone will find it.\The one who is destined to do so will be able to find it.\That's just how it works.\Eco, eco, eco, ecology. response:	Inko-chan, you're still asleep?
context: To make sure that not just anyone can get their hands on it.\Shit, it's not coming off!\But it's nothing a Takasu can't handle...\But at some point, someone will find it.\The one who is destined to do so will be able to find it.\That's just how it works.\Eco, eco, eco, ecology.\Inko-chan, you're still asleep? response:	It's morning already.
context: Shit, it's not coming off!\But it's nothing a Takasu can't handle...\But at some point, someone will find it.\The one who is destined to do so will be able to find it.\That's just how it works.\Eco, eco, eco, ecology.\Inko-chan, you're still asleep?\It's morning already. response:	I got you!
context: But it's nothing a Takasu can't handle...\But at some point, someone will find it.\The one who is destined to do so will be able to find it.\That's just how it works.\Eco, eco, eco, ecology.\Inko-chan, you're still asleep?\It's morning already.\I got you! response:	How cold of you, Ryuu-chan.
context: But at some point, someone will find it.\The one who is destined to do so will be able to find it.\That's just how it works.\Eco, eco, eco, ecology.\Inko-chan, you're still asleep?\It's morning already.\I got you!\How cold of you, Ryuu-chan. response:	I told you last night that I have school as of today, right?
context: The one who is destined to do so will be able to find it.\That's just how it works.\Eco, eco, eco, ecology.\Inko-chan, you're still asleep?\It's morning already.\I got you!\How cold of you, Ryuu-chan.\I told you last night that I have school as of today, right? response:	Oh, the opening ceremony.
context: That's just how it works.\Eco, eco, eco, ecology.\Inko-chan, you're still asleep?\It's morning already.\I got you!\How cold of you, Ryuu-chan.\I told you last night that I have school as of today, right?\Oh, the opening ceremony. response:	Congratulations on passing last year.
context: Eco, eco, eco, ecology.\Inko-chan, you're still asleep?\It's morning already.\I got you!\How cold of you, Ryuu-chan.\I told you last night that I have school as of today, right?\Oh, the opening ceremony.\Congratulations on passing last year. response:	Should you really be sarcastic about the fact that your son's moving on to a new school year?
context: Inko-chan, you're still asleep?\It's morning already.\I got you!\How cold of you, Ryuu-chan.\I told you last night that I have school as of today, right?\Oh, the opening ceremony.\Congratulations on passing last year.\Should you really be sarcastic about the fact that your son's moving on to a new school year? response:	Hey, the room is dark. Open the curtains!
context: It's morning already.\I got you!\How cold of you, Ryuu-chan.\I told you last night that I have school as of today, right?\Oh, the opening ceremony.\Congratulations on passing last year.\Should you really be sarcastic about the fact that your son's moving on to a new school year?\Hey, the room is dark. Open the curtains! response:	They're open.
context: I got you!\How cold of you, Ryuu-chan.\I told you last night that I have school as of today, right?\Oh, the opening ceremony.\Congratulations on passing last year.\Should you really be sarcastic about the fact that your son's moving on to a new school year?\Hey, the room is dark. Open the curtains!\They're open. response:	That's a huge apartment building.
context: How cold of you, Ryuu-chan.\I told you last night that I have school as of today, right?\Oh, the opening ceremony.\Congratulations on passing last year.\Should you really be sarcastic about the fact that your son's moving on to a new school year?\Hey, the room is dark. Open the curtains!\They're open.\That's a huge apartment building. response:	I wonder what kind of people live there.
context: I told you last night that I have school as of today, right?\Oh, the opening ceremony.\Congratulations on passing last year.\Should you really be sarcastic about the fact that your son's moving on to a new school year?\Hey, the room is dark. Open the curtains!\They're open.\That's a huge apartment building.\I wonder what kind of people live there. response:	After it was built, the sun stopped shining here, and our laundry doesn't dry well.
context: Oh, the opening ceremony.\Congratulations on passing last year.\Should you really be sarcastic about the fact that your son's moving on to a new school year?\Hey, the room is dark. Open the curtains!\They're open.\That's a huge apartment building.\I wonder what kind of people live there.\After it was built, the sun stopped shining here, and our laundry doesn't dry well. response:	Every morning there's mould, mould, and more mould -
context: Congratulations on passing last year.\Should you really be sarcastic about the fact that your son's moving on to a new school year?\Hey, the room is dark. Open the curtains!\They're open.\That's a huge apartment building.\I wonder what kind of people live there.\After it was built, the sun stopped shining here, and our laundry doesn't dry well.\Every morning there's mould, mould, and more mould - response:	That sharp look! You're looking more and more like your dad!
context: Should you really be sarcastic about the fact that your son's moving on to a new school year?\Hey, the room is dark. Open the curtains!\They're open.\That's a huge apartment building.\I wonder what kind of people live there.\After it was built, the sun stopped shining here, and our laundry doesn't dry well.\Every morning there's mould, mould, and more mould -\That sharp look! You're looking more and more like your dad! response:	Don't compare me to tha -
context: Hey, the room is dark. Open the curtains!\They're open.\That's a huge apartment building.\I wonder what kind of people live there.\After it was built, the sun stopped shining here, and our laundry doesn't dry well.\Every morning there's mould, mould, and more mould -\That sharp look! You're looking more and more like your dad!\Don't compare me to tha - response:	Oh, so cool! Even more like your dad!
context: They're open.\That's a huge apartment building.\I wonder what kind of people live there.\After it was built, the sun stopped shining here, and our laundry doesn't dry well.\Every morning there's mould, mould, and more mould -\That sharp look! You're looking more and more like your dad!\Don't compare me to tha -\Oh, so cool! Even more like your dad! response:	Are you leaving already? What about my breakfast?
context: That's a huge apartment building.\I wonder what kind of people live there.\After it was built, the sun stopped shining here, and our laundry doesn't dry well.\Every morning there's mould, mould, and more mould -\That sharp look! You're looking more and more like your dad!\Don't compare me to tha -\Oh, so cool! Even more like your dad!\Are you leaving already? What about my breakfast? response:	It's where it always is.
context: I wonder what kind of people live there.\After it was built, the sun stopped shining here, and our laundry doesn't dry well.\Every morning there's mould, mould, and more mould -\That sharp look! You're looking more and more like your dad!\Don't compare me to tha -\Oh, so cool! Even more like your dad!\Are you leaving already? What about my breakfast?\It's where it always is. response:	That was...
context: After it was built, the sun stopped shining here, and our laundry doesn't dry well.\Every morning there's mould, mould, and more mould -\That sharp look! You're looking more and more like your dad!\Don't compare me to tha -\Oh, so cool! Even more like your dad!\Are you leaving already? What about my breakfast?\It's where it always is.\That was... response:	That was the one thing I didn't want to hear.
context: Every morning there's mould, mould, and more mould -\That sharp look! You're looking more and more like your dad!\Don't compare me to tha -\Oh, so cool! Even more like your dad!\Are you leaving already? What about my breakfast?\It's where it always is.\That was...\That was the one thing I didn't want to hear. response:	It's because of this look in my eyes, which you always praise, that I...
context: That sharp look! You're looking more and more like your dad!\Don't compare me to tha -\Oh, so cool! Even more like your dad!\Are you leaving already? What about my breakfast?\It's where it always is.\That was...\That was the one thing I didn't want to hear.\It's because of this look in my eyes, which you always praise, that I... response:	Hey, wait up!
context: Don't compare me to tha -\Oh, so cool! Even more like your dad!\Are you leaving already? What about my breakfast?\It's where it always is.\That was...\That was the one thing I didn't want to hear.\It's because of this look in my eyes, which you always praise, that I...\Hey, wait up! response:	T-Takasu-kun!
context: Oh, so cool! Even more like your dad!\Are you leaving already? What about my breakfast?\It's where it always is.\That was...\That was the one thing I didn't want to hear.\It's because of this look in my eyes, which you always praise, that I...\Hey, wait up!\T-Takasu-kun! response:	What the hell are you doing?!
context: Are you leaving already? What about my breakfast?\It's where it always is.\That was...\That was the one thing I didn't want to hear.\It's because of this look in my eyes, which you always praise, that I...\Hey, wait up!\T-Takasu-kun!\What the hell are you doing?! response:	I didn't mean to!
context: It's where it always is.\That was...\That was the one thing I didn't want to hear.\It's because of this look in my eyes, which you always praise, that I...\Hey, wait up!\T-Takasu-kun!\What the hell are you doing?!\I didn't mean to! response:	Please accept this and spare us!
context: That was...\That was the one thing I didn't want to hear.\It's because of this look in my eyes, which you always praise, that I...\Hey, wait up!\T-Takasu-kun!\What the hell are you doing?!\I didn't mean to!\Please accept this and spare us! response:	What? Wh -
context: That was the one thing I didn't want to hear.\It's because of this look in my eyes, which you always praise, that I...\Hey, wait up!\T-Takasu-kun!\What the hell are you doing?!\I didn't mean to!\Please accept this and spare us!\What? Wh - response:	This is all we have! It's true!
