context: Everyone, brace yourselves and listen well! response:	I have an extremely important announcement to make.
context: Were you fooled by that dusty old fairy tale?\I was never asleep in the first place.\The man you see before you is the Black Wizard Zeref.\You were never asleep?!\I used my eye and saw you!\I saw you, not even able to defeat one of my servants!\Then I can skip to the chase.\That was what I was capable of... response:	You see, 400 years ago I saw countless wars of man... Countless deaths...
context: I was never asleep in the first place.\The man you see before you is the Black Wizard Zeref.\You were never asleep?!\I used my eye and saw you!\I saw you, not even able to defeat one of my servants!\Then I can skip to the chase.\That was what I was capable of...\You see, 400 years ago I saw countless wars of man... Countless deaths... response:	But, after a certain day, I learned the value of life.
context: The man you see before you is the Black Wizard Zeref.\You were never asleep?!\I used my eye and saw you!\I saw you, not even able to defeat one of my servants!\Then I can skip to the chase.\That was what I was capable of...\You see, 400 years ago I saw countless wars of man... Countless deaths...\But, after a certain day, I learned the value of life. response:	Ever since then, the more I feel the value of life,
context: You were never asleep?!\I used my eye and saw you!\I saw you, not even able to defeat one of my servants!\Then I can skip to the chase.\That was what I was capable of...\You see, 400 years ago I saw countless wars of man... Countless deaths...\But, after a certain day, I learned the value of life.\Ever since then, the more I feel the value of life, response:	the more my accursed body steals people's souls.
context: I used my eye and saw you!\I saw you, not even able to defeat one of my servants!\Then I can skip to the chase.\That was what I was capable of...\You see, 400 years ago I saw countless wars of man... Countless deaths...\But, after a certain day, I learned the value of life.\Ever since then, the more I feel the value of life,\the more my accursed body steals people's souls. response:	In order not to steal people's souls, I cannot forget the weight of a human life.
context: I saw you, not even able to defeat one of my servants!\Then I can skip to the chase.\That was what I was capable of...\You see, 400 years ago I saw countless wars of man... Countless deaths...\But, after a certain day, I learned the value of life.\Ever since then, the more I feel the value of life,\the more my accursed body steals people's souls.\In order not to steal people's souls, I cannot forget the weight of a human life. response:	I sidelined myself.
context: Then I can skip to the chase.\That was what I was capable of...\You see, 400 years ago I saw countless wars of man... Countless deaths...\But, after a certain day, I learned the value of life.\Ever since then, the more I feel the value of life,\the more my accursed body steals people's souls.\In order not to steal people's souls, I cannot forget the weight of a human life.\I sidelined myself. response:	You're saying you were fighting while valuing life?
context: That was what I was capable of...\You see, 400 years ago I saw countless wars of man... Countless deaths...\But, after a certain day, I learned the value of life.\Ever since then, the more I feel the value of life,\the more my accursed body steals people's souls.\In order not to steal people's souls, I cannot forget the weight of a human life.\I sidelined myself.\You're saying you were fighting while valuing life? response:	Yes... And because of that, I can't use my magic anywhere close to how I'd wish to...
context: You see, 400 years ago I saw countless wars of man... Countless deaths...\But, after a certain day, I learned the value of life.\Ever since then, the more I feel the value of life,\the more my accursed body steals people's souls.\In order not to steal people's souls, I cannot forget the weight of a human life.\I sidelined myself.\You're saying you were fighting while valuing life?\Yes... And because of that, I can't use my magic anywhere close to how I'd wish to... response:	But that all changes if I forget about the value of life.
context: But, after a certain day, I learned the value of life.\Ever since then, the more I feel the value of life,\the more my accursed body steals people's souls.\In order not to steal people's souls, I cannot forget the weight of a human life.\I sidelined myself.\You're saying you were fighting while valuing life?\Yes... And because of that, I can't use my magic anywhere close to how I'd wish to...\But that all changes if I forget about the value of life. response:	You were the people who pulled the trigger.
context: Ever since then, the more I feel the value of life,\the more my accursed body steals people's souls.\In order not to steal people's souls, I cannot forget the weight of a human life.\I sidelined myself.\You're saying you were fighting while valuing life?\Yes... And because of that, I can't use my magic anywhere close to how I'd wish to...\But that all changes if I forget about the value of life.\You were the people who pulled the trigger. response:	Acnologia will herald the end of an era.
context: the more my accursed body steals people's souls.\In order not to steal people's souls, I cannot forget the weight of a human life.\I sidelined myself.\You're saying you were fighting while valuing life?\Yes... And because of that, I can't use my magic anywhere close to how I'd wish to...\But that all changes if I forget about the value of life.\You were the people who pulled the trigger.\Acnologia will herald the end of an era. response:	Your evil deeds have summoned it.
context: In order not to steal people's souls, I cannot forget the weight of a human life.\I sidelined myself.\You're saying you were fighting while valuing life?\Yes... And because of that, I can't use my magic anywhere close to how I'd wish to...\But that all changes if I forget about the value of life.\You were the people who pulled the trigger.\Acnologia will herald the end of an era.\Your evil deeds have summoned it. response:	Acnologia?!
context: I sidelined myself.\You're saying you were fighting while valuing life?\Yes... And because of that, I can't use my magic anywhere close to how I'd wish to...\But that all changes if I forget about the value of life.\You were the people who pulled the trigger.\Acnologia will herald the end of an era.\Your evil deeds have summoned it.\Acnologia?! response:	What in the world are you talking about?
context: You're saying you were fighting while valuing life?\Yes... And because of that, I can't use my magic anywhere close to how I'd wish to...\But that all changes if I forget about the value of life.\You were the people who pulled the trigger.\Acnologia will herald the end of an era.\Your evil deeds have summoned it.\Acnologia?!\What in the world are you talking about? response:	You all shall be punished.
context: Yes... And because of that, I can't use my magic anywhere close to how I'd wish to...\But that all changes if I forget about the value of life.\You were the people who pulled the trigger.\Acnologia will herald the end of an era.\Your evil deeds have summoned it.\Acnologia?!\What in the world are you talking about?\You all shall be punished. response:	W-Wait!
context: But that all changes if I forget about the value of life.\You were the people who pulled the trigger.\Acnologia will herald the end of an era.\Your evil deeds have summoned it.\Acnologia?!\What in the world are you talking about?\You all shall be punished.\W-Wait! response:	I still have things I want to ask!
context: You were the people who pulled the trigger.\Acnologia will herald the end of an era.\Your evil deeds have summoned it.\Acnologia?!\What in the world are you talking about?\You all shall be punished.\W-Wait!\I still have things I want to ask! response:	Your first sin is summoning Acnologia!
context: Acnologia will herald the end of an era.\Your evil deeds have summoned it.\Acnologia?!\What in the world are you talking about?\You all shall be punished.\W-Wait!\I still have things I want to ask!\Your first sin is summoning Acnologia! response:	And your second sin...
context: Your evil deeds have summoned it.\Acnologia?!\What in the world are you talking about?\You all shall be punished.\W-Wait!\I still have things I want to ask!\Your first sin is summoning Acnologia!\And your second sin... response:	Repent.
context: Acnologia?!\What in the world are you talking about?\You all shall be punished.\W-Wait!\I still have things I want to ask!\Your first sin is summoning Acnologia!\And your second sin...\Repent. response:	Meldy...
context: What in the world are you talking about?\You all shall be punished.\W-Wait!\I still have things I want to ask!\Your first sin is summoning Acnologia!\And your second sin...\Repent.\Meldy... response:	You don't seem very cheerful...
context: You all shall be punished.\W-Wait!\I still have things I want to ask!\Your first sin is summoning Acnologia!\And your second sin...\Repent.\Meldy...\You don't seem very cheerful... response:	It might be difficult right now... But let's forget everything.
context: W-Wait!\I still have things I want to ask!\Your first sin is summoning Acnologia!\And your second sin...\Repent.\Meldy...\You don't seem very cheerful...\It might be difficult right now... But let's forget everything. response:	Forget about Grimoire Heart, and Zeref...
context: I still have things I want to ask!\Your first sin is summoning Acnologia!\And your second sin...\Repent.\Meldy...\You don't seem very cheerful...\It might be difficult right now... But let's forget everything.\Forget about Grimoire Heart, and Zeref... response:	Look, dolphins!
context: Your first sin is summoning Acnologia!\And your second sin...\Repent.\Meldy...\You don't seem very cheerful...\It might be difficult right now... But let's forget everything.\Forget about Grimoire Heart, and Zeref...\Look, dolphins! response:	Tell me, Ultear.
context: And your second sin...\Repent.\Meldy...\You don't seem very cheerful...\It might be difficult right now... But let's forget everything.\Forget about Grimoire Heart, and Zeref...\Look, dolphins!\Tell me, Ultear. response:	Is it true you were the one who destroyed my town, Ultear?
context: Repent.\Meldy...\You don't seem very cheerful...\It might be difficult right now... But let's forget everything.\Forget about Grimoire Heart, and Zeref...\Look, dolphins!\Tell me, Ultear.\Is it true you were the one who destroyed my town, Ultear? response:	My family... My friends...
context: Meldy...\You don't seem very cheerful...\It might be difficult right now... But let's forget everything.\Forget about Grimoire Heart, and Zeref...\Look, dolphins!\Tell me, Ultear.\Is it true you were the one who destroyed my town, Ultear?\My family... My friends... response:	You took them all, Ultear...
context: You don't seem very cheerful...\It might be difficult right now... But let's forget everything.\Forget about Grimoire Heart, and Zeref...\Look, dolphins!\Tell me, Ultear.\Is it true you were the one who destroyed my town, Ultear?\My family... My friends...\You took them all, Ultear... response:	That's right.
context: It might be difficult right now... But let's forget everything.\Forget about Grimoire Heart, and Zeref...\Look, dolphins!\Tell me, Ultear.\Is it true you were the one who destroyed my town, Ultear?\My family... My friends...\You took them all, Ultear...\That's right. response:	I was going to tell you everything, one day...
context: Forget about Grimoire Heart, and Zeref...\Look, dolphins!\Tell me, Ultear.\Is it true you were the one who destroyed my town, Ultear?\My family... My friends...\You took them all, Ultear...\That's right.\I was going to tell you everything, one day... response:	I thought that I was on just the first lap of my life.
context: Look, dolphins!\Tell me, Ultear.\Is it true you were the one who destroyed my town, Ultear?\My family... My friends...\You took them all, Ultear...\That's right.\I was going to tell you everything, one day...\I thought that I was on just the first lap of my life. response:	Then, when I went to the World of Great Magic
context: Tell me, Ultear.\Is it true you were the one who destroyed my town, Ultear?\My family... My friends...\You took them all, Ultear...\That's right.\I was going to tell you everything, one day...\I thought that I was on just the first lap of my life.\Then, when I went to the World of Great Magic response:	and perfected the Time Ark, I would start the second lap.
context: Is it true you were the one who destroyed my town, Ultear?\My family... My friends...\You took them all, Ultear...\That's right.\I was going to tell you everything, one day...\I thought that I was on just the first lap of my life.\Then, when I went to the World of Great Magic\and perfected the Time Ark, I would start the second lap. response:	I believed that I would redo everything that happened in the first lap...
context: My family... My friends...\You took them all, Ultear...\That's right.\I was going to tell you everything, one day...\I thought that I was on just the first lap of my life.\Then, when I went to the World of Great Magic\and perfected the Time Ark, I would start the second lap.\I believed that I would redo everything that happened in the first lap... response:	That's why I was able to do such horrible things, and stray so far from the path of humanity...
context: You took them all, Ultear...\That's right.\I was going to tell you everything, one day...\I thought that I was on just the first lap of my life.\Then, when I went to the World of Great Magic\and perfected the Time Ark, I would start the second lap.\I believed that I would redo everything that happened in the first lap...\That's why I was able to do such horrible things, and stray so far from the path of humanity... response:	The second lap would be my true life!
context: That's right.\I was going to tell you everything, one day...\I thought that I was on just the first lap of my life.\Then, when I went to the World of Great Magic\and perfected the Time Ark, I would start the second lap.\I believed that I would redo everything that happened in the first lap...\That's why I was able to do such horrible things, and stray so far from the path of humanity...\The second lap would be my true life! response:	Your true life!
context: I was going to tell you everything, one day...\I thought that I was on just the first lap of my life.\Then, when I went to the World of Great Magic\and perfected the Time Ark, I would start the second lap.\I believed that I would redo everything that happened in the first lap...\That's why I was able to do such horrible things, and stray so far from the path of humanity...\The second lap would be my true life!\Your true life! response:	The two of us would be happy...
context: I thought that I was on just the first lap of my life.\Then, when I went to the World of Great Magic\and perfected the Time Ark, I would start the second lap.\I believed that I would redo everything that happened in the first lap...\That's why I was able to do such horrible things, and stray so far from the path of humanity...\The second lap would be my true life!\Your true life!\The two of us would be happy... response:	It was all... for that.
context: Then, when I went to the World of Great Magic\and perfected the Time Ark, I would start the second lap.\I believed that I would redo everything that happened in the first lap...\That's why I was able to do such horrible things, and stray so far from the path of humanity...\The second lap would be my true life!\Your true life!\The two of us would be happy...\It was all... for that. response:	I know.
context: and perfected the Time Ark, I would start the second lap.\I believed that I would redo everything that happened in the first lap...\That's why I was able to do such horrible things, and stray so far from the path of humanity...\The second lap would be my true life!\Your true life!\The two of us would be happy...\It was all... for that.\I know. response:	It was all just what I planned.
context: I believed that I would redo everything that happened in the first lap...\That's why I was able to do such horrible things, and stray so far from the path of humanity...\The second lap would be my true life!\Your true life!\The two of us would be happy...\It was all... for that.\I know.\It was all just what I planned. response:	To other people, I'm a devil.
context: That's why I was able to do such horrible things, and stray so far from the path of humanity...\The second lap would be my true life!\Your true life!\The two of us would be happy...\It was all... for that.\I know.\It was all just what I planned.\To other people, I'm a devil. response:	Piling sins on top of sins, I'm a fool of a woman with delusions of a happy life...
context: The second lap would be my true life!\Your true life!\The two of us would be happy...\It was all... for that.\I know.\It was all just what I planned.\To other people, I'm a devil.\Piling sins on top of sins, I'm a fool of a woman with delusions of a happy life... response:	I'm not... going to ask you to forgive me.
context: Your true life!\The two of us would be happy...\It was all... for that.\I know.\It was all just what I planned.\To other people, I'm a devil.\Piling sins on top of sins, I'm a fool of a woman with delusions of a happy life...\I'm not... going to ask you to forgive me. response:	But, let me tell you that I'm sorry.
context: The two of us would be happy...\It was all... for that.\I know.\It was all just what I planned.\To other people, I'm a devil.\Piling sins on top of sins, I'm a fool of a woman with delusions of a happy life...\I'm not... going to ask you to forgive me.\But, let me tell you that I'm sorry. response:	Yeah... You must hate me enough to kill me.
context: It was all... for that.\I know.\It was all just what I planned.\To other people, I'm a devil.\Piling sins on top of sins, I'm a fool of a woman with delusions of a happy life...\I'm not... going to ask you to forgive me.\But, let me tell you that I'm sorry.\Yeah... You must hate me enough to kill me. response:	But...
context: I know.\It was all just what I planned.\To other people, I'm a devil.\Piling sins on top of sins, I'm a fool of a woman with delusions of a happy life...\I'm not... going to ask you to forgive me.\But, let me tell you that I'm sorry.\Yeah... You must hate me enough to kill me.\But... response:	Because, I'll disappear from this world...
context: It was all just what I planned.\To other people, I'm a devil.\Piling sins on top of sins, I'm a fool of a woman with delusions of a happy life...\I'm not... going to ask you to forgive me.\But, let me tell you that I'm sorry.\Yeah... You must hate me enough to kill me.\But...\Because, I'll disappear from this world... response:	Ultear!
context: To other people, I'm a devil.\Piling sins on top of sins, I'm a fool of a woman with delusions of a happy life...\I'm not... going to ask you to forgive me.\But, let me tell you that I'm sorry.\Yeah... You must hate me enough to kill me.\But...\Because, I'll disappear from this world...\Ultear! response:	You will find happiness... I'm sure you'll be happy...
context: Piling sins on top of sins, I'm a fool of a woman with delusions of a happy life...\I'm not... going to ask you to forgive me.\But, let me tell you that I'm sorry.\Yeah... You must hate me enough to kill me.\But...\Because, I'll disappear from this world...\Ultear!\You will find happiness... I'm sure you'll be happy... response:	I love you, Meldy...
context: I'm not... going to ask you to forgive me.\But, let me tell you that I'm sorry.\Yeah... You must hate me enough to kill me.\But...\Because, I'll disappear from this world...\Ultear!\You will find happiness... I'm sure you'll be happy...\I love you, Meldy... response:	Ultear!!
context: But, let me tell you that I'm sorry.\Yeah... You must hate me enough to kill me.\But...\Because, I'll disappear from this world...\Ultear!\You will find happiness... I'm sure you'll be happy...\I love you, Meldy...\Ultear!! response:	The sea...
context: Yeah... You must hate me enough to kill me.\But...\Because, I'll disappear from this world...\Ultear!\You will find happiness... I'm sure you'll be happy...\I love you, Meldy...\Ultear!!\The sea... response:	Inside of my mother.
context: But...\Because, I'll disappear from this world...\Ultear!\You will find happiness... I'm sure you'll be happy...\I love you, Meldy...\Ultear!!\The sea...\Inside of my mother. response:	A fitting place to meet my end.
context: Because, I'll disappear from this world...\Ultear!\You will find happiness... I'm sure you'll be happy...\I love you, Meldy...\Ultear!!\The sea...\Inside of my mother.\A fitting place to meet my end. response:	Meldy?
context: Ultear!\You will find happiness... I'm sure you'll be happy...\I love you, Meldy...\Ultear!!\The sea...\Inside of my mother.\A fitting place to meet my end.\Meldy? response:	Let's live.
context: You will find happiness... I'm sure you'll be happy...\I love you, Meldy...\Ultear!!\The sea...\Inside of my mother.\A fitting place to meet my end.\Meldy?\Let's live. response:	A Sense Link?!
context: I love you, Meldy...\Ultear!!\The sea...\Inside of my mother.\A fitting place to meet my end.\Meldy?\Let's live.\A Sense Link?! response:	I know all the sadness and pain you feel, Ultear!
context: Ultear!!\The sea...\Inside of my mother.\A fitting place to meet my end.\Meldy?\Let's live.\A Sense Link?!\I know all the sadness and pain you feel, Ultear! response:	You are the one who raised me, Ultear.
context: The sea...\Inside of my mother.\A fitting place to meet my end.\Meldy?\Let's live.\A Sense Link?!\I know all the sadness and pain you feel, Ultear!\You are the one who raised me, Ultear. response:	That isn't going to change!
context: Inside of my mother.\A fitting place to meet my end.\Meldy?\Let's live.\A Sense Link?!\I know all the sadness and pain you feel, Ultear!\You are the one who raised me, Ultear.\That isn't going to change! response:	I forgive you!
context: A fitting place to meet my end.\Meldy?\Let's live.\A Sense Link?!\I know all the sadness and pain you feel, Ultear!\You are the one who raised me, Ultear.\That isn't going to change!\I forgive you! response:	I forgive you, okay?!
context: Meldy?\Let's live.\A Sense Link?!\I know all the sadness and pain you feel, Ultear!\You are the one who raised me, Ultear.\That isn't going to change!\I forgive you!\I forgive you, okay?! response:	So never say anything like that again, understand?!
context: Let's live.\A Sense Link?!\I know all the sadness and pain you feel, Ultear!\You are the one who raised me, Ultear.\That isn't going to change!\I forgive you!\I forgive you, okay?!\So never say anything like that again, understand?! response:	Please, don't leave me alone!
context: A Sense Link?!\I know all the sadness and pain you feel, Ultear!\You are the one who raised me, Ultear.\That isn't going to change!\I forgive you!\I forgive you, okay?!\So never say anything like that again, understand?!\Please, don't leave me alone! response:	I love you! Let's live on, together!
context: I know all the sadness and pain you feel, Ultear!\You are the one who raised me, Ultear.\That isn't going to change!\I forgive you!\I forgive you, okay?!\So never say anything like that again, understand?!\Please, don't leave me alone!\I love you! Let's live on, together! response:	M-Master Hades is...
context: You are the one who raised me, Ultear.\That isn't going to change!\I forgive you!\I forgive you, okay?!\So never say anything like that again, understand?!\Please, don't leave me alone!\I love you! Let's live on, together!\M-Master Hades is... response:	D-D-D...
context: That isn't going to change!\I forgive you!\I forgive you, okay?!\So never say anything like that again, understand?!\Please, don't leave me alone!\I love you! Let's live on, together!\M-Master Hades is...\D-D-D... response:	Know your place, trash.
context: I forgive you!\I forgive you, okay?!\So never say anything like that again, understand?!\Please, don't leave me alone!\I love you! Let's live on, together!\M-Master Hades is...\D-D-D...\Know your place, trash. response:	Fall to the pits of hell.
context: I forgive you, okay?!\So never say anything like that again, understand?!\Please, don't leave me alone!\I love you! Let's live on, together!\M-Master Hades is...\D-D-D...\Know your place, trash.\Fall to the pits of hell. response:	It's here... Acnologia!
context: So never say anything like that again, understand?!\Please, don't leave me alone!\I love you! Let's live on, together!\M-Master Hades is...\D-D-D...\Know your place, trash.\Fall to the pits of hell.\It's here... Acnologia! response:	What?!
context: Please, don't leave me alone!\I love you! Let's live on, together!\M-Master Hades is...\D-D-D...\Know your place, trash.\Fall to the pits of hell.\It's here... Acnologia!\What?! response:	Like-I-said! The S Class Wizard Advancement Exam is on hold!
context: I love you! Let's live on, together!\M-Master Hades is...\D-D-D...\Know your place, trash.\Fall to the pits of hell.\It's here... Acnologia!\What?!\Like-I-said! The S Class Wizard Advancement Exam is on hold! response:	I can't accept that, Gramps!
context: M-Master Hades is...\D-D-D...\Know your place, trash.\Fall to the pits of hell.\It's here... Acnologia!\What?!\Like-I-said! The S Class Wizard Advancement Exam is on hold!\I can't accept that, Gramps! response:	Why is it on hold?
context: D-D-D...\Know your place, trash.\Fall to the pits of hell.\It's here... Acnologia!\What?!\Like-I-said! The S Class Wizard Advancement Exam is on hold!\I can't accept that, Gramps!\Why is it on hold? response:	Make me S Class, damn it!
context: Know your place, trash.\Fall to the pits of hell.\It's here... Acnologia!\What?!\Like-I-said! The S Class Wizard Advancement Exam is on hold!\I can't accept that, Gramps!\Why is it on hold?\Make me S Class, damn it! response:	You're not even a candidate! You mean Levy, got it?!
context: Fall to the pits of hell.\It's here... Acnologia!\What?!\Like-I-said! The S Class Wizard Advancement Exam is on hold!\I can't accept that, Gramps!\Why is it on hold?\Make me S Class, damn it!\You're not even a candidate! You mean Levy, got it?! response:	What else can I do?
context: It's here... Acnologia!\What?!\Like-I-said! The S Class Wizard Advancement Exam is on hold!\I can't accept that, Gramps!\Why is it on hold?\Make me S Class, damn it!\You're not even a candidate! You mean Levy, got it?!\What else can I do? response:	A lot's happened.
context: What?!\Like-I-said! The S Class Wizard Advancement Exam is on hold!\I can't accept that, Gramps!\Why is it on hold?\Make me S Class, damn it!\You're not even a candidate! You mean Levy, got it?!\What else can I do?\A lot's happened. response:	A member of the Magic Council infiltrated the candidates,
context: Like-I-said! The S Class Wizard Advancement Exam is on hold!\I can't accept that, Gramps!\Why is it on hold?\Make me S Class, damn it!\You're not even a candidate! You mean Levy, got it?!\What else can I do?\A lot's happened.\A member of the Magic Council infiltrated the candidates, response:	and Grimoire Heart disrupted everything...
context: I can't accept that, Gramps!\Why is it on hold?\Make me S Class, damn it!\You're not even a candidate! You mean Levy, got it?!\What else can I do?\A lot's happened.\A member of the Magic Council infiltrated the candidates,\and Grimoire Heart disrupted everything... response:	I guess we have no choice.
