context: What was that? response:	They're after the Aurora!
context: Light of Mana!\Light of Mana!\Light of Mana!\All bulkheads sealed.\Aurora submerged. Full speed ahead.\That's far enough.\Why are you doing this?\Aren't your friends on that ship? response:	Why are you attacking them?
context: Light of Mana!\Light of Mana!\All bulkheads sealed.\Aurora submerged. Full speed ahead.\That's far enough.\Why are you doing this?\Aren't your friends on that ship?\Why are you attacking them? response:	Retreat, Chris-chan.
context: Light of Mana!\All bulkheads sealed.\Aurora submerged. Full speed ahead.\That's far enough.\Why are you doing this?\Aren't your friends on that ship?\Why are you attacking them?\Retreat, Chris-chan. response:	Momoka.
context: All bulkheads sealed.\Aurora submerged. Full speed ahead.\That's far enough.\Why are you doing this?\Aren't your friends on that ship?\Why are you attacking them?\Retreat, Chris-chan.\Momoka. response:	This is attack formation Stealth Rose Triangle.
context: Aurora submerged. Full speed ahead.\That's far enough.\Why are you doing this?\Aren't your friends on that ship?\Why are you attacking them?\Retreat, Chris-chan.\Momoka.\This is attack formation Stealth Rose Triangle. response:	Salia...
context: That's far enough.\Why are you doing this?\Aren't your friends on that ship?\Why are you attacking them?\Retreat, Chris-chan.\Momoka.\This is attack formation Stealth Rose Triangle.\Salia... response:	Ange.
context: Why are you doing this?\Aren't your friends on that ship?\Why are you attacking them?\Retreat, Chris-chan.\Momoka.\This is attack formation Stealth Rose Triangle.\Salia...\Ange. response:	Goodbye.
context: Aren't your friends on that ship?\Why are you attacking them?\Retreat, Chris-chan.\Momoka.\This is attack formation Stealth Rose Triangle.\Salia...\Ange.\Goodbye. response:	Tuner of Time
context: Why are you attacking them?\Retreat, Chris-chan.\Momoka.\This is attack formation Stealth Rose Triangle.\Salia...\Ange.\Goodbye.\Tuner of Time response:	I messed up.
context: Retreat, Chris-chan.\Momoka.\This is attack formation Stealth Rose Triangle.\Salia...\Ange.\Goodbye.\Tuner of Time\I messed up. response:	I can't believe I let Salia get me.
context: Momoka.\This is attack formation Stealth Rose Triangle.\Salia...\Ange.\Goodbye.\Tuner of Time\I messed up.\I can't believe I let Salia get me. response:	They smell like the roses Mother used to grow.
context: This is attack formation Stealth Rose Triangle.\Salia...\Ange.\Goodbye.\Tuner of Time\I messed up.\I can't believe I let Salia get me.\They smell like the roses Mother used to grow. response:	If this is hell, then maybe it's not so bad.
context: Salia...\Ange.\Goodbye.\Tuner of Time\I messed up.\I can't believe I let Salia get me.\They smell like the roses Mother used to grow.\If this is hell, then maybe it's not so bad. response:	Wake up, Angelise-sama.
context: Ange.\Goodbye.\Tuner of Time\I messed up.\I can't believe I let Salia get me.\They smell like the roses Mother used to grow.\If this is hell, then maybe it's not so bad.\Wake up, Angelise-sama. response:	Good morning.
context: Goodbye.\Tuner of Time\I messed up.\I can't believe I let Salia get me.\They smell like the roses Mother used to grow.\If this is hell, then maybe it's not so bad.\Wake up, Angelise-sama.\Good morning. response:	Where am I?
context: Tuner of Time\I messed up.\I can't believe I let Salia get me.\They smell like the roses Mother used to grow.\If this is hell, then maybe it's not so bad.\Wake up, Angelise-sama.\Good morning.\Where am I? response:	Your room, Angelise-sama.
context: I messed up.\I can't believe I let Salia get me.\They smell like the roses Mother used to grow.\If this is hell, then maybe it's not so bad.\Wake up, Angelise-sama.\Good morning.\Where am I?\Your room, Angelise-sama. response:	My room? Where?
context: I can't believe I let Salia get me.\They smell like the roses Mother used to grow.\If this is hell, then maybe it's not so bad.\Wake up, Angelise-sama.\Good morning.\Where am I?\Your room, Angelise-sama.\My room? Where? response:	Arzenal?
context: They smell like the roses Mother used to grow.\If this is hell, then maybe it's not so bad.\Wake up, Angelise-sama.\Good morning.\Where am I?\Your room, Angelise-sama.\My room? Where?\Arzenal? response:	No.
context: If this is hell, then maybe it's not so bad.\Wake up, Angelise-sama.\Good morning.\Where am I?\Your room, Angelise-sama.\My room? Where?\Arzenal?\No. response:	Your real, true home.
context: Wake up, Angelise-sama.\Good morning.\Where am I?\Your room, Angelise-sama.\My room? Where?\Arzenal?\No.\Your real, true home. response:	It's well-cleaned and properly maintained.
context: Good morning.\Where am I?\Your room, Angelise-sama.\My room? Where?\Arzenal?\No.\Your real, true home.\It's well-cleaned and properly maintained. response:	Just as it was on the day you left.
context: Where am I?\Your room, Angelise-sama.\My room? Where?\Arzenal?\No.\Your real, true home.\It's well-cleaned and properly maintained.\Just as it was on the day you left. response:	Then we're in...
context: Your room, Angelise-sama.\My room? Where?\Arzenal?\No.\Your real, true home.\It's well-cleaned and properly maintained.\Just as it was on the day you left.\Then we're in... response:	Yes.
context: My room? Where?\Arzenal?\No.\Your real, true home.\It's well-cleaned and properly maintained.\Just as it was on the day you left.\Then we're in...\Yes. response:	The Empire of Misurugi.
context: Arzenal?\No.\Your real, true home.\It's well-cleaned and properly maintained.\Just as it was on the day you left.\Then we're in...\Yes.\The Empire of Misurugi. response:	Embryo...
context: No.\Your real, true home.\It's well-cleaned and properly maintained.\Just as it was on the day you left.\Then we're in...\Yes.\The Empire of Misurugi.\Embryo... response:	Real silk!
context: Your real, true home.\It's well-cleaned and properly maintained.\Just as it was on the day you left.\Then we're in...\Yes.\The Empire of Misurugi.\Embryo...\Real silk! response:	It's so soft!
context: It's well-cleaned and properly maintained.\Just as it was on the day you left.\Then we're in...\Yes.\The Empire of Misurugi.\Embryo...\Real silk!\It's so soft! response:	I can put my own clothes on.
context: Just as it was on the day you left.\Then we're in...\Yes.\The Empire of Misurugi.\Embryo...\Real silk!\It's so soft!\I can put my own clothes on. response:	You mustn't!
context: Then we're in...\Yes.\The Empire of Misurugi.\Embryo...\Real silk!\It's so soft!\I can put my own clothes on.\You mustn't! response:	You must allow me to take care of you while we're at the palace.
context: Yes.\The Empire of Misurugi.\Embryo...\Real silk!\It's so soft!\I can put my own clothes on.\You mustn't!\You must allow me to take care of you while we're at the palace. response:	Then hurry up.
context: The Empire of Misurugi.\Embryo...\Real silk!\It's so soft!\I can put my own clothes on.\You mustn't!\You must allow me to take care of you while we're at the palace.\Then hurry up. response:	It's getting cold.
context: Embryo...\Real silk!\It's so soft!\I can put my own clothes on.\You mustn't!\You must allow me to take care of you while we're at the palace.\Then hurry up.\It's getting cold. response:	Yes, ma'am.
context: Real silk!\It's so soft!\I can put my own clothes on.\You mustn't!\You must allow me to take care of you while we're at the palace.\Then hurry up.\It's getting cold.\Yes, ma'am. response:	I'm back again...
context: It's so soft!\I can put my own clothes on.\You mustn't!\You must allow me to take care of you while we're at the palace.\Then hurry up.\It's getting cold.\Yes, ma'am.\I'm back again... response:	But why did Salia bring us here?
context: I can put my own clothes on.\You mustn't!\You must allow me to take care of you while we're at the palace.\Then hurry up.\It's getting cold.\Yes, ma'am.\I'm back again...\But why did Salia bring us here? response:	I don't know.
context: You mustn't!\You must allow me to take care of you while we're at the palace.\Then hurry up.\It's getting cold.\Yes, ma'am.\I'm back again...\But why did Salia bring us here?\I don't know. response:	I was here when I woke up, too.
context: You must allow me to take care of you while we're at the palace.\Then hurry up.\It's getting cold.\Yes, ma'am.\I'm back again...\But why did Salia bring us here?\I don't know.\I was here when I woke up, too. response:	Goodbye, my ass.
context: Then hurry up.\It's getting cold.\Yes, ma'am.\I'm back again...\But why did Salia bring us here?\I don't know.\I was here when I woke up, too.\Goodbye, my ass. response:	It was just a tranquilizer.
context: It's getting cold.\Yes, ma'am.\I'm back again...\But why did Salia bring us here?\I don't know.\I was here when I woke up, too.\Goodbye, my ass.\It was just a tranquilizer. response:	Are Tusk and Vivian safe?
context: Yes, ma'am.\I'm back again...\But why did Salia bring us here?\I don't know.\I was here when I woke up, too.\Goodbye, my ass.\It was just a tranquilizer.\Are Tusk and Vivian safe? response:	I'm sure they are.
context: I'm back again...\But why did Salia bring us here?\I don't know.\I was here when I woke up, too.\Goodbye, my ass.\It was just a tranquilizer.\Are Tusk and Vivian safe?\I'm sure they are. response:	Those two are strong.
context: But why did Salia bring us here?\I don't know.\I was here when I woke up, too.\Goodbye, my ass.\It was just a tranquilizer.\Are Tusk and Vivian safe?\I'm sure they are.\Those two are strong. response:	You're right.
context: I don't know.\I was here when I woke up, too.\Goodbye, my ass.\It was just a tranquilizer.\Are Tusk and Vivian safe?\I'm sure they are.\Those two are strong.\You're right. response:	There you are.
context: I was here when I woke up, too.\Goodbye, my ass.\It was just a tranquilizer.\Are Tusk and Vivian safe?\I'm sure they are.\Those two are strong.\You're right.\There you are. response:	Good.
context: Goodbye, my ass.\It was just a tranquilizer.\Are Tusk and Vivian safe?\I'm sure they are.\Those two are strong.\You're right.\There you are.\Good. response:	I would prefer a rifle or a grenade, but this is better than nothing.
context: It was just a tranquilizer.\Are Tusk and Vivian safe?\I'm sure they are.\Those two are strong.\You're right.\There you are.\Good.\I would prefer a rifle or a grenade, but this is better than nothing. response:	Angelise-sama, what are you...
context: Are Tusk and Vivian safe?\I'm sure they are.\Those two are strong.\You're right.\There you are.\Good.\I would prefer a rifle or a grenade, but this is better than nothing.\Angelise-sama, what are you... response:	Planning a raid.
context: I'm sure they are.\Those two are strong.\You're right.\There you are.\Good.\I would prefer a rifle or a grenade, but this is better than nothing.\Angelise-sama, what are you...\Planning a raid. response:	On the man who sent those flowers...
context: Those two are strong.\You're right.\There you are.\Good.\I would prefer a rifle or a grenade, but this is better than nothing.\Angelise-sama, what are you...\Planning a raid.\On the man who sent those flowers... response:	I can't allow that.
context: You're right.\There you are.\Good.\I would prefer a rifle or a grenade, but this is better than nothing.\Angelise-sama, what are you...\Planning a raid.\On the man who sent those flowers...\I can't allow that. response:	You're Embryo-sama's prisoner.
context: There you are.\Good.\I would prefer a rifle or a grenade, but this is better than nothing.\Angelise-sama, what are you...\Planning a raid.\On the man who sent those flowers...\I can't allow that.\You're Embryo-sama's prisoner. response:	I won't allow you to get out of line.
context: Good.\I would prefer a rifle or a grenade, but this is better than nothing.\Angelise-sama, what are you...\Planning a raid.\On the man who sent those flowers...\I can't allow that.\You're Embryo-sama's prisoner.\I won't allow you to get out of line. response:	Embryo-sama, huh?
context: I would prefer a rifle or a grenade, but this is better than nothing.\Angelise-sama, what are you...\Planning a raid.\On the man who sent those flowers...\I can't allow that.\You're Embryo-sama's prisoner.\I won't allow you to get out of line.\Embryo-sama, huh? response:	What happened, exactly?
context: Angelise-sama, what are you...\Planning a raid.\On the man who sent those flowers...\I can't allow that.\You're Embryo-sama's prisoner.\I won't allow you to get out of line.\Embryo-sama, huh?\What happened, exactly? response:	You loved the commander so much.
context: Planning a raid.\On the man who sent those flowers...\I can't allow that.\You're Embryo-sama's prisoner.\I won't allow you to get out of line.\Embryo-sama, huh?\What happened, exactly?\You loved the commander so much. response:	Nothing.
context: On the man who sent those flowers...\I can't allow that.\You're Embryo-sama's prisoner.\I won't allow you to get out of line.\Embryo-sama, huh?\What happened, exactly?\You loved the commander so much.\Nothing. response:	I just woke up.
context: I can't allow that.\You're Embryo-sama's prisoner.\I won't allow you to get out of line.\Embryo-sama, huh?\What happened, exactly?\You loved the commander so much.\Nothing.\I just woke up. response:	Ange, you fatass!
context: You're Embryo-sama's prisoner.\I won't allow you to get out of line.\Embryo-sama, huh?\What happened, exactly?\You loved the commander so much.\Nothing.\I just woke up.\Ange, you fatass! response:	I got abandoned.
context: I won't allow you to get out of line.\Embryo-sama, huh?\What happened, exactly?\You loved the commander so much.\Nothing.\I just woke up.\Ange, you fatass!\I got abandoned. response:	This suits me.
context: Embryo-sama, huh?\What happened, exactly?\You loved the commander so much.\Nothing.\I just woke up.\Ange, you fatass!\I got abandoned.\This suits me. response:	Jill dumped me, and I lost to Ange...
context: What happened, exactly?\You loved the commander so much.\Nothing.\I just woke up.\Ange, you fatass!\I got abandoned.\This suits me.\Jill dumped me, and I lost to Ange... response:	That's not true, Salia.
context: You loved the commander so much.\Nothing.\I just woke up.\Ange, you fatass!\I got abandoned.\This suits me.\Jill dumped me, and I lost to Ange...\That's not true, Salia. response:	You simply don't know your own value.
context: Nothing.\I just woke up.\Ange, you fatass!\I got abandoned.\This suits me.\Jill dumped me, and I lost to Ange...\That's not true, Salia.\You simply don't know your own value. response:	That man saved me.
context: I just woke up.\Ange, you fatass!\I got abandoned.\This suits me.\Jill dumped me, and I lost to Ange...\That's not true, Salia.\You simply don't know your own value.\That man saved me. response:	He made me a new person.
context: Ange, you fatass!\I got abandoned.\This suits me.\Jill dumped me, and I lost to Ange...\That's not true, Salia.\You simply don't know your own value.\That man saved me.\He made me a new person. response:	Alektra never needed me in the first place.
context: I got abandoned.\This suits me.\Jill dumped me, and I lost to Ange...\That's not true, Salia.\You simply don't know your own value.\That man saved me.\He made me a new person.\Alektra never needed me in the first place. response:	No matter how hard I tried, she never would have vindicated me.
context: This suits me.\Jill dumped me, and I lost to Ange...\That's not true, Salia.\You simply don't know your own value.\That man saved me.\He made me a new person.\Alektra never needed me in the first place.\No matter how hard I tried, she never would have vindicated me. response:	But he...
context: Jill dumped me, and I lost to Ange...\That's not true, Salia.\You simply don't know your own value.\That man saved me.\He made me a new person.\Alektra never needed me in the first place.\No matter how hard I tried, she never would have vindicated me.\But he... response:	Your beauty, your strength, your value...
context: That's not true, Salia.\You simply don't know your own value.\That man saved me.\He made me a new person.\Alektra never needed me in the first place.\No matter how hard I tried, she never would have vindicated me.\But he...\Your beauty, your strength, your value... response:	I know them better than anyone.
context: You simply don't know your own value.\That man saved me.\He made me a new person.\Alektra never needed me in the first place.\No matter how hard I tried, she never would have vindicated me.\But he...\Your beauty, your strength, your value...\I know them better than anyone. response:	Would you give me your hand and help me change this world, Salia?
context: That man saved me.\He made me a new person.\Alektra never needed me in the first place.\No matter how hard I tried, she never would have vindicated me.\But he...\Your beauty, your strength, your value...\I know them better than anyone.\Would you give me your hand and help me change this world, Salia? response:	I found someone I truly needed to protect.
context: He made me a new person.\Alektra never needed me in the first place.\No matter how hard I tried, she never would have vindicated me.\But he...\Your beauty, your strength, your value...\I know them better than anyone.\Would you give me your hand and help me change this world, Salia?\I found someone I truly needed to protect. response:	Now, I'm part of Embryo-sama's bodyguard.
context: Alektra never needed me in the first place.\No matter how hard I tried, she never would have vindicated me.\But he...\Your beauty, your strength, your value...\I know them better than anyone.\Would you give me your hand and help me change this world, Salia?\I found someone I truly needed to protect.\Now, I'm part of Embryo-sama's bodyguard. response:	I call it the Order of the Diamond Rose.
context: No matter how hard I tried, she never would have vindicated me.\But he...\Your beauty, your strength, your value...\I know them better than anyone.\Would you give me your hand and help me change this world, Salia?\I found someone I truly needed to protect.\Now, I'm part of Embryo-sama's bodyguard.\I call it the Order of the Diamond Rose. response:	And I, Salia, am its commander.
context: But he...\Your beauty, your strength, your value...\I know them better than anyone.\Would you give me your hand and help me change this world, Salia?\I found someone I truly needed to protect.\Now, I'm part of Embryo-sama's bodyguard.\I call it the Order of the Diamond Rose.\And I, Salia, am its commander. response:	Diamond...
context: Your beauty, your strength, your value...\I know them better than anyone.\Would you give me your hand and help me change this world, Salia?\I found someone I truly needed to protect.\Now, I'm part of Embryo-sama's bodyguard.\I call it the Order of the Diamond Rose.\And I, Salia, am its commander.\Diamond... response:	Too long.
context: I know them better than anyone.\Would you give me your hand and help me change this world, Salia?\I found someone I truly needed to protect.\Now, I'm part of Embryo-sama's bodyguard.\I call it the Order of the Diamond Rose.\And I, Salia, am its commander.\Diamond...\Too long. response:	In other words, you were adrift in the world, and then a new owner picked you up.
context: Would you give me your hand and help me change this world, Salia?\I found someone I truly needed to protect.\Now, I'm part of Embryo-sama's bodyguard.\I call it the Order of the Diamond Rose.\And I, Salia, am its commander.\Diamond...\Too long.\In other words, you were adrift in the world, and then a new owner picked you up. response:	I didn't think you had the courage to abandon our commander.
context: I found someone I truly needed to protect.\Now, I'm part of Embryo-sama's bodyguard.\I call it the Order of the Diamond Rose.\And I, Salia, am its commander.\Diamond...\Too long.\In other words, you were adrift in the world, and then a new owner picked you up.\I didn't think you had the courage to abandon our commander. response:	Angelise-sama!
context: Now, I'm part of Embryo-sama's bodyguard.\I call it the Order of the Diamond Rose.\And I, Salia, am its commander.\Diamond...\Too long.\In other words, you were adrift in the world, and then a new owner picked you up.\I didn't think you had the courage to abandon our commander.\Angelise-sama! response:	I won't let you insult me any more.
context: I call it the Order of the Diamond Rose.\And I, Salia, am its commander.\Diamond...\Too long.\In other words, you were adrift in the world, and then a new owner picked you up.\I didn't think you had the courage to abandon our commander.\Angelise-sama!\I won't let you insult me any more. response:	Embryo-sama loves me.
context: And I, Salia, am its commander.\Diamond...\Too long.\In other words, you were adrift in the world, and then a new owner picked you up.\I didn't think you had the courage to abandon our commander.\Angelise-sama!\I won't let you insult me any more.\Embryo-sama loves me. response:	Unlike you, who nobody loves at all.
context: Diamond...\Too long.\In other words, you were adrift in the world, and then a new owner picked you up.\I didn't think you had the courage to abandon our commander.\Angelise-sama!\I won't let you insult me any more.\Embryo-sama loves me.\Unlike you, who nobody loves at all. response:	Well, good for you.
context: Too long.\In other words, you were adrift in the world, and then a new owner picked you up.\I didn't think you had the courage to abandon our commander.\Angelise-sama!\I won't let you insult me any more.\Embryo-sama loves me.\Unlike you, who nobody loves at all.\Well, good for you. response:	Commander!
context: In other words, you were adrift in the world, and then a new owner picked you up.\I didn't think you had the courage to abandon our commander.\Angelise-sama!\I won't let you insult me any more.\Embryo-sama loves me.\Unlike you, who nobody loves at all.\Well, good for you.\Commander! response:	Ange!
context: I didn't think you had the courage to abandon our commander.\Angelise-sama!\I won't let you insult me any more.\Embryo-sama loves me.\Unlike you, who nobody loves at all.\Well, good for you.\Commander!\Ange! response:	Weak.
context: Angelise-sama!\I won't let you insult me any more.\Embryo-sama loves me.\Unlike you, who nobody loves at all.\Well, good for you.\Commander!\Ange!\Weak. response:	You're so weak compared to Salako.
context: I won't let you insult me any more.\Embryo-sama loves me.\Unlike you, who nobody loves at all.\Well, good for you.\Commander!\Ange!\Weak.\You're so weak compared to Salako. response:	And these names you come up with are abysmal.
context: Embryo-sama loves me.\Unlike you, who nobody loves at all.\Well, good for you.\Commander!\Ange!\Weak.\You're so weak compared to Salako.\And these names you come up with are abysmal. response:	And what's with your outfit?
context: Unlike you, who nobody loves at all.\Well, good for you.\Commander!\Ange!\Weak.\You're so weak compared to Salako.\And these names you come up with are abysmal.\And what's with your outfit? response:	You looked a lot better as Pretty Salian.
context: Well, good for you.\Commander!\Ange!\Weak.\You're so weak compared to Salako.\And these names you come up with are abysmal.\And what's with your outfit?\You looked a lot better as Pretty Salian. response:	Let's go, Momoka.
context: Commander!\Ange!\Weak.\You're so weak compared to Salako.\And these names you come up with are abysmal.\And what's with your outfit?\You looked a lot better as Pretty Salian.\Let's go, Momoka. response:	Yes, ma'am.
context: Ange!\Weak.\You're so weak compared to Salako.\And these names you come up with are abysmal.\And what's with your outfit?\You looked a lot better as Pretty Salian.\Let's go, Momoka.\Yes, ma'am. response:	Wait!
context: Weak.\You're so weak compared to Salako.\And these names you come up with are abysmal.\And what's with your outfit?\You looked a lot better as Pretty Salian.\Let's go, Momoka.\Yes, ma'am.\Wait! response:	Where did you go?
context: You're so weak compared to Salako.\And these names you come up with are abysmal.\And what's with your outfit?\You looked a lot better as Pretty Salian.\Let's go, Momoka.\Yes, ma'am.\Wait!\Where did you go? response:	Ange!
context: And these names you come up with are abysmal.\And what's with your outfit?\You looked a lot better as Pretty Salian.\Let's go, Momoka.\Yes, ma'am.\Wait!\Where did you go?\Ange! response:	Sorry, but this is my house.
context: And what's with your outfit?\You looked a lot better as Pretty Salian.\Let's go, Momoka.\Yes, ma'am.\Wait!\Where did you go?\Ange!\Sorry, but this is my house. response:	Mom, let's play hide-and-seek!
context: You looked a lot better as Pretty Salian.\Let's go, Momoka.\Yes, ma'am.\Wait!\Where did you go?\Ange!\Sorry, but this is my house.\Mom, let's play hide-and-seek! response:	No, I want to draw!
context: Let's go, Momoka.\Yes, ma'am.\Wait!\Where did you go?\Ange!\Sorry, but this is my house.\Mom, let's play hide-and-seek!\No, I want to draw! response:	Come now, don't fight.
context: Yes, ma'am.\Wait!\Where did you go?\Ange!\Sorry, but this is my house.\Mom, let's play hide-and-seek!\No, I want to draw!\Come now, don't fight. response:	It's Ange-oneesama!
context: Wait!\Where did you go?\Ange!\Sorry, but this is my house.\Mom, let's play hide-and-seek!\No, I want to draw!\Come now, don't fight.\It's Ange-oneesama! response:	You're right!
context: Where did you go?\Ange!\Sorry, but this is my house.\Mom, let's play hide-and-seek!\No, I want to draw!\Come now, don't fight.\It's Ange-oneesama!\You're right! response:	Ange-oneesama, when did you get here?
context: Ange!\Sorry, but this is my house.\Mom, let's play hide-and-seek!\No, I want to draw!\Come now, don't fight.\It's Ange-oneesama!\You're right!\Ange-oneesama, when did you get here? response:	Onee-sama, are you in the Order, too?
context: Sorry, but this is my house.\Mom, let's play hide-and-seek!\No, I want to draw!\Come now, don't fight.\It's Ange-oneesama!\You're right!\Ange-oneesama, when did you get here?\Onee-sama, are you in the Order, too? response:	Oh my.
context: Mom, let's play hide-and-seek!\No, I want to draw!\Come now, don't fight.\It's Ange-oneesama!\You're right!\Ange-oneesama, when did you get here?\Onee-sama, are you in the Order, too?\Oh my. response:	Did you all corner Ange-chan?
context: No, I want to draw!\Come now, don't fight.\It's Ange-oneesama!\You're right!\Ange-oneesama, when did you get here?\Onee-sama, are you in the Order, too?\Oh my.\Did you all corner Ange-chan? response:	That's very good.
context: Come now, don't fight.\It's Ange-oneesama!\You're right!\Ange-oneesama, when did you get here?\Onee-sama, are you in the Order, too?\Oh my.\Did you all corner Ange-chan?\That's very good. response:	Ersha.
context: It's Ange-oneesama!\You're right!\Ange-oneesama, when did you get here?\Onee-sama, are you in the Order, too?\Oh my.\Did you all corner Ange-chan?\That's very good.\Ersha. response:	Embryo Kindergarten?
context: You're right!\Ange-oneesama, when did you get here?\Onee-sama, are you in the Order, too?\Oh my.\Did you all corner Ange-chan?\That's very good.\Ersha.\Embryo Kindergarten? response:	Yep.
context: Ange-oneesama, when did you get here?\Onee-sama, are you in the Order, too?\Oh my.\Did you all corner Ange-chan?\That's very good.\Ersha.\Embryo Kindergarten?\Yep. response:	I'm the principal.
context: Onee-sama, are you in the Order, too?\Oh my.\Did you all corner Ange-chan?\That's very good.\Ersha.\Embryo Kindergarten?\Yep.\I'm the principal. response:	I really wanted to bring all the children from Arzenal here.
context: Oh my.\Did you all corner Ange-chan?\That's very good.\Ersha.\Embryo Kindergarten?\Yep.\I'm the principal.\I really wanted to bring all the children from Arzenal here. response:	Can you believe it?
context: Did you all corner Ange-chan?\That's very good.\Ersha.\Embryo Kindergarten?\Yep.\I'm the principal.\I really wanted to bring all the children from Arzenal here.\Can you believe it? response:	These children were all dead once.
context: That's very good.\Ersha.\Embryo Kindergarten?\Yep.\I'm the principal.\I really wanted to bring all the children from Arzenal here.\Can you believe it?\These children were all dead once. response:	And then Embryo-san brought them back to life.
context: Ersha.\Embryo Kindergarten?\Yep.\I'm the principal.\I really wanted to bring all the children from Arzenal here.\Can you believe it?\These children were all dead once.\And then Embryo-san brought them back to life. response:	Back to life?
