context: Do you believe in the urban legend? response:	You can retrieve what you once lost inside the gate.
context: It still hasn't been transported outside of the wall, has it?\That's how the syndicate sees the situation.\What's to be done after the retrieval?\You're to transport it out of the gate in their place.\Don't worry.\Just do as you're told.\It's just business as usual.\Do you consider yourself a patient person? response:	No.
context: That's how the syndicate sees the situation.\What's to be done after the retrieval?\You're to transport it out of the gate in their place.\Don't worry.\Just do as you're told.\It's just business as usual.\Do you consider yourself a patient person?\No. response:	Have you ever seen a UFO?
context: What's to be done after the retrieval?\You're to transport it out of the gate in their place.\Don't worry.\Just do as you're told.\It's just business as usual.\Do you consider yourself a patient person?\No.\Have you ever seen a UFO? response:	No.
context: You're to transport it out of the gate in their place.\Don't worry.\Just do as you're told.\It's just business as usual.\Do you consider yourself a patient person?\No.\Have you ever seen a UFO?\No. response:	Do you believe in the existence of God?
context: Don't worry.\Just do as you're told.\It's just business as usual.\Do you consider yourself a patient person?\No.\Have you ever seen a UFO?\No.\Do you believe in the existence of God? response:	No.
context: Just do as you're told.\It's just business as usual.\Do you consider yourself a patient person?\No.\Have you ever seen a UFO?\No.\Do you believe in the existence of God?\No. response:	Do you know any contractors?
context: It's just business as usual.\Do you consider yourself a patient person?\No.\Have you ever seen a UFO?\No.\Do you believe in the existence of God?\No.\Do you know any contractors? response:	No.
context: Do you consider yourself a patient person?\No.\Have you ever seen a UFO?\No.\Do you believe in the existence of God?\No.\Do you know any contractors?\No. response:	Um, is something wrong?
context: No.\Have you ever seen a UFO?\No.\Do you believe in the existence of God?\No.\Do you know any contractors?\No.\Um, is something wrong? response:	N-Nothing.
context: Have you ever seen a UFO?\No.\Do you believe in the existence of God?\No.\Do you know any contractors?\No.\Um, is something wrong?\N-Nothing. response:	Um, I think...
context: No.\Do you believe in the existence of God?\No.\Do you know any contractors?\No.\Um, is something wrong?\N-Nothing.\Um, I think... response:	Didn't I already say everything was fine?
context: Do you believe in the existence of God?\No.\Do you know any contractors?\No.\Um, is something wrong?\N-Nothing.\Um, I think...\Didn't I already say everything was fine? response:	I'm sorry.
context: No.\Do you know any contractors?\No.\Um, is something wrong?\N-Nothing.\Um, I think...\Didn't I already say everything was fine?\I'm sorry. response:	Is there a problem?
context: Do you know any contractors?\No.\Um, is something wrong?\N-Nothing.\Um, I think...\Didn't I already say everything was fine?\I'm sorry.\Is there a problem? response:	It's nothing.
context: No.\Um, is something wrong?\N-Nothing.\Um, I think...\Didn't I already say everything was fine?\I'm sorry.\Is there a problem?\It's nothing. response:	Next!
context: Um, is something wrong?\N-Nothing.\Um, I think...\Didn't I already say everything was fine?\I'm sorry.\Is there a problem?\It's nothing.\Next! response:	You're coming with me.
context: N-Nothing.\Um, I think...\Didn't I already say everything was fine?\I'm sorry.\Is there a problem?\It's nothing.\Next!\You're coming with me. response:	No, let go!
context: Um, I think...\Didn't I already say everything was fine?\I'm sorry.\Is there a problem?\It's nothing.\Next!\You're coming with me.\No, let go! response:	No! No!
context: Didn't I already say everything was fine?\I'm sorry.\Is there a problem?\It's nothing.\Next!\You're coming with me.\No, let go!\No! No! response:	Take her back to testing!
context: I'm sorry.\Is there a problem?\It's nothing.\Next!\You're coming with me.\No, let go!\No! No!\Take her back to testing! response:	Next!
context: Is there a problem?\It's nothing.\Next!\You're coming with me.\No, let go!\No! No!\Take her back to testing!\Next! response:	Yes!
context: It's nothing.\Next!\You're coming with me.\No, let go!\No! No!\Take her back to testing!\Next!\Yes! response:	Ghosts aren't a rare sight in here.
context: Next!\You're coming with me.\No, let go!\No! No!\Take her back to testing!\Next!\Yes!\Ghosts aren't a rare sight in here. response:	Things that exist tend to disappear, while things that don't tend to appear.
context: You're coming with me.\No, let go!\No! No!\Take her back to testing!\Next!\Yes!\Ghosts aren't a rare sight in here.\Things that exist tend to disappear, while things that don't tend to appear. response:	Auditory hallucinations and similar occurrences aren't out of the ordinary.
context: No, let go!\No! No!\Take her back to testing!\Next!\Yes!\Ghosts aren't a rare sight in here.\Things that exist tend to disappear, while things that don't tend to appear.\Auditory hallucinations and similar occurrences aren't out of the ordinary. response:	You won't get the job done if you lose composure whenever it happens.
context: No! No!\Take her back to testing!\Next!\Yes!\Ghosts aren't a rare sight in here.\Things that exist tend to disappear, while things that don't tend to appear.\Auditory hallucinations and similar occurrences aren't out of the ordinary.\You won't get the job done if you lose composure whenever it happens. response:	Besides, world-renowned scientists are working day and night to solve similar supernatural phenomena in this facility.
context: Take her back to testing!\Next!\Yes!\Ghosts aren't a rare sight in here.\Things that exist tend to disappear, while things that don't tend to appear.\Auditory hallucinations and similar occurrences aren't out of the ordinary.\You won't get the job done if you lose composure whenever it happens.\Besides, world-renowned scientists are working day and night to solve similar supernatural phenomena in this facility. response:	Our job is to provide an optimal working environment for them, which isn't an easy thing to do.
context: Next!\Yes!\Ghosts aren't a rare sight in here.\Things that exist tend to disappear, while things that don't tend to appear.\Auditory hallucinations and similar occurrences aren't out of the ordinary.\You won't get the job done if you lose composure whenever it happens.\Besides, world-renowned scientists are working day and night to solve similar supernatural phenomena in this facility.\Our job is to provide an optimal working environment for them, which isn't an easy thing to do. response:	In any case, you guys aren't allowed to leave this place for the next month without exception.
context: Yes!\Ghosts aren't a rare sight in here.\Things that exist tend to disappear, while things that don't tend to appear.\Auditory hallucinations and similar occurrences aren't out of the ordinary.\You won't get the job done if you lose composure whenever it happens.\Besides, world-renowned scientists are working day and night to solve similar supernatural phenomena in this facility.\Our job is to provide an optimal working environment for them, which isn't an easy thing to do.\In any case, you guys aren't allowed to leave this place for the next month without exception. response:	Even if you die.
context: Ghosts aren't a rare sight in here.\Things that exist tend to disappear, while things that don't tend to appear.\Auditory hallucinations and similar occurrences aren't out of the ordinary.\You won't get the job done if you lose composure whenever it happens.\Besides, world-renowned scientists are working day and night to solve similar supernatural phenomena in this facility.\Our job is to provide an optimal working environment for them, which isn't an easy thing to do.\In any case, you guys aren't allowed to leave this place for the next month without exception.\Even if you die. response:	If you get the message, answer me!
context: Things that exist tend to disappear, while things that don't tend to appear.\Auditory hallucinations and similar occurrences aren't out of the ordinary.\You won't get the job done if you lose composure whenever it happens.\Besides, world-renowned scientists are working day and night to solve similar supernatural phenomena in this facility.\Our job is to provide an optimal working environment for them, which isn't an easy thing to do.\In any case, you guys aren't allowed to leave this place for the next month without exception.\Even if you die.\If you get the message, answer me! response:	Sir!
context: Auditory hallucinations and similar occurrences aren't out of the ordinary.\You won't get the job done if you lose composure whenever it happens.\Besides, world-renowned scientists are working day and night to solve similar supernatural phenomena in this facility.\Our job is to provide an optimal working environment for them, which isn't an easy thing to do.\In any case, you guys aren't allowed to leave this place for the next month without exception.\Even if you die.\If you get the message, answer me!\Sir! response:	This is Sector Three,
context: You won't get the job done if you lose composure whenever it happens.\Besides, world-renowned scientists are working day and night to solve similar supernatural phenomena in this facility.\Our job is to provide an optimal working environment for them, which isn't an easy thing to do.\In any case, you guys aren't allowed to leave this place for the next month without exception.\Even if you die.\If you get the message, answer me!\Sir!\This is Sector Three, response:	the most important area we're responsible for.
context: Besides, world-renowned scientists are working day and night to solve similar supernatural phenomena in this facility.\Our job is to provide an optimal working environment for them, which isn't an easy thing to do.\In any case, you guys aren't allowed to leave this place for the next month without exception.\Even if you die.\If you get the message, answer me!\Sir!\This is Sector Three,\the most important area we're responsible for. response:	Standard cleaning duties occur late at night, when research isn't being conducted.
context: Our job is to provide an optimal working environment for them, which isn't an easy thing to do.\In any case, you guys aren't allowed to leave this place for the next month without exception.\Even if you die.\If you get the message, answer me!\Sir!\This is Sector Three,\the most important area we're responsible for.\Standard cleaning duties occur late at night, when research isn't being conducted. response:	Hey, you! Are you listening to me?
context: In any case, you guys aren't allowed to leave this place for the next month without exception.\Even if you die.\If you get the message, answer me!\Sir!\This is Sector Three,\the most important area we're responsible for.\Standard cleaning duties occur late at night, when research isn't being conducted.\Hey, you! Are you listening to me? response:	Yes, I'm sorry.
context: Even if you die.\If you get the message, answer me!\Sir!\This is Sector Three,\the most important area we're responsible for.\Standard cleaning duties occur late at night, when research isn't being conducted.\Hey, you! Are you listening to me?\Yes, I'm sorry. response:	You don't need to clean that room.
context: If you get the message, answer me!\Sir!\This is Sector Three,\the most important area we're responsible for.\Standard cleaning duties occur late at night, when research isn't being conducted.\Hey, you! Are you listening to me?\Yes, I'm sorry.\You don't need to clean that room. response:	Why not?
context: Sir!\This is Sector Three,\the most important area we're responsible for.\Standard cleaning duties occur late at night, when research isn't being conducted.\Hey, you! Are you listening to me?\Yes, I'm sorry.\You don't need to clean that room.\Why not? response:	The man in charge of that room is notoriously meticulous.
context: This is Sector Three,\the most important area we're responsible for.\Standard cleaning duties occur late at night, when research isn't being conducted.\Hey, you! Are you listening to me?\Yes, I'm sorry.\You don't need to clean that room.\Why not?\The man in charge of that room is notoriously meticulous. response:	Gentlemen...
context: the most important area we're responsible for.\Standard cleaning duties occur late at night, when research isn't being conducted.\Hey, you! Are you listening to me?\Yes, I'm sorry.\You don't need to clean that room.\Why not?\The man in charge of that room is notoriously meticulous.\Gentlemen... response:	Chief Sergei!
context: Standard cleaning duties occur late at night, when research isn't being conducted.\Hey, you! Are you listening to me?\Yes, I'm sorry.\You don't need to clean that room.\Why not?\The man in charge of that room is notoriously meticulous.\Gentlemen...\Chief Sergei! response:	Hey! Get out of the way!
context: Hey, you! Are you listening to me?\Yes, I'm sorry.\You don't need to clean that room.\Why not?\The man in charge of that room is notoriously meticulous.\Gentlemen...\Chief Sergei!\Hey! Get out of the way! response:	You idiot! What are you looking at?
context: Yes, I'm sorry.\You don't need to clean that room.\Why not?\The man in charge of that room is notoriously meticulous.\Gentlemen...\Chief Sergei!\Hey! Get out of the way!\You idiot! What are you looking at? response:	I'm terribly sorry.
context: You don't need to clean that room.\Why not?\The man in charge of that room is notoriously meticulous.\Gentlemen...\Chief Sergei!\Hey! Get out of the way!\You idiot! What are you looking at?\I'm terribly sorry. response:	Why are you just standing there? Hurry and pick it up!
context: Why not?\The man in charge of that room is notoriously meticulous.\Gentlemen...\Chief Sergei!\Hey! Get out of the way!\You idiot! What are you looking at?\I'm terribly sorry.\Why are you just standing there? Hurry and pick it up! response:	Okay.
context: The man in charge of that room is notoriously meticulous.\Gentlemen...\Chief Sergei!\Hey! Get out of the way!\You idiot! What are you looking at?\I'm terribly sorry.\Why are you just standing there? Hurry and pick it up!\Okay. response:	I'll be going ahead of you.
context: Gentlemen...\Chief Sergei!\Hey! Get out of the way!\You idiot! What are you looking at?\I'm terribly sorry.\Why are you just standing there? Hurry and pick it up!\Okay.\I'll be going ahead of you. response:	Y-Yes.
context: Chief Sergei!\Hey! Get out of the way!\You idiot! What are you looking at?\I'm terribly sorry.\Why are you just standing there? Hurry and pick it up!\Okay.\I'll be going ahead of you.\Y-Yes. response:	I'm really sorry about this.
context: Hey! Get out of the way!\You idiot! What are you looking at?\I'm terribly sorry.\Why are you just standing there? Hurry and pick it up!\Okay.\I'll be going ahead of you.\Y-Yes.\I'm really sorry about this. response:	I hope you're not hurt.
context: You idiot! What are you looking at?\I'm terribly sorry.\Why are you just standing there? Hurry and pick it up!\Okay.\I'll be going ahead of you.\Y-Yes.\I'm really sorry about this.\I hope you're not hurt. response:	Yes. Good day.
context: I'm terribly sorry.\Why are you just standing there? Hurry and pick it up!\Okay.\I'll be going ahead of you.\Y-Yes.\I'm really sorry about this.\I hope you're not hurt.\Yes. Good day. response:	I'm sorry.
context: Why are you just standing there? Hurry and pick it up!\Okay.\I'll be going ahead of you.\Y-Yes.\I'm really sorry about this.\I hope you're not hurt.\Yes. Good day.\I'm sorry. response:	We're off to the next one!
context: Okay.\I'll be going ahead of you.\Y-Yes.\I'm really sorry about this.\I hope you're not hurt.\Yes. Good day.\I'm sorry.\We're off to the next one! response:	Equipment room A-3 in 1 hour
context: I'll be going ahead of you.\Y-Yes.\I'm really sorry about this.\I hope you're not hurt.\Yes. Good day.\I'm sorry.\We're off to the next one!\Equipment room A-3 in 1 hour response:	Equipment room A-3 in 1 hour
context: Y-Yes.\I'm really sorry about this.\I hope you're not hurt.\Yes. Good day.\I'm sorry.\We're off to the next one!\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour response:	Equipment room A-3 in 1 hour
context: I'm really sorry about this.\I hope you're not hurt.\Yes. Good day.\I'm sorry.\We're off to the next one!\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour response:	Equipment room A-3 in 1 hour
context: I hope you're not hurt.\Yes. Good day.\I'm sorry.\We're off to the next one!\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour response:	Equipment room A-3 in 1 hour
context: Yes. Good day.\I'm sorry.\We're off to the next one!\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour response:	Equipment room A-3 in 1 hour
context: I'm sorry.\We're off to the next one!\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour response:	Equipment room A-3 in 1 hour
context: We're off to the next one!\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour response:	Equipment room A-3 in 1 hour
context: Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour response:	Equipment room A-3 in 1 hour
context: Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour response:	How did you know it was me?
context: Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\How did you know it was me? response:	I knew they were sending someone to the sanitation division.
context: Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\How did you know it was me?\I knew they were sending someone to the sanitation division. response:	Is there anyone else from the syndicate?
context: Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\How did you know it was me?\I knew they were sending someone to the sanitation division.\Is there anyone else from the syndicate? response:	Yes, but I've never met them.
context: Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\How did you know it was me?\I knew they were sending someone to the sanitation division.\Is there anyone else from the syndicate?\Yes, but I've never met them. response:	I see.
context: Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\How did you know it was me?\I knew they were sending someone to the sanitation division.\Is there anyone else from the syndicate?\Yes, but I've never met them.\I see. response:	Listen, I want to tell you something in advance.
context: Equipment room A-3 in 1 hour\Equipment room A-3 in 1 hour\How did you know it was me?\I knew they were sending someone to the sanitation division.\Is there anyone else from the syndicate?\Yes, but I've never met them.\I see.\Listen, I want to tell you something in advance. response:	Don't rely on me.
context: Equipment room A-3 in 1 hour\How did you know it was me?\I knew they were sending someone to the sanitation division.\Is there anyone else from the syndicate?\Yes, but I've never met them.\I see.\Listen, I want to tell you something in advance.\Don't rely on me. response:	I only cooperate with the syndicate so I can conduct research here.
context: How did you know it was me?\I knew they were sending someone to the sanitation division.\Is there anyone else from the syndicate?\Yes, but I've never met them.\I see.\Listen, I want to tell you something in advance.\Don't rely on me.\I only cooperate with the syndicate so I can conduct research here. response:	It's the first time I've done this kind of work.
context: I knew they were sending someone to the sanitation division.\Is there anyone else from the syndicate?\Yes, but I've never met them.\I see.\Listen, I want to tell you something in advance.\Don't rely on me.\I only cooperate with the syndicate so I can conduct research here.\It's the first time I've done this kind of work. response:	There wasn't any occurrence for two years, and suddenly this happens...
context: Is there anyone else from the syndicate?\Yes, but I've never met them.\I see.\Listen, I want to tell you something in advance.\Don't rely on me.\I only cooperate with the syndicate so I can conduct research here.\It's the first time I've done this kind of work.\There wasn't any occurrence for two years, and suddenly this happens... response:	Rest assured. I won't rely on you.
context: Yes, but I've never met them.\I see.\Listen, I want to tell you something in advance.\Don't rely on me.\I only cooperate with the syndicate so I can conduct research here.\It's the first time I've done this kind of work.\There wasn't any occurrence for two years, and suddenly this happens...\Rest assured. I won't rely on you. response:	That aside, I want to ask you about the meteor fragment.
context: I see.\Listen, I want to tell you something in advance.\Don't rely on me.\I only cooperate with the syndicate so I can conduct research here.\It's the first time I've done this kind of work.\There wasn't any occurrence for two years, and suddenly this happens...\Rest assured. I won't rely on you.\That aside, I want to ask you about the meteor fragment. response:	What about it?
context: Listen, I want to tell you something in advance.\Don't rely on me.\I only cooperate with the syndicate so I can conduct research here.\It's the first time I've done this kind of work.\There wasn't any occurrence for two years, and suddenly this happens...\Rest assured. I won't rely on you.\That aside, I want to ask you about the meteor fragment.\What about it? response:	Tell me everything you know.
context: Don't rely on me.\I only cooperate with the syndicate so I can conduct research here.\It's the first time I've done this kind of work.\There wasn't any occurrence for two years, and suddenly this happens...\Rest assured. I won't rely on you.\That aside, I want to ask you about the meteor fragment.\What about it?\Tell me everything you know. response:	To be honest, the details are unknown.
context: I only cooperate with the syndicate so I can conduct research here.\It's the first time I've done this kind of work.\There wasn't any occurrence for two years, and suddenly this happens...\Rest assured. I won't rely on you.\That aside, I want to ask you about the meteor fragment.\What about it?\Tell me everything you know.\To be honest, the details are unknown. response:	However, a similar substance was confirmed before the disappearance of South America,
context: It's the first time I've done this kind of work.\There wasn't any occurrence for two years, and suddenly this happens...\Rest assured. I won't rely on you.\That aside, I want to ask you about the meteor fragment.\What about it?\Tell me everything you know.\To be honest, the details are unknown.\However, a similar substance was confirmed before the disappearance of South America, response:	so it's believed that collecting data on it will be invaluable when it comes to solving the mystery behind the gate.
context: There wasn't any occurrence for two years, and suddenly this happens...\Rest assured. I won't rely on you.\That aside, I want to ask you about the meteor fragment.\What about it?\Tell me everything you know.\To be honest, the details are unknown.\However, a similar substance was confirmed before the disappearance of South America,\so it's believed that collecting data on it will be invaluable when it comes to solving the mystery behind the gate. response:	I don't know why the CIA is trying to steal it, but...
context: Rest assured. I won't rely on you.\That aside, I want to ask you about the meteor fragment.\What about it?\Tell me everything you know.\To be honest, the details are unknown.\However, a similar substance was confirmed before the disappearance of South America,\so it's believed that collecting data on it will be invaluable when it comes to solving the mystery behind the gate.\I don't know why the CIA is trying to steal it, but... response:	This isn't part of the job, is it?
context: That aside, I want to ask you about the meteor fragment.\What about it?\Tell me everything you know.\To be honest, the details are unknown.\However, a similar substance was confirmed before the disappearance of South America,\so it's believed that collecting data on it will be invaluable when it comes to solving the mystery behind the gate.\I don't know why the CIA is trying to steal it, but...\This isn't part of the job, is it? response:	Excuse me. If anything else comes up, I'll contact you.
