context: Takeshi, you've received an invitation from the Schuberstein Competition. response:	It's in Germany... You're finally going overseas!
context: You already won Maihou last year, so there's no reason to make it a priority...\But there is a reason.\Kousei Arima might be competing.\You keep saying that, and how long have we waited?\But he hasn't shown his face in public for two whole years now.\There are even rumors that he can't hear anymore.\He might be competing this time.\Takeshi! response:	I know it's ridiculous.
context: But there is a reason.\Kousei Arima might be competing.\You keep saying that, and how long have we waited?\But he hasn't shown his face in public for two whole years now.\There are even rumors that he can't hear anymore.\He might be competing this time.\Takeshi!\I know it's ridiculous. response:	But my goal isn't to go overseas, or to play in the Chopin competition.
context: Kousei Arima might be competing.\You keep saying that, and how long have we waited?\But he hasn't shown his face in public for two whole years now.\There are even rumors that he can't hear anymore.\He might be competing this time.\Takeshi!\I know it's ridiculous.\But my goal isn't to go overseas, or to play in the Chopin competition. response:	My goal is Kousei Arima.
context: You keep saying that, and how long have we waited?\But he hasn't shown his face in public for two whole years now.\There are even rumors that he can't hear anymore.\He might be competing this time.\Takeshi!\I know it's ridiculous.\But my goal isn't to go overseas, or to play in the Chopin competition.\My goal is Kousei Arima. response:	The competition that he'll be playing in.
context: But he hasn't shown his face in public for two whole years now.\There are even rumors that he can't hear anymore.\He might be competing this time.\Takeshi!\I know it's ridiculous.\But my goal isn't to go overseas, or to play in the Chopin competition.\My goal is Kousei Arima.\The competition that he'll be playing in. response:	It's gonna be all right. You can do this. You can play it!
context: There are even rumors that he can't hear anymore.\He might be competing this time.\Takeshi!\I know it's ridiculous.\But my goal isn't to go overseas, or to play in the Chopin competition.\My goal is Kousei Arima.\The competition that he'll be playing in.\It's gonna be all right. You can do this. You can play it! response:	I like your expression. Don't get overeager, Takeshi.
context: He might be competing this time.\Takeshi!\I know it's ridiculous.\But my goal isn't to go overseas, or to play in the Chopin competition.\My goal is Kousei Arima.\The competition that he'll be playing in.\It's gonna be all right. You can do this. You can play it!\I like your expression. Don't get overeager, Takeshi. response:	All right, that's a great start.
context: Takeshi!\I know it's ridiculous.\But my goal isn't to go overseas, or to play in the Chopin competition.\My goal is Kousei Arima.\The competition that he'll be playing in.\It's gonna be all right. You can do this. You can play it!\I like your expression. Don't get overeager, Takeshi.\All right, that's a great start. response:	Takeshi!
context: I know it's ridiculous.\But my goal isn't to go overseas, or to play in the Chopin competition.\My goal is Kousei Arima.\The competition that he'll be playing in.\It's gonna be all right. You can do this. You can play it!\I like your expression. Don't get overeager, Takeshi.\All right, that's a great start.\Takeshi! response:	Is she listening to another person's performance?
context: But my goal isn't to go overseas, or to play in the Chopin competition.\My goal is Kousei Arima.\The competition that he'll be playing in.\It's gonna be all right. You can do this. You can play it!\I like your expression. Don't get overeager, Takeshi.\All right, that's a great start.\Takeshi!\Is she listening to another person's performance? response:	What an intrepid soul!
context: My goal is Kousei Arima.\The competition that he'll be playing in.\It's gonna be all right. You can do this. You can play it!\I like your expression. Don't get overeager, Takeshi.\All right, that's a great start.\Takeshi!\Is she listening to another person's performance?\What an intrepid soul! response:	Arima?
context: The competition that he'll be playing in.\It's gonna be all right. You can do this. You can play it!\I like your expression. Don't get overeager, Takeshi.\All right, that's a great start.\Takeshi!\Is she listening to another person's performance?\What an intrepid soul!\Arima? response:	Are you watching?
context: It's gonna be all right. You can do this. You can play it!\I like your expression. Don't get overeager, Takeshi.\All right, that's a great start.\Takeshi!\Is she listening to another person's performance?\What an intrepid soul!\Arima?\Are you watching? response:	Are you listening?
context: I like your expression. Don't get overeager, Takeshi.\All right, that's a great start.\Takeshi!\Is she listening to another person's performance?\What an intrepid soul!\Arima?\Are you watching?\Are you listening? response:	Arima?
context: All right, that's a great start.\Takeshi!\Is she listening to another person's performance?\What an intrepid soul!\Arima?\Are you watching?\Are you listening?\Arima? response:	Could this be the same piano?
context: Takeshi!\Is she listening to another person's performance?\What an intrepid soul!\Arima?\Are you watching?\Are you listening?\Arima?\Could this be the same piano? response:	He sounds totally different than everyone before him...
context: Is she listening to another person's performance?\What an intrepid soul!\Arima?\Are you watching?\Are you listening?\Arima?\Could this be the same piano?\He sounds totally different than everyone before him... response:	Confronting the music with sincerity...
context: What an intrepid soul!\Arima?\Are you watching?\Are you listening?\Arima?\Could this be the same piano?\He sounds totally different than everyone before him...\Confronting the music with sincerity... response:	A strong will enabling him to stand up to his fears.
context: Arima?\Are you watching?\Are you listening?\Arima?\Could this be the same piano?\He sounds totally different than everyone before him...\Confronting the music with sincerity...\A strong will enabling him to stand up to his fears. response:	An unswerving fortitude at his core.
context: Are you watching?\Are you listening?\Arima?\Could this be the same piano?\He sounds totally different than everyone before him...\Confronting the music with sincerity...\A strong will enabling him to stand up to his fears.\An unswerving fortitude at his core. response:	This is Aiza's Chopin.
context: Are you listening?\Arima?\Could this be the same piano?\He sounds totally different than everyone before him...\Confronting the music with sincerity...\A strong will enabling him to stand up to his fears.\An unswerving fortitude at his core.\This is Aiza's Chopin. response:	I'm grateful to Arima-kun. He's the one who made him grow up.
context: Arima?\Could this be the same piano?\He sounds totally different than everyone before him...\Confronting the music with sincerity...\A strong will enabling him to stand up to his fears.\An unswerving fortitude at his core.\This is Aiza's Chopin.\I'm grateful to Arima-kun. He's the one who made him grow up. response:	Just by existing...
context: Could this be the same piano?\He sounds totally different than everyone before him...\Confronting the music with sincerity...\A strong will enabling him to stand up to his fears.\An unswerving fortitude at his core.\This is Aiza's Chopin.\I'm grateful to Arima-kun. He's the one who made him grow up.\Just by existing... response:	The reason I was able to hang in there during the two years you were gone...
context: He sounds totally different than everyone before him...\Confronting the music with sincerity...\A strong will enabling him to stand up to his fears.\An unswerving fortitude at his core.\This is Aiza's Chopin.\I'm grateful to Arima-kun. He's the one who made him grow up.\Just by existing...\The reason I was able to hang in there during the two years you were gone... response:	Have I caught up to you yet? Or am I even further behind?
context: Confronting the music with sincerity...\A strong will enabling him to stand up to his fears.\An unswerving fortitude at his core.\This is Aiza's Chopin.\I'm grateful to Arima-kun. He's the one who made him grow up.\Just by existing...\The reason I was able to hang in there during the two years you were gone...\Have I caught up to you yet? Or am I even further behind? response:	Will you let me chase you down like a mirage again?
context: A strong will enabling him to stand up to his fears.\An unswerving fortitude at his core.\This is Aiza's Chopin.\I'm grateful to Arima-kun. He's the one who made him grow up.\Just by existing...\The reason I was able to hang in there during the two years you were gone...\Have I caught up to you yet? Or am I even further behind?\Will you let me chase you down like a mirage again? response:	Will you be the one I aspire to be?
context: An unswerving fortitude at his core.\This is Aiza's Chopin.\I'm grateful to Arima-kun. He's the one who made him grow up.\Just by existing...\The reason I was able to hang in there during the two years you were gone...\Have I caught up to you yet? Or am I even further behind?\Will you let me chase you down like a mirage again?\Will you be the one I aspire to be? response:	Hey, answer me. Show me what you've got!
context: This is Aiza's Chopin.\I'm grateful to Arima-kun. He's the one who made him grow up.\Just by existing...\The reason I was able to hang in there during the two years you were gone...\Have I caught up to you yet? Or am I even further behind?\Will you let me chase you down like a mirage again?\Will you be the one I aspire to be?\Hey, answer me. Show me what you've got! response:	Come on, now it's your turn.
context: I'm grateful to Arima-kun. He's the one who made him grow up.\Just by existing...\The reason I was able to hang in there during the two years you were gone...\Have I caught up to you yet? Or am I even further behind?\Will you let me chase you down like a mirage again?\Will you be the one I aspire to be?\Hey, answer me. Show me what you've got!\Come on, now it's your turn. response:	Kousei Arima!
context: Just by existing...\The reason I was able to hang in there during the two years you were gone...\Have I caught up to you yet? Or am I even further behind?\Will you let me chase you down like a mirage again?\Will you be the one I aspire to be?\Hey, answer me. Show me what you've got!\Come on, now it's your turn.\Kousei Arima! response:	Huh! Well, I gotta admit he's pretty cool.
context: The reason I was able to hang in there during the two years you were gone...\Have I caught up to you yet? Or am I even further behind?\Will you let me chase you down like a mirage again?\Will you be the one I aspire to be?\Hey, answer me. Show me what you've got!\Come on, now it's your turn.\Kousei Arima!\Huh! Well, I gotta admit he's pretty cool. response:	Just as expected!
context: Have I caught up to you yet? Or am I even further behind?\Will you let me chase you down like a mirage again?\Will you be the one I aspire to be?\Hey, answer me. Show me what you've got!\Come on, now it's your turn.\Kousei Arima!\Huh! Well, I gotta admit he's pretty cool.\Just as expected! response:	Awesome, awesome!
context: Will you let me chase you down like a mirage again?\Will you be the one I aspire to be?\Hey, answer me. Show me what you've got!\Come on, now it's your turn.\Kousei Arima!\Huh! Well, I gotta admit he's pretty cool.\Just as expected!\Awesome, awesome! response:	Oh! He looked this way!
context: Will you be the one I aspire to be?\Hey, answer me. Show me what you've got!\Come on, now it's your turn.\Kousei Arima!\Huh! Well, I gotta admit he's pretty cool.\Just as expected!\Awesome, awesome!\Oh! He looked this way! response:	He's so cool!
context: Hey, answer me. Show me what you've got!\Come on, now it's your turn.\Kousei Arima!\Huh! Well, I gotta admit he's pretty cool.\Just as expected!\Awesome, awesome!\Oh! He looked this way!\He's so cool! response:	What's up with that?
context: Come on, now it's your turn.\Kousei Arima!\Huh! Well, I gotta admit he's pretty cool.\Just as expected!\Awesome, awesome!\Oh! He looked this way!\He's so cool!\What's up with that? response:	It's the TAKESHI Brigade!
context: Kousei Arima!\Huh! Well, I gotta admit he's pretty cool.\Just as expected!\Awesome, awesome!\Oh! He looked this way!\He's so cool!\What's up with that?\It's the TAKESHI Brigade! response:	A rival is a special thing. All the more so for adolescent boys.
context: Huh! Well, I gotta admit he's pretty cool.\Just as expected!\Awesome, awesome!\Oh! He looked this way!\He's so cool!\What's up with that?\It's the TAKESHI Brigade!\A rival is a special thing. All the more so for adolescent boys. response:	A rival can make you grow far faster than being taught by someone.
context: Just as expected!\Awesome, awesome!\Oh! He looked this way!\He's so cool!\What's up with that?\It's the TAKESHI Brigade!\A rival is a special thing. All the more so for adolescent boys.\A rival can make you grow far faster than being taught by someone. response:	It's all because of you.
context: Awesome, awesome!\Oh! He looked this way!\He's so cool!\What's up with that?\It's the TAKESHI Brigade!\A rival is a special thing. All the more so for adolescent boys.\A rival can make you grow far faster than being taught by someone.\It's all because of you. response:	It was you who made Takeshi reach those heights, Kousei Arima.
context: Oh! He looked this way!\He's so cool!\What's up with that?\It's the TAKESHI Brigade!\A rival is a special thing. All the more so for adolescent boys.\A rival can make you grow far faster than being taught by someone.\It's all because of you.\It was you who made Takeshi reach those heights, Kousei Arima. response:	It was all for the sake of catching up to you...
context: He's so cool!\What's up with that?\It's the TAKESHI Brigade!\A rival is a special thing. All the more so for adolescent boys.\A rival can make you grow far faster than being taught by someone.\It's all because of you.\It was you who made Takeshi reach those heights, Kousei Arima.\It was all for the sake of catching up to you... response:	That's what the piano is saying.
context: What's up with that?\It's the TAKESHI Brigade!\A rival is a special thing. All the more so for adolescent boys.\A rival can make you grow far faster than being taught by someone.\It's all because of you.\It was you who made Takeshi reach those heights, Kousei Arima.\It was all for the sake of catching up to you...\That's what the piano is saying. response:	Do you feel that way, too?
context: It's the TAKESHI Brigade!\A rival is a special thing. All the more so for adolescent boys.\A rival can make you grow far faster than being taught by someone.\It's all because of you.\It was you who made Takeshi reach those heights, Kousei Arima.\It was all for the sake of catching up to you...\That's what the piano is saying.\Do you feel that way, too? response:	Don't make me laugh.
context: A rival is a special thing. All the more so for adolescent boys.\A rival can make you grow far faster than being taught by someone.\It's all because of you.\It was you who made Takeshi reach those heights, Kousei Arima.\It was all for the sake of catching up to you...\That's what the piano is saying.\Do you feel that way, too?\Don't make me laugh. response:	It's over!
context: A rival can make you grow far faster than being taught by someone.\It's all because of you.\It was you who made Takeshi reach those heights, Kousei Arima.\It was all for the sake of catching up to you...\That's what the piano is saying.\Do you feel that way, too?\Don't make me laugh.\It's over! response:	That was great.
context: It's all because of you.\It was you who made Takeshi reach those heights, Kousei Arima.\It was all for the sake of catching up to you...\That's what the piano is saying.\Do you feel that way, too?\Don't make me laugh.\It's over!\That was great. response:	Good job!
context: It was you who made Takeshi reach those heights, Kousei Arima.\It was all for the sake of catching up to you...\That's what the piano is saying.\Do you feel that way, too?\Don't make me laugh.\It's over!\That was great.\Good job! response:	Now they start trembling!
context: It was all for the sake of catching up to you...\That's what the piano is saying.\Do you feel that way, too?\Don't make me laugh.\It's over!\That was great.\Good job!\Now they start trembling! response:	Good job.
context: That's what the piano is saying.\Do you feel that way, too?\Don't make me laugh.\It's over!\That was great.\Good job!\Now they start trembling!\Good job. response:	Well? Did you see that, Arima?
context: Do you feel that way, too?\Don't make me laugh.\It's over!\That was great.\Good job!\Now they start trembling!\Good job.\Well? Did you see that, Arima? response:	You were amazing.
context: Don't make me laugh.\It's over!\That was great.\Good job!\Now they start trembling!\Good job.\Well? Did you see that, Arima?\You were amazing. response:	Uh...
context: It's over!\That was great.\Good job!\Now they start trembling!\Good job.\Well? Did you see that, Arima?\You were amazing.\Uh... response:	Hey, that was nothing.
context: That was great.\Good job!\Now they start trembling!\Good job.\Well? Did you see that, Arima?\You were amazing.\Uh...\Hey, that was nothing. response:	Creepy...
context: Good job!\Now they start trembling!\Good job.\Well? Did you see that, Arima?\You were amazing.\Uh...\Hey, that was nothing.\Creepy... response:	There will now be a 15-minute intermission.
context: Now they start trembling!\Good job.\Well? Did you see that, Arima?\You were amazing.\Uh...\Hey, that was nothing.\Creepy...\There will now be a 15-minute intermission. response:	We will resume judging at :45.
context: Good job.\Well? Did you see that, Arima?\You were amazing.\Uh...\Hey, that was nothing.\Creepy...\There will now be a 15-minute intermission.\We will resume judging at :45. response:	He was really cool, wasn't he?
context: Well? Did you see that, Arima?\You were amazing.\Uh...\Hey, that was nothing.\Creepy...\There will now be a 15-minute intermission.\We will resume judging at :45.\He was really cool, wasn't he? response:	That was really tight!
context: You were amazing.\Uh...\Hey, that was nothing.\Creepy...\There will now be a 15-minute intermission.\We will resume judging at :45.\He was really cool, wasn't he?\That was really tight! response:	Aiza-kun sure has great presence!
context: Uh...\Hey, that was nothing.\Creepy...\There will now be a 15-minute intermission.\We will resume judging at :45.\He was really cool, wasn't he?\That was really tight!\Aiza-kun sure has great presence! response:	You could even say he's imposing.
context: Hey, that was nothing.\Creepy...\There will now be a 15-minute intermission.\We will resume judging at :45.\He was really cool, wasn't he?\That was really tight!\Aiza-kun sure has great presence!\You could even say he's imposing. response:	He didn't make any real mistakes, either.
context: Creepy...\There will now be a 15-minute intermission.\We will resume judging at :45.\He was really cool, wasn't he?\That was really tight!\Aiza-kun sure has great presence!\You could even say he's imposing.\He didn't make any real mistakes, either. response:	You can tell how grueling his practice sessions must be.
context: There will now be a 15-minute intermission.\We will resume judging at :45.\He was really cool, wasn't he?\That was really tight!\Aiza-kun sure has great presence!\You could even say he's imposing.\He didn't make any real mistakes, either.\You can tell how grueling his practice sessions must be. response:	He doesn't look it, but he's a diligent player, don't you think?
context: We will resume judging at :45.\He was really cool, wasn't he?\That was really tight!\Aiza-kun sure has great presence!\You could even say he's imposing.\He didn't make any real mistakes, either.\You can tell how grueling his practice sessions must be.\He doesn't look it, but he's a diligent player, don't you think? response:	Even though his mentor, Takayanagi-kun is so shallow!
context: He was really cool, wasn't he?\That was really tight!\Aiza-kun sure has great presence!\You could even say he's imposing.\He didn't make any real mistakes, either.\You can tell how grueling his practice sessions must be.\He doesn't look it, but he's a diligent player, don't you think?\Even though his mentor, Takayanagi-kun is so shallow! response:	Name of mentor: Akira Takayanagi
context: That was really tight!\Aiza-kun sure has great presence!\You could even say he's imposing.\He didn't make any real mistakes, either.\You can tell how grueling his practice sessions must be.\He doesn't look it, but he's a diligent player, don't you think?\Even though his mentor, Takayanagi-kun is so shallow!\Name of mentor: Akira Takayanagi response:	First place in all of his recent competitions.
context: Aiza-kun sure has great presence!\You could even say he's imposing.\He didn't make any real mistakes, either.\You can tell how grueling his practice sessions must be.\He doesn't look it, but he's a diligent player, don't you think?\Even though his mentor, Takayanagi-kun is so shallow!\Name of mentor: Akira Takayanagi\First place in all of his recent competitions. response:	He's certainly flying high at the moment.
context: You could even say he's imposing.\He didn't make any real mistakes, either.\You can tell how grueling his practice sessions must be.\He doesn't look it, but he's a diligent player, don't you think?\Even though his mentor, Takayanagi-kun is so shallow!\Name of mentor: Akira Takayanagi\First place in all of his recent competitions.\He's certainly flying high at the moment. response:	He's a phenom ready to take the world by storm.
context: He didn't make any real mistakes, either.\You can tell how grueling his practice sessions must be.\He doesn't look it, but he's a diligent player, don't you think?\Even though his mentor, Takayanagi-kun is so shallow!\Name of mentor: Akira Takayanagi\First place in all of his recent competitions.\He's certainly flying high at the moment.\He's a phenom ready to take the world by storm. response:	In comparison,
context: You can tell how grueling his practice sessions must be.\He doesn't look it, but he's a diligent player, don't you think?\Even though his mentor, Takayanagi-kun is so shallow!\Name of mentor: Akira Takayanagi\First place in all of his recent competitions.\He's certainly flying high at the moment.\He's a phenom ready to take the world by storm.\In comparison, response:	she's fallen quite far back in the pack.
context: He doesn't look it, but he's a diligent player, don't you think?\Even though his mentor, Takayanagi-kun is so shallow!\Name of mentor: Akira Takayanagi\First place in all of his recent competitions.\He's certainly flying high at the moment.\He's a phenom ready to take the world by storm.\In comparison,\she's fallen quite far back in the pack. response:	Man, she's cute!
context: Even though his mentor, Takayanagi-kun is so shallow!\Name of mentor: Akira Takayanagi\First place in all of his recent competitions.\He's certainly flying high at the moment.\He's a phenom ready to take the world by storm.\In comparison,\she's fallen quite far back in the pack.\Man, she's cute! response:	Let's see.
context: Name of mentor: Akira Takayanagi\First place in all of his recent competitions.\He's certainly flying high at the moment.\He's a phenom ready to take the world by storm.\In comparison,\she's fallen quite far back in the pack.\Man, she's cute!\Let's see. response:	Oh crap!
context: First place in all of his recent competitions.\He's certainly flying high at the moment.\He's a phenom ready to take the world by storm.\In comparison,\she's fallen quite far back in the pack.\Man, she's cute!\Let's see.\Oh crap! response:	Oh, it's Igawa-san. She's popular, too.
context: He's certainly flying high at the moment.\He's a phenom ready to take the world by storm.\In comparison,\she's fallen quite far back in the pack.\Man, she's cute!\Let's see.\Oh crap!\Oh, it's Igawa-san. She's popular, too. response:	I knew they seemed familiar. When I used to go cheer Kousei on,
context: He's a phenom ready to take the world by storm.\In comparison,\she's fallen quite far back in the pack.\Man, she's cute!\Let's see.\Oh crap!\Oh, it's Igawa-san. She's popular, too.\I knew they seemed familiar. When I used to go cheer Kousei on, response:	both that Aiza-kun, and Igawa-san...
context: In comparison,\she's fallen quite far back in the pack.\Man, she's cute!\Let's see.\Oh crap!\Oh, it's Igawa-san. She's popular, too.\I knew they seemed familiar. When I used to go cheer Kousei on,\both that Aiza-kun, and Igawa-san... response:	I used to see those three together all the time.
context: she's fallen quite far back in the pack.\Man, she's cute!\Let's see.\Oh crap!\Oh, it's Igawa-san. She's popular, too.\I knew they seemed familiar. When I used to go cheer Kousei on,\both that Aiza-kun, and Igawa-san...\I used to see those three together all the time. response:	I remember because their names were always at the top.
context: Man, she's cute!\Let's see.\Oh crap!\Oh, it's Igawa-san. She's popular, too.\I knew they seemed familiar. When I used to go cheer Kousei on,\both that Aiza-kun, and Igawa-san...\I used to see those three together all the time.\I remember because their names were always at the top. response:	But of course, it was Kousei who always ended up in first place!
context: Let's see.\Oh crap!\Oh, it's Igawa-san. She's popular, too.\I knew they seemed familiar. When I used to go cheer Kousei on,\both that Aiza-kun, and Igawa-san...\I used to see those three together all the time.\I remember because their names were always at the top.\But of course, it was Kousei who always ended up in first place! response:	Yeah, and why are you acting so smug again?
context: Oh crap!\Oh, it's Igawa-san. She's popular, too.\I knew they seemed familiar. When I used to go cheer Kousei on,\both that Aiza-kun, and Igawa-san...\I used to see those three together all the time.\I remember because their names were always at the top.\But of course, it was Kousei who always ended up in first place!\Yeah, and why are you acting so smug again? response:	So listen, is this Emi-chan any good at the piano?
context: Oh, it's Igawa-san. She's popular, too.\I knew they seemed familiar. When I used to go cheer Kousei on,\both that Aiza-kun, and Igawa-san...\I used to see those three together all the time.\I remember because their names were always at the top.\But of course, it was Kousei who always ended up in first place!\Yeah, and why are you acting so smug again?\So listen, is this Emi-chan any good at the piano? response:	She's got to be good. Because she's cute!
context: I knew they seemed familiar. When I used to go cheer Kousei on,\both that Aiza-kun, and Igawa-san...\I used to see those three together all the time.\I remember because their names were always at the top.\But of course, it was Kousei who always ended up in first place!\Yeah, and why are you acting so smug again?\So listen, is this Emi-chan any good at the piano?\She's got to be good. Because she's cute! response:	I know how to size up people.
context: both that Aiza-kun, and Igawa-san...\I used to see those three together all the time.\I remember because their names were always at the top.\But of course, it was Kousei who always ended up in first place!\Yeah, and why are you acting so smug again?\So listen, is this Emi-chan any good at the piano?\She's got to be good. Because she's cute!\I know how to size up people. response:	I bet Emi-chan's gonna run away with this competition.
context: I used to see those three together all the time.\I remember because their names were always at the top.\But of course, it was Kousei who always ended up in first place!\Yeah, and why are you acting so smug again?\So listen, is this Emi-chan any good at the piano?\She's got to be good. Because she's cute!\I know how to size up people.\I bet Emi-chan's gonna run away with this competition. response:	I mean,'cause she's so cute.
context: I remember because their names were always at the top.\But of course, it was Kousei who always ended up in first place!\Yeah, and why are you acting so smug again?\So listen, is this Emi-chan any good at the piano?\She's got to be good. Because she's cute!\I know how to size up people.\I bet Emi-chan's gonna run away with this competition.\I mean,'cause she's so cute. response:	Already using her first name?
context: But of course, it was Kousei who always ended up in first place!\Yeah, and why are you acting so smug again?\So listen, is this Emi-chan any good at the piano?\She's got to be good. Because she's cute!\I know how to size up people.\I bet Emi-chan's gonna run away with this competition.\I mean,'cause she's so cute.\Already using her first name? response:	Jerk...
context: Yeah, and why are you acting so smug again?\So listen, is this Emi-chan any good at the piano?\She's got to be good. Because she's cute!\I know how to size up people.\I bet Emi-chan's gonna run away with this competition.\I mean,'cause she's so cute.\Already using her first name?\Jerk... response:	Hmm, but I think Igawa-san's been struggling a little lately.
context: So listen, is this Emi-chan any good at the piano?\She's got to be good. Because she's cute!\I know how to size up people.\I bet Emi-chan's gonna run away with this competition.\I mean,'cause she's so cute.\Already using her first name?\Jerk...\Hmm, but I think Igawa-san's been struggling a little lately. response:	An honorable mention at the Kumagai Competition,
context: She's got to be good. Because she's cute!\I know how to size up people.\I bet Emi-chan's gonna run away with this competition.\I mean,'cause she's so cute.\Already using her first name?\Jerk...\Hmm, but I think Igawa-san's been struggling a little lately.\An honorable mention at the Kumagai Competition, response:	third place at the Tanizaki Music Festival,
context: I know how to size up people.\I bet Emi-chan's gonna run away with this competition.\I mean,'cause she's so cute.\Already using her first name?\Jerk...\Hmm, but I think Igawa-san's been struggling a little lately.\An honorable mention at the Kumagai Competition,\third place at the Tanizaki Music Festival, response:	and the other day, she didn't even make it past the preliminaries.
context: I bet Emi-chan's gonna run away with this competition.\I mean,'cause she's so cute.\Already using her first name?\Jerk...\Hmm, but I think Igawa-san's been struggling a little lately.\An honorable mention at the Kumagai Competition,\third place at the Tanizaki Music Festival,\and the other day, she didn't even make it past the preliminaries. response:	Sounds like she's been running hot and cold.
context: I mean,'cause she's so cute.\Already using her first name?\Jerk...\Hmm, but I think Igawa-san's been struggling a little lately.\An honorable mention at the Kumagai Competition,\third place at the Tanizaki Music Festival,\and the other day, she didn't even make it past the preliminaries.\Sounds like she's been running hot and cold. response:	To think that those three always used to be a lock for the Top 3...
context: Already using her first name?\Jerk...\Hmm, but I think Igawa-san's been struggling a little lately.\An honorable mention at the Kumagai Competition,\third place at the Tanizaki Music Festival,\and the other day, she didn't even make it past the preliminaries.\Sounds like she's been running hot and cold.\To think that those three always used to be a lock for the Top 3... response:	Pardon me.
context: Jerk...\Hmm, but I think Igawa-san's been struggling a little lately.\An honorable mention at the Kumagai Competition,\third place at the Tanizaki Music Festival,\and the other day, she didn't even make it past the preliminaries.\Sounds like she's been running hot and cold.\To think that those three always used to be a lock for the Top 3...\Pardon me. response:	Oh,
