context: A Village Out in the Boonies: Hage response:	Here we go again...
context: Water Creation Magic: Holy Fist of Love!\I-I'm sorry, Asta.\I used magic from my grimoire without thinking...\Well done, sister.\No mercy whatsoever.\I-I... It just happened..\I'm not done yet!\Sheesh. response:	How many times does she have to dump you?
context: I-I'm sorry, Asta.\I used magic from my grimoire without thinking...\Well done, sister.\No mercy whatsoever.\I-I... It just happened..\I'm not done yet!\Sheesh.\How many times does she have to dump you? response:	Why are you getting in my way too, Yuno?!
context: I used magic from my grimoire without thinking...\Well done, sister.\No mercy whatsoever.\I-I... It just happened..\I'm not done yet!\Sheesh.\How many times does she have to dump you?\Why are you getting in my way too, Yuno?! response:	Why?
context: Well done, sister.\No mercy whatsoever.\I-I... It just happened..\I'm not done yet!\Sheesh.\How many times does she have to dump you?\Why are you getting in my way too, Yuno?!\Why? response:	Because you're loud, short,
context: No mercy whatsoever.\I-I... It just happened..\I'm not done yet!\Sheesh.\How many times does she have to dump you?\Why are you getting in my way too, Yuno?!\Why?\Because you're loud, short, response:	Loud
context: I-I... It just happened..\I'm not done yet!\Sheesh.\How many times does she have to dump you?\Why are you getting in my way too, Yuno?!\Why?\Because you're loud, short,\Loud response:	Short
context: I'm not done yet!\Sheesh.\How many times does she have to dump you?\Why are you getting in my way too, Yuno?!\Why?\Because you're loud, short,\Loud\Short response:	obnoxious, and immature.
context: Sheesh.\How many times does she have to dump you?\Why are you getting in my way too, Yuno?!\Why?\Because you're loud, short,\Loud\Short\obnoxious, and immature. response:	Obnoxious
context: How many times does she have to dump you?\Why are you getting in my way too, Yuno?!\Why?\Because you're loud, short,\Loud\Short\obnoxious, and immature.\Obnoxious response:	Immature
context: Why are you getting in my way too, Yuno?!\Why?\Because you're loud, short,\Loud\Short\obnoxious, and immature.\Obnoxious\Immature response:	Basically, you're not appealing to women in any way.
context: Why?\Because you're loud, short,\Loud\Short\obnoxious, and immature.\Obnoxious\Immature\Basically, you're not appealing to women in any way. response:	Not appealing
context: Because you're loud, short,\Loud\Short\obnoxious, and immature.\Obnoxious\Immature\Basically, you're not appealing to women in any way.\Not appealing response:	Hey! Is that what you say to someone you've grown up with
context: Loud\Short\obnoxious, and immature.\Obnoxious\Immature\Basically, you're not appealing to women in any way.\Not appealing\Hey! Is that what you say to someone you've grown up with response:	for the past fifteen years, you handsome jerk?!
context: Short\obnoxious, and immature.\Obnoxious\Immature\Basically, you're not appealing to women in any way.\Not appealing\Hey! Is that what you say to someone you've grown up with\for the past fifteen years, you handsome jerk?! response:	Let me give you a hand.
context: obnoxious, and immature.\Obnoxious\Immature\Basically, you're not appealing to women in any way.\Not appealing\Hey! Is that what you say to someone you've grown up with\for the past fifteen years, you handsome jerk?!\Let me give you a hand. response:	Thanks.
context: Obnoxious\Immature\Basically, you're not appealing to women in any way.\Not appealing\Hey! Is that what you say to someone you've grown up with\for the past fifteen years, you handsome jerk?!\Let me give you a hand.\Thanks. response:	Don't ignore me, damn it!
context: Immature\Basically, you're not appealing to women in any way.\Not appealing\Hey! Is that what you say to someone you've grown up with\for the past fifteen years, you handsome jerk?!\Let me give you a hand.\Thanks.\Don't ignore me, damn it! response:	Asta, Sister Lily is a woman of the cloth, so she can't get married.
context: Basically, you're not appealing to women in any way.\Not appealing\Hey! Is that what you say to someone you've grown up with\for the past fifteen years, you handsome jerk?!\Let me give you a hand.\Thanks.\Don't ignore me, damn it!\Asta, Sister Lily is a woman of the cloth, so she can't get married. response:	Also, you're only fifteen, so you can't get married anyway.
context: Not appealing\Hey! Is that what you say to someone you've grown up with\for the past fifteen years, you handsome jerk?!\Let me give you a hand.\Thanks.\Don't ignore me, damn it!\Asta, Sister Lily is a woman of the cloth, so she can't get married.\Also, you're only fifteen, so you can't get married anyway. response:	Shut up! Yuno, you jerk... I oughta...
context: Hey! Is that what you say to someone you've grown up with\for the past fifteen years, you handsome jerk?!\Let me give you a hand.\Thanks.\Don't ignore me, damn it!\Asta, Sister Lily is a woman of the cloth, so she can't get married.\Also, you're only fifteen, so you can't get married anyway.\Shut up! Yuno, you jerk... I oughta... response:	I challenge you to a fight, Yuno!
context: for the past fifteen years, you handsome jerk?!\Let me give you a hand.\Thanks.\Don't ignore me, damn it!\Asta, Sister Lily is a woman of the cloth, so she can't get married.\Also, you're only fifteen, so you can't get married anyway.\Shut up! Yuno, you jerk... I oughta...\I challenge you to a fight, Yuno! response:	And I decline.
context: Let me give you a hand.\Thanks.\Don't ignore me, damn it!\Asta, Sister Lily is a woman of the cloth, so she can't get married.\Also, you're only fifteen, so you can't get married anyway.\Shut up! Yuno, you jerk... I oughta...\I challenge you to a fight, Yuno!\And I decline. response:	Why the hell not?!
context: Thanks.\Don't ignore me, damn it!\Asta, Sister Lily is a woman of the cloth, so she can't get married.\Also, you're only fifteen, so you can't get married anyway.\Shut up! Yuno, you jerk... I oughta...\I challenge you to a fight, Yuno!\And I decline.\Why the hell not?! response:	Because it's a waste of time.
context: Don't ignore me, damn it!\Asta, Sister Lily is a woman of the cloth, so she can't get married.\Also, you're only fifteen, so you can't get married anyway.\Shut up! Yuno, you jerk... I oughta...\I challenge you to a fight, Yuno!\And I decline.\Why the hell not?!\Because it's a waste of time. response:	What'd you say?!
context: Asta, Sister Lily is a woman of the cloth, so she can't get married.\Also, you're only fifteen, so you can't get married anyway.\Shut up! Yuno, you jerk... I oughta...\I challenge you to a fight, Yuno!\And I decline.\Why the hell not?!\Because it's a waste of time.\What'd you say?! response:	Give it a rest, Asta. There's no way you can beat Yuno.
context: Also, you're only fifteen, so you can't get married anyway.\Shut up! Yuno, you jerk... I oughta...\I challenge you to a fight, Yuno!\And I decline.\Why the hell not?!\Because it's a waste of time.\What'd you say?!\Give it a rest, Asta. There's no way you can beat Yuno. response:	Take this...
context: Shut up! Yuno, you jerk... I oughta...\I challenge you to a fight, Yuno!\And I decline.\Why the hell not?!\Because it's a waste of time.\What'd you say?!\Give it a rest, Asta. There's no way you can beat Yuno.\Take this... response:	My ultimate...
context: I challenge you to a fight, Yuno!\And I decline.\Why the hell not?!\Because it's a waste of time.\What'd you say?!\Give it a rest, Asta. There's no way you can beat Yuno.\Take this...\My ultimate... response:	Hold up, Asta.
context: And I decline.\Why the hell not?!\Because it's a waste of time.\What'd you say?!\Give it a rest, Asta. There's no way you can beat Yuno.\Take this...\My ultimate...\Hold up, Asta. response:	Attack!
context: Why the hell not?!\Because it's a waste of time.\What'd you say?!\Give it a rest, Asta. There's no way you can beat Yuno.\Take this...\My ultimate...\Hold up, Asta.\Attack! response:	I mean, you can't even use magic.
context: Because it's a waste of time.\What'd you say?!\Give it a rest, Asta. There's no way you can beat Yuno.\Take this...\My ultimate...\Hold up, Asta.\Attack!\I mean, you can't even use magic. response:	Nothing came out!
context: What'd you say?!\Give it a rest, Asta. There's no way you can beat Yuno.\Take this...\My ultimate...\Hold up, Asta.\Attack!\I mean, you can't even use magic.\Nothing came out! response:	I'm not done yet!
context: Give it a rest, Asta. There's no way you can beat Yuno.\Take this...\My ultimate...\Hold up, Asta.\Attack!\I mean, you can't even use magic.\Nothing came out!\I'm not done yet! response:	You're funny, Asta!
context: Take this...\My ultimate...\Hold up, Asta.\Attack!\I mean, you can't even use magic.\Nothing came out!\I'm not done yet!\You're funny, Asta! response:	You have zero sense.
context: My ultimate...\Hold up, Asta.\Attack!\I mean, you can't even use magic.\Nothing came out!\I'm not done yet!\You're funny, Asta!\You have zero sense. response:	It's hard to believe someone your age can't use magic yet.
context: Hold up, Asta.\Attack!\I mean, you can't even use magic.\Nothing came out!\I'm not done yet!\You're funny, Asta!\You have zero sense.\It's hard to believe someone your age can't use magic yet. response:	The hell's your problem?! How dare you speak to your elders that way?!
context: Attack!\I mean, you can't even use magic.\Nothing came out!\I'm not done yet!\You're funny, Asta!\You have zero sense.\It's hard to believe someone your age can't use magic yet.\The hell's your problem?! How dare you speak to your elders that way?! response:	Shut up.
context: I mean, you can't even use magic.\Nothing came out!\I'm not done yet!\You're funny, Asta!\You have zero sense.\It's hard to believe someone your age can't use magic yet.\The hell's your problem?! How dare you speak to your elders that way?!\Shut up. response:	Magic is everything in this world.
context: Nothing came out!\I'm not done yet!\You're funny, Asta!\You have zero sense.\It's hard to believe someone your age can't use magic yet.\The hell's your problem?! How dare you speak to your elders that way?!\Shut up.\Magic is everything in this world. response:	It's only natural to be able to use magic.
context: I'm not done yet!\You're funny, Asta!\You have zero sense.\It's hard to believe someone your age can't use magic yet.\The hell's your problem?! How dare you speak to your elders that way?!\Shut up.\Magic is everything in this world.\It's only natural to be able to use magic. response:	You're the only one I've ever seen who can't use it, Asta.
context: You're funny, Asta!\You have zero sense.\It's hard to believe someone your age can't use magic yet.\The hell's your problem?! How dare you speak to your elders that way?!\Shut up.\Magic is everything in this world.\It's only natural to be able to use magic.\You're the only one I've ever seen who can't use it, Asta. response:	G-Guess I don't have a choice...
context: You have zero sense.\It's hard to believe someone your age can't use magic yet.\The hell's your problem?! How dare you speak to your elders that way?!\Shut up.\Magic is everything in this world.\It's only natural to be able to use magic.\You're the only one I've ever seen who can't use it, Asta.\G-Guess I don't have a choice... response:	I'll have to show you what I'm really made of...
context: It's hard to believe someone your age can't use magic yet.\The hell's your problem?! How dare you speak to your elders that way?!\Shut up.\Magic is everything in this world.\It's only natural to be able to use magic.\You're the only one I've ever seen who can't use it, Asta.\G-Guess I don't have a choice...\I'll have to show you what I'm really made of... response:	What you're really made of?
context: The hell's your problem?! How dare you speak to your elders that way?!\Shut up.\Magic is everything in this world.\It's only natural to be able to use magic.\You're the only one I've ever seen who can't use it, Asta.\G-Guess I don't have a choice...\I'll have to show you what I'm really made of...\What you're really made of? response:	How you like that?! I know you can't do sit-ups this fast!
context: Shut up.\Magic is everything in this world.\It's only natural to be able to use magic.\You're the only one I've ever seen who can't use it, Asta.\G-Guess I don't have a choice...\I'll have to show you what I'm really made of...\What you're really made of?\How you like that?! I know you can't do sit-ups this fast! response:	What's your point, you idiot?
context: Magic is everything in this world.\It's only natural to be able to use magic.\You're the only one I've ever seen who can't use it, Asta.\G-Guess I don't have a choice...\I'll have to show you what I'm really made of...\What you're really made of?\How you like that?! I know you can't do sit-ups this fast!\What's your point, you idiot? response:	You're funny, Asta!
context: It's only natural to be able to use magic.\You're the only one I've ever seen who can't use it, Asta.\G-Guess I don't have a choice...\I'll have to show you what I'm really made of...\What you're really made of?\How you like that?! I know you can't do sit-ups this fast!\What's your point, you idiot?\You're funny, Asta! response:	Yuno's so cool!
context: You're the only one I've ever seen who can't use it, Asta.\G-Guess I don't have a choice...\I'll have to show you what I'm really made of...\What you're really made of?\How you like that?! I know you can't do sit-ups this fast!\What's your point, you idiot?\You're funny, Asta!\Yuno's so cool! response:	That's Yuno for you.
context: G-Guess I don't have a choice...\I'll have to show you what I'm really made of...\What you're really made of?\How you like that?! I know you can't do sit-ups this fast!\What's your point, you idiot?\You're funny, Asta!\Yuno's so cool!\That's Yuno for you. response:	He's such a great help.
context: I'll have to show you what I'm really made of...\What you're really made of?\How you like that?! I know you can't do sit-ups this fast!\What's your point, you idiot?\You're funny, Asta!\Yuno's so cool!\That's Yuno for you.\He's such a great help. response:	Then leave... the wood-chopping...
context: What you're really made of?\How you like that?! I know you can't do sit-ups this fast!\What's your point, you idiot?\You're funny, Asta!\Yuno's so cool!\That's Yuno for you.\He's such a great help.\Then leave... the wood-chopping... response:	to me!
context: How you like that?! I know you can't do sit-ups this fast!\What's your point, you idiot?\You're funny, Asta!\Yuno's so cool!\That's Yuno for you.\He's such a great help.\Then leave... the wood-chopping...\to me! response:	I still can't believe you two are the same age.
context: What's your point, you idiot?\You're funny, Asta!\Yuno's so cool!\That's Yuno for you.\He's such a great help.\Then leave... the wood-chopping...\to me!\I still can't believe you two are the same age. response:	Yuno is the hope of this church!
context: You're funny, Asta!\Yuno's so cool!\That's Yuno for you.\He's such a great help.\Then leave... the wood-chopping...\to me!\I still can't believe you two are the same age.\Yuno is the hope of this church! response:	I won't be surprised if you end up joining
context: Yuno's so cool!\That's Yuno for you.\He's such a great help.\Then leave... the wood-chopping...\to me!\I still can't believe you two are the same age.\Yuno is the hope of this church!\I won't be surprised if you end up joining response:	the Magic Knights who serve the Wizard King, Yuno!
context: That's Yuno for you.\He's such a great help.\Then leave... the wood-chopping...\to me!\I still can't believe you two are the same age.\Yuno is the hope of this church!\I won't be surprised if you end up joining\the Magic Knights who serve the Wizard King, Yuno! response:	The awarding ceremony is coming up, Asta.
context: He's such a great help.\Then leave... the wood-chopping...\to me!\I still can't believe you two are the same age.\Yuno is the hope of this church!\I won't be surprised if you end up joining\the Magic Knights who serve the Wizard King, Yuno!\The awarding ceremony is coming up, Asta. response:	Once you receive your grimoire,
context: Then leave... the wood-chopping...\to me!\I still can't believe you two are the same age.\Yuno is the hope of this church!\I won't be surprised if you end up joining\the Magic Knights who serve the Wizard King, Yuno!\The awarding ceremony is coming up, Asta.\Once you receive your grimoire, response:	it should trigger something within you, and you should be able to use magic, too.
context: to me!\I still can't believe you two are the same age.\Yuno is the hope of this church!\I won't be surprised if you end up joining\the Magic Knights who serve the Wizard King, Yuno!\The awarding ceremony is coming up, Asta.\Once you receive your grimoire,\it should trigger something within you, and you should be able to use magic, too. response:	Sister...
context: I still can't believe you two are the same age.\Yuno is the hope of this church!\I won't be surprised if you end up joining\the Magic Knights who serve the Wizard King, Yuno!\The awarding ceremony is coming up, Asta.\Once you receive your grimoire,\it should trigger something within you, and you should be able to use magic, too.\Sister... response:	At least, I think so.
context: Yuno is the hope of this church!\I won't be surprised if you end up joining\the Magic Knights who serve the Wizard King, Yuno!\The awarding ceremony is coming up, Asta.\Once you receive your grimoire,\it should trigger something within you, and you should be able to use magic, too.\Sister...\At least, I think so. response:	I'll get my grimoire soon...
context: I won't be surprised if you end up joining\the Magic Knights who serve the Wizard King, Yuno!\The awarding ceremony is coming up, Asta.\Once you receive your grimoire,\it should trigger something within you, and you should be able to use magic, too.\Sister...\At least, I think so.\I'll get my grimoire soon... response:	Finally... Finally!
context: the Magic Knights who serve the Wizard King, Yuno!\The awarding ceremony is coming up, Asta.\Once you receive your grimoire,\it should trigger something within you, and you should be able to use magic, too.\Sister...\At least, I think so.\I'll get my grimoire soon...\Finally... Finally! response:	I'll get a grimoire that's more amazing than anyone else's,
context: The awarding ceremony is coming up, Asta.\Once you receive your grimoire,\it should trigger something within you, and you should be able to use magic, too.\Sister...\At least, I think so.\I'll get my grimoire soon...\Finally... Finally!\I'll get a grimoire that's more amazing than anyone else's, response:	get into the Magic Knights, follow in your footsteps,
context: Once you receive your grimoire,\it should trigger something within you, and you should be able to use magic, too.\Sister...\At least, I think so.\I'll get my grimoire soon...\Finally... Finally!\I'll get a grimoire that's more amazing than anyone else's,\get into the Magic Knights, follow in your footsteps, response:	and become the Wizard King!
context: it should trigger something within you, and you should be able to use magic, too.\Sister...\At least, I think so.\I'll get my grimoire soon...\Finally... Finally!\I'll get a grimoire that's more amazing than anyone else's,\get into the Magic Knights, follow in your footsteps,\and become the Wizard King! response:	There he goes again.
context: Sister...\At least, I think so.\I'll get my grimoire soon...\Finally... Finally!\I'll get a grimoire that's more amazing than anyone else's,\get into the Magic Knights, follow in your footsteps,\and become the Wizard King!\There he goes again. response:	And I'll fix up this shabby, ugly church!
context: At least, I think so.\I'll get my grimoire soon...\Finally... Finally!\I'll get a grimoire that's more amazing than anyone else's,\get into the Magic Knights, follow in your footsteps,\and become the Wizard King!\There he goes again.\And I'll fix up this shabby, ugly church! response:	Well, I'm sorry it's so shabby and ugly!
context: I'll get my grimoire soon...\Finally... Finally!\I'll get a grimoire that's more amazing than anyone else's,\get into the Magic Knights, follow in your footsteps,\and become the Wizard King!\There he goes again.\And I'll fix up this shabby, ugly church!\Well, I'm sorry it's so shabby and ugly! response:	Right, Yuno?
context: Finally... Finally!\I'll get a grimoire that's more amazing than anyone else's,\get into the Magic Knights, follow in your footsteps,\and become the Wizard King!\There he goes again.\And I'll fix up this shabby, ugly church!\Well, I'm sorry it's so shabby and ugly!\Right, Yuno? response:	Right?
context: I'll get a grimoire that's more amazing than anyone else's,\get into the Magic Knights, follow in your footsteps,\and become the Wizard King!\There he goes again.\And I'll fix up this shabby, ugly church!\Well, I'm sorry it's so shabby and ugly!\Right, Yuno?\Right? response:	Just you wait...
context: get into the Magic Knights, follow in your footsteps,\and become the Wizard King!\There he goes again.\And I'll fix up this shabby, ugly church!\Well, I'm sorry it's so shabby and ugly!\Right, Yuno?\Right?\Just you wait... response:	Just you wait, damn it!
context: and become the Wizard King!\There he goes again.\And I'll fix up this shabby, ugly church!\Well, I'm sorry it's so shabby and ugly!\Right, Yuno?\Right?\Just you wait...\Just you wait, damn it! response:	Asta, wait!
context: There he goes again.\And I'll fix up this shabby, ugly church!\Well, I'm sorry it's so shabby and ugly!\Right, Yuno?\Right?\Just you wait...\Just you wait, damn it!\Asta, wait! response:	Is he really older than me?
context: And I'll fix up this shabby, ugly church!\Well, I'm sorry it's so shabby and ugly!\Right, Yuno?\Right?\Just you wait...\Just you wait, damn it!\Asta, wait!\Is he really older than me? response:	Say, Yuno... Couldn't you be a bit nicer to Asta?
context: Well, I'm sorry it's so shabby and ugly!\Right, Yuno?\Right?\Just you wait...\Just you wait, damn it!\Asta, wait!\Is he really older than me?\Say, Yuno... Couldn't you be a bit nicer to Asta? response:	Like you used to be. Remember how you two were always together when you were little?
context: Right, Yuno?\Right?\Just you wait...\Just you wait, damn it!\Asta, wait!\Is he really older than me?\Say, Yuno... Couldn't you be a bit nicer to Asta?\Like you used to be. Remember how you two were always together when you were little? response:	Yuno used to be such a crybaby,
context: Right?\Just you wait...\Just you wait, damn it!\Asta, wait!\Is he really older than me?\Say, Yuno... Couldn't you be a bit nicer to Asta?\Like you used to be. Remember how you two were always together when you were little?\Yuno used to be such a crybaby, response:	but ever since the day he brought Asta back with those terrible injuries,
context: Just you wait...\Just you wait, damn it!\Asta, wait!\Is he really older than me?\Say, Yuno... Couldn't you be a bit nicer to Asta?\Like you used to be. Remember how you two were always together when you were little?\Yuno used to be such a crybaby,\but ever since the day he brought Asta back with those terrible injuries, response:	Yuno hasn't cried at all.
context: Just you wait, damn it!\Asta, wait!\Is he really older than me?\Say, Yuno... Couldn't you be a bit nicer to Asta?\Like you used to be. Remember how you two were always together when you were little?\Yuno used to be such a crybaby,\but ever since the day he brought Asta back with those terrible injuries,\Yuno hasn't cried at all. response:	I can't be nicer to him.
context: Asta, wait!\Is he really older than me?\Say, Yuno... Couldn't you be a bit nicer to Asta?\Like you used to be. Remember how you two were always together when you were little?\Yuno used to be such a crybaby,\but ever since the day he brought Asta back with those terrible injuries,\Yuno hasn't cried at all.\I can't be nicer to him. response:	Come to think of it, Asta has come home covered in mud ever since that day, too.
context: Is he really older than me?\Say, Yuno... Couldn't you be a bit nicer to Asta?\Like you used to be. Remember how you two were always together when you were little?\Yuno used to be such a crybaby,\but ever since the day he brought Asta back with those terrible injuries,\Yuno hasn't cried at all.\I can't be nicer to him.\Come to think of it, Asta has come home covered in mud ever since that day, too. response:	I wonder what he's doing out there...
context: Say, Yuno... Couldn't you be a bit nicer to Asta?\Like you used to be. Remember how you two were always together when you were little?\Yuno used to be such a crybaby,\but ever since the day he brought Asta back with those terrible injuries,\Yuno hasn't cried at all.\I can't be nicer to him.\Come to think of it, Asta has come home covered in mud ever since that day, too.\I wonder what he's doing out there... response:	994... 995, 996,
