context: The universe has a beginning, but no end. response:	Infinite.
context: Prologue\Prologue\Prologue\to\to\to\to\to response:	to
context: Prologue\Prologue\to\to\to\to\to\to response:	to
context: Prologue\to\to\to\to\to\to\to response:	the
context: to\to\to\to\to\to\to\the response:	the
context: to\to\to\to\to\to\the\the response:	the
context: to\to\to\to\to\the\the\the response:	the
context: to\to\to\to\the\the\the\the response:	the
context: to\to\to\the\the\the\the\the response:	the
context: to\to\the\the\the\the\the\the response:	the
context: to\the\the\the\the\the\the\the response:	Beginning and End
context: the\the\the\the\the\the\the\Beginning and End response:	I'm initiating my infiltration of the building.
context: the\the\the\the\the\the\Beginning and End\I'm initiating my infiltration of the building. response:	El Psy Congroo.
context: the\the\the\the\the\Beginning and End\I'm initiating my infiltration of the building.\El Psy Congroo. response:	There aren't many people here.
context: the\the\the\the\Beginning and End\I'm initiating my infiltration of the building.\El Psy Congroo.\There aren't many people here. response:	As I suspected, the Organization may be interfering...
context: the\the\the\Beginning and End\I'm initiating my infiltration of the building.\El Psy Congroo.\There aren't many people here.\As I suspected, the Organization may be interfering... response:	What's going to happen here?
context: the\the\Beginning and End\I'm initiating my infiltration of the building.\El Psy Congroo.\There aren't many people here.\As I suspected, the Organization may be interfering...\What's going to happen here? response:	You came here, without even knowing?
context: the\Beginning and End\I'm initiating my infiltration of the building.\El Psy Congroo.\There aren't many people here.\As I suspected, the Organization may be interfering...\What's going to happen here?\You came here, without even knowing? response:	Professor Nakabachi's Time Machine Invention Press Conference
context: Beginning and End\I'm initiating my infiltration of the building.\El Psy Congroo.\There aren't many people here.\As I suspected, the Organization may be interfering...\What's going to happen here?\You came here, without even knowing?\Professor Nakabachi's Time Machine Invention Press Conference response:	A time machine...
context: I'm initiating my infiltration of the building.\El Psy Congroo.\There aren't many people here.\As I suspected, the Organization may be interfering...\What's going to happen here?\You came here, without even knowing?\Professor Nakabachi's Time Machine Invention Press Conference\A time machine... response:	Amazing!
context: El Psy Congroo.\There aren't many people here.\As I suspected, the Organization may be interfering...\What's going to happen here?\You came here, without even knowing?\Professor Nakabachi's Time Machine Invention Press Conference\A time machine...\Amazing! response:	Professor Nakabachi has surpassed the rest of us scientists,
context: There aren't many people here.\As I suspected, the Organization may be interfering...\What's going to happen here?\You came here, without even knowing?\Professor Nakabachi's Time Machine Invention Press Conference\A time machine...\Amazing!\Professor Nakabachi has surpassed the rest of us scientists, response:	and is ready to announce the invention of the century.
context: As I suspected, the Organization may be interfering...\What's going to happen here?\You came here, without even knowing?\Professor Nakabachi's Time Machine Invention Press Conference\A time machine...\Amazing!\Professor Nakabachi has surpassed the rest of us scientists,\and is ready to announce the invention of the century. response:	I'm going to pay careful attention to what he has to say.
context: What's going to happen here?\You came here, without even knowing?\Professor Nakabachi's Time Machine Invention Press Conference\A time machine...\Amazing!\Professor Nakabachi has surpassed the rest of us scientists,\and is ready to announce the invention of the century.\I'm going to pay careful attention to what he has to say. response:	An earthquake?
context: You came here, without even knowing?\Professor Nakabachi's Time Machine Invention Press Conference\A time machine...\Amazing!\Professor Nakabachi has surpassed the rest of us scientists,\and is ready to announce the invention of the century.\I'm going to pay careful attention to what he has to say.\An earthquake? response:	No, from above?
context: Professor Nakabachi's Time Machine Invention Press Conference\A time machine...\Amazing!\Professor Nakabachi has surpassed the rest of us scientists,\and is ready to announce the invention of the century.\I'm going to pay careful attention to what he has to say.\An earthquake?\No, from above? response:	What's this?
context: A time machine...\Amazing!\Professor Nakabachi has surpassed the rest of us scientists,\and is ready to announce the invention of the century.\I'm going to pay careful attention to what he has to say.\An earthquake?\No, from above?\What's this? response:	You called me here for this?
context: Amazing!\Professor Nakabachi has surpassed the rest of us scientists,\and is ready to announce the invention of the century.\I'm going to pay careful attention to what he has to say.\An earthquake?\No, from above?\What's this?\You called me here for this? response:	There aren't many left of this series,
context: Professor Nakabachi has surpassed the rest of us scientists,\and is ready to announce the invention of the century.\I'm going to pay careful attention to what he has to say.\An earthquake?\No, from above?\What's this?\You called me here for this?\There aren't many left of this series, response:	and Mayushii's out of hundred-yen coins!
context: and is ready to announce the invention of the century.\I'm going to pay careful attention to what he has to say.\An earthquake?\No, from above?\What's this?\You called me here for this?\There aren't many left of this series,\and Mayushii's out of hundred-yen coins! response:	Don't be a spoiled little girl, Mayuri.
context: I'm going to pay careful attention to what he has to say.\An earthquake?\No, from above?\What's this?\You called me here for this?\There aren't many left of this series,\and Mayushii's out of hundred-yen coins!\Don't be a spoiled little girl, Mayuri. response:	Even if I've known you since we were kids, I'm not lending you money.
context: An earthquake?\No, from above?\What's this?\You called me here for this?\There aren't many left of this series,\and Mayushii's out of hundred-yen coins!\Don't be a spoiled little girl, Mayuri.\Even if I've known you since we were kids, I'm not lending you money. response:	I'll teach you how harsh life can be...
context: No, from above?\What's this?\You called me here for this?\There aren't many left of this series,\and Mayushii's out of hundred-yen coins!\Don't be a spoiled little girl, Mayuri.\Even if I've known you since we were kids, I'm not lending you money.\I'll teach you how harsh life can be... response:	What's this?
context: What's this?\You called me here for this?\There aren't many left of this series,\and Mayushii's out of hundred-yen coins!\Don't be a spoiled little girl, Mayuri.\Even if I've known you since we were kids, I'm not lending you money.\I'll teach you how harsh life can be...\What's this? response:	It's not painted?
context: You called me here for this?\There aren't many left of this series,\and Mayushii's out of hundred-yen coins!\Don't be a spoiled little girl, Mayuri.\Even if I've known you since we were kids, I'm not lending you money.\I'll teach you how harsh life can be...\What's this?\It's not painted? response:	M-Metal...
context: There aren't many left of this series,\and Mayushii's out of hundred-yen coins!\Don't be a spoiled little girl, Mayuri.\Even if I've known you since we were kids, I'm not lending you money.\I'll teach you how harsh life can be...\What's this?\It's not painted?\M-Metal... response:	It's a metal...
context: and Mayushii's out of hundred-yen coins!\Don't be a spoiled little girl, Mayuri.\Even if I've known you since we were kids, I'm not lending you money.\I'll teach you how harsh life can be...\What's this?\It's not painted?\M-Metal...\It's a metal... response:	A metal Upa!
context: Don't be a spoiled little girl, Mayuri.\Even if I've known you since we were kids, I'm not lending you money.\I'll teach you how harsh life can be...\What's this?\It's not painted?\M-Metal...\It's a metal...\A metal Upa! response:	Is it rare?
context: Even if I've known you since we were kids, I'm not lending you money.\I'll teach you how harsh life can be...\What's this?\It's not painted?\M-Metal...\It's a metal...\A metal Upa!\Is it rare? response:	Really!
context: I'll teach you how harsh life can be...\What's this?\It's not painted?\M-Metal...\It's a metal...\A metal Upa!\Is it rare?\Really! response:	Then you can have it.
context: What's this?\It's not painted?\M-Metal...\It's a metal...\A metal Upa!\Is it rare?\Really!\Then you can have it. response:	Are you sure, Okarin?
context: It's not painted?\M-Metal...\It's a metal...\A metal Upa!\Is it rare?\Really!\Then you can have it.\Are you sure, Okarin? response:	It's Hououin Kyouma.
context: M-Metal...\It's a metal...\A metal Upa!\Is it rare?\Really!\Then you can have it.\Are you sure, Okarin?\It's Hououin Kyouma. response:	Thanks, Okarin.
context: It's a metal...\A metal Upa!\Is it rare?\Really!\Then you can have it.\Are you sure, Okarin?\It's Hououin Kyouma.\Thanks, Okarin. response:	I said it's Hououin Kyouma.
context: A metal Upa!\Is it rare?\Really!\Then you can have it.\Are you sure, Okarin?\It's Hououin Kyouma.\Thanks, Okarin.\I said it's Hououin Kyouma. response:	Professor Nakabachi's press conference
context: Is it rare?\Really!\Then you can have it.\Are you sure, Okarin?\It's Hououin Kyouma.\Thanks, Okarin.\I said it's Hououin Kyouma.\Professor Nakabachi's press conference response:	will now begin in the 8th Floor Hall.
context: Really!\Then you can have it.\Are you sure, Okarin?\It's Hououin Kyouma.\Thanks, Okarin.\I said it's Hououin Kyouma.\Professor Nakabachi's press conference\will now begin in the 8th Floor Hall. response:	In the handouts, you can read about
context: Then you can have it.\Are you sure, Okarin?\It's Hououin Kyouma.\Thanks, Okarin.\I said it's Hououin Kyouma.\Professor Nakabachi's press conference\will now begin in the 8th Floor Hall.\In the handouts, you can read about response:	the time machine's basic design.
context: Are you sure, Okarin?\It's Hououin Kyouma.\Thanks, Okarin.\I said it's Hououin Kyouma.\Professor Nakabachi's press conference\will now begin in the 8th Floor Hall.\In the handouts, you can read about\the time machine's basic design. response:	I will use this conference as an opportunity
context: It's Hououin Kyouma.\Thanks, Okarin.\I said it's Hououin Kyouma.\Professor Nakabachi's press conference\will now begin in the 8th Floor Hall.\In the handouts, you can read about\the time machine's basic design.\I will use this conference as an opportunity response:	to discuss the fundamental theory behind it.
context: Thanks, Okarin.\I said it's Hououin Kyouma.\Professor Nakabachi's press conference\will now begin in the 8th Floor Hall.\In the handouts, you can read about\the time machine's basic design.\I will use this conference as an opportunity\to discuss the fundamental theory behind it. response:	Scientists all over the world...
context: I said it's Hououin Kyouma.\Professor Nakabachi's press conference\will now begin in the 8th Floor Hall.\In the handouts, you can read about\the time machine's basic design.\I will use this conference as an opportunity\to discuss the fundamental theory behind it.\Scientists all over the world... response:	Received Mail
context: Professor Nakabachi's press conference\will now begin in the 8th Floor Hall.\In the handouts, you can read about\the time machine's basic design.\I will use this conference as an opportunity\to discuss the fundamental theory behind it.\Scientists all over the world...\Received Mail response:	Sender: Mayuri
context: will now begin in the 8th Floor Hall.\In the handouts, you can read about\the time machine's basic design.\I will use this conference as an opportunity\to discuss the fundamental theory behind it.\Scientists all over the world...\Received Mail\Sender: Mayuri response:	Subject: My Upa...
context: In the handouts, you can read about\the time machine's basic design.\I will use this conference as an opportunity\to discuss the fundamental theory behind it.\Scientists all over the world...\Received Mail\Sender: Mayuri\Subject: My Upa... response:	I think I dropped my metal Upa,
context: the time machine's basic design.\I will use this conference as an opportunity\to discuss the fundamental theory behind it.\Scientists all over the world...\Received Mail\Sender: Mayuri\Subject: My Upa...\I think I dropped my metal Upa, response:	so I'm going to look for it.
context: I will use this conference as an opportunity\to discuss the fundamental theory behind it.\Scientists all over the world...\Received Mail\Sender: Mayuri\Subject: My Upa...\I think I dropped my metal Upa,\so I'm going to look for it. response:	Currently, there are over ten major theories of possible time travel methods,
context: to discuss the fundamental theory behind it.\Scientists all over the world...\Received Mail\Sender: Mayuri\Subject: My Upa...\I think I dropped my metal Upa,\so I'm going to look for it.\Currently, there are over ten major theories of possible time travel methods, response:	Basic design of the time machine...
context: Scientists all over the world...\Received Mail\Sender: Mayuri\Subject: My Upa...\I think I dropped my metal Upa,\so I'm going to look for it.\Currently, there are over ten major theories of possible time travel methods,\Basic design of the time machine... response:	and it's been examined from nearly every possible angle.
context: Received Mail\Sender: Mayuri\Subject: My Upa...\I think I dropped my metal Upa,\so I'm going to look for it.\Currently, there are over ten major theories of possible time travel methods,\Basic design of the time machine...\and it's been examined from nearly every possible angle. response:	Doctor!
context: Sender: Mayuri\Subject: My Upa...\I think I dropped my metal Upa,\so I'm going to look for it.\Currently, there are over ten major theories of possible time travel methods,\Basic design of the time machine...\and it's been examined from nearly every possible angle.\Doctor! response:	What is it?
context: Subject: My Upa...\I think I dropped my metal Upa,\so I'm going to look for it.\Currently, there are over ten major theories of possible time travel methods,\Basic design of the time machine...\and it's been examined from nearly every possible angle.\Doctor!\What is it? response:	You know exactly what!
context: I think I dropped my metal Upa,\so I'm going to look for it.\Currently, there are over ten major theories of possible time travel methods,\Basic design of the time machine...\and it's been examined from nearly every possible angle.\Doctor!\What is it?\You know exactly what! response:	What is this time machine theory of yours?
context: so I'm going to look for it.\Currently, there are over ten major theories of possible time travel methods,\Basic design of the time machine...\and it's been examined from nearly every possible angle.\Doctor!\What is it?\You know exactly what!\What is this time machine theory of yours? response:	Kerr black holes?
context: Currently, there are over ten major theories of possible time travel methods,\Basic design of the time machine...\and it's been examined from nearly every possible angle.\Doctor!\What is it?\You know exactly what!\What is this time machine theory of yours?\Kerr black holes? response:	World lines?
context: Basic design of the time machine...\and it's been examined from nearly every possible angle.\Doctor!\What is it?\You know exactly what!\What is this time machine theory of yours?\Kerr black holes?\World lines? response:	You stole all this from John Titor!
context: and it's been examined from nearly every possible angle.\Doctor!\What is it?\You know exactly what!\What is this time machine theory of yours?\Kerr black holes?\World lines?\You stole all this from John Titor! response:	Titor called himself a time traveler,
context: Doctor!\What is it?\You know exactly what!\What is this time machine theory of yours?\Kerr black holes?\World lines?\You stole all this from John Titor!\Titor called himself a time traveler, response:	posting this theory on the internet back in 2000.
context: What is it?\You know exactly what!\What is this time machine theory of yours?\Kerr black holes?\World lines?\You stole all this from John Titor!\Titor called himself a time traveler,\posting this theory on the internet back in 2000. response:	Don't try claiming you didn't know!
context: You know exactly what!\What is this time machine theory of yours?\Kerr black holes?\World lines?\You stole all this from John Titor!\Titor called himself a time traveler,\posting this theory on the internet back in 2000.\Don't try claiming you didn't know! response:	How rude!
context: What is this time machine theory of yours?\Kerr black holes?\World lines?\You stole all this from John Titor!\Titor called himself a time traveler,\posting this theory on the internet back in 2000.\Don't try claiming you didn't know!\How rude! response:	Of course I know about him!
context: Kerr black holes?\World lines?\You stole all this from John Titor!\Titor called himself a time traveler,\posting this theory on the internet back in 2000.\Don't try claiming you didn't know!\How rude!\Of course I know about him! response:	Don't compare my theory to that fraud's!
context: World lines?\You stole all this from John Titor!\Titor called himself a time traveler,\posting this theory on the internet back in 2000.\Don't try claiming you didn't know!\How rude!\Of course I know about him!\Don't compare my theory to that fraud's! response:	Then why don't you explain
context: You stole all this from John Titor!\Titor called himself a time traveler,\posting this theory on the internet back in 2000.\Don't try claiming you didn't know!\How rude!\Of course I know about him!\Don't compare my theory to that fraud's!\Then why don't you explain response:	the difference between your theories?
context: Titor called himself a time traveler,\posting this theory on the internet back in 2000.\Don't try claiming you didn't know!\How rude!\Of course I know about him!\Don't compare my theory to that fraud's!\Then why don't you explain\the difference between your theories? response:	Hey, you...
context: posting this theory on the internet back in 2000.\Don't try claiming you didn't know!\How rude!\Of course I know about him!\Don't compare my theory to that fraud's!\Then why don't you explain\the difference between your theories?\Hey, you... response:	Titor, huh?
context: Don't try claiming you didn't know!\How rude!\Of course I know about him!\Don't compare my theory to that fraud's!\Then why don't you explain\the difference between your theories?\Hey, you...\Titor, huh? response:	Come to think of it, there was
context: How rude!\Of course I know about him!\Don't compare my theory to that fraud's!\Then why don't you explain\the difference between your theories?\Hey, you...\Titor, huh?\Come to think of it, there was response:	similar stuff in the John Titor books...
context: Of course I know about him!\Don't compare my theory to that fraud's!\Then why don't you explain\the difference between your theories?\Hey, you...\Titor, huh?\Come to think of it, there was\similar stuff in the John Titor books... response:	Who are you?
context: Don't compare my theory to that fraud's!\Then why don't you explain\the difference between your theories?\Hey, you...\Titor, huh?\Come to think of it, there was\similar stuff in the John Titor books...\Who are you? response:	That's what I'd like to know.
context: Then why don't you explain\the difference between your theories?\Hey, you...\Titor, huh?\Come to think of it, there was\similar stuff in the John Titor books...\Who are you?\That's what I'd like to know. response:	What?
context: the difference between your theories?\Hey, you...\Titor, huh?\Come to think of it, there was\similar stuff in the John Titor books...\Who are you?\That's what I'd like to know.\What? response:	Back there, you were going to tell me something,
context: Hey, you...\Titor, huh?\Come to think of it, there was\similar stuff in the John Titor books...\Who are you?\That's what I'd like to know.\What?\Back there, you were going to tell me something, response:	weren't you?
context: Titor, huh?\Come to think of it, there was\similar stuff in the John Titor books...\Who are you?\That's what I'd like to know.\What?\Back there, you were going to tell me something,\weren't you? response:	Back there?
context: Come to think of it, there was\similar stuff in the John Titor books...\Who are you?\That's what I'd like to know.\What?\Back there, you were going to tell me something,\weren't you?\Back there? response:	About fifteen minutes ago.
context: similar stuff in the John Titor books...\Who are you?\That's what I'd like to know.\What?\Back there, you were going to tell me something,\weren't you?\Back there?\About fifteen minutes ago. response:	I don't have the slightest idea...
context: Who are you?\That's what I'd like to know.\What?\Back there, you were going to tell me something,\weren't you?\Back there?\About fifteen minutes ago.\I don't have the slightest idea... response:	Makise... Kurisu?
context: That's what I'd like to know.\What?\Back there, you were going to tell me something,\weren't you?\Back there?\About fifteen minutes ago.\I don't have the slightest idea...\Makise... Kurisu? response:	You had a paper in Science Magazine a while ago.
context: What?\Back there, you were going to tell me something,\weren't you?\Back there?\About fifteen minutes ago.\I don't have the slightest idea...\Makise... Kurisu?\You had a paper in Science Magazine a while ago. response:	I'm surprised you know that.
context: Back there, you were going to tell me something,\weren't you?\Back there?\About fifteen minutes ago.\I don't have the slightest idea...\Makise... Kurisu?\You had a paper in Science Magazine a while ago.\I'm surprised you know that. response:	Are you a university scientist?
context: weren't you?\Back there?\About fifteen minutes ago.\I don't have the slightest idea...\Makise... Kurisu?\You had a paper in Science Magazine a while ago.\I'm surprised you know that.\Are you a university scientist? response:	You!
context: Back there?\About fifteen minutes ago.\I don't have the slightest idea...\Makise... Kurisu?\You had a paper in Science Magazine a while ago.\I'm surprised you know that.\Are you a university scientist?\You! response:	Are you an agent from the Organization?
context: About fifteen minutes ago.\I don't have the slightest idea...\Makise... Kurisu?\You had a paper in Science Magazine a while ago.\I'm surprised you know that.\Are you a university scientist?\You!\Are you an agent from the Organization? response:	Organization?
context: I don't have the slightest idea...\Makise... Kurisu?\You had a paper in Science Magazine a while ago.\I'm surprised you know that.\Are you a university scientist?\You!\Are you an agent from the Organization?\Organization? response:	What?
context: Makise... Kurisu?\You had a paper in Science Magazine a while ago.\I'm surprised you know that.\Are you a university scientist?\You!\Are you an agent from the Organization?\Organization?\What? response:	I just wanted to ask you...
context: You had a paper in Science Magazine a while ago.\I'm surprised you know that.\Are you a university scientist?\You!\Are you an agent from the Organization?\Organization?\What?\I just wanted to ask you... response:	There's no need for me to answer you!
context: I'm surprised you know that.\Are you a university scientist?\You!\Are you an agent from the Organization?\Organization?\What?\I just wanted to ask you...\There's no need for me to answer you! response:	It's me.
context: Are you a university scientist?\You!\Are you an agent from the Organization?\Organization?\What?\I just wanted to ask you...\There's no need for me to answer you!\It's me. response:	I've been caught by an Organization agent.
context: You!\Are you an agent from the Organization?\Organization?\What?\I just wanted to ask you...\There's no need for me to answer you!\It's me.\I've been caught by an Organization agent. response:	Yes.
context: Are you an agent from the Organization?\Organization?\What?\I just wanted to ask you...\There's no need for me to answer you!\It's me.\I've been caught by an Organization agent.\Yes. response:	Makise Kurisu.
context: Organization?\What?\I just wanted to ask you...\There's no need for me to answer you!\It's me.\I've been caught by an Organization agent.\Yes.\Makise Kurisu. response:	Who are you talking to?
context: What?\I just wanted to ask you...\There's no need for me to answer you!\It's me.\I've been caught by an Organization agent.\Yes.\Makise Kurisu.\Who are you talking to? response:	Yeah, no problem.
context: I just wanted to ask you...\There's no need for me to answer you!\It's me.\I've been caught by an Organization agent.\Yes.\Makise Kurisu.\Who are you talking to?\Yeah, no problem. response:	I'll get out of this somehow...
context: There's no need for me to answer you!\It's me.\I've been caught by an Organization agent.\Yes.\Makise Kurisu.\Who are you talking to?\Yeah, no problem.\I'll get out of this somehow... response:	Huh? It's turned off.
context: It's me.\I've been caught by an Organization agent.\Yes.\Makise Kurisu.\Who are you talking to?\Yeah, no problem.\I'll get out of this somehow...\Huh? It's turned off. response:	I'll tell you a secret.
context: I've been caught by an Organization agent.\Yes.\Makise Kurisu.\Who are you talking to?\Yeah, no problem.\I'll get out of this somehow...\Huh? It's turned off.\I'll tell you a secret. response:	That's a special cell phone, for secret missions.
context: Yes.\Makise Kurisu.\Who are you talking to?\Yeah, no problem.\I'll get out of this somehow...\Huh? It's turned off.\I'll tell you a secret.\That's a special cell phone, for secret missions. response:	If anyone but me touches it, it turns off.
context: Makise Kurisu.\Who are you talking to?\Yeah, no problem.\I'll get out of this somehow...\Huh? It's turned off.\I'll tell you a secret.\That's a special cell phone, for secret missions.\If anyone but me touches it, it turns off. response:	I see.
context: Who are you talking to?\Yeah, no problem.\I'll get out of this somehow...\Huh? It's turned off.\I'll tell you a secret.\That's a special cell phone, for secret missions.\If anyone but me touches it, it turns off.\I see. response:	You were talking to yourself.
context: Yeah, no problem.\I'll get out of this somehow...\Huh? It's turned off.\I'll tell you a secret.\That's a special cell phone, for secret missions.\If anyone but me touches it, it turns off.\I see.\You were talking to yourself. response:	I'll make this brief.
context: I'll get out of this somehow...\Huh? It's turned off.\I'll tell you a secret.\That's a special cell phone, for secret missions.\If anyone but me touches it, it turns off.\I see.\You were talking to yourself.\I'll make this brief. response:	What were you going to tell me?
context: Huh? It's turned off.\I'll tell you a secret.\That's a special cell phone, for secret missions.\If anyone but me touches it, it turns off.\I see.\You were talking to yourself.\I'll make this brief.\What were you going to tell me? response:	About fifteen minutes ago.
context: I'll tell you a secret.\That's a special cell phone, for secret missions.\If anyone but me touches it, it turns off.\I see.\You were talking to yourself.\I'll make this brief.\What were you going to tell me?\About fifteen minutes ago. response:	You were trying to tell me something, right?
context: That's a special cell phone, for secret missions.\If anyone but me touches it, it turns off.\I see.\You were talking to yourself.\I'll make this brief.\What were you going to tell me?\About fifteen minutes ago.\You were trying to tell me something, right? response:	It seemed like it was really important...
context: If anyone but me touches it, it turns off.\I see.\You were talking to yourself.\I'll make this brief.\What were you going to tell me?\About fifteen minutes ago.\You were trying to tell me something, right?\It seemed like it was really important... response:	I've seen through your tricks.
context: I see.\You were talking to yourself.\I'll make this brief.\What were you going to tell me?\About fifteen minutes ago.\You were trying to tell me something, right?\It seemed like it was really important...\I've seen through your tricks. response:	Girl-genius, when next we meet, we will be enemies.
context: You were talking to yourself.\I'll make this brief.\What were you going to tell me?\About fifteen minutes ago.\You were trying to tell me something, right?\It seemed like it was really important...\I've seen through your tricks.\Girl-genius, when next we meet, we will be enemies. response:	Farewell.
context: I'll make this brief.\What were you going to tell me?\About fifteen minutes ago.\You were trying to tell me something, right?\It seemed like it was really important...\I've seen through your tricks.\Girl-genius, when next we meet, we will be enemies.\Farewell. response:	Wait!
context: What were you going to tell me?\About fifteen minutes ago.\You were trying to tell me something, right?\It seemed like it was really important...\I've seen through your tricks.\Girl-genius, when next we meet, we will be enemies.\Farewell.\Wait! response:	What was she talking about?
context: About fifteen minutes ago.\You were trying to tell me something, right?\It seemed like it was really important...\I've seen through your tricks.\Girl-genius, when next we meet, we will be enemies.\Farewell.\Wait!\What was she talking about? response:	She met me?
context: You were trying to tell me something, right?\It seemed like it was really important...\I've seen through your tricks.\Girl-genius, when next we meet, we will be enemies.\Farewell.\Wait!\What was she talking about?\She met me? response:	Date: 2010/07/28 12:26 Sender: Subject: (No Subject) Attachment: IMV001
context: It seemed like it was really important...\I've seen through your tricks.\Girl-genius, when next we meet, we will be enemies.\Farewell.\Wait!\What was she talking about?\She met me?\Date: 2010/07/28 12:26 Sender: Subject: (No Subject) Attachment: IMV001 response:	Received Mail
context: I've seen through your tricks.\Girl-genius, when next we meet, we will be enemies.\Farewell.\Wait!\What was she talking about?\She met me?\Date: 2010/07/28 12:26 Sender: Subject: (No Subject) Attachment: IMV001\Received Mail response:	Okarin!
context: Girl-genius, when next we meet, we will be enemies.\Farewell.\Wait!\What was she talking about?\She met me?\Date: 2010/07/28 12:26 Sender: Subject: (No Subject) Attachment: IMV001\Received Mail\Okarin! response:	Mayuri!
context: Farewell.\Wait!\What was she talking about?\She met me?\Date: 2010/07/28 12:26 Sender: Subject: (No Subject) Attachment: IMV001\Received Mail\Okarin!\Mayuri! response:	What were you doing?
context: Wait!\What was she talking about?\She met me?\Date: 2010/07/28 12:26 Sender: Subject: (No Subject) Attachment: IMV001\Received Mail\Okarin!\Mayuri!\What were you doing? response:	I messaged you, right?
context: What was she talking about?\She met me?\Date: 2010/07/28 12:26 Sender: Subject: (No Subject) Attachment: IMV001\Received Mail\Okarin!\Mayuri!\What were you doing?\I messaged you, right? response:	I can't find my metal Upa.
context: She met me?\Date: 2010/07/28 12:26 Sender: Subject: (No Subject) Attachment: IMV001\Received Mail\Okarin!\Mayuri!\What were you doing?\I messaged you, right?\I can't find my metal Upa. response:	I even put my name on it...
context: Date: 2010/07/28 12:26 Sender: Subject: (No Subject) Attachment: IMV001\Received Mail\Okarin!\Mayuri!\What were you doing?\I messaged you, right?\I can't find my metal Upa.\I even put my name on it... response:	You dropped it?
context: Received Mail\Okarin!\Mayuri!\What were you doing?\I messaged you, right?\I can't find my metal Upa.\I even put my name on it...\You dropped it? response:	I think so.
context: Okarin!\Mayuri!\What were you doing?\I messaged you, right?\I can't find my metal Upa.\I even put my name on it...\You dropped it?\I think so. response:	Give up.
context: Mayuri!\What were you doing?\I messaged you, right?\I can't find my metal Upa.\I even put my name on it...\You dropped it?\I think so.\Give up. response:	On auction sites, a metal Upa goes for 10,000 yen!
context: What were you doing?\I messaged you, right?\I can't find my metal Upa.\I even put my name on it...\You dropped it?\I think so.\Give up.\On auction sites, a metal Upa goes for 10,000 yen! response:	10,000 yen...
context: I messaged you, right?\I can't find my metal Upa.\I even put my name on it...\You dropped it?\I think so.\Give up.\On auction sites, a metal Upa goes for 10,000 yen!\10,000 yen... response:	Find it!
context: I can't find my metal Upa.\I even put my name on it...\You dropped it?\I think so.\Give up.\On auction sites, a metal Upa goes for 10,000 yen!\10,000 yen...\Find it! response:	My lab is almost entirely out of money!
