context: At times, he'll use his spiritual powers to help people. response:	At others, he'll use his Wind Tunnel to subjugate demons.
context: All nice and clean now.\Huh?! T-That's!\Miroku!\It's Miroku!\Miroku is coming!\It's Miroku! He's coming!\Get inside!\- Huh? - Miroku is coming? response:	You corrupt monk! How dare you deceive us!
context: Huh?! T-That's!\Miroku!\It's Miroku!\Miroku is coming!\It's Miroku! He's coming!\Get inside!\- Huh? - Miroku is coming?\You corrupt monk! How dare you deceive us! response:	J-Just a minute!
context: Miroku!\It's Miroku!\Miroku is coming!\It's Miroku! He's coming!\Get inside!\- Huh? - Miroku is coming?\You corrupt monk! How dare you deceive us!\J-Just a minute! response:	Just what did I do?
context: It's Miroku!\Miroku is coming!\It's Miroku! He's coming!\Get inside!\- Huh? - Miroku is coming?\You corrupt monk! How dare you deceive us!\J-Just a minute!\Just what did I do? response:	Don't act innocent!
context: Miroku is coming!\It's Miroku! He's coming!\Get inside!\- Huh? - Miroku is coming?\You corrupt monk! How dare you deceive us!\J-Just a minute!\Just what did I do?\Don't act innocent! response:	No need fortalk! Get him!
context: It's Miroku! He's coming!\Get inside!\- Huh? - Miroku is coming?\You corrupt monk! How dare you deceive us!\J-Just a minute!\Just what did I do?\Don't act innocent!\No need fortalk! Get him! response:	What's going on, Miroku?!
context: Get inside!\- Huh? - Miroku is coming?\You corrupt monk! How dare you deceive us!\J-Just a minute!\Just what did I do?\Don't act innocent!\No need fortalk! Get him!\What's going on, Miroku?! response:	Well, that's a difficult question to answer.
context: - Huh? - Miroku is coming?\You corrupt monk! How dare you deceive us!\J-Just a minute!\Just what did I do?\Don't act innocent!\No need fortalk! Get him!\What's going on, Miroku?!\Well, that's a difficult question to answer. response:	What'll we do? There're so many of them.
context: You corrupt monk! How dare you deceive us!\J-Just a minute!\Just what did I do?\Don't act innocent!\No need fortalk! Get him!\What's going on, Miroku?!\Well, that's a difficult question to answer.\What'll we do? There're so many of them. response:	I agree...
context: J-Just a minute!\Just what did I do?\Don't act innocent!\No need fortalk! Get him!\What's going on, Miroku?!\Well, that's a difficult question to answer.\What'll we do? There're so many of them.\I agree... response:	At times like this, before anyone is injured...
context: Just what did I do?\Don't act innocent!\No need fortalk! Get him!\What's going on, Miroku?!\Well, that's a difficult question to answer.\What'll we do? There're so many of them.\I agree...\At times like this, before anyone is injured... response:	the only thing to do is run away!
context: Don't act innocent!\No need fortalk! Get him!\What's going on, Miroku?!\Well, that's a difficult question to answer.\What'll we do? There're so many of them.\I agree...\At times like this, before anyone is injured...\the only thing to do is run away! response:	Hold it!
context: No need fortalk! Get him!\What's going on, Miroku?!\Well, that's a difficult question to answer.\What'll we do? There're so many of them.\I agree...\At times like this, before anyone is injured...\the only thing to do is run away!\Hold it! response:	I wonder what that was all about?
context: What's going on, Miroku?!\Well, that's a difficult question to answer.\What'll we do? There're so many of them.\I agree...\At times like this, before anyone is injured...\the only thing to do is run away!\Hold it!\I wonder what that was all about? response:	It concerns Miroku, after all.
context: Well, that's a difficult question to answer.\What'll we do? There're so many of them.\I agree...\At times like this, before anyone is injured...\the only thing to do is run away!\Hold it!\I wonder what that was all about?\It concerns Miroku, after all. response:	He probably did some mischief in the past there.
context: What'll we do? There're so many of them.\I agree...\At times like this, before anyone is injured...\the only thing to do is run away!\Hold it!\I wonder what that was all about?\It concerns Miroku, after all.\He probably did some mischief in the past there. response:	But they sure were angry.
context: I agree...\At times like this, before anyone is injured...\the only thing to do is run away!\Hold it!\I wonder what that was all about?\It concerns Miroku, after all.\He probably did some mischief in the past there.\But they sure were angry. response:	What did you do, Miroku?
context: At times like this, before anyone is injured...\the only thing to do is run away!\Hold it!\I wonder what that was all about?\It concerns Miroku, after all.\He probably did some mischief in the past there.\But they sure were angry.\What did you do, Miroku? response:	I have no idea.
context: the only thing to do is run away!\Hold it!\I wonder what that was all about?\It concerns Miroku, after all.\He probably did some mischief in the past there.\But they sure were angry.\What did you do, Miroku?\I have no idea. response:	Sure about that?
context: Hold it!\I wonder what that was all about?\It concerns Miroku, after all.\He probably did some mischief in the past there.\But they sure were angry.\What did you do, Miroku?\I have no idea.\Sure about that? response:	Hmm...
context: I wonder what that was all about?\It concerns Miroku, after all.\He probably did some mischief in the past there.\But they sure were angry.\What did you do, Miroku?\I have no idea.\Sure about that?\Hmm... response:	Oh well... No sense thinking about it.
context: It concerns Miroku, after all.\He probably did some mischief in the past there.\But they sure were angry.\What did you do, Miroku?\I have no idea.\Sure about that?\Hmm...\Oh well... No sense thinking about it. response:	You probably can't remember all the bad things you've done.
context: He probably did some mischief in the past there.\But they sure were angry.\What did you do, Miroku?\I have no idea.\Sure about that?\Hmm...\Oh well... No sense thinking about it.\You probably can't remember all the bad things you've done. response:	Surrounded by beautiful women and partying it up...
context: But they sure were angry.\What did you do, Miroku?\I have no idea.\Sure about that?\Hmm...\Oh well... No sense thinking about it.\You probably can't remember all the bad things you've done.\Surrounded by beautiful women and partying it up... response:	Now that's a memory I wouldn't forget.
context: What did you do, Miroku?\I have no idea.\Sure about that?\Hmm...\Oh well... No sense thinking about it.\You probably can't remember all the bad things you've done.\Surrounded by beautiful women and partying it up...\Now that's a memory I wouldn't forget. response:	Listen here!
context: I have no idea.\Sure about that?\Hmm...\Oh well... No sense thinking about it.\You probably can't remember all the bad things you've done.\Surrounded by beautiful women and partying it up...\Now that's a memory I wouldn't forget.\Listen here! response:	Will you bear my child?
context: Sure about that?\Hmm...\Oh well... No sense thinking about it.\You probably can't remember all the bad things you've done.\Surrounded by beautiful women and partying it up...\Now that's a memory I wouldn't forget.\Listen here!\Will you bear my child? response:	Yes, yes!
context: Hmm...\Oh well... No sense thinking about it.\You probably can't remember all the bad things you've done.\Surrounded by beautiful women and partying it up...\Now that's a memory I wouldn't forget.\Listen here!\Will you bear my child?\Yes, yes! response:	I'll bearyour child, so drink up, MasterMonk!
context: Oh well... No sense thinking about it.\You probably can't remember all the bad things you've done.\Surrounded by beautiful women and partying it up...\Now that's a memory I wouldn't forget.\Listen here!\Will you bear my child?\Yes, yes!\I'll bearyour child, so drink up, MasterMonk! response:	Drink it all up, monk.
context: You probably can't remember all the bad things you've done.\Surrounded by beautiful women and partying it up...\Now that's a memory I wouldn't forget.\Listen here!\Will you bear my child?\Yes, yes!\I'll bearyour child, so drink up, MasterMonk!\Drink it all up, monk. response:	Okay then... I'll down it all.
context: Surrounded by beautiful women and partying it up...\Now that's a memory I wouldn't forget.\Listen here!\Will you bear my child?\Yes, yes!\I'll bearyour child, so drink up, MasterMonk!\Drink it all up, monk.\Okay then... I'll down it all. response:	How wonderful!
context: Now that's a memory I wouldn't forget.\Listen here!\Will you bear my child?\Yes, yes!\I'll bearyour child, so drink up, MasterMonk!\Drink it all up, monk.\Okay then... I'll down it all.\How wonderful! response:	Oww!
context: Listen here!\Will you bear my child?\Yes, yes!\I'll bearyour child, so drink up, MasterMonk!\Drink it all up, monk.\Okay then... I'll down it all.\How wonderful!\Oww! response:	Oh! Anothervillage!
context: Will you bear my child?\Yes, yes!\I'll bearyour child, so drink up, MasterMonk!\Drink it all up, monk.\Okay then... I'll down it all.\How wonderful!\Oww!\Oh! Anothervillage! response:	Tonight for sure... I'll get a good night's sleep!
context: Yes, yes!\I'll bearyour child, so drink up, MasterMonk!\Drink it all up, monk.\Okay then... I'll down it all.\How wonderful!\Oww!\Oh! Anothervillage!\Tonight for sure... I'll get a good night's sleep! response:	MasterMonk!
context: I'll bearyour child, so drink up, MasterMonk!\Drink it all up, monk.\Okay then... I'll down it all.\How wonderful!\Oww!\Oh! Anothervillage!\Tonight for sure... I'll get a good night's sleep!\MasterMonk! response:	- Huh?! - What now?
context: Drink it all up, monk.\Okay then... I'll down it all.\How wonderful!\Oww!\Oh! Anothervillage!\Tonight for sure... I'll get a good night's sleep!\MasterMonk!\- Huh?! - What now? response:	Oh dear... What is going on here?
context: Okay then... I'll down it all.\How wonderful!\Oww!\Oh! Anothervillage!\Tonight for sure... I'll get a good night's sleep!\MasterMonk!\- Huh?! - What now?\Oh dear... What is going on here? response:	Where have you been?
context: How wonderful!\Oww!\Oh! Anothervillage!\Tonight for sure... I'll get a good night's sleep!\MasterMonk!\- Huh?! - What now?\Oh dear... What is going on here?\Where have you been? response:	You promised I could bear your child.
context: Oww!\Oh! Anothervillage!\Tonight for sure... I'll get a good night's sleep!\MasterMonk!\- Huh?! - What now?\Oh dear... What is going on here?\Where have you been?\You promised I could bear your child. response:	What're you saying?
context: Oh! Anothervillage!\Tonight for sure... I'll get a good night's sleep!\MasterMonk!\- Huh?! - What now?\Oh dear... What is going on here?\Where have you been?\You promised I could bear your child.\What're you saying? response:	I'm going to bear his child!
context: Tonight for sure... I'll get a good night's sleep!\MasterMonk!\- Huh?! - What now?\Oh dear... What is going on here?\Where have you been?\You promised I could bear your child.\What're you saying?\I'm going to bear his child! response:	Oh, I see... I see.
context: MasterMonk!\- Huh?! - What now?\Oh dear... What is going on here?\Where have you been?\You promised I could bear your child.\What're you saying?\I'm going to bear his child!\Oh, I see... I see. response:	Well then, let's take turns.
context: - Huh?! - What now?\Oh dear... What is going on here?\Where have you been?\You promised I could bear your child.\What're you saying?\I'm going to bear his child!\Oh, I see... I see.\Well then, let's take turns. response:	Hey Miroku!
context: Oh dear... What is going on here?\Where have you been?\You promised I could bear your child.\What're you saying?\I'm going to bear his child!\Oh, I see... I see.\Well then, let's take turns.\Hey Miroku! response:	You have some nerve coming back here, you fake monk!
context: Where have you been?\You promised I could bear your child.\What're you saying?\I'm going to bear his child!\Oh, I see... I see.\Well then, let's take turns.\Hey Miroku!\You have some nerve coming back here, you fake monk! response:	Don't think you'll get away scot-free!
context: You promised I could bear your child.\What're you saying?\I'm going to bear his child!\Oh, I see... I see.\Well then, let's take turns.\Hey Miroku!\You have some nerve coming back here, you fake monk!\Don't think you'll get away scot-free! response:	Oh dear... This doesn't look good at all.
context: What're you saying?\I'm going to bear his child!\Oh, I see... I see.\Well then, let's take turns.\Hey Miroku!\You have some nerve coming back here, you fake monk!\Don't think you'll get away scot-free!\Oh dear... This doesn't look good at all. response:	Anyway, let's get away from here, everyone.
context: I'm going to bear his child!\Oh, I see... I see.\Well then, let's take turns.\Hey Miroku!\You have some nerve coming back here, you fake monk!\Don't think you'll get away scot-free!\Oh dear... This doesn't look good at all.\Anyway, let's get away from here, everyone. response:	W-Why're you looking at me like that?
context: Oh, I see... I see.\Well then, let's take turns.\Hey Miroku!\You have some nerve coming back here, you fake monk!\Don't think you'll get away scot-free!\Oh dear... This doesn't look good at all.\Anyway, let's get away from here, everyone.\W-Why're you looking at me like that? response:	Why must we run away, too?
context: Well then, let's take turns.\Hey Miroku!\You have some nerve coming back here, you fake monk!\Don't think you'll get away scot-free!\Oh dear... This doesn't look good at all.\Anyway, let's get away from here, everyone.\W-Why're you looking at me like that?\Why must we run away, too? response:	I think you should humbly apologize.
context: Hey Miroku!\You have some nerve coming back here, you fake monk!\Don't think you'll get away scot-free!\Oh dear... This doesn't look good at all.\Anyway, let's get away from here, everyone.\W-Why're you looking at me like that?\Why must we run away, too?\I think you should humbly apologize. response:	Don't be so heartless.
context: You have some nerve coming back here, you fake monk!\Don't think you'll get away scot-free!\Oh dear... This doesn't look good at all.\Anyway, let's get away from here, everyone.\W-Why're you looking at me like that?\Why must we run away, too?\I think you should humbly apologize.\Don't be so heartless. response:	Look, you sowed these seeds in the first place.
context: Don't think you'll get away scot-free!\Oh dear... This doesn't look good at all.\Anyway, let's get away from here, everyone.\W-Why're you looking at me like that?\Why must we run away, too?\I think you should humbly apologize.\Don't be so heartless.\Look, you sowed these seeds in the first place. response:	So you'd bettertake responsibility.
context: Oh dear... This doesn't look good at all.\Anyway, let's get away from here, everyone.\W-Why're you looking at me like that?\Why must we run away, too?\I think you should humbly apologize.\Don't be so heartless.\Look, you sowed these seeds in the first place.\So you'd bettertake responsibility. response:	I told you, I!
context: Anyway, let's get away from here, everyone.\W-Why're you looking at me like that?\Why must we run away, too?\I think you should humbly apologize.\Don't be so heartless.\Look, you sowed these seeds in the first place.\So you'd bettertake responsibility.\I told you, I! response:	Hey, Shippo! You understand, don't you?
context: W-Why're you looking at me like that?\Why must we run away, too?\I think you should humbly apologize.\Don't be so heartless.\Look, you sowed these seeds in the first place.\So you'd bettertake responsibility.\I told you, I!\Hey, Shippo! You understand, don't you? response:	Please help me.
context: Why must we run away, too?\I think you should humbly apologize.\Don't be so heartless.\Look, you sowed these seeds in the first place.\So you'd bettertake responsibility.\I told you, I!\Hey, Shippo! You understand, don't you?\Please help me. response:	Huh? I'm just a kid. I don't understand this grown-up stuff.
context: I think you should humbly apologize.\Don't be so heartless.\Look, you sowed these seeds in the first place.\So you'd bettertake responsibility.\I told you, I!\Hey, Shippo! You understand, don't you?\Please help me.\Huh? I'm just a kid. I don't understand this grown-up stuff. response:	Forgive me, Miroku!
context: Don't be so heartless.\Look, you sowed these seeds in the first place.\So you'd bettertake responsibility.\I told you, I!\Hey, Shippo! You understand, don't you?\Please help me.\Huh? I'm just a kid. I don't understand this grown-up stuff.\Forgive me, Miroku! response:	Capture him!
context: Look, you sowed these seeds in the first place.\So you'd bettertake responsibility.\I told you, I!\Hey, Shippo! You understand, don't you?\Please help me.\Huh? I'm just a kid. I don't understand this grown-up stuff.\Forgive me, Miroku!\Capture him! response:	Yeah!
context: So you'd bettertake responsibility.\I told you, I!\Hey, Shippo! You understand, don't you?\Please help me.\Huh? I'm just a kid. I don't understand this grown-up stuff.\Forgive me, Miroku!\Capture him!\Yeah! response:	Please hearme out!
context: I told you, I!\Hey, Shippo! You understand, don't you?\Please help me.\Huh? I'm just a kid. I don't understand this grown-up stuff.\Forgive me, Miroku!\Capture him!\Yeah!\Please hearme out! response:	I have to keep it together.
context: Hey, Shippo! You understand, don't you?\Please help me.\Huh? I'm just a kid. I don't understand this grown-up stuff.\Forgive me, Miroku!\Capture him!\Yeah!\Please hearme out!\I have to keep it together. response:	Women are frightening creatures.
context: Please help me.\Huh? I'm just a kid. I don't understand this grown-up stuff.\Forgive me, Miroku!\Capture him!\Yeah!\Please hearme out!\I have to keep it together.\Women are frightening creatures. response:	Yeah.
context: Huh? I'm just a kid. I don't understand this grown-up stuff.\Forgive me, Miroku!\Capture him!\Yeah!\Please hearme out!\I have to keep it together.\Women are frightening creatures.\Yeah. response:	Did you say something?
context: Forgive me, Miroku!\Capture him!\Yeah!\Please hearme out!\I have to keep it together.\Women are frightening creatures.\Yeah.\Did you say something? response:	- No, nothing. - No, nothing.
context: Capture him!\Yeah!\Please hearme out!\I have to keep it together.\Women are frightening creatures.\Yeah.\Did you say something?\- No, nothing. - No, nothing. response:	So just what did Miroku do in this village?
context: Yeah!\Please hearme out!\I have to keep it together.\Women are frightening creatures.\Yeah.\Did you say something?\- No, nothing. - No, nothing.\So just what did Miroku do in this village? response:	You'd have to hearit to believe it.
context: Please hearme out!\I have to keep it together.\Women are frightening creatures.\Yeah.\Did you say something?\- No, nothing. - No, nothing.\So just what did Miroku do in this village?\You'd have to hearit to believe it. response:	Yeah...
context: I have to keep it together.\Women are frightening creatures.\Yeah.\Did you say something?\- No, nothing. - No, nothing.\So just what did Miroku do in this village?\You'd have to hearit to believe it.\Yeah... response:	And so, this person built a fine storehouse.
context: Women are frightening creatures.\Yeah.\Did you say something?\- No, nothing. - No, nothing.\So just what did Miroku do in this village?\You'd have to hearit to believe it.\Yeah...\And so, this person built a fine storehouse. response:	However, he had so many worries...
context: Yeah.\Did you say something?\- No, nothing. - No, nothing.\So just what did Miroku do in this village?\You'd have to hearit to believe it.\Yeah...\And so, this person built a fine storehouse.\However, he had so many worries... response:	Would robbers break in? Would a fire break out?
context: Did you say something?\- No, nothing. - No, nothing.\So just what did Miroku do in this village?\You'd have to hearit to believe it.\Yeah...\And so, this person built a fine storehouse.\However, he had so many worries...\Would robbers break in? Would a fire break out? response:	And thus, this sutra charm.
context: - No, nothing. - No, nothing.\So just what did Miroku do in this village?\You'd have to hearit to believe it.\Yeah...\And so, this person built a fine storehouse.\However, he had so many worries...\Would robbers break in? Would a fire break out?\And thus, this sutra charm. response:	Wards off evil spirits, promotes good health,
context: So just what did Miroku do in this village?\You'd have to hearit to believe it.\Yeah...\And so, this person built a fine storehouse.\However, he had so many worries...\Would robbers break in? Would a fire break out?\And thus, this sutra charm.\Wards off evil spirits, promotes good health, response:	protects the home, ensures safe birth.
context: You'd have to hearit to believe it.\Yeah...\And so, this person built a fine storehouse.\However, he had so many worries...\Would robbers break in? Would a fire break out?\And thus, this sutra charm.\Wards off evil spirits, promotes good health,\protects the home, ensures safe birth. response:	This sutra charm will take care of every need and concern.
context: Yeah...\And so, this person built a fine storehouse.\However, he had so many worries...\Would robbers break in? Would a fire break out?\And thus, this sutra charm.\Wards off evil spirits, promotes good health,\protects the home, ensures safe birth.\This sutra charm will take care of every need and concern. response:	Furthermore! For a limited time only,
context: And so, this person built a fine storehouse.\However, he had so many worries...\Would robbers break in? Would a fire break out?\And thus, this sutra charm.\Wards off evil spirits, promotes good health,\protects the home, ensures safe birth.\This sutra charm will take care of every need and concern.\Furthermore! For a limited time only, response:	I'll give you two forthe price of one!
context: However, he had so many worries...\Would robbers break in? Would a fire break out?\And thus, this sutra charm.\Wards off evil spirits, promotes good health,\protects the home, ensures safe birth.\This sutra charm will take care of every need and concern.\Furthermore! For a limited time only,\I'll give you two forthe price of one! response:	I'm a little suspicious about this charm.
context: Would robbers break in? Would a fire break out?\And thus, this sutra charm.\Wards off evil spirits, promotes good health,\protects the home, ensures safe birth.\This sutra charm will take care of every need and concern.\Furthermore! For a limited time only,\I'll give you two forthe price of one!\I'm a little suspicious about this charm. response:	Usually, a safe-delivery charm is for childbirth only.
context: And thus, this sutra charm.\Wards off evil spirits, promotes good health,\protects the home, ensures safe birth.\This sutra charm will take care of every need and concern.\Furthermore! For a limited time only,\I'll give you two forthe price of one!\I'm a little suspicious about this charm.\Usually, a safe-delivery charm is for childbirth only. response:	What are you saying?
context: Wards off evil spirits, promotes good health,\protects the home, ensures safe birth.\This sutra charm will take care of every need and concern.\Furthermore! For a limited time only,\I'll give you two forthe price of one!\I'm a little suspicious about this charm.\Usually, a safe-delivery charm is for childbirth only.\What are you saying? response:	That's what makes this charm so wonderful!
context: protects the home, ensures safe birth.\This sutra charm will take care of every need and concern.\Furthermore! For a limited time only,\I'll give you two forthe price of one!\I'm a little suspicious about this charm.\Usually, a safe-delivery charm is for childbirth only.\What are you saying?\That's what makes this charm so wonderful! response:	That anyone would complain about its multiple benefits!
context: This sutra charm will take care of every need and concern.\Furthermore! For a limited time only,\I'll give you two forthe price of one!\I'm a little suspicious about this charm.\Usually, a safe-delivery charm is for childbirth only.\What are you saying?\That's what makes this charm so wonderful!\That anyone would complain about its multiple benefits! response:	What if an evil spirit has a safe delivery?
context: Furthermore! For a limited time only,\I'll give you two forthe price of one!\I'm a little suspicious about this charm.\Usually, a safe-delivery charm is for childbirth only.\What are you saying?\That's what makes this charm so wonderful!\That anyone would complain about its multiple benefits!\What if an evil spirit has a safe delivery? response:	Can't have it get healthy.
context: I'll give you two forthe price of one!\I'm a little suspicious about this charm.\Usually, a safe-delivery charm is for childbirth only.\What are you saying?\That's what makes this charm so wonderful!\That anyone would complain about its multiple benefits!\What if an evil spirit has a safe delivery?\Can't have it get healthy. response:	This despicable monk tricked us
context: I'm a little suspicious about this charm.\Usually, a safe-delivery charm is for childbirth only.\What are you saying?\That's what makes this charm so wonderful!\That anyone would complain about its multiple benefits!\What if an evil spirit has a safe delivery?\Can't have it get healthy.\This despicable monk tricked us response:	into buying worthless charms at exorbitant prices!
context: Usually, a safe-delivery charm is for childbirth only.\What are you saying?\That's what makes this charm so wonderful!\That anyone would complain about its multiple benefits!\What if an evil spirit has a safe delivery?\Can't have it get healthy.\This despicable monk tricked us\into buying worthless charms at exorbitant prices! response:	So you ended up buying them?
context: What are you saying?\That's what makes this charm so wonderful!\That anyone would complain about its multiple benefits!\What if an evil spirit has a safe delivery?\Can't have it get healthy.\This despicable monk tricked us\into buying worthless charms at exorbitant prices!\So you ended up buying them? response:	And there's more!
context: That's what makes this charm so wonderful!\That anyone would complain about its multiple benefits!\What if an evil spirit has a safe delivery?\Can't have it get healthy.\This despicable monk tricked us\into buying worthless charms at exorbitant prices!\So you ended up buying them?\And there's more! response:	Uh... Monk...
context: That anyone would complain about its multiple benefits!\What if an evil spirit has a safe delivery?\Can't have it get healthy.\This despicable monk tricked us\into buying worthless charms at exorbitant prices!\So you ended up buying them?\And there's more!\Uh... Monk... response:	What is it?
context: What if an evil spirit has a safe delivery?\Can't have it get healthy.\This despicable monk tricked us\into buying worthless charms at exorbitant prices!\So you ended up buying them?\And there's more!\Uh... Monk...\What is it? response:	Won't you stop eating and begin the exorcism?
context: Can't have it get healthy.\This despicable monk tricked us\into buying worthless charms at exorbitant prices!\So you ended up buying them?\And there's more!\Uh... Monk...\What is it?\Won't you stop eating and begin the exorcism? response:	Oh... That's right.
context: This despicable monk tricked us\into buying worthless charms at exorbitant prices!\So you ended up buying them?\And there's more!\Uh... Monk...\What is it?\Won't you stop eating and begin the exorcism?\Oh... That's right. response:	Evil spirit begone!
