context: Tatara Nishi High School response:	Tamaki Mari-san and Kobuchizawa Shirase-san will be embarking
context: Oh, right!\Although it's a journey, once we arrive, we'll just be living life like normal.\And there'll be lots of work to do, so they say it'll pass quickly...\But when you start thinking and packing things into the boxes,\it does end up being quite a lot...\Is it that much?\Hey, have you not even gotten started?\But it just needs to be less than 100 kilograms, including body weight, right? response:	For me, that's 50, 52, 53...
context: Although it's a journey, once we arrive, we'll just be living life like normal.\And there'll be lots of work to do, so they say it'll pass quickly...\But when you start thinking and packing things into the boxes,\it does end up being quite a lot...\Is it that much?\Hey, have you not even gotten started?\But it just needs to be less than 100 kilograms, including body weight, right?\For me, that's 50, 52, 53... response:	I can take upwards of 58 kilograms of luggage!
context: And there'll be lots of work to do, so they say it'll pass quickly...\But when you start thinking and packing things into the boxes,\it does end up being quite a lot...\Is it that much?\Hey, have you not even gotten started?\But it just needs to be less than 100 kilograms, including body weight, right?\For me, that's 50, 52, 53...\I can take upwards of 58 kilograms of luggage! response:	That's easy, no problem!
context: But when you start thinking and packing things into the boxes,\it does end up being quite a lot...\Is it that much?\Hey, have you not even gotten started?\But it just needs to be less than 100 kilograms, including body weight, right?\For me, that's 50, 52, 53...\I can take upwards of 58 kilograms of luggage!\That's easy, no problem! response:	Underestimating your weight is a serious crime.
context: it does end up being quite a lot...\Is it that much?\Hey, have you not even gotten started?\But it just needs to be less than 100 kilograms, including body weight, right?\For me, that's 50, 52, 53...\I can take upwards of 58 kilograms of luggage!\That's easy, no problem!\Underestimating your weight is a serious crime. response:	Fifty-eight kilograms? That means you weigh 42 kilograms?
context: Is it that much?\Hey, have you not even gotten started?\But it just needs to be less than 100 kilograms, including body weight, right?\For me, that's 50, 52, 53...\I can take upwards of 58 kilograms of luggage!\That's easy, no problem!\Underestimating your weight is a serious crime.\Fifty-eight kilograms? That means you weigh 42 kilograms? response:	Please leave my arm flab alone...
context: Hey, have you not even gotten started?\But it just needs to be less than 100 kilograms, including body weight, right?\For me, that's 50, 52, 53...\I can take upwards of 58 kilograms of luggage!\That's easy, no problem!\Underestimating your weight is a serious crime.\Fifty-eight kilograms? That means you weigh 42 kilograms?\Please leave my arm flab alone... response:	This might be harder than I thought...
context: But it just needs to be less than 100 kilograms, including body weight, right?\For me, that's 50, 52, 53...\I can take upwards of 58 kilograms of luggage!\That's easy, no problem!\Underestimating your weight is a serious crime.\Fifty-eight kilograms? That means you weigh 42 kilograms?\Please leave my arm flab alone...\This might be harder than I thought... response:	Mari-chan, how many times do I have to tell you to carry up your own laundry?
context: For me, that's 50, 52, 53...\I can take upwards of 58 kilograms of luggage!\That's easy, no problem!\Underestimating your weight is a serious crime.\Fifty-eight kilograms? That means you weigh 42 kilograms?\Please leave my arm flab alone...\This might be harder than I thought...\Mari-chan, how many times do I have to tell you to carry up your own laundry? response:	Mari-chan...
context: I can take upwards of 58 kilograms of luggage!\That's easy, no problem!\Underestimating your weight is a serious crime.\Fifty-eight kilograms? That means you weigh 42 kilograms?\Please leave my arm flab alone...\This might be harder than I thought...\Mari-chan, how many times do I have to tell you to carry up your own laundry?\Mari-chan... response:	What's all this?
context: That's easy, no problem!\Underestimating your weight is a serious crime.\Fifty-eight kilograms? That means you weigh 42 kilograms?\Please leave my arm flab alone...\This might be harder than I thought...\Mari-chan, how many times do I have to tell you to carry up your own laundry?\Mari-chan...\What's all this? response:	I don't think you'll need cooking supplies.
context: Underestimating your weight is a serious crime.\Fifty-eight kilograms? That means you weigh 42 kilograms?\Please leave my arm flab alone...\This might be harder than I thought...\Mari-chan, how many times do I have to tell you to carry up your own laundry?\Mari-chan...\What's all this?\I don't think you'll need cooking supplies. response:	You think? It's diamond-coated! Nothing sticks to that!
context: Fifty-eight kilograms? That means you weigh 42 kilograms?\Please leave my arm flab alone...\This might be harder than I thought...\Mari-chan, how many times do I have to tell you to carry up your own laundry?\Mari-chan...\What's all this?\I don't think you'll need cooking supplies.\You think? It's diamond-coated! Nothing sticks to that! response:	And this?
context: Please leave my arm flab alone...\This might be harder than I thought...\Mari-chan, how many times do I have to tell you to carry up your own laundry?\Mari-chan...\What's all this?\I don't think you'll need cooking supplies.\You think? It's diamond-coated! Nothing sticks to that!\And this? response:	An inner tube!
context: This might be harder than I thought...\Mari-chan, how many times do I have to tell you to carry up your own laundry?\Mari-chan...\What's all this?\I don't think you'll need cooking supplies.\You think? It's diamond-coated! Nothing sticks to that!\And this?\An inner tube! response:	And this?
context: Mari-chan, how many times do I have to tell you to carry up your own laundry?\Mari-chan...\What's all this?\I don't think you'll need cooking supplies.\You think? It's diamond-coated! Nothing sticks to that!\And this?\An inner tube!\And this? response:	An English-Japanese dictionary!
context: Mari-chan...\What's all this?\I don't think you'll need cooking supplies.\You think? It's diamond-coated! Nothing sticks to that!\And this?\An inner tube!\And this?\An English-Japanese dictionary! response:	Junior Ace English-Japanese Dictionary
context: What's all this?\I don't think you'll need cooking supplies.\You think? It's diamond-coated! Nothing sticks to that!\And this?\An inner tube!\And this?\An English-Japanese dictionary!\Junior Ace English-Japanese Dictionary response:	Junior Ace Japanese-English Dictionary
context: I don't think you'll need cooking supplies.\You think? It's diamond-coated! Nothing sticks to that!\And this?\An inner tube!\And this?\An English-Japanese dictionary!\Junior Ace English-Japanese Dictionary\Junior Ace Japanese-English Dictionary response:	A Japanese-English dictionary.
context: You think? It's diamond-coated! Nothing sticks to that!\And this?\An inner tube!\And this?\An English-Japanese dictionary!\Junior Ace English-Japanese Dictionary\Junior Ace Japanese-English Dictionary\A Japanese-English dictionary. response:	Conversational English for Travel.
context: And this?\An inner tube!\And this?\An English-Japanese dictionary!\Junior Ace English-Japanese Dictionary\Junior Ace Japanese-English Dictionary\A Japanese-English dictionary.\Conversational English for Travel. response:	Conversational English for Travel.
context: An inner tube!\And this?\An English-Japanese dictionary!\Junior Ace English-Japanese Dictionary\Junior Ace Japanese-English Dictionary\A Japanese-English dictionary.\Conversational English for Travel.\Conversational English for Travel. response:	A peeler.
context: And this?\An English-Japanese dictionary!\Junior Ace English-Japanese Dictionary\Junior Ace Japanese-English Dictionary\A Japanese-English dictionary.\Conversational English for Travel.\Conversational English for Travel.\A peeler. response:	Conversational Chinese for Travel.
context: An English-Japanese dictionary!\Junior Ace English-Japanese Dictionary\Junior Ace Japanese-English Dictionary\A Japanese-English dictionary.\Conversational English for Travel.\Conversational English for Travel.\A peeler.\Conversational Chinese for Travel. response:	Conversational Chinese for Travel.
context: Junior Ace English-Japanese Dictionary\Junior Ace Japanese-English Dictionary\A Japanese-English dictionary.\Conversational English for Travel.\Conversational English for Travel.\A peeler.\Conversational Chinese for Travel.\Conversational Chinese for Travel. response:	The Reliable World Travel Guide.
context: Junior Ace Japanese-English Dictionary\A Japanese-English dictionary.\Conversational English for Travel.\Conversational English for Travel.\A peeler.\Conversational Chinese for Travel.\Conversational Chinese for Travel.\The Reliable World Travel Guide. response:	The Reliable World Travel Guide
context: A Japanese-English dictionary.\Conversational English for Travel.\Conversational English for Travel.\A peeler.\Conversational Chinese for Travel.\Conversational Chinese for Travel.\The Reliable World Travel Guide.\The Reliable World Travel Guide response:	I bought them all just for this trip!
context: Conversational English for Travel.\Conversational English for Travel.\A peeler.\Conversational Chinese for Travel.\Conversational Chinese for Travel.\The Reliable World Travel Guide.\The Reliable World Travel Guide\I bought them all just for this trip! response:	You'll be with tons of people who can speak foreign languages!
context: Conversational English for Travel.\A peeler.\Conversational Chinese for Travel.\Conversational Chinese for Travel.\The Reliable World Travel Guide.\The Reliable World Travel Guide\I bought them all just for this trip!\You'll be with tons of people who can speak foreign languages! response:	I know, but still...
context: A peeler.\Conversational Chinese for Travel.\Conversational Chinese for Travel.\The Reliable World Travel Guide.\The Reliable World Travel Guide\I bought them all just for this trip!\You'll be with tons of people who can speak foreign languages!\I know, but still... response:	That should do it, I think.
context: Conversational Chinese for Travel.\Conversational Chinese for Travel.\The Reliable World Travel Guide.\The Reliable World Travel Guide\I bought them all just for this trip!\You'll be with tons of people who can speak foreign languages!\I know, but still...\That should do it, I think. response:	So little!
context: Conversational Chinese for Travel.\The Reliable World Travel Guide.\The Reliable World Travel Guide\I bought them all just for this trip!\You'll be with tons of people who can speak foreign languages!\I know, but still...\That should do it, I think.\So little! response:	You should consult with Shirase-san, too.
context: The Reliable World Travel Guide.\The Reliable World Travel Guide\I bought them all just for this trip!\You'll be with tons of people who can speak foreign languages!\I know, but still...\That should do it, I think.\So little!\You should consult with Shirase-san, too. response:	There might be some specific things you'll need.
context: The Reliable World Travel Guide\I bought them all just for this trip!\You'll be with tons of people who can speak foreign languages!\I know, but still...\That should do it, I think.\So little!\You should consult with Shirase-san, too.\There might be some specific things you'll need. response:	But do you really think this'll be enough?
context: I bought them all just for this trip!\You'll be with tons of people who can speak foreign languages!\I know, but still...\That should do it, I think.\So little!\You should consult with Shirase-san, too.\There might be some specific things you'll need.\But do you really think this'll be enough? response:	I'll be gone for over three months.
context: You'll be with tons of people who can speak foreign languages!\I know, but still...\That should do it, I think.\So little!\You should consult with Shirase-san, too.\There might be some specific things you'll need.\But do you really think this'll be enough?\I'll be gone for over three months. response:	Sis... are you sure you can handle this?
context: I know, but still...\That should do it, I think.\So little!\You should consult with Shirase-san, too.\There might be some specific things you'll need.\But do you really think this'll be enough?\I'll be gone for over three months.\Sis... are you sure you can handle this? response:	It's just...
context: That should do it, I think.\So little!\You should consult with Shirase-san, too.\There might be some specific things you'll need.\But do you really think this'll be enough?\I'll be gone for over three months.\Sis... are you sure you can handle this?\It's just... response:	Comprehensive Summer Training Documents
context: So little!\You should consult with Shirase-san, too.\There might be some specific things you'll need.\But do you really think this'll be enough?\I'll be gone for over three months.\Sis... are you sure you can handle this?\It's just...\Comprehensive Summer Training Documents response:	It's not like that pamphlets tell us what to bring...
context: You should consult with Shirase-san, too.\There might be some specific things you'll need.\But do you really think this'll be enough?\I'll be gone for over three months.\Sis... are you sure you can handle this?\It's just...\Comprehensive Summer Training Documents\It's not like that pamphlets tell us what to bring... response:	Because it's an adult thing.
context: There might be some specific things you'll need.\But do you really think this'll be enough?\I'll be gone for over three months.\Sis... are you sure you can handle this?\It's just...\Comprehensive Summer Training Documents\It's not like that pamphlets tell us what to bring...\Because it's an adult thing. response:	You need to be responsible.
context: But do you really think this'll be enough?\I'll be gone for over three months.\Sis... are you sure you can handle this?\It's just...\Comprehensive Summer Training Documents\It's not like that pamphlets tell us what to bring...\Because it's an adult thing.\You need to be responsible. response:	Responsible, huh?
context: I'll be gone for over three months.\Sis... are you sure you can handle this?\It's just...\Comprehensive Summer Training Documents\It's not like that pamphlets tell us what to bring...\Because it's an adult thing.\You need to be responsible.\Responsible, huh? response:	Adulting is hard, huh?
context: Sis... are you sure you can handle this?\It's just...\Comprehensive Summer Training Documents\It's not like that pamphlets tell us what to bring...\Because it's an adult thing.\You need to be responsible.\Responsible, huh?\Adulting is hard, huh? response:	Pen-Pen
