context: Nothing lets you call the students of Seika flies. response:	I demand an apology from you.
context: I'm the Vice President of the Student Council, Maki.\Do you need something from me?\May I have a moment with you?\You guys.\Yes.\Please accept them.\They're gifts from President Igarashi.\No, I really can't accept these gifts. response:	President Igarashi strongly desires for you to transfer.
context: Do you need something from me?\May I have a moment with you?\You guys.\Yes.\Please accept them.\They're gifts from President Igarashi.\No, I really can't accept these gifts.\President Igarashi strongly desires for you to transfer. response:	I don't have any intension of going to Miyabigaoka even if you do this for me.
context: May I have a moment with you?\You guys.\Yes.\Please accept them.\They're gifts from President Igarashi.\No, I really can't accept these gifts.\President Igarashi strongly desires for you to transfer.\I don't have any intension of going to Miyabigaoka even if you do this for me. response:	I appreciate it, but please take these back.
context: You guys.\Yes.\Please accept them.\They're gifts from President Igarashi.\No, I really can't accept these gifts.\President Igarashi strongly desires for you to transfer.\I don't have any intension of going to Miyabigaoka even if you do this for me.\I appreciate it, but please take these back. response:	It's a special cake I had my shop make for this day.
context: Yes.\Please accept them.\They're gifts from President Igarashi.\No, I really can't accept these gifts.\President Igarashi strongly desires for you to transfer.\I don't have any intension of going to Miyabigaoka even if you do this for me.\I appreciate it, but please take these back.\It's a special cake I had my shop make for this day. response:	I'd be a waste to have it thrown away.
context: Please accept them.\They're gifts from President Igarashi.\No, I really can't accept these gifts.\President Igarashi strongly desires for you to transfer.\I don't have any intension of going to Miyabigaoka even if you do this for me.\I appreciate it, but please take these back.\It's a special cake I had my shop make for this day.\I'd be a waste to have it thrown away. response:	Please don't worry. President Igarashi wouldn't intend for this gesture to leave you in his debt.
context: They're gifts from President Igarashi.\No, I really can't accept these gifts.\President Igarashi strongly desires for you to transfer.\I don't have any intension of going to Miyabigaoka even if you do this for me.\I appreciate it, but please take these back.\It's a special cake I had my shop make for this day.\I'd be a waste to have it thrown away.\Please don't worry. President Igarashi wouldn't intend for this gesture to leave you in his debt. response:	Please accept them.
context: No, I really can't accept these gifts.\President Igarashi strongly desires for you to transfer.\I don't have any intension of going to Miyabigaoka even if you do this for me.\I appreciate it, but please take these back.\It's a special cake I had my shop make for this day.\I'd be a waste to have it thrown away.\Please don't worry. President Igarashi wouldn't intend for this gesture to leave you in his debt.\Please accept them. response:	President Igarashi simply wants you to help make Miyabigaoka a better school.
context: President Igarashi strongly desires for you to transfer.\I don't have any intension of going to Miyabigaoka even if you do this for me.\I appreciate it, but please take these back.\It's a special cake I had my shop make for this day.\I'd be a waste to have it thrown away.\Please don't worry. President Igarashi wouldn't intend for this gesture to leave you in his debt.\Please accept them.\President Igarashi simply wants you to help make Miyabigaoka a better school. response:	I'm home.
context: I don't have any intension of going to Miyabigaoka even if you do this for me.\I appreciate it, but please take these back.\It's a special cake I had my shop make for this day.\I'd be a waste to have it thrown away.\Please don't worry. President Igarashi wouldn't intend for this gesture to leave you in his debt.\Please accept them.\President Igarashi simply wants you to help make Miyabigaoka a better school.\I'm home. response:	Unfamiliar men.
context: I appreciate it, but please take these back.\It's a special cake I had my shop make for this day.\I'd be a waste to have it thrown away.\Please don't worry. President Igarashi wouldn't intend for this gesture to leave you in his debt.\Please accept them.\President Igarashi simply wants you to help make Miyabigaoka a better school.\I'm home.\Unfamiliar men. response:	Are they new students of the Ayuzawa School's?
context: It's a special cake I had my shop make for this day.\I'd be a waste to have it thrown away.\Please don't worry. President Igarashi wouldn't intend for this gesture to leave you in his debt.\Please accept them.\President Igarashi simply wants you to help make Miyabigaoka a better school.\I'm home.\Unfamiliar men.\Are they new students of the Ayuzawa School's? response:	No they're not. Leave us alone.
context: I'd be a waste to have it thrown away.\Please don't worry. President Igarashi wouldn't intend for this gesture to leave you in his debt.\Please accept them.\President Igarashi simply wants you to help make Miyabigaoka a better school.\I'm home.\Unfamiliar men.\Are they new students of the Ayuzawa School's?\No they're not. Leave us alone. response:	Well, maybe I'll prepare some tea.
context: Please don't worry. President Igarashi wouldn't intend for this gesture to leave you in his debt.\Please accept them.\President Igarashi simply wants you to help make Miyabigaoka a better school.\I'm home.\Unfamiliar men.\Are they new students of the Ayuzawa School's?\No they're not. Leave us alone.\Well, maybe I'll prepare some tea. response:	I'm sorry. She's a little bit unique.
context: Please accept them.\President Igarashi simply wants you to help make Miyabigaoka a better school.\I'm home.\Unfamiliar men.\Are they new students of the Ayuzawa School's?\No they're not. Leave us alone.\Well, maybe I'll prepare some tea.\I'm sorry. She's a little bit unique. response:	If you would come to Miyabigaoka, the president says he would offer your sister a generous deal, as well.
context: President Igarashi simply wants you to help make Miyabigaoka a better school.\I'm home.\Unfamiliar men.\Are they new students of the Ayuzawa School's?\No they're not. Leave us alone.\Well, maybe I'll prepare some tea.\I'm sorry. She's a little bit unique.\If you would come to Miyabigaoka, the president says he would offer your sister a generous deal, as well. response:	Now that's going overboard.
context: I'm home.\Unfamiliar men.\Are they new students of the Ayuzawa School's?\No they're not. Leave us alone.\Well, maybe I'll prepare some tea.\I'm sorry. She's a little bit unique.\If you would come to Miyabigaoka, the president says he would offer your sister a generous deal, as well.\Now that's going overboard. response:	The Igarashi Foundation's influence on Miyabigaoka is extraordinary.
context: Unfamiliar men.\Are they new students of the Ayuzawa School's?\No they're not. Leave us alone.\Well, maybe I'll prepare some tea.\I'm sorry. She's a little bit unique.\If you would come to Miyabigaoka, the president says he would offer your sister a generous deal, as well.\Now that's going overboard.\The Igarashi Foundation's influence on Miyabigaoka is extraordinary. response:	Please seriously consider this offer for your sister's sake, too.
context: Are they new students of the Ayuzawa School's?\No they're not. Leave us alone.\Well, maybe I'll prepare some tea.\I'm sorry. She's a little bit unique.\If you would come to Miyabigaoka, the president says he would offer your sister a generous deal, as well.\Now that's going overboard.\The Igarashi Foundation's influence on Miyabigaoka is extraordinary.\Please seriously consider this offer for your sister's sake, too. response:	We'll wait for another 3 days.
context: No they're not. Leave us alone.\Well, maybe I'll prepare some tea.\I'm sorry. She's a little bit unique.\If you would come to Miyabigaoka, the president says he would offer your sister a generous deal, as well.\Now that's going overboard.\The Igarashi Foundation's influence on Miyabigaoka is extraordinary.\Please seriously consider this offer for your sister's sake, too.\We'll wait for another 3 days. response:	We await your favorable reply.
context: Well, maybe I'll prepare some tea.\I'm sorry. She's a little bit unique.\If you would come to Miyabigaoka, the president says he would offer your sister a generous deal, as well.\Now that's going overboard.\The Igarashi Foundation's influence on Miyabigaoka is extraordinary.\Please seriously consider this offer for your sister's sake, too.\We'll wait for another 3 days.\We await your favorable reply. response:	But...
context: I'm sorry. She's a little bit unique.\If you would come to Miyabigaoka, the president says he would offer your sister a generous deal, as well.\Now that's going overboard.\The Igarashi Foundation's influence on Miyabigaoka is extraordinary.\Please seriously consider this offer for your sister's sake, too.\We'll wait for another 3 days.\We await your favorable reply.\But... response:	President will be waiting at Miyabigaoka until you come.
context: If you would come to Miyabigaoka, the president says he would offer your sister a generous deal, as well.\Now that's going overboard.\The Igarashi Foundation's influence on Miyabigaoka is extraordinary.\Please seriously consider this offer for your sister's sake, too.\We'll wait for another 3 days.\We await your favorable reply.\But...\President will be waiting at Miyabigaoka until you come. response:	What's wrong, Misaki? You're spacing out.
context: Now that's going overboard.\The Igarashi Foundation's influence on Miyabigaoka is extraordinary.\Please seriously consider this offer for your sister's sake, too.\We'll wait for another 3 days.\We await your favorable reply.\But...\President will be waiting at Miyabigaoka until you come.\What's wrong, Misaki? You're spacing out. response:	Nothing.
context: The Igarashi Foundation's influence on Miyabigaoka is extraordinary.\Please seriously consider this offer for your sister's sake, too.\We'll wait for another 3 days.\We await your favorable reply.\But...\President will be waiting at Miyabigaoka until you come.\What's wrong, Misaki? You're spacing out.\Nothing. response:	Oh, is it about Tora?
context: Please seriously consider this offer for your sister's sake, too.\We'll wait for another 3 days.\We await your favorable reply.\But...\President will be waiting at Miyabigaoka until you come.\What's wrong, Misaki? You're spacing out.\Nothing.\Oh, is it about Tora? response:	Tora?
context: We'll wait for another 3 days.\We await your favorable reply.\But...\President will be waiting at Miyabigaoka until you come.\What's wrong, Misaki? You're spacing out.\Nothing.\Oh, is it about Tora?\Tora? response:	The son of the Igarashi Foundation.
context: We await your favorable reply.\But...\President will be waiting at Miyabigaoka until you come.\What's wrong, Misaki? You're spacing out.\Nothing.\Oh, is it about Tora?\Tora?\The son of the Igarashi Foundation. response:	Miyabigaoka's Student Council President.
context: But...\President will be waiting at Miyabigaoka until you come.\What's wrong, Misaki? You're spacing out.\Nothing.\Oh, is it about Tora?\Tora?\The son of the Igarashi Foundation.\Miyabigaoka's Student Council President. response:	That Igarashi Tora!
context: President will be waiting at Miyabigaoka until you come.\What's wrong, Misaki? You're spacing out.\Nothing.\Oh, is it about Tora?\Tora?\The son of the Igarashi Foundation.\Miyabigaoka's Student Council President.\That Igarashi Tora! response:	You wouldn't transfer to Miyabigaoka, would you, Misaki?
context: What's wrong, Misaki? You're spacing out.\Nothing.\Oh, is it about Tora?\Tora?\The son of the Igarashi Foundation.\Miyabigaoka's Student Council President.\That Igarashi Tora!\You wouldn't transfer to Miyabigaoka, would you, Misaki? response:	Of course I won't.
context: Nothing.\Oh, is it about Tora?\Tora?\The son of the Igarashi Foundation.\Miyabigaoka's Student Council President.\That Igarashi Tora!\You wouldn't transfer to Miyabigaoka, would you, Misaki?\Of course I won't. response:	Don't ever forsake us! You're the only one we can count on!
context: Oh, is it about Tora?\Tora?\The son of the Igarashi Foundation.\Miyabigaoka's Student Council President.\That Igarashi Tora!\You wouldn't transfer to Miyabigaoka, would you, Misaki?\Of course I won't.\Don't ever forsake us! You're the only one we can count on! response:	Sakura-san! Watch what you say!
context: Tora?\The son of the Igarashi Foundation.\Miyabigaoka's Student Council President.\That Igarashi Tora!\You wouldn't transfer to Miyabigaoka, would you, Misaki?\Of course I won't.\Don't ever forsake us! You're the only one we can count on!\Sakura-san! Watch what you say! response:	If we consider Misaki-san's future, we shouldn't let emotion guide us.
context: The son of the Igarashi Foundation.\Miyabigaoka's Student Council President.\That Igarashi Tora!\You wouldn't transfer to Miyabigaoka, would you, Misaki?\Of course I won't.\Don't ever forsake us! You're the only one we can count on!\Sakura-san! Watch what you say!\If we consider Misaki-san's future, we shouldn't let emotion guide us. response:	It's not bad to graduate from a renowned school.
context: Miyabigaoka's Student Council President.\That Igarashi Tora!\You wouldn't transfer to Miyabigaoka, would you, Misaki?\Of course I won't.\Don't ever forsake us! You're the only one we can count on!\Sakura-san! Watch what you say!\If we consider Misaki-san's future, we shouldn't let emotion guide us.\It's not bad to graduate from a renowned school. response:	Misaki's future?
context: That Igarashi Tora!\You wouldn't transfer to Miyabigaoka, would you, Misaki?\Of course I won't.\Don't ever forsake us! You're the only one we can count on!\Sakura-san! Watch what you say!\If we consider Misaki-san's future, we shouldn't let emotion guide us.\It's not bad to graduate from a renowned school.\Misaki's future? response:	What if a love story starts between Misaki and Tora after her transfer?
context: You wouldn't transfer to Miyabigaoka, would you, Misaki?\Of course I won't.\Don't ever forsake us! You're the only one we can count on!\Sakura-san! Watch what you say!\If we consider Misaki-san's future, we shouldn't let emotion guide us.\It's not bad to graduate from a renowned school.\Misaki's future?\What if a love story starts between Misaki and Tora after her transfer? response:	Misaki might become Tora's wife?
context: Of course I won't.\Don't ever forsake us! You're the only one we can count on!\Sakura-san! Watch what you say!\If we consider Misaki-san's future, we shouldn't let emotion guide us.\It's not bad to graduate from a renowned school.\Misaki's future?\What if a love story starts between Misaki and Tora after her transfer?\Misaki might become Tora's wife? response:	She could become the Igarashi Foundation's celebrity madam!
context: Don't ever forsake us! You're the only one we can count on!\Sakura-san! Watch what you say!\If we consider Misaki-san's future, we shouldn't let emotion guide us.\It's not bad to graduate from a renowned school.\Misaki's future?\What if a love story starts between Misaki and Tora after her transfer?\Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam! response:	I think it's better for the Prez to be over there.
context: Sakura-san! Watch what you say!\If we consider Misaki-san's future, we shouldn't let emotion guide us.\It's not bad to graduate from a renowned school.\Misaki's future?\What if a love story starts between Misaki and Tora after her transfer?\Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam!\I think it's better for the Prez to be over there. response:	After all, Miyabigaoka is a prestigious school.
context: If we consider Misaki-san's future, we shouldn't let emotion guide us.\It's not bad to graduate from a renowned school.\Misaki's future?\What if a love story starts between Misaki and Tora after her transfer?\Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam!\I think it's better for the Prez to be over there.\After all, Miyabigaoka is a prestigious school. response:	Who would turn down this offer?
context: It's not bad to graduate from a renowned school.\Misaki's future?\What if a love story starts between Misaki and Tora after her transfer?\Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam!\I think it's better for the Prez to be over there.\After all, Miyabigaoka is a prestigious school.\Who would turn down this offer? response:	There's no reason not to accept.
context: Misaki's future?\What if a love story starts between Misaki and Tora after her transfer?\Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam!\I think it's better for the Prez to be over there.\After all, Miyabigaoka is a prestigious school.\Who would turn down this offer?\There's no reason not to accept. response:	If Prez leaves, then we'll be able to do what we want like we used to.
context: What if a love story starts between Misaki and Tora after her transfer?\Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam!\I think it's better for the Prez to be over there.\After all, Miyabigaoka is a prestigious school.\Who would turn down this offer?\There's no reason not to accept.\If Prez leaves, then we'll be able to do what we want like we used to. response:	How can you guys say something like that?!
context: Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam!\I think it's better for the Prez to be over there.\After all, Miyabigaoka is a prestigious school.\Who would turn down this offer?\There's no reason not to accept.\If Prez leaves, then we'll be able to do what we want like we used to.\How can you guys say something like that?! response:	Ow.
context: She could become the Igarashi Foundation's celebrity madam!\I think it's better for the Prez to be over there.\After all, Miyabigaoka is a prestigious school.\Who would turn down this offer?\There's no reason not to accept.\If Prez leaves, then we'll be able to do what we want like we used to.\How can you guys say something like that?!\Ow. response:	What was that for?
context: I think it's better for the Prez to be over there.\After all, Miyabigaoka is a prestigious school.\Who would turn down this offer?\There's no reason not to accept.\If Prez leaves, then we'll be able to do what we want like we used to.\How can you guys say something like that?!\Ow.\What was that for? response:	When Prez went against Miyabigaoka, she trusted us and stood up for us.
context: After all, Miyabigaoka is a prestigious school.\Who would turn down this offer?\There's no reason not to accept.\If Prez leaves, then we'll be able to do what we want like we used to.\How can you guys say something like that?!\Ow.\What was that for?\When Prez went against Miyabigaoka, she trusted us and stood up for us. response:	Do you guys have any idea how much she thinks about us?
context: Who would turn down this offer?\There's no reason not to accept.\If Prez leaves, then we'll be able to do what we want like we used to.\How can you guys say something like that?!\Ow.\What was that for?\When Prez went against Miyabigaoka, she trusted us and stood up for us.\Do you guys have any idea how much she thinks about us? response:	Yeah, we know.
context: There's no reason not to accept.\If Prez leaves, then we'll be able to do what we want like we used to.\How can you guys say something like that?!\Ow.\What was that for?\When Prez went against Miyabigaoka, she trusted us and stood up for us.\Do you guys have any idea how much she thinks about us?\Yeah, we know. response:	But, if Prez says she wants to go...
context: If Prez leaves, then we'll be able to do what we want like we used to.\How can you guys say something like that?!\Ow.\What was that for?\When Prez went against Miyabigaoka, she trusted us and stood up for us.\Do you guys have any idea how much she thinks about us?\Yeah, we know.\But, if Prez says she wants to go... response:	Then we can't stop her.
context: How can you guys say something like that?!\Ow.\What was that for?\When Prez went against Miyabigaoka, she trusted us and stood up for us.\Do you guys have any idea how much she thinks about us?\Yeah, we know.\But, if Prez says she wants to go...\Then we can't stop her. response:	I've been absent for a long time...
context: Ow.\What was that for?\When Prez went against Miyabigaoka, she trusted us and stood up for us.\Do you guys have any idea how much she thinks about us?\Yeah, we know.\But, if Prez says she wants to go...\Then we can't stop her.\I've been absent for a long time... response:	I've been ash for a while.
context: What was that for?\When Prez went against Miyabigaoka, she trusted us and stood up for us.\Do you guys have any idea how much she thinks about us?\Yeah, we know.\But, if Prez says she wants to go...\Then we can't stop her.\I've been absent for a long time...\I've been ash for a while. response:	So I better take care of the work that's piled up.
context: When Prez went against Miyabigaoka, she trusted us and stood up for us.\Do you guys have any idea how much she thinks about us?\Yeah, we know.\But, if Prez says she wants to go...\Then we can't stop her.\I've been absent for a long time...\I've been ash for a while.\So I better take care of the work that's piled up. response:	Usui-san?!
context: Do you guys have any idea how much she thinks about us?\Yeah, we know.\But, if Prez says she wants to go...\Then we can't stop her.\I've been absent for a long time...\I've been ash for a while.\So I better take care of the work that's piled up.\Usui-san?! response:	How many times do I have to tell you?
context: Yeah, we know.\But, if Prez says she wants to go...\Then we can't stop her.\I've been absent for a long time...\I've been ash for a while.\So I better take care of the work that's piled up.\Usui-san?!\How many times do I have to tell you? response:	Don't hang around the student council room when you don't have any business here.
context: But, if Prez says she wants to go...\Then we can't stop her.\I've been absent for a long time...\I've been ash for a while.\So I better take care of the work that's piled up.\Usui-san?!\How many times do I have to tell you?\Don't hang around the student council room when you don't have any business here. response:	Look. You're frightening Yukimura.
context: Then we can't stop her.\I've been absent for a long time...\I've been ash for a while.\So I better take care of the work that's piled up.\Usui-san?!\How many times do I have to tell you?\Don't hang around the student council room when you don't have any business here.\Look. You're frightening Yukimura. response:	I do have a business.
context: I've been absent for a long time...\I've been ash for a while.\So I better take care of the work that's piled up.\Usui-san?!\How many times do I have to tell you?\Don't hang around the student council room when you don't have any business here.\Look. You're frightening Yukimura.\I do have a business. response:	What are you going to do about Miyabigaoka?
context: I've been ash for a while.\So I better take care of the work that's piled up.\Usui-san?!\How many times do I have to tell you?\Don't hang around the student council room when you don't have any business here.\Look. You're frightening Yukimura.\I do have a business.\What are you going to do about Miyabigaoka? response:	I'm the Student Council President of Seika High School.
context: So I better take care of the work that's piled up.\Usui-san?!\How many times do I have to tell you?\Don't hang around the student council room when you don't have any business here.\Look. You're frightening Yukimura.\I do have a business.\What are you going to do about Miyabigaoka?\I'm the Student Council President of Seika High School. response:	If I leave, Seika will...
context: Usui-san?!\How many times do I have to tell you?\Don't hang around the student council room when you don't have any business here.\Look. You're frightening Yukimura.\I do have a business.\What are you going to do about Miyabigaoka?\I'm the Student Council President of Seika High School.\If I leave, Seika will... response:	It might be nice to be freed from a stalker like you.
context: How many times do I have to tell you?\Don't hang around the student council room when you don't have any business here.\Look. You're frightening Yukimura.\I do have a business.\What are you going to do about Miyabigaoka?\I'm the Student Council President of Seika High School.\If I leave, Seika will...\It might be nice to be freed from a stalker like you. response:	Transfer to Miyabigaoka? What is this about?
context: Don't hang around the student council room when you don't have any business here.\Look. You're frightening Yukimura.\I do have a business.\What are you going to do about Miyabigaoka?\I'm the Student Council President of Seika High School.\If I leave, Seika will...\It might be nice to be freed from a stalker like you.\Transfer to Miyabigaoka? What is this about? response:	What happened while I was gone?
context: Look. You're frightening Yukimura.\I do have a business.\What are you going to do about Miyabigaoka?\I'm the Student Council President of Seika High School.\If I leave, Seika will...\It might be nice to be freed from a stalker like you.\Transfer to Miyabigaoka? What is this about?\What happened while I was gone? response:	Hey, where's Mom?
context: I do have a business.\What are you going to do about Miyabigaoka?\I'm the Student Council President of Seika High School.\If I leave, Seika will...\It might be nice to be freed from a stalker like you.\Transfer to Miyabigaoka? What is this about?\What happened while I was gone?\Hey, where's Mom? response:	I got a call from the hospital, she suddenly had to cover the night shift.
context: What are you going to do about Miyabigaoka?\I'm the Student Council President of Seika High School.\If I leave, Seika will...\It might be nice to be freed from a stalker like you.\Transfer to Miyabigaoka? What is this about?\What happened while I was gone?\Hey, where's Mom?\I got a call from the hospital, she suddenly had to cover the night shift. response:	There she goes, when I always tell her not to work too hard.
context: I'm the Student Council President of Seika High School.\If I leave, Seika will...\It might be nice to be freed from a stalker like you.\Transfer to Miyabigaoka? What is this about?\What happened while I was gone?\Hey, where's Mom?\I got a call from the hospital, she suddenly had to cover the night shift.\There she goes, when I always tell her not to work too hard. response:	She's raising two daughters by herself, so there are times when she has to overwork.
context: If I leave, Seika will...\It might be nice to be freed from a stalker like you.\Transfer to Miyabigaoka? What is this about?\What happened while I was gone?\Hey, where's Mom?\I got a call from the hospital, she suddenly had to cover the night shift.\There she goes, when I always tell her not to work too hard.\She's raising two daughters by herself, so there are times when she has to overwork. response:	I guess that's true, but...
context: It might be nice to be freed from a stalker like you.\Transfer to Miyabigaoka? What is this about?\What happened while I was gone?\Hey, where's Mom?\I got a call from the hospital, she suddenly had to cover the night shift.\There she goes, when I always tell her not to work too hard.\She's raising two daughters by herself, so there are times when she has to overwork.\I guess that's true, but... response:	Dinner's ready.
context: Transfer to Miyabigaoka? What is this about?\What happened while I was gone?\Hey, where's Mom?\I got a call from the hospital, she suddenly had to cover the night shift.\There she goes, when I always tell her not to work too hard.\She's raising two daughters by herself, so there are times when she has to overwork.\I guess that's true, but...\Dinner's ready. response:	What's with this feast?!
context: What happened while I was gone?\Hey, where's Mom?\I got a call from the hospital, she suddenly had to cover the night shift.\There she goes, when I always tell her not to work too hard.\She's raising two daughters by herself, so there are times when she has to overwork.\I guess that's true, but...\Dinner's ready.\What's with this feast?! response:	Are the guys from Miyabigaoka hiding somewhere?
context: Hey, where's Mom?\I got a call from the hospital, she suddenly had to cover the night shift.\There she goes, when I always tell her not to work too hard.\She's raising two daughters by herself, so there are times when she has to overwork.\I guess that's true, but...\Dinner's ready.\What's with this feast?!\Are the guys from Miyabigaoka hiding somewhere? response:	No. I made it all.
context: I got a call from the hospital, she suddenly had to cover the night shift.\There she goes, when I always tell her not to work too hard.\She's raising two daughters by herself, so there are times when she has to overwork.\I guess that's true, but...\Dinner's ready.\What's with this feast?!\Are the guys from Miyabigaoka hiding somewhere?\No. I made it all. response:	Bean curd croquette, bean curd salad, bean curd molded to look like king crab,
context: There she goes, when I always tell her not to work too hard.\She's raising two daughters by herself, so there are times when she has to overwork.\I guess that's true, but...\Dinner's ready.\What's with this feast?!\Are the guys from Miyabigaoka hiding somewhere?\No. I made it all.\Bean curd croquette, bean curd salad, bean curd molded to look like king crab, response:	bean curd imitating the shape of a roast chicken, and bean curd imitating the shape of sashimi.
context: She's raising two daughters by herself, so there are times when she has to overwork.\I guess that's true, but...\Dinner's ready.\What's with this feast?!\Are the guys from Miyabigaoka hiding somewhere?\No. I made it all.\Bean curd croquette, bean curd salad, bean curd molded to look like king crab,\bean curd imitating the shape of a roast chicken, and bean curd imitating the shape of sashimi. response:	This is all bean curd? Wow.
context: I guess that's true, but...\Dinner's ready.\What's with this feast?!\Are the guys from Miyabigaoka hiding somewhere?\No. I made it all.\Bean curd croquette, bean curd salad, bean curd molded to look like king crab,\bean curd imitating the shape of a roast chicken, and bean curd imitating the shape of sashimi.\This is all bean curd? Wow. response:	Bean curd is cheap and full of nutrition.
context: Dinner's ready.\What's with this feast?!\Are the guys from Miyabigaoka hiding somewhere?\No. I made it all.\Bean curd croquette, bean curd salad, bean curd molded to look like king crab,\bean curd imitating the shape of a roast chicken, and bean curd imitating the shape of sashimi.\This is all bean curd? Wow.\Bean curd is cheap and full of nutrition. response:	We're poor, so we need to be creative with our food like this.
context: What's with this feast?!\Are the guys from Miyabigaoka hiding somewhere?\No. I made it all.\Bean curd croquette, bean curd salad, bean curd molded to look like king crab,\bean curd imitating the shape of a roast chicken, and bean curd imitating the shape of sashimi.\This is all bean curd? Wow.\Bean curd is cheap and full of nutrition.\We're poor, so we need to be creative with our food like this. response:	I'm sorry for making you go through hard times, too.
context: Are the guys from Miyabigaoka hiding somewhere?\No. I made it all.\Bean curd croquette, bean curd salad, bean curd molded to look like king crab,\bean curd imitating the shape of a roast chicken, and bean curd imitating the shape of sashimi.\This is all bean curd? Wow.\Bean curd is cheap and full of nutrition.\We're poor, so we need to be creative with our food like this.\I'm sorry for making you go through hard times, too. response:	It's not your fault, Sis.
context: No. I made it all.\Bean curd croquette, bean curd salad, bean curd molded to look like king crab,\bean curd imitating the shape of a roast chicken, and bean curd imitating the shape of sashimi.\This is all bean curd? Wow.\Bean curd is cheap and full of nutrition.\We're poor, so we need to be creative with our food like this.\I'm sorry for making you go through hard times, too.\It's not your fault, Sis. response:	It's our Dad's fault for disappearing on us.
context: Bean curd croquette, bean curd salad, bean curd molded to look like king crab,\bean curd imitating the shape of a roast chicken, and bean curd imitating the shape of sashimi.\This is all bean curd? Wow.\Bean curd is cheap and full of nutrition.\We're poor, so we need to be creative with our food like this.\I'm sorry for making you go through hard times, too.\It's not your fault, Sis.\It's our Dad's fault for disappearing on us. response:	Besides, cooking is fun.
context: bean curd imitating the shape of a roast chicken, and bean curd imitating the shape of sashimi.\This is all bean curd? Wow.\Bean curd is cheap and full of nutrition.\We're poor, so we need to be creative with our food like this.\I'm sorry for making you go through hard times, too.\It's not your fault, Sis.\It's our Dad's fault for disappearing on us.\Besides, cooking is fun. response:	Itadakimasu.
