context: If I saw everyone again right now... response:	I know that I'd depend on them just as much as I did back then.
context: You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now response:	I'll show you my love now
context: Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now response:	I'll show you my everything yeah yeah
context: I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah response:	Baby don't be afraid
context: I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid response:	Yeah, yeah Yeah, yeah
context: I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Yeah, yeah Yeah, yeah
context: Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Satsuki!
context: I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Satsuki! response:	If you keep dawdling like that, I'm going ahead!
context: I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Satsuki!\If you keep dawdling like that, I'm going ahead! response:	Mommy!
context: Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Satsuki!\If you keep dawdling like that, I'm going ahead!\Mommy! response:	A butterfly! There was a butterfly!
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Satsuki!\If you keep dawdling like that, I'm going ahead!\Mommy!\A butterfly! There was a butterfly! response:	Huh?
context: Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Satsuki!\If you keep dawdling like that, I'm going ahead!\Mommy!\A butterfly! There was a butterfly!\Huh? response:	It was big and black and really pretty!
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Satsuki!\If you keep dawdling like that, I'm going ahead!\Mommy!\A butterfly! There was a butterfly!\Huh?\It was big and black and really pretty! response:	It's a famous butterfly! I saw it in my book!
context: Yeah, yeah, keep going on\Satsuki!\If you keep dawdling like that, I'm going ahead!\Mommy!\A butterfly! There was a butterfly!\Huh?\It was big and black and really pretty!\It's a famous butterfly! I saw it in my book! response:	That must've been a black swallowtail.
context: Satsuki!\If you keep dawdling like that, I'm going ahead!\Mommy!\A butterfly! There was a butterfly!\Huh?\It was big and black and really pretty!\It's a famous butterfly! I saw it in my book!\That must've been a black swallowtail. response:	Black swallowtail? It's not a butterfly?
context: If you keep dawdling like that, I'm going ahead!\Mommy!\A butterfly! There was a butterfly!\Huh?\It was big and black and really pretty!\It's a famous butterfly! I saw it in my book!\That must've been a black swallowtail.\Black swallowtail? It's not a butterfly? response:	It is a butterfly. That kind is called a swallowtail.
context: Mommy!\A butterfly! There was a butterfly!\Huh?\It was big and black and really pretty!\It's a famous butterfly! I saw it in my book!\That must've been a black swallowtail.\Black swallowtail? It's not a butterfly?\It is a butterfly. That kind is called a swallowtail. response:	A swallowtail?!
context: A butterfly! There was a butterfly!\Huh?\It was big and black and really pretty!\It's a famous butterfly! I saw it in my book!\That must've been a black swallowtail.\Black swallowtail? It's not a butterfly?\It is a butterfly. That kind is called a swallowtail.\A swallowtail?! response:	How's it different from a normal butterfly?!
context: Huh?\It was big and black and really pretty!\It's a famous butterfly! I saw it in my book!\That must've been a black swallowtail.\Black swallowtail? It's not a butterfly?\It is a butterfly. That kind is called a swallowtail.\A swallowtail?!\How's it different from a normal butterfly?! response:	Oh boy. Lately, talking to Satsuki reminds me
context: It was big and black and really pretty!\It's a famous butterfly! I saw it in my book!\That must've been a black swallowtail.\Black swallowtail? It's not a butterfly?\It is a butterfly. That kind is called a swallowtail.\A swallowtail?!\How's it different from a normal butterfly?!\Oh boy. Lately, talking to Satsuki reminds me response:	of talking to Shin in the old days.
context: It's a famous butterfly! I saw it in my book!\That must've been a black swallowtail.\Black swallowtail? It's not a butterfly?\It is a butterfly. That kind is called a swallowtail.\A swallowtail?!\How's it different from a normal butterfly?!\Oh boy. Lately, talking to Satsuki reminds me\of talking to Shin in the old days. response:	Why?
context: That must've been a black swallowtail.\Black swallowtail? It's not a butterfly?\It is a butterfly. That kind is called a swallowtail.\A swallowtail?!\How's it different from a normal butterfly?!\Oh boy. Lately, talking to Satsuki reminds me\of talking to Shin in the old days.\Why? response:	I guess it's because he was like a six-year-old.
context: Black swallowtail? It's not a butterfly?\It is a butterfly. That kind is called a swallowtail.\A swallowtail?!\How's it different from a normal butterfly?!\Oh boy. Lately, talking to Satsuki reminds me\of talking to Shin in the old days.\Why?\I guess it's because he was like a six-year-old. response:	What about me?
context: It is a butterfly. That kind is called a swallowtail.\A swallowtail?!\How's it different from a normal butterfly?!\Oh boy. Lately, talking to Satsuki reminds me\of talking to Shin in the old days.\Why?\I guess it's because he was like a six-year-old.\What about me? response:	Shin, you look fabulous!
context: A swallowtail?!\How's it different from a normal butterfly?!\Oh boy. Lately, talking to Satsuki reminds me\of talking to Shin in the old days.\Why?\I guess it's because he was like a six-year-old.\What about me?\Shin, you look fabulous! response:	That looks good on you!
context: How's it different from a normal butterfly?!\Oh boy. Lately, talking to Satsuki reminds me\of talking to Shin in the old days.\Why?\I guess it's because he was like a six-year-old.\What about me?\Shin, you look fabulous!\That looks good on you! response:	Really? How do I tie this thing?
context: Oh boy. Lately, talking to Satsuki reminds me\of talking to Shin in the old days.\Why?\I guess it's because he was like a six-year-old.\What about me?\Shin, you look fabulous!\That looks good on you!\Really? How do I tie this thing? response:	I'll tie it for you.
context: of talking to Shin in the old days.\Why?\I guess it's because he was like a six-year-old.\What about me?\Shin, you look fabulous!\That looks good on you!\Really? How do I tie this thing?\I'll tie it for you. response:	Then make a butterfly bow like yours.
context: Why?\I guess it's because he was like a six-year-old.\What about me?\Shin, you look fabulous!\That looks good on you!\Really? How do I tie this thing?\I'll tie it for you.\Then make a butterfly bow like yours. response:	Not allowed. And this is not a butterfly bow.
context: I guess it's because he was like a six-year-old.\What about me?\Shin, you look fabulous!\That looks good on you!\Really? How do I tie this thing?\I'll tie it for you.\Then make a butterfly bow like yours.\Not allowed. And this is not a butterfly bow. response:	It's called a Hanabunko. It's how young girls tie their obi.
context: What about me?\Shin, you look fabulous!\That looks good on you!\Really? How do I tie this thing?\I'll tie it for you.\Then make a butterfly bow like yours.\Not allowed. And this is not a butterfly bow.\It's called a Hanabunko. It's how young girls tie their obi. response:	Really? Then you can't wear it either, Hachi!
context: Shin, you look fabulous!\That looks good on you!\Really? How do I tie this thing?\I'll tie it for you.\Then make a butterfly bow like yours.\Not allowed. And this is not a butterfly bow.\It's called a Hanabunko. It's how young girls tie their obi.\Really? Then you can't wear it either, Hachi! response:	CHEEKY
context: That looks good on you!\Really? How do I tie this thing?\I'll tie it for you.\Then make a butterfly bow like yours.\Not allowed. And this is not a butterfly bow.\It's called a Hanabunko. It's how young girls tie their obi.\Really? Then you can't wear it either, Hachi!\CHEEKY response:	CHEEKY Shut up.
context: Really? How do I tie this thing?\I'll tie it for you.\Then make a butterfly bow like yours.\Not allowed. And this is not a butterfly bow.\It's called a Hanabunko. It's how young girls tie their obi.\Really? Then you can't wear it either, Hachi!\CHEEKY\CHEEKY Shut up. response:	Today's the day of the annual Tamagawa fireworks festival.
context: I'll tie it for you.\Then make a butterfly bow like yours.\Not allowed. And this is not a butterfly bow.\It's called a Hanabunko. It's how young girls tie their obi.\Really? Then you can't wear it either, Hachi!\CHEEKY\CHEEKY Shut up.\Today's the day of the annual Tamagawa fireworks festival. response:	No matter how busy we are,
context: Then make a butterfly bow like yours.\Not allowed. And this is not a butterfly bow.\It's called a Hanabunko. It's how young girls tie their obi.\Really? Then you can't wear it either, Hachi!\CHEEKY\CHEEKY Shut up.\Today's the day of the annual Tamagawa fireworks festival.\No matter how busy we are, response:	on this one day, we meet up in this room.
context: Not allowed. And this is not a butterfly bow.\It's called a Hanabunko. It's how young girls tie their obi.\Really? Then you can't wear it either, Hachi!\CHEEKY\CHEEKY Shut up.\Today's the day of the annual Tamagawa fireworks festival.\No matter how busy we are,\on this one day, we meet up in this room. response:	Carrying the same pain inside.
context: It's called a Hanabunko. It's how young girls tie their obi.\Really? Then you can't wear it either, Hachi!\CHEEKY\CHEEKY Shut up.\Today's the day of the annual Tamagawa fireworks festival.\No matter how busy we are,\on this one day, we meet up in this room.\Carrying the same pain inside. response:	Ahh, that's enough for me.
context: Really? Then you can't wear it either, Hachi!\CHEEKY\CHEEKY Shut up.\Today's the day of the annual Tamagawa fireworks festival.\No matter how busy we are,\on this one day, we meet up in this room.\Carrying the same pain inside.\Ahh, that's enough for me. response:	If I start drinking this early in the day,
context: CHEEKY\CHEEKY Shut up.\Today's the day of the annual Tamagawa fireworks festival.\No matter how busy we are,\on this one day, we meet up in this room.\Carrying the same pain inside.\Ahh, that's enough for me.\If I start drinking this early in the day, response:	I won't make it to the fireworks.
context: CHEEKY Shut up.\Today's the day of the annual Tamagawa fireworks festival.\No matter how busy we are,\on this one day, we meet up in this room.\Carrying the same pain inside.\Ahh, that's enough for me.\If I start drinking this early in the day,\I won't make it to the fireworks. response:	But Yasu, you haven't changed one bit.
context: Today's the day of the annual Tamagawa fireworks festival.\No matter how busy we are,\on this one day, we meet up in this room.\Carrying the same pain inside.\Ahh, that's enough for me.\If I start drinking this early in the day,\I won't make it to the fireworks.\But Yasu, you haven't changed one bit. response:	You're like a living fossil.
context: No matter how busy we are,\on this one day, we meet up in this room.\Carrying the same pain inside.\Ahh, that's enough for me.\If I start drinking this early in the day,\I won't make it to the fireworks.\But Yasu, you haven't changed one bit.\You're like a living fossil. response:	It's not like I'd change in just a few months.
context: on this one day, we meet up in this room.\Carrying the same pain inside.\Ahh, that's enough for me.\If I start drinking this early in the day,\I won't make it to the fireworks.\But Yasu, you haven't changed one bit.\You're like a living fossil.\It's not like I'd change in just a few months. response:	No, you haven't changed at all since high school.
context: Carrying the same pain inside.\Ahh, that's enough for me.\If I start drinking this early in the day,\I won't make it to the fireworks.\But Yasu, you haven't changed one bit.\You're like a living fossil.\It's not like I'd change in just a few months.\No, you haven't changed at all since high school. response:	So I bet you'd be the same if you lived a thousand years.
context: Ahh, that's enough for me.\If I start drinking this early in the day,\I won't make it to the fireworks.\But Yasu, you haven't changed one bit.\You're like a living fossil.\It's not like I'd change in just a few months.\No, you haven't changed at all since high school.\So I bet you'd be the same if you lived a thousand years. response:	You haven't changed much either, Nobu. Including your height.
context: If I start drinking this early in the day,\I won't make it to the fireworks.\But Yasu, you haven't changed one bit.\You're like a living fossil.\It's not like I'd change in just a few months.\No, you haven't changed at all since high school.\So I bet you'd be the same if you lived a thousand years.\You haven't changed much either, Nobu. Including your height. response:	Shut up!
context: I won't make it to the fireworks.\But Yasu, you haven't changed one bit.\You're like a living fossil.\It's not like I'd change in just a few months.\No, you haven't changed at all since high school.\So I bet you'd be the same if you lived a thousand years.\You haven't changed much either, Nobu. Including your height.\Shut up! response:	Nobu.
context: But Yasu, you haven't changed one bit.\You're like a living fossil.\It's not like I'd change in just a few months.\No, you haven't changed at all since high school.\So I bet you'd be the same if you lived a thousand years.\You haven't changed much either, Nobu. Including your height.\Shut up!\Nobu. response:	Why don't you go take a quick shower and change into your yukata?
context: You're like a living fossil.\It's not like I'd change in just a few months.\No, you haven't changed at all since high school.\So I bet you'd be the same if you lived a thousand years.\You haven't changed much either, Nobu. Including your height.\Shut up!\Nobu.\Why don't you go take a quick shower and change into your yukata? response:	Oh, thanks! In fact, would you mind filling the tub for me?
context: It's not like I'd change in just a few months.\No, you haven't changed at all since high school.\So I bet you'd be the same if you lived a thousand years.\You haven't changed much either, Nobu. Including your height.\Shut up!\Nobu.\Why don't you go take a quick shower and change into your yukata?\Oh, thanks! In fact, would you mind filling the tub for me? response:	All right. Very well, young master.
context: No, you haven't changed at all since high school.\So I bet you'd be the same if you lived a thousand years.\You haven't changed much either, Nobu. Including your height.\Shut up!\Nobu.\Why don't you go take a quick shower and change into your yukata?\Oh, thanks! In fact, would you mind filling the tub for me?\All right. Very well, young master. response:	Hey, what about Ren today? Isn't he coming?
context: So I bet you'd be the same if you lived a thousand years.\You haven't changed much either, Nobu. Including your height.\Shut up!\Nobu.\Why don't you go take a quick shower and change into your yukata?\Oh, thanks! In fact, would you mind filling the tub for me?\All right. Very well, young master.\Hey, what about Ren today? Isn't he coming? response:	He'll be here in time for the fireworks.
context: You haven't changed much either, Nobu. Including your height.\Shut up!\Nobu.\Why don't you go take a quick shower and change into your yukata?\Oh, thanks! In fact, would you mind filling the tub for me?\All right. Very well, young master.\Hey, what about Ren today? Isn't he coming?\He'll be here in time for the fireworks. response:	He sure doesn't hurry for anyone, as always.
context: Shut up!\Nobu.\Why don't you go take a quick shower and change into your yukata?\Oh, thanks! In fact, would you mind filling the tub for me?\All right. Very well, young master.\Hey, what about Ren today? Isn't he coming?\He'll be here in time for the fireworks.\He sure doesn't hurry for anyone, as always. response:	Here you go, Satsuki! I bought you a present!
context: Nobu.\Why don't you go take a quick shower and change into your yukata?\Oh, thanks! In fact, would you mind filling the tub for me?\All right. Very well, young master.\Hey, what about Ren today? Isn't he coming?\He'll be here in time for the fireworks.\He sure doesn't hurry for anyone, as always.\Here you go, Satsuki! I bought you a present! response:	Yumeko-chan!
context: Why don't you go take a quick shower and change into your yukata?\Oh, thanks! In fact, would you mind filling the tub for me?\All right. Very well, young master.\Hey, what about Ren today? Isn't he coming?\He'll be here in time for the fireworks.\He sure doesn't hurry for anyone, as always.\Here you go, Satsuki! I bought you a present!\Yumeko-chan! response:	- What about for me? - I have nothing!
context: Oh, thanks! In fact, would you mind filling the tub for me?\All right. Very well, young master.\Hey, what about Ren today? Isn't he coming?\He'll be here in time for the fireworks.\He sure doesn't hurry for anyone, as always.\Here you go, Satsuki! I bought you a present!\Yumeko-chan!\- What about for me? - I have nothing! response:	Mommy, look! Yumeko-chan!
context: All right. Very well, young master.\Hey, what about Ren today? Isn't he coming?\He'll be here in time for the fireworks.\He sure doesn't hurry for anyone, as always.\Here you go, Satsuki! I bought you a present!\Yumeko-chan!\- What about for me? - I have nothing!\Mommy, look! Yumeko-chan! response:	And she's wearing a yukata!
context: Hey, what about Ren today? Isn't he coming?\He'll be here in time for the fireworks.\He sure doesn't hurry for anyone, as always.\Here you go, Satsuki! I bought you a present!\Yumeko-chan!\- What about for me? - I have nothing!\Mommy, look! Yumeko-chan!\And she's wearing a yukata! response:	RETRO DRESS-UP DOLL And she's wearing a yukata!
context: He'll be here in time for the fireworks.\He sure doesn't hurry for anyone, as always.\Here you go, Satsuki! I bought you a present!\Yumeko-chan!\- What about for me? - I have nothing!\Mommy, look! Yumeko-chan!\And she's wearing a yukata!\RETRO DRESS-UP DOLL And she's wearing a yukata! response:	RETRO DRESS-UP DOLL
context: He sure doesn't hurry for anyone, as always.\Here you go, Satsuki! I bought you a present!\Yumeko-chan!\- What about for me? - I have nothing!\Mommy, look! Yumeko-chan!\And she's wearing a yukata!\RETRO DRESS-UP DOLL And she's wearing a yukata!\RETRO DRESS-UP DOLL response:	So cute! Thank you, Nobu! I love this Retro Doll series!
context: Here you go, Satsuki! I bought you a present!\Yumeko-chan!\- What about for me? - I have nothing!\Mommy, look! Yumeko-chan!\And she's wearing a yukata!\RETRO DRESS-UP DOLL And she's wearing a yukata!\RETRO DRESS-UP DOLL\So cute! Thank you, Nobu! I love this Retro Doll series! response:	I didn't buy it for you!
context: Yumeko-chan!\- What about for me? - I have nothing!\Mommy, look! Yumeko-chan!\And she's wearing a yukata!\RETRO DRESS-UP DOLL And she's wearing a yukata!\RETRO DRESS-UP DOLL\So cute! Thank you, Nobu! I love this Retro Doll series!\I didn't buy it for you! response:	Isn't that great, Satsuki? Say thanks to the old man.
context: - What about for me? - I have nothing!\Mommy, look! Yumeko-chan!\And she's wearing a yukata!\RETRO DRESS-UP DOLL And she's wearing a yukata!\RETRO DRESS-UP DOLL\So cute! Thank you, Nobu! I love this Retro Doll series!\I didn't buy it for you!\Isn't that great, Satsuki? Say thanks to the old man. response:	Old man?!
context: Mommy, look! Yumeko-chan!\And she's wearing a yukata!\RETRO DRESS-UP DOLL And she's wearing a yukata!\RETRO DRESS-UP DOLL\So cute! Thank you, Nobu! I love this Retro Doll series!\I didn't buy it for you!\Isn't that great, Satsuki? Say thanks to the old man.\Old man?! response:	YUMEKO SERIES 7
context: And she's wearing a yukata!\RETRO DRESS-UP DOLL And she's wearing a yukata!\RETRO DRESS-UP DOLL\So cute! Thank you, Nobu! I love this Retro Doll series!\I didn't buy it for you!\Isn't that great, Satsuki? Say thanks to the old man.\Old man?!\YUMEKO SERIES 7 response:	YUMEKO SERIES 7 Thank you very much!
context: RETRO DRESS-UP DOLL And she's wearing a yukata!\RETRO DRESS-UP DOLL\So cute! Thank you, Nobu! I love this Retro Doll series!\I didn't buy it for you!\Isn't that great, Satsuki? Say thanks to the old man.\Old man?!\YUMEKO SERIES 7\YUMEKO SERIES 7 Thank you very much! response:	YUMEKO SERIES 7
context: RETRO DRESS-UP DOLL\So cute! Thank you, Nobu! I love this Retro Doll series!\I didn't buy it for you!\Isn't that great, Satsuki? Say thanks to the old man.\Old man?!\YUMEKO SERIES 7\YUMEKO SERIES 7 Thank you very much!\YUMEKO SERIES 7 response:	The flow of time cleanses the past and heals the wounds in people's hearts.
context: So cute! Thank you, Nobu! I love this Retro Doll series!\I didn't buy it for you!\Isn't that great, Satsuki? Say thanks to the old man.\Old man?!\YUMEKO SERIES 7\YUMEKO SERIES 7 Thank you very much!\YUMEKO SERIES 7\The flow of time cleanses the past and heals the wounds in people's hearts. response:	But there are wounds that cannot be healed.
context: I didn't buy it for you!\Isn't that great, Satsuki? Say thanks to the old man.\Old man?!\YUMEKO SERIES 7\YUMEKO SERIES 7 Thank you very much!\YUMEKO SERIES 7\The flow of time cleanses the past and heals the wounds in people's hearts.\But there are wounds that cannot be healed. response:	This room is just like it was then, as if time had stopped.
context: Isn't that great, Satsuki? Say thanks to the old man.\Old man?!\YUMEKO SERIES 7\YUMEKO SERIES 7 Thank you very much!\YUMEKO SERIES 7\The flow of time cleanses the past and heals the wounds in people's hearts.\But there are wounds that cannot be healed.\This room is just like it was then, as if time had stopped. response:	Nana. Listen. It's about Nobu.
context: Old man?!\YUMEKO SERIES 7\YUMEKO SERIES 7 Thank you very much!\YUMEKO SERIES 7\The flow of time cleanses the past and heals the wounds in people's hearts.\But there are wounds that cannot be healed.\This room is just like it was then, as if time had stopped.\Nana. Listen. It's about Nobu. response:	What about Nobuo?
context: YUMEKO SERIES 7\YUMEKO SERIES 7 Thank you very much!\YUMEKO SERIES 7\The flow of time cleanses the past and heals the wounds in people's hearts.\But there are wounds that cannot be healed.\This room is just like it was then, as if time had stopped.\Nana. Listen. It's about Nobu.\What about Nobuo? response:	Nana?
context: YUMEKO SERIES 7 Thank you very much!\YUMEKO SERIES 7\The flow of time cleanses the past and heals the wounds in people's hearts.\But there are wounds that cannot be healed.\This room is just like it was then, as if time had stopped.\Nana. Listen. It's about Nobu.\What about Nobuo?\Nana? response:	What are you doing?
context: YUMEKO SERIES 7\The flow of time cleanses the past and heals the wounds in people's hearts.\But there are wounds that cannot be healed.\This room is just like it was then, as if time had stopped.\Nana. Listen. It's about Nobu.\What about Nobuo?\Nana?\What are you doing? response:	Citron bath salts.
context: The flow of time cleanses the past and heals the wounds in people's hearts.\But there are wounds that cannot be healed.\This room is just like it was then, as if time had stopped.\Nana. Listen. It's about Nobu.\What about Nobuo?\Nana?\What are you doing?\Citron bath salts. response:	They have a great scent, don't you think?
context: But there are wounds that cannot be healed.\This room is just like it was then, as if time had stopped.\Nana. Listen. It's about Nobu.\What about Nobuo?\Nana?\What are you doing?\Citron bath salts.\They have a great scent, don't you think? response:	You don't need to worry so much. I'm fine now.
context: This room is just like it was then, as if time had stopped.\Nana. Listen. It's about Nobu.\What about Nobuo?\Nana?\What are you doing?\Citron bath salts.\They have a great scent, don't you think?\You don't need to worry so much. I'm fine now. response:	It's hot...
context: Nana. Listen. It's about Nobu.\What about Nobuo?\Nana?\What are you doing?\Citron bath salts.\They have a great scent, don't you think?\You don't need to worry so much. I'm fine now.\It's hot... response:	I put out a towel for you, young master.
context: What about Nobuo?\Nana?\What are you doing?\Citron bath salts.\They have a great scent, don't you think?\You don't need to worry so much. I'm fine now.\It's hot...\I put out a towel for you, young master. response:	Nana...
context: Nana?\What are you doing?\Citron bath salts.\They have a great scent, don't you think?\You don't need to worry so much. I'm fine now.\It's hot...\I put out a towel for you, young master.\Nana... response:	There are so many things I wanna talk to you about now.
