context: It's alright. response:	So...
context: Besides, I don't like your taste in music.\Off he goes...\Oh well, this key can open it anytime.\Still, that girl's power...\Could it be the wavelength of the Great Devil?\The black blood has stopped...\It seems like we have a winner for the second battle.\Both souls' responses have eased up. response:	And Maka?
context: Off he goes...\Oh well, this key can open it anytime.\Still, that girl's power...\Could it be the wavelength of the Great Devil?\The black blood has stopped...\It seems like we have a winner for the second battle.\Both souls' responses have eased up.\And Maka? response:	Is Maka alright?
context: Oh well, this key can open it anytime.\Still, that girl's power...\Could it be the wavelength of the Great Devil?\The black blood has stopped...\It seems like we have a winner for the second battle.\Both souls' responses have eased up.\And Maka?\Is Maka alright? response:	Yes.
context: Still, that girl's power...\Could it be the wavelength of the Great Devil?\The black blood has stopped...\It seems like we have a winner for the second battle.\Both souls' responses have eased up.\And Maka?\Is Maka alright?\Yes. response:	She seems to have matched the Devil Sword's wavelength well.
context: Could it be the wavelength of the Great Devil?\The black blood has stopped...\It seems like we have a winner for the second battle.\Both souls' responses have eased up.\And Maka?\Is Maka alright?\Yes.\She seems to have matched the Devil Sword's wavelength well. response:	The Devil Sword's wavelength is stabilizing, too.
context: The black blood has stopped...\It seems like we have a winner for the second battle.\Both souls' responses have eased up.\And Maka?\Is Maka alright?\Yes.\She seems to have matched the Devil Sword's wavelength well.\The Devil Sword's wavelength is stabilizing, too. response:	This is the first time I cried this much.
context: It seems like we have a winner for the second battle.\Both souls' responses have eased up.\And Maka?\Is Maka alright?\Yes.\She seems to have matched the Devil Sword's wavelength well.\The Devil Sword's wavelength is stabilizing, too.\This is the first time I cried this much. response:	I don't know how to deal with the tears...
context: Both souls' responses have eased up.\And Maka?\Is Maka alright?\Yes.\She seems to have matched the Devil Sword's wavelength well.\The Devil Sword's wavelength is stabilizing, too.\This is the first time I cried this much.\I don't know how to deal with the tears... response:	Maka, there's no time...
context: And Maka?\Is Maka alright?\Yes.\She seems to have matched the Devil Sword's wavelength well.\The Devil Sword's wavelength is stabilizing, too.\This is the first time I cried this much.\I don't know how to deal with the tears...\Maka, there's no time... response:	We should move on.
context: Is Maka alright?\Yes.\She seems to have matched the Devil Sword's wavelength well.\The Devil Sword's wavelength is stabilizing, too.\This is the first time I cried this much.\I don't know how to deal with the tears...\Maka, there's no time...\We should move on. response:	But we can't leave her like this.
context: Yes.\She seems to have matched the Devil Sword's wavelength well.\The Devil Sword's wavelength is stabilizing, too.\This is the first time I cried this much.\I don't know how to deal with the tears...\Maka, there's no time...\We should move on.\But we can't leave her like this. response:	You got me...
context: She seems to have matched the Devil Sword's wavelength well.\The Devil Sword's wavelength is stabilizing, too.\This is the first time I cried this much.\I don't know how to deal with the tears...\Maka, there's no time...\We should move on.\But we can't leave her like this.\You got me... response:	Don't mess around!
context: The Devil Sword's wavelength is stabilizing, too.\This is the first time I cried this much.\I don't know how to deal with the tears...\Maka, there's no time...\We should move on.\But we can't leave her like this.\You got me...\Don't mess around! response:	Don't mess around, idiot!
context: This is the first time I cried this much.\I don't know how to deal with the tears...\Maka, there's no time...\We should move on.\But we can't leave her like this.\You got me...\Don't mess around!\Don't mess around, idiot! response:	Woah! So little!
context: I don't know how to deal with the tears...\Maka, there's no time...\We should move on.\But we can't leave her like this.\You got me...\Don't mess around!\Don't mess around, idiot!\Woah! So little! response:	Why you, what did you do?! Why is my master like this?!
context: Maka, there's no time...\We should move on.\But we can't leave her like this.\You got me...\Don't mess around!\Don't mess around, idiot!\Woah! So little!\Why you, what did you do?! Why is my master like this?! response:	What? What? I don't know!
context: We should move on.\But we can't leave her like this.\You got me...\Don't mess around!\Don't mess around, idiot!\Woah! So little!\Why you, what did you do?! Why is my master like this?!\What? What? I don't know! response:	You!
context: But we can't leave her like this.\You got me...\Don't mess around!\Don't mess around, idiot!\Woah! So little!\Why you, what did you do?! Why is my master like this?!\What? What? I don't know!\You! response:	Become friends with Chrona?
context: You got me...\Don't mess around!\Don't mess around, idiot!\Woah! So little!\Why you, what did you do?! Why is my master like this?!\What? What? I don't know!\You!\Become friends with Chrona? response:	Don't say stupid things!
context: Don't mess around!\Don't mess around, idiot!\Woah! So little!\Why you, what did you do?! Why is my master like this?!\What? What? I don't know!\You!\Become friends with Chrona?\Don't say stupid things! response:	Is it funny to become friends with these guys?
context: Don't mess around, idiot!\Woah! So little!\Why you, what did you do?! Why is my master like this?!\What? What? I don't know!\You!\Become friends with Chrona?\Don't say stupid things!\Is it funny to become friends with these guys? response:	No matter what you do, it's still boring!
context: Woah! So little!\Why you, what did you do?! Why is my master like this?!\What? What? I don't know!\You!\Become friends with Chrona?\Don't say stupid things!\Is it funny to become friends with these guys?\No matter what you do, it's still boring! response:	Stop!
context: Why you, what did you do?! Why is my master like this?!\What? What? I don't know!\You!\Become friends with Chrona?\Don't say stupid things!\Is it funny to become friends with these guys?\No matter what you do, it's still boring!\Stop! response:	I know! It has to be bullying!
context: What? What? I don't know!\You!\Become friends with Chrona?\Don't say stupid things!\Is it funny to become friends with these guys?\No matter what you do, it's still boring!\Stop!\I know! It has to be bullying! response:	Did it succeed? It's a great way to relieve stress, isn't it?
context: You!\Become friends with Chrona?\Don't say stupid things!\Is it funny to become friends with these guys?\No matter what you do, it's still boring!\Stop!\I know! It has to be bullying!\Did it succeed? It's a great way to relieve stress, isn't it? response:	You one star Technician!
context: Become friends with Chrona?\Don't say stupid things!\Is it funny to become friends with these guys?\No matter what you do, it's still boring!\Stop!\I know! It has to be bullying!\Did it succeed? It's a great way to relieve stress, isn't it?\You one star Technician! response:	Let go, shorty!
context: Don't say stupid things!\Is it funny to become friends with these guys?\No matter what you do, it's still boring!\Stop!\I know! It has to be bullying!\Did it succeed? It's a great way to relieve stress, isn't it?\You one star Technician!\Let go, shorty! response:	I won't let you off!
context: Is it funny to become friends with these guys?\No matter what you do, it's still boring!\Stop!\I know! It has to be bullying!\Did it succeed? It's a great way to relieve stress, isn't it?\You one star Technician!\Let go, shorty!\I won't let you off! response:	I am Chrona's real friend!
context: No matter what you do, it's still boring!\Stop!\I know! It has to be bullying!\Did it succeed? It's a great way to relieve stress, isn't it?\You one star Technician!\Let go, shorty!\I won't let you off!\I am Chrona's real friend! response:	I won't let you have her!
context: Stop!\I know! It has to be bullying!\Did it succeed? It's a great way to relieve stress, isn't it?\You one star Technician!\Let go, shorty!\I won't let you off!\I am Chrona's real friend!\I won't let you have her! response:	Stop it!
context: I know! It has to be bullying!\Did it succeed? It's a great way to relieve stress, isn't it?\You one star Technician!\Let go, shorty!\I won't let you off!\I am Chrona's real friend!\I won't let you have her!\Stop it! response:	Chrona, how dare you hit me!
context: Did it succeed? It's a great way to relieve stress, isn't it?\You one star Technician!\Let go, shorty!\I won't let you off!\I am Chrona's real friend!\I won't let you have her!\Stop it!\Chrona, how dare you hit me! response:	Do you know how I feel, being hit by you?
context: You one star Technician!\Let go, shorty!\I won't let you off!\I am Chrona's real friend!\I won't let you have her!\Stop it!\Chrona, how dare you hit me!\Do you know how I feel, being hit by you? response:	I don't...
context: Let go, shorty!\I won't let you off!\I am Chrona's real friend!\I won't let you have her!\Stop it!\Chrona, how dare you hit me!\Do you know how I feel, being hit by you?\I don't... response:	It's like a poo which couldn't come out for three days,
context: I won't let you off!\I am Chrona's real friend!\I won't let you have her!\Stop it!\Chrona, how dare you hit me!\Do you know how I feel, being hit by you?\I don't...\It's like a poo which couldn't come out for three days, response:	I wouldn't understand such a vulgar example!
context: I am Chrona's real friend!\I won't let you have her!\Stop it!\Chrona, how dare you hit me!\Do you know how I feel, being hit by you?\I don't...\It's like a poo which couldn't come out for three days,\I wouldn't understand such a vulgar example! response:	Don't be cheeky!
context: I won't let you have her!\Stop it!\Chrona, how dare you hit me!\Do you know how I feel, being hit by you?\I don't...\It's like a poo which couldn't come out for three days,\I wouldn't understand such a vulgar example!\Don't be cheeky! response:	Leave this to me. Keep going!
context: Stop it!\Chrona, how dare you hit me!\Do you know how I feel, being hit by you?\I don't...\It's like a poo which couldn't come out for three days,\I wouldn't understand such a vulgar example!\Don't be cheeky!\Leave this to me. Keep going! response:	I will stop this!
context: Chrona, how dare you hit me!\Do you know how I feel, being hit by you?\I don't...\It's like a poo which couldn't come out for three days,\I wouldn't understand such a vulgar example!\Don't be cheeky!\Leave this to me. Keep going!\I will stop this! response:	Damn!
context: Do you know how I feel, being hit by you?\I don't...\It's like a poo which couldn't come out for three days,\I wouldn't understand such a vulgar example!\Don't be cheeky!\Leave this to me. Keep going!\I will stop this!\Damn! response:	Stop it, you pervert!
context: I don't...\It's like a poo which couldn't come out for three days,\I wouldn't understand such a vulgar example!\Don't be cheeky!\Leave this to me. Keep going!\I will stop this!\Damn!\Stop it, you pervert! response:	Uhm...
context: It's like a poo which couldn't come out for three days,\I wouldn't understand such a vulgar example!\Don't be cheeky!\Leave this to me. Keep going!\I will stop this!\Damn!\Stop it, you pervert!\Uhm... response:	Anyway, we entrust him to you!
context: I wouldn't understand such a vulgar example!\Don't be cheeky!\Leave this to me. Keep going!\I will stop this!\Damn!\Stop it, you pervert!\Uhm...\Anyway, we entrust him to you! response:	Somebody help!
context: Don't be cheeky!\Leave this to me. Keep going!\I will stop this!\Damn!\Stop it, you pervert!\Uhm...\Anyway, we entrust him to you!\Somebody help! response:	Don't die.
context: Leave this to me. Keep going!\I will stop this!\Damn!\Stop it, you pervert!\Uhm...\Anyway, we entrust him to you!\Somebody help!\Don't die. response:	The Trap Prepared By The Immortal Man?
context: I will stop this!\Damn!\Stop it, you pervert!\Uhm...\Anyway, we entrust him to you!\Somebody help!\Don't die.\The Trap Prepared By The Immortal Man? response:	I wonder if everyone caught up with the ones carrying the black blood.
context: Damn!\Stop it, you pervert!\Uhm...\Anyway, we entrust him to you!\Somebody help!\Don't die.\The Trap Prepared By The Immortal Man?\I wonder if everyone caught up with the ones carrying the black blood. response:	What about your wounds?
context: Stop it, you pervert!\Uhm...\Anyway, we entrust him to you!\Somebody help!\Don't die.\The Trap Prepared By The Immortal Man?\I wonder if everyone caught up with the ones carrying the black blood.\What about your wounds? response:	A black crust stopped the bleeding.
context: Uhm...\Anyway, we entrust him to you!\Somebody help!\Don't die.\The Trap Prepared By The Immortal Man?\I wonder if everyone caught up with the ones carrying the black blood.\What about your wounds?\A black crust stopped the bleeding. response:	I think it healed by itself when the black blood disappeared from me.
context: Anyway, we entrust him to you!\Somebody help!\Don't die.\The Trap Prepared By The Immortal Man?\I wonder if everyone caught up with the ones carrying the black blood.\What about your wounds?\A black crust stopped the bleeding.\I think it healed by itself when the black blood disappeared from me. response:	But why did the black blood inside you disappear?
context: Somebody help!\Don't die.\The Trap Prepared By The Immortal Man?\I wonder if everyone caught up with the ones carrying the black blood.\What about your wounds?\A black crust stopped the bleeding.\I think it healed by itself when the black blood disappeared from me.\But why did the black blood inside you disappear? response:	Who knows...
context: Don't die.\The Trap Prepared By The Immortal Man?\I wonder if everyone caught up with the ones carrying the black blood.\What about your wounds?\A black crust stopped the bleeding.\I think it healed by itself when the black blood disappeared from me.\But why did the black blood inside you disappear?\Who knows... response:	I wonder why...
context: The Trap Prepared By The Immortal Man?\I wonder if everyone caught up with the ones carrying the black blood.\What about your wounds?\A black crust stopped the bleeding.\I think it healed by itself when the black blood disappeared from me.\But why did the black blood inside you disappear?\Who knows...\I wonder why... response:	Anyway, if a Kishin gets the black blood...
context: I wonder if everyone caught up with the ones carrying the black blood.\What about your wounds?\A black crust stopped the bleeding.\I think it healed by itself when the black blood disappeared from me.\But why did the black blood inside you disappear?\Who knows...\I wonder why...\Anyway, if a Kishin gets the black blood... response:	We have to catch up with Kid-kun and Black Star.
context: What about your wounds?\A black crust stopped the bleeding.\I think it healed by itself when the black blood disappeared from me.\But why did the black blood inside you disappear?\Who knows...\I wonder why...\Anyway, if a Kishin gets the black blood...\We have to catch up with Kid-kun and Black Star. response:	Kid-kun went this way.
context: A black crust stopped the bleeding.\I think it healed by itself when the black blood disappeared from me.\But why did the black blood inside you disappear?\Who knows...\I wonder why...\Anyway, if a Kishin gets the black blood...\We have to catch up with Kid-kun and Black Star.\Kid-kun went this way. response:	I hope he's alright.
context: I think it healed by itself when the black blood disappeared from me.\But why did the black blood inside you disappear?\Who knows...\I wonder why...\Anyway, if a Kishin gets the black blood...\We have to catch up with Kid-kun and Black Star.\Kid-kun went this way.\I hope he's alright. response:	Damn, I'm missing out on my big entrance!
context: But why did the black blood inside you disappear?\Who knows...\I wonder why...\Anyway, if a Kishin gets the black blood...\We have to catch up with Kid-kun and Black Star.\Kid-kun went this way.\I hope he's alright.\Damn, I'm missing out on my big entrance! response:	And it's dark so I can't stand out!
context: Who knows...\I wonder why...\Anyway, if a Kishin gets the black blood...\We have to catch up with Kid-kun and Black Star.\Kid-kun went this way.\I hope he's alright.\Damn, I'm missing out on my big entrance!\And it's dark so I can't stand out! response:	Your loud voice already stands out!
context: I wonder why...\Anyway, if a Kishin gets the black blood...\We have to catch up with Kid-kun and Black Star.\Kid-kun went this way.\I hope he's alright.\Damn, I'm missing out on my big entrance!\And it's dark so I can't stand out!\Your loud voice already stands out! response:	Let's hurry!
context: Anyway, if a Kishin gets the black blood...\We have to catch up with Kid-kun and Black Star.\Kid-kun went this way.\I hope he's alright.\Damn, I'm missing out on my big entrance!\And it's dark so I can't stand out!\Your loud voice already stands out!\Let's hurry! response:	Alright! We have to get to Kid!
context: We have to catch up with Kid-kun and Black Star.\Kid-kun went this way.\I hope he's alright.\Damn, I'm missing out on my big entrance!\And it's dark so I can't stand out!\Your loud voice already stands out!\Let's hurry!\Alright! We have to get to Kid! response:	This is pretty wrecked up,
context: Kid-kun went this way.\I hope he's alright.\Damn, I'm missing out on my big entrance!\And it's dark so I can't stand out!\Your loud voice already stands out!\Let's hurry!\Alright! We have to get to Kid!\This is pretty wrecked up, response:	Stop staring around. It's fine as long as you don't look.
context: I hope he's alright.\Damn, I'm missing out on my big entrance!\And it's dark so I can't stand out!\Your loud voice already stands out!\Let's hurry!\Alright! We have to get to Kid!\This is pretty wrecked up,\Stop staring around. It's fine as long as you don't look. response:	Focus your mind on symmetry.
context: Damn, I'm missing out on my big entrance!\And it's dark so I can't stand out!\Your loud voice already stands out!\Let's hurry!\Alright! We have to get to Kid!\This is pretty wrecked up,\Stop staring around. It's fine as long as you don't look.\Focus your mind on symmetry. response:	Butterfly!
context: And it's dark so I can't stand out!\Your loud voice already stands out!\Let's hurry!\Alright! We have to get to Kid!\This is pretty wrecked up,\Stop staring around. It's fine as long as you don't look.\Focus your mind on symmetry.\Butterfly! response:	The number eight!
context: Your loud voice already stands out!\Let's hurry!\Alright! We have to get to Kid!\This is pretty wrecked up,\Stop staring around. It's fine as long as you don't look.\Focus your mind on symmetry.\Butterfly!\The number eight! response:	What's up? Do you need aid?
context: Let's hurry!\Alright! We have to get to Kid!\This is pretty wrecked up,\Stop staring around. It's fine as long as you don't look.\Focus your mind on symmetry.\Butterfly!\The number eight!\What's up? Do you need aid? response:	No...
context: Alright! We have to get to Kid!\This is pretty wrecked up,\Stop staring around. It's fine as long as you don't look.\Focus your mind on symmetry.\Butterfly!\The number eight!\What's up? Do you need aid?\No... response:	I can feel a Kishin's wavelength.
context: This is pretty wrecked up,\Stop staring around. It's fine as long as you don't look.\Focus your mind on symmetry.\Butterfly!\The number eight!\What's up? Do you need aid?\No...\I can feel a Kishin's wavelength. response:	Kid-kun?
context: Stop staring around. It's fine as long as you don't look.\Focus your mind on symmetry.\Butterfly!\The number eight!\What's up? Do you need aid?\No...\I can feel a Kishin's wavelength.\Kid-kun? response:	Are you alright?
context: Focus your mind on symmetry.\Butterfly!\The number eight!\What's up? Do you need aid?\No...\I can feel a Kishin's wavelength.\Kid-kun?\Are you alright? response:	Yes...
context: Butterfly!\The number eight!\What's up? Do you need aid?\No...\I can feel a Kishin's wavelength.\Kid-kun?\Are you alright?\Yes... response:	I've never felt this much pressure before.
context: The number eight!\What's up? Do you need aid?\No...\I can feel a Kishin's wavelength.\Kid-kun?\Are you alright?\Yes...\I've never felt this much pressure before. response:	The Kishin is inside there, right?
context: What's up? Do you need aid?\No...\I can feel a Kishin's wavelength.\Kid-kun?\Are you alright?\Yes...\I've never felt this much pressure before.\The Kishin is inside there, right? response:	How does it feel?
context: No...\I can feel a Kishin's wavelength.\Kid-kun?\Are you alright?\Yes...\I've never felt this much pressure before.\The Kishin is inside there, right?\How does it feel? response:	How does it feel...
context: I can feel a Kishin's wavelength.\Kid-kun?\Are you alright?\Yes...\I've never felt this much pressure before.\The Kishin is inside there, right?\How does it feel?\How does it feel... response:	Another silly question...
context: Kid-kun?\Are you alright?\Yes...\I've never felt this much pressure before.\The Kishin is inside there, right?\How does it feel?\How does it feel...\Another silly question... response:	I heard this from father, so I don't know much about the details.
context: Are you alright?\Yes...\I've never felt this much pressure before.\The Kishin is inside there, right?\How does it feel?\How does it feel...\Another silly question...\I heard this from father, so I don't know much about the details. response:	To defeat Asura, he removed his skin... and sealed him with it.
context: Yes...\I've never felt this much pressure before.\The Kishin is inside there, right?\How does it feel?\How does it feel...\Another silly question...\I heard this from father, so I don't know much about the details.\To defeat Asura, he removed his skin... and sealed him with it. response:	To defeat Asura, he removed his skin... and sealed him with it.
context: I've never felt this much pressure before.\The Kishin is inside there, right?\How does it feel?\How does it feel...\Another silly question...\I heard this from father, so I don't know much about the details.\To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it. response:	To defeat Asura, he removed his skin... and sealed him with it.
context: The Kishin is inside there, right?\How does it feel?\How does it feel...\Another silly question...\I heard this from father, so I don't know much about the details.\To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it. response:	Your father in the past was pretty scary...
context: How does it feel?\How does it feel...\Another silly question...\I heard this from father, so I don't know much about the details.\To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it.\Your father in the past was pretty scary... response:	Why that?
context: How does it feel...\Another silly question...\I heard this from father, so I don't know much about the details.\To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it.\Your father in the past was pretty scary...\Why that? response:	To create a sack to seal Asura.
context: Another silly question...\I heard this from father, so I don't know much about the details.\To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it.\Your father in the past was pretty scary...\Why that?\To create a sack to seal Asura. response:	To carry Asura's soul, body... and madness.
context: I heard this from father, so I don't know much about the details.\To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it.\Your father in the past was pretty scary...\Why that?\To create a sack to seal Asura.\To carry Asura's soul, body... and madness. response:	To carry Asura's soul, body... and madness.
context: To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it.\Your father in the past was pretty scary...\Why that?\To create a sack to seal Asura.\To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness. response:	To carry Asura's soul, body... and madness.
context: To defeat Asura, he removed his skin... and sealed him with it.\To defeat Asura, he removed his skin... and sealed him with it.\Your father in the past was pretty scary...\Why that?\To create a sack to seal Asura.\To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness. response:	His own face was the most suitable to seal him with.
context: To defeat Asura, he removed his skin... and sealed him with it.\Your father in the past was pretty scary...\Why that?\To create a sack to seal Asura.\To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness.\His own face was the most suitable to seal him with. response:	Father took all of Asura's blood,
context: Your father in the past was pretty scary...\Why that?\To create a sack to seal Asura.\To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness.\His own face was the most suitable to seal him with.\Father took all of Asura's blood, response:	Asura's body... yearns for blood.
context: Why that?\To create a sack to seal Asura.\To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness.\His own face was the most suitable to seal him with.\Father took all of Asura's blood,\Asura's body... yearns for blood. response:	Asura's body... yearns for blood.
context: To create a sack to seal Asura.\To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness.\His own face was the most suitable to seal him with.\Father took all of Asura's blood,\Asura's body... yearns for blood.\Asura's body... yearns for blood. response:	That's why they're giving him the black blood?
context: To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness.\His own face was the most suitable to seal him with.\Father took all of Asura's blood,\Asura's body... yearns for blood.\Asura's body... yearns for blood.\That's why they're giving him the black blood? response:	That should be it.
context: To carry Asura's soul, body... and madness.\To carry Asura's soul, body... and madness.\His own face was the most suitable to seal him with.\Father took all of Asura's blood,\Asura's body... yearns for blood.\Asura's body... yearns for blood.\That's why they're giving him the black blood?\That should be it. response:	Kid-kun, heat response ahead!
context: To carry Asura's soul, body... and madness.\His own face was the most suitable to seal him with.\Father took all of Asura's blood,\Asura's body... yearns for blood.\Asura's body... yearns for blood.\That's why they're giving him the black blood?\That should be it.\Kid-kun, heat response ahead! response:	What?
context: His own face was the most suitable to seal him with.\Father took all of Asura's blood,\Asura's body... yearns for blood.\Asura's body... yearns for blood.\That's why they're giving him the black blood?\That should be it.\Kid-kun, heat response ahead!\What? response:	A ranged attack?
context: Father took all of Asura's blood,\Asura's body... yearns for blood.\Asura's body... yearns for blood.\That's why they're giving him the black blood?\That should be it.\Kid-kun, heat response ahead!\What?\A ranged attack? response:	From where?
context: Asura's body... yearns for blood.\Asura's body... yearns for blood.\That's why they're giving him the black blood?\That should be it.\Kid-kun, heat response ahead!\What?\A ranged attack?\From where? response:	Devil's Eye Cannon.
context: Asura's body... yearns for blood.\That's why they're giving him the black blood?\That should be it.\Kid-kun, heat response ahead!\What?\A ranged attack?\From where?\Devil's Eye Cannon. response:	He's the immortal...
context: That's why they're giving him the black blood?\That should be it.\Kid-kun, heat response ahead!\What?\A ranged attack?\From where?\Devil's Eye Cannon.\He's the immortal... response:	I was careless...
context: That should be it.\Kid-kun, heat response ahead!\What?\A ranged attack?\From where?\Devil's Eye Cannon.\He's the immortal...\I was careless... response:	I was so occupied with the Kishin's madness that I didn't notice him.
context: Kid-kun, heat response ahead!\What?\A ranged attack?\From where?\Devil's Eye Cannon.\He's the immortal...\I was careless...\I was so occupied with the Kishin's madness that I didn't notice him. response:	That won't do.
context: What?\A ranged attack?\From where?\Devil's Eye Cannon.\He's the immortal...\I was careless...\I was so occupied with the Kishin's madness that I didn't notice him.\That won't do. response:	An immortal body, huh?
context: A ranged attack?\From where?\Devil's Eye Cannon.\He's the immortal...\I was careless...\I was so occupied with the Kishin's madness that I didn't notice him.\That won't do.\An immortal body, huh? response:	Trying to do this fair and square is useless...
context: From where?\Devil's Eye Cannon.\He's the immortal...\I was careless...\I was so occupied with the Kishin's madness that I didn't notice him.\That won't do.\An immortal body, huh?\Trying to do this fair and square is useless... response:	I'll have to break his balance and take him out in that opening.
context: Devil's Eye Cannon.\He's the immortal...\I was careless...\I was so occupied with the Kishin's madness that I didn't notice him.\That won't do.\An immortal body, huh?\Trying to do this fair and square is useless...\I'll have to break his balance and take him out in that opening. response:	When it comes to mobility I'm better than him...
context: He's the immortal...\I was careless...\I was so occupied with the Kishin's madness that I didn't notice him.\That won't do.\An immortal body, huh?\Trying to do this fair and square is useless...\I'll have to break his balance and take him out in that opening.\When it comes to mobility I'm better than him... response:	If I breach him even once, he won't be able to keep up.
context: I was careless...\I was so occupied with the Kishin's madness that I didn't notice him.\That won't do.\An immortal body, huh?\Trying to do this fair and square is useless...\I'll have to break his balance and take him out in that opening.\When it comes to mobility I'm better than him...\If I breach him even once, he won't be able to keep up. response:	I won't let you pass!
context: I was so occupied with the Kishin's madness that I didn't notice him.\That won't do.\An immortal body, huh?\Trying to do this fair and square is useless...\I'll have to break his balance and take him out in that opening.\When it comes to mobility I'm better than him...\If I breach him even once, he won't be able to keep up.\I won't let you pass! response:	Two attacks at my feet?
context: That won't do.\An immortal body, huh?\Trying to do this fair and square is useless...\I'll have to break his balance and take him out in that opening.\When it comes to mobility I'm better than him...\If I breach him even once, he won't be able to keep up.\I won't let you pass!\Two attacks at my feet? response:	As I thought, he's targeting my speed this way!
context: An immortal body, huh?\Trying to do this fair and square is useless...\I'll have to break his balance and take him out in that opening.\When it comes to mobility I'm better than him...\If I breach him even once, he won't be able to keep up.\I won't let you pass!\Two attacks at my feet?\As I thought, he's targeting my speed this way! response:	Immortal!
context: Trying to do this fair and square is useless...\I'll have to break his balance and take him out in that opening.\When it comes to mobility I'm better than him...\If I breach him even once, he won't be able to keep up.\I won't let you pass!\Two attacks at my feet?\As I thought, he's targeting my speed this way!\Immortal! response:	In that case...
context: I'll have to break his balance and take him out in that opening.\When it comes to mobility I'm better than him...\If I breach him even once, he won't be able to keep up.\I won't let you pass!\Two attacks at my feet?\As I thought, he's targeting my speed this way!\Immortal!\In that case... response:	Let's go!
