context: Did you not hear me? I said to let me pass. response:	I have no business with you, Assassin.
context: Yes.\That dog has no Master, you see.\What?\Caster,\you broke the rules!\What's wrong with a mage such as myself summoning a Servant?\Caster summoned Assassin?\You're saying that a Servant summoned another Servant? response:	That gatekeeper there, not summoned by a proper Master, is not the true Assassin.
context: That dog has no Master, you see.\What?\Caster,\you broke the rules!\What's wrong with a mage such as myself summoning a Servant?\Caster summoned Assassin?\You're saying that a Servant summoned another Servant?\That gatekeeper there, not summoned by a proper Master, is not the true Assassin. response:	She broke the rules and summoned an Assassin-class Servant by herself.
context: What?\Caster,\you broke the rules!\What's wrong with a mage such as myself summoning a Servant?\Caster summoned Assassin?\You're saying that a Servant summoned another Servant?\That gatekeeper there, not summoned by a proper Master, is not the true Assassin.\She broke the rules and summoned an Assassin-class Servant by herself. response:	Establishing this as her territory, she harvests souls from people in the city.
context: Caster,\you broke the rules!\What's wrong with a mage such as myself summoning a Servant?\Caster summoned Assassin?\You're saying that a Servant summoned another Servant?\That gatekeeper there, not summoned by a proper Master, is not the true Assassin.\She broke the rules and summoned an Assassin-class Servant by herself.\Establishing this as her territory, she harvests souls from people in the city. response:	She herself doesn't fight,
context: you broke the rules!\What's wrong with a mage such as myself summoning a Servant?\Caster summoned Assassin?\You're saying that a Servant summoned another Servant?\That gatekeeper there, not summoned by a proper Master, is not the true Assassin.\She broke the rules and summoned an Assassin-class Servant by herself.\Establishing this as her territory, she harvests souls from people in the city.\She herself doesn't fight, response:	but monitors the battle with borrowed eyes throughout the city.
context: What's wrong with a mage such as myself summoning a Servant?\Caster summoned Assassin?\You're saying that a Servant summoned another Servant?\That gatekeeper there, not summoned by a proper Master, is not the true Assassin.\She broke the rules and summoned an Assassin-class Servant by herself.\Establishing this as her territory, she harvests souls from people in the city.\She herself doesn't fight,\but monitors the battle with borrowed eyes throughout the city. response:	The three knight classes, which include Saber, aren't as affected by magic.
context: Caster summoned Assassin?\You're saying that a Servant summoned another Servant?\That gatekeeper there, not summoned by a proper Master, is not the true Assassin.\She broke the rules and summoned an Assassin-class Servant by herself.\Establishing this as her territory, she harvests souls from people in the city.\She herself doesn't fight,\but monitors the battle with borrowed eyes throughout the city.\The three knight classes, which include Saber, aren't as affected by magic. response:	It's only natural for a magic-user class such as yourself to resort to underhanded tactics.
context: You're saying that a Servant summoned another Servant?\That gatekeeper there, not summoned by a proper Master, is not the true Assassin.\She broke the rules and summoned an Assassin-class Servant by herself.\Establishing this as her territory, she harvests souls from people in the city.\She herself doesn't fight,\but monitors the battle with borrowed eyes throughout the city.\The three knight classes, which include Saber, aren't as affected by magic.\It's only natural for a magic-user class such as yourself to resort to underhanded tactics. response:	But was it not your own volition to do so, Caster?
context: That gatekeeper there, not summoned by a proper Master, is not the true Assassin.\She broke the rules and summoned an Assassin-class Servant by herself.\Establishing this as her territory, she harvests souls from people in the city.\She herself doesn't fight,\but monitors the battle with borrowed eyes throughout the city.\The three knight classes, which include Saber, aren't as affected by magic.\It's only natural for a magic-user class such as yourself to resort to underhanded tactics.\But was it not your own volition to do so, Caster? response:	What makes you say that?
context: She broke the rules and summoned an Assassin-class Servant by herself.\Establishing this as her territory, she harvests souls from people in the city.\She herself doesn't fight,\but monitors the battle with borrowed eyes throughout the city.\The three knight classes, which include Saber, aren't as affected by magic.\It's only natural for a magic-user class such as yourself to resort to underhanded tactics.\But was it not your own volition to do so, Caster?\What makes you say that? response:	Masters and mages.
context: Establishing this as her territory, she harvests souls from people in the city.\She herself doesn't fight,\but monitors the battle with borrowed eyes throughout the city.\The three knight classes, which include Saber, aren't as affected by magic.\It's only natural for a magic-user class such as yourself to resort to underhanded tactics.\But was it not your own volition to do so, Caster?\What makes you say that?\Masters and mages. response:	If one summons a mage more powerful than oneself,
context: She herself doesn't fight,\but monitors the battle with borrowed eyes throughout the city.\The three knight classes, which include Saber, aren't as affected by magic.\It's only natural for a magic-user class such as yourself to resort to underhanded tactics.\But was it not your own volition to do so, Caster?\What makes you say that?\Masters and mages.\If one summons a mage more powerful than oneself, response:	one would be on guard, even with Command Seals.
context: but monitors the battle with borrowed eyes throughout the city.\The three knight classes, which include Saber, aren't as affected by magic.\It's only natural for a magic-user class such as yourself to resort to underhanded tactics.\But was it not your own volition to do so, Caster?\What makes you say that?\Masters and mages.\If one summons a mage more powerful than oneself,\one would be on guard, even with Command Seals. response:	Given that,
context: The three knight classes, which include Saber, aren't as affected by magic.\It's only natural for a magic-user class such as yourself to resort to underhanded tactics.\But was it not your own volition to do so, Caster?\What makes you say that?\Masters and mages.\If one summons a mage more powerful than oneself,\one would be on guard, even with Command Seals.\Given that, response:	it's hard to believe a Master would let you summon a Servant to obey you.
context: It's only natural for a magic-user class such as yourself to resort to underhanded tactics.\But was it not your own volition to do so, Caster?\What makes you say that?\Masters and mages.\If one summons a mage more powerful than oneself,\one would be on guard, even with Command Seals.\Given that,\it's hard to believe a Master would let you summon a Servant to obey you. response:	In which case,
context: But was it not your own volition to do so, Caster?\What makes you say that?\Masters and mages.\If one summons a mage more powerful than oneself,\one would be on guard, even with Command Seals.\Given that,\it's hard to believe a Master would let you summon a Servant to obey you.\In which case, response:	I can imagine you've long since made a puppet of him, like this fool of a Master behind me.
context: What makes you say that?\Masters and mages.\If one summons a mage more powerful than oneself,\one would be on guard, even with Command Seals.\Given that,\it's hard to believe a Master would let you summon a Servant to obey you.\In which case,\I can imagine you've long since made a puppet of him, like this fool of a Master behind me. response:	Winning the Holy Grail War would be a simple matter.
context: Masters and mages.\If one summons a mage more powerful than oneself,\one would be on guard, even with Command Seals.\Given that,\it's hard to believe a Master would let you summon a Servant to obey you.\In which case,\I can imagine you've long since made a puppet of him, like this fool of a Master behind me.\Winning the Holy Grail War would be a simple matter. response:	My considerable effort is directed toward what comes after.
context: If one summons a mage more powerful than oneself,\one would be on guard, even with Command Seals.\Given that,\it's hard to believe a Master would let you summon a Servant to obey you.\In which case,\I can imagine you've long since made a puppet of him, like this fool of a Master behind me.\Winning the Holy Grail War would be a simple matter.\My considerable effort is directed toward what comes after. response:	Oh, defeating us is simple, you say?
context: one would be on guard, even with Command Seals.\Given that,\it's hard to believe a Master would let you summon a Servant to obey you.\In which case,\I can imagine you've long since made a puppet of him, like this fool of a Master behind me.\Winning the Holy Grail War would be a simple matter.\My considerable effort is directed toward what comes after.\Oh, defeating us is simple, you say? response:	This from a witch, who does nothing but slink in the shadows?
context: Given that,\it's hard to believe a Master would let you summon a Servant to obey you.\In which case,\I can imagine you've long since made a puppet of him, like this fool of a Master behind me.\Winning the Holy Grail War would be a simple matter.\My considerable effort is directed toward what comes after.\Oh, defeating us is simple, you say?\This from a witch, who does nothing but slink in the shadows? response:	Yes, in this place, you may not so much as scratch me.
context: it's hard to believe a Master would let you summon a Servant to obey you.\In which case,\I can imagine you've long since made a puppet of him, like this fool of a Master behind me.\Winning the Holy Grail War would be a simple matter.\My considerable effort is directed toward what comes after.\Oh, defeating us is simple, you say?\This from a witch, who does nothing but slink in the shadows?\Yes, in this place, you may not so much as scratch me. response:	To those who call me a witch,
context: In which case,\I can imagine you've long since made a puppet of him, like this fool of a Master behind me.\Winning the Holy Grail War would be a simple matter.\My considerable effort is directed toward what comes after.\Oh, defeating us is simple, you say?\This from a witch, who does nothing but slink in the shadows?\Yes, in this place, you may not so much as scratch me.\To those who call me a witch, response:	I shall deal the appropriate punishment.
context: I can imagine you've long since made a puppet of him, like this fool of a Master behind me.\Winning the Holy Grail War would be a simple matter.\My considerable effort is directed toward what comes after.\Oh, defeating us is simple, you say?\This from a witch, who does nothing but slink in the shadows?\Yes, in this place, you may not so much as scratch me.\To those who call me a witch,\I shall deal the appropriate punishment. response:	Not even a scratch, you claim?
context: Winning the Holy Grail War would be a simple matter.\My considerable effort is directed toward what comes after.\Oh, defeating us is simple, you say?\This from a witch, who does nothing but slink in the shadows?\Yes, in this place, you may not so much as scratch me.\To those who call me a witch,\I shall deal the appropriate punishment.\Not even a scratch, you claim? response:	One blow, then.
context: My considerable effort is directed toward what comes after.\Oh, defeating us is simple, you say?\This from a witch, who does nothing but slink in the shadows?\Yes, in this place, you may not so much as scratch me.\To those who call me a witch,\I shall deal the appropriate punishment.\Not even a scratch, you claim?\One blow, then. response:	If that will not suffice, I will leave you to Saber.
context: Oh, defeating us is simple, you say?\This from a witch, who does nothing but slink in the shadows?\Yes, in this place, you may not so much as scratch me.\To those who call me a witch,\I shall deal the appropriate punishment.\Not even a scratch, you claim?\One blow, then.\If that will not suffice, I will leave you to Saber. response:	Too bad, Archer.
context: This from a witch, who does nothing but slink in the shadows?\Yes, in this place, you may not so much as scratch me.\To those who call me a witch,\I shall deal the appropriate punishment.\Not even a scratch, you claim?\One blow, then.\If that will not suffice, I will leave you to Saber.\Too bad, Archer. response:	Spatial Transportation? Innate Time Control?
context: Yes, in this place, you may not so much as scratch me.\To those who call me a witch,\I shall deal the appropriate punishment.\Not even a scratch, you claim?\One blow, then.\If that will not suffice, I will leave you to Saber.\Too bad, Archer.\Spatial Transportation? Innate Time Control? response:	Within this territory, you can mimic True Magic?
context: To those who call me a witch,\I shall deal the appropriate punishment.\Not even a scratch, you claim?\One blow, then.\If that will not suffice, I will leave you to Saber.\Too bad, Archer.\Spatial Transportation? Innate Time Control?\Within this territory, you can mimic True Magic? response:	You impress me, Caster.
context: I shall deal the appropriate punishment.\Not even a scratch, you claim?\One blow, then.\If that will not suffice, I will leave you to Saber.\Too bad, Archer.\Spatial Transportation? Innate Time Control?\Within this territory, you can mimic True Magic?\You impress me, Caster. response:	And you disappoint me, Archer.
context: Not even a scratch, you claim?\One blow, then.\If that will not suffice, I will leave you to Saber.\Too bad, Archer.\Spatial Transportation? Innate Time Control?\Within this territory, you can mimic True Magic?\You impress me, Caster.\And you disappoint me, Archer. response:	I tested you, thinking you might be useful, but you are worse than Assassin.
context: One blow, then.\If that will not suffice, I will leave you to Saber.\Too bad, Archer.\Spatial Transportation? Innate Time Control?\Within this territory, you can mimic True Magic?\You impress me, Caster.\And you disappoint me, Archer.\I tested you, thinking you might be useful, but you are worse than Assassin. response:	I'm sorry to hear it.
context: If that will not suffice, I will leave you to Saber.\Too bad, Archer.\Spatial Transportation? Innate Time Control?\Within this territory, you can mimic True Magic?\You impress me, Caster.\And you disappoint me, Archer.\I tested you, thinking you might be useful, but you are worse than Assassin.\I'm sorry to hear it. response:	If I get another chance, I'll try harder not to let you down.
context: Too bad, Archer.\Spatial Transportation? Innate Time Control?\Within this territory, you can mimic True Magic?\You impress me, Caster.\And you disappoint me, Archer.\I tested you, thinking you might be useful, but you are worse than Assassin.\I'm sorry to hear it.\If I get another chance, I'll try harder not to let you down. response:	You vixen... You have a huge store of mana to draw on, don't you?
context: Spatial Transportation? Innate Time Control?\Within this territory, you can mimic True Magic?\You impress me, Caster.\And you disappoint me, Archer.\I tested you, thinking you might be useful, but you are worse than Assassin.\I'm sorry to hear it.\If I get another chance, I'll try harder not to let you down.\You vixen... You have a huge store of mana to draw on, don't you? response:	You think you can escape?
context: Within this territory, you can mimic True Magic?\You impress me, Caster.\And you disappoint me, Archer.\I tested you, thinking you might be useful, but you are worse than Assassin.\I'm sorry to hear it.\If I get another chance, I'll try harder not to let you down.\You vixen... You have a huge store of mana to draw on, don't you?\You think you can escape? response:	That imbecile!
context: You impress me, Caster.\And you disappoint me, Archer.\I tested you, thinking you might be useful, but you are worse than Assassin.\I'm sorry to hear it.\If I get another chance, I'll try harder not to let you down.\You vixen... You have a huge store of mana to draw on, don't you?\You think you can escape?\That imbecile! response:	Oh, crap.
context: And you disappoint me, Archer.\I tested you, thinking you might be useful, but you are worse than Assassin.\I'm sorry to hear it.\If I get another chance, I'll try harder not to let you down.\You vixen... You have a huge store of mana to draw on, don't you?\You think you can escape?\That imbecile!\Oh, crap. response:	Put me down, idiot!
context: I tested you, thinking you might be useful, but you are worse than Assassin.\I'm sorry to hear it.\If I get another chance, I'll try harder not to let you down.\You vixen... You have a huge store of mana to draw on, don't you?\You think you can escape?\That imbecile!\Oh, crap.\Put me down, idiot! response:	What are you thinking?!
context: I'm sorry to hear it.\If I get another chance, I'll try harder not to let you down.\You vixen... You have a huge store of mana to draw on, don't you?\You think you can escape?\That imbecile!\Oh, crap.\Put me down, idiot!\What are you thinking?! response:	The hell if I know!
context: If I get another chance, I'll try harder not to let you down.\You vixen... You have a huge store of mana to draw on, don't you?\You think you can escape?\That imbecile!\Oh, crap.\Put me down, idiot!\What are you thinking?!\The hell if I know! response:	When you say that, your excessive stupidity hurts my head! Idiot!
context: You vixen... You have a huge store of mana to draw on, don't you?\You think you can escape?\That imbecile!\Oh, crap.\Put me down, idiot!\What are you thinking?!\The hell if I know!\When you say that, your excessive stupidity hurts my head! Idiot! response:	Idiot?
context: You think you can escape?\That imbecile!\Oh, crap.\Put me down, idiot!\What are you thinking?!\The hell if I know!\When you say that, your excessive stupidity hurts my head! Idiot!\Idiot? response:	You know you're an idiot, and you go around calling others idiots? Idiot!
context: That imbecile!\Oh, crap.\Put me down, idiot!\What are you thinking?!\The hell if I know!\When you say that, your excessive stupidity hurts my head! Idiot!\Idiot?\You know you're an idiot, and you go around calling others idiots? Idiot! response:	What are you, a child?
context: Oh, crap.\Put me down, idiot!\What are you thinking?!\The hell if I know!\When you say that, your excessive stupidity hurts my head! Idiot!\Idiot?\You know you're an idiot, and you go around calling others idiots? Idiot!\What are you, a child? response:	I can no longer tolerate a child and fool like you.
context: Put me down, idiot!\What are you thinking?!\The hell if I know!\When you say that, your excessive stupidity hurts my head! Idiot!\Idiot?\You know you're an idiot, and you go around calling others idiots? Idiot!\What are you, a child?\I can no longer tolerate a child and fool like you. response:	At least decide on one, numbskull!
context: What are you thinking?!\The hell if I know!\When you say that, your excessive stupidity hurts my head! Idiot!\Idiot?\You know you're an idiot, and you go around calling others idiots? Idiot!\What are you, a child?\I can no longer tolerate a child and fool like you.\At least decide on one, numbskull! response:	What did you say to me?
context: The hell if I know!\When you say that, your excessive stupidity hurts my head! Idiot!\Idiot?\You know you're an idiot, and you go around calling others idiots? Idiot!\What are you, a child?\I can no longer tolerate a child and fool like you.\At least decide on one, numbskull!\What did you say to me? response:	Put me down, damn it! I can handle this myself!
context: When you say that, your excessive stupidity hurts my head! Idiot!\Idiot?\You know you're an idiot, and you go around calling others idiots? Idiot!\What are you, a child?\I can no longer tolerate a child and fool like you.\At least decide on one, numbskull!\What did you say to me?\Put me down, damn it! I can handle this myself! response:	Can you, now?
context: Idiot?\You know you're an idiot, and you go around calling others idiots? Idiot!\What are you, a child?\I can no longer tolerate a child and fool like you.\At least decide on one, numbskull!\What did you say to me?\Put me down, damn it! I can handle this myself!\Can you, now? response:	You son of a...
context: You know you're an idiot, and you go around calling others idiots? Idiot!\What are you, a child?\I can no longer tolerate a child and fool like you.\At least decide on one, numbskull!\What did you say to me?\Put me down, damn it! I can handle this myself!\Can you, now?\You son of a... response:	How does that feel, Archer?
context: What are you, a child?\I can no longer tolerate a child and fool like you.\At least decide on one, numbskull!\What did you say to me?\Put me down, damn it! I can handle this myself!\Can you, now?\You son of a...\How does that feel, Archer? response:	Even the three knight classes cannot move if space itself is immobilized.
context: I can no longer tolerate a child and fool like you.\At least decide on one, numbskull!\What did you say to me?\Put me down, damn it! I can handle this myself!\Can you, now?\You son of a...\How does that feel, Archer?\Even the three knight classes cannot move if space itself is immobilized. response:	This would appear to be checkmate.
context: At least decide on one, numbskull!\What did you say to me?\Put me down, damn it! I can handle this myself!\Can you, now?\You son of a...\How does that feel, Archer?\Even the three knight classes cannot move if space itself is immobilized.\This would appear to be checkmate. response:	I don't know which land's hero you were, but this is farewell.
context: What did you say to me?\Put me down, damn it! I can handle this myself!\Can you, now?\You son of a...\How does that feel, Archer?\Even the three knight classes cannot move if space itself is immobilized.\This would appear to be checkmate.\I don't know which land's hero you were, but this is farewell. response:	What was that, Archer? If you wish to beg for your life, I can
context: Put me down, damn it! I can handle this myself!\Can you, now?\You son of a...\How does that feel, Archer?\Even the three knight classes cannot move if space itself is immobilized.\This would appear to be checkmate.\I don't know which land's hero you were, but this is farewell.\What was that, Archer? If you wish to beg for your life, I can response:	Imbecile! I said, Dodge this, Caster!
context: Can you, now?\You son of a...\How does that feel, Archer?\Even the three knight classes cannot move if space itself is immobilized.\This would appear to be checkmate.\I don't know which land's hero you were, but this is farewell.\What was that, Archer? If you wish to beg for your life, I can\Imbecile! I said, Dodge this, Caster! response:	That's...
