context: Thank you, Lucy-san! response:	I can't hold a candle to Cancer, but I'm pretty good if I do say so myself!
context: I'm not cold!\Look, it's a beautiful day, isn't it?\The sun is pleasantly warm...\Why are you two arguing over nonsense?\At least clean up without bitching about it!\What's that, Gray?!\I never said I had a beef with cleaning! Happy's the one...\Isn't it a beautiful day, Carla? response:	It is, yes.
context: Look, it's a beautiful day, isn't it?\The sun is pleasantly warm...\Why are you two arguing over nonsense?\At least clean up without bitching about it!\What's that, Gray?!\I never said I had a beef with cleaning! Happy's the one...\Isn't it a beautiful day, Carla?\It is, yes. response:	Listen when a guy's talkin' to you!
context: The sun is pleasantly warm...\Why are you two arguing over nonsense?\At least clean up without bitching about it!\What's that, Gray?!\I never said I had a beef with cleaning! Happy's the one...\Isn't it a beautiful day, Carla?\It is, yes.\Listen when a guy's talkin' to you! response:	Yeesh. Even after seven years, you haven't changed a bit, Natsu.
context: Why are you two arguing over nonsense?\At least clean up without bitching about it!\What's that, Gray?!\I never said I had a beef with cleaning! Happy's the one...\Isn't it a beautiful day, Carla?\It is, yes.\Listen when a guy's talkin' to you!\Yeesh. Even after seven years, you haven't changed a bit, Natsu. response:	That's right! That's what I tell him, just about every day!
context: At least clean up without bitching about it!\What's that, Gray?!\I never said I had a beef with cleaning! Happy's the one...\Isn't it a beautiful day, Carla?\It is, yes.\Listen when a guy's talkin' to you!\Yeesh. Even after seven years, you haven't changed a bit, Natsu.\That's right! That's what I tell him, just about every day! response:	What's that, Max?!
context: What's that, Gray?!\I never said I had a beef with cleaning! Happy's the one...\Isn't it a beautiful day, Carla?\It is, yes.\Listen when a guy's talkin' to you!\Yeesh. Even after seven years, you haven't changed a bit, Natsu.\That's right! That's what I tell him, just about every day!\What's that, Max?! response:	Are you sayin' you changed?!
context: I never said I had a beef with cleaning! Happy's the one...\Isn't it a beautiful day, Carla?\It is, yes.\Listen when a guy's talkin' to you!\Yeesh. Even after seven years, you haven't changed a bit, Natsu.\That's right! That's what I tell him, just about every day!\What's that, Max?!\Are you sayin' you changed?! response:	Well, I feel as young as ever, anyway...
context: Isn't it a beautiful day, Carla?\It is, yes.\Listen when a guy's talkin' to you!\Yeesh. Even after seven years, you haven't changed a bit, Natsu.\That's right! That's what I tell him, just about every day!\What's that, Max?!\Are you sayin' you changed?!\Well, I feel as young as ever, anyway... response:	Just because you feel young, does that make you young?
context: It is, yes.\Listen when a guy's talkin' to you!\Yeesh. Even after seven years, you haven't changed a bit, Natsu.\That's right! That's what I tell him, just about every day!\What's that, Max?!\Are you sayin' you changed?!\Well, I feel as young as ever, anyway...\Just because you feel young, does that make you young? response:	And if we're talking ability, it's improved by leaps and bounds.
context: Listen when a guy's talkin' to you!\Yeesh. Even after seven years, you haven't changed a bit, Natsu.\That's right! That's what I tell him, just about every day!\What's that, Max?!\Are you sayin' you changed?!\Well, I feel as young as ever, anyway...\Just because you feel young, does that make you young?\And if we're talking ability, it's improved by leaps and bounds. response:	That's what I like to hear! How'bout we rumble?!
context: Yeesh. Even after seven years, you haven't changed a bit, Natsu.\That's right! That's what I tell him, just about every day!\What's that, Max?!\Are you sayin' you changed?!\Well, I feel as young as ever, anyway...\Just because you feel young, does that make you young?\And if we're talking ability, it's improved by leaps and bounds.\That's what I like to hear! How'bout we rumble?! response:	Sure, why not?
context: That's right! That's what I tell him, just about every day!\What's that, Max?!\Are you sayin' you changed?!\Well, I feel as young as ever, anyway...\Just because you feel young, does that make you young?\And if we're talking ability, it's improved by leaps and bounds.\That's what I like to hear! How'bout we rumble?!\Sure, why not? response:	Wait, why is this necessary?
context: What's that, Max?!\Are you sayin' you changed?!\Well, I feel as young as ever, anyway...\Just because you feel young, does that make you young?\And if we're talking ability, it's improved by leaps and bounds.\That's what I like to hear! How'bout we rumble?!\Sure, why not?\Wait, why is this necessary? response:	Go for it! This is a perfect way to kill time after lunch.
context: Are you sayin' you changed?!\Well, I feel as young as ever, anyway...\Just because you feel young, does that make you young?\And if we're talking ability, it's improved by leaps and bounds.\That's what I like to hear! How'bout we rumble?!\Sure, why not?\Wait, why is this necessary?\Go for it! This is a perfect way to kill time after lunch. response:	Alright! I'm fired up!
context: Well, I feel as young as ever, anyway...\Just because you feel young, does that make you young?\And if we're talking ability, it's improved by leaps and bounds.\That's what I like to hear! How'bout we rumble?!\Sure, why not?\Wait, why is this necessary?\Go for it! This is a perfect way to kill time after lunch.\Alright! I'm fired up! response:	And So, We Aim for the Top!
context: Just because you feel young, does that make you young?\And if we're talking ability, it's improved by leaps and bounds.\That's what I like to hear! How'bout we rumble?!\Sure, why not?\Wait, why is this necessary?\Go for it! This is a perfect way to kill time after lunch.\Alright! I'm fired up!\And So, We Aim for the Top! response:	Come on, then!
context: And if we're talking ability, it's improved by leaps and bounds.\That's what I like to hear! How'bout we rumble?!\Sure, why not?\Wait, why is this necessary?\Go for it! This is a perfect way to kill time after lunch.\Alright! I'm fired up!\And So, We Aim for the Top!\Come on, then! response:	S-Seriously?!
context: That's what I like to hear! How'bout we rumble?!\Sure, why not?\Wait, why is this necessary?\Go for it! This is a perfect way to kill time after lunch.\Alright! I'm fired up!\And So, We Aim for the Top!\Come on, then!\S-Seriously?! response:	It's not like we weren't doing anything for seven years.
context: Sure, why not?\Wait, why is this necessary?\Go for it! This is a perfect way to kill time after lunch.\Alright! I'm fired up!\And So, We Aim for the Top!\Come on, then!\S-Seriously?!\It's not like we weren't doing anything for seven years. response:	I trained in my own way.
context: Wait, why is this necessary?\Go for it! This is a perfect way to kill time after lunch.\Alright! I'm fired up!\And So, We Aim for the Top!\Come on, then!\S-Seriously?!\It's not like we weren't doing anything for seven years.\I trained in my own way. response:	Natsu-san...
context: Go for it! This is a perfect way to kill time after lunch.\Alright! I'm fired up!\And So, We Aim for the Top!\Come on, then!\S-Seriously?!\It's not like we weren't doing anything for seven years.\I trained in my own way.\Natsu-san... response:	Let's try this again!
context: Alright! I'm fired up!\And So, We Aim for the Top!\Come on, then!\S-Seriously?!\It's not like we weren't doing anything for seven years.\I trained in my own way.\Natsu-san...\Let's try this again! response:	Sand Rebellion!
context: And So, We Aim for the Top!\Come on, then!\S-Seriously?!\It's not like we weren't doing anything for seven years.\I trained in my own way.\Natsu-san...\Let's try this again!\Sand Rebellion! response:	Burn!
context: Come on, then!\S-Seriously?!\It's not like we weren't doing anything for seven years.\I trained in my own way.\Natsu-san...\Let's try this again!\Sand Rebellion!\Burn! response:	Hey!
context: S-Seriously?!\It's not like we weren't doing anything for seven years.\I trained in my own way.\Natsu-san...\Let's try this again!\Sand Rebellion!\Burn!\Hey! response:	Natsu, hang in there!
context: It's not like we weren't doing anything for seven years.\I trained in my own way.\Natsu-san...\Let's try this again!\Sand Rebellion!\Burn!\Hey!\Natsu, hang in there! response:	You two were just fighting!
context: I trained in my own way.\Natsu-san...\Let's try this again!\Sand Rebellion!\Burn!\Hey!\Natsu, hang in there!\You two were just fighting! response:	That's different than this!
context: Natsu-san...\Let's try this again!\Sand Rebellion!\Burn!\Hey!\Natsu, hang in there!\You two were just fighting!\That's different than this! response:	Iron Fist of the Fire Dragon!
context: Let's try this again!\Sand Rebellion!\Burn!\Hey!\Natsu, hang in there!\You two were just fighting!\That's different than this!\Iron Fist of the Fire Dragon! response:	Sand Wall!
context: Sand Rebellion!\Burn!\Hey!\Natsu, hang in there!\You two were just fighting!\That's different than this!\Iron Fist of the Fire Dragon!\Sand Wall! response:	This isn't seven years ago!
context: Burn!\Hey!\Natsu, hang in there!\You two were just fighting!\That's different than this!\Iron Fist of the Fire Dragon!\Sand Wall!\This isn't seven years ago! response:	Unbelievable! Max...
context: Hey!\Natsu, hang in there!\You two were just fighting!\That's different than this!\Iron Fist of the Fire Dragon!\Sand Wall!\This isn't seven years ago!\Unbelievable! Max... response:	Then maybe we have a chance against Natsu, too?!
context: Natsu, hang in there!\You two were just fighting!\That's different than this!\Iron Fist of the Fire Dragon!\Sand Wall!\This isn't seven years ago!\Unbelievable! Max...\Then maybe we have a chance against Natsu, too?! response:	Lightning Flame Dragon Mode!
context: You two were just fighting!\That's different than this!\Iron Fist of the Fire Dragon!\Sand Wall!\This isn't seven years ago!\Unbelievable! Max...\Then maybe we have a chance against Natsu, too?!\Lightning Flame Dragon Mode! response:	No way!
context: That's different than this!\Iron Fist of the Fire Dragon!\Sand Wall!\This isn't seven years ago!\Unbelievable! Max...\Then maybe we have a chance against Natsu, too?!\Lightning Flame Dragon Mode!\No way! response:	Wha...?! What is that?!
context: Iron Fist of the Fire Dragon!\Sand Wall!\This isn't seven years ago!\Unbelievable! Max...\Then maybe we have a chance against Natsu, too?!\Lightning Flame Dragon Mode!\No way!\Wha...?! What is that?! response:	Roar of the...
context: Sand Wall!\This isn't seven years ago!\Unbelievable! Max...\Then maybe we have a chance against Natsu, too?!\Lightning Flame Dragon Mode!\No way!\Wha...?! What is that?!\Roar of the... response:	Ay-yi-yi...
context: This isn't seven years ago!\Unbelievable! Max...\Then maybe we have a chance against Natsu, too?!\Lightning Flame Dragon Mode!\No way!\Wha...?! What is that?!\Roar of the...\Ay-yi-yi... response:	Dammit!
context: Unbelievable! Max...\Then maybe we have a chance against Natsu, too?!\Lightning Flame Dragon Mode!\No way!\Wha...?! What is that?!\Roar of the...\Ay-yi-yi...\Dammit! response:	I'm not as powerful as I was then...
context: Then maybe we have a chance against Natsu, too?!\Lightning Flame Dragon Mode!\No way!\Wha...?! What is that?!\Roar of the...\Ay-yi-yi...\Dammit!\I'm not as powerful as I was then... response:	Since when can you do that?
context: Lightning Flame Dragon Mode!\No way!\Wha...?! What is that?!\Roar of the...\Ay-yi-yi...\Dammit!\I'm not as powerful as I was then...\Since when can you do that? response:	Now.
context: No way!\Wha...?! What is that?!\Roar of the...\Ay-yi-yi...\Dammit!\I'm not as powerful as I was then...\Since when can you do that?\Now. response:	Wow...
context: Wha...?! What is that?!\Roar of the...\Ay-yi-yi...\Dammit!\I'm not as powerful as I was then...\Since when can you do that?\Now.\Wow... response:	I-I lose. I give up.
context: Roar of the...\Ay-yi-yi...\Dammit!\I'm not as powerful as I was then...\Since when can you do that?\Now.\Wow...\I-I lose. I give up. response:	If that had hit me, I'd be toast!
context: Ay-yi-yi...\Dammit!\I'm not as powerful as I was then...\Since when can you do that?\Now.\Wow...\I-I lose. I give up.\If that had hit me, I'd be toast! response:	Who's next?!
context: Dammit!\I'm not as powerful as I was then...\Since when can you do that?\Now.\Wow...\I-I lose. I give up.\If that had hit me, I'd be toast!\Who's next?! response:	He really is strong!
context: I'm not as powerful as I was then...\Since when can you do that?\Now.\Wow...\I-I lose. I give up.\If that had hit me, I'd be toast!\Who's next?!\He really is strong! response:	A monster!
context: Since when can you do that?\Now.\Wow...\I-I lose. I give up.\If that had hit me, I'd be toast!\Who's next?!\He really is strong!\A monster! response:	That must've burned through a lot of his power.
context: Now.\Wow...\I-I lose. I give up.\If that had hit me, I'd be toast!\Who's next?!\He really is strong!\A monster!\That must've burned through a lot of his power. response:	Natsu, I think you better not use that one in a real battle.
context: Wow...\I-I lose. I give up.\If that had hit me, I'd be toast!\Who's next?!\He really is strong!\A monster!\That must've burned through a lot of his power.\Natsu, I think you better not use that one in a real battle. response:	But you were great, too, Max-san!
context: I-I lose. I give up.\If that had hit me, I'd be toast!\Who's next?!\He really is strong!\A monster!\That must've burned through a lot of his power.\Natsu, I think you better not use that one in a real battle.\But you were great, too, Max-san! response:	I don't need to be flattered, Wendy.
context: If that had hit me, I'd be toast!\Who's next?!\He really is strong!\A monster!\That must've burned through a lot of his power.\Natsu, I think you better not use that one in a real battle.\But you were great, too, Max-san!\I don't need to be flattered, Wendy. response:	But if you're that powerful,
context: Who's next?!\He really is strong!\A monster!\That must've burned through a lot of his power.\Natsu, I think you better not use that one in a real battle.\But you were great, too, Max-san!\I don't need to be flattered, Wendy.\But if you're that powerful, response:	Ogre shouldn't have been able to walk all over you.
context: He really is strong!\A monster!\That must've burned through a lot of his power.\Natsu, I think you better not use that one in a real battle.\But you were great, too, Max-san!\I don't need to be flattered, Wendy.\But if you're that powerful,\Ogre shouldn't have been able to walk all over you. response:	You may be right...
context: A monster!\That must've burned through a lot of his power.\Natsu, I think you better not use that one in a real battle.\But you were great, too, Max-san!\I don't need to be flattered, Wendy.\But if you're that powerful,\Ogre shouldn't have been able to walk all over you.\You may be right... response:	It wasn't a problem we could solve through force, you know?
context: That must've burned through a lot of his power.\Natsu, I think you better not use that one in a real battle.\But you were great, too, Max-san!\I don't need to be flattered, Wendy.\But if you're that powerful,\Ogre shouldn't have been able to walk all over you.\You may be right...\It wasn't a problem we could solve through force, you know? response:	Although that's exactly what Master and the others did...
context: Natsu, I think you better not use that one in a real battle.\But you were great, too, Max-san!\I don't need to be flattered, Wendy.\But if you're that powerful,\Ogre shouldn't have been able to walk all over you.\You may be right...\It wasn't a problem we could solve through force, you know?\Although that's exactly what Master and the others did... response:	Good point...
context: But you were great, too, Max-san!\I don't need to be flattered, Wendy.\But if you're that powerful,\Ogre shouldn't have been able to walk all over you.\You may be right...\It wasn't a problem we could solve through force, you know?\Although that's exactly what Master and the others did...\Good point... response:	Still, the problem is more serious than I thought.
context: I don't need to be flattered, Wendy.\But if you're that powerful,\Ogre shouldn't have been able to walk all over you.\You may be right...\It wasn't a problem we could solve through force, you know?\Although that's exactly what Master and the others did...\Good point...\Still, the problem is more serious than I thought. response:	What do you mean?
context: But if you're that powerful,\Ogre shouldn't have been able to walk all over you.\You may be right...\It wasn't a problem we could solve through force, you know?\Although that's exactly what Master and the others did...\Good point...\Still, the problem is more serious than I thought.\What do you mean? response:	Gildarts and Laxus were monsters to begin with, but them aside,
context: Ogre shouldn't have been able to walk all over you.\You may be right...\It wasn't a problem we could solve through force, you know?\Although that's exactly what Master and the others did...\Good point...\Still, the problem is more serious than I thought.\What do you mean?\Gildarts and Laxus were monsters to begin with, but them aside, response:	our power hasn't caught up to this time period.
context: You may be right...\It wasn't a problem we could solve through force, you know?\Although that's exactly what Master and the others did...\Good point...\Still, the problem is more serious than I thought.\What do you mean?\Gildarts and Laxus were monsters to begin with, but them aside,\our power hasn't caught up to this time period. response:	True. Even Natsu was given a run for his money by Max there...
context: It wasn't a problem we could solve through force, you know?\Although that's exactly what Master and the others did...\Good point...\Still, the problem is more serious than I thought.\What do you mean?\Gildarts and Laxus were monsters to begin with, but them aside,\our power hasn't caught up to this time period.\True. Even Natsu was given a run for his money by Max there... response:	And we're talking Max-san...
context: Although that's exactly what Master and the others did...\Good point...\Still, the problem is more serious than I thought.\What do you mean?\Gildarts and Laxus were monsters to begin with, but them aside,\our power hasn't caught up to this time period.\True. Even Natsu was given a run for his money by Max there...\And we're talking Max-san... response:	What you said before really was just flattery...?
context: Good point...\Still, the problem is more serious than I thought.\What do you mean?\Gildarts and Laxus were monsters to begin with, but them aside,\our power hasn't caught up to this time period.\True. Even Natsu was given a run for his money by Max there...\And we're talking Max-san...\What you said before really was just flattery...? response:	I wonder if there's a way to boost our magic power all at once...
context: Still, the problem is more serious than I thought.\What do you mean?\Gildarts and Laxus were monsters to begin with, but them aside,\our power hasn't caught up to this time period.\True. Even Natsu was given a run for his money by Max there...\And we're talking Max-san...\What you said before really was just flattery...?\I wonder if there's a way to boost our magic power all at once... response:	Go home!
context: What do you mean?\Gildarts and Laxus were monsters to begin with, but them aside,\our power hasn't caught up to this time period.\True. Even Natsu was given a run for his money by Max there...\And we're talking Max-san...\What you said before really was just flattery...?\I wonder if there's a way to boost our magic power all at once...\Go home! response:	Poluchka-san!
context: Gildarts and Laxus were monsters to begin with, but them aside,\our power hasn't caught up to this time period.\True. Even Natsu was given a run for his money by Max there...\And we're talking Max-san...\What you said before really was just flattery...?\I wonder if there's a way to boost our magic power all at once...\Go home!\Poluchka-san! response:	Don't you have some kind of good medicine for us?
context: our power hasn't caught up to this time period.\True. Even Natsu was given a run for his money by Max there...\And we're talking Max-san...\What you said before really was just flattery...?\I wonder if there's a way to boost our magic power all at once...\Go home!\Poluchka-san!\Don't you have some kind of good medicine for us? response:	Like one that'll suddenly increase our power a hundredfold...
context: True. Even Natsu was given a run for his money by Max there...\And we're talking Max-san...\What you said before really was just flattery...?\I wonder if there's a way to boost our magic power all at once...\Go home!\Poluchka-san!\Don't you have some kind of good medicine for us?\Like one that'll suddenly increase our power a hundredfold... response:	I suppose that would be too convenient...
context: And we're talking Max-san...\What you said before really was just flattery...?\I wonder if there's a way to boost our magic power all at once...\Go home!\Poluchka-san!\Don't you have some kind of good medicine for us?\Like one that'll suddenly increase our power a hundredfold...\I suppose that would be too convenient... response:	What's wrong, Wendy?
context: What you said before really was just flattery...?\I wonder if there's a way to boost our magic power all at once...\Go home!\Poluchka-san!\Don't you have some kind of good medicine for us?\Like one that'll suddenly increase our power a hundredfold...\I suppose that would be too convenient...\What's wrong, Wendy? response:	Nothing...
context: I wonder if there's a way to boost our magic power all at once...\Go home!\Poluchka-san!\Don't you have some kind of good medicine for us?\Like one that'll suddenly increase our power a hundredfold...\I suppose that would be too convenient...\What's wrong, Wendy?\Nothing... response:	I hate humans! Go home! Go home!
context: Go home!\Poluchka-san!\Don't you have some kind of good medicine for us?\Like one that'll suddenly increase our power a hundredfold...\I suppose that would be too convenient...\What's wrong, Wendy?\Nothing...\I hate humans! Go home! Go home! response:	What is it, her turn to clean?!
context: Poluchka-san!\Don't you have some kind of good medicine for us?\Like one that'll suddenly increase our power a hundredfold...\I suppose that would be too convenient...\What's wrong, Wendy?\Nothing...\I hate humans! Go home! Go home!\What is it, her turn to clean?! response:	Sorry for bothering you!
context: Don't you have some kind of good medicine for us?\Like one that'll suddenly increase our power a hundredfold...\I suppose that would be too convenient...\What's wrong, Wendy?\Nothing...\I hate humans! Go home! Go home!\What is it, her turn to clean?!\Sorry for bothering you! response:	What's with that old lady?!
context: Like one that'll suddenly increase our power a hundredfold...\I suppose that would be too convenient...\What's wrong, Wendy?\Nothing...\I hate humans! Go home! Go home!\What is it, her turn to clean?!\Sorry for bothering you!\What's with that old lady?! response:	She used to be Gramps' girlfriend!
context: I suppose that would be too convenient...\What's wrong, Wendy?\Nothing...\I hate humans! Go home! Go home!\What is it, her turn to clean?!\Sorry for bothering you!\What's with that old lady?!\She used to be Gramps' girlfriend! response:	Wrong, moron!
context: What's wrong, Wendy?\Nothing...\I hate humans! Go home! Go home!\What is it, her turn to clean?!\Sorry for bothering you!\What's with that old lady?!\She used to be Gramps' girlfriend!\Wrong, moron! response:	And so...
context: Nothing...\I hate humans! Go home! Go home!\What is it, her turn to clean?!\Sorry for bothering you!\What's with that old lady?!\She used to be Gramps' girlfriend!\Wrong, moron!\And so... response:	I'm going to introduce the next master to you now.
context: I hate humans! Go home! Go home!\What is it, her turn to clean?!\Sorry for bothering you!\What's with that old lady?!\She used to be Gramps' girlfriend!\Wrong, moron!\And so...\I'm going to introduce the next master to you now. response:	Are you serious?!
context: What is it, her turn to clean?!\Sorry for bothering you!\What's with that old lady?!\She used to be Gramps' girlfriend!\Wrong, moron!\And so...\I'm going to introduce the next master to you now.\Are you serious?! response:	Wait. I'm not mentally prepared yet...
context: Sorry for bothering you!\What's with that old lady?!\She used to be Gramps' girlfriend!\Wrong, moron!\And so...\I'm going to introduce the next master to you now.\Are you serious?!\Wait. I'm not mentally prepared yet... response:	It ain't gonna be you!
