context: Kiss Him, Not Me response:	On a Journey to the Holy Land of Kachu Rabu
context: Shima-chan.\That was an insult just now, wasn't it?\I suppose we'll have to go a day early, in that case.\I think so. We'll have to search for a reasonable place to stay.\Wait!\You'll spend the night alone together?\What choice do we have?\I mean, you guys aren't interested, are you? response:	I am!
context: That was an insult just now, wasn't it?\I suppose we'll have to go a day early, in that case.\I think so. We'll have to search for a reasonable place to stay.\Wait!\You'll spend the night alone together?\What choice do we have?\I mean, you guys aren't interested, are you?\I am! response:	Can I go, too?
context: I suppose we'll have to go a day early, in that case.\I think so. We'll have to search for a reasonable place to stay.\Wait!\You'll spend the night alone together?\What choice do we have?\I mean, you guys aren't interested, are you?\I am!\Can I go, too? response:	We're interested, too.
context: I think so. We'll have to search for a reasonable place to stay.\Wait!\You'll spend the night alone together?\What choice do we have?\I mean, you guys aren't interested, are you?\I am!\Can I go, too?\We're interested, too. response:	We want to go.
context: Wait!\You'll spend the night alone together?\What choice do we have?\I mean, you guys aren't interested, are you?\I am!\Can I go, too?\We're interested, too.\We want to go. response:	Then let's all go together!
context: You'll spend the night alone together?\What choice do we have?\I mean, you guys aren't interested, are you?\I am!\Can I go, too?\We're interested, too.\We want to go.\Then let's all go together! response:	All right!
context: What choice do we have?\I mean, you guys aren't interested, are you?\I am!\Can I go, too?\We're interested, too.\We want to go.\Then let's all go together!\All right! response:	Wow, it's so old-fashioned, it's refreshing!
context: I mean, you guys aren't interested, are you?\I am!\Can I go, too?\We're interested, too.\We want to go.\Then let's all go together!\All right!\Wow, it's so old-fashioned, it's refreshing! response:	It's got its own charm!
context: I am!\Can I go, too?\We're interested, too.\We want to go.\Then let's all go together!\All right!\Wow, it's so old-fashioned, it's refreshing!\It's got its own charm! response:	Yay! The bath's all ours!
context: Can I go, too?\We're interested, too.\We want to go.\Then let's all go together!\All right!\Wow, it's so old-fashioned, it's refreshing!\It's got its own charm!\Yay! The bath's all ours! response:	Nana! Don't jump in!
context: We're interested, too.\We want to go.\Then let's all go together!\All right!\Wow, it's so old-fashioned, it's refreshing!\It's got its own charm!\Yay! The bath's all ours!\Nana! Don't jump in! response:	Your nipples are so pink!
context: We want to go.\Then let's all go together!\All right!\Wow, it's so old-fashioned, it's refreshing!\It's got its own charm!\Yay! The bath's all ours!\Nana! Don't jump in!\Your nipples are so pink! response:	Sh-Shut up!
context: Then let's all go together!\All right!\Wow, it's so old-fashioned, it's refreshing!\It's got its own charm!\Yay! The bath's all ours!\Nana! Don't jump in!\Your nipples are so pink!\Sh-Shut up! response:	What's going on over there?!
context: All right!\Wow, it's so old-fashioned, it's refreshing!\It's got its own charm!\Yay! The bath's all ours!\Nana! Don't jump in!\Your nipples are so pink!\Sh-Shut up!\What's going on over there?! response:	One card left!
context: Wow, it's so old-fashioned, it's refreshing!\It's got its own charm!\Yay! The bath's all ours!\Nana! Don't jump in!\Your nipples are so pink!\Sh-Shut up!\What's going on over there?!\One card left! response:	Reverse!
context: It's got its own charm!\Yay! The bath's all ours!\Nana! Don't jump in!\Your nipples are so pink!\Sh-Shut up!\What's going on over there?!\One card left!\Reverse! response:	You're gonna play that?
context: Yay! The bath's all ours!\Nana! Don't jump in!\Your nipples are so pink!\Sh-Shut up!\What's going on over there?!\One card left!\Reverse!\You're gonna play that? response:	And I'll play this. Draw 4.
context: Nana! Don't jump in!\Your nipples are so pink!\Sh-Shut up!\What's going on over there?!\One card left!\Reverse!\You're gonna play that?\And I'll play this. Draw 4. response:	You jerks!
context: Your nipples are so pink!\Sh-Shut up!\What's going on over there?!\One card left!\Reverse!\You're gonna play that?\And I'll play this. Draw 4.\You jerks! response:	You wanna go?!
context: Sh-Shut up!\What's going on over there?!\One card left!\Reverse!\You're gonna play that?\And I'll play this. Draw 4.\You jerks!\You wanna go?! response:	I have your back, Nanashima-senpai!
context: What's going on over there?!\One card left!\Reverse!\You're gonna play that?\And I'll play this. Draw 4.\You jerks!\You wanna go?!\I have your back, Nanashima-senpai! response:	Let's beat him silly!
context: One card left!\Reverse!\You're gonna play that?\And I'll play this. Draw 4.\You jerks!\You wanna go?!\I have your back, Nanashima-senpai!\Let's beat him silly! response:	All right, leave it to me!
context: Reverse!\You're gonna play that?\And I'll play this. Draw 4.\You jerks!\You wanna go?!\I have your back, Nanashima-senpai!\Let's beat him silly!\All right, leave it to me! response:	Too easy!
context: You're gonna play that?\And I'll play this. Draw 4.\You jerks!\You wanna go?!\I have your back, Nanashima-senpai!\Let's beat him silly!\All right, leave it to me!\Too easy! response:	Observe my pillow fight mastery!
context: And I'll play this. Draw 4.\You jerks!\You wanna go?!\I have your back, Nanashima-senpai!\Let's beat him silly!\All right, leave it to me!\Too easy!\Observe my pillow fight mastery! response:	Here we go.
context: You jerks!\You wanna go?!\I have your back, Nanashima-senpai!\Let's beat him silly!\All right, leave it to me!\Too easy!\Observe my pillow fight mastery!\Here we go. response:	Got it.
context: You wanna go?!\I have your back, Nanashima-senpai!\Let's beat him silly!\All right, leave it to me!\Too easy!\Observe my pillow fight mastery!\Here we go.\Got it. response:	I-I'm sorry.
context: I have your back, Nanashima-senpai!\Let's beat him silly!\All right, leave it to me!\Too easy!\Observe my pillow fight mastery!\Here we go.\Got it.\I-I'm sorry. response:	I-It's okay.
context: Let's beat him silly!\All right, leave it to me!\Too easy!\Observe my pillow fight mastery!\Here we go.\Got it.\I-I'm sorry.\I-It's okay. response:	Are you okay?
context: All right, leave it to me!\Too easy!\Observe my pillow fight mastery!\Here we go.\Got it.\I-I'm sorry.\I-It's okay.\Are you okay? response:	Yes.
context: Too easy!\Observe my pillow fight mastery!\Here we go.\Got it.\I-I'm sorry.\I-It's okay.\Are you okay?\Yes. response:	Shut up!
context: Observe my pillow fight mastery!\Here we go.\Got it.\I-I'm sorry.\I-It's okay.\Are you okay?\Yes.\Shut up! response:	If you don't keep it down, I'll call the cops!
context: Here we go.\Got it.\I-I'm sorry.\I-It's okay.\Are you okay?\Yes.\Shut up!\If you don't keep it down, I'll call the cops! response:	Hurry up and go to sleep!
context: Got it.\I-I'm sorry.\I-It's okay.\Are you okay?\Yes.\Shut up!\If you don't keep it down, I'll call the cops!\Hurry up and go to sleep! response:	Doesn't that reaction mean...
context: I-I'm sorry.\I-It's okay.\Are you okay?\Yes.\Shut up!\If you don't keep it down, I'll call the cops!\Hurry up and go to sleep!\Doesn't that reaction mean... response:	There are a lot of young women at this year's mass.
context: I-It's okay.\Are you okay?\Yes.\Shut up!\If you don't keep it down, I'll call the cops!\Hurry up and go to sleep!\Doesn't that reaction mean...\There are a lot of young women at this year's mass. response:	I wonder why?
context: Are you okay?\Yes.\Shut up!\If you don't keep it down, I'll call the cops!\Hurry up and go to sleep!\Doesn't that reaction mean...\There are a lot of young women at this year's mass.\I wonder why? response:	Did they make an NHK drama about him?
context: Yes.\Shut up!\If you don't keep it down, I'll call the cops!\Hurry up and go to sleep!\Doesn't that reaction mean...\There are a lot of young women at this year's mass.\I wonder why?\Did they make an NHK drama about him? response:	It was an anime.
context: Shut up!\If you don't keep it down, I'll call the cops!\Hurry up and go to sleep!\Doesn't that reaction mean...\There are a lot of young women at this year's mass.\I wonder why?\Did they make an NHK drama about him?\It was an anime. response:	My lord.
context: If you don't keep it down, I'll call the cops!\Hurry up and go to sleep!\Doesn't that reaction mean...\There are a lot of young women at this year's mass.\I wonder why?\Did they make an NHK drama about him?\It was an anime.\My lord. response:	Iga
context: Hurry up and go to sleep!\Doesn't that reaction mean...\There are a lot of young women at this year's mass.\I wonder why?\Did they make an NHK drama about him?\It was an anime.\My lord.\Iga response:	Mu
context: Doesn't that reaction mean...\There are a lot of young women at this year's mass.\I wonder why?\Did they make an NHK drama about him?\It was an anime.\My lord.\Iga\Mu response:	Shi
context: There are a lot of young women at this year's mass.\I wonder why?\Did they make an NHK drama about him?\It was an anime.\My lord.\Iga\Mu\Shi response:	Rest in peace.
context: I wonder why?\Did they make an NHK drama about him?\It was an anime.\My lord.\Iga\Mu\Shi\Rest in peace. response:	Nana
context: Did they make an NHK drama about him?\It was an anime.\My lord.\Iga\Mu\Shi\Rest in peace.\Nana response:	That was such a sacred ceremony.
context: It was an anime.\My lord.\Iga\Mu\Shi\Rest in peace.\Nana\That was such a sacred ceremony. response:	It feels like my soul was cleansed!
context: My lord.\Iga\Mu\Shi\Rest in peace.\Nana\That was such a sacred ceremony.\It feels like my soul was cleansed! response:	Let's go buy a good luck charm.
context: Iga\Mu\Shi\Rest in peace.\Nana\That was such a sacred ceremony.\It feels like my soul was cleansed!\Let's go buy a good luck charm. response:	Oh, they have wooden plaques, too!
context: Mu\Shi\Rest in peace.\Nana\That was such a sacred ceremony.\It feels like my soul was cleansed!\Let's go buy a good luck charm.\Oh, they have wooden plaques, too! response:	I hope Akane-chan and his lord will live happily ever after.
context: Shi\Rest in peace.\Nana\That was such a sacred ceremony.\It feels like my soul was cleansed!\Let's go buy a good luck charm.\Oh, they have wooden plaques, too!\I hope Akane-chan and his lord will live happily ever after. response:	Forever!
context: Rest in peace.\Nana\That was such a sacred ceremony.\It feels like my soul was cleansed!\Let's go buy a good luck charm.\Oh, they have wooden plaques, too!\I hope Akane-chan and his lord will live happily ever after.\Forever! response:	Lord Love
context: Nana\That was such a sacred ceremony.\It feels like my soul was cleansed!\Let's go buy a good luck charm.\Oh, they have wooden plaques, too!\I hope Akane-chan and his lord will live happily ever after.\Forever!\Lord Love response:	Mine's done, too!
context: That was such a sacred ceremony.\It feels like my soul was cleansed!\Let's go buy a good luck charm.\Oh, they have wooden plaques, too!\I hope Akane-chan and his lord will live happily ever after.\Forever!\Lord Love\Mine's done, too! response:	Don't you think something like that might be a bad idea?
context: It feels like my soul was cleansed!\Let's go buy a good luck charm.\Oh, they have wooden plaques, too!\I hope Akane-chan and his lord will live happily ever after.\Forever!\Lord Love\Mine's done, too!\Don't you think something like that might be a bad idea? response:	What?
context: Let's go buy a good luck charm.\Oh, they have wooden plaques, too!\I hope Akane-chan and his lord will live happily ever after.\Forever!\Lord Love\Mine's done, too!\Don't you think something like that might be a bad idea?\What? response:	But, look.
context: Oh, they have wooden plaques, too!\I hope Akane-chan and his lord will live happily ever after.\Forever!\Lord Love\Mine's done, too!\Don't you think something like that might be a bad idea?\What?\But, look. response:	So this is an anime plaque...
context: I hope Akane-chan and his lord will live happily ever after.\Forever!\Lord Love\Mine's done, too!\Don't you think something like that might be a bad idea?\What?\But, look.\So this is an anime plaque... response:	Oh, yeah? That's pretty interesting.
context: Forever!\Lord Love\Mine's done, too!\Don't you think something like that might be a bad idea?\What?\But, look.\So this is an anime plaque...\Oh, yeah? That's pretty interesting. response:	All right, then,
context: Lord Love\Mine's done, too!\Don't you think something like that might be a bad idea?\What?\But, look.\So this is an anime plaque...\Oh, yeah? That's pretty interesting.\All right, then, response:	time to go see Akane-chan!
context: Mine's done, too!\Don't you think something like that might be a bad idea?\What?\But, look.\So this is an anime plaque...\Oh, yeah? That's pretty interesting.\All right, then,\time to go see Akane-chan! response:	Look!
context: Don't you think something like that might be a bad idea?\What?\But, look.\So this is an anime plaque...\Oh, yeah? That's pretty interesting.\All right, then,\time to go see Akane-chan!\Look! response:	Treasure Hall
context: What?\But, look.\So this is an anime plaque...\Oh, yeah? That's pretty interesting.\All right, then,\time to go see Akane-chan!\Look!\Treasure Hall response:	Flame Horned Vermilion Lacquered Armor
context: But, look.\So this is an anime plaque...\Oh, yeah? That's pretty interesting.\All right, then,\time to go see Akane-chan!\Look!\Treasure Hall\Flame Horned Vermilion Lacquered Armor response:	That sword mark!
context: So this is an anime plaque...\Oh, yeah? That's pretty interesting.\All right, then,\time to go see Akane-chan!\Look!\Treasure Hall\Flame Horned Vermilion Lacquered Armor\That sword mark! response:	It's proof that he protected his lord!
context: Oh, yeah? That's pretty interesting.\All right, then,\time to go see Akane-chan!\Look!\Treasure Hall\Flame Horned Vermilion Lacquered Armor\That sword mark!\It's proof that he protected his lord! response:	So cute! Akane!
context: All right, then,\time to go see Akane-chan!\Look!\Treasure Hall\Flame Horned Vermilion Lacquered Armor\That sword mark!\It's proof that he protected his lord!\So cute! Akane! response:	I finally got to meet you, Akane-chan!
context: time to go see Akane-chan!\Look!\Treasure Hall\Flame Horned Vermilion Lacquered Armor\That sword mark!\It's proof that he protected his lord!\So cute! Akane!\I finally got to meet you, Akane-chan! response:	Priceless!
context: Look!\Treasure Hall\Flame Horned Vermilion Lacquered Armor\That sword mark!\It's proof that he protected his lord!\So cute! Akane!\I finally got to meet you, Akane-chan!\Priceless! response:	Too priceless!
context: Treasure Hall\Flame Horned Vermilion Lacquered Armor\That sword mark!\It's proof that he protected his lord!\So cute! Akane!\I finally got to meet you, Akane-chan!\Priceless!\Too priceless! response:	All right, it's crowded, so keep on moving.
context: Flame Horned Vermilion Lacquered Armor\That sword mark!\It's proof that he protected his lord!\So cute! Akane!\I finally got to meet you, Akane-chan!\Priceless!\Too priceless!\All right, it's crowded, so keep on moving. response:	Akane-chan!
context: That sword mark!\It's proof that he protected his lord!\So cute! Akane!\I finally got to meet you, Akane-chan!\Priceless!\Too priceless!\All right, it's crowded, so keep on moving.\Akane-chan! response:	I want to stay with you longer!
context: It's proof that he protected his lord!\So cute! Akane!\I finally got to meet you, Akane-chan!\Priceless!\Too priceless!\All right, it's crowded, so keep on moving.\Akane-chan!\I want to stay with you longer! response:	Look, Sametora's portrait!
context: So cute! Akane!\I finally got to meet you, Akane-chan!\Priceless!\Too priceless!\All right, it's crowded, so keep on moving.\Akane-chan!\I want to stay with you longer!\Look, Sametora's portrait! response:	My lord, I love you!
context: I finally got to meet you, Akane-chan!\Priceless!\Too priceless!\All right, it's crowded, so keep on moving.\Akane-chan!\I want to stay with you longer!\Look, Sametora's portrait!\My lord, I love you! response:	So cute! So lovely!
context: Priceless!\Too priceless!\All right, it's crowded, so keep on moving.\Akane-chan!\I want to stay with you longer!\Look, Sametora's portrait!\My lord, I love you!\So cute! So lovely! response:	He's the model?
context: Too priceless!\All right, it's crowded, so keep on moving.\Akane-chan!\I want to stay with you longer!\Look, Sametora's portrait!\My lord, I love you!\So cute! So lovely!\He's the model? response:	I can't find a single point of similarity.
context: All right, it's crowded, so keep on moving.\Akane-chan!\I want to stay with you longer!\Look, Sametora's portrait!\My lord, I love you!\So cute! So lovely!\He's the model?\I can't find a single point of similarity. response:	What exactly do those girls see right now?
context: Akane-chan!\I want to stay with you longer!\Look, Sametora's portrait!\My lord, I love you!\So cute! So lovely!\He's the model?\I can't find a single point of similarity.\What exactly do those girls see right now? response:	All right, it's crowded, so keep on moving.
context: I want to stay with you longer!\Look, Sametora's portrait!\My lord, I love you!\So cute! So lovely!\He's the model?\I can't find a single point of similarity.\What exactly do those girls see right now?\All right, it's crowded, so keep on moving. response:	My lord!
context: Look, Sametora's portrait!\My lord, I love you!\So cute! So lovely!\He's the model?\I can't find a single point of similarity.\What exactly do those girls see right now?\All right, it's crowded, so keep on moving.\My lord! response:	I want to stay with you longer!
context: My lord, I love you!\So cute! So lovely!\He's the model?\I can't find a single point of similarity.\What exactly do those girls see right now?\All right, it's crowded, so keep on moving.\My lord!\I want to stay with you longer! response:	Now, now, you two.
context: So cute! So lovely!\He's the model?\I can't find a single point of similarity.\What exactly do those girls see right now?\All right, it's crowded, so keep on moving.\My lord!\I want to stay with you longer!\Now, now, you two. response:	How about seeing the real thing, not just a portrait?
context: He's the model?\I can't find a single point of similarity.\What exactly do those girls see right now?\All right, it's crowded, so keep on moving.\My lord!\I want to stay with you longer!\Now, now, you two.\How about seeing the real thing, not just a portrait? response:	The real thing?
context: I can't find a single point of similarity.\What exactly do those girls see right now?\All right, it's crowded, so keep on moving.\My lord!\I want to stay with you longer!\Now, now, you two.\How about seeing the real thing, not just a portrait?\The real thing? response:	It's his grave!
context: What exactly do those girls see right now?\All right, it's crowded, so keep on moving.\My lord!\I want to stay with you longer!\Now, now, you two.\How about seeing the real thing, not just a portrait?\The real thing?\It's his grave! response:	The lord rests here.
context: All right, it's crowded, so keep on moving.\My lord!\I want to stay with you longer!\Now, now, you two.\How about seeing the real thing, not just a portrait?\The real thing?\It's his grave!\The lord rests here. response:	I'm sure he does!
context: My lord!\I want to stay with you longer!\Now, now, you two.\How about seeing the real thing, not just a portrait?\The real thing?\It's his grave!\The lord rests here.\I'm sure he does! response:	My lord!
context: I want to stay with you longer!\Now, now, you two.\How about seeing the real thing, not just a portrait?\The real thing?\It's his grave!\The lord rests here.\I'm sure he does!\My lord! response:	5 Minutes Later
context: Now, now, you two.\How about seeing the real thing, not just a portrait?\The real thing?\It's his grave!\The lord rests here.\I'm sure he does!\My lord!\5 Minutes Later response:	15 Minutes Later
context: How about seeing the real thing, not just a portrait?\The real thing?\It's his grave!\The lord rests here.\I'm sure he does!\My lord!\5 Minutes Later\15 Minutes Later response:	30 Minutes Later
context: The real thing?\It's his grave!\The lord rests here.\I'm sure he does!\My lord!\5 Minutes Later\15 Minutes Later\30 Minutes Later response:	Mu
context: It's his grave!\The lord rests here.\I'm sure he does!\My lord!\5 Minutes Later\15 Minutes Later\30 Minutes Later\Mu response:	Shi
context: The lord rests here.\I'm sure he does!\My lord!\5 Minutes Later\15 Minutes Later\30 Minutes Later\Mu\Shi response:	Nana
context: I'm sure he does!\My lord!\5 Minutes Later\15 Minutes Later\30 Minutes Later\Mu\Shi\Nana response:	Iga
context: My lord!\5 Minutes Later\15 Minutes Later\30 Minutes Later\Mu\Shi\Nana\Iga response:	U-Um...
context: 5 Minutes Later\15 Minutes Later\30 Minutes Later\Mu\Shi\Nana\Iga\U-Um... response:	How much longer?
context: 15 Minutes Later\30 Minutes Later\Mu\Shi\Nana\Iga\U-Um...\How much longer? response:	Let's get going.
context: 30 Minutes Later\Mu\Shi\Nana\Iga\U-Um...\How much longer?\Let's get going. response:	If I could, I'd stay with you forever.
context: Mu\Shi\Nana\Iga\U-Um...\How much longer?\Let's get going.\If I could, I'd stay with you forever. response:	I want to be by your side.
context: Shi\Nana\Iga\U-Um...\How much longer?\Let's get going.\If I could, I'd stay with you forever.\I want to be by your side. response:	I'm sure you're hungry!
context: Nana\Iga\U-Um...\How much longer?\Let's get going.\If I could, I'd stay with you forever.\I want to be by your side.\I'm sure you're hungry! response:	Let's go have some lunch.
context: Iga\U-Um...\How much longer?\Let's get going.\If I could, I'd stay with you forever.\I want to be by your side.\I'm sure you're hungry!\Let's go have some lunch. response:	At least let me take a pic!
context: U-Um...\How much longer?\Let's get going.\If I could, I'd stay with you forever.\I want to be by your side.\I'm sure you're hungry!\Let's go have some lunch.\At least let me take a pic! response:	Stop!
context: How much longer?\Let's get going.\If I could, I'd stay with you forever.\I want to be by your side.\I'm sure you're hungry!\Let's go have some lunch.\At least let me take a pic!\Stop! response:	Yamada Restaurant
context: Let's get going.\If I could, I'd stay with you forever.\I want to be by your side.\I'm sure you're hungry!\Let's go have some lunch.\At least let me take a pic!\Stop!\Yamada Restaurant response:	This is the best pilgrimage!
context: If I could, I'd stay with you forever.\I want to be by your side.\I'm sure you're hungry!\Let's go have some lunch.\At least let me take a pic!\Stop!\Yamada Restaurant\This is the best pilgrimage! response:	It's so perfect!
context: I want to be by your side.\I'm sure you're hungry!\Let's go have some lunch.\At least let me take a pic!\Stop!\Yamada Restaurant\This is the best pilgrimage!\It's so perfect! response:	Look, look!
context: I'm sure you're hungry!\Let's go have some lunch.\At least let me take a pic!\Stop!\Yamada Restaurant\This is the best pilgrimage!\It's so perfect!\Look, look! response:	I've set it as my wallpaper.
context: Let's go have some lunch.\At least let me take a pic!\Stop!\Yamada Restaurant\This is the best pilgrimage!\It's so perfect!\Look, look!\I've set it as my wallpaper. response:	Now I can see my lord any time.
context: At least let me take a pic!\Stop!\Yamada Restaurant\This is the best pilgrimage!\It's so perfect!\Look, look!\I've set it as my wallpaper.\Now I can see my lord any time. response:	That's great, Senpai.
context: Stop!\Yamada Restaurant\This is the best pilgrimage!\It's so perfect!\Look, look!\I've set it as my wallpaper.\Now I can see my lord any time.\That's great, Senpai. response:	That's like a bad omen.
context: Yamada Restaurant\This is the best pilgrimage!\It's so perfect!\Look, look!\I've set it as my wallpaper.\Now I can see my lord any time.\That's great, Senpai.\That's like a bad omen. response:	But, only his headless corpse is there.
context: This is the best pilgrimage!\It's so perfect!\Look, look!\I've set it as my wallpaper.\Now I can see my lord any time.\That's great, Senpai.\That's like a bad omen.\But, only his headless corpse is there. response:	Sametora once fought a battle against his own son.
context: It's so perfect!\Look, look!\I've set it as my wallpaper.\Now I can see my lord any time.\That's great, Senpai.\That's like a bad omen.\But, only his headless corpse is there.\Sametora once fought a battle against his own son. response:	And after he won,
context: Look, look!\I've set it as my wallpaper.\Now I can see my lord any time.\That's great, Senpai.\That's like a bad omen.\But, only his headless corpse is there.\Sametora once fought a battle against his own son.\And after he won, response:	he appealed to have his son's life saved, even though he was in the enemy army.
context: I've set it as my wallpaper.\Now I can see my lord any time.\That's great, Senpai.\That's like a bad omen.\But, only his headless corpse is there.\Sametora once fought a battle against his own son.\And after he won,\he appealed to have his son's life saved, even though he was in the enemy army. response:	His appeal was accepted,
context: Now I can see my lord any time.\That's great, Senpai.\That's like a bad omen.\But, only his headless corpse is there.\Sametora once fought a battle against his own son.\And after he won,\he appealed to have his son's life saved, even though he was in the enemy army.\His appeal was accepted, response:	but, in exchange, he was ordered to commit seppuku.
context: That's great, Senpai.\That's like a bad omen.\But, only his headless corpse is there.\Sametora once fought a battle against his own son.\And after he won,\he appealed to have his son's life saved, even though he was in the enemy army.\His appeal was accepted,\but, in exchange, he was ordered to commit seppuku. response:	However, just before he cut his own stomach,
context: That's like a bad omen.\But, only his headless corpse is there.\Sametora once fought a battle against his own son.\And after he won,\he appealed to have his son's life saved, even though he was in the enemy army.\His appeal was accepted,\but, in exchange, he was ordered to commit seppuku.\However, just before he cut his own stomach, response:	he learned that his son was already dead.
