context: So what if you brought them over? So what if you have Drifters? response:	No matter how many of those idiots you transport here...
context: Aren't you embarrassed?\Not at all.\I see. As might be expected from a former hipster, you're thick-skinned.\Then, which one are we supposed to be?\I don't think you are of the Ends.\Why?\Those who are transported as the Ends are inhuman...\They nourish a deep, deep loathing towards this world. response:	I don't know what happened to them while they were in your world.
context: Not at all.\I see. As might be expected from a former hipster, you're thick-skinned.\Then, which one are we supposed to be?\I don't think you are of the Ends.\Why?\Those who are transported as the Ends are inhuman...\They nourish a deep, deep loathing towards this world.\I don't know what happened to them while they were in your world. response:	But they detest everything...
context: I see. As might be expected from a former hipster, you're thick-skinned.\Then, which one are we supposed to be?\I don't think you are of the Ends.\Why?\Those who are transported as the Ends are inhuman...\They nourish a deep, deep loathing towards this world.\I don't know what happened to them while they were in your world.\But they detest everything... response:	They only have one objective in mind, which is...
context: Then, which one are we supposed to be?\I don't think you are of the Ends.\Why?\Those who are transported as the Ends are inhuman...\They nourish a deep, deep loathing towards this world.\I don't know what happened to them while they were in your world.\But they detest everything...\They only have one objective in mind, which is... response:	They gathered in the north, pacified the monsters in order to ally with them,
context: I don't think you are of the Ends.\Why?\Those who are transported as the Ends are inhuman...\They nourish a deep, deep loathing towards this world.\I don't know what happened to them while they were in your world.\But they detest everything...\They only have one objective in mind, which is...\They gathered in the north, pacified the monsters in order to ally with them, response:	and began advancing into our land.
context: Why?\Those who are transported as the Ends are inhuman...\They nourish a deep, deep loathing towards this world.\I don't know what happened to them while they were in your world.\But they detest everything...\They only have one objective in mind, which is...\They gathered in the north, pacified the monsters in order to ally with them,\and began advancing into our land. response:	If we let them continue, the world will be destroyed.
context: Those who are transported as the Ends are inhuman...\They nourish a deep, deep loathing towards this world.\I don't know what happened to them while they were in your world.\But they detest everything...\They only have one objective in mind, which is...\They gathered in the north, pacified the monsters in order to ally with them,\and began advancing into our land.\If we let them continue, the world will be destroyed. response:	That's why I'm asking you Drifters for help!
context: They nourish a deep, deep loathing towards this world.\I don't know what happened to them while they were in your world.\But they detest everything...\They only have one objective in mind, which is...\They gathered in the north, pacified the monsters in order to ally with them,\and began advancing into our land.\If we let them continue, the world will be destroyed.\That's why I'm asking you Drifters for help! response:	What about your troops?
context: I don't know what happened to them while they were in your world.\But they detest everything...\They only have one objective in mind, which is...\They gathered in the north, pacified the monsters in order to ally with them,\and began advancing into our land.\If we let them continue, the world will be destroyed.\That's why I'm asking you Drifters for help!\What about your troops? response:	Eh?
context: But they detest everything...\They only have one objective in mind, which is...\They gathered in the north, pacified the monsters in order to ally with them,\and began advancing into our land.\If we let them continue, the world will be destroyed.\That's why I'm asking you Drifters for help!\What about your troops?\Eh? response:	I don't give a damn about monsters or those sorts of things,
context: They only have one objective in mind, which is...\They gathered in the north, pacified the monsters in order to ally with them,\and began advancing into our land.\If we let them continue, the world will be destroyed.\That's why I'm asking you Drifters for help!\What about your troops?\Eh?\I don't give a damn about monsters or those sorts of things, response:	but the enemy was an organized force, right?
context: They gathered in the north, pacified the monsters in order to ally with them,\and began advancing into our land.\If we let them continue, the world will be destroyed.\That's why I'm asking you Drifters for help!\What about your troops?\Eh?\I don't give a damn about monsters or those sorts of things,\but the enemy was an organized force, right? response:	So, what do the Octobrists have to stand against them?
context: and began advancing into our land.\If we let them continue, the world will be destroyed.\That's why I'm asking you Drifters for help!\What about your troops?\Eh?\I don't give a damn about monsters or those sorts of things,\but the enemy was an organized force, right?\So, what do the Octobrists have to stand against them? response:	Th-That is... umm... We are a magician organization.
context: If we let them continue, the world will be destroyed.\That's why I'm asking you Drifters for help!\What about your troops?\Eh?\I don't give a damn about monsters or those sorts of things,\but the enemy was an organized force, right?\So, what do the Octobrists have to stand against them?\Th-That is... umm... We are a magician organization. response:	Our mission is to bring Drifters together-
context: That's why I'm asking you Drifters for help!\What about your troops?\Eh?\I don't give a damn about monsters or those sorts of things,\but the enemy was an organized force, right?\So, what do the Octobrists have to stand against them?\Th-That is... umm... We are a magician organization.\Our mission is to bring Drifters together- response:	So you have nothing, huh?!
context: What about your troops?\Eh?\I don't give a damn about monsters or those sorts of things,\but the enemy was an organized force, right?\So, what do the Octobrists have to stand against them?\Th-That is... umm... We are a magician organization.\Our mission is to bring Drifters together-\So you have nothing, huh?! response:	Umm... We call for military support from kings and feudal lords,
context: Eh?\I don't give a damn about monsters or those sorts of things,\but the enemy was an organized force, right?\So, what do the Octobrists have to stand against them?\Th-That is... umm... We are a magician organization.\Our mission is to bring Drifters together-\So you have nothing, huh?!\Umm... We call for military support from kings and feudal lords, response:	and assigning Drifters to command of these troops is our...
context: I don't give a damn about monsters or those sorts of things,\but the enemy was an organized force, right?\So, what do the Octobrists have to stand against them?\Th-That is... umm... We are a magician organization.\Our mission is to bring Drifters together-\So you have nothing, huh?!\Umm... We call for military support from kings and feudal lords,\and assigning Drifters to command of these troops is our... response:	Stupid, stupid, stupid.
context: but the enemy was an organized force, right?\So, what do the Octobrists have to stand against them?\Th-That is... umm... We are a magician organization.\Our mission is to bring Drifters together-\So you have nothing, huh?!\Umm... We call for military support from kings and feudal lords,\and assigning Drifters to command of these troops is our...\Stupid, stupid, stupid. response:	Fiefs clearly work the same way in every world.
context: So, what do the Octobrists have to stand against them?\Th-That is... umm... We are a magician organization.\Our mission is to bring Drifters together-\So you have nothing, huh?!\Umm... We call for military support from kings and feudal lords,\and assigning Drifters to command of these troops is our...\Stupid, stupid, stupid.\Fiefs clearly work the same way in every world. response:	A feudal lord wields military power. That is how feudalism works.
context: Th-That is... umm... We are a magician organization.\Our mission is to bring Drifters together-\So you have nothing, huh?!\Umm... We call for military support from kings and feudal lords,\and assigning Drifters to command of these troops is our...\Stupid, stupid, stupid.\Fiefs clearly work the same way in every world.\A feudal lord wields military power. That is how feudalism works. response:	No lord would ever willingly cede command to some random outsider, stupid!
context: Our mission is to bring Drifters together-\So you have nothing, huh?!\Umm... We call for military support from kings and feudal lords,\and assigning Drifters to command of these troops is our...\Stupid, stupid, stupid.\Fiefs clearly work the same way in every world.\A feudal lord wields military power. That is how feudalism works.\No lord would ever willingly cede command to some random outsider, stupid! response:	Regardless of how powerful those so-called Ends are,
context: So you have nothing, huh?!\Umm... We call for military support from kings and feudal lords,\and assigning Drifters to command of these troops is our...\Stupid, stupid, stupid.\Fiefs clearly work the same way in every world.\A feudal lord wields military power. That is how feudalism works.\No lord would ever willingly cede command to some random outsider, stupid!\Regardless of how powerful those so-called Ends are, response:	a feudal lord will never hand over his military authority to them.
context: Umm... We call for military support from kings and feudal lords,\and assigning Drifters to command of these troops is our...\Stupid, stupid, stupid.\Fiefs clearly work the same way in every world.\A feudal lord wields military power. That is how feudalism works.\No lord would ever willingly cede command to some random outsider, stupid!\Regardless of how powerful those so-called Ends are,\a feudal lord will never hand over his military authority to them. response:	Even if these apocalyptic forces are marching into his last stronghold,
context: and assigning Drifters to command of these troops is our...\Stupid, stupid, stupid.\Fiefs clearly work the same way in every world.\A feudal lord wields military power. That is how feudalism works.\No lord would ever willingly cede command to some random outsider, stupid!\Regardless of how powerful those so-called Ends are,\a feudal lord will never hand over his military authority to them.\Even if these apocalyptic forces are marching into his last stronghold, response:	and they drive him into a corner,
context: Stupid, stupid, stupid.\Fiefs clearly work the same way in every world.\A feudal lord wields military power. That is how feudalism works.\No lord would ever willingly cede command to some random outsider, stupid!\Regardless of how powerful those so-called Ends are,\a feudal lord will never hand over his military authority to them.\Even if these apocalyptic forces are marching into his last stronghold,\and they drive him into a corner, response:	he will persevere until the time of his honorable suicide, stupid.
context: Fiefs clearly work the same way in every world.\A feudal lord wields military power. That is how feudalism works.\No lord would ever willingly cede command to some random outsider, stupid!\Regardless of how powerful those so-called Ends are,\a feudal lord will never hand over his military authority to them.\Even if these apocalyptic forces are marching into his last stronghold,\and they drive him into a corner,\he will persevere until the time of his honorable suicide, stupid. response:	This is what an overlord is.
context: A feudal lord wields military power. That is how feudalism works.\No lord would ever willingly cede command to some random outsider, stupid!\Regardless of how powerful those so-called Ends are,\a feudal lord will never hand over his military authority to them.\Even if these apocalyptic forces are marching into his last stronghold,\and they drive him into a corner,\he will persevere until the time of his honorable suicide, stupid.\This is what an overlord is. response:	You can theorize as much as you want,
context: No lord would ever willingly cede command to some random outsider, stupid!\Regardless of how powerful those so-called Ends are,\a feudal lord will never hand over his military authority to them.\Even if these apocalyptic forces are marching into his last stronghold,\and they drive him into a corner,\he will persevere until the time of his honorable suicide, stupid.\This is what an overlord is.\You can theorize as much as you want, response:	but in the end, things are as they are...
context: Regardless of how powerful those so-called Ends are,\a feudal lord will never hand over his military authority to them.\Even if these apocalyptic forces are marching into his last stronghold,\and they drive him into a corner,\he will persevere until the time of his honorable suicide, stupid.\This is what an overlord is.\You can theorize as much as you want,\but in the end, things are as they are... response:	This is why Mohism was destroyed during the Warring States Era in China.
context: a feudal lord will never hand over his military authority to them.\Even if these apocalyptic forces are marching into his last stronghold,\and they drive him into a corner,\he will persevere until the time of his honorable suicide, stupid.\This is what an overlord is.\You can theorize as much as you want,\but in the end, things are as they are...\This is why Mohism was destroyed during the Warring States Era in China. response:	This man... Is this the true Oda Nobunaga?
context: Even if these apocalyptic forces are marching into his last stronghold,\and they drive him into a corner,\he will persevere until the time of his honorable suicide, stupid.\This is what an overlord is.\You can theorize as much as you want,\but in the end, things are as they are...\This is why Mohism was destroyed during the Warring States Era in China.\This man... Is this the true Oda Nobunaga? response:	Is he just a fool, or is he the Demon King?
context: and they drive him into a corner,\he will persevere until the time of his honorable suicide, stupid.\This is what an overlord is.\You can theorize as much as you want,\but in the end, things are as they are...\This is why Mohism was destroyed during the Warring States Era in China.\This man... Is this the true Oda Nobunaga?\Is he just a fool, or is he the Demon King? response:	Th-Then, what should we do?!
context: he will persevere until the time of his honorable suicide, stupid.\This is what an overlord is.\You can theorize as much as you want,\but in the end, things are as they are...\This is why Mohism was destroyed during the Warring States Era in China.\This man... Is this the true Oda Nobunaga?\Is he just a fool, or is he the Demon King?\Th-Then, what should we do?! response:	Only Drifters can defeat them! What are you suggesting?!
context: This is what an overlord is.\You can theorize as much as you want,\but in the end, things are as they are...\This is why Mohism was destroyed during the Warring States Era in China.\This man... Is this the true Oda Nobunaga?\Is he just a fool, or is he the Demon King?\Th-Then, what should we do?!\Only Drifters can defeat them! What are you suggesting?! response:	Is it not obvious?
context: You can theorize as much as you want,\but in the end, things are as they are...\This is why Mohism was destroyed during the Warring States Era in China.\This man... Is this the true Oda Nobunaga?\Is he just a fool, or is he the Demon King?\Th-Then, what should we do?!\Only Drifters can defeat them! What are you suggesting?!\Is it not obvious? response:	The Drifters should take control of the state.
context: but in the end, things are as they are...\This is why Mohism was destroyed during the Warring States Era in China.\This man... Is this the true Oda Nobunaga?\Is he just a fool, or is he the Demon King?\Th-Then, what should we do?!\Only Drifters can defeat them! What are you suggesting?!\Is it not obvious?\The Drifters should take control of the state. response:	I hereby declare that we're
context: This is why Mohism was destroyed during the Warring States Era in China.\This man... Is this the true Oda Nobunaga?\Is he just a fool, or is he the Demon King?\Th-Then, what should we do?!\Only Drifters can defeat them! What are you suggesting?!\Is it not obvious?\The Drifters should take control of the state.\I hereby declare that we're response:	beginning a campaign of conquest with Toyohisa as our leader.
context: This man... Is this the true Oda Nobunaga?\Is he just a fool, or is he the Demon King?\Th-Then, what should we do?!\Only Drifters can defeat them! What are you suggesting?!\Is it not obvious?\The Drifters should take control of the state.\I hereby declare that we're\beginning a campaign of conquest with Toyohisa as our leader. response:	Huh?
context: Is he just a fool, or is he the Demon King?\Th-Then, what should we do?!\Only Drifters can defeat them! What are you suggesting?!\Is it not obvious?\The Drifters should take control of the state.\I hereby declare that we're\beginning a campaign of conquest with Toyohisa as our leader.\Huh? response:	And you people will support us.
context: Th-Then, what should we do?!\Only Drifters can defeat them! What are you suggesting?!\Is it not obvious?\The Drifters should take control of the state.\I hereby declare that we're\beginning a campaign of conquest with Toyohisa as our leader.\Huh?\And you people will support us. response:	Aid our plot to take down the empire
context: Only Drifters can defeat them! What are you suggesting?!\Is it not obvious?\The Drifters should take control of the state.\I hereby declare that we're\beginning a campaign of conquest with Toyohisa as our leader.\Huh?\And you people will support us.\Aid our plot to take down the empire response:	for the sake of your world's peace and happiness.
context: Is it not obvious?\The Drifters should take control of the state.\I hereby declare that we're\beginning a campaign of conquest with Toyohisa as our leader.\Huh?\And you people will support us.\Aid our plot to take down the empire\for the sake of your world's peace and happiness. response:	Wait a minute!
context: The Drifters should take control of the state.\I hereby declare that we're\beginning a campaign of conquest with Toyohisa as our leader.\Huh?\And you people will support us.\Aid our plot to take down the empire\for the sake of your world's peace and happiness.\Wait a minute! response:	How am I the leader?! You've never told me that.
context: I hereby declare that we're\beginning a campaign of conquest with Toyohisa as our leader.\Huh?\And you people will support us.\Aid our plot to take down the empire\for the sake of your world's peace and happiness.\Wait a minute!\How am I the leader?! You've never told me that. response:	Eh? Don't you remember you sat in the center the other day?
context: beginning a campaign of conquest with Toyohisa as our leader.\Huh?\And you people will support us.\Aid our plot to take down the empire\for the sake of your world's peace and happiness.\Wait a minute!\How am I the leader?! You've never told me that.\Eh? Don't you remember you sat in the center the other day? response:	I was going to sit down, but I'll let you take my seat.
context: Huh?\And you people will support us.\Aid our plot to take down the empire\for the sake of your world's peace and happiness.\Wait a minute!\How am I the leader?! You've never told me that.\Eh? Don't you remember you sat in the center the other day?\I was going to sit down, but I'll let you take my seat. response:	What the hell does that mean?!
context: And you people will support us.\Aid our plot to take down the empire\for the sake of your world's peace and happiness.\Wait a minute!\How am I the leader?! You've never told me that.\Eh? Don't you remember you sat in the center the other day?\I was going to sit down, but I'll let you take my seat.\What the hell does that mean?! response:	That's what I thought.
context: Aid our plot to take down the empire\for the sake of your world's peace and happiness.\Wait a minute!\How am I the leader?! You've never told me that.\Eh? Don't you remember you sat in the center the other day?\I was going to sit down, but I'll let you take my seat.\What the hell does that mean?!\That's what I thought. response:	You can be truly dense, kid.
context: for the sake of your world's peace and happiness.\Wait a minute!\How am I the leader?! You've never told me that.\Eh? Don't you remember you sat in the center the other day?\I was going to sit down, but I'll let you take my seat.\What the hell does that mean?!\That's what I thought.\You can be truly dense, kid. response:	Grrr, shut up! Just do as I say!
context: Wait a minute!\How am I the leader?! You've never told me that.\Eh? Don't you remember you sat in the center the other day?\I was going to sit down, but I'll let you take my seat.\What the hell does that mean?!\That's what I thought.\You can be truly dense, kid.\Grrr, shut up! Just do as I say! response:	Gr-Grand Master, this is insane.
context: How am I the leader?! You've never told me that.\Eh? Don't you remember you sat in the center the other day?\I was going to sit down, but I'll let you take my seat.\What the hell does that mean?!\That's what I thought.\You can be truly dense, kid.\Grrr, shut up! Just do as I say!\Gr-Grand Master, this is insane. response:	Those guys are behaving completely erratically.
context: Eh? Don't you remember you sat in the center the other day?\I was going to sit down, but I'll let you take my seat.\What the hell does that mean?!\That's what I thought.\You can be truly dense, kid.\Grrr, shut up! Just do as I say!\Gr-Grand Master, this is insane.\Those guys are behaving completely erratically. response:	However, their idea has a certain appeal.
context: I was going to sit down, but I'll let you take my seat.\What the hell does that mean?!\That's what I thought.\You can be truly dense, kid.\Grrr, shut up! Just do as I say!\Gr-Grand Master, this is insane.\Those guys are behaving completely erratically.\However, their idea has a certain appeal. response:	We were attacked by the Ends several times in the past.
context: What the hell does that mean?!\That's what I thought.\You can be truly dense, kid.\Grrr, shut up! Just do as I say!\Gr-Grand Master, this is insane.\Those guys are behaving completely erratically.\However, their idea has a certain appeal.\We were attacked by the Ends several times in the past. response:	Each time, they decimated our land.
context: That's what I thought.\You can be truly dense, kid.\Grrr, shut up! Just do as I say!\Gr-Grand Master, this is insane.\Those guys are behaving completely erratically.\However, their idea has a certain appeal.\We were attacked by the Ends several times in the past.\Each time, they decimated our land. response:	However, this time is different.
context: You can be truly dense, kid.\Grrr, shut up! Just do as I say!\Gr-Grand Master, this is insane.\Those guys are behaving completely erratically.\However, their idea has a certain appeal.\We were attacked by the Ends several times in the past.\Each time, they decimated our land.\However, this time is different. response:	Ill-conceived measures won't work. We'll be totally destroyed...
context: Grrr, shut up! Just do as I say!\Gr-Grand Master, this is insane.\Those guys are behaving completely erratically.\However, their idea has a certain appeal.\We were attacked by the Ends several times in the past.\Each time, they decimated our land.\However, this time is different.\Ill-conceived measures won't work. We'll be totally destroyed... response:	Black Majesty, we completely demolished the Northern Wall in Carneades.
context: Gr-Grand Master, this is insane.\Those guys are behaving completely erratically.\However, their idea has a certain appeal.\We were attacked by the Ends several times in the past.\Each time, they decimated our land.\However, this time is different.\Ill-conceived measures won't work. We'll be totally destroyed...\Black Majesty, we completely demolished the Northern Wall in Carneades. response:	What about our losses, Rasputin?
context: Those guys are behaving completely erratically.\However, their idea has a certain appeal.\We were attacked by the Ends several times in the past.\Each time, they decimated our land.\However, this time is different.\Ill-conceived measures won't work. We'll be totally destroyed...\Black Majesty, we completely demolished the Northern Wall in Carneades.\What about our losses, Rasputin? response:	The number of casualties is 274 in Goblin special forces,
context: However, their idea has a certain appeal.\We were attacked by the Ends several times in the past.\Each time, they decimated our land.\However, this time is different.\Ill-conceived measures won't work. We'll be totally destroyed...\Black Majesty, we completely demolished the Northern Wall in Carneades.\What about our losses, Rasputin?\The number of casualties is 274 in Goblin special forces, response:	345 in Kobold advanced guard...
context: We were attacked by the Ends several times in the past.\Each time, they decimated our land.\However, this time is different.\Ill-conceived measures won't work. We'll be totally destroyed...\Black Majesty, we completely demolished the Northern Wall in Carneades.\What about our losses, Rasputin?\The number of casualties is 274 in Goblin special forces,\345 in Kobold advanced guard... response:	The damage was not serious,
context: Each time, they decimated our land.\However, this time is different.\Ill-conceived measures won't work. We'll be totally destroyed...\Black Majesty, we completely demolished the Northern Wall in Carneades.\What about our losses, Rasputin?\The number of casualties is 274 in Goblin special forces,\345 in Kobold advanced guard...\The damage was not serious, response:	but losing four Dragners was a heavy blow.
context: However, this time is different.\Ill-conceived measures won't work. We'll be totally destroyed...\Black Majesty, we completely demolished the Northern Wall in Carneades.\What about our losses, Rasputin?\The number of casualties is 274 in Goblin special forces,\345 in Kobold advanced guard...\The damage was not serious,\but losing four Dragners was a heavy blow. response:	Bring me those who were injured.
context: Ill-conceived measures won't work. We'll be totally destroyed...\Black Majesty, we completely demolished the Northern Wall in Carneades.\What about our losses, Rasputin?\The number of casualties is 274 in Goblin special forces,\345 in Kobold advanced guard...\The damage was not serious,\but losing four Dragners was a heavy blow.\Bring me those who were injured. response:	Will you truly act, Black Majesty?
context: Black Majesty, we completely demolished the Northern Wall in Carneades.\What about our losses, Rasputin?\The number of casualties is 274 in Goblin special forces,\345 in Kobold advanced guard...\The damage was not serious,\but losing four Dragners was a heavy blow.\Bring me those who were injured.\Will you truly act, Black Majesty? response:	Of course.
context: What about our losses, Rasputin?\The number of casualties is 274 in Goblin special forces,\345 in Kobold advanced guard...\The damage was not serious,\but losing four Dragners was a heavy blow.\Bring me those who were injured.\Will you truly act, Black Majesty?\Of course. response:	Goblins, Kobolds, and Dragons are all my brethren.
context: The number of casualties is 274 in Goblin special forces,\345 in Kobold advanced guard...\The damage was not serious,\but losing four Dragners was a heavy blow.\Bring me those who were injured.\Will you truly act, Black Majesty?\Of course.\Goblins, Kobolds, and Dragons are all my brethren. response:	I will save as many as I can.
context: 345 in Kobold advanced guard...\The damage was not serious,\but losing four Dragners was a heavy blow.\Bring me those who were injured.\Will you truly act, Black Majesty?\Of course.\Goblins, Kobolds, and Dragons are all my brethren.\I will save as many as I can. response:	You are merciful, Black Majesty.
context: The damage was not serious,\but losing four Dragners was a heavy blow.\Bring me those who were injured.\Will you truly act, Black Majesty?\Of course.\Goblins, Kobolds, and Dragons are all my brethren.\I will save as many as I can.\You are merciful, Black Majesty. response:	Ouch... Ouch...
context: but losing four Dragners was a heavy blow.\Bring me those who were injured.\Will you truly act, Black Majesty?\Of course.\Goblins, Kobolds, and Dragons are all my brethren.\I will save as many as I can.\You are merciful, Black Majesty.\Ouch... Ouch... response:	I'm grateful.
context: Bring me those who were injured.\Will you truly act, Black Majesty?\Of course.\Goblins, Kobolds, and Dragons are all my brethren.\I will save as many as I can.\You are merciful, Black Majesty.\Ouch... Ouch...\I'm grateful. response:	Well done. You fought hard.
