context: Hey, Amara... response:	Have you ever thought the wind felt good?
context: So I thought I'd pay you a visit.\To be honest, we're really happy to assist Macbeth Enterprises.\We'll meet your expectations,\and repay you for your assistance.\Amara, Moco...\You are special to me.\Special test pilots...\But when I say special, that isn't what I mean. response:	Don't forget that.
context: To be honest, we're really happy to assist Macbeth Enterprises.\We'll meet your expectations,\and repay you for your assistance.\Amara, Moco...\You are special to me.\Special test pilots...\But when I say special, that isn't what I mean.\Don't forget that. response:	I consider myself not merely your boss,
context: We'll meet your expectations,\and repay you for your assistance.\Amara, Moco...\You are special to me.\Special test pilots...\But when I say special, that isn't what I mean.\Don't forget that.\I consider myself not merely your boss, response:	but your father.
context: and repay you for your assistance.\Amara, Moco...\You are special to me.\Special test pilots...\But when I say special, that isn't what I mean.\Don't forget that.\I consider myself not merely your boss,\but your father. response:	If you need anything,
context: Amara, Moco...\You are special to me.\Special test pilots...\But when I say special, that isn't what I mean.\Don't forget that.\I consider myself not merely your boss,\but your father.\If you need anything, response:	you can always come to see me.
context: You are special to me.\Special test pilots...\But when I say special, that isn't what I mean.\Don't forget that.\I consider myself not merely your boss,\but your father.\If you need anything,\you can always come to see me. response:	Let's have dinner soon.
context: Special test pilots...\But when I say special, that isn't what I mean.\Don't forget that.\I consider myself not merely your boss,\but your father.\If you need anything,\you can always come to see me.\Let's have dinner soon. response:	Thank you, sir.
context: But when I say special, that isn't what I mean.\Don't forget that.\I consider myself not merely your boss,\but your father.\If you need anything,\you can always come to see me.\Let's have dinner soon.\Thank you, sir. response:	Aren't they good kids?
context: Don't forget that.\I consider myself not merely your boss,\but your father.\If you need anything,\you can always come to see me.\Let's have dinner soon.\Thank you, sir.\Aren't they good kids? response:	I'm so glad that they were kept
context: I consider myself not merely your boss,\but your father.\If you need anything,\you can always come to see me.\Let's have dinner soon.\Thank you, sir.\Aren't they good kids?\I'm so glad that they were kept response:	at an overseas research organization during the Kanda incident.
context: but your father.\If you need anything,\you can always come to see me.\Let's have dinner soon.\Thank you, sir.\Aren't they good kids?\I'm so glad that they were kept\at an overseas research organization during the Kanda incident. response:	I'm a good kid, too.
context: If you need anything,\you can always come to see me.\Let's have dinner soon.\Thank you, sir.\Aren't they good kids?\I'm so glad that they were kept\at an overseas research organization during the Kanda incident.\I'm a good kid, too. response:	Won't you invite me to dinner?
context: you can always come to see me.\Let's have dinner soon.\Thank you, sir.\Aren't they good kids?\I'm so glad that they were kept\at an overseas research organization during the Kanda incident.\I'm a good kid, too.\Won't you invite me to dinner? response:	Why don't we get dinner tonight?
context: Let's have dinner soon.\Thank you, sir.\Aren't they good kids?\I'm so glad that they were kept\at an overseas research organization during the Kanda incident.\I'm a good kid, too.\Won't you invite me to dinner?\Why don't we get dinner tonight? response:	Is that an order, Commander?
context: Thank you, sir.\Aren't they good kids?\I'm so glad that they were kept\at an overseas research organization during the Kanda incident.\I'm a good kid, too.\Won't you invite me to dinner?\Why don't we get dinner tonight?\Is that an order, Commander? response:	It's half work, I suppose...
context: Aren't they good kids?\I'm so glad that they were kept\at an overseas research organization during the Kanda incident.\I'm a good kid, too.\Won't you invite me to dinner?\Why don't we get dinner tonight?\Is that an order, Commander?\It's half work, I suppose... response:	Please don't mix work with your personal life.
context: I'm so glad that they were kept\at an overseas research organization during the Kanda incident.\I'm a good kid, too.\Won't you invite me to dinner?\Why don't we get dinner tonight?\Is that an order, Commander?\It's half work, I suppose...\Please don't mix work with your personal life. response:	It feels like all the color is draining from the world.
context: at an overseas research organization during the Kanda incident.\I'm a good kid, too.\Won't you invite me to dinner?\Why don't we get dinner tonight?\Is that an order, Commander?\It's half work, I suppose...\Please don't mix work with your personal life.\It feels like all the color is draining from the world. response:	That's Governor Yomatsuri, from the Tenkaidou.
context: I'm a good kid, too.\Won't you invite me to dinner?\Why don't we get dinner tonight?\Is that an order, Commander?\It's half work, I suppose...\Please don't mix work with your personal life.\It feels like all the color is draining from the world.\That's Governor Yomatsuri, from the Tenkaidou. response:	Good morning.
context: Won't you invite me to dinner?\Why don't we get dinner tonight?\Is that an order, Commander?\It's half work, I suppose...\Please don't mix work with your personal life.\It feels like all the color is draining from the world.\That's Governor Yomatsuri, from the Tenkaidou.\Good morning. response:	Morning.
context: Why don't we get dinner tonight?\Is that an order, Commander?\It's half work, I suppose...\Please don't mix work with your personal life.\It feels like all the color is draining from the world.\That's Governor Yomatsuri, from the Tenkaidou.\Good morning.\Morning. response:	Eiji Arashi is still missing, correct?
context: Is that an order, Commander?\It's half work, I suppose...\Please don't mix work with your personal life.\It feels like all the color is draining from the world.\That's Governor Yomatsuri, from the Tenkaidou.\Good morning.\Morning.\Eiji Arashi is still missing, correct? response:	Unfortunately, yes.
context: It's half work, I suppose...\Please don't mix work with your personal life.\It feels like all the color is draining from the world.\That's Governor Yomatsuri, from the Tenkaidou.\Good morning.\Morning.\Eiji Arashi is still missing, correct?\Unfortunately, yes. response:	This is a problem...
context: Please don't mix work with your personal life.\It feels like all the color is draining from the world.\That's Governor Yomatsuri, from the Tenkaidou.\Good morning.\Morning.\Eiji Arashi is still missing, correct?\Unfortunately, yes.\This is a problem... response:	HQ won't like any issues that might hinder the Kivotos Plan.
context: It feels like all the color is draining from the world.\That's Governor Yomatsuri, from the Tenkaidou.\Good morning.\Morning.\Eiji Arashi is still missing, correct?\Unfortunately, yes.\This is a problem...\HQ won't like any issues that might hinder the Kivotos Plan. response:	You tried to get him out without permission, didn't you?
context: That's Governor Yomatsuri, from the Tenkaidou.\Good morning.\Morning.\Eiji Arashi is still missing, correct?\Unfortunately, yes.\This is a problem...\HQ won't like any issues that might hinder the Kivotos Plan.\You tried to get him out without permission, didn't you? response:	Your eyes look dead.
context: Good morning.\Morning.\Eiji Arashi is still missing, correct?\Unfortunately, yes.\This is a problem...\HQ won't like any issues that might hinder the Kivotos Plan.\You tried to get him out without permission, didn't you?\Your eyes look dead. response:	Out of consideration for your pathetic face, we'll just say you owe me one.
context: Morning.\Eiji Arashi is still missing, correct?\Unfortunately, yes.\This is a problem...\HQ won't like any issues that might hinder the Kivotos Plan.\You tried to get him out without permission, didn't you?\Your eyes look dead.\Out of consideration for your pathetic face, we'll just say you owe me one. response:	Commander, this conversation is being hacked.
context: Eiji Arashi is still missing, correct?\Unfortunately, yes.\This is a problem...\HQ won't like any issues that might hinder the Kivotos Plan.\You tried to get him out without permission, didn't you?\Your eyes look dead.\Out of consideration for your pathetic face, we'll just say you owe me one.\Commander, this conversation is being hacked. response:	That can't be!
context: Unfortunately, yes.\This is a problem...\HQ won't like any issues that might hinder the Kivotos Plan.\You tried to get him out without permission, didn't you?\Your eyes look dead.\Out of consideration for your pathetic face, we'll just say you owe me one.\Commander, this conversation is being hacked.\That can't be! response:	Aww. You found me?
context: This is a problem...\HQ won't like any issues that might hinder the Kivotos Plan.\You tried to get him out without permission, didn't you?\Your eyes look dead.\Out of consideration for your pathetic face, we'll just say you owe me one.\Commander, this conversation is being hacked.\That can't be!\Aww. You found me? response:	Akari!
context: HQ won't like any issues that might hinder the Kivotos Plan.\You tried to get him out without permission, didn't you?\Your eyes look dead.\Out of consideration for your pathetic face, we'll just say you owe me one.\Commander, this conversation is being hacked.\That can't be!\Aww. You found me?\Akari! response:	Akari!
context: You tried to get him out without permission, didn't you?\Your eyes look dead.\Out of consideration for your pathetic face, we'll just say you owe me one.\Commander, this conversation is being hacked.\That can't be!\Aww. You found me?\Akari!\Akari! response:	Morning, Mom...
context: Your eyes look dead.\Out of consideration for your pathetic face, we'll just say you owe me one.\Commander, this conversation is being hacked.\That can't be!\Aww. You found me?\Akari!\Akari!\Morning, Mom... response:	Dad tried to hit on Rita-san again this morning, and got rejected.
context: Out of consideration for your pathetic face, we'll just say you owe me one.\Commander, this conversation is being hacked.\That can't be!\Aww. You found me?\Akari!\Akari!\Morning, Mom...\Dad tried to hit on Rita-san again this morning, and got rejected. response:	You have this room bugged, as well?
context: Commander, this conversation is being hacked.\That can't be!\Aww. You found me?\Akari!\Akari!\Morning, Mom...\Dad tried to hit on Rita-san again this morning, and got rejected.\You have this room bugged, as well? response:	Nope, I just took a random guess.
context: That can't be!\Aww. You found me?\Akari!\Akari!\Morning, Mom...\Dad tried to hit on Rita-san again this morning, and got rejected.\You have this room bugged, as well?\Nope, I just took a random guess. response:	You're part of Globe now... You work for me.
context: Aww. You found me?\Akari!\Akari!\Morning, Mom...\Dad tried to hit on Rita-san again this morning, and got rejected.\You have this room bugged, as well?\Nope, I just took a random guess.\You're part of Globe now... You work for me. response:	Must we go over what you can and can't do again?
context: Akari!\Akari!\Morning, Mom...\Dad tried to hit on Rita-san again this morning, and got rejected.\You have this room bugged, as well?\Nope, I just took a random guess.\You're part of Globe now... You work for me.\Must we go over what you can and can't do again? response:	How did you get into the secure line, anyway?
context: Akari!\Morning, Mom...\Dad tried to hit on Rita-san again this morning, and got rejected.\You have this room bugged, as well?\Nope, I just took a random guess.\You're part of Globe now... You work for me.\Must we go over what you can and can't do again?\How did you get into the secure line, anyway? response:	Magic! It's magic!
context: Morning, Mom...\Dad tried to hit on Rita-san again this morning, and got rejected.\You have this room bugged, as well?\Nope, I just took a random guess.\You're part of Globe now... You work for me.\Must we go over what you can and can't do again?\How did you get into the secure line, anyway?\Magic! It's magic! response:	Well, it's forbidden! Magic is forbidden!
context: Dad tried to hit on Rita-san again this morning, and got rejected.\You have this room bugged, as well?\Nope, I just took a random guess.\You're part of Globe now... You work for me.\Must we go over what you can and can't do again?\How did you get into the secure line, anyway?\Magic! It's magic!\Well, it's forbidden! Magic is forbidden! response:	Hey, what do you guys think about the Kivotos Plan?
context: You have this room bugged, as well?\Nope, I just took a random guess.\You're part of Globe now... You work for me.\Must we go over what you can and can't do again?\How did you get into the secure line, anyway?\Magic! It's magic!\Well, it's forbidden! Magic is forbidden!\Hey, what do you guys think about the Kivotos Plan? response:	That was the plan to enable humanity to escape, should the worst happen.
context: Nope, I just took a random guess.\You're part of Globe now... You work for me.\Must we go over what you can and can't do again?\How did you get into the secure line, anyway?\Magic! It's magic!\Well, it's forbidden! Magic is forbidden!\Hey, what do you guys think about the Kivotos Plan?\That was the plan to enable humanity to escape, should the worst happen. response:	It was deemed necessary by the unanimous agreement
context: You're part of Globe now... You work for me.\Must we go over what you can and can't do again?\How did you get into the secure line, anyway?\Magic! It's magic!\Well, it's forbidden! Magic is forbidden!\Hey, what do you guys think about the Kivotos Plan?\That was the plan to enable humanity to escape, should the worst happen.\It was deemed necessary by the unanimous agreement response:	of all representatives of humanity.
context: Must we go over what you can and can't do again?\How did you get into the secure line, anyway?\Magic! It's magic!\Well, it's forbidden! Magic is forbidden!\Hey, what do you guys think about the Kivotos Plan?\That was the plan to enable humanity to escape, should the worst happen.\It was deemed necessary by the unanimous agreement\of all representatives of humanity. response:	You mean the Globe Federation's unanimous agreement, not humanity's.
context: How did you get into the secure line, anyway?\Magic! It's magic!\Well, it's forbidden! Magic is forbidden!\Hey, what do you guys think about the Kivotos Plan?\That was the plan to enable humanity to escape, should the worst happen.\It was deemed necessary by the unanimous agreement\of all representatives of humanity.\You mean the Globe Federation's unanimous agreement, not humanity's. response:	If nothing else, I wouldn't want to survive thanks to a plan like that.
context: Magic! It's magic!\Well, it's forbidden! Magic is forbidden!\Hey, what do you guys think about the Kivotos Plan?\That was the plan to enable humanity to escape, should the worst happen.\It was deemed necessary by the unanimous agreement\of all representatives of humanity.\You mean the Globe Federation's unanimous agreement, not humanity's.\If nothing else, I wouldn't want to survive thanks to a plan like that. response:	The Kivotos Plan is top-secret...
context: Well, it's forbidden! Magic is forbidden!\Hey, what do you guys think about the Kivotos Plan?\That was the plan to enable humanity to escape, should the worst happen.\It was deemed necessary by the unanimous agreement\of all representatives of humanity.\You mean the Globe Federation's unanimous agreement, not humanity's.\If nothing else, I wouldn't want to survive thanks to a plan like that.\The Kivotos Plan is top-secret... response:	If you learn any more, I'll have to arrest you.
context: Hey, what do you guys think about the Kivotos Plan?\That was the plan to enable humanity to escape, should the worst happen.\It was deemed necessary by the unanimous agreement\of all representatives of humanity.\You mean the Globe Federation's unanimous agreement, not humanity's.\If nothing else, I wouldn't want to survive thanks to a plan like that.\The Kivotos Plan is top-secret...\If you learn any more, I'll have to arrest you. response:	I'm just in the way, anyhow.
context: That was the plan to enable humanity to escape, should the worst happen.\It was deemed necessary by the unanimous agreement\of all representatives of humanity.\You mean the Globe Federation's unanimous agreement, not humanity's.\If nothing else, I wouldn't want to survive thanks to a plan like that.\The Kivotos Plan is top-secret...\If you learn any more, I'll have to arrest you.\I'm just in the way, anyhow. response:	Logical, logical... Time for Akari-chan to disappear!
context: It was deemed necessary by the unanimous agreement\of all representatives of humanity.\You mean the Globe Federation's unanimous agreement, not humanity's.\If nothing else, I wouldn't want to survive thanks to a plan like that.\The Kivotos Plan is top-secret...\If you learn any more, I'll have to arrest you.\I'm just in the way, anyhow.\Logical, logical... Time for Akari-chan to disappear! response:	Kivotos Plan
context: of all representatives of humanity.\You mean the Globe Federation's unanimous agreement, not humanity's.\If nothing else, I wouldn't want to survive thanks to a plan like that.\The Kivotos Plan is top-secret...\If you learn any more, I'll have to arrest you.\I'm just in the way, anyhow.\Logical, logical... Time for Akari-chan to disappear!\Kivotos Plan response:	I'm a bad mother...
context: You mean the Globe Federation's unanimous agreement, not humanity's.\If nothing else, I wouldn't want to survive thanks to a plan like that.\The Kivotos Plan is top-secret...\If you learn any more, I'll have to arrest you.\I'm just in the way, anyhow.\Logical, logical... Time for Akari-chan to disappear!\Kivotos Plan\I'm a bad mother... response:	This is the Alpha sector surveillance footage.
context: If nothing else, I wouldn't want to survive thanks to a plan like that.\The Kivotos Plan is top-secret...\If you learn any more, I'll have to arrest you.\I'm just in the way, anyhow.\Logical, logical... Time for Akari-chan to disappear!\Kivotos Plan\I'm a bad mother...\This is the Alpha sector surveillance footage. response:	Since the battle, the Kiltgang Type-3 hasn't done anything
context: The Kivotos Plan is top-secret...\If you learn any more, I'll have to arrest you.\I'm just in the way, anyhow.\Logical, logical... Time for Akari-chan to disappear!\Kivotos Plan\I'm a bad mother...\This is the Alpha sector surveillance footage.\Since the battle, the Kiltgang Type-3 hasn't done anything response:	but float around this area.
context: If you learn any more, I'll have to arrest you.\I'm just in the way, anyhow.\Logical, logical... Time for Akari-chan to disappear!\Kivotos Plan\I'm a bad mother...\This is the Alpha sector surveillance footage.\Since the battle, the Kiltgang Type-3 hasn't done anything\but float around this area. response:	The Impacter Weinstock is currently deployed in that area.
context: I'm just in the way, anyhow.\Logical, logical... Time for Akari-chan to disappear!\Kivotos Plan\I'm a bad mother...\This is the Alpha sector surveillance footage.\Since the battle, the Kiltgang Type-3 hasn't done anything\but float around this area.\The Impacter Weinstock is currently deployed in that area. response:	Keep an eye on it.
context: Logical, logical... Time for Akari-chan to disappear!\Kivotos Plan\I'm a bad mother...\This is the Alpha sector surveillance footage.\Since the battle, the Kiltgang Type-3 hasn't done anything\but float around this area.\The Impacter Weinstock is currently deployed in that area.\Keep an eye on it. response:	Is it all right not to attack it?
context: Kivotos Plan\I'm a bad mother...\This is the Alpha sector surveillance footage.\Since the battle, the Kiltgang Type-3 hasn't done anything\but float around this area.\The Impacter Weinstock is currently deployed in that area.\Keep an eye on it.\Is it all right not to attack it? response:	For now, we'll just observe it.
context: I'm a bad mother...\This is the Alpha sector surveillance footage.\Since the battle, the Kiltgang Type-3 hasn't done anything\but float around this area.\The Impacter Weinstock is currently deployed in that area.\Keep an eye on it.\Is it all right not to attack it?\For now, we'll just observe it. response:	That is Globe HQ's decision.
context: This is the Alpha sector surveillance footage.\Since the battle, the Kiltgang Type-3 hasn't done anything\but float around this area.\The Impacter Weinstock is currently deployed in that area.\Keep an eye on it.\Is it all right not to attack it?\For now, we'll just observe it.\That is Globe HQ's decision. response:	Yes, it's Globe HQ's decision.
context: Since the battle, the Kiltgang Type-3 hasn't done anything\but float around this area.\The Impacter Weinstock is currently deployed in that area.\Keep an eye on it.\Is it all right not to attack it?\For now, we'll just observe it.\That is Globe HQ's decision.\Yes, it's Globe HQ's decision. response:	And his wish, as well.
context: but float around this area.\The Impacter Weinstock is currently deployed in that area.\Keep an eye on it.\Is it all right not to attack it?\For now, we'll just observe it.\That is Globe HQ's decision.\Yes, it's Globe HQ's decision.\And his wish, as well. response:	But the commander hasn't granted permission, right?
context: The Impacter Weinstock is currently deployed in that area.\Keep an eye on it.\Is it all right not to attack it?\For now, we'll just observe it.\That is Globe HQ's decision.\Yes, it's Globe HQ's decision.\And his wish, as well.\But the commander hasn't granted permission, right? response:	He impresses me.
context: Keep an eye on it.\Is it all right not to attack it?\For now, we'll just observe it.\That is Globe HQ's decision.\Yes, it's Globe HQ's decision.\And his wish, as well.\But the commander hasn't granted permission, right?\He impresses me. response:	Naturally, he isn't nearly as good as Teppei,
context: Is it all right not to attack it?\For now, we'll just observe it.\That is Globe HQ's decision.\Yes, it's Globe HQ's decision.\And his wish, as well.\But the commander hasn't granted permission, right?\He impresses me.\Naturally, he isn't nearly as good as Teppei, response:	but he's already mastered the basic controls.
context: For now, we'll just observe it.\That is Globe HQ's decision.\Yes, it's Globe HQ's decision.\And his wish, as well.\But the commander hasn't granted permission, right?\He impresses me.\Naturally, he isn't nearly as good as Teppei,\but he's already mastered the basic controls. response:	I've always been good at these games.
context: That is Globe HQ's decision.\Yes, it's Globe HQ's decision.\And his wish, as well.\But the commander hasn't granted permission, right?\He impresses me.\Naturally, he isn't nearly as good as Teppei,\but he's already mastered the basic controls.\I've always been good at these games. response:	It isn't a game.
context: Yes, it's Globe HQ's decision.\And his wish, as well.\But the commander hasn't granted permission, right?\He impresses me.\Naturally, he isn't nearly as good as Teppei,\but he's already mastered the basic controls.\I've always been good at these games.\It isn't a game. response:	I think he understands that better than we do.
context: And his wish, as well.\But the commander hasn't granted permission, right?\He impresses me.\Naturally, he isn't nearly as good as Teppei,\but he's already mastered the basic controls.\I've always been good at these games.\It isn't a game.\I think he understands that better than we do. response:	You've only recently joined Globe, so that's enough for today.
context: But the commander hasn't granted permission, right?\He impresses me.\Naturally, he isn't nearly as good as Teppei,\but he's already mastered the basic controls.\I've always been good at these games.\It isn't a game.\I think he understands that better than we do.\You've only recently joined Globe, so that's enough for today. response:	I'm still fine.
context: He impresses me.\Naturally, he isn't nearly as good as Teppei,\but he's already mastered the basic controls.\I've always been good at these games.\It isn't a game.\I think he understands that better than we do.\You've only recently joined Globe, so that's enough for today.\I'm still fine. response:	But she was so worried, she came to see you.
context: Naturally, he isn't nearly as good as Teppei,\but he's already mastered the basic controls.\I've always been good at these games.\It isn't a game.\I think he understands that better than we do.\You've only recently joined Globe, so that's enough for today.\I'm still fine.\But she was so worried, she came to see you. response:	After the Kivotos Plan members evacuate,
context: but he's already mastered the basic controls.\I've always been good at these games.\It isn't a game.\I think he understands that better than we do.\You've only recently joined Globe, so that's enough for today.\I'm still fine.\But she was so worried, she came to see you.\After the Kivotos Plan members evacuate, response:	the Kiltgang will destroy the remaining people on Earth.
context: I've always been good at these games.\It isn't a game.\I think he understands that better than we do.\You've only recently joined Globe, so that's enough for today.\I'm still fine.\But she was so worried, she came to see you.\After the Kivotos Plan members evacuate,\the Kiltgang will destroy the remaining people on Earth. response:	And once they're gone, the Kiltgang will leave the Solar System.
context: It isn't a game.\I think he understands that better than we do.\You've only recently joined Globe, so that's enough for today.\I'm still fine.\But she was so worried, she came to see you.\After the Kivotos Plan members evacuate,\the Kiltgang will destroy the remaining people on Earth.\And once they're gone, the Kiltgang will leave the Solar System. response:	Right?
context: I think he understands that better than we do.\You've only recently joined Globe, so that's enough for today.\I'm still fine.\But she was so worried, she came to see you.\After the Kivotos Plan members evacuate,\the Kiltgang will destroy the remaining people on Earth.\And once they're gone, the Kiltgang will leave the Solar System.\Right? response:	They're a kind of space vampire.
context: You've only recently joined Globe, so that's enough for today.\I'm still fine.\But she was so worried, she came to see you.\After the Kivotos Plan members evacuate,\the Kiltgang will destroy the remaining people on Earth.\And once they're gone, the Kiltgang will leave the Solar System.\Right?\They're a kind of space vampire. response:	If they require Orgone energy on a planetary scale,
context: I'm still fine.\But she was so worried, she came to see you.\After the Kivotos Plan members evacuate,\the Kiltgang will destroy the remaining people on Earth.\And once they're gone, the Kiltgang will leave the Solar System.\Right?\They're a kind of space vampire.\If they require Orgone energy on a planetary scale, response:	they're unlikely to remain here after nearly all humanity dies.
context: But she was so worried, she came to see you.\After the Kivotos Plan members evacuate,\the Kiltgang will destroy the remaining people on Earth.\And once they're gone, the Kiltgang will leave the Solar System.\Right?\They're a kind of space vampire.\If they require Orgone energy on a planetary scale,\they're unlikely to remain here after nearly all humanity dies. response:	You are the planet's most powerful electronic brain.
context: After the Kivotos Plan members evacuate,\the Kiltgang will destroy the remaining people on Earth.\And once they're gone, the Kiltgang will leave the Solar System.\Right?\They're a kind of space vampire.\If they require Orgone energy on a planetary scale,\they're unlikely to remain here after nearly all humanity dies.\You are the planet's most powerful electronic brain. response:	That's right.
context: the Kiltgang will destroy the remaining people on Earth.\And once they're gone, the Kiltgang will leave the Solar System.\Right?\They're a kind of space vampire.\If they require Orgone energy on a planetary scale,\they're unlikely to remain here after nearly all humanity dies.\You are the planet's most powerful electronic brain.\That's right. response:	Puck does not lie.
context: And once they're gone, the Kiltgang will leave the Solar System.\Right?\They're a kind of space vampire.\If they require Orgone energy on a planetary scale,\they're unlikely to remain here after nearly all humanity dies.\You are the planet's most powerful electronic brain.\That's right.\Puck does not lie. response:	I will use this unprecedented threat to Earth
context: Right?\They're a kind of space vampire.\If they require Orgone energy on a planetary scale,\they're unlikely to remain here after nearly all humanity dies.\You are the planet's most powerful electronic brain.\That's right.\Puck does not lie.\I will use this unprecedented threat to Earth response:	to make this planet a utopia,
context: They're a kind of space vampire.\If they require Orgone energy on a planetary scale,\they're unlikely to remain here after nearly all humanity dies.\You are the planet's most powerful electronic brain.\That's right.\Puck does not lie.\I will use this unprecedented threat to Earth\to make this planet a utopia, response:	with those people whom I've chosen.
context: If they require Orgone energy on a planetary scale,\they're unlikely to remain here after nearly all humanity dies.\You are the planet's most powerful electronic brain.\That's right.\Puck does not lie.\I will use this unprecedented threat to Earth\to make this planet a utopia,\with those people whom I've chosen. response:	This whole plot was written for me by the universe.
context: they're unlikely to remain here after nearly all humanity dies.\You are the planet's most powerful electronic brain.\That's right.\Puck does not lie.\I will use this unprecedented threat to Earth\to make this planet a utopia,\with those people whom I've chosen.\This whole plot was written for me by the universe. response:	Hey, Tsutomu...
context: You are the planet's most powerful electronic brain.\That's right.\Puck does not lie.\I will use this unprecedented threat to Earth\to make this planet a utopia,\with those people whom I've chosen.\This whole plot was written for me by the universe.\Hey, Tsutomu... response:	Hope means believing that the future will be better than today...
context: That's right.\Puck does not lie.\I will use this unprecedented threat to Earth\to make this planet a utopia,\with those people whom I've chosen.\This whole plot was written for me by the universe.\Hey, Tsutomu...\Hope means believing that the future will be better than today... response:	And real hope can only come from the choices you make!
context: Puck does not lie.\I will use this unprecedented threat to Earth\to make this planet a utopia,\with those people whom I've chosen.\This whole plot was written for me by the universe.\Hey, Tsutomu...\Hope means believing that the future will be better than today...\And real hope can only come from the choices you make! response:	Toshiaki-san...
context: I will use this unprecedented threat to Earth\to make this planet a utopia,\with those people whom I've chosen.\This whole plot was written for me by the universe.\Hey, Tsutomu...\Hope means believing that the future will be better than today...\And real hope can only come from the choices you make!\Toshiaki-san... response:	Where is Daichi?
context: to make this planet a utopia,\with those people whom I've chosen.\This whole plot was written for me by the universe.\Hey, Tsutomu...\Hope means believing that the future will be better than today...\And real hope can only come from the choices you make!\Toshiaki-san...\Where is Daichi? response:	Does your head still hurt?
context: with those people whom I've chosen.\This whole plot was written for me by the universe.\Hey, Tsutomu...\Hope means believing that the future will be better than today...\And real hope can only come from the choices you make!\Toshiaki-san...\Where is Daichi?\Does your head still hurt? response:	I'm fine now.
context: This whole plot was written for me by the universe.\Hey, Tsutomu...\Hope means believing that the future will be better than today...\And real hope can only come from the choices you make!\Toshiaki-san...\Where is Daichi?\Does your head still hurt?\I'm fine now. response:	Hey, Hana...
context: Hey, Tsutomu...\Hope means believing that the future will be better than today...\And real hope can only come from the choices you make!\Toshiaki-san...\Where is Daichi?\Does your head still hurt?\I'm fine now.\Hey, Hana... response:	Do you remember the first time we met?
context: Hope means believing that the future will be better than today...\And real hope can only come from the choices you make!\Toshiaki-san...\Where is Daichi?\Does your head still hurt?\I'm fine now.\Hey, Hana...\Do you remember the first time we met? response:	Yup.
context: And real hope can only come from the choices you make!\Toshiaki-san...\Where is Daichi?\Does your head still hurt?\I'm fine now.\Hey, Hana...\Do you remember the first time we met?\Yup. response:	And what you said then?
