context: Give it a rest. response:	You're the one who doesn't get it!
context: Let's make a break for it!\Up you go!\Put me down! I can run perfectly fine on my own!\Hey, Senpai!\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo response:	But when the dawn emerges in silence
context: Up you go!\Put me down! I can run perfectly fine on my own!\Hey, Senpai!\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence response:	But when the dawn emerges in silence
context: Put me down! I can run perfectly fine on my own!\Hey, Senpai!\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence response:	yoake no kehai ga shizuka ni michite
context: Hey, Senpai!\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite response:	yoake no kehai ga shizuka ni michite
context: Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite response:	And carries me up into the skies
context: Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies response:	And carries me up into the skies
context: kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies response:	watashi wo sora e maneku yo
context: kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo response:	watashi wo sora e maneku yo
context: But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo response:	Hope awaits on the other side
context: But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side response:	Hope awaits on the other side
context: yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side response:	kibou ga kanata de matteru
context: yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru response:	kibou ga kanata de matteru
context: And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru response:	So here I go
context: And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go response:	So here I go
context: watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go response:	sou da yo iku yo
context: watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo response:	sou da yo iku yo
context: Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo response:	I've been wandering, trying to find you
context: Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you response:	I've been wandering, trying to find you
context: kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you response:	mayoi nagara mo kimi wo sagasu tabi
context: kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi response:	mayoi nagara mo kimi wo sagasu tabi
context: So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi response:	We missed each other, but our hands touched
context: So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched response:	We missed each other, but our hands touched
context: sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched response:	surechigau ishiki te ga fureta yo ne
context: sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne response:	surechigau ishiki te ga fureta yo ne
context: I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne response:	I'll hold your hand tightly
context: I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly response:	I'll hold your hand tightly
context: mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly response:	tsukaemaeru yo shikkari
context: mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari response:	tsukaemaeru yo shikkari
context: We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari response:	Our mutual longing is
context: We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is response:	Our mutual longing is
context: surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is response:	motomeau kokoro
context: surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro response:	motomeau kokoro
context: I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro response:	The first step toward our dream
context: I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream response:	The first step toward our dream
context: tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream response:	sore wa yume no akashi
context: tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi response:	sore wa yume no akashi
context: Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi response:	We're drawn closer as we begin to accept each other
context: Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other response:	We're drawn closer as we begin to accept each other
context: motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other response:	tagai wo uketomeru tabi ni hikareteku
context: motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku response:	tagai wo uketomeru tabi ni hikareteku
context: The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku response:	We won't need to spend our days in sadness anymore
context: The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore response:	We won't need to spend our days in sadness anymore
context: sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore response:	kanashii hibi wa mou iranai
context: sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai response:	kanashii hibi wa mou iranai
context: We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai response:	Because we'll have a great time together
context: We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together response:	Because we'll have a great time together
context: tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together response:	tagai wo uketomete ikiru yorokobi ni
context: tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni response:	tagai wo uketomete ikiru yorokobi ni
context: We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni response:	That I'm sure the two of us will
context: We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will response:	That I'm sure the two of us will
context: kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will response:	kitto kitto futari
context: kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari response:	kitto kitto futari
context: Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari response:	Learn to appreciate
context: Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate response:	Learn to appreciate
context: tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate response:	mezameru yo
context: tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo response:	mezameru yo
context: That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo response:	What matters is that I've finally found you
context: That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you response:	What matters is that I've finally found you
context: kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you response:	mayoi nagara mo kimi wo mitsuketa yo
context: kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo response:	mayoi nagara mo kimi wo mitsuketa yo
context: Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo response:	Bitter Orange
context: Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Bitter Orange response:	Bitter Orange
context: mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Bitter Orange\Bitter Orange response:	Bitter Orange
context: mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Bitter Orange\Bitter Orange\Bitter Orange response:	Big Brother, I love you. Big Brother, I love you.
context: What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Bitter Orange\Bitter Orange\Bitter Orange\Big Brother, I love you. Big Brother, I love you. response:	Hello?
context: What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Bitter Orange\Bitter Orange\Bitter Orange\Big Brother, I love you. Big Brother, I love you.\Hello? response:	Change your ringtone this instant.
context: mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Bitter Orange\Bitter Orange\Bitter Orange\Big Brother, I love you. Big Brother, I love you.\Hello?\Change your ringtone this instant. response:	How did you know?
context: mayoi nagara mo kimi wo mitsuketa yo\Bitter Orange\Bitter Orange\Bitter Orange\Big Brother, I love you. Big Brother, I love you.\Hello?\Change your ringtone this instant.\How did you know? response:	It's the sort of thing you'd do.
context: Bitter Orange\Bitter Orange\Bitter Orange\Big Brother, I love you. Big Brother, I love you.\Hello?\Change your ringtone this instant.\How did you know?\It's the sort of thing you'd do. response:	What do you want?
context: Bitter Orange\Bitter Orange\Big Brother, I love you. Big Brother, I love you.\Hello?\Change your ringtone this instant.\How did you know?\It's the sort of thing you'd do.\What do you want? response:	Do you know where Akihito is?
context: Bitter Orange\Big Brother, I love you. Big Brother, I love you.\Hello?\Change your ringtone this instant.\How did you know?\It's the sort of thing you'd do.\What do you want?\Do you know where Akihito is? response:	No. Did you share information with Akkey?
context: Big Brother, I love you. Big Brother, I love you.\Hello?\Change your ringtone this instant.\How did you know?\It's the sort of thing you'd do.\What do you want?\Do you know where Akihito is?\No. Did you share information with Akkey? response:	Just a bit...
context: Hello?\Change your ringtone this instant.\How did you know?\It's the sort of thing you'd do.\What do you want?\Do you know where Akihito is?\No. Did you share information with Akkey?\Just a bit... response:	Without telling me?
context: Change your ringtone this instant.\How did you know?\It's the sort of thing you'd do.\What do you want?\Do you know where Akihito is?\No. Did you share information with Akkey?\Just a bit...\Without telling me? response:	I can't let that slide, you know?
context: How did you know?\It's the sort of thing you'd do.\What do you want?\Do you know where Akihito is?\No. Did you share information with Akkey?\Just a bit...\Without telling me?\I can't let that slide, you know? response:	I know!
context: It's the sort of thing you'd do.\What do you want?\Do you know where Akihito is?\No. Did you share information with Akkey?\Just a bit...\Without telling me?\I can't let that slide, you know?\I know! response:	Please, Big Brother!
context: What do you want?\Do you know where Akihito is?\No. Did you share information with Akkey?\Just a bit...\Without telling me?\I can't let that slide, you know?\I know!\Please, Big Brother! response:	All right.
context: Do you know where Akihito is?\No. Did you share information with Akkey?\Just a bit...\Without telling me?\I can't let that slide, you know?\I know!\Please, Big Brother!\All right. response:	Now then...
context: No. Did you share information with Akkey?\Just a bit...\Without telling me?\I can't let that slide, you know?\I know!\Please, Big Brother!\All right.\Now then... response:	It looks like it's passed.
context: Just a bit...\Without telling me?\I can't let that slide, you know?\I know!\Please, Big Brother!\All right.\Now then...\It looks like it's passed. response:	I certainly hope it has.
context: Without telling me?\I can't let that slide, you know?\I know!\Please, Big Brother!\All right.\Now then...\It looks like it's passed.\I certainly hope it has. response:	It's making a labyrinth based on our memories?
context: I can't let that slide, you know?\I know!\Please, Big Brother!\All right.\Now then...\It looks like it's passed.\I certainly hope it has.\It's making a labyrinth based on our memories? response:	Right. Ayaka-san warned me about this.
context: I know!\Please, Big Brother!\All right.\Now then...\It looks like it's passed.\I certainly hope it has.\It's making a labyrinth based on our memories?\Right. Ayaka-san warned me about this. response:	She said that it usually possesses people,
context: Please, Big Brother!\All right.\Now then...\It looks like it's passed.\I certainly hope it has.\It's making a labyrinth based on our memories?\Right. Ayaka-san warned me about this.\She said that it usually possesses people, response:	but it can also create labyrinths to trap us.
context: All right.\Now then...\It looks like it's passed.\I certainly hope it has.\It's making a labyrinth based on our memories?\Right. Ayaka-san warned me about this.\She said that it usually possesses people,\but it can also create labyrinths to trap us. response:	Okay...
context: Now then...\It looks like it's passed.\I certainly hope it has.\It's making a labyrinth based on our memories?\Right. Ayaka-san warned me about this.\She said that it usually possesses people,\but it can also create labyrinths to trap us.\Okay... response:	So, where are we headed?
context: It looks like it's passed.\I certainly hope it has.\It's making a labyrinth based on our memories?\Right. Ayaka-san warned me about this.\She said that it usually possesses people,\but it can also create labyrinths to trap us.\Okay...\So, where are we headed? response:	Dunno.
context: I certainly hope it has.\It's making a labyrinth based on our memories?\Right. Ayaka-san warned me about this.\She said that it usually possesses people,\but it can also create labyrinths to trap us.\Okay...\So, where are we headed?\Dunno. response:	What?
context: It's making a labyrinth based on our memories?\Right. Ayaka-san warned me about this.\She said that it usually possesses people,\but it can also create labyrinths to trap us.\Okay...\So, where are we headed?\Dunno.\What? response:	How should I know?
context: Right. Ayaka-san warned me about this.\She said that it usually possesses people,\but it can also create labyrinths to trap us.\Okay...\So, where are we headed?\Dunno.\What?\How should I know? response:	If either of us knew where to go, it would be you.
context: She said that it usually possesses people,\but it can also create labyrinths to trap us.\Okay...\So, where are we headed?\Dunno.\What?\How should I know?\If either of us knew where to go, it would be you. response:	How am I supposed to know?
context: but it can also create labyrinths to trap us.\Okay...\So, where are we headed?\Dunno.\What?\How should I know?\If either of us knew where to go, it would be you.\How am I supposed to know? response:	You came to fight without a plan?
context: Okay...\So, where are we headed?\Dunno.\What?\How should I know?\If either of us knew where to go, it would be you.\How am I supposed to know?\You came to fight without a plan? response:	O-Of course not!
context: So, where are we headed?\Dunno.\What?\How should I know?\If either of us knew where to go, it would be you.\How am I supposed to know?\You came to fight without a plan?\O-Of course not! response:	Yup, you didn't have a plan.
context: Dunno.\What?\How should I know?\If either of us knew where to go, it would be you.\How am I supposed to know?\You came to fight without a plan?\O-Of course not!\Yup, you didn't have a plan. response:	That's none of your concern!
context: What?\How should I know?\If either of us knew where to go, it would be you.\How am I supposed to know?\You came to fight without a plan?\O-Of course not!\Yup, you didn't have a plan.\That's none of your concern! response:	Why did you follow me, anyway?
context: How should I know?\If either of us knew where to go, it would be you.\How am I supposed to know?\You came to fight without a plan?\O-Of course not!\Yup, you didn't have a plan.\That's none of your concern!\Why did you follow me, anyway? response:	Because you're a bespectacled beauty!
context: If either of us knew where to go, it would be you.\How am I supposed to know?\You came to fight without a plan?\O-Of course not!\Yup, you didn't have a plan.\That's none of your concern!\Why did you follow me, anyway?\Because you're a bespectacled beauty! response:	That's unpleasant.
context: How am I supposed to know?\You came to fight without a plan?\O-Of course not!\Yup, you didn't have a plan.\That's none of your concern!\Why did you follow me, anyway?\Because you're a bespectacled beauty!\That's unpleasant. response:	Sakura!
context: You came to fight without a plan?\O-Of course not!\Yup, you didn't have a plan.\That's none of your concern!\Why did you follow me, anyway?\Because you're a bespectacled beauty!\That's unpleasant.\Sakura! response:	Did you think you could defeat the Hollow Shadow without a plan?
context: O-Of course not!\Yup, you didn't have a plan.\That's none of your concern!\Why did you follow me, anyway?\Because you're a bespectacled beauty!\That's unpleasant.\Sakura!\Did you think you could defeat the Hollow Shadow without a plan? response:	My plans got skewed!
context: Yup, you didn't have a plan.\That's none of your concern!\Why did you follow me, anyway?\Because you're a bespectacled beauty!\That's unpleasant.\Sakura!\Did you think you could defeat the Hollow Shadow without a plan?\My plans got skewed! response:	First you show up when no one asked you to, and now you're complaining?
context: That's none of your concern!\Why did you follow me, anyway?\Because you're a bespectacled beauty!\That's unpleasant.\Sakura!\Did you think you could defeat the Hollow Shadow without a plan?\My plans got skewed!\First you show up when no one asked you to, and now you're complaining? response:	No one asked me?!
context: Why did you follow me, anyway?\Because you're a bespectacled beauty!\That's unpleasant.\Sakura!\Did you think you could defeat the Hollow Shadow without a plan?\My plans got skewed!\First you show up when no one asked you to, and now you're complaining?\No one asked me?! response:	Then you should have kept that story to yourself and come alone!
context: Because you're a bespectacled beauty!\That's unpleasant.\Sakura!\Did you think you could defeat the Hollow Shadow without a plan?\My plans got skewed!\First you show up when no one asked you to, and now you're complaining?\No one asked me?!\Then you should have kept that story to yourself and come alone! response:	I never asked you to look into my past or wait for me outside of my apartment, did I?!
