context: Once upon a time, there was a man who died. response:	The man's work was to write and tell stories, but he could not defy death.
context: Huh?\'The Duck and the Prince'\To the girls' dormitory at Gold Crown Academy\it's come, it's come again today, the morning has\The dream I had, the weird dream...\Morning! Whoa! Ow! Ow!\Wait, wait!\I said, wait! response:	Oh, Java, your leg is all better.
context: 'The Duck and the Prince'\To the girls' dormitory at Gold Crown Academy\it's come, it's come again today, the morning has\The dream I had, the weird dream...\Morning! Whoa! Ow! Ow!\Wait, wait!\I said, wait!\Oh, Java, your leg is all better. response:	Hey, Tiel, you're not allowed to gobble it all up.
context: To the girls' dormitory at Gold Crown Academy\it's come, it's come again today, the morning has\The dream I had, the weird dream...\Morning! Whoa! Ow! Ow!\Wait, wait!\I said, wait!\Oh, Java, your leg is all better.\Hey, Tiel, you're not allowed to gobble it all up. response:	Oh, Canary Mom, your kids are leaving the nest soon, aren't they?
context: it's come, it's come again today, the morning has\The dream I had, the weird dream...\Morning! Whoa! Ow! Ow!\Wait, wait!\I said, wait!\Oh, Java, your leg is all better.\Hey, Tiel, you're not allowed to gobble it all up.\Oh, Canary Mom, your kids are leaving the nest soon, aren't they? response:	When they learn how to fly, bring them with you, okay?!
context: The dream I had, the weird dream...\Morning! Whoa! Ow! Ow!\Wait, wait!\I said, wait!\Oh, Java, your leg is all better.\Hey, Tiel, you're not allowed to gobble it all up.\Oh, Canary Mom, your kids are leaving the nest soon, aren't they?\When they learn how to fly, bring them with you, okay?! response:	By the way, what was Mytho-senpai doing?
context: Morning! Whoa! Ow! Ow!\Wait, wait!\I said, wait!\Oh, Java, your leg is all better.\Hey, Tiel, you're not allowed to gobble it all up.\Oh, Canary Mom, your kids are leaving the nest soon, aren't they?\When they learn how to fly, bring them with you, okay?!\By the way, what was Mytho-senpai doing? response:	Last night's dream was another good one.
context: Wait, wait!\I said, wait!\Oh, Java, your leg is all better.\Hey, Tiel, you're not allowed to gobble it all up.\Oh, Canary Mom, your kids are leaving the nest soon, aren't they?\When they learn how to fly, bring them with you, okay?!\By the way, what was Mytho-senpai doing?\Last night's dream was another good one. response:	Me being a duck really sucked as always, but I got to see Mytho-senpai again after all.
context: I said, wait!\Oh, Java, your leg is all better.\Hey, Tiel, you're not allowed to gobble it all up.\Oh, Canary Mom, your kids are leaving the nest soon, aren't they?\When they learn how to fly, bring them with you, okay?!\By the way, what was Mytho-senpai doing?\Last night's dream was another good one.\Me being a duck really sucked as always, but I got to see Mytho-senpai again after all. response:	Him being the prince was almost too perfect.
context: Oh, Java, your leg is all better.\Hey, Tiel, you're not allowed to gobble it all up.\Oh, Canary Mom, your kids are leaving the nest soon, aren't they?\When they learn how to fly, bring them with you, okay?!\By the way, what was Mytho-senpai doing?\Last night's dream was another good one.\Me being a duck really sucked as always, but I got to see Mytho-senpai again after all.\Him being the prince was almost too perfect. response:	Mytho-senpai, good morning.
context: Hey, Tiel, you're not allowed to gobble it all up.\Oh, Canary Mom, your kids are leaving the nest soon, aren't they?\When they learn how to fly, bring them with you, okay?!\By the way, what was Mytho-senpai doing?\Last night's dream was another good one.\Me being a duck really sucked as always, but I got to see Mytho-senpai again after all.\Him being the prince was almost too perfect.\Mytho-senpai, good morning. response:	The school bell?
context: Oh, Canary Mom, your kids are leaving the nest soon, aren't they?\When they learn how to fly, bring them with you, okay?!\By the way, what was Mytho-senpai doing?\Last night's dream was another good one.\Me being a duck really sucked as always, but I got to see Mytho-senpai again after all.\Him being the prince was almost too perfect.\Mytho-senpai, good morning.\The school bell? response:	This is terrible! Oh, why didn't you wake me up?!
context: When they learn how to fly, bring them with you, okay?!\By the way, what was Mytho-senpai doing?\Last night's dream was another good one.\Me being a duck really sucked as always, but I got to see Mytho-senpai again after all.\Him being the prince was almost too perfect.\Mytho-senpai, good morning.\The school bell?\This is terrible! Oh, why didn't you wake me up?! response:	Pike and Lilie, you meanies!
context: By the way, what was Mytho-senpai doing?\Last night's dream was another good one.\Me being a duck really sucked as always, but I got to see Mytho-senpai again after all.\Him being the prince was almost too perfect.\Mytho-senpai, good morning.\The school bell?\This is terrible! Oh, why didn't you wake me up?!\Pike and Lilie, you meanies! response:	Pike here.
context: Last night's dream was another good one.\Me being a duck really sucked as always, but I got to see Mytho-senpai again after all.\Him being the prince was almost too perfect.\Mytho-senpai, good morning.\The school bell?\This is terrible! Oh, why didn't you wake me up?!\Pike and Lilie, you meanies!\Pike here. response:	Lilie here.
context: Me being a duck really sucked as always, but I got to see Mytho-senpai again after all.\Him being the prince was almost too perfect.\Mytho-senpai, good morning.\The school bell?\This is terrible! Oh, why didn't you wake me up?!\Pike and Lilie, you meanies!\Pike here.\Lilie here. response:	But, it's still 6 o'clock.
context: Him being the prince was almost too perfect.\Mytho-senpai, good morning.\The school bell?\This is terrible! Oh, why didn't you wake me up?!\Pike and Lilie, you meanies!\Pike here.\Lilie here.\But, it's still 6 o'clock. response:	Scatterbrained as usual. She's so cute!
context: Mytho-senpai, good morning.\The school bell?\This is terrible! Oh, why didn't you wake me up?!\Pike and Lilie, you meanies!\Pike here.\Lilie here.\But, it's still 6 o'clock.\Scatterbrained as usual. She's so cute! response:	Oh, I'm Ahiru.
context: The school bell?\This is terrible! Oh, why didn't you wake me up?!\Pike and Lilie, you meanies!\Pike here.\Lilie here.\But, it's still 6 o'clock.\Scatterbrained as usual. She's so cute!\Oh, I'm Ahiru. response:	My name is Ahiru.
context: This is terrible! Oh, why didn't you wake me up?!\Pike and Lilie, you meanies!\Pike here.\Lilie here.\But, it's still 6 o'clock.\Scatterbrained as usual. She's so cute!\Oh, I'm Ahiru.\My name is Ahiru. response:	Maybe that's why I have dreams like that.
context: Pike and Lilie, you meanies!\Pike here.\Lilie here.\But, it's still 6 o'clock.\Scatterbrained as usual. She's so cute!\Oh, I'm Ahiru.\My name is Ahiru.\Maybe that's why I have dreams like that. response:	Oh, my dear Mytho-senpai.
context: Pike here.\Lilie here.\But, it's still 6 o'clock.\Scatterbrained as usual. She's so cute!\Oh, I'm Ahiru.\My name is Ahiru.\Maybe that's why I have dreams like that.\Oh, my dear Mytho-senpai. response:	lf I could dance a pas de deux with you, even just once...
context: Lilie here.\But, it's still 6 o'clock.\Scatterbrained as usual. She's so cute!\Oh, I'm Ahiru.\My name is Ahiru.\Maybe that's why I have dreams like that.\Oh, my dear Mytho-senpai.\lf I could dance a pas de deux with you, even just once... response:	lf I got to...
context: But, it's still 6 o'clock.\Scatterbrained as usual. She's so cute!\Oh, I'm Ahiru.\My name is Ahiru.\Maybe that's why I have dreams like that.\Oh, my dear Mytho-senpai.\lf I could dance a pas de deux with you, even just once...\lf I got to... response:	I'd give my life for that.
context: Scatterbrained as usual. She's so cute!\Oh, I'm Ahiru.\My name is Ahiru.\Maybe that's why I have dreams like that.\Oh, my dear Mytho-senpai.\lf I could dance a pas de deux with you, even just once...\lf I got to...\I'd give my life for that. response:	I'm so sorry for being late.
context: Oh, I'm Ahiru.\My name is Ahiru.\Maybe that's why I have dreams like that.\Oh, my dear Mytho-senpai.\lf I could dance a pas de deux with you, even just once...\lf I got to...\I'd give my life for that.\I'm so sorry for being late. response:	Huh?
context: My name is Ahiru.\Maybe that's why I have dreams like that.\Oh, my dear Mytho-senpai.\lf I could dance a pas de deux with you, even just once...\lf I got to...\I'd give my life for that.\I'm so sorry for being late.\Huh? response:	There's no one here.
context: Maybe that's why I have dreams like that.\Oh, my dear Mytho-senpai.\lf I could dance a pas de deux with you, even just once...\lf I got to...\I'd give my life for that.\I'm so sorry for being late.\Huh?\There's no one here. response:	Why?
context: Oh, my dear Mytho-senpai.\lf I could dance a pas de deux with you, even just once...\lf I got to...\I'd give my life for that.\I'm so sorry for being late.\Huh?\There's no one here.\Why? response:	Mytho-senpai...
context: lf I could dance a pas de deux with you, even just once...\lf I got to...\I'd give my life for that.\I'm so sorry for being late.\Huh?\There's no one here.\Why?\Mytho-senpai... response:	Oh, I'm sorry! l... um... well...
context: lf I got to...\I'd give my life for that.\I'm so sorry for being late.\Huh?\There's no one here.\Why?\Mytho-senpai...\Oh, I'm sorry! l... um... well... response:	Am I dis... disturbing you?
context: I'd give my life for that.\I'm so sorry for being late.\Huh?\There's no one here.\Why?\Mytho-senpai...\Oh, I'm sorry! l... um... well...\Am I dis... disturbing you? response:	I am disturbing you, aren't l? Aren't l? Aren't l? Aren't l?
context: I'm so sorry for being late.\Huh?\There's no one here.\Why?\Mytho-senpai...\Oh, I'm sorry! l... um... well...\Am I dis... disturbing you?\I am disturbing you, aren't l? Aren't l? Aren't l? Aren't l? response:	Please excuse me! I will leave right away!
context: Huh?\There's no one here.\Why?\Mytho-senpai...\Oh, I'm sorry! l... um... well...\Am I dis... disturbing you?\I am disturbing you, aren't l? Aren't l? Aren't l? Aren't l?\Please excuse me! I will leave right away! response:	My body's like all jumbled up...
context: There's no one here.\Why?\Mytho-senpai...\Oh, I'm sorry! l... um... well...\Am I dis... disturbing you?\I am disturbing you, aren't l? Aren't l? Aren't l? Aren't l?\Please excuse me! I will leave right away!\My body's like all jumbled up... response:	Rather, like I'm going to trip, like I'm going to trip... My feet, my feet, my feet!
context: Why?\Mytho-senpai...\Oh, I'm sorry! l... um... well...\Am I dis... disturbing you?\I am disturbing you, aren't l? Aren't l? Aren't l? Aren't l?\Please excuse me! I will leave right away!\My body's like all jumbled up...\Rather, like I'm going to trip, like I'm going to trip... My feet, my feet, my feet! response:	I tripped...
context: Mytho-senpai...\Oh, I'm sorry! l... um... well...\Am I dis... disturbing you?\I am disturbing you, aren't l? Aren't l? Aren't l? Aren't l?\Please excuse me! I will leave right away!\My body's like all jumbled up...\Rather, like I'm going to trip, like I'm going to trip... My feet, my feet, my feet!\I tripped... response:	Mytho-senpai is... with Mytho-senpai... is Mytho-senpai...
context: Oh, I'm sorry! l... um... well...\Am I dis... disturbing you?\I am disturbing you, aren't l? Aren't l? Aren't l? Aren't l?\Please excuse me! I will leave right away!\My body's like all jumbled up...\Rather, like I'm going to trip, like I'm going to trip... My feet, my feet, my feet!\I tripped...\Mytho-senpai is... with Mytho-senpai... is Mytho-senpai... response:	Mytho-senpai too... to Mytho-senpai... if Mytho-senpai...
context: Am I dis... disturbing you?\I am disturbing you, aren't l? Aren't l? Aren't l? Aren't l?\Please excuse me! I will leave right away!\My body's like all jumbled up...\Rather, like I'm going to trip, like I'm going to trip... My feet, my feet, my feet!\I tripped...\Mytho-senpai is... with Mytho-senpai... is Mytho-senpai...\Mytho-senpai too... to Mytho-senpai... if Mytho-senpai... response:	My...tho...senpai.
context: I am disturbing you, aren't l? Aren't l? Aren't l? Aren't l?\Please excuse me! I will leave right away!\My body's like all jumbled up...\Rather, like I'm going to trip, like I'm going to trip... My feet, my feet, my feet!\I tripped...\Mytho-senpai is... with Mytho-senpai... is Mytho-senpai...\Mytho-senpai too... to Mytho-senpai... if Mytho-senpai...\My...tho...senpai. response:	Wow, what beautiful eyes. I feel like I'll get drawn in.
context: Please excuse me! I will leave right away!\My body's like all jumbled up...\Rather, like I'm going to trip, like I'm going to trip... My feet, my feet, my feet!\I tripped...\Mytho-senpai is... with Mytho-senpai... is Mytho-senpai...\Mytho-senpai too... to Mytho-senpai... if Mytho-senpai...\My...tho...senpai.\Wow, what beautiful eyes. I feel like I'll get drawn in. response:	But they look so lonely.
context: My body's like all jumbled up...\Rather, like I'm going to trip, like I'm going to trip... My feet, my feet, my feet!\I tripped...\Mytho-senpai is... with Mytho-senpai... is Mytho-senpai...\Mytho-senpai too... to Mytho-senpai... if Mytho-senpai...\My...tho...senpai.\Wow, what beautiful eyes. I feel like I'll get drawn in.\But they look so lonely. response:	It's like he's the prince I saw in my dreams.
context: Rather, like I'm going to trip, like I'm going to trip... My feet, my feet, my feet!\I tripped...\Mytho-senpai is... with Mytho-senpai... is Mytho-senpai...\Mytho-senpai too... to Mytho-senpai... if Mytho-senpai...\My...tho...senpai.\Wow, what beautiful eyes. I feel like I'll get drawn in.\But they look so lonely.\It's like he's the prince I saw in my dreams. response:	Ka...
context: I tripped...\Mytho-senpai is... with Mytho-senpai... is Mytho-senpai...\Mytho-senpai too... to Mytho-senpai... if Mytho-senpai...\My...tho...senpai.\Wow, what beautiful eyes. I feel like I'll get drawn in.\But they look so lonely.\It's like he's the prince I saw in my dreams.\Ka... response:	Kakakakakakakakakaka, hie, ho, ha, he, ro, hin, ma, ka, me, so...
context: Mytho-senpai is... with Mytho-senpai... is Mytho-senpai...\Mytho-senpai too... to Mytho-senpai... if Mytho-senpai...\My...tho...senpai.\Wow, what beautiful eyes. I feel like I'll get drawn in.\But they look so lonely.\It's like he's the prince I saw in my dreams.\Ka...\Kakakakakakakakakaka, hie, ho, ha, he, ro, hin, ma, ka, me, so... response:	I'm so sorry, I'm so sorry!
context: Mytho-senpai too... to Mytho-senpai... if Mytho-senpai...\My...tho...senpai.\Wow, what beautiful eyes. I feel like I'll get drawn in.\But they look so lonely.\It's like he's the prince I saw in my dreams.\Ka...\Kakakakakakakakakaka, hie, ho, ha, he, ro, hin, ma, ka, me, so...\I'm so sorry, I'm so sorry! response:	I've troubled you so terribly much!
context: My...tho...senpai.\Wow, what beautiful eyes. I feel like I'll get drawn in.\But they look so lonely.\It's like he's the prince I saw in my dreams.\Ka...\Kakakakakakakakakaka, hie, ho, ha, he, ro, hin, ma, ka, me, so...\I'm so sorry, I'm so sorry!\I've troubled you so terribly much! response:	I'm really a scatterbrain and I'm so bad about things, and I'm always too hasty,
context: Wow, what beautiful eyes. I feel like I'll get drawn in.\But they look so lonely.\It's like he's the prince I saw in my dreams.\Ka...\Kakakakakakakakakaka, hie, ho, ha, he, ro, hin, ma, ka, me, so...\I'm so sorry, I'm so sorry!\I've troubled you so terribly much!\I'm really a scatterbrain and I'm so bad about things, and I'm always too hasty, response:	and Pike and Lilie say I sound like a duck, so I'm weird!
context: But they look so lonely.\It's like he's the prince I saw in my dreams.\Ka...\Kakakakakakakakakaka, hie, ho, ha, he, ro, hin, ma, ka, me, so...\I'm so sorry, I'm so sorry!\I've troubled you so terribly much!\I'm really a scatterbrain and I'm so bad about things, and I'm always too hasty,\and Pike and Lilie say I sound like a duck, so I'm weird! response:	I'm weird, aren't l?!
context: It's like he's the prince I saw in my dreams.\Ka...\Kakakakakakakakakaka, hie, ho, ha, he, ro, hin, ma, ka, me, so...\I'm so sorry, I'm so sorry!\I've troubled you so terribly much!\I'm really a scatterbrain and I'm so bad about things, and I'm always too hasty,\and Pike and Lilie say I sound like a duck, so I'm weird!\I'm weird, aren't l?! response:	I think I'm weird myself too.
context: Ka...\Kakakakakakakakakaka, hie, ho, ha, he, ro, hin, ma, ka, me, so...\I'm so sorry, I'm so sorry!\I've troubled you so terribly much!\I'm really a scatterbrain and I'm so bad about things, and I'm always too hasty,\and Pike and Lilie say I sound like a duck, so I'm weird!\I'm weird, aren't l?!\I think I'm weird myself too. response:	Not really.
context: Kakakakakakakakakaka, hie, ho, ha, he, ro, hin, ma, ka, me, so...\I'm so sorry, I'm so sorry!\I've troubled you so terribly much!\I'm really a scatterbrain and I'm so bad about things, and I'm always too hasty,\and Pike and Lilie say I sound like a duck, so I'm weird!\I'm weird, aren't l?!\I think I'm weird myself too.\Not really. response:	What? I'm not weird?
context: I'm so sorry, I'm so sorry!\I've troubled you so terribly much!\I'm really a scatterbrain and I'm so bad about things, and I'm always too hasty,\and Pike and Lilie say I sound like a duck, so I'm weird!\I'm weird, aren't l?!\I think I'm weird myself too.\Not really.\What? I'm not weird? response:	Not really.
context: I've troubled you so terribly much!\I'm really a scatterbrain and I'm so bad about things, and I'm always too hasty,\and Pike and Lilie say I sound like a duck, so I'm weird!\I'm weird, aren't l?!\I think I'm weird myself too.\Not really.\What? I'm not weird?\Not really. response:	No one's ever said that to me.
context: I'm really a scatterbrain and I'm so bad about things, and I'm always too hasty,\and Pike and Lilie say I sound like a duck, so I'm weird!\I'm weird, aren't l?!\I think I'm weird myself too.\Not really.\What? I'm not weird?\Not really.\No one's ever said that to me. response:	Hey.
context: and Pike and Lilie say I sound like a duck, so I'm weird!\I'm weird, aren't l?!\I think I'm weird myself too.\Not really.\What? I'm not weird?\Not really.\No one's ever said that to me.\Hey. response:	Fakir...
context: I'm weird, aren't l?!\I think I'm weird myself too.\Not really.\What? I'm not weird?\Not really.\No one's ever said that to me.\Hey.\Fakir... response:	Fakir-senpai?
context: I think I'm weird myself too.\Not really.\What? I'm not weird?\Not really.\No one's ever said that to me.\Hey.\Fakir...\Fakir-senpai? response:	I told you to let me know when you go out, didn't l?
context: Not really.\What? I'm not weird?\Not really.\No one's ever said that to me.\Hey.\Fakir...\Fakir-senpai?\I told you to let me know when you go out, didn't l? response:	I know.
context: What? I'm not weird?\Not really.\No one's ever said that to me.\Hey.\Fakir...\Fakir-senpai?\I told you to let me know when you go out, didn't l?\I know. response:	We're going. Stand up.
context: Not really.\No one's ever said that to me.\Hey.\Fakir...\Fakir-senpai?\I told you to let me know when you go out, didn't l?\I know.\We're going. Stand up. response:	What's wrong?
context: No one's ever said that to me.\Hey.\Fakir...\Fakir-senpai?\I told you to let me know when you go out, didn't l?\I know.\We're going. Stand up.\What's wrong? response:	My foot...
context: Hey.\Fakir...\Fakir-senpai?\I told you to let me know when you go out, didn't l?\I know.\We're going. Stand up.\What's wrong?\My foot... response:	Foot? Did you twist it?
context: Fakir...\Fakir-senpai?\I told you to let me know when you go out, didn't l?\I know.\We're going. Stand up.\What's wrong?\My foot...\Foot? Did you twist it? response:	Yes.
context: Fakir-senpai?\I told you to let me know when you go out, didn't l?\I know.\We're going. Stand up.\What's wrong?\My foot...\Foot? Did you twist it?\Yes. response:	You idiot.
context: I told you to let me know when you go out, didn't l?\I know.\We're going. Stand up.\What's wrong?\My foot...\Foot? Did you twist it?\Yes.\You idiot. response:	What? WHAT?!
context: I know.\We're going. Stand up.\What's wrong?\My foot...\Foot? Did you twist it?\Yes.\You idiot.\What? WHAT?! response:	Um, well, it's my fault.
context: We're going. Stand up.\What's wrong?\My foot...\Foot? Did you twist it?\Yes.\You idiot.\What? WHAT?!\Um, well, it's my fault. response:	He saved me when I tripped and...
context: What's wrong?\My foot...\Foot? Did you twist it?\Yes.\You idiot.\What? WHAT?!\Um, well, it's my fault.\He saved me when I tripped and... response:	What are you doing, you idiot? Doing pointless things like that.
context: My foot...\Foot? Did you twist it?\Yes.\You idiot.\What? WHAT?!\Um, well, it's my fault.\He saved me when I tripped and...\What are you doing, you idiot? Doing pointless things like that. response:	So like I said, he was protecting me...
context: Foot? Did you twist it?\Yes.\You idiot.\What? WHAT?!\Um, well, it's my fault.\He saved me when I tripped and...\What are you doing, you idiot? Doing pointless things like that.\So like I said, he was protecting me... response:	That's why I said it was pointless.
context: Yes.\You idiot.\What? WHAT?!\Um, well, it's my fault.\He saved me when I tripped and...\What are you doing, you idiot? Doing pointless things like that.\So like I said, he was protecting me...\That's why I said it was pointless. response:	Stand up. We're going back to the dormitory.
context: You idiot.\What? WHAT?!\Um, well, it's my fault.\He saved me when I tripped and...\What are you doing, you idiot? Doing pointless things like that.\So like I said, he was protecting me...\That's why I said it was pointless.\Stand up. We're going back to the dormitory. response:	You don't have to be so rough with him!
context: What? WHAT?!\Um, well, it's my fault.\He saved me when I tripped and...\What are you doing, you idiot? Doing pointless things like that.\So like I said, he was protecting me...\That's why I said it was pointless.\Stand up. We're going back to the dormitory.\You don't have to be so rough with him! response:	Shut up!
context: Um, well, it's my fault.\He saved me when I tripped and...\What are you doing, you idiot? Doing pointless things like that.\So like I said, he was protecting me...\That's why I said it was pointless.\Stand up. We're going back to the dormitory.\You don't have to be so rough with him!\Shut up! response:	Pointless... well, sure, maybe, but he didn't have to say it so bluntly.
