context: There's nothing in there. Both pockets are empty. response:	Other than this piece of paper...
context: Blam\J-Josuke!\July 15th (Thurs) 12:42 PM\Now you've done it!\You should really be more careful.\I told you that the floor up here was burnt, too, didn't I?\I don't see anything out of the ordinary.\It's a perfectly fine back... response:	I-It's over... I'm finished...
context: J-Josuke!\July 15th (Thurs) 12:42 PM\Now you've done it!\You should really be more careful.\I told you that the floor up here was burnt, too, didn't I?\I don't see anything out of the ordinary.\It's a perfectly fine back...\I-It's over... I'm finished... response:	I don't know why,
context: July 15th (Thurs) 12:42 PM\Now you've done it!\You should really be more careful.\I told you that the floor up here was burnt, too, didn't I?\I don't see anything out of the ordinary.\It's a perfectly fine back...\I-It's over... I'm finished...\I don't know why, response:	but I have this fear that if someone sees it, it's all over!
context: Now you've done it!\You should really be more careful.\I told you that the floor up here was burnt, too, didn't I?\I don't see anything out of the ordinary.\It's a perfectly fine back...\I-It's over... I'm finished...\I don't know why,\but I have this fear that if someone sees it, it's all over! response:	H-Hey...
context: You should really be more careful.\I told you that the floor up here was burnt, too, didn't I?\I don't see anything out of the ordinary.\It's a perfectly fine back...\I-It's over... I'm finished...\I don't know why,\but I have this fear that if someone sees it, it's all over!\H-Hey... response:	I'm already finished!
context: I told you that the floor up here was burnt, too, didn't I?\I don't see anything out of the ordinary.\It's a perfectly fine back...\I-It's over... I'm finished...\I don't know why,\but I have this fear that if someone sees it, it's all over!\H-Hey...\I'm already finished! response:	C-Calm down.
context: I don't see anything out of the ordinary.\It's a perfectly fine back...\I-It's over... I'm finished...\I don't know why,\but I have this fear that if someone sees it, it's all over!\H-Hey...\I'm already finished!\C-Calm down. response:	I'm sorry.
context: It's a perfectly fine back...\I-It's over... I'm finished...\I don't know why,\but I have this fear that if someone sees it, it's all over!\H-Hey...\I'm already finished!\C-Calm down.\I'm sorry. response:	I just couldn't hold back my curiosity...
context: I-It's over... I'm finished...\I don't know why,\but I have this fear that if someone sees it, it's all over!\H-Hey...\I'm already finished!\C-Calm down.\I'm sorry.\I just couldn't hold back my curiosity... response:	What?!
context: I don't know why,\but I have this fear that if someone sees it, it's all over!\H-Hey...\I'm already finished!\C-Calm down.\I'm sorry.\I just couldn't hold back my curiosity...\What?! response:	That's a Stand attack!
context: but I have this fear that if someone sees it, it's all over!\H-Hey...\I'm already finished!\C-Calm down.\I'm sorry.\I just couldn't hold back my curiosity...\What?!\That's a Stand attack! response:	There's a Stand on his back?!
context: H-Hey...\I'm already finished!\C-Calm down.\I'm sorry.\I just couldn't hold back my curiosity...\What?!\That's a Stand attack!\There's a Stand on his back?! response:	If there is, then even if I read him with Heaven's Door...
context: I'm already finished!\C-Calm down.\I'm sorry.\I just couldn't hold back my curiosity...\What?!\That's a Stand attack!\There's a Stand on his back?!\If there is, then even if I read him with Heaven's Door... response:	I see. No wonder there was nothing written.
context: C-Calm down.\I'm sorry.\I just couldn't hold back my curiosity...\What?!\That's a Stand attack!\There's a Stand on his back?!\If there is, then even if I read him with Heaven's Door...\I see. No wonder there was nothing written. response:	This architect had already been attacked before he came here.
context: I'm sorry.\I just couldn't hold back my curiosity...\What?!\That's a Stand attack!\There's a Stand on his back?!\If there is, then even if I read him with Heaven's Door...\I see. No wonder there was nothing written.\This architect had already been attacked before he came here. response:	This architect was a victim
context: I just couldn't hold back my curiosity...\What?!\That's a Stand attack!\There's a Stand on his back?!\If there is, then even if I read him with Heaven's Door...\I see. No wonder there was nothing written.\This architect had already been attacked before he came here.\This architect was a victim response:	of the enemy Stand that's going to attack me.
context: What?!\That's a Stand attack!\There's a Stand on his back?!\If there is, then even if I read him with Heaven's Door...\I see. No wonder there was nothing written.\This architect had already been attacked before he came here.\This architect was a victim\of the enemy Stand that's going to attack me. response:	Carry me on your back.
context: That's a Stand attack!\There's a Stand on his back?!\If there is, then even if I read him with Heaven's Door...\I see. No wonder there was nothing written.\This architect had already been attacked before he came here.\This architect was a victim\of the enemy Stand that's going to attack me.\Carry me on your back. response:	It's here! The enemy Stand is here!
context: There's a Stand on his back?!\If there is, then even if I read him with Heaven's Door...\I see. No wonder there was nothing written.\This architect had already been attacked before he came here.\This architect was a victim\of the enemy Stand that's going to attack me.\Carry me on your back.\It's here! The enemy Stand is here! response:	Carry me on your back. Okay?
context: If there is, then even if I read him with Heaven's Door...\I see. No wonder there was nothing written.\This architect had already been attacked before he came here.\This architect was a victim\of the enemy Stand that's going to attack me.\Carry me on your back.\It's here! The enemy Stand is here!\Carry me on your back. Okay? response:	Carry me on your back.
context: I see. No wonder there was nothing written.\This architect had already been attacked before he came here.\This architect was a victim\of the enemy Stand that's going to attack me.\Carry me on your back.\It's here! The enemy Stand is here!\Carry me on your back. Okay?\Carry me on your back. response:	On your back... Carry me on your back, okay?
context: This architect had already been attacked before he came here.\This architect was a victim\of the enemy Stand that's going to attack me.\Carry me on your back.\It's here! The enemy Stand is here!\Carry me on your back. Okay?\Carry me on your back.\On your back... Carry me on your back, okay? response:	Jojo's Bizarre Adventure
context: This architect was a victim\of the enemy Stand that's going to attack me.\Carry me on your back.\It's here! The enemy Stand is here!\Carry me on your back. Okay?\Carry me on your back.\On your back... Carry me on your back, okay?\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: of the enemy Stand that's going to attack me.\Carry me on your back.\It's here! The enemy Stand is here!\Carry me on your back. Okay?\Carry me on your back.\On your back... Carry me on your back, okay?\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	July 15th (Thurs) 1:39 PM
context: Carry me on your back.\It's here! The enemy Stand is here!\Carry me on your back. Okay?\Carry me on your back.\On your back... Carry me on your back, okay?\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 1:39 PM response:	These are all the people missing from Morioh, including runaways.
context: It's here! The enemy Stand is here!\Carry me on your back. Okay?\Carry me on your back.\On your back... Carry me on your back, okay?\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 1:39 PM\These are all the people missing from Morioh, including runaways. response:	Episode 33 July 15th (Thurs), Part 3
context: Carry me on your back. Okay?\Carry me on your back.\On your back... Carry me on your back, okay?\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 1:39 PM\These are all the people missing from Morioh, including runaways.\Episode 33 July 15th (Thurs), Part 3 response:	These are all from after Kira disappeared, so there aren't that many.
context: Carry me on your back.\On your back... Carry me on your back, okay?\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 1:39 PM\These are all the people missing from Morioh, including runaways.\Episode 33 July 15th (Thurs), Part 3\These are all from after Kira disappeared, so there aren't that many. response:	So there's a possibility that Kira's victims might be among them.
context: On your back... Carry me on your back, okay?\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 1:39 PM\These are all the people missing from Morioh, including runaways.\Episode 33 July 15th (Thurs), Part 3\These are all from after Kira disappeared, so there aren't that many.\So there's a possibility that Kira's victims might be among them. response:	I'm not sure about that, but the possibility exists.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 1:39 PM\These are all the people missing from Morioh, including runaways.\Episode 33 July 15th (Thurs), Part 3\These are all from after Kira disappeared, so there aren't that many.\So there's a possibility that Kira's victims might be among them.\I'm not sure about that, but the possibility exists. response:	What's important is to not miss any of his movements.
context: Diamond is Unbreakable\July 15th (Thurs) 1:39 PM\These are all the people missing from Morioh, including runaways.\Episode 33 July 15th (Thurs), Part 3\These are all from after Kira disappeared, so there aren't that many.\So there's a possibility that Kira's victims might be among them.\I'm not sure about that, but the possibility exists.\What's important is to not miss any of his movements. response:	If a guy holding his breath makes even the slightest movement,
context: July 15th (Thurs) 1:39 PM\These are all the people missing from Morioh, including runaways.\Episode 33 July 15th (Thurs), Part 3\These are all from after Kira disappeared, so there aren't that many.\So there's a possibility that Kira's victims might be among them.\I'm not sure about that, but the possibility exists.\What's important is to not miss any of his movements.\If a guy holding his breath makes even the slightest movement, response:	there will be some kind of change.
context: These are all the people missing from Morioh, including runaways.\Episode 33 July 15th (Thurs), Part 3\These are all from after Kira disappeared, so there aren't that many.\So there's a possibility that Kira's victims might be among them.\I'm not sure about that, but the possibility exists.\What's important is to not miss any of his movements.\If a guy holding his breath makes even the slightest movement,\there will be some kind of change. response:	<M Prefecture S City, Missing Persons List>
context: Episode 33 July 15th (Thurs), Part 3\These are all from after Kira disappeared, so there aren't that many.\So there's a possibility that Kira's victims might be among them.\I'm not sure about that, but the possibility exists.\What's important is to not miss any of his movements.\If a guy holding his breath makes even the slightest movement,\there will be some kind of change.\<M Prefecture S City, Missing Persons List> response:	*Address, contact information available on a separate sheet.
context: These are all from after Kira disappeared, so there aren't that many.\So there's a possibility that Kira's victims might be among them.\I'm not sure about that, but the possibility exists.\What's important is to not miss any of his movements.\If a guy holding his breath makes even the slightest movement,\there will be some kind of change.\<M Prefecture S City, Missing Persons List>\*Address, contact information available on a separate sheet. response:	Sex: Female Age: 29 S City M Community College First-year. Family includes father, mother, younger sister, and younger brother. Ran away from home after an argument with her father in July, and moved in with her boyfriend, Satoru Nakae. A missing persons report was filed the 6th of the same month. She keeps in contact with her mother. Dating Minako Okura. A third-year at T University. 22 years old.
context: So there's a possibility that Kira's victims might be among them.\I'm not sure about that, but the possibility exists.\What's important is to not miss any of his movements.\If a guy holding his breath makes even the slightest movement,\there will be some kind of change.\<M Prefecture S City, Missing Persons List>\*Address, contact information available on a separate sheet.\Sex: Female Age: 29 S City M Community College First-year. Family includes father, mother, younger sister, and younger brother. Ran away from home after an argument with her father in July, and moved in with her boyfriend, Satoru Nakae. A missing persons report was filed the 6th of the same month. She keeps in contact with her mother. Dating Minako Okura. A third-year at T University. 22 years old. response:	No matter what.
context: I'm not sure about that, but the possibility exists.\What's important is to not miss any of his movements.\If a guy holding his breath makes even the slightest movement,\there will be some kind of change.\<M Prefecture S City, Missing Persons List>\*Address, contact information available on a separate sheet.\Sex: Female Age: 29 S City M Community College First-year. Family includes father, mother, younger sister, and younger brother. Ran away from home after an argument with her father in July, and moved in with her boyfriend, Satoru Nakae. A missing persons report was filed the 6th of the same month. She keeps in contact with her mother. Dating Minako Okura. A third-year at T University. 22 years old.\No matter what. response:	July 15th (Thurs) 12:55 PM
context: What's important is to not miss any of his movements.\If a guy holding his breath makes even the slightest movement,\there will be some kind of change.\<M Prefecture S City, Missing Persons List>\*Address, contact information available on a separate sheet.\Sex: Female Age: 29 S City M Community College First-year. Family includes father, mother, younger sister, and younger brother. Ran away from home after an argument with her father in July, and moved in with her boyfriend, Satoru Nakae. A missing persons report was filed the 6th of the same month. She keeps in contact with her mother. Dating Minako Okura. A third-year at T University. 22 years old.\No matter what.\July 15th (Thurs) 12:55 PM response:	Carry me on your back, okay?
context: If a guy holding his breath makes even the slightest movement,\there will be some kind of change.\<M Prefecture S City, Missing Persons List>\*Address, contact information available on a separate sheet.\Sex: Female Age: 29 S City M Community College First-year. Family includes father, mother, younger sister, and younger brother. Ran away from home after an argument with her father in July, and moved in with her boyfriend, Satoru Nakae. A missing persons report was filed the 6th of the same month. She keeps in contact with her mother. Dating Minako Okura. A third-year at T University. 22 years old.\No matter what.\July 15th (Thurs) 12:55 PM\Carry me on your back, okay? response:	Carry me on your back.
context: there will be some kind of change.\<M Prefecture S City, Missing Persons List>\*Address, contact information available on a separate sheet.\Sex: Female Age: 29 S City M Community College First-year. Family includes father, mother, younger sister, and younger brother. Ran away from home after an argument with her father in July, and moved in with her boyfriend, Satoru Nakae. A missing persons report was filed the 6th of the same month. She keeps in contact with her mother. Dating Minako Okura. A third-year at T University. 22 years old.\No matter what.\July 15th (Thurs) 12:55 PM\Carry me on your back, okay?\Carry me on your back. response:	Heaven's Door!
context: <M Prefecture S City, Missing Persons List>\*Address, contact information available on a separate sheet.\Sex: Female Age: 29 S City M Community College First-year. Family includes father, mother, younger sister, and younger brother. Ran away from home after an argument with her father in July, and moved in with her boyfriend, Satoru Nakae. A missing persons report was filed the 6th of the same month. She keeps in contact with her mother. Dating Minako Okura. A third-year at T University. 22 years old.\No matter what.\July 15th (Thurs) 12:55 PM\Carry me on your back, okay?\Carry me on your back.\Heaven's Door! response:	Carry me on your back, okay?
context: *Address, contact information available on a separate sheet.\Sex: Female Age: 29 S City M Community College First-year. Family includes father, mother, younger sister, and younger brother. Ran away from home after an argument with her father in July, and moved in with her boyfriend, Satoru Nakae. A missing persons report was filed the 6th of the same month. She keeps in contact with her mother. Dating Minako Okura. A third-year at T University. 22 years old.\No matter what.\July 15th (Thurs) 12:55 PM\Carry me on your back, okay?\Carry me on your back.\Heaven's Door!\Carry me on your back, okay? response:	Carry me on your back.
context: Sex: Female Age: 29 S City M Community College First-year. Family includes father, mother, younger sister, and younger brother. Ran away from home after an argument with her father in July, and moved in with her boyfriend, Satoru Nakae. A missing persons report was filed the 6th of the same month. She keeps in contact with her mother. Dating Minako Okura. A third-year at T University. 22 years old.\No matter what.\July 15th (Thurs) 12:55 PM\Carry me on your back, okay?\Carry me on your back.\Heaven's Door!\Carry me on your back, okay?\Carry me on your back. response:	What?! I-It can't be...
context: No matter what.\July 15th (Thurs) 12:55 PM\Carry me on your back, okay?\Carry me on your back.\Heaven's Door!\Carry me on your back, okay?\Carry me on your back.\What?! I-It can't be... response:	Has it possessed my back?
context: July 15th (Thurs) 12:55 PM\Carry me on your back, okay?\Carry me on your back.\Heaven's Door!\Carry me on your back, okay?\Carry me on your back.\What?! I-It can't be...\Has it possessed my back? response:	Did it transfer to me because I saw the architect's back?
context: Carry me on your back, okay?\Carry me on your back.\Heaven's Door!\Carry me on your back, okay?\Carry me on your back.\What?! I-It can't be...\Has it possessed my back?\Did it transfer to me because I saw the architect's back? response:	Damn it!
context: Carry me on your back.\Heaven's Door!\Carry me on your back, okay?\Carry me on your back.\What?! I-It can't be...\Has it possessed my back?\Did it transfer to me because I saw the architect's back?\Damn it! response:	Burn the pictures...
context: Heaven's Door!\Carry me on your back, okay?\Carry me on your back.\What?! I-It can't be...\Has it possessed my back?\Did it transfer to me because I saw the architect's back?\Damn it!\Burn the pictures... response:	Hey, burn the pictures.
context: Carry me on your back, okay?\Carry me on your back.\What?! I-It can't be...\Has it possessed my back?\Did it transfer to me because I saw the architect's back?\Damn it!\Burn the pictures...\Hey, burn the pictures. response:	Pictures?
context: Carry me on your back.\What?! I-It can't be...\Has it possessed my back?\Did it transfer to me because I saw the architect's back?\Damn it!\Burn the pictures...\Hey, burn the pictures.\Pictures? response:	Burn them, okay? Burn away those pictures...
context: What?! I-It can't be...\Has it possessed my back?\Did it transfer to me because I saw the architect's back?\Damn it!\Burn the pictures...\Hey, burn the pictures.\Pictures?\Burn them, okay? Burn away those pictures... response:	What are you talking about?
context: Has it possessed my back?\Did it transfer to me because I saw the architect's back?\Damn it!\Burn the pictures...\Hey, burn the pictures.\Pictures?\Burn them, okay? Burn away those pictures...\What are you talking about? response:	The pictures I took...
context: Did it transfer to me because I saw the architect's back?\Damn it!\Burn the pictures...\Hey, burn the pictures.\Pictures?\Burn them, okay? Burn away those pictures...\What are you talking about?\The pictures I took... response:	Could it be there's one among them
context: Damn it!\Burn the pictures...\Hey, burn the pictures.\Pictures?\Burn them, okay? Burn away those pictures...\What are you talking about?\The pictures I took...\Could it be there's one among them response:	that might get us closer to Yoshikage Kira,
context: Burn the pictures...\Hey, burn the pictures.\Pictures?\Burn them, okay? Burn away those pictures...\What are you talking about?\The pictures I took...\Could it be there's one among them\that might get us closer to Yoshikage Kira, response:	and you're here to get rid of it?
context: Hey, burn the pictures.\Pictures?\Burn them, okay? Burn away those pictures...\What are you talking about?\The pictures I took...\Could it be there's one among them\that might get us closer to Yoshikage Kira,\and you're here to get rid of it? response:	Just burn all of them, okay? Burn them away, okay?
context: Pictures?\Burn them, okay? Burn away those pictures...\What are you talking about?\The pictures I took...\Could it be there's one among them\that might get us closer to Yoshikage Kira,\and you're here to get rid of it?\Just burn all of them, okay? Burn them away, okay? response:	Shut up!
context: Burn them, okay? Burn away those pictures...\What are you talking about?\The pictures I took...\Could it be there's one among them\that might get us closer to Yoshikage Kira,\and you're here to get rid of it?\Just burn all of them, okay? Burn them away, okay?\Shut up! response:	Heaven's Door!
context: What are you talking about?\The pictures I took...\Could it be there's one among them\that might get us closer to Yoshikage Kira,\and you're here to get rid of it?\Just burn all of them, okay? Burn them away, okay?\Shut up!\Heaven's Door! response:	Let's see...
context: The pictures I took...\Could it be there's one among them\that might get us closer to Yoshikage Kira,\and you're here to get rid of it?\Just burn all of them, okay? Burn them away, okay?\Shut up!\Heaven's Door!\Let's see... response:	If I read about who you are and write in some orders...
context: Could it be there's one among them\that might get us closer to Yoshikage Kira,\and you're here to get rid of it?\Just burn all of them, okay? Burn them away, okay?\Shut up!\Heaven's Door!\Let's see...\If I read about who you are and write in some orders... response:	Ow!
context: that might get us closer to Yoshikage Kira,\and you're here to get rid of it?\Just burn all of them, okay? Burn them away, okay?\Shut up!\Heaven's Door!\Let's see...\If I read about who you are and write in some orders...\Ow! response:	What?!
context: and you're here to get rid of it?\Just burn all of them, okay? Burn them away, okay?\Shut up!\Heaven's Door!\Let's see...\If I read about who you are and write in some orders...\Ow!\What?! response:	I'm a Stand that was born when
context: Just burn all of them, okay? Burn them away, okay?\Shut up!\Heaven's Door!\Let's see...\If I read about who you are and write in some orders...\Ow!\What?!\I'm a Stand that was born when response:	Masazo Kinoto's back was pierced with an arrow...
context: Shut up!\Heaven's Door!\Let's see...\If I read about who you are and write in some orders...\Ow!\What?!\I'm a Stand that was born when\Masazo Kinoto's back was pierced with an arrow... response:	Cheap Trap.
context: Heaven's Door!\Let's see...\If I read about who you are and write in some orders...\Ow!\What?!\I'm a Stand that was born when\Masazo Kinoto's back was pierced with an arrow...\Cheap Trap. response:	But my user now is you, Rohan Kishibe.
context: Let's see...\If I read about who you are and write in some orders...\Ow!\What?!\I'm a Stand that was born when\Masazo Kinoto's back was pierced with an arrow...\Cheap Trap.\But my user now is you, Rohan Kishibe. response:	You're my user now.
context: If I read about who you are and write in some orders...\Ow!\What?!\I'm a Stand that was born when\Masazo Kinoto's back was pierced with an arrow...\Cheap Trap.\But my user now is you, Rohan Kishibe.\You're my user now. response:	Wha?!
context: Ow!\What?!\I'm a Stand that was born when\Masazo Kinoto's back was pierced with an arrow...\Cheap Trap.\But my user now is you, Rohan Kishibe.\You're my user now.\Wha?! response:	Do you get it?
context: What?!\I'm a Stand that was born when\Masazo Kinoto's back was pierced with an arrow...\Cheap Trap.\But my user now is you, Rohan Kishibe.\You're my user now.\Wha?!\Do you get it? response:	It basically means that you're using a Stand to attack yourself.
context: I'm a Stand that was born when\Masazo Kinoto's back was pierced with an arrow...\Cheap Trap.\But my user now is you, Rohan Kishibe.\You're my user now.\Wha?!\Do you get it?\It basically means that you're using a Stand to attack yourself. response:	You get that? Okay?
context: Masazo Kinoto's back was pierced with an arrow...\Cheap Trap.\But my user now is you, Rohan Kishibe.\You're my user now.\Wha?!\Do you get it?\It basically means that you're using a Stand to attack yourself.\You get that? Okay? response:	I'm a Stand with a will of my own.
context: Cheap Trap.\But my user now is you, Rohan Kishibe.\You're my user now.\Wha?!\Do you get it?\It basically means that you're using a Stand to attack yourself.\You get that? Okay?\I'm a Stand with a will of my own. response:	Even though Masazo Kinoto created me,
context: But my user now is you, Rohan Kishibe.\You're my user now.\Wha?!\Do you get it?\It basically means that you're using a Stand to attack yourself.\You get that? Okay?\I'm a Stand with a will of my own.\Even though Masazo Kinoto created me, response:	he couldn't become a Stand user that could actually control me.
context: You're my user now.\Wha?!\Do you get it?\It basically means that you're using a Stand to attack yourself.\You get that? Okay?\I'm a Stand with a will of my own.\Even though Masazo Kinoto created me,\he couldn't become a Stand user that could actually control me. response:	He could only hear my whispers,
context: Wha?!\Do you get it?\It basically means that you're using a Stand to attack yourself.\You get that? Okay?\I'm a Stand with a will of my own.\Even though Masazo Kinoto created me,\he couldn't become a Stand user that could actually control me.\He could only hear my whispers, response:	and had only the fear that he mustn't let anyone see his back, okay?
context: Do you get it?\It basically means that you're using a Stand to attack yourself.\You get that? Okay?\I'm a Stand with a will of my own.\Even though Masazo Kinoto created me,\he couldn't become a Stand user that could actually control me.\He could only hear my whispers,\and had only the fear that he mustn't let anyone see his back, okay? response:	Do you get it? Okay? Do you get it?
context: It basically means that you're using a Stand to attack yourself.\You get that? Okay?\I'm a Stand with a will of my own.\Even though Masazo Kinoto created me,\he couldn't become a Stand user that could actually control me.\He could only hear my whispers,\and had only the fear that he mustn't let anyone see his back, okay?\Do you get it? Okay? Do you get it? response:	Do you get it? Okay?
context: You get that? Okay?\I'm a Stand with a will of my own.\Even though Masazo Kinoto created me,\he couldn't become a Stand user that could actually control me.\He could only hear my whispers,\and had only the fear that he mustn't let anyone see his back, okay?\Do you get it? Okay? Do you get it?\Do you get it? Okay? response:	My ability is to just whisper to people.
context: I'm a Stand with a will of my own.\Even though Masazo Kinoto created me,\he couldn't become a Stand user that could actually control me.\He could only hear my whispers,\and had only the fear that he mustn't let anyone see his back, okay?\Do you get it? Okay? Do you get it?\Do you get it? Okay?\My ability is to just whisper to people. response:	Okay? If you get it, burn the pictures.
context: Even though Masazo Kinoto created me,\he couldn't become a Stand user that could actually control me.\He could only hear my whispers,\and had only the fear that he mustn't let anyone see his back, okay?\Do you get it? Okay? Do you get it?\Do you get it? Okay?\My ability is to just whisper to people.\Okay? If you get it, burn the pictures. response:	You bastard... Get away from me!
context: he couldn't become a Stand user that could actually control me.\He could only hear my whispers,\and had only the fear that he mustn't let anyone see his back, okay?\Do you get it? Okay? Do you get it?\Do you get it? Okay?\My ability is to just whisper to people.\Okay? If you get it, burn the pictures.\You bastard... Get away from me! response:	Damn it! Why, you...
context: He could only hear my whispers,\and had only the fear that he mustn't let anyone see his back, okay?\Do you get it? Okay? Do you get it?\Do you get it? Okay?\My ability is to just whisper to people.\Okay? If you get it, burn the pictures.\You bastard... Get away from me!\Damn it! Why, you... response:	How do I get you off of me?!
context: and had only the fear that he mustn't let anyone see his back, okay?\Do you get it? Okay? Do you get it?\Do you get it? Okay?\My ability is to just whisper to people.\Okay? If you get it, burn the pictures.\You bastard... Get away from me!\Damn it! Why, you...\How do I get you off of me?! response:	That's easy. You just have to show someone else.
context: Do you get it? Okay? Do you get it?\Do you get it? Okay?\My ability is to just whisper to people.\Okay? If you get it, burn the pictures.\You bastard... Get away from me!\Damn it! Why, you...\How do I get you off of me?!\That's easy. You just have to show someone else. response:	If you show someone your back...
context: Do you get it? Okay?\My ability is to just whisper to people.\Okay? If you get it, burn the pictures.\You bastard... Get away from me!\Damn it! Why, you...\How do I get you off of me?!\That's easy. You just have to show someone else.\If you show someone your back... response:	Okay? I'll go away and transfer over there.
context: My ability is to just whisper to people.\Okay? If you get it, burn the pictures.\You bastard... Get away from me!\Damn it! Why, you...\How do I get you off of me?!\That's easy. You just have to show someone else.\If you show someone your back...\Okay? I'll go away and transfer over there. response:	You just have to show someone.
context: Okay? If you get it, burn the pictures.\You bastard... Get away from me!\Damn it! Why, you...\How do I get you off of me?!\That's easy. You just have to show someone else.\If you show someone your back...\Okay? I'll go away and transfer over there.\You just have to show someone. response:	Hello, Rohan-sensei!
context: You bastard... Get away from me!\Damn it! Why, you...\How do I get you off of me?!\That's easy. You just have to show someone else.\If you show someone your back...\Okay? I'll go away and transfer over there.\You just have to show someone.\Hello, Rohan-sensei! response:	I always read your manga.
context: Damn it! Why, you...\How do I get you off of me?!\That's easy. You just have to show someone else.\If you show someone your back...\Okay? I'll go away and transfer over there.\You just have to show someone.\Hello, Rohan-sensei!\I always read your manga. response:	Next time, could you draw a nude?
context: How do I get you off of me?!\That's easy. You just have to show someone else.\If you show someone your back...\Okay? I'll go away and transfer over there.\You just have to show someone.\Hello, Rohan-sensei!\I always read your manga.\Next time, could you draw a nude? response:	A nude girl!
context: That's easy. You just have to show someone else.\If you show someone your back...\Okay? I'll go away and transfer over there.\You just have to show someone.\Hello, Rohan-sensei!\I always read your manga.\Next time, could you draw a nude?\A nude girl! response:	Bye!
context: If you show someone your back...\Okay? I'll go away and transfer over there.\You just have to show someone.\Hello, Rohan-sensei!\I always read your manga.\Next time, could you draw a nude?\A nude girl!\Bye! response:	Burn the pictures, okay?
context: Okay? I'll go away and transfer over there.\You just have to show someone.\Hello, Rohan-sensei!\I always read your manga.\Next time, could you draw a nude?\A nude girl!\Bye!\Burn the pictures, okay? response:	July 15th (Thurs) 12:47 PM
context: You just have to show someone.\Hello, Rohan-sensei!\I always read your manga.\Next time, could you draw a nude?\A nude girl!\Bye!\Burn the pictures, okay?\July 15th (Thurs) 12:47 PM response:	Josuke!
context: Hello, Rohan-sensei!\I always read your manga.\Next time, could you draw a nude?\A nude girl!\Bye!\Burn the pictures, okay?\July 15th (Thurs) 12:47 PM\Josuke! response:	H-He wasn't shot.
context: I always read your manga.\Next time, could you draw a nude?\A nude girl!\Bye!\Burn the pictures, okay?\July 15th (Thurs) 12:47 PM\Josuke!\H-He wasn't shot. response:	Y-You asshole!
context: Next time, could you draw a nude?\A nude girl!\Bye!\Burn the pictures, okay?\July 15th (Thurs) 12:47 PM\Josuke!\H-He wasn't shot.\Y-You asshole! response:	Shining Diamond, eh?
context: A nude girl!\Bye!\Burn the pictures, okay?\July 15th (Thurs) 12:47 PM\Josuke!\H-He wasn't shot.\Y-You asshole!\Shining Diamond, eh? response:	Well, looks like it's just as I heard,
context: Bye!\Burn the pictures, okay?\July 15th (Thurs) 12:47 PM\Josuke!\H-He wasn't shot.\Y-You asshole!\Shining Diamond, eh?\Well, looks like it's just as I heard, response:	and a bullet from a gun won't do much...
