context: During the battle surrounding Nirvana with Oracion Seis, Erza fell. response:	And then we lost Lyon...
context: N-No... Lyon-sama has...\There's no way that guy's dead!\Let's search for him!\Come on!\Why?\Why did Lyon-sama have to...\Who is to blame?\I know you are here. Show yourself. response:	As expected from one of the Ten Great Wizard Saints.
context: There's no way that guy's dead!\Let's search for him!\Come on!\Why?\Why did Lyon-sama have to...\Who is to blame?\I know you are here. Show yourself.\As expected from one of the Ten Great Wizard Saints. response:	Yes!
context: Let's search for him!\Come on!\Why?\Why did Lyon-sama have to...\Who is to blame?\I know you are here. Show yourself.\As expected from one of the Ten Great Wizard Saints.\Yes! response:	My magic softens the earth.
context: Come on!\Why?\Why did Lyon-sama have to...\Who is to blame?\I know you are here. Show yourself.\As expected from one of the Ten Great Wizard Saints.\Yes!\My magic softens the earth. response:	And your magic hardens the earth!
context: Why?\Why did Lyon-sama have to...\Who is to blame?\I know you are here. Show yourself.\As expected from one of the Ten Great Wizard Saints.\Yes!\My magic softens the earth.\And your magic hardens the earth! response:	Yes!
context: Why did Lyon-sama have to...\Who is to blame?\I know you are here. Show yourself.\As expected from one of the Ten Great Wizard Saints.\Yes!\My magic softens the earth.\And your magic hardens the earth!\Yes! response:	So then, which one is stronger, yes?
context: Who is to blame?\I know you are here. Show yourself.\As expected from one of the Ten Great Wizard Saints.\Yes!\My magic softens the earth.\And your magic hardens the earth!\Yes!\So then, which one is stronger, yes? response:	Naturally, it is not the superior magic that counts,
context: I know you are here. Show yourself.\As expected from one of the Ten Great Wizard Saints.\Yes!\My magic softens the earth.\And your magic hardens the earth!\Yes!\So then, which one is stronger, yes?\Naturally, it is not the superior magic that counts, response:	but the one with the stronger ideals!
context: As expected from one of the Ten Great Wizard Saints.\Yes!\My magic softens the earth.\And your magic hardens the earth!\Yes!\So then, which one is stronger, yes?\Naturally, it is not the superior magic that counts,\but the one with the stronger ideals! response:	That is not the case.
context: Yes!\My magic softens the earth.\And your magic hardens the earth!\Yes!\So then, which one is stronger, yes?\Naturally, it is not the superior magic that counts,\but the one with the stronger ideals!\That is not the case. response:	The winner, since time immemorial,
context: My magic softens the earth.\And your magic hardens the earth!\Yes!\So then, which one is stronger, yes?\Naturally, it is not the superior magic that counts,\but the one with the stronger ideals!\That is not the case.\The winner, since time immemorial, response:	is the one with the money, yes!
context: And your magic hardens the earth!\Yes!\So then, which one is stronger, yes?\Naturally, it is not the superior magic that counts,\but the one with the stronger ideals!\That is not the case.\The winner, since time immemorial,\is the one with the money, yes! response:	We're here!
context: Yes!\So then, which one is stronger, yes?\Naturally, it is not the superior magic that counts,\but the one with the stronger ideals!\That is not the case.\The winner, since time immemorial,\is the one with the money, yes!\We're here! response:	Natsu!
context: So then, which one is stronger, yes?\Naturally, it is not the superior magic that counts,\but the one with the stronger ideals!\That is not the case.\The winner, since time immemorial,\is the one with the money, yes!\We're here!\Natsu! response:	How'd this happen? Suddenly a map to this place popped into my head...
context: Naturally, it is not the superior magic that counts,\but the one with the stronger ideals!\That is not the case.\The winner, since time immemorial,\is the one with the money, yes!\We're here!\Natsu!\How'd this happen? Suddenly a map to this place popped into my head... response:	Anyway, hurry and wake Wendy-chan...
context: but the one with the stronger ideals!\That is not the case.\The winner, since time immemorial,\is the one with the money, yes!\We're here!\Natsu!\How'd this happen? Suddenly a map to this place popped into my head...\Anyway, hurry and wake Wendy-chan... response:	Oh, right.
context: That is not the case.\The winner, since time immemorial,\is the one with the money, yes!\We're here!\Natsu!\How'd this happen? Suddenly a map to this place popped into my head...\Anyway, hurry and wake Wendy-chan...\Oh, right. response:	Wake up, Wendy!
context: The winner, since time immemorial,\is the one with the money, yes!\We're here!\Natsu!\How'd this happen? Suddenly a map to this place popped into my head...\Anyway, hurry and wake Wendy-chan...\Oh, right.\Wake up, Wendy! response:	Please, save Erza!
context: is the one with the money, yes!\We're here!\Natsu!\How'd this happen? Suddenly a map to this place popped into my head...\Anyway, hurry and wake Wendy-chan...\Oh, right.\Wake up, Wendy!\Please, save Erza! response:	Calm down, Natsu!
context: We're here!\Natsu!\How'd this happen? Suddenly a map to this place popped into my head...\Anyway, hurry and wake Wendy-chan...\Oh, right.\Wake up, Wendy!\Please, save Erza!\Calm down, Natsu! response:	I'm sorry! I...
context: Natsu!\How'd this happen? Suddenly a map to this place popped into my head...\Anyway, hurry and wake Wendy-chan...\Oh, right.\Wake up, Wendy!\Please, save Erza!\Calm down, Natsu!\I'm sorry! I... response:	I don't care about that right now!
context: How'd this happen? Suddenly a map to this place popped into my head...\Anyway, hurry and wake Wendy-chan...\Oh, right.\Wake up, Wendy!\Please, save Erza!\Calm down, Natsu!\I'm sorry! I...\I don't care about that right now! response:	Erza's been bitten by a poisonous snake.
context: Anyway, hurry and wake Wendy-chan...\Oh, right.\Wake up, Wendy!\Please, save Erza!\Calm down, Natsu!\I'm sorry! I...\I don't care about that right now!\Erza's been bitten by a poisonous snake. response:	Please save her! I'm begging you!
context: Oh, right.\Wake up, Wendy!\Please, save Erza!\Calm down, Natsu!\I'm sorry! I...\I don't care about that right now!\Erza's been bitten by a poisonous snake.\Please save her! I'm begging you! response:	Poison?
context: Wake up, Wendy!\Please, save Erza!\Calm down, Natsu!\I'm sorry! I...\I don't care about that right now!\Erza's been bitten by a poisonous snake.\Please save her! I'm begging you!\Poison? response:	We need Erza-san's strength to fight Oracion Seis.
context: Please, save Erza!\Calm down, Natsu!\I'm sorry! I...\I don't care about that right now!\Erza's been bitten by a poisonous snake.\Please save her! I'm begging you!\Poison?\We need Erza-san's strength to fight Oracion Seis. response:	Please, save Erza!
context: Calm down, Natsu!\I'm sorry! I...\I don't care about that right now!\Erza's been bitten by a poisonous snake.\Please save her! I'm begging you!\Poison?\We need Erza-san's strength to fight Oracion Seis.\Please, save Erza! response:	Please!
context: I'm sorry! I...\I don't care about that right now!\Erza's been bitten by a poisonous snake.\Please save her! I'm begging you!\Poison?\We need Erza-san's strength to fight Oracion Seis.\Please, save Erza!\Please! response:	Of course! Yes, I'll do it!
context: I don't care about that right now!\Erza's been bitten by a poisonous snake.\Please save her! I'm begging you!\Poison?\We need Erza-san's strength to fight Oracion Seis.\Please, save Erza!\Please!\Of course! Yes, I'll do it! response:	Thank goodness...
context: Erza's been bitten by a poisonous snake.\Please save her! I'm begging you!\Poison?\We need Erza-san's strength to fight Oracion Seis.\Please, save Erza!\Please!\Of course! Yes, I'll do it!\Thank goodness... response:	How long are you going to be splayed out like that? It's unbecoming...
context: Please save her! I'm begging you!\Poison?\We need Erza-san's strength to fight Oracion Seis.\Please, save Erza!\Please!\Of course! Yes, I'll do it!\Thank goodness...\How long are you going to be splayed out like that? It's unbecoming... response:	Aye...
context: Poison?\We need Erza-san's strength to fight Oracion Seis.\Please, save Erza!\Please!\Of course! Yes, I'll do it!\Thank goodness...\How long are you going to be splayed out like that? It's unbecoming...\Aye... response:	I can't believe Jellal would do such a horrible thing to Erza-san...
context: We need Erza-san's strength to fight Oracion Seis.\Please, save Erza!\Please!\Of course! Yes, I'll do it!\Thank goodness...\How long are you going to be splayed out like that? It's unbecoming...\Aye...\I can't believe Jellal would do such a horrible thing to Erza-san... response:	I can't believe it...
context: Please, save Erza!\Please!\Of course! Yes, I'll do it!\Thank goodness...\How long are you going to be splayed out like that? It's unbecoming...\Aye...\I can't believe Jellal would do such a horrible thing to Erza-san...\I can't believe it... response:	Hmm... I can't hear this guy's thoughts.
context: Please!\Of course! Yes, I'll do it!\Thank goodness...\How long are you going to be splayed out like that? It's unbecoming...\Aye...\I can't believe Jellal would do such a horrible thing to Erza-san...\I can't believe it...\Hmm... I can't hear this guy's thoughts. response:	If only I could hear his thoughts, I wouldn't have to follow him like this.
context: Of course! Yes, I'll do it!\Thank goodness...\How long are you going to be splayed out like that? It's unbecoming...\Aye...\I can't believe Jellal would do such a horrible thing to Erza-san...\I can't believe it...\Hmm... I can't hear this guy's thoughts.\If only I could hear his thoughts, I wouldn't have to follow him like this. response:	He stopped.
context: Thank goodness...\How long are you going to be splayed out like that? It's unbecoming...\Aye...\I can't believe Jellal would do such a horrible thing to Erza-san...\I can't believe it...\Hmm... I can't hear this guy's thoughts.\If only I could hear his thoughts, I wouldn't have to follow him like this.\He stopped. response:	Where the hell is this?
context: How long are you going to be splayed out like that? It's unbecoming...\Aye...\I can't believe Jellal would do such a horrible thing to Erza-san...\I can't believe it...\Hmm... I can't hear this guy's thoughts.\If only I could hear his thoughts, I wouldn't have to follow him like this.\He stopped.\Where the hell is this? response:	There's a place like this in the Woodsea?
context: Aye...\I can't believe Jellal would do such a horrible thing to Erza-san...\I can't believe it...\Hmm... I can't hear this guy's thoughts.\If only I could hear his thoughts, I wouldn't have to follow him like this.\He stopped.\Where the hell is this?\There's a place like this in the Woodsea? response:	Could it be like Brain said? Is this where Nirvana...
context: I can't believe Jellal would do such a horrible thing to Erza-san...\I can't believe it...\Hmm... I can't hear this guy's thoughts.\If only I could hear his thoughts, I wouldn't have to follow him like this.\He stopped.\Where the hell is this?\There's a place like this in the Woodsea?\Could it be like Brain said? Is this where Nirvana... response:	Finally we've found it! Our future!
context: I can't believe it...\Hmm... I can't hear this guy's thoughts.\If only I could hear his thoughts, I wouldn't have to follow him like this.\He stopped.\Where the hell is this?\There's a place like this in the Woodsea?\Could it be like Brain said? Is this where Nirvana...\Finally we've found it! Our future! response:	Finished. All the poison is gone from Erza-san's body.
context: Hmm... I can't hear this guy's thoughts.\If only I could hear his thoughts, I wouldn't have to follow him like this.\He stopped.\Where the hell is this?\There's a place like this in the Woodsea?\Could it be like Brain said? Is this where Nirvana...\Finally we've found it! Our future!\Finished. All the poison is gone from Erza-san's body. response:	And...?
context: If only I could hear his thoughts, I wouldn't have to follow him like this.\He stopped.\Where the hell is this?\There's a place like this in the Woodsea?\Could it be like Brain said? Is this where Nirvana...\Finally we've found it! Our future!\Finished. All the poison is gone from Erza-san's body.\And...? response:	Y'alright!
context: He stopped.\Where the hell is this?\There's a place like this in the Woodsea?\Could it be like Brain said? Is this where Nirvana...\Finally we've found it! Our future!\Finished. All the poison is gone from Erza-san's body.\And...?\Y'alright! response:	Lucy, high-five!
context: Where the hell is this?\There's a place like this in the Woodsea?\Could it be like Brain said? Is this where Nirvana...\Finally we've found it! Our future!\Finished. All the poison is gone from Erza-san's body.\And...?\Y'alright!\Lucy, high-five! response:	Thank goodness!
context: There's a place like this in the Woodsea?\Could it be like Brain said? Is this where Nirvana...\Finally we've found it! Our future!\Finished. All the poison is gone from Erza-san's body.\And...?\Y'alright!\Lucy, high-five!\Thank goodness! response:	Carla!
context: Could it be like Brain said? Is this where Nirvana...\Finally we've found it! Our future!\Finished. All the poison is gone from Erza-san's body.\And...?\Y'alright!\Lucy, high-five!\Thank goodness!\Carla! response:	Just this once.
context: Finally we've found it! Our future!\Finished. All the poison is gone from Erza-san's body.\And...?\Y'alright!\Lucy, high-five!\Thank goodness!\Carla!\Just this once. response:	Aye!
context: Finished. All the poison is gone from Erza-san's body.\And...?\Y'alright!\Lucy, high-five!\Thank goodness!\Carla!\Just this once.\Aye! response:	Wendy...
context: And...?\Y'alright!\Lucy, high-five!\Thank goodness!\Carla!\Just this once.\Aye!\Wendy... response:	Thanks.
context: Y'alright!\Lucy, high-five!\Thank goodness!\Carla!\Just this once.\Aye!\Wendy...\Thanks. response:	She might not wake up for a little while.
context: Lucy, high-five!\Thank goodness!\Carla!\Just this once.\Aye!\Wendy...\Thanks.\She might not wake up for a little while. response:	But she'll be fine now.
context: Thank goodness!\Carla!\Just this once.\Aye!\Wendy...\Thanks.\She might not wake up for a little while.\But she'll be fine now. response:	Wow... Her complexion is returning to normal.
context: Carla!\Just this once.\Aye!\Wendy...\Thanks.\She might not wake up for a little while.\But she'll be fine now.\Wow... Her complexion is returning to normal. response:	So this is Sky Magic?
context: Just this once.\Aye!\Wendy...\Thanks.\She might not wake up for a little while.\But she'll be fine now.\Wow... Her complexion is returning to normal.\So this is Sky Magic? response:	You're too close!
context: Aye!\Wendy...\Thanks.\She might not wake up for a little while.\But she'll be fine now.\Wow... Her complexion is returning to normal.\So this is Sky Magic?\You're too close! response:	May I have a word?
context: Wendy...\Thanks.\She might not wake up for a little while.\But she'll be fine now.\Wow... Her complexion is returning to normal.\So this is Sky Magic?\You're too close!\May I have a word? response:	Please refrain from using Wendy's Sky Magic any more.
context: Thanks.\She might not wake up for a little while.\But she'll be fine now.\Wow... Her complexion is returning to normal.\So this is Sky Magic?\You're too close!\May I have a word?\Please refrain from using Wendy's Sky Magic any more. response:	As you can see, it uses up a lot of Wendy's magic power.
context: She might not wake up for a little while.\But she'll be fine now.\Wow... Her complexion is returning to normal.\So this is Sky Magic?\You're too close!\May I have a word?\Please refrain from using Wendy's Sky Magic any more.\As you can see, it uses up a lot of Wendy's magic power. response:	Don't worry about me!
context: But she'll be fine now.\Wow... Her complexion is returning to normal.\So this is Sky Magic?\You're too close!\May I have a word?\Please refrain from using Wendy's Sky Magic any more.\As you can see, it uses up a lot of Wendy's magic power.\Don't worry about me! response:	Besides, I...
context: Wow... Her complexion is returning to normal.\So this is Sky Magic?\You're too close!\May I have a word?\Please refrain from using Wendy's Sky Magic any more.\As you can see, it uses up a lot of Wendy's magic power.\Don't worry about me!\Besides, I... response:	After Erza-san wakes up, it's time to launch a counterattack.
context: So this is Sky Magic?\You're too close!\May I have a word?\Please refrain from using Wendy's Sky Magic any more.\As you can see, it uses up a lot of Wendy's magic power.\Don't worry about me!\Besides, I...\After Erza-san wakes up, it's time to launch a counterattack. response:	Yeah! We'll K.O. those Oracion Seis!
context: You're too close!\May I have a word?\Please refrain from using Wendy's Sky Magic any more.\As you can see, it uses up a lot of Wendy's magic power.\Don't worry about me!\Besides, I...\After Erza-san wakes up, it's time to launch a counterattack.\Yeah! We'll K.O. those Oracion Seis! response:	Yeah! We ain't gonna let'em have Nirvana!
context: May I have a word?\Please refrain from using Wendy's Sky Magic any more.\As you can see, it uses up a lot of Wendy's magic power.\Don't worry about me!\Besides, I...\After Erza-san wakes up, it's time to launch a counterattack.\Yeah! We'll K.O. those Oracion Seis!\Yeah! We ain't gonna let'em have Nirvana! response:	What?
context: Please refrain from using Wendy's Sky Magic any more.\As you can see, it uses up a lot of Wendy's magic power.\Don't worry about me!\Besides, I...\After Erza-san wakes up, it's time to launch a counterattack.\Yeah! We'll K.O. those Oracion Seis!\Yeah! We ain't gonna let'em have Nirvana!\What? response:	A pillar of black light...
context: As you can see, it uses up a lot of Wendy's magic power.\Don't worry about me!\Besides, I...\After Erza-san wakes up, it's time to launch a counterattack.\Yeah! We'll K.O. those Oracion Seis!\Yeah! We ain't gonna let'em have Nirvana!\What?\A pillar of black light... response:	Could that be...
context: Don't worry about me!\Besides, I...\After Erza-san wakes up, it's time to launch a counterattack.\Yeah! We'll K.O. those Oracion Seis!\Yeah! We ain't gonna let'em have Nirvana!\What?\A pillar of black light...\Could that be... response:	That's...
context: Besides, I...\After Erza-san wakes up, it's time to launch a counterattack.\Yeah! We'll K.O. those Oracion Seis!\Yeah! We ain't gonna let'em have Nirvana!\What?\A pillar of black light...\Could that be...\That's... response:	That's... Nirvana!
context: After Erza-san wakes up, it's time to launch a counterattack.\Yeah! We'll K.O. those Oracion Seis!\Yeah! We ain't gonna let'em have Nirvana!\What?\A pillar of black light...\Could that be...\That's...\That's... Nirvana! response:	We've got it! We got it!
context: Yeah! We'll K.O. those Oracion Seis!\Yeah! We ain't gonna let'em have Nirvana!\What?\A pillar of black light...\Could that be...\That's...\That's... Nirvana!\We've got it! We got it! response:	It's... It's ours!
context: Yeah! We ain't gonna let'em have Nirvana!\What?\A pillar of black light...\Could that be...\That's...\That's... Nirvana!\We've got it! We got it!\It's... It's ours! response:	What the heck is that light?
context: What?\A pillar of black light...\Could that be...\That's...\That's... Nirvana!\We've got it! We got it!\It's... It's ours!\What the heck is that light? response:	Damn it... Could that be Nirvana?
context: A pillar of black light...\Could that be...\That's...\That's... Nirvana!\We've got it! We got it!\It's... It's ours!\What the heck is that light?\Damn it... Could that be Nirvana? response:	Father...
context: Could that be...\That's...\That's... Nirvana!\We've got it! We got it!\It's... It's ours!\What the heck is that light?\Damn it... Could that be Nirvana?\Father... response:	T-There is no mistaking it...
context: That's...\That's... Nirvana!\We've got it! We got it!\It's... It's ours!\What the heck is that light?\Damn it... Could that be Nirvana?\Father...\T-There is no mistaking it... response:	Congratulations.
context: That's... Nirvana!\We've got it! We got it!\It's... It's ours!\What the heck is that light?\Damn it... Could that be Nirvana?\Father...\T-There is no mistaking it...\Congratulations. response:	Those guild wizards will all be wiped out...
context: We've got it! We got it!\It's... It's ours!\What the heck is that light?\Damn it... Could that be Nirvana?\Father...\T-There is no mistaking it...\Congratulations.\Those guild wizards will all be wiped out... response:	Father, you head toward that light.
context: It's... It's ours!\What the heck is that light?\Damn it... Could that be Nirvana?\Father...\T-There is no mistaking it...\Congratulations.\Those guild wizards will all be wiped out...\Father, you head toward that light. response:	Yes.
context: What the heck is that light?\Damn it... Could that be Nirvana?\Father...\T-There is no mistaking it...\Congratulations.\Those guild wizards will all be wiped out...\Father, you head toward that light.\Yes. response:	Is that Nirvana?
context: Damn it... Could that be Nirvana?\Father...\T-There is no mistaking it...\Congratulations.\Those guild wizards will all be wiped out...\Father, you head toward that light.\Yes.\Is that Nirvana? response:	So it was awakened by Oracion Seis first?
context: Father...\T-There is no mistaking it...\Congratulations.\Those guild wizards will all be wiped out...\Father, you head toward that light.\Yes.\Is that Nirvana?\So it was awakened by Oracion Seis first? response:	That light...
context: T-There is no mistaking it...\Congratulations.\Those guild wizards will all be wiped out...\Father, you head toward that light.\Yes.\Is that Nirvana?\So it was awakened by Oracion Seis first?\That light... response:	Jellal is there!
context: Congratulations.\Those guild wizards will all be wiped out...\Father, you head toward that light.\Yes.\Is that Nirvana?\So it was awakened by Oracion Seis first?\That light...\Jellal is there! response:	Jellal?
context: Those guild wizards will all be wiped out...\Father, you head toward that light.\Yes.\Is that Nirvana?\So it was awakened by Oracion Seis first?\That light...\Jellal is there!\Jellal? response:	Natsu!
context: Father, you head toward that light.\Yes.\Is that Nirvana?\So it was awakened by Oracion Seis first?\That light...\Jellal is there!\Jellal?\Natsu! response:	What do you mean, Jellal?
context: Yes.\Is that Nirvana?\So it was awakened by Oracion Seis first?\That light...\Jellal is there!\Jellal?\Natsu!\What do you mean, Jellal? response:	I-I... It's all my fault...
context: Is that Nirvana?\So it was awakened by Oracion Seis first?\That light...\Jellal is there!\Jellal?\Natsu!\What do you mean, Jellal?\I-I... It's all my fault... response:	I can't let them meet!
context: So it was awakened by Oracion Seis first?\That light...\Jellal is there!\Jellal?\Natsu!\What do you mean, Jellal?\I-I... It's all my fault...\I can't let them meet! response:	I can't let Erza see him!
context: That light...\Jellal is there!\Jellal?\Natsu!\What do you mean, Jellal?\I-I... It's all my fault...\I can't let them meet!\I can't let Erza see him! response:	Jellal?
context: Jellal is there!\Jellal?\Natsu!\What do you mean, Jellal?\I-I... It's all my fault...\I can't let them meet!\I can't let Erza see him!\Jellal? response:	What could that light be?
context: Jellal?\Natsu!\What do you mean, Jellal?\I-I... It's all my fault...\I can't let them meet!\I can't let Erza see him!\Jellal?\What could that light be? response:	Good question...
context: Natsu!\What do you mean, Jellal?\I-I... It's all my fault...\I can't let them meet!\I can't let Erza see him!\Jellal?\What could that light be?\Good question... response:	Look. Something is flowing out from that eerie black tree.
context: What do you mean, Jellal?\I-I... It's all my fault...\I can't let them meet!\I can't let Erza see him!\Jellal?\What could that light be?\Good question...\Look. Something is flowing out from that eerie black tree. response:	It's like it's being sucked into that light.
context: I-I... It's all my fault...\I can't let them meet!\I can't let Erza see him!\Jellal?\What could that light be?\Good question...\Look. Something is flowing out from that eerie black tree.\It's like it's being sucked into that light. response:	I wonder what it means?
context: I can't let them meet!\I can't let Erza see him!\Jellal?\What could that light be?\Good question...\Look. Something is flowing out from that eerie black tree.\It's like it's being sucked into that light.\I wonder what it means? response:	Maybe Nirvana is at the place where that light is!
context: I can't let Erza see him!\Jellal?\What could that light be?\Good question...\Look. Something is flowing out from that eerie black tree.\It's like it's being sucked into that light.\I wonder what it means?\Maybe Nirvana is at the place where that light is! response:	If that's the case, that means someone already found it!
context: Jellal?\What could that light be?\Good question...\Look. Something is flowing out from that eerie black tree.\It's like it's being sucked into that light.\I wonder what it means?\Maybe Nirvana is at the place where that light is!\If that's the case, that means someone already found it! response:	Was it the alliance? Or Oracion Seis?
context: What could that light be?\Good question...\Look. Something is flowing out from that eerie black tree.\It's like it's being sucked into that light.\I wonder what it means?\Maybe Nirvana is at the place where that light is!\If that's the case, that means someone already found it!\Was it the alliance? Or Oracion Seis? response:	Hibiki, what's happening?
context: Good question...\Look. Something is flowing out from that eerie black tree.\It's like it's being sucked into that light.\I wonder what it means?\Maybe Nirvana is at the place where that light is!\If that's the case, that means someone already found it!\Was it the alliance? Or Oracion Seis?\Hibiki, what's happening? response:	Answer me, Hibiki!
context: Look. Something is flowing out from that eerie black tree.\It's like it's being sucked into that light.\I wonder what it means?\Maybe Nirvana is at the place where that light is!\If that's the case, that means someone already found it!\Was it the alliance? Or Oracion Seis?\Hibiki, what's happening?\Answer me, Hibiki! response:	That magical power must be blocking communications.
context: It's like it's being sucked into that light.\I wonder what it means?\Maybe Nirvana is at the place where that light is!\If that's the case, that means someone already found it!\Was it the alliance? Or Oracion Seis?\Hibiki, what's happening?\Answer me, Hibiki!\That magical power must be blocking communications. response:	Damn it.
context: I wonder what it means?\Maybe Nirvana is at the place where that light is!\If that's the case, that means someone already found it!\Was it the alliance? Or Oracion Seis?\Hibiki, what's happening?\Answer me, Hibiki!\That magical power must be blocking communications.\Damn it. response:	I'll keep searching for Wendy!
context: Maybe Nirvana is at the place where that light is!\If that's the case, that means someone already found it!\Was it the alliance? Or Oracion Seis?\Hibiki, what's happening?\Answer me, Hibiki!\That magical power must be blocking communications.\Damn it.\I'll keep searching for Wendy! response:	Understood. I'll head toward that light.
context: If that's the case, that means someone already found it!\Was it the alliance? Or Oracion Seis?\Hibiki, what's happening?\Answer me, Hibiki!\That magical power must be blocking communications.\Damn it.\I'll keep searching for Wendy!\Understood. I'll head toward that light. response:	Be careful!
