context: Although it's already May, the wind at night still feels very cold. response:	This is no different from my home town in the mountains.
context: I'm a lot more worried about you,\Shin, the way you're headed on a direct path to destruction!\Why?\Oh, the phone.\Hello. Oh, Mayumi? Mhm, no problem. Where are you now?\Roppongi? I'm out in the suburbs right now.\Then do you mind if I got on a taxi? Really?!\All right! response:	Yeah. I'll be on my way now.
context: Shin, the way you're headed on a direct path to destruction!\Why?\Oh, the phone.\Hello. Oh, Mayumi? Mhm, no problem. Where are you now?\Roppongi? I'm out in the suburbs right now.\Then do you mind if I got on a taxi? Really?!\All right!\Yeah. I'll be on my way now. response:	I'm sorry but something came up so I'll be going now.
context: Why?\Oh, the phone.\Hello. Oh, Mayumi? Mhm, no problem. Where are you now?\Roppongi? I'm out in the suburbs right now.\Then do you mind if I got on a taxi? Really?!\All right!\Yeah. I'll be on my way now.\I'm sorry but something came up so I'll be going now. response:	Okay. Be careful.
context: Oh, the phone.\Hello. Oh, Mayumi? Mhm, no problem. Where are you now?\Roppongi? I'm out in the suburbs right now.\Then do you mind if I got on a taxi? Really?!\All right!\Yeah. I'll be on my way now.\I'm sorry but something came up so I'll be going now.\Okay. Be careful. response:	- Although... - Shin.
context: Hello. Oh, Mayumi? Mhm, no problem. Where are you now?\Roppongi? I'm out in the suburbs right now.\Then do you mind if I got on a taxi? Really?!\All right!\Yeah. I'll be on my way now.\I'm sorry but something came up so I'll be going now.\Okay. Be careful.\- Although... - Shin. response:	You're free to choose whatever life you wish to live,
context: Roppongi? I'm out in the suburbs right now.\Then do you mind if I got on a taxi? Really?!\All right!\Yeah. I'll be on my way now.\I'm sorry but something came up so I'll be going now.\Okay. Be careful.\- Although... - Shin.\You're free to choose whatever life you wish to live, response:	but don't you do anything that will give the band a bad name!
context: Then do you mind if I got on a taxi? Really?!\All right!\Yeah. I'll be on my way now.\I'm sorry but something came up so I'll be going now.\Okay. Be careful.\- Although... - Shin.\You're free to choose whatever life you wish to live,\but don't you do anything that will give the band a bad name! response:	Nana!
context: All right!\Yeah. I'll be on my way now.\I'm sorry but something came up so I'll be going now.\Okay. Be careful.\- Although... - Shin.\You're free to choose whatever life you wish to live,\but don't you do anything that will give the band a bad name!\Nana! response:	Shin's only fifteen, so you could be kinder to him
context: Yeah. I'll be on my way now.\I'm sorry but something came up so I'll be going now.\Okay. Be careful.\- Although... - Shin.\You're free to choose whatever life you wish to live,\but don't you do anything that will give the band a bad name!\Nana!\Shin's only fifteen, so you could be kinder to him response:	than push him away from you like that.
context: I'm sorry but something came up so I'll be going now.\Okay. Be careful.\- Although... - Shin.\You're free to choose whatever life you wish to live,\but don't you do anything that will give the band a bad name!\Nana!\Shin's only fifteen, so you could be kinder to him\than push him away from you like that. response:	What would you do if he goes astray and joins some biker gang?
context: Okay. Be careful.\- Although... - Shin.\You're free to choose whatever life you wish to live,\but don't you do anything that will give the band a bad name!\Nana!\Shin's only fifteen, so you could be kinder to him\than push him away from you like that.\What would you do if he goes astray and joins some biker gang? response:	Hey, Shin. I don't know why you left home,
context: - Although... - Shin.\You're free to choose whatever life you wish to live,\but don't you do anything that will give the band a bad name!\Nana!\Shin's only fifteen, so you could be kinder to him\than push him away from you like that.\What would you do if he goes astray and joins some biker gang?\Hey, Shin. I don't know why you left home, response:	but I'm sure you were going through some very difficult times
context: You're free to choose whatever life you wish to live,\but don't you do anything that will give the band a bad name!\Nana!\Shin's only fifteen, so you could be kinder to him\than push him away from you like that.\What would you do if he goes astray and joins some biker gang?\Hey, Shin. I don't know why you left home,\but I'm sure you were going through some very difficult times response:	to make that decision, right?
context: but don't you do anything that will give the band a bad name!\Nana!\Shin's only fifteen, so you could be kinder to him\than push him away from you like that.\What would you do if he goes astray and joins some biker gang?\Hey, Shin. I don't know why you left home,\but I'm sure you were going through some very difficult times\to make that decision, right? response:	Did your stepmother tease you?
context: Nana!\Shin's only fifteen, so you could be kinder to him\than push him away from you like that.\What would you do if he goes astray and joins some biker gang?\Hey, Shin. I don't know why you left home,\but I'm sure you were going through some very difficult times\to make that decision, right?\Did your stepmother tease you? response:	- Stepmother? - It's all right!
context: Shin's only fifteen, so you could be kinder to him\than push him away from you like that.\What would you do if he goes astray and joins some biker gang?\Hey, Shin. I don't know why you left home,\but I'm sure you were going through some very difficult times\to make that decision, right?\Did your stepmother tease you?\- Stepmother? - It's all right! response:	You don't hafta talk if it's painful.
context: than push him away from you like that.\What would you do if he goes astray and joins some biker gang?\Hey, Shin. I don't know why you left home,\but I'm sure you were going through some very difficult times\to make that decision, right?\Did your stepmother tease you?\- Stepmother? - It's all right!\You don't hafta talk if it's painful. response:	But, Shin, please understand one thing.
context: What would you do if he goes astray and joins some biker gang?\Hey, Shin. I don't know why you left home,\but I'm sure you were going through some very difficult times\to make that decision, right?\Did your stepmother tease you?\- Stepmother? - It's all right!\You don't hafta talk if it's painful.\But, Shin, please understand one thing. response:	If you underestimate women, you'll get hurt in the end.
context: Hey, Shin. I don't know why you left home,\but I'm sure you were going through some very difficult times\to make that decision, right?\Did your stepmother tease you?\- Stepmother? - It's all right!\You don't hafta talk if it's painful.\But, Shin, please understand one thing.\If you underestimate women, you'll get hurt in the end. response:	Okay. I'll be careful.
context: but I'm sure you were going through some very difficult times\to make that decision, right?\Did your stepmother tease you?\- Stepmother? - It's all right!\You don't hafta talk if it's painful.\But, Shin, please understand one thing.\If you underestimate women, you'll get hurt in the end.\Okay. I'll be careful. response:	Oh boy.
context: to make that decision, right?\Did your stepmother tease you?\- Stepmother? - It's all right!\You don't hafta talk if it's painful.\But, Shin, please understand one thing.\If you underestimate women, you'll get hurt in the end.\Okay. I'll be careful.\Oh boy. response:	Not!
context: Did your stepmother tease you?\- Stepmother? - It's all right!\You don't hafta talk if it's painful.\But, Shin, please understand one thing.\If you underestimate women, you'll get hurt in the end.\Okay. I'll be careful.\Oh boy.\Not! response:	You haven't fixed anything.
context: - Stepmother? - It's all right!\You don't hafta talk if it's painful.\But, Shin, please understand one thing.\If you underestimate women, you'll get hurt in the end.\Okay. I'll be careful.\Oh boy.\Not!\You haven't fixed anything. response:	Besides, how is giving some advice gonna help him?
context: You don't hafta talk if it's painful.\But, Shin, please understand one thing.\If you underestimate women, you'll get hurt in the end.\Okay. I'll be careful.\Oh boy.\Not!\You haven't fixed anything.\Besides, how is giving some advice gonna help him? response:	Advice? You're wrong. I was giving him a warning.
context: But, Shin, please understand one thing.\If you underestimate women, you'll get hurt in the end.\Okay. I'll be careful.\Oh boy.\Not!\You haven't fixed anything.\Besides, how is giving some advice gonna help him?\Advice? You're wrong. I was giving him a warning. response:	I'm going home. I have to start work in the morning tomorrow.
context: If you underestimate women, you'll get hurt in the end.\Okay. I'll be careful.\Oh boy.\Not!\You haven't fixed anything.\Besides, how is giving some advice gonna help him?\Advice? You're wrong. I was giving him a warning.\I'm going home. I have to start work in the morning tomorrow. response:	Nana!
context: Okay. I'll be careful.\Oh boy.\Not!\You haven't fixed anything.\Besides, how is giving some advice gonna help him?\Advice? You're wrong. I was giving him a warning.\I'm going home. I have to start work in the morning tomorrow.\Nana! response:	Don't be so unfriendly and stay with me.
context: Oh boy.\Not!\You haven't fixed anything.\Besides, how is giving some advice gonna help him?\Advice? You're wrong. I was giving him a warning.\I'm going home. I have to start work in the morning tomorrow.\Nana!\Don't be so unfriendly and stay with me. response:	How do you expect me to spend the time alone here?
context: Not!\You haven't fixed anything.\Besides, how is giving some advice gonna help him?\Advice? You're wrong. I was giving him a warning.\I'm going home. I have to start work in the morning tomorrow.\Nana!\Don't be so unfriendly and stay with me.\How do you expect me to spend the time alone here? response:	Are you serious about waiting here until Shoji gets off work?
context: You haven't fixed anything.\Besides, how is giving some advice gonna help him?\Advice? You're wrong. I was giving him a warning.\I'm going home. I have to start work in the morning tomorrow.\Nana!\Don't be so unfriendly and stay with me.\How do you expect me to spend the time alone here?\Are you serious about waiting here until Shoji gets off work? response:	It's easily another hour, at least.
context: Besides, how is giving some advice gonna help him?\Advice? You're wrong. I was giving him a warning.\I'm going home. I have to start work in the morning tomorrow.\Nana!\Don't be so unfriendly and stay with me.\How do you expect me to spend the time alone here?\Are you serious about waiting here until Shoji gets off work?\It's easily another hour, at least. response:	But...
context: Advice? You're wrong. I was giving him a warning.\I'm going home. I have to start work in the morning tomorrow.\Nana!\Don't be so unfriendly and stay with me.\How do you expect me to spend the time alone here?\Are you serious about waiting here until Shoji gets off work?\It's easily another hour, at least.\But... response:	There's no need to wait. He did say he'd drop by our place later.
context: I'm going home. I have to start work in the morning tomorrow.\Nana!\Don't be so unfriendly and stay with me.\How do you expect me to spend the time alone here?\Are you serious about waiting here until Shoji gets off work?\It's easily another hour, at least.\But...\There's no need to wait. He did say he'd drop by our place later. response:	But still!
context: Nana!\Don't be so unfriendly and stay with me.\How do you expect me to spend the time alone here?\Are you serious about waiting here until Shoji gets off work?\It's easily another hour, at least.\But...\There's no need to wait. He did say he'd drop by our place later.\But still! response:	Jun-chan told me I should show him that I care for him.
context: Don't be so unfriendly and stay with me.\How do you expect me to spend the time alone here?\Are you serious about waiting here until Shoji gets off work?\It's easily another hour, at least.\But...\There's no need to wait. He did say he'd drop by our place later.\But still!\Jun-chan told me I should show him that I care for him. response:	Whatever. Then let's go wait for him inside.
context: How do you expect me to spend the time alone here?\Are you serious about waiting here until Shoji gets off work?\It's easily another hour, at least.\But...\There's no need to wait. He did say he'd drop by our place later.\But still!\Jun-chan told me I should show him that I care for him.\Whatever. Then let's go wait for him inside. response:	No!
context: Are you serious about waiting here until Shoji gets off work?\It's easily another hour, at least.\But...\There's no need to wait. He did say he'd drop by our place later.\But still!\Jun-chan told me I should show him that I care for him.\Whatever. Then let's go wait for him inside.\No! response:	Since he said not to wait for him,
context: It's easily another hour, at least.\But...\There's no need to wait. He did say he'd drop by our place later.\But still!\Jun-chan told me I should show him that I care for him.\Whatever. Then let's go wait for him inside.\No!\Since he said not to wait for him, response:	openly waiting for him in full view would only have the opposite effect.
context: But...\There's no need to wait. He did say he'd drop by our place later.\But still!\Jun-chan told me I should show him that I care for him.\Whatever. Then let's go wait for him inside.\No!\Since he said not to wait for him,\openly waiting for him in full view would only have the opposite effect. response:	Then like I said, let's go home.
context: There's no need to wait. He did say he'd drop by our place later.\But still!\Jun-chan told me I should show him that I care for him.\Whatever. Then let's go wait for him inside.\No!\Since he said not to wait for him,\openly waiting for him in full view would only have the opposite effect.\Then like I said, let's go home. response:	If he thinks I went home only to find that I had been waiting for him,
context: But still!\Jun-chan told me I should show him that I care for him.\Whatever. Then let's go wait for him inside.\No!\Since he said not to wait for him,\openly waiting for him in full view would only have the opposite effect.\Then like I said, let's go home.\If he thinks I went home only to find that I had been waiting for him, response:	don't you think that would touch his heart?
context: Jun-chan told me I should show him that I care for him.\Whatever. Then let's go wait for him inside.\No!\Since he said not to wait for him,\openly waiting for him in full view would only have the opposite effect.\Then like I said, let's go home.\If he thinks I went home only to find that I had been waiting for him,\don't you think that would touch his heart? response:	That's just silly.
context: Whatever. Then let's go wait for him inside.\No!\Since he said not to wait for him,\openly waiting for him in full view would only have the opposite effect.\Then like I said, let's go home.\If he thinks I went home only to find that I had been waiting for him,\don't you think that would touch his heart?\That's just silly. response:	You have no clue how a young girl in love feels, Nana!
context: No!\Since he said not to wait for him,\openly waiting for him in full view would only have the opposite effect.\Then like I said, let's go home.\If he thinks I went home only to find that I had been waiting for him,\don't you think that would touch his heart?\That's just silly.\You have no clue how a young girl in love feels, Nana! response:	I don't understand!
context: Since he said not to wait for him,\openly waiting for him in full view would only have the opposite effect.\Then like I said, let's go home.\If he thinks I went home only to find that I had been waiting for him,\don't you think that would touch his heart?\That's just silly.\You have no clue how a young girl in love feels, Nana!\I don't understand! response:	I hate cunning women like that.
context: openly waiting for him in full view would only have the opposite effect.\Then like I said, let's go home.\If he thinks I went home only to find that I had been waiting for him,\don't you think that would touch his heart?\That's just silly.\You have no clue how a young girl in love feels, Nana!\I don't understand!\I hate cunning women like that. response:	If you just say you're waiting for Shoji because you love him, then sure,
context: Then like I said, let's go home.\If he thinks I went home only to find that I had been waiting for him,\don't you think that would touch his heart?\That's just silly.\You have no clue how a young girl in love feels, Nana!\I don't understand!\I hate cunning women like that.\If you just say you're waiting for Shoji because you love him, then sure, response:	I have no problem staying here with you.
context: If he thinks I went home only to find that I had been waiting for him,\don't you think that would touch his heart?\That's just silly.\You have no clue how a young girl in love feels, Nana!\I don't understand!\I hate cunning women like that.\If you just say you're waiting for Shoji because you love him, then sure,\I have no problem staying here with you. response:	Well of course, that's the first and foremost reason...
context: don't you think that would touch his heart?\That's just silly.\You have no clue how a young girl in love feels, Nana!\I don't understand!\I hate cunning women like that.\If you just say you're waiting for Shoji because you love him, then sure,\I have no problem staying here with you.\Well of course, that's the first and foremost reason... response:	Then all that other stuff is unnecessary. Just wag your tail and wait.
context: That's just silly.\You have no clue how a young girl in love feels, Nana!\I don't understand!\I hate cunning women like that.\If you just say you're waiting for Shoji because you love him, then sure,\I have no problem staying here with you.\Well of course, that's the first and foremost reason...\Then all that other stuff is unnecessary. Just wag your tail and wait. response:	I hate cunning women like that.
context: You have no clue how a young girl in love feels, Nana!\I don't understand!\I hate cunning women like that.\If you just say you're waiting for Shoji because you love him, then sure,\I have no problem staying here with you.\Well of course, that's the first and foremost reason...\Then all that other stuff is unnecessary. Just wag your tail and wait.\I hate cunning women like that. response:	Nana!
context: I don't understand!\I hate cunning women like that.\If you just say you're waiting for Shoji because you love him, then sure,\I have no problem staying here with you.\Well of course, that's the first and foremost reason...\Then all that other stuff is unnecessary. Just wag your tail and wait.\I hate cunning women like that.\Nana! response:	It's okay! You'll catch a cold.
context: I hate cunning women like that.\If you just say you're waiting for Shoji because you love him, then sure,\I have no problem staying here with you.\Well of course, that's the first and foremost reason...\Then all that other stuff is unnecessary. Just wag your tail and wait.\I hate cunning women like that.\Nana!\It's okay! You'll catch a cold. response:	I'm not that weak. Besides, I don't feel cold.
context: If you just say you're waiting for Shoji because you love him, then sure,\I have no problem staying here with you.\Well of course, that's the first and foremost reason...\Then all that other stuff is unnecessary. Just wag your tail and wait.\I hate cunning women like that.\Nana!\It's okay! You'll catch a cold.\I'm not that weak. Besides, I don't feel cold. response:	No way. It's really cold today.
context: I have no problem staying here with you.\Well of course, that's the first and foremost reason...\Then all that other stuff is unnecessary. Just wag your tail and wait.\I hate cunning women like that.\Nana!\It's okay! You'll catch a cold.\I'm not that weak. Besides, I don't feel cold.\No way. It's really cold today. response:	Compared to the cold weather I experienced in my hometown,
context: Well of course, that's the first and foremost reason...\Then all that other stuff is unnecessary. Just wag your tail and wait.\I hate cunning women like that.\Nana!\It's okay! You'll catch a cold.\I'm not that weak. Besides, I don't feel cold.\No way. It's really cold today.\Compared to the cold weather I experienced in my hometown, response:	Tokyo is like a tropical island.
context: Then all that other stuff is unnecessary. Just wag your tail and wait.\I hate cunning women like that.\Nana!\It's okay! You'll catch a cold.\I'm not that weak. Besides, I don't feel cold.\No way. It's really cold today.\Compared to the cold weather I experienced in my hometown,\Tokyo is like a tropical island. response:	The place I lived is covered in snow half of the year.
context: I hate cunning women like that.\Nana!\It's okay! You'll catch a cold.\I'm not that weak. Besides, I don't feel cold.\No way. It's really cold today.\Compared to the cold weather I experienced in my hometown,\Tokyo is like a tropical island.\The place I lived is covered in snow half of the year. response:	So that's what your hometown's like.
context: Nana!\It's okay! You'll catch a cold.\I'm not that weak. Besides, I don't feel cold.\No way. It's really cold today.\Compared to the cold weather I experienced in my hometown,\Tokyo is like a tropical island.\The place I lived is covered in snow half of the year.\So that's what your hometown's like. response:	I'd like to go there sometime. The place where you grew up.
context: It's okay! You'll catch a cold.\I'm not that weak. Besides, I don't feel cold.\No way. It's really cold today.\Compared to the cold weather I experienced in my hometown,\Tokyo is like a tropical island.\The place I lived is covered in snow half of the year.\So that's what your hometown's like.\I'd like to go there sometime. The place where you grew up. response:	Thanks. It's warm.
context: I'm not that weak. Besides, I don't feel cold.\No way. It's really cold today.\Compared to the cold weather I experienced in my hometown,\Tokyo is like a tropical island.\The place I lived is covered in snow half of the year.\So that's what your hometown's like.\I'd like to go there sometime. The place where you grew up.\Thanks. It's warm. response:	Yeah.
context: No way. It's really cold today.\Compared to the cold weather I experienced in my hometown,\Tokyo is like a tropical island.\The place I lived is covered in snow half of the year.\So that's what your hometown's like.\I'd like to go there sometime. The place where you grew up.\Thanks. It's warm.\Yeah. response:	You know how Shoji said he had something he needed to talk to me about?
context: Compared to the cold weather I experienced in my hometown,\Tokyo is like a tropical island.\The place I lived is covered in snow half of the year.\So that's what your hometown's like.\I'd like to go there sometime. The place where you grew up.\Thanks. It's warm.\Yeah.\You know how Shoji said he had something he needed to talk to me about? response:	He had such a serious look. It got me thinking.
context: Tokyo is like a tropical island.\The place I lived is covered in snow half of the year.\So that's what your hometown's like.\I'd like to go there sometime. The place where you grew up.\Thanks. It's warm.\Yeah.\You know how Shoji said he had something he needed to talk to me about?\He had such a serious look. It got me thinking. response:	So I'd probably be unsettled and restless if we went home.
context: The place I lived is covered in snow half of the year.\So that's what your hometown's like.\I'd like to go there sometime. The place where you grew up.\Thanks. It's warm.\Yeah.\You know how Shoji said he had something he needed to talk to me about?\He had such a serious look. It got me thinking.\So I'd probably be unsettled and restless if we went home. response:	Sorry for having you stick around.
context: So that's what your hometown's like.\I'd like to go there sometime. The place where you grew up.\Thanks. It's warm.\Yeah.\You know how Shoji said he had something he needed to talk to me about?\He had such a serious look. It got me thinking.\So I'd probably be unsettled and restless if we went home.\Sorry for having you stick around. response:	I couldn't say anything else.
context: I'd like to go there sometime. The place where you grew up.\Thanks. It's warm.\Yeah.\You know how Shoji said he had something he needed to talk to me about?\He had such a serious look. It got me thinking.\So I'd probably be unsettled and restless if we went home.\Sorry for having you stick around.\I couldn't say anything else. response:	I just continued listening to the tune Nana was quietly humming.
context: Thanks. It's warm.\Yeah.\You know how Shoji said he had something he needed to talk to me about?\He had such a serious look. It got me thinking.\So I'd probably be unsettled and restless if we went home.\Sorry for having you stick around.\I couldn't say anything else.\I just continued listening to the tune Nana was quietly humming. response:	Nana's eyes were so clear.
context: Yeah.\You know how Shoji said he had something he needed to talk to me about?\He had such a serious look. It got me thinking.\So I'd probably be unsettled and restless if we went home.\Sorry for having you stick around.\I couldn't say anything else.\I just continued listening to the tune Nana was quietly humming.\Nana's eyes were so clear. response:	She seemed to fit in better with snowy mountains,
context: You know how Shoji said he had something he needed to talk to me about?\He had such a serious look. It got me thinking.\So I'd probably be unsettled and restless if we went home.\Sorry for having you stick around.\I couldn't say anything else.\I just continued listening to the tune Nana was quietly humming.\Nana's eyes were so clear.\She seemed to fit in better with snowy mountains, response:	than in this city where you can barely see the stars.
context: He had such a serious look. It got me thinking.\So I'd probably be unsettled and restless if we went home.\Sorry for having you stick around.\I couldn't say anything else.\I just continued listening to the tune Nana was quietly humming.\Nana's eyes were so clear.\She seemed to fit in better with snowy mountains,\than in this city where you can barely see the stars. response:	The truth is I am a very cunning woman.
context: So I'd probably be unsettled and restless if we went home.\Sorry for having you stick around.\I couldn't say anything else.\I just continued listening to the tune Nana was quietly humming.\Nana's eyes were so clear.\She seemed to fit in better with snowy mountains,\than in this city where you can barely see the stars.\The truth is I am a very cunning woman. response:	I was no longer the pure woman who would continue waiting for Shoji,
context: Sorry for having you stick around.\I couldn't say anything else.\I just continued listening to the tune Nana was quietly humming.\Nana's eyes were so clear.\She seemed to fit in better with snowy mountains,\than in this city where you can barely see the stars.\The truth is I am a very cunning woman.\I was no longer the pure woman who would continue waiting for Shoji, response:	while expecting nothing in return.
context: I couldn't say anything else.\I just continued listening to the tune Nana was quietly humming.\Nana's eyes were so clear.\She seemed to fit in better with snowy mountains,\than in this city where you can barely see the stars.\The truth is I am a very cunning woman.\I was no longer the pure woman who would continue waiting for Shoji,\while expecting nothing in return. response:	But I pretended to be.
context: I just continued listening to the tune Nana was quietly humming.\Nana's eyes were so clear.\She seemed to fit in better with snowy mountains,\than in this city where you can barely see the stars.\The truth is I am a very cunning woman.\I was no longer the pure woman who would continue waiting for Shoji,\while expecting nothing in return.\But I pretended to be. response:	Because I didn't want Nana to dislike me.
