context: Yes, this is Control. response:	Yeah, it's Marude! Give me a situation report!
context: you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining response:	Remember who I am
context: I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am response:	This is awful.
context: Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\This is awful. response:	What do we know about them?
context: When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\This is awful.\What do we know about them? response:	They're a band of ghouls who call themselves Aogiri Tree.
context: In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\This is awful.\What do we know about them?\They're a band of ghouls who call themselves Aogiri Tree. response:	We don't know precisely how many of them there are,
context: Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\This is awful.\What do we know about them?\They're a band of ghouls who call themselves Aogiri Tree.\We don't know precisely how many of them there are, response:	but their leader is...
context: I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\This is awful.\What do we know about them?\They're a band of ghouls who call themselves Aogiri Tree.\We don't know precisely how many of them there are,\but their leader is... response:	the One-Eyed King.
context: of someone else's imagining\Remember who I am\This is awful.\What do we know about them?\They're a band of ghouls who call themselves Aogiri Tree.\We don't know precisely how many of them there are,\but their leader is...\the One-Eyed King. response:	One-Eyed, huh?
context: Remember who I am\This is awful.\What do we know about them?\They're a band of ghouls who call themselves Aogiri Tree.\We don't know precisely how many of them there are,\but their leader is...\the One-Eyed King.\One-Eyed, huh? response:	Yomo, let's go back to Anteiku.
context: This is awful.\What do we know about them?\They're a band of ghouls who call themselves Aogiri Tree.\We don't know precisely how many of them there are,\but their leader is...\the One-Eyed King.\One-Eyed, huh?\Yomo, let's go back to Anteiku. response:	We're not getting many customers, are we?
context: What do we know about them?\They're a band of ghouls who call themselves Aogiri Tree.\We don't know precisely how many of them there are,\but their leader is...\the One-Eyed King.\One-Eyed, huh?\Yomo, let's go back to Anteiku.\We're not getting many customers, are we? response:	It's because of the increase in doves.
context: They're a band of ghouls who call themselves Aogiri Tree.\We don't know precisely how many of them there are,\but their leader is...\the One-Eyed King.\One-Eyed, huh?\Yomo, let's go back to Anteiku.\We're not getting many customers, are we?\It's because of the increase in doves. response:	At a time like this, everyone is too wary to go outside.
context: We don't know precisely how many of them there are,\but their leader is...\the One-Eyed King.\One-Eyed, huh?\Yomo, let's go back to Anteiku.\We're not getting many customers, are we?\It's because of the increase in doves.\At a time like this, everyone is too wary to go outside. response:	U-Um...
context: but their leader is...\the One-Eyed King.\One-Eyed, huh?\Yomo, let's go back to Anteiku.\We're not getting many customers, are we?\It's because of the increase in doves.\At a time like this, everyone is too wary to go outside.\U-Um... response:	Is your manager here?
context: the One-Eyed King.\One-Eyed, huh?\Yomo, let's go back to Anteiku.\We're not getting many customers, are we?\It's because of the increase in doves.\At a time like this, everyone is too wary to go outside.\U-Um...\Is your manager here? response:	U-Um...
context: One-Eyed, huh?\Yomo, let's go back to Anteiku.\We're not getting many customers, are we?\It's because of the increase in doves.\At a time like this, everyone is too wary to go outside.\U-Um...\Is your manager here?\U-Um... response:	I asked you if your manager was here!
context: Yomo, let's go back to Anteiku.\We're not getting many customers, are we?\It's because of the increase in doves.\At a time like this, everyone is too wary to go outside.\U-Um...\Is your manager here?\U-Um...\I asked you if your manager was here! response:	Th-The manager has stepped out for a bit...
context: We're not getting many customers, are we?\It's because of the increase in doves.\At a time like this, everyone is too wary to go outside.\U-Um...\Is your manager here?\U-Um...\I asked you if your manager was here!\Th-The manager has stepped out for a bit... response:	Then where did he go?!
context: It's because of the increase in doves.\At a time like this, everyone is too wary to go outside.\U-Um...\Is your manager here?\U-Um...\I asked you if your manager was here!\Th-The manager has stepped out for a bit...\Then where did he go?! response:	Hold on!
context: At a time like this, everyone is too wary to go outside.\U-Um...\Is your manager here?\U-Um...\I asked you if your manager was here!\Th-The manager has stepped out for a bit...\Then where did he go?!\Hold on! response:	Huh?!
context: U-Um...\Is your manager here?\U-Um...\I asked you if your manager was here!\Th-The manager has stepped out for a bit...\Then where did he go?!\Hold on!\Huh?! response:	You just show up here and what are you doing?!
context: Is your manager here?\U-Um...\I asked you if your manager was here!\Th-The manager has stepped out for a bit...\Then where did he go?!\Hold on!\Huh?!\You just show up here and what are you doing?! response:	If you've got business here, at least order a cup of coffee.
context: U-Um...\I asked you if your manager was here!\Th-The manager has stepped out for a bit...\Then where did he go?!\Hold on!\Huh?!\You just show up here and what are you doing?!\If you've got business here, at least order a cup of coffee. response:	What?!
context: I asked you if your manager was here!\Th-The manager has stepped out for a bit...\Then where did he go?!\Hold on!\Huh?!\You just show up here and what are you doing?!\If you've got business here, at least order a cup of coffee.\What?! response:	Um, if you need something from the manager, I can relay it to him.
context: Th-The manager has stepped out for a bit...\Then where did he go?!\Hold on!\Huh?!\You just show up here and what are you doing?!\If you've got business here, at least order a cup of coffee.\What?!\Um, if you need something from the manager, I can relay it to him. response:	There's something I want to ask you guys, too.
context: Then where did he go?!\Hold on!\Huh?!\You just show up here and what are you doing?!\If you've got business here, at least order a cup of coffee.\What?!\Um, if you need something from the manager, I can relay it to him.\There's something I want to ask you guys, too. response:	Do you know Kamishiro Rize?
context: Hold on!\Huh?!\You just show up here and what are you doing?!\If you've got business here, at least order a cup of coffee.\What?!\Um, if you need something from the manager, I can relay it to him.\There's something I want to ask you guys, too.\Do you know Kamishiro Rize? response:	I'm Banjo Kazuichi. I'm here from the 11th Ward.
context: Huh?!\You just show up here and what are you doing?!\If you've got business here, at least order a cup of coffee.\What?!\Um, if you need something from the manager, I can relay it to him.\There's something I want to ask you guys, too.\Do you know Kamishiro Rize?\I'm Banjo Kazuichi. I'm here from the 11th Ward. response:	I knew Miss Rize back in the 11th Ward.
context: You just show up here and what are you doing?!\If you've got business here, at least order a cup of coffee.\What?!\Um, if you need something from the manager, I can relay it to him.\There's something I want to ask you guys, too.\Do you know Kamishiro Rize?\I'm Banjo Kazuichi. I'm here from the 11th Ward.\I knew Miss Rize back in the 11th Ward. response:	So, what makes you think Rize is here?
context: If you've got business here, at least order a cup of coffee.\What?!\Um, if you need something from the manager, I can relay it to him.\There's something I want to ask you guys, too.\Do you know Kamishiro Rize?\I'm Banjo Kazuichi. I'm here from the 11th Ward.\I knew Miss Rize back in the 11th Ward.\So, what makes you think Rize is here? response:	When Miss Rize left the 11th Ward,
context: What?!\Um, if you need something from the manager, I can relay it to him.\There's something I want to ask you guys, too.\Do you know Kamishiro Rize?\I'm Banjo Kazuichi. I'm here from the 11th Ward.\I knew Miss Rize back in the 11th Ward.\So, what makes you think Rize is here?\When Miss Rize left the 11th Ward, response:	she had an interest in the coffee shop-
context: Um, if you need something from the manager, I can relay it to him.\There's something I want to ask you guys, too.\Do you know Kamishiro Rize?\I'm Banjo Kazuichi. I'm here from the 11th Ward.\I knew Miss Rize back in the 11th Ward.\So, what makes you think Rize is here?\When Miss Rize left the 11th Ward,\she had an interest in the coffee shop- response:	Why, that's-
context: There's something I want to ask you guys, too.\Do you know Kamishiro Rize?\I'm Banjo Kazuichi. I'm here from the 11th Ward.\I knew Miss Rize back in the 11th Ward.\So, what makes you think Rize is here?\When Miss Rize left the 11th Ward,\she had an interest in the coffee shop-\Why, that's- response:	Why do I smell Miss Rize on you?! Eh?!
context: Do you know Kamishiro Rize?\I'm Banjo Kazuichi. I'm here from the 11th Ward.\I knew Miss Rize back in the 11th Ward.\So, what makes you think Rize is here?\When Miss Rize left the 11th Ward,\she had an interest in the coffee shop-\Why, that's-\Why do I smell Miss Rize on you?! Eh?! response:	Hey!
context: I'm Banjo Kazuichi. I'm here from the 11th Ward.\I knew Miss Rize back in the 11th Ward.\So, what makes you think Rize is here?\When Miss Rize left the 11th Ward,\she had an interest in the coffee shop-\Why, that's-\Why do I smell Miss Rize on you?! Eh?!\Hey! response:	No rough stuff in the shop!
context: I knew Miss Rize back in the 11th Ward.\So, what makes you think Rize is here?\When Miss Rize left the 11th Ward,\she had an interest in the coffee shop-\Why, that's-\Why do I smell Miss Rize on you?! Eh?!\Hey!\No rough stuff in the shop! response:	Mr. Banjo!
context: So, what makes you think Rize is here?\When Miss Rize left the 11th Ward,\she had an interest in the coffee shop-\Why, that's-\Why do I smell Miss Rize on you?! Eh?!\Hey!\No rough stuff in the shop!\Mr. Banjo! response:	You him?
context: When Miss Rize left the 11th Ward,\she had an interest in the coffee shop-\Why, that's-\Why do I smell Miss Rize on you?! Eh?!\Hey!\No rough stuff in the shop!\Mr. Banjo!\You him? response:	Huh? Eh?
context: she had an interest in the coffee shop-\Why, that's-\Why do I smell Miss Rize on you?! Eh?!\Hey!\No rough stuff in the shop!\Mr. Banjo!\You him?\Huh? Eh? response:	Are you Miss Rize's man?
context: Why, that's-\Why do I smell Miss Rize on you?! Eh?!\Hey!\No rough stuff in the shop!\Mr. Banjo!\You him?\Huh? Eh?\Are you Miss Rize's man? response:	N-No, she and I aren't...
context: Why do I smell Miss Rize on you?! Eh?!\Hey!\No rough stuff in the shop!\Mr. Banjo!\You him?\Huh? Eh?\Are you Miss Rize's man?\N-No, she and I aren't... response:	She and you?!
context: Hey!\No rough stuff in the shop!\Mr. Banjo!\You him?\Huh? Eh?\Are you Miss Rize's man?\N-No, she and I aren't...\She and you?! response:	Y-You misunderstand! You misunderstand!
context: No rough stuff in the shop!\Mr. Banjo!\You him?\Huh? Eh?\Are you Miss Rize's man?\N-No, she and I aren't...\She and you?!\Y-You misunderstand! You misunderstand! response:	Mr. Banjo! Shake it off!
context: Mr. Banjo!\You him?\Huh? Eh?\Are you Miss Rize's man?\N-No, she and I aren't...\She and you?!\Y-You misunderstand! You misunderstand!\Mr. Banjo! Shake it off! response:	I'm so sorry!
context: You him?\Huh? Eh?\Are you Miss Rize's man?\N-No, she and I aren't...\She and you?!\Y-You misunderstand! You misunderstand!\Mr. Banjo! Shake it off!\I'm so sorry! response:	He's out cold.
context: Huh? Eh?\Are you Miss Rize's man?\N-No, she and I aren't...\She and you?!\Y-You misunderstand! You misunderstand!\Mr. Banjo! Shake it off!\I'm so sorry!\He's out cold. response:	I knew it.
context: Are you Miss Rize's man?\N-No, she and I aren't...\She and you?!\Y-You misunderstand! You misunderstand!\Mr. Banjo! Shake it off!\I'm so sorry!\He's out cold.\I knew it. response:	Sorry about our leader, here.
context: N-No, she and I aren't...\She and you?!\Y-You misunderstand! You misunderstand!\Mr. Banjo! Shake it off!\I'm so sorry!\He's out cold.\I knew it.\Sorry about our leader, here. response:	Wuss.
context: She and you?!\Y-You misunderstand! You misunderstand!\Mr. Banjo! Shake it off!\I'm so sorry!\He's out cold.\I knew it.\Sorry about our leader, here.\Wuss. response:	Shinohara and Amon, coming in.
context: Y-You misunderstand! You misunderstand!\Mr. Banjo! Shake it off!\I'm so sorry!\He's out cold.\I knew it.\Sorry about our leader, here.\Wuss.\Shinohara and Amon, coming in. response:	Assistant Special Investigator Chino and Senior Investigator Tainaka...
context: Mr. Banjo! Shake it off!\I'm so sorry!\He's out cold.\I knew it.\Sorry about our leader, here.\Wuss.\Shinohara and Amon, coming in.\Assistant Special Investigator Chino and Senior Investigator Tainaka... response:	Not to mention Special Investigator Arima's old partner,
context: I'm so sorry!\He's out cold.\I knew it.\Sorry about our leader, here.\Wuss.\Shinohara and Amon, coming in.\Assistant Special Investigator Chino and Senior Investigator Tainaka...\Not to mention Special Investigator Arima's old partner, response:	Senior Investigator Hirako...
context: He's out cold.\I knew it.\Sorry about our leader, here.\Wuss.\Shinohara and Amon, coming in.\Assistant Special Investigator Chino and Senior Investigator Tainaka...\Not to mention Special Investigator Arima's old partner,\Senior Investigator Hirako... response:	Special Investigator Kuroiwa is in on this, too?
context: I knew it.\Sorry about our leader, here.\Wuss.\Shinohara and Amon, coming in.\Assistant Special Investigator Chino and Senior Investigator Tainaka...\Not to mention Special Investigator Arima's old partner,\Senior Investigator Hirako...\Special Investigator Kuroiwa is in on this, too? response:	Everyone have a seat.
context: Sorry about our leader, here.\Wuss.\Shinohara and Amon, coming in.\Assistant Special Investigator Chino and Senior Investigator Tainaka...\Not to mention Special Investigator Arima's old partner,\Senior Investigator Hirako...\Special Investigator Kuroiwa is in on this, too?\Everyone have a seat. response:	As you may have already heard, the 11th Ward Branch was attacked.
context: Wuss.\Shinohara and Amon, coming in.\Assistant Special Investigator Chino and Senior Investigator Tainaka...\Not to mention Special Investigator Arima's old partner,\Senior Investigator Hirako...\Special Investigator Kuroiwa is in on this, too?\Everyone have a seat.\As you may have already heard, the 11th Ward Branch was attacked. response:	Despite the enemy only occupying it temporarily before leaving,
context: Shinohara and Amon, coming in.\Assistant Special Investigator Chino and Senior Investigator Tainaka...\Not to mention Special Investigator Arima's old partner,\Senior Investigator Hirako...\Special Investigator Kuroiwa is in on this, too?\Everyone have a seat.\As you may have already heard, the 11th Ward Branch was attacked.\Despite the enemy only occupying it temporarily before leaving, response:	according to police reports from the scene, the number of survivors...
context: Assistant Special Investigator Chino and Senior Investigator Tainaka...\Not to mention Special Investigator Arima's old partner,\Senior Investigator Hirako...\Special Investigator Kuroiwa is in on this, too?\Everyone have a seat.\As you may have already heard, the 11th Ward Branch was attacked.\Despite the enemy only occupying it temporarily before leaving,\according to police reports from the scene, the number of survivors... response:	was zero.
context: Not to mention Special Investigator Arima's old partner,\Senior Investigator Hirako...\Special Investigator Kuroiwa is in on this, too?\Everyone have a seat.\As you may have already heard, the 11th Ward Branch was attacked.\Despite the enemy only occupying it temporarily before leaving,\according to police reports from the scene, the number of survivors...\was zero. response:	Ah, he's coming to.
context: Senior Investigator Hirako...\Special Investigator Kuroiwa is in on this, too?\Everyone have a seat.\As you may have already heard, the 11th Ward Branch was attacked.\Despite the enemy only occupying it temporarily before leaving,\according to police reports from the scene, the number of survivors...\was zero.\Ah, he's coming to. response:	Are you all right?
context: Special Investigator Kuroiwa is in on this, too?\Everyone have a seat.\As you may have already heard, the 11th Ward Branch was attacked.\Despite the enemy only occupying it temporarily before leaving,\according to police reports from the scene, the number of survivors...\was zero.\Ah, he's coming to.\Are you all right? response:	Um, I'm sorry about earlier.
context: Everyone have a seat.\As you may have already heard, the 11th Ward Branch was attacked.\Despite the enemy only occupying it temporarily before leaving,\according to police reports from the scene, the number of survivors...\was zero.\Ah, he's coming to.\Are you all right?\Um, I'm sorry about earlier. response:	What's your name?
context: As you may have already heard, the 11th Ward Branch was attacked.\Despite the enemy only occupying it temporarily before leaving,\according to police reports from the scene, the number of survivors...\was zero.\Ah, he's coming to.\Are you all right?\Um, I'm sorry about earlier.\What's your name? response:	Kaneki.
context: Despite the enemy only occupying it temporarily before leaving,\according to police reports from the scene, the number of survivors...\was zero.\Ah, he's coming to.\Are you all right?\Um, I'm sorry about earlier.\What's your name?\Kaneki. response:	Kaneki, huh? You're a lot stronger than you look.
context: according to police reports from the scene, the number of survivors...\was zero.\Ah, he's coming to.\Are you all right?\Um, I'm sorry about earlier.\What's your name?\Kaneki.\Kaneki, huh? You're a lot stronger than you look. response:	Oh, not at all...
context: was zero.\Ah, he's coming to.\Are you all right?\Um, I'm sorry about earlier.\What's your name?\Kaneki.\Kaneki, huh? You're a lot stronger than you look.\Oh, not at all... response:	So that's the reason why Miss Rize chose you, is it?
context: Ah, he's coming to.\Are you all right?\Um, I'm sorry about earlier.\What's your name?\Kaneki.\Kaneki, huh? You're a lot stronger than you look.\Oh, not at all...\So that's the reason why Miss Rize chose you, is it? response:	Uh, it's not like that, Mr. Banjo. Miss Rize and I weren't like that.
context: Are you all right?\Um, I'm sorry about earlier.\What's your name?\Kaneki.\Kaneki, huh? You're a lot stronger than you look.\Oh, not at all...\So that's the reason why Miss Rize chose you, is it?\Uh, it's not like that, Mr. Banjo. Miss Rize and I weren't like that. response:	Then I was wrong?!
context: Um, I'm sorry about earlier.\What's your name?\Kaneki.\Kaneki, huh? You're a lot stronger than you look.\Oh, not at all...\So that's the reason why Miss Rize chose you, is it?\Uh, it's not like that, Mr. Banjo. Miss Rize and I weren't like that.\Then I was wrong?! response:	Yes.
context: What's your name?\Kaneki.\Kaneki, huh? You're a lot stronger than you look.\Oh, not at all...\So that's the reason why Miss Rize chose you, is it?\Uh, it's not like that, Mr. Banjo. Miss Rize and I weren't like that.\Then I was wrong?!\Yes. response:	Sorry! My bad! I apologize!
context: Kaneki.\Kaneki, huh? You're a lot stronger than you look.\Oh, not at all...\So that's the reason why Miss Rize chose you, is it?\Uh, it's not like that, Mr. Banjo. Miss Rize and I weren't like that.\Then I was wrong?!\Yes.\Sorry! My bad! I apologize! response:	No, lift up your head-
context: Kaneki, huh? You're a lot stronger than you look.\Oh, not at all...\So that's the reason why Miss Rize chose you, is it?\Uh, it's not like that, Mr. Banjo. Miss Rize and I weren't like that.\Then I was wrong?!\Yes.\Sorry! My bad! I apologize!\No, lift up your head- response:	No! If I don't do this, I won't be able to live with myself!
context: Oh, not at all...\So that's the reason why Miss Rize chose you, is it?\Uh, it's not like that, Mr. Banjo. Miss Rize and I weren't like that.\Then I was wrong?!\Yes.\Sorry! My bad! I apologize!\No, lift up your head-\No! If I don't do this, I won't be able to live with myself! response:	So then, where is Miss Rize now?
context: So that's the reason why Miss Rize chose you, is it?\Uh, it's not like that, Mr. Banjo. Miss Rize and I weren't like that.\Then I was wrong?!\Yes.\Sorry! My bad! I apologize!\No, lift up your head-\No! If I don't do this, I won't be able to live with myself!\So then, where is Miss Rize now? response:	Miss Rize is...
context: Uh, it's not like that, Mr. Banjo. Miss Rize and I weren't like that.\Then I was wrong?!\Yes.\Sorry! My bad! I apologize!\No, lift up your head-\No! If I don't do this, I won't be able to live with myself!\So then, where is Miss Rize now?\Miss Rize is... response:	She is... no longer...
context: Then I was wrong?!\Yes.\Sorry! My bad! I apologize!\No, lift up your head-\No! If I don't do this, I won't be able to live with myself!\So then, where is Miss Rize now?\Miss Rize is...\She is... no longer... response:	She isn't here anymore.
context: Yes.\Sorry! My bad! I apologize!\No, lift up your head-\No! If I don't do this, I won't be able to live with myself!\So then, where is Miss Rize now?\Miss Rize is...\She is... no longer...\She isn't here anymore. response:	I-I see.
context: Sorry! My bad! I apologize!\No, lift up your head-\No! If I don't do this, I won't be able to live with myself!\So then, where is Miss Rize now?\Miss Rize is...\She is... no longer...\She isn't here anymore.\I-I see. response:	Yeah, I get it. She is a capricious one, after all.
context: No, lift up your head-\No! If I don't do this, I won't be able to live with myself!\So then, where is Miss Rize now?\Miss Rize is...\She is... no longer...\She isn't here anymore.\I-I see.\Yeah, I get it. She is a capricious one, after all. response:	I'm sorry I couldn't help you.
context: No! If I don't do this, I won't be able to live with myself!\So then, where is Miss Rize now?\Miss Rize is...\She is... no longer...\She isn't here anymore.\I-I see.\Yeah, I get it. She is a capricious one, after all.\I'm sorry I couldn't help you. response:	Listen, Kaneki, I have a favor to ask of you.
context: So then, where is Miss Rize now?\Miss Rize is...\She is... no longer...\She isn't here anymore.\I-I see.\Yeah, I get it. She is a capricious one, after all.\I'm sorry I couldn't help you.\Listen, Kaneki, I have a favor to ask of you. response:	A favor, you say?
context: Miss Rize is...\She is... no longer...\She isn't here anymore.\I-I see.\Yeah, I get it. She is a capricious one, after all.\I'm sorry I couldn't help you.\Listen, Kaneki, I have a favor to ask of you.\A favor, you say? response:	Yeah. If you see her again, I want you to tell her something for me.
context: She is... no longer...\She isn't here anymore.\I-I see.\Yeah, I get it. She is a capricious one, after all.\I'm sorry I couldn't help you.\Listen, Kaneki, I have a favor to ask of you.\A favor, you say?\Yeah. If you see her again, I want you to tell her something for me. response:	Tell her to run.
context: She isn't here anymore.\I-I see.\Yeah, I get it. She is a capricious one, after all.\I'm sorry I couldn't help you.\Listen, Kaneki, I have a favor to ask of you.\A favor, you say?\Yeah. If you see her again, I want you to tell her something for me.\Tell her to run. response:	Huh?
context: I-I see.\Yeah, I get it. She is a capricious one, after all.\I'm sorry I couldn't help you.\Listen, Kaneki, I have a favor to ask of you.\A favor, you say?\Yeah. If you see her again, I want you to tell her something for me.\Tell her to run.\Huh? response:	A few months ago, a band of ghouls named Aogiri Tree
context: Yeah, I get it. She is a capricious one, after all.\I'm sorry I couldn't help you.\Listen, Kaneki, I have a favor to ask of you.\A favor, you say?\Yeah. If you see her again, I want you to tell her something for me.\Tell her to run.\Huh?\A few months ago, a band of ghouls named Aogiri Tree response:	carved their way through the 11th Ward.
context: I'm sorry I couldn't help you.\Listen, Kaneki, I have a favor to ask of you.\A favor, you say?\Yeah. If you see her again, I want you to tell her something for me.\Tell her to run.\Huh?\A few months ago, a band of ghouls named Aogiri Tree\carved their way through the 11th Ward. response:	They have now set their sights on the doves,
context: Listen, Kaneki, I have a favor to ask of you.\A favor, you say?\Yeah. If you see her again, I want you to tell her something for me.\Tell her to run.\Huh?\A few months ago, a band of ghouls named Aogiri Tree\carved their way through the 11th Ward.\They have now set their sights on the doves, response:	in order to overthrow us ghouls in the 11th Ward.
context: A favor, you say?\Yeah. If you see her again, I want you to tell her something for me.\Tell her to run.\Huh?\A few months ago, a band of ghouls named Aogiri Tree\carved their way through the 11th Ward.\They have now set their sights on the doves,\in order to overthrow us ghouls in the 11th Ward. response:	They are strong.
context: Yeah. If you see her again, I want you to tell her something for me.\Tell her to run.\Huh?\A few months ago, a band of ghouls named Aogiri Tree\carved their way through the 11th Ward.\They have now set their sights on the doves,\in order to overthrow us ghouls in the 11th Ward.\They are strong. response:	By now, all the doves in the 11th Ward have likely been hunted down.
context: Tell her to run.\Huh?\A few months ago, a band of ghouls named Aogiri Tree\carved their way through the 11th Ward.\They have now set their sights on the doves,\in order to overthrow us ghouls in the 11th Ward.\They are strong.\By now, all the doves in the 11th Ward have likely been hunted down. response:	As of now, I'm one of their minor runners,
context: Huh?\A few months ago, a band of ghouls named Aogiri Tree\carved their way through the 11th Ward.\They have now set their sights on the doves,\in order to overthrow us ghouls in the 11th Ward.\They are strong.\By now, all the doves in the 11th Ward have likely been hunted down.\As of now, I'm one of their minor runners, response:	but this bunch is looking for Miss Rize. I don't know why.
context: A few months ago, a band of ghouls named Aogiri Tree\carved their way through the 11th Ward.\They have now set their sights on the doves,\in order to overthrow us ghouls in the 11th Ward.\They are strong.\By now, all the doves in the 11th Ward have likely been hunted down.\As of now, I'm one of their minor runners,\but this bunch is looking for Miss Rize. I don't know why. response:	But I'm sure it can't be anything good.
context: carved their way through the 11th Ward.\They have now set their sights on the doves,\in order to overthrow us ghouls in the 11th Ward.\They are strong.\By now, all the doves in the 11th Ward have likely been hunted down.\As of now, I'm one of their minor runners,\but this bunch is looking for Miss Rize. I don't know why.\But I'm sure it can't be anything good. response:	Miss Rize?
context: They have now set their sights on the doves,\in order to overthrow us ghouls in the 11th Ward.\They are strong.\By now, all the doves in the 11th Ward have likely been hunted down.\As of now, I'm one of their minor runners,\but this bunch is looking for Miss Rize. I don't know why.\But I'm sure it can't be anything good.\Miss Rize? response:	They'll come after the 20th Ward, too, in time.
