context: Shiiwaku, manabi... Huh? Fu-re? Re-re? response:	What was this one again?
context: Mizuki!\She received the only perfect score in the class today.\Minami!\Murakami!\Maybe I'm just not any good at school.\Welco-\I just came here as a customer today.\Don't worry. response:	On your favorites menu,
context: She received the only perfect score in the class today.\Minami!\Murakami!\Maybe I'm just not any good at school.\Welco-\I just came here as a customer today.\Don't worry.\On your favorites menu, response:	it said you have a special chiffon cake.
context: Minami!\Murakami!\Maybe I'm just not any good at school.\Welco-\I just came here as a customer today.\Don't worry.\On your favorites menu,\it said you have a special chiffon cake. response:	I'm terribly sorry.
context: Murakami!\Maybe I'm just not any good at school.\Welco-\I just came here as a customer today.\Don't worry.\On your favorites menu,\it said you have a special chiffon cake.\I'm terribly sorry. response:	We sold out of the Jersey Milk Chiffon Cake this morning.
context: Maybe I'm just not any good at school.\Welco-\I just came here as a customer today.\Don't worry.\On your favorites menu,\it said you have a special chiffon cake.\I'm terribly sorry.\We sold out of the Jersey Milk Chiffon Cake this morning. response:	I see. What a shame.
context: Welco-\I just came here as a customer today.\Don't worry.\On your favorites menu,\it said you have a special chiffon cake.\I'm terribly sorry.\We sold out of the Jersey Milk Chiffon Cake this morning.\I see. What a shame. response:	I was hoping to take one back for a client.
context: I just came here as a customer today.\Don't worry.\On your favorites menu,\it said you have a special chiffon cake.\I'm terribly sorry.\We sold out of the Jersey Milk Chiffon Cake this morning.\I see. What a shame.\I was hoping to take one back for a client. response:	A client?
context: Don't worry.\On your favorites menu,\it said you have a special chiffon cake.\I'm terribly sorry.\We sold out of the Jersey Milk Chiffon Cake this morning.\I see. What a shame.\I was hoping to take one back for a client.\A client? response:	Why would you...
context: On your favorites menu,\it said you have a special chiffon cake.\I'm terribly sorry.\We sold out of the Jersey Milk Chiffon Cake this morning.\I see. What a shame.\I was hoping to take one back for a client.\A client?\Why would you... response:	The fund we manage for her took a slight loss.
context: it said you have a special chiffon cake.\I'm terribly sorry.\We sold out of the Jersey Milk Chiffon Cake this morning.\I see. What a shame.\I was hoping to take one back for a client.\A client?\Why would you...\The fund we manage for her took a slight loss. response:	I was hoping to take it as an apology.
context: I'm terribly sorry.\We sold out of the Jersey Milk Chiffon Cake this morning.\I see. What a shame.\I was hoping to take one back for a client.\A client?\Why would you...\The fund we manage for her took a slight loss.\I was hoping to take it as an apology. response:	You, directly, Mr. Mikage?
context: We sold out of the Jersey Milk Chiffon Cake this morning.\I see. What a shame.\I was hoping to take one back for a client.\A client?\Why would you...\The fund we manage for her took a slight loss.\I was hoping to take it as an apology.\You, directly, Mr. Mikage? response:	I'm grateful to have such a beautiful woman remember my name.
context: I see. What a shame.\I was hoping to take one back for a client.\A client?\Why would you...\The fund we manage for her took a slight loss.\I was hoping to take it as an apology.\You, directly, Mr. Mikage?\I'm grateful to have such a beautiful woman remember my name. response:	She's a sixty-year-old industrialist.
context: I was hoping to take one back for a client.\A client?\Why would you...\The fund we manage for her took a slight loss.\I was hoping to take it as an apology.\You, directly, Mr. Mikage?\I'm grateful to have such a beautiful woman remember my name.\She's a sixty-year-old industrialist. response:	She's famous for her gourmet palate.
context: A client?\Why would you...\The fund we manage for her took a slight loss.\I was hoping to take it as an apology.\You, directly, Mr. Mikage?\I'm grateful to have such a beautiful woman remember my name.\She's a sixty-year-old industrialist.\She's famous for her gourmet palate. response:	Consideration is more important when we fail
context: Why would you...\The fund we manage for her took a slight loss.\I was hoping to take it as an apology.\You, directly, Mr. Mikage?\I'm grateful to have such a beautiful woman remember my name.\She's a sixty-year-old industrialist.\She's famous for her gourmet palate.\Consideration is more important when we fail response:	than when business is going well.
context: The fund we manage for her took a slight loss.\I was hoping to take it as an apology.\You, directly, Mr. Mikage?\I'm grateful to have such a beautiful woman remember my name.\She's a sixty-year-old industrialist.\She's famous for her gourmet palate.\Consideration is more important when we fail\than when business is going well. response:	A woman with a gourmet palate?
context: I was hoping to take it as an apology.\You, directly, Mr. Mikage?\I'm grateful to have such a beautiful woman remember my name.\She's a sixty-year-old industrialist.\She's famous for her gourmet palate.\Consideration is more important when we fail\than when business is going well.\A woman with a gourmet palate? response:	In that case, what about our six types of pudding, made with organic vegetables?
context: You, directly, Mr. Mikage?\I'm grateful to have such a beautiful woman remember my name.\She's a sixty-year-old industrialist.\She's famous for her gourmet palate.\Consideration is more important when we fail\than when business is going well.\A woman with a gourmet palate?\In that case, what about our six types of pudding, made with organic vegetables? response:	They're very popular with women
context: I'm grateful to have such a beautiful woman remember my name.\She's a sixty-year-old industrialist.\She's famous for her gourmet palate.\Consideration is more important when we fail\than when business is going well.\A woman with a gourmet palate?\In that case, what about our six types of pudding, made with organic vegetables?\They're very popular with women response:	who are concerned about ingredients, flavor, and calories.
context: She's a sixty-year-old industrialist.\She's famous for her gourmet palate.\Consideration is more important when we fail\than when business is going well.\A woman with a gourmet palate?\In that case, what about our six types of pudding, made with organic vegetables?\They're very popular with women\who are concerned about ingredients, flavor, and calories. response:	Oh?
context: She's famous for her gourmet palate.\Consideration is more important when we fail\than when business is going well.\A woman with a gourmet palate?\In that case, what about our six types of pudding, made with organic vegetables?\They're very popular with women\who are concerned about ingredients, flavor, and calories.\Oh? response:	I'll take that pudding, then.
context: Consideration is more important when we fail\than when business is going well.\A woman with a gourmet palate?\In that case, what about our six types of pudding, made with organic vegetables?\They're very popular with women\who are concerned about ingredients, flavor, and calories.\Oh?\I'll take that pudding, then. response:	Thank you!
context: than when business is going well.\A woman with a gourmet palate?\In that case, what about our six types of pudding, made with organic vegetables?\They're very popular with women\who are concerned about ingredients, flavor, and calories.\Oh?\I'll take that pudding, then.\Thank you! response:	You don't have to get so upset.
context: A woman with a gourmet palate?\In that case, what about our six types of pudding, made with organic vegetables?\They're very popular with women\who are concerned about ingredients, flavor, and calories.\Oh?\I'll take that pudding, then.\Thank you!\You don't have to get so upset. response:	It's just the usual, right?
context: In that case, what about our six types of pudding, made with organic vegetables?\They're very popular with women\who are concerned about ingredients, flavor, and calories.\Oh?\I'll take that pudding, then.\Thank you!\You don't have to get so upset.\It's just the usual, right? response:	But I really studied hard this time.
context: They're very popular with women\who are concerned about ingredients, flavor, and calories.\Oh?\I'll take that pudding, then.\Thank you!\You don't have to get so upset.\It's just the usual, right?\But I really studied hard this time. response:	Mari. What's wrong?
context: who are concerned about ingredients, flavor, and calories.\Oh?\I'll take that pudding, then.\Thank you!\You don't have to get so upset.\It's just the usual, right?\But I really studied hard this time.\Mari. What's wrong? response:	She got her usual awful score on our last test.
context: Oh?\I'll take that pudding, then.\Thank you!\You don't have to get so upset.\It's just the usual, right?\But I really studied hard this time.\Mari. What's wrong?\She got her usual awful score on our last test. response:	Waka! You don't have to put it that way!
context: I'll take that pudding, then.\Thank you!\You don't have to get so upset.\It's just the usual, right?\But I really studied hard this time.\Mari. What's wrong?\She got her usual awful score on our last test.\Waka! You don't have to put it that way! response:	Really?
context: Thank you!\You don't have to get so upset.\It's just the usual, right?\But I really studied hard this time.\Mari. What's wrong?\She got her usual awful score on our last test.\Waka! You don't have to put it that way!\Really? response:	B-Brother, what are you doing?
context: You don't have to get so upset.\It's just the usual, right?\But I really studied hard this time.\Mari. What's wrong?\She got her usual awful score on our last test.\Waka! You don't have to put it that way!\Really?\B-Brother, what are you doing? response:	I found Dr. Hayase's thesis, so I was reading it.
context: It's just the usual, right?\But I really studied hard this time.\Mari. What's wrong?\She got her usual awful score on our last test.\Waka! You don't have to put it that way!\Really?\B-Brother, what are you doing?\I found Dr. Hayase's thesis, so I was reading it. response:	Regularity in Dimensional Distortions Caused by Changes in Electromagnetic Fields?
context: But I really studied hard this time.\Mari. What's wrong?\She got her usual awful score on our last test.\Waka! You don't have to put it that way!\Really?\B-Brother, what are you doing?\I found Dr. Hayase's thesis, so I was reading it.\Regularity in Dimensional Distortions Caused by Changes in Electromagnetic Fields? response:	I think this is the basis for the machine he created.
context: Mari. What's wrong?\She got her usual awful score on our last test.\Waka! You don't have to put it that way!\Really?\B-Brother, what are you doing?\I found Dr. Hayase's thesis, so I was reading it.\Regularity in Dimensional Distortions Caused by Changes in Electromagnetic Fields?\I think this is the basis for the machine he created. response:	It's written in Japanese, but I can barely understand it.
context: She got her usual awful score on our last test.\Waka! You don't have to put it that way!\Really?\B-Brother, what are you doing?\I found Dr. Hayase's thesis, so I was reading it.\Regularity in Dimensional Distortions Caused by Changes in Electromagnetic Fields?\I think this is the basis for the machine he created.\It's written in Japanese, but I can barely understand it. response:	Yeah... the vocabulary is too specialized for me to understand.
context: Waka! You don't have to put it that way!\Really?\B-Brother, what are you doing?\I found Dr. Hayase's thesis, so I was reading it.\Regularity in Dimensional Distortions Caused by Changes in Electromagnetic Fields?\I think this is the basis for the machine he created.\It's written in Japanese, but I can barely understand it.\Yeah... the vocabulary is too specialized for me to understand. response:	Shun is so amazing.
context: Really?\B-Brother, what are you doing?\I found Dr. Hayase's thesis, so I was reading it.\Regularity in Dimensional Distortions Caused by Changes in Electromagnetic Fields?\I think this is the basis for the machine he created.\It's written in Japanese, but I can barely understand it.\Yeah... the vocabulary is too specialized for me to understand.\Shun is so amazing. response:	He can understand it just by looking at it...
context: B-Brother, what are you doing?\I found Dr. Hayase's thesis, so I was reading it.\Regularity in Dimensional Distortions Caused by Changes in Electromagnetic Fields?\I think this is the basis for the machine he created.\It's written in Japanese, but I can barely understand it.\Yeah... the vocabulary is too specialized for me to understand.\Shun is so amazing.\He can understand it just by looking at it... response:	I don't actually understand it.
context: I found Dr. Hayase's thesis, so I was reading it.\Regularity in Dimensional Distortions Caused by Changes in Electromagnetic Fields?\I think this is the basis for the machine he created.\It's written in Japanese, but I can barely understand it.\Yeah... the vocabulary is too specialized for me to understand.\Shun is so amazing.\He can understand it just by looking at it...\I don't actually understand it. response:	That's why I was looking at it.
context: Regularity in Dimensional Distortions Caused by Changes in Electromagnetic Fields?\I think this is the basis for the machine he created.\It's written in Japanese, but I can barely understand it.\Yeah... the vocabulary is too specialized for me to understand.\Shun is so amazing.\He can understand it just by looking at it...\I don't actually understand it.\That's why I was looking at it. response:	If you keep looking at things you don't understand, and keep thinking,
context: I think this is the basis for the machine he created.\It's written in Japanese, but I can barely understand it.\Yeah... the vocabulary is too specialized for me to understand.\Shun is so amazing.\He can understand it just by looking at it...\I don't actually understand it.\That's why I was looking at it.\If you keep looking at things you don't understand, and keep thinking, response:	some day, it might all come together.
context: It's written in Japanese, but I can barely understand it.\Yeah... the vocabulary is too specialized for me to understand.\Shun is so amazing.\He can understand it just by looking at it...\I don't actually understand it.\That's why I was looking at it.\If you keep looking at things you don't understand, and keep thinking,\some day, it might all come together. response:	Really?
context: Yeah... the vocabulary is too specialized for me to understand.\Shun is so amazing.\He can understand it just by looking at it...\I don't actually understand it.\That's why I was looking at it.\If you keep looking at things you don't understand, and keep thinking,\some day, it might all come together.\Really? response:	So? What's with the strings of letters and numbers?
context: Shun is so amazing.\He can understand it just by looking at it...\I don't actually understand it.\That's why I was looking at it.\If you keep looking at things you don't understand, and keep thinking,\some day, it might all come together.\Really?\So? What's with the strings of letters and numbers? response:	I believe this is the record of the armillary compass's destinations.
context: He can understand it just by looking at it...\I don't actually understand it.\That's why I was looking at it.\If you keep looking at things you don't understand, and keep thinking,\some day, it might all come together.\Really?\So? What's with the strings of letters and numbers?\I believe this is the record of the armillary compass's destinations. response:	I think AM1 may be the doctor, and AM2 could be Mari.
context: I don't actually understand it.\That's why I was looking at it.\If you keep looking at things you don't understand, and keep thinking,\some day, it might all come together.\Really?\So? What's with the strings of letters and numbers?\I believe this is the record of the armillary compass's destinations.\I think AM1 may be the doctor, and AM2 could be Mari. response:	Huh? Then we know the last place Papa went to?
context: That's why I was looking at it.\If you keep looking at things you don't understand, and keep thinking,\some day, it might all come together.\Really?\So? What's with the strings of letters and numbers?\I believe this is the record of the armillary compass's destinations.\I think AM1 may be the doctor, and AM2 could be Mari.\Huh? Then we know the last place Papa went to? response:	Hmm...
context: If you keep looking at things you don't understand, and keep thinking,\some day, it might all come together.\Really?\So? What's with the strings of letters and numbers?\I believe this is the record of the armillary compass's destinations.\I think AM1 may be the doctor, and AM2 could be Mari.\Huh? Then we know the last place Papa went to?\Hmm... response:	If I could grasp the system behind these numbers and letters...
context: some day, it might all come together.\Really?\So? What's with the strings of letters and numbers?\I believe this is the record of the armillary compass's destinations.\I think AM1 may be the doctor, and AM2 could be Mari.\Huh? Then we know the last place Papa went to?\Hmm...\If I could grasp the system behind these numbers and letters... response:	That's something you don't understand yet, huh?
context: Really?\So? What's with the strings of letters and numbers?\I believe this is the record of the armillary compass's destinations.\I think AM1 may be the doctor, and AM2 could be Mari.\Huh? Then we know the last place Papa went to?\Hmm...\If I could grasp the system behind these numbers and letters...\That's something you don't understand yet, huh? response:	I'm afraid not.
context: So? What's with the strings of letters and numbers?\I believe this is the record of the armillary compass's destinations.\I think AM1 may be the doctor, and AM2 could be Mari.\Huh? Then we know the last place Papa went to?\Hmm...\If I could grasp the system behind these numbers and letters...\That's something you don't understand yet, huh?\I'm afraid not. response:	I see.
context: I believe this is the record of the armillary compass's destinations.\I think AM1 may be the doctor, and AM2 could be Mari.\Huh? Then we know the last place Papa went to?\Hmm...\If I could grasp the system behind these numbers and letters...\That's something you don't understand yet, huh?\I'm afraid not.\I see. response:	Don't get so depressed. We'll figure it out soon.
context: I think AM1 may be the doctor, and AM2 could be Mari.\Huh? Then we know the last place Papa went to?\Hmm...\If I could grasp the system behind these numbers and letters...\That's something you don't understand yet, huh?\I'm afraid not.\I see.\Don't get so depressed. We'll figure it out soon. response:	Right, Brother?
context: Huh? Then we know the last place Papa went to?\Hmm...\If I could grasp the system behind these numbers and letters...\That's something you don't understand yet, huh?\I'm afraid not.\I see.\Don't get so depressed. We'll figure it out soon.\Right, Brother? response:	Yes, that's right.
context: Hmm...\If I could grasp the system behind these numbers and letters...\That's something you don't understand yet, huh?\I'm afraid not.\I see.\Don't get so depressed. We'll figure it out soon.\Right, Brother?\Yes, that's right. response:	Well, then... let's get started!
context: If I could grasp the system behind these numbers and letters...\That's something you don't understand yet, huh?\I'm afraid not.\I see.\Don't get so depressed. We'll figure it out soon.\Right, Brother?\Yes, that's right.\Well, then... let's get started! response:	For now, I believe if you touch any picture that's Morse or later,
context: That's something you don't understand yet, huh?\I'm afraid not.\I see.\Don't get so depressed. We'll figure it out soon.\Right, Brother?\Yes, that's right.\Well, then... let's get started!\For now, I believe if you touch any picture that's Morse or later, response:	you'll travel to the past.
context: I'm afraid not.\I see.\Don't get so depressed. We'll figure it out soon.\Right, Brother?\Yes, that's right.\Well, then... let's get started!\For now, I believe if you touch any picture that's Morse or later,\you'll travel to the past. response:	Right.
context: I see.\Don't get so depressed. We'll figure it out soon.\Right, Brother?\Yes, that's right.\Well, then... let's get started!\For now, I believe if you touch any picture that's Morse or later,\you'll travel to the past.\Right. response:	The Year 1825 (What is Now) New Haven, America”
context: Don't get so depressed. We'll figure it out soon.\Right, Brother?\Yes, that's right.\Well, then... let's get started!\For now, I believe if you touch any picture that's Morse or later,\you'll travel to the past.\Right.\The Year 1825 (What is Now) New Haven, America” response:	So cold!
context: Right, Brother?\Yes, that's right.\Well, then... let's get started!\For now, I believe if you touch any picture that's Morse or later,\you'll travel to the past.\Right.\The Year 1825 (What is Now) New Haven, America”\So cold! response:	Huh?
context: Yes, that's right.\Well, then... let's get started!\For now, I believe if you touch any picture that's Morse or later,\you'll travel to the past.\Right.\The Year 1825 (What is Now) New Haven, America”\So cold!\Huh? response:	Oh... um...
context: Well, then... let's get started!\For now, I believe if you touch any picture that's Morse or later,\you'll travel to the past.\Right.\The Year 1825 (What is Now) New Haven, America”\So cold!\Huh?\Oh... um... response:	Oh, are you the scientist, Mr. Morse?
context: For now, I believe if you touch any picture that's Morse or later,\you'll travel to the past.\Right.\The Year 1825 (What is Now) New Haven, America”\So cold!\Huh?\Oh... um...\Oh, are you the scientist, Mr. Morse? response:	I'm not a scientist, but my name is Morse.
context: you'll travel to the past.\Right.\The Year 1825 (What is Now) New Haven, America”\So cold!\Huh?\Oh... um...\Oh, are you the scientist, Mr. Morse?\I'm not a scientist, but my name is Morse. response:	Who are you?
context: Right.\The Year 1825 (What is Now) New Haven, America”\So cold!\Huh?\Oh... um...\Oh, are you the scientist, Mr. Morse?\I'm not a scientist, but my name is Morse.\Who are you? response:	I'm Mari. Mari Hayase.
context: The Year 1825 (What is Now) New Haven, America”\So cold!\Huh?\Oh... um...\Oh, are you the scientist, Mr. Morse?\I'm not a scientist, but my name is Morse.\Who are you?\I'm Mari. Mari Hayase. response:	That's not what I meant.
context: So cold!\Huh?\Oh... um...\Oh, are you the scientist, Mr. Morse?\I'm not a scientist, but my name is Morse.\Who are you?\I'm Mari. Mari Hayase.\That's not what I meant. response:	You just came from a burst of light.
context: Huh?\Oh... um...\Oh, are you the scientist, Mr. Morse?\I'm not a scientist, but my name is Morse.\Who are you?\I'm Mari. Mari Hayase.\That's not what I meant.\You just came from a burst of light. response:	Oh, well...
context: Oh... um...\Oh, are you the scientist, Mr. Morse?\I'm not a scientist, but my name is Morse.\Who are you?\I'm Mari. Mari Hayase.\That's not what I meant.\You just came from a burst of light.\Oh, well... response:	Why are you crying, anyway?
context: Oh, are you the scientist, Mr. Morse?\I'm not a scientist, but my name is Morse.\Who are you?\I'm Mari. Mari Hayase.\That's not what I meant.\You just came from a burst of light.\Oh, well...\Why are you crying, anyway? response:	My wife died last week.
context: I'm not a scientist, but my name is Morse.\Who are you?\I'm Mari. Mari Hayase.\That's not what I meant.\You just came from a burst of light.\Oh, well...\Why are you crying, anyway?\My wife died last week. response:	When it happened,
context: Who are you?\I'm Mari. Mari Hayase.\That's not what I meant.\You just came from a burst of light.\Oh, well...\Why are you crying, anyway?\My wife died last week.\When it happened, response:	I was off painting a portrait of Marquis de Lafayette...
context: I'm Mari. Mari Hayase.\That's not what I meant.\You just came from a burst of light.\Oh, well...\Why are you crying, anyway?\My wife died last week.\When it happened,\I was off painting a portrait of Marquis de Lafayette... response:	A portrait? Mr. Morse, are you a painter?
context: That's not what I meant.\You just came from a burst of light.\Oh, well...\Why are you crying, anyway?\My wife died last week.\When it happened,\I was off painting a portrait of Marquis de Lafayette...\A portrait? Mr. Morse, are you a painter? response:	Yes.
