context: It's a person! response:	There's- there's a person coming out of it!
context: Sure.\Now, supposing that one of those Dragon Ball things was in the area,\our wish for eternal life would have been wiped out,\thanks to that senseless greeting of yours.\S- sorry about that. It completely slipped my mind.\Well, what's done is done. First thing we need to do\is find the guy who has the highest battle power.\He'll be the one who killed Raditz. Either him, or Kakarrot's son. response:	That's strange. I'm picking up more than just one or two readings
context: Now, supposing that one of those Dragon Ball things was in the area,\our wish for eternal life would have been wiped out,\thanks to that senseless greeting of yours.\S- sorry about that. It completely slipped my mind.\Well, what's done is done. First thing we need to do\is find the guy who has the highest battle power.\He'll be the one who killed Raditz. Either him, or Kakarrot's son.\That's strange. I'm picking up more than just one or two readings response:	that have a battle power higher than 1000.
context: our wish for eternal life would have been wiped out,\thanks to that senseless greeting of yours.\S- sorry about that. It completely slipped my mind.\Well, what's done is done. First thing we need to do\is find the guy who has the highest battle power.\He'll be the one who killed Raditz. Either him, or Kakarrot's son.\That's strange. I'm picking up more than just one or two readings\that have a battle power higher than 1000. response:	What are they doing on this planet?
context: thanks to that senseless greeting of yours.\S- sorry about that. It completely slipped my mind.\Well, what's done is done. First thing we need to do\is find the guy who has the highest battle power.\He'll be the one who killed Raditz. Either him, or Kakarrot's son.\That's strange. I'm picking up more than just one or two readings\that have a battle power higher than 1000.\What are they doing on this planet? response:	Don't panic. They're still no match for us.
context: S- sorry about that. It completely slipped my mind.\Well, what's done is done. First thing we need to do\is find the guy who has the highest battle power.\He'll be the one who killed Raditz. Either him, or Kakarrot's son.\That's strange. I'm picking up more than just one or two readings\that have a battle power higher than 1000.\What are they doing on this planet?\Don't panic. They're still no match for us. response:	In any case, find the one who has the highest battle power.
context: Well, what's done is done. First thing we need to do\is find the guy who has the highest battle power.\He'll be the one who killed Raditz. Either him, or Kakarrot's son.\That's strange. I'm picking up more than just one or two readings\that have a battle power higher than 1000.\What are they doing on this planet?\Don't panic. They're still no match for us.\In any case, find the one who has the highest battle power. response:	I found him!
context: is find the guy who has the highest battle power.\He'll be the one who killed Raditz. Either him, or Kakarrot's son.\That's strange. I'm picking up more than just one or two readings\that have a battle power higher than 1000.\What are they doing on this planet?\Don't panic. They're still no match for us.\In any case, find the one who has the highest battle power.\I found him! response:	There are two fairly high battle powers together.
context: He'll be the one who killed Raditz. Either him, or Kakarrot's son.\That's strange. I'm picking up more than just one or two readings\that have a battle power higher than 1000.\What are they doing on this planet?\Don't panic. They're still no match for us.\In any case, find the one who has the highest battle power.\I found him!\There are two fairly high battle powers together. response:	All right, Nappa, let's go have some fun.
context: That's strange. I'm picking up more than just one or two readings\that have a battle power higher than 1000.\What are they doing on this planet?\Don't panic. They're still no match for us.\In any case, find the one who has the highest battle power.\I found him!\There are two fairly high battle powers together.\All right, Nappa, let's go have some fun. response:	Currently, the cause of the large-scale earthquake is a complete mystery.
context: that have a battle power higher than 1000.\What are they doing on this planet?\Don't panic. They're still no match for us.\In any case, find the one who has the highest battle power.\I found him!\There are two fairly high battle powers together.\All right, Nappa, let's go have some fun.\Currently, the cause of the large-scale earthquake is a complete mystery. response:	All communications with Metro East,
context: What are they doing on this planet?\Don't panic. They're still no match for us.\In any case, find the one who has the highest battle power.\I found him!\There are two fairly high battle powers together.\All right, Nappa, let's go have some fun.\Currently, the cause of the large-scale earthquake is a complete mystery.\All communications with Metro East, response:	which is thought to have been the epicenter of this earthquake,
context: Don't panic. They're still no match for us.\In any case, find the one who has the highest battle power.\I found him!\There are two fairly high battle powers together.\All right, Nappa, let's go have some fun.\Currently, the cause of the large-scale earthquake is a complete mystery.\All communications with Metro East,\which is thought to have been the epicenter of this earthquake, response:	have been cut off, and the safety of its residents is in doubt.
context: In any case, find the one who has the highest battle power.\I found him!\There are two fairly high battle powers together.\All right, Nappa, let's go have some fun.\Currently, the cause of the large-scale earthquake is a complete mystery.\All communications with Metro East,\which is thought to have been the epicenter of this earthquake,\have been cut off, and the safety of its residents is in doubt. response:	T- they're finally here, are they?
context: I found him!\There are two fairly high battle powers together.\All right, Nappa, let's go have some fun.\Currently, the cause of the large-scale earthquake is a complete mystery.\All communications with Metro East,\which is thought to have been the epicenter of this earthquake,\have been cut off, and the safety of its residents is in doubt.\T- they're finally here, are they? response:	Let's go help them out. With this, I can tell where they are.
context: There are two fairly high battle powers together.\All right, Nappa, let's go have some fun.\Currently, the cause of the large-scale earthquake is a complete mystery.\All communications with Metro East,\which is thought to have been the epicenter of this earthquake,\have been cut off, and the safety of its residents is in doubt.\T- they're finally here, are they?\Let's go help them out. With this, I can tell where they are. response:	I- I'm going over my dead body!
context: All right, Nappa, let's go have some fun.\Currently, the cause of the large-scale earthquake is a complete mystery.\All communications with Metro East,\which is thought to have been the epicenter of this earthquake,\have been cut off, and the safety of its residents is in doubt.\T- they're finally here, are they?\Let's go help them out. With this, I can tell where they are.\I- I'm going over my dead body! response:	I- I'm going! I'm sure Yamucha- sama will be going, too!
context: Currently, the cause of the large-scale earthquake is a complete mystery.\All communications with Metro East,\which is thought to have been the epicenter of this earthquake,\have been cut off, and the safety of its residents is in doubt.\T- they're finally here, are they?\Let's go help them out. With this, I can tell where they are.\I- I'm going over my dead body!\I- I'm going! I'm sure Yamucha- sama will be going, too! response:	No, let's not.
context: All communications with Metro East,\which is thought to have been the epicenter of this earthquake,\have been cut off, and the safety of its residents is in doubt.\T- they're finally here, are they?\Let's go help them out. With this, I can tell where they are.\I- I'm going over my dead body!\I- I'm going! I'm sure Yamucha- sama will be going, too!\No, let's not. response:	There's too great a difference in our levels.
context: which is thought to have been the epicenter of this earthquake,\have been cut off, and the safety of its residents is in doubt.\T- they're finally here, are they?\Let's go help them out. With this, I can tell where they are.\I- I'm going over my dead body!\I- I'm going! I'm sure Yamucha- sama will be going, too!\No, let's not.\There's too great a difference in our levels. response:	Even if I did go, I'd just be in the way.
context: have been cut off, and the safety of its residents is in doubt.\T- they're finally here, are they?\Let's go help them out. With this, I can tell where they are.\I- I'm going over my dead body!\I- I'm going! I'm sure Yamucha- sama will be going, too!\No, let's not.\There's too great a difference in our levels.\Even if I did go, I'd just be in the way. response:	All we can do is pray for their victory from here.
context: T- they're finally here, are they?\Let's go help them out. With this, I can tell where they are.\I- I'm going over my dead body!\I- I'm going! I'm sure Yamucha- sama will be going, too!\No, let's not.\There's too great a difference in our levels.\Even if I did go, I'd just be in the way.\All we can do is pray for their victory from here. response:	Y- you're probably right.
context: Let's go help them out. With this, I can tell where they are.\I- I'm going over my dead body!\I- I'm going! I'm sure Yamucha- sama will be going, too!\No, let's not.\There's too great a difference in our levels.\Even if I did go, I'd just be in the way.\All we can do is pray for their victory from here.\Y- you're probably right. response:	Right! Right!
context: I- I'm going over my dead body!\I- I'm going! I'm sure Yamucha- sama will be going, too!\No, let's not.\There's too great a difference in our levels.\Even if I did go, I'd just be in the way.\All we can do is pray for their victory from here.\Y- you're probably right.\Right! Right! response:	Yamucha- sama, don't die!
context: I- I'm going! I'm sure Yamucha- sama will be going, too!\No, let's not.\There's too great a difference in our levels.\Even if I did go, I'd just be in the way.\All we can do is pray for their victory from here.\Y- you're probably right.\Right! Right!\Yamucha- sama, don't die! response:	Son- kun, get here soon!
context: No, let's not.\There's too great a difference in our levels.\Even if I did go, I'd just be in the way.\All we can do is pray for their victory from here.\Y- you're probably right.\Right! Right!\Yamucha- sama, don't die!\Son- kun, get here soon! response:	Get here soon!
context: There's too great a difference in our levels.\Even if I did go, I'd just be in the way.\All we can do is pray for their victory from here.\Y- you're probably right.\Right! Right!\Yamucha- sama, don't die!\Son- kun, get here soon!\Get here soon! response:	Hold out until I get there, everyone!
context: Even if I did go, I'd just be in the way.\All we can do is pray for their victory from here.\Y- you're probably right.\Right! Right!\Yamucha- sama, don't die!\Son- kun, get here soon!\Get here soon!\Hold out until I get there, everyone! response:	This is great! This planet Earth here has fairly little gravity,
context: All we can do is pray for their victory from here.\Y- you're probably right.\Right! Right!\Yamucha- sama, don't die!\Son- kun, get here soon!\Get here soon!\Hold out until I get there, everyone!\This is great! This planet Earth here has fairly little gravity, response:	and we can move with no difficulty at all!
context: Y- you're probably right.\Right! Right!\Yamucha- sama, don't die!\Son- kun, get here soon!\Get here soon!\Hold out until I get there, everyone!\This is great! This planet Earth here has fairly little gravity,\and we can move with no difficulty at all! response:	They're moving at incredible speed!
context: Right! Right!\Yamucha- sama, don't die!\Son- kun, get here soon!\Get here soon!\Hold out until I get there, everyone!\This is great! This planet Earth here has fairly little gravity,\and we can move with no difficulty at all!\They're moving at incredible speed! response:	They're heading straight for that area where those two other large Ki are!
context: Yamucha- sama, don't die!\Son- kun, get here soon!\Get here soon!\Hold out until I get there, everyone!\This is great! This planet Earth here has fairly little gravity,\and we can move with no difficulty at all!\They're moving at incredible speed!\They're heading straight for that area where those two other large Ki are! response:	Is that where Tenshinhan- san and them are?
context: Son- kun, get here soon!\Get here soon!\Hold out until I get there, everyone!\This is great! This planet Earth here has fairly little gravity,\and we can move with no difficulty at all!\They're moving at incredible speed!\They're heading straight for that area where those two other large Ki are!\Is that where Tenshinhan- san and them are? response:	Or is it where Piccolo and Goku's son are?
context: Get here soon!\Hold out until I get there, everyone!\This is great! This planet Earth here has fairly little gravity,\and we can move with no difficulty at all!\They're moving at incredible speed!\They're heading straight for that area where those two other large Ki are!\Is that where Tenshinhan- san and them are?\Or is it where Piccolo and Goku's son are? response:	They're coming. They intend to come here.
context: Hold out until I get there, everyone!\This is great! This planet Earth here has fairly little gravity,\and we can move with no difficulty at all!\They're moving at incredible speed!\They're heading straight for that area where those two other large Ki are!\Is that where Tenshinhan- san and them are?\Or is it where Piccolo and Goku's son are?\They're coming. They intend to come here. response:	Right.
context: This is great! This planet Earth here has fairly little gravity,\and we can move with no difficulty at all!\They're moving at incredible speed!\They're heading straight for that area where those two other large Ki are!\Is that where Tenshinhan- san and them are?\Or is it where Piccolo and Goku's son are?\They're coming. They intend to come here.\Right. response:	Chaozu, you stay here!
context: and we can move with no difficulty at all!\They're moving at incredible speed!\They're heading straight for that area where those two other large Ki are!\Is that where Tenshinhan- san and them are?\Or is it where Piccolo and Goku's son are?\They're coming. They intend to come here.\Right.\Chaozu, you stay here! response:	No way! I'm coming, too! I trained hard, and I'm coming!
context: They're moving at incredible speed!\They're heading straight for that area where those two other large Ki are!\Is that where Tenshinhan- san and them are?\Or is it where Piccolo and Goku's son are?\They're coming. They intend to come here.\Right.\Chaozu, you stay here!\No way! I'm coming, too! I trained hard, and I'm coming! response:	Together with you, Ten- san!
context: They're heading straight for that area where those two other large Ki are!\Is that where Tenshinhan- san and them are?\Or is it where Piccolo and Goku's son are?\They're coming. They intend to come here.\Right.\Chaozu, you stay here!\No way! I'm coming, too! I trained hard, and I'm coming!\Together with you, Ten- san! response:	W- what the hell happened here!?
context: Is that where Tenshinhan- san and them are?\Or is it where Piccolo and Goku's son are?\They're coming. They intend to come here.\Right.\Chaozu, you stay here!\No way! I'm coming, too! I trained hard, and I'm coming!\Together with you, Ten- san!\W- what the hell happened here!? response:	Er, the scene is more terrible than you can imagine.
context: Or is it where Piccolo and Goku's son are?\They're coming. They intend to come here.\Right.\Chaozu, you stay here!\No way! I'm coming, too! I trained hard, and I'm coming!\Together with you, Ten- san!\W- what the hell happened here!?\Er, the scene is more terrible than you can imagine. response:	Metro East has been wiped out without a trace.
context: They're coming. They intend to come here.\Right.\Chaozu, you stay here!\No way! I'm coming, too! I trained hard, and I'm coming!\Together with you, Ten- san!\W- what the hell happened here!?\Er, the scene is more terrible than you can imagine.\Metro East has been wiped out without a trace. response:	What in the world could have happened here?
context: Right.\Chaozu, you stay here!\No way! I'm coming, too! I trained hard, and I'm coming!\Together with you, Ten- san!\W- what the hell happened here!?\Er, the scene is more terrible than you can imagine.\Metro East has been wiped out without a trace.\What in the world could have happened here? response:	Chief, how is the investigation coming?
context: Chaozu, you stay here!\No way! I'm coming, too! I trained hard, and I'm coming!\Together with you, Ten- san!\W- what the hell happened here!?\Er, the scene is more terrible than you can imagine.\Metro East has been wiped out without a trace.\What in the world could have happened here?\Chief, how is the investigation coming? response:	We haven't the faintest idea.
context: No way! I'm coming, too! I trained hard, and I'm coming!\Together with you, Ten- san!\W- what the hell happened here!?\Er, the scene is more terrible than you can imagine.\Metro East has been wiped out without a trace.\What in the world could have happened here?\Chief, how is the investigation coming?\We haven't the faintest idea. response:	This ain't no ordinary case!
context: Together with you, Ten- san!\W- what the hell happened here!?\Er, the scene is more terrible than you can imagine.\Metro East has been wiped out without a trace.\What in the world could have happened here?\Chief, how is the investigation coming?\We haven't the faintest idea.\This ain't no ordinary case! response:	Who is that?
context: W- what the hell happened here!?\Er, the scene is more terrible than you can imagine.\Metro East has been wiped out without a trace.\What in the world could have happened here?\Chief, how is the investigation coming?\We haven't the faintest idea.\This ain't no ordinary case!\Who is that? response:	I knew it! So this was the Saiyan's doin'!
context: Er, the scene is more terrible than you can imagine.\Metro East has been wiped out without a trace.\What in the world could have happened here?\Chief, how is the investigation coming?\We haven't the faintest idea.\This ain't no ordinary case!\Who is that?\I knew it! So this was the Saiyan's doin'! response:	Are they tellin' me I gotta fight someone with this kinda power!?
context: Metro East has been wiped out without a trace.\What in the world could have happened here?\Chief, how is the investigation coming?\We haven't the faintest idea.\This ain't no ordinary case!\Who is that?\I knew it! So this was the Saiyan's doin'!\Are they tellin' me I gotta fight someone with this kinda power!? response:	H- hey, you!
context: What in the world could have happened here?\Chief, how is the investigation coming?\We haven't the faintest idea.\This ain't no ordinary case!\Who is that?\I knew it! So this was the Saiyan's doin'!\Are they tellin' me I gotta fight someone with this kinda power!?\H- hey, you! response:	What are you doing there!? A- are you the one who did this!?
context: Chief, how is the investigation coming?\We haven't the faintest idea.\This ain't no ordinary case!\Who is that?\I knew it! So this was the Saiyan's doin'!\Are they tellin' me I gotta fight someone with this kinda power!?\H- hey, you!\What are you doing there!? A- are you the one who did this!? response:	You dimwit! There ain't no way I coulda done this!
context: We haven't the faintest idea.\This ain't no ordinary case!\Who is that?\I knew it! So this was the Saiyan's doin'!\Are they tellin' me I gotta fight someone with this kinda power!?\H- hey, you!\What are you doing there!? A- are you the one who did this!?\You dimwit! There ain't no way I coulda done this! response:	If I had this sorta power, I wouldn't be so scared, y'know!?
context: This ain't no ordinary case!\Who is that?\I knew it! So this was the Saiyan's doin'!\Are they tellin' me I gotta fight someone with this kinda power!?\H- hey, you!\What are you doing there!? A- are you the one who did this!?\You dimwit! There ain't no way I coulda done this!\If I had this sorta power, I wouldn't be so scared, y'know!? response:	You know something, don't you!?
context: Who is that?\I knew it! So this was the Saiyan's doin'!\Are they tellin' me I gotta fight someone with this kinda power!?\H- hey, you!\What are you doing there!? A- are you the one who did this!?\You dimwit! There ain't no way I coulda done this!\If I had this sorta power, I wouldn't be so scared, y'know!?\You know something, don't you!? response:	Chief!
context: I knew it! So this was the Saiyan's doin'!\Are they tellin' me I gotta fight someone with this kinda power!?\H- hey, you!\What are you doing there!? A- are you the one who did this!?\You dimwit! There ain't no way I coulda done this!\If I had this sorta power, I wouldn't be so scared, y'know!?\You know something, don't you!?\Chief! response:	Hey!
context: Are they tellin' me I gotta fight someone with this kinda power!?\H- hey, you!\What are you doing there!? A- are you the one who did this!?\You dimwit! There ain't no way I coulda done this!\If I had this sorta power, I wouldn't be so scared, y'know!?\You know something, don't you!?\Chief!\Hey! response:	This was done by aliens, who're called Saiyans !
context: H- hey, you!\What are you doing there!? A- are you the one who did this!?\You dimwit! There ain't no way I coulda done this!\If I had this sorta power, I wouldn't be so scared, y'know!?\You know something, don't you!?\Chief!\Hey!\This was done by aliens, who're called Saiyans ! response:	W- what!? Aliens!?
context: What are you doing there!? A- are you the one who did this!?\You dimwit! There ain't no way I coulda done this!\If I had this sorta power, I wouldn't be so scared, y'know!?\You know something, don't you!?\Chief!\Hey!\This was done by aliens, who're called Saiyans !\W- what!? Aliens!? response:	They're fixin' to exterminate everyone on earth! Every last one!
context: You dimwit! There ain't no way I coulda done this!\If I had this sorta power, I wouldn't be so scared, y'know!?\You know something, don't you!?\Chief!\Hey!\This was done by aliens, who're called Saiyans !\W- what!? Aliens!?\They're fixin' to exterminate everyone on earth! Every last one! response:	My boys're fightin''em right now for ya, to make sure they don't get their way.
context: If I had this sorta power, I wouldn't be so scared, y'know!?\You know something, don't you!?\Chief!\Hey!\This was done by aliens, who're called Saiyans !\W- what!? Aliens!?\They're fixin' to exterminate everyone on earth! Every last one!\My boys're fightin''em right now for ya, to make sure they don't get their way. response:	Ya got that!?
context: You know something, don't you!?\Chief!\Hey!\This was done by aliens, who're called Saiyans !\W- what!? Aliens!?\They're fixin' to exterminate everyone on earth! Every last one!\My boys're fightin''em right now for ya, to make sure they don't get their way.\Ya got that!? response:	Of all things!
context: Chief!\Hey!\This was done by aliens, who're called Saiyans !\W- what!? Aliens!?\They're fixin' to exterminate everyone on earth! Every last one!\My boys're fightin''em right now for ya, to make sure they don't get their way.\Ya got that!?\Of all things! response:	Come on, now, it's dangerous for the general public to be here!
context: Hey!\This was done by aliens, who're called Saiyans !\W- what!? Aliens!?\They're fixin' to exterminate everyone on earth! Every last one!\My boys're fightin''em right now for ya, to make sure they don't get their way.\Ya got that!?\Of all things!\Come on, now, it's dangerous for the general public to be here! response:	Go home! Go home!
context: This was done by aliens, who're called Saiyans !\W- what!? Aliens!?\They're fixin' to exterminate everyone on earth! Every last one!\My boys're fightin''em right now for ya, to make sure they don't get their way.\Ya got that!?\Of all things!\Come on, now, it's dangerous for the general public to be here!\Go home! Go home! response:	There are guys like this one running around out there, you know.
context: W- what!? Aliens!?\They're fixin' to exterminate everyone on earth! Every last one!\My boys're fightin''em right now for ya, to make sure they don't get their way.\Ya got that!?\Of all things!\Come on, now, it's dangerous for the general public to be here!\Go home! Go home!\There are guys like this one running around out there, you know. response:	True, true...
context: They're fixin' to exterminate everyone on earth! Every last one!\My boys're fightin''em right now for ya, to make sure they don't get their way.\Ya got that!?\Of all things!\Come on, now, it's dangerous for the general public to be here!\Go home! Go home!\There are guys like this one running around out there, you know.\True, true... response:	All right then, you guys! How do you explain this weird situation!? Eh!?
context: My boys're fightin''em right now for ya, to make sure they don't get their way.\Ya got that!?\Of all things!\Come on, now, it's dangerous for the general public to be here!\Go home! Go home!\There are guys like this one running around out there, you know.\True, true...\All right then, you guys! How do you explain this weird situation!? Eh!? response:	'sides, look over there at those!
context: Ya got that!?\Of all things!\Come on, now, it's dangerous for the general public to be here!\Go home! Go home!\There are guys like this one running around out there, you know.\True, true...\All right then, you guys! How do you explain this weird situation!? Eh!?\'sides, look over there at those! response:	Kind of large for basketballs, aren't they?
context: Of all things!\Come on, now, it's dangerous for the general public to be here!\Go home! Go home!\There are guys like this one running around out there, you know.\True, true...\All right then, you guys! How do you explain this weird situation!? Eh!?\'sides, look over there at those!\Kind of large for basketballs, aren't they? response:	You stupid numbskull!
context: Come on, now, it's dangerous for the general public to be here!\Go home! Go home!\There are guys like this one running around out there, you know.\True, true...\All right then, you guys! How do you explain this weird situation!? Eh!?\'sides, look over there at those!\Kind of large for basketballs, aren't they?\You stupid numbskull! response:	N- numbskull!?
context: Go home! Go home!\There are guys like this one running around out there, you know.\True, true...\All right then, you guys! How do you explain this weird situation!? Eh!?\'sides, look over there at those!\Kind of large for basketballs, aren't they?\You stupid numbskull!\N- numbskull!? response:	Those're the spaceships that the Saiyan's came in!
context: There are guys like this one running around out there, you know.\True, true...\All right then, you guys! How do you explain this weird situation!? Eh!?\'sides, look over there at those!\Kind of large for basketballs, aren't they?\You stupid numbskull!\N- numbskull!?\Those're the spaceships that the Saiyan's came in! response:	-Spaceships!? -Spaceships!? -Spaceships!?
context: True, true...\All right then, you guys! How do you explain this weird situation!? Eh!?\'sides, look over there at those!\Kind of large for basketballs, aren't they?\You stupid numbskull!\N- numbskull!?\Those're the spaceships that the Saiyan's came in!\-Spaceships!? -Spaceships!? -Spaceships!? response:	T- they couldn't be!
context: All right then, you guys! How do you explain this weird situation!? Eh!?\'sides, look over there at those!\Kind of large for basketballs, aren't they?\You stupid numbskull!\N- numbskull!?\Those're the spaceships that the Saiyan's came in!\-Spaceships!? -Spaceships!? -Spaceships!?\T- they couldn't be! response:	So check'em out!
context: 'sides, look over there at those!\Kind of large for basketballs, aren't they?\You stupid numbskull!\N- numbskull!?\Those're the spaceships that the Saiyan's came in!\-Spaceships!? -Spaceships!? -Spaceships!?\T- they couldn't be!\So check'em out! response:	Hey, crime lab!
context: Kind of large for basketballs, aren't they?\You stupid numbskull!\N- numbskull!?\Those're the spaceships that the Saiyan's came in!\-Spaceships!? -Spaceships!? -Spaceships!?\T- they couldn't be!\So check'em out!\Hey, crime lab! response:	-Yes? -Yes?
context: You stupid numbskull!\N- numbskull!?\Those're the spaceships that the Saiyan's came in!\-Spaceships!? -Spaceships!? -Spaceships!?\T- they couldn't be!\So check'em out!\Hey, crime lab!\-Yes? -Yes? response:	Examine- examine those things.
context: N- numbskull!?\Those're the spaceships that the Saiyan's came in!\-Spaceships!? -Spaceships!? -Spaceships!?\T- they couldn't be!\So check'em out!\Hey, crime lab!\-Yes? -Yes?\Examine- examine those things. response:	-Right! -Right!
context: Those're the spaceships that the Saiyan's came in!\-Spaceships!? -Spaceships!? -Spaceships!?\T- they couldn't be!\So check'em out!\Hey, crime lab!\-Yes? -Yes?\Examine- examine those things.\-Right! -Right! response:	I'm from AHO TV. C- come over here a second...
