context: How is it? response:	Good!
context: Um...\Reina-chan, do you like sweet buns?\What's that?\Round sweets.\Then I like it!\Then Rin, pour some barley tea for Reina-chan.\Okay. Reina-chan, let's go.\You came right during snack time! response:	I wanna eat snacks, too!
context: Reina-chan, do you like sweet buns?\What's that?\Round sweets.\Then I like it!\Then Rin, pour some barley tea for Reina-chan.\Okay. Reina-chan, let's go.\You came right during snack time!\I wanna eat snacks, too! response:	I dunno about tomorrow.
context: What's that?\Round sweets.\Then I like it!\Then Rin, pour some barley tea for Reina-chan.\Okay. Reina-chan, let's go.\You came right during snack time!\I wanna eat snacks, too!\I dunno about tomorrow. response:	It's different than a sacrifice. Something's off.
context: Round sweets.\Then I like it!\Then Rin, pour some barley tea for Reina-chan.\Okay. Reina-chan, let's go.\You came right during snack time!\I wanna eat snacks, too!\I dunno about tomorrow.\It's different than a sacrifice. Something's off. response:	I don't think it's like some penalty game.
context: Then I like it!\Then Rin, pour some barley tea for Reina-chan.\Okay. Reina-chan, let's go.\You came right during snack time!\I wanna eat snacks, too!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game. response:	So, why? I don't get it at all.
context: Then Rin, pour some barley tea for Reina-chan.\Okay. Reina-chan, let's go.\You came right during snack time!\I wanna eat snacks, too!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all. response:	I'm a little bit unsatisfied, but your presence
context: Okay. Reina-chan, let's go.\You came right during snack time!\I wanna eat snacks, too!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence response:	right now is more than just important.
context: You came right during snack time!\I wanna eat snacks, too!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important. response:	There's no such thing in this world
context: I wanna eat snacks, too!\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world response:	as something never-ending.
context: I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending. response:	Crying isn't painful, it's love's sweet drops, sweet drops!
context: It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops! response:	I want to keep dreaming forever, ya know?
context: I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know? response:	I want to be more kind, ya know?
context: So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know? response:	As long as Im with you, Im happy.
context: I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy. response:	Girls sure are strong, ya know?
context: right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know? response:	But sometimes we're weak, ya know?
context: There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know? response:	Our wish is to be happy, happy, happy!
context: as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy! response:	And those days will be happy, too!
context: Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too! response:	Just wanna make you happy!
context: I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy! response:	Yummy!
context: I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Yummy! response:	I know, right?
context: As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Yummy!\I know, right? response:	This is the first time I've had it!
context: Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Yummy!\I know, right?\This is the first time I've had it! response:	Thank you.
context: But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Yummy!\I know, right?\This is the first time I've had it!\Thank you. response:	Wow. This is my first time here, but it's like Grandpa's house...
context: Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Yummy!\I know, right?\This is the first time I've had it!\Thank you.\Wow. This is my first time here, but it's like Grandpa's house... response:	More importantly, what's wrong?
context: And those days will be happy, too!\Just wanna make you happy!\Yummy!\I know, right?\This is the first time I've had it!\Thank you.\Wow. This is my first time here, but it's like Grandpa's house...\More importantly, what's wrong? response:	You bring a school satchel over on a Sunday...
context: Just wanna make you happy!\Yummy!\I know, right?\This is the first time I've had it!\Thank you.\Wow. This is my first time here, but it's like Grandpa's house...\More importantly, what's wrong?\You bring a school satchel over on a Sunday... response:	Sorry.
context: Yummy!\I know, right?\This is the first time I've had it!\Thank you.\Wow. This is my first time here, but it's like Grandpa's house...\More importantly, what's wrong?\You bring a school satchel over on a Sunday...\Sorry. response:	Actually, we... ran away from home.
context: I know, right?\This is the first time I've had it!\Thank you.\Wow. This is my first time here, but it's like Grandpa's house...\More importantly, what's wrong?\You bring a school satchel over on a Sunday...\Sorry.\Actually, we... ran away from home. response:	Wh-wh-wha...?!
context: This is the first time I've had it!\Thank you.\Wow. This is my first time here, but it's like Grandpa's house...\More importantly, what's wrong?\You bring a school satchel over on a Sunday...\Sorry.\Actually, we... ran away from home.\Wh-wh-wha...?! response:	The folks at the house will worry!
context: Thank you.\Wow. This is my first time here, but it's like Grandpa's house...\More importantly, what's wrong?\You bring a school satchel over on a Sunday...\Sorry.\Actually, we... ran away from home.\Wh-wh-wha...?!\The folks at the house will worry! response:	Why would you do that?!
context: Wow. This is my first time here, but it's like Grandpa's house...\More importantly, what's wrong?\You bring a school satchel over on a Sunday...\Sorry.\Actually, we... ran away from home.\Wh-wh-wha...?!\The folks at the house will worry!\Why would you do that?! response:	Is it... uh... you know...?
context: More importantly, what's wrong?\You bring a school satchel over on a Sunday...\Sorry.\Actually, we... ran away from home.\Wh-wh-wha...?!\The folks at the house will worry!\Why would you do that?!\Is it... uh... you know...? response:	Is it what?!
context: You bring a school satchel over on a Sunday...\Sorry.\Actually, we... ran away from home.\Wh-wh-wha...?!\The folks at the house will worry!\Why would you do that?!\Is it... uh... you know...?\Is it what?! response:	Y-You know. Your husband...
context: Sorry.\Actually, we... ran away from home.\Wh-wh-wha...?!\The folks at the house will worry!\Why would you do that?!\Is it... uh... you know...?\Is it what?!\Y-You know. Your husband... response:	That's part of it.
context: Actually, we... ran away from home.\Wh-wh-wha...?!\The folks at the house will worry!\Why would you do that?!\Is it... uh... you know...?\Is it what?!\Y-You know. Your husband...\That's part of it. response:	Part of it?
context: Wh-wh-wha...?!\The folks at the house will worry!\Why would you do that?!\Is it... uh... you know...?\Is it what?!\Y-You know. Your husband...\That's part of it.\Part of it? response:	Part of it!
context: The folks at the house will worry!\Why would you do that?!\Is it... uh... you know...?\Is it what?!\Y-You know. Your husband...\That's part of it.\Part of it?\Part of it! response:	And is there something with his parents there...
context: Why would you do that?!\Is it... uh... you know...?\Is it what?!\Y-You know. Your husband...\That's part of it.\Part of it?\Part of it!\And is there something with his parents there... response:	That's part of it, too!
context: Is it... uh... you know...?\Is it what?!\Y-You know. Your husband...\That's part of it.\Part of it?\Part of it!\And is there something with his parents there...\That's part of it, too! response:	I-I guess it's difficult living with your husband's parents...?
context: Is it what?!\Y-You know. Your husband...\That's part of it.\Part of it?\Part of it!\And is there something with his parents there...\That's part of it, too!\I-I guess it's difficult living with your husband's parents...? response:	I wonder if peaceful cohabitation between a wife and her in-laws even exists...
context: Y-You know. Your husband...\That's part of it.\Part of it?\Part of it!\And is there something with his parents there...\That's part of it, too!\I-I guess it's difficult living with your husband's parents...?\I wonder if peaceful cohabitation between a wife and her in-laws even exists... response:	Scary!
context: That's part of it.\Part of it?\Part of it!\And is there something with his parents there...\That's part of it, too!\I-I guess it's difficult living with your husband's parents...?\I wonder if peaceful cohabitation between a wife and her in-laws even exists...\Scary! response:	I have no brothers or sisters and there's nowhere else for me to go.
context: Part of it?\Part of it!\And is there something with his parents there...\That's part of it, too!\I-I guess it's difficult living with your husband's parents...?\I wonder if peaceful cohabitation between a wife and her in-laws even exists...\Scary!\I have no brothers or sisters and there's nowhere else for me to go. response:	That's the arithmetic book we use, too!
context: Part of it!\And is there something with his parents there...\That's part of it, too!\I-I guess it's difficult living with your husband's parents...?\I wonder if peaceful cohabitation between a wife and her in-laws even exists...\Scary!\I have no brothers or sisters and there's nowhere else for me to go.\That's the arithmetic book we use, too! response:	Can we stay here, Dai-chan?
context: And is there something with his parents there...\That's part of it, too!\I-I guess it's difficult living with your husband's parents...?\I wonder if peaceful cohabitation between a wife and her in-laws even exists...\Scary!\I have no brothers or sisters and there's nowhere else for me to go.\That's the arithmetic book we use, too!\Can we stay here, Dai-chan? response:	Really?
context: That's part of it, too!\I-I guess it's difficult living with your husband's parents...?\I wonder if peaceful cohabitation between a wife and her in-laws even exists...\Scary!\I have no brothers or sisters and there's nowhere else for me to go.\That's the arithmetic book we use, too!\Can we stay here, Dai-chan?\Really? response:	Let me see your other textbooks, too!
context: I-I guess it's difficult living with your husband's parents...?\I wonder if peaceful cohabitation between a wife and her in-laws even exists...\Scary!\I have no brothers or sisters and there's nowhere else for me to go.\That's the arithmetic book we use, too!\Can we stay here, Dai-chan?\Really?\Let me see your other textbooks, too! response:	F-First, let's talk things through.
context: I wonder if peaceful cohabitation between a wife and her in-laws even exists...\Scary!\I have no brothers or sisters and there's nowhere else for me to go.\That's the arithmetic book we use, too!\Can we stay here, Dai-chan?\Really?\Let me see your other textbooks, too!\F-First, let's talk things through. response:	Sure. Um...
context: Scary!\I have no brothers or sisters and there's nowhere else for me to go.\That's the arithmetic book we use, too!\Can we stay here, Dai-chan?\Really?\Let me see your other textbooks, too!\F-First, let's talk things through.\Sure. Um... response:	Now what about your in-laws?
context: I have no brothers or sisters and there's nowhere else for me to go.\That's the arithmetic book we use, too!\Can we stay here, Dai-chan?\Really?\Let me see your other textbooks, too!\F-First, let's talk things through.\Sure. Um...\Now what about your in-laws? response:	Your Japanese book is different than mine!
context: That's the arithmetic book we use, too!\Can we stay here, Dai-chan?\Really?\Let me see your other textbooks, too!\F-First, let's talk things through.\Sure. Um...\Now what about your in-laws?\Your Japanese book is different than mine! response:	It's okay.
context: Can we stay here, Dai-chan?\Really?\Let me see your other textbooks, too!\F-First, let's talk things through.\Sure. Um...\Now what about your in-laws?\Your Japanese book is different than mine!\It's okay. response:	I left a note.
context: Really?\Let me see your other textbooks, too!\F-First, let's talk things through.\Sure. Um...\Now what about your in-laws?\Your Japanese book is different than mine!\It's okay.\I left a note. response:	I wanna see yours!
context: Let me see your other textbooks, too!\F-First, let's talk things through.\Sure. Um...\Now what about your in-laws?\Your Japanese book is different than mine!\It's okay.\I left a note.\I wanna see yours! response:	I didn't say where we were going, though...
context: F-First, let's talk things through.\Sure. Um...\Now what about your in-laws?\Your Japanese book is different than mine!\It's okay.\I left a note.\I wanna see yours!\I didn't say where we were going, though... response:	Sure, let's go!
context: Sure. Um...\Now what about your in-laws?\Your Japanese book is different than mine!\It's okay.\I left a note.\I wanna see yours!\I didn't say where we were going, though...\Sure, let's go! response:	And I'll take Reina to school...
context: Now what about your in-laws?\Your Japanese book is different than mine!\It's okay.\I left a note.\I wanna see yours!\I didn't say where we were going, though...\Sure, let's go!\And I'll take Reina to school... response:	Other than that...
context: Your Japanese book is different than mine!\It's okay.\I left a note.\I wanna see yours!\I didn't say where we were going, though...\Sure, let's go!\And I'll take Reina to school...\Other than that... response:	I haven't given it much thought.
context: It's okay.\I left a note.\I wanna see yours!\I didn't say where we were going, though...\Sure, let's go!\And I'll take Reina to school...\Other than that...\I haven't given it much thought. response:	I haven't even told my parents yet...
context: I left a note.\I wanna see yours!\I didn't say where we were going, though...\Sure, let's go!\And I'll take Reina to school...\Other than that...\I haven't given it much thought.\I haven't even told my parents yet... response:	Haven't given it much thought?
context: I wanna see yours!\I didn't say where we were going, though...\Sure, let's go!\And I'll take Reina to school...\Other than that...\I haven't given it much thought.\I haven't even told my parents yet...\Haven't given it much thought? response:	You've got your daughter with you...
context: I didn't say where we were going, though...\Sure, let's go!\And I'll take Reina to school...\Other than that...\I haven't given it much thought.\I haven't even told my parents yet...\Haven't given it much thought?\You've got your daughter with you... response:	Haruko...
context: Sure, let's go!\And I'll take Reina to school...\Other than that...\I haven't given it much thought.\I haven't even told my parents yet...\Haven't given it much thought?\You've got your daughter with you...\Haruko... response:	Well, I had no other choice!
context: And I'll take Reina to school...\Other than that...\I haven't given it much thought.\I haven't even told my parents yet...\Haven't given it much thought?\You've got your daughter with you...\Haruko...\Well, I had no other choice! response:	I just had to get out of that house!
context: Other than that...\I haven't given it much thought.\I haven't even told my parents yet...\Haven't given it much thought?\You've got your daughter with you...\Haruko...\Well, I had no other choice!\I just had to get out of that house! response:	I couldn't stand it another second!
context: I haven't given it much thought.\I haven't even told my parents yet...\Haven't given it much thought?\You've got your daughter with you...\Haruko...\Well, I had no other choice!\I just had to get out of that house!\I couldn't stand it another second! response:	Fine...
context: I haven't even told my parents yet...\Haven't given it much thought?\You've got your daughter with you...\Haruko...\Well, I had no other choice!\I just had to get out of that house!\I couldn't stand it another second!\Fine... response:	For now, why don't we go grocery shopping for tonight?
context: Haven't given it much thought?\You've got your daughter with you...\Haruko...\Well, I had no other choice!\I just had to get out of that house!\I couldn't stand it another second!\Fine...\For now, why don't we go grocery shopping for tonight? response:	Dai-chan...
context: You've got your daughter with you...\Haruko...\Well, I had no other choice!\I just had to get out of that house!\I couldn't stand it another second!\Fine...\For now, why don't we go grocery shopping for tonight?\Dai-chan... response:	I don't have anything, but you can use the room on the right.
context: Haruko...\Well, I had no other choice!\I just had to get out of that house!\I couldn't stand it another second!\Fine...\For now, why don't we go grocery shopping for tonight?\Dai-chan...\I don't have anything, but you can use the room on the right. response:	It really is different!
context: Well, I had no other choice!\I just had to get out of that house!\I couldn't stand it another second!\Fine...\For now, why don't we go grocery shopping for tonight?\Dai-chan...\I don't have anything, but you can use the room on the right.\It really is different! response:	Thank you. It's a little heavy.
context: I just had to get out of that house!\I couldn't stand it another second!\Fine...\For now, why don't we go grocery shopping for tonight?\Dai-chan...\I don't have anything, but you can use the room on the right.\It really is different!\Thank you. It's a little heavy. response:	What the hell did you cram in here?!
context: I couldn't stand it another second!\Fine...\For now, why don't we go grocery shopping for tonight?\Dai-chan...\I don't have anything, but you can use the room on the right.\It really is different!\Thank you. It's a little heavy.\What the hell did you cram in here?! response:	Reina's slippers and textbooks are in there, too...
context: Fine...\For now, why don't we go grocery shopping for tonight?\Dai-chan...\I don't have anything, but you can use the room on the right.\It really is different!\Thank you. It's a little heavy.\What the hell did you cram in here?!\Reina's slippers and textbooks are in there, too... response:	I'm surprised you made it this far.
context: For now, why don't we go grocery shopping for tonight?\Dai-chan...\I don't have anything, but you can use the room on the right.\It really is different!\Thank you. It's a little heavy.\What the hell did you cram in here?!\Reina's slippers and textbooks are in there, too...\I'm surprised you made it this far. response:	Dai-chan, usually you just make do with whatever, right?
context: Dai-chan...\I don't have anything, but you can use the room on the right.\It really is different!\Thank you. It's a little heavy.\What the hell did you cram in here?!\Reina's slippers and textbooks are in there, too...\I'm surprised you made it this far.\Dai-chan, usually you just make do with whatever, right? response:	Well, tonight I'll cook you a decent meal.
context: I don't have anything, but you can use the room on the right.\It really is different!\Thank you. It's a little heavy.\What the hell did you cram in here?!\Reina's slippers and textbooks are in there, too...\I'm surprised you made it this far.\Dai-chan, usually you just make do with whatever, right?\Well, tonight I'll cook you a decent meal. response:	I do not just make do!
context: It really is different!\Thank you. It's a little heavy.\What the hell did you cram in here?!\Reina's slippers and textbooks are in there, too...\I'm surprised you made it this far.\Dai-chan, usually you just make do with whatever, right?\Well, tonight I'll cook you a decent meal.\I do not just make do! response:	Daikichi, can we look at the sweets?
context: Thank you. It's a little heavy.\What the hell did you cram in here?!\Reina's slippers and textbooks are in there, too...\I'm surprised you made it this far.\Dai-chan, usually you just make do with whatever, right?\Well, tonight I'll cook you a decent meal.\I do not just make do!\Daikichi, can we look at the sweets? response:	You can each choose one thing.
context: What the hell did you cram in here?!\Reina's slippers and textbooks are in there, too...\I'm surprised you made it this far.\Dai-chan, usually you just make do with whatever, right?\Well, tonight I'll cook you a decent meal.\I do not just make do!\Daikichi, can we look at the sweets?\You can each choose one thing. response:	Okay!
context: Reina's slippers and textbooks are in there, too...\I'm surprised you made it this far.\Dai-chan, usually you just make do with whatever, right?\Well, tonight I'll cook you a decent meal.\I do not just make do!\Daikichi, can we look at the sweets?\You can each choose one thing.\Okay! response:	What kind of meat should we get?
context: I'm surprised you made it this far.\Dai-chan, usually you just make do with whatever, right?\Well, tonight I'll cook you a decent meal.\I do not just make do!\Daikichi, can we look at the sweets?\You can each choose one thing.\Okay!\What kind of meat should we get? response:	It's all the same to me.
context: Dai-chan, usually you just make do with whatever, right?\Well, tonight I'll cook you a decent meal.\I do not just make do!\Daikichi, can we look at the sweets?\You can each choose one thing.\Okay!\What kind of meat should we get?\It's all the same to me. response:	Not that one!
context: Well, tonight I'll cook you a decent meal.\I do not just make do!\Daikichi, can we look at the sweets?\You can each choose one thing.\Okay!\What kind of meat should we get?\It's all the same to me.\Not that one! response:	This one.
context: I do not just make do!\Daikichi, can we look at the sweets?\You can each choose one thing.\Okay!\What kind of meat should we get?\It's all the same to me.\Not that one!\This one. response:	No, this one's a little...
context: Daikichi, can we look at the sweets?\You can each choose one thing.\Okay!\What kind of meat should we get?\It's all the same to me.\Not that one!\This one.\No, this one's a little... response:	Daikichi-san! Hello.
context: You can each choose one thing.\Okay!\What kind of meat should we get?\It's all the same to me.\Not that one!\This one.\No, this one's a little...\Daikichi-san! Hello. response:	Dai-chan, this ground beef and pork combo is really cheap...
context: Okay!\What kind of meat should we get?\It's all the same to me.\Not that one!\This one.\No, this one's a little...\Daikichi-san! Hello.\Dai-chan, this ground beef and pork combo is really cheap... response:	Oh, crap!
context: What kind of meat should we get?\It's all the same to me.\Not that one!\This one.\No, this one's a little...\Daikichi-san! Hello.\Dai-chan, this ground beef and pork combo is really cheap...\Oh, crap! response:	Uh... This isn't what it looks like!
context: It's all the same to me.\Not that one!\This one.\No, this one's a little...\Daikichi-san! Hello.\Dai-chan, this ground beef and pork combo is really cheap...\Oh, crap!\Uh... This isn't what it looks like! response:	This is Haruko, my cousin from my mother's side!
context: Not that one!\This one.\No, this one's a little...\Daikichi-san! Hello.\Dai-chan, this ground beef and pork combo is really cheap...\Oh, crap!\Uh... This isn't what it looks like!\This is Haruko, my cousin from my mother's side! response:	Who cares what side I'm from?
context: This one.\No, this one's a little...\Daikichi-san! Hello.\Dai-chan, this ground beef and pork combo is really cheap...\Oh, crap!\Uh... This isn't what it looks like!\This is Haruko, my cousin from my mother's side!\Who cares what side I'm from? response:	O-Oh, really?
context: No, this one's a little...\Daikichi-san! Hello.\Dai-chan, this ground beef and pork combo is really cheap...\Oh, crap!\Uh... This isn't what it looks like!\This is Haruko, my cousin from my mother's side!\Who cares what side I'm from?\O-Oh, really? response:	Nice to meet you!
context: Daikichi-san! Hello.\Dai-chan, this ground beef and pork combo is really cheap...\Oh, crap!\Uh... This isn't what it looks like!\This is Haruko, my cousin from my mother's side!\Who cares what side I'm from?\O-Oh, really?\Nice to meet you! response:	My son is a classmate of Rin-chan, and I'm always obliged to Daikichi-san...
context: Dai-chan, this ground beef and pork combo is really cheap...\Oh, crap!\Uh... This isn't what it looks like!\This is Haruko, my cousin from my mother's side!\Who cares what side I'm from?\O-Oh, really?\Nice to meet you!\My son is a classmate of Rin-chan, and I'm always obliged to Daikichi-san... response:	What the hell am I saying?! She didn't ask who it was!
context: Oh, crap!\Uh... This isn't what it looks like!\This is Haruko, my cousin from my mother's side!\Who cares what side I'm from?\O-Oh, really?\Nice to meet you!\My son is a classmate of Rin-chan, and I'm always obliged to Daikichi-san...\What the hell am I saying?! She didn't ask who it was! response:	Why did I feel the need to explain it to her?!
context: Uh... This isn't what it looks like!\This is Haruko, my cousin from my mother's side!\Who cares what side I'm from?\O-Oh, really?\Nice to meet you!\My son is a classmate of Rin-chan, and I'm always obliged to Daikichi-san...\What the hell am I saying?! She didn't ask who it was!\Why did I feel the need to explain it to her?! response:	Oh? Then my daughter is the same age.
context: This is Haruko, my cousin from my mother's side!\Who cares what side I'm from?\O-Oh, really?\Nice to meet you!\My son is a classmate of Rin-chan, and I'm always obliged to Daikichi-san...\What the hell am I saying?! She didn't ask who it was!\Why did I feel the need to explain it to her?!\Oh? Then my daughter is the same age. response:	Oh, really?
context: Who cares what side I'm from?\O-Oh, really?\Nice to meet you!\My son is a classmate of Rin-chan, and I'm always obliged to Daikichi-san...\What the hell am I saying?! She didn't ask who it was!\Why did I feel the need to explain it to her?!\Oh? Then my daughter is the same age.\Oh, really? response:	This isn't what it looks like! What the hell...?!
context: O-Oh, really?\Nice to meet you!\My son is a classmate of Rin-chan, and I'm always obliged to Daikichi-san...\What the hell am I saying?! She didn't ask who it was!\Why did I feel the need to explain it to her?!\Oh? Then my daughter is the same age.\Oh, really?\This isn't what it looks like! What the hell...?! response:	I'm Reina!
context: Nice to meet you!\My son is a classmate of Rin-chan, and I'm always obliged to Daikichi-san...\What the hell am I saying?! She didn't ask who it was!\Why did I feel the need to explain it to her?!\Oh? Then my daughter is the same age.\Oh, really?\This isn't what it looks like! What the hell...?!\I'm Reina! response:	She's a first-grader from this year, so...
context: My son is a classmate of Rin-chan, and I'm always obliged to Daikichi-san...\What the hell am I saying?! She didn't ask who it was!\Why did I feel the need to explain it to her?!\Oh? Then my daughter is the same age.\Oh, really?\This isn't what it looks like! What the hell...?!\I'm Reina!\She's a first-grader from this year, so... response:	I'm Kouki.
context: What the hell am I saying?! She didn't ask who it was!\Why did I feel the need to explain it to her?!\Oh? Then my daughter is the same age.\Oh, really?\This isn't what it looks like! What the hell...?!\I'm Reina!\She's a first-grader from this year, so...\I'm Kouki. response:	Oh, my!
context: Why did I feel the need to explain it to her?!\Oh? Then my daughter is the same age.\Oh, really?\This isn't what it looks like! What the hell...?!\I'm Reina!\She's a first-grader from this year, so...\I'm Kouki.\Oh, my! response:	Yo, Kouki!
context: Oh? Then my daughter is the same age.\Oh, really?\This isn't what it looks like! What the hell...?!\I'm Reina!\She's a first-grader from this year, so...\I'm Kouki.\Oh, my!\Yo, Kouki! response:	What kind of sweets did you pick?
context: Oh, really?\This isn't what it looks like! What the hell...?!\I'm Reina!\She's a first-grader from this year, so...\I'm Kouki.\Oh, my!\Yo, Kouki!\What kind of sweets did you pick? response:	What's up, Daikichi!
context: This isn't what it looks like! What the hell...?!\I'm Reina!\She's a first-grader from this year, so...\I'm Kouki.\Oh, my!\Yo, Kouki!\What kind of sweets did you pick?\What's up, Daikichi! response:	This one!
