context: Hey! What are you looking for today? response:	Non-player characters...
context: Hey! You're totally hot! I'm in love with you!\In Elder Tale, players are called adventurers,\and NPCs are known as People of the Land.\But after the Apocalypse, something changed.\Serara, you're okay, right?\I'm so glad...\I'm really relieved.\Yes, I'm sorry I worried you. response:	Goodbye.
context: In Elder Tale, players are called adventurers,\and NPCs are known as People of the Land.\But after the Apocalypse, something changed.\Serara, you're okay, right?\I'm so glad...\I'm really relieved.\Yes, I'm sorry I worried you.\Goodbye. response:	I really am safe now, aren't I?
context: and NPCs are known as People of the Land.\But after the Apocalypse, something changed.\Serara, you're okay, right?\I'm so glad...\I'm really relieved.\Yes, I'm sorry I worried you.\Goodbye.\I really am safe now, aren't I? response:	We went over the Lyport Channel.
context: But after the Apocalypse, something changed.\Serara, you're okay, right?\I'm so glad...\I'm really relieved.\Yes, I'm sorry I worried you.\Goodbye.\I really am safe now, aren't I?\We went over the Lyport Channel. response:	They don't have griffons.
context: Serara, you're okay, right?\I'm so glad...\I'm really relieved.\Yes, I'm sorry I worried you.\Goodbye.\I really am safe now, aren't I?\We went over the Lyport Channel.\They don't have griffons. response:	We'll be fine now.
context: I'm so glad...\I'm really relieved.\Yes, I'm sorry I worried you.\Goodbye.\I really am safe now, aren't I?\We went over the Lyport Channel.\They don't have griffons.\We'll be fine now. response:	Now that I'm safe, I just feel kind of...
context: I'm really relieved.\Yes, I'm sorry I worried you.\Goodbye.\I really am safe now, aren't I?\We went over the Lyport Channel.\They don't have griffons.\We'll be fine now.\Now that I'm safe, I just feel kind of... response:	Thank you, everyone!
context: Yes, I'm sorry I worried you.\Goodbye.\I really am safe now, aren't I?\We went over the Lyport Channel.\They don't have griffons.\We'll be fine now.\Now that I'm safe, I just feel kind of...\Thank you, everyone! response:	Now that she feels safe, you feel hungry!
context: Goodbye.\I really am safe now, aren't I?\We went over the Lyport Channel.\They don't have griffons.\We'll be fine now.\Now that I'm safe, I just feel kind of...\Thank you, everyone!\Now that she feels safe, you feel hungry! response:	D-Don't blame it on someone else, stupid Naotsugu!
context: I really am safe now, aren't I?\We went over the Lyport Channel.\They don't have griffons.\We'll be fine now.\Now that I'm safe, I just feel kind of...\Thank you, everyone!\Now that she feels safe, you feel hungry!\D-Don't blame it on someone else, stupid Naotsugu! response:	I'm hungry, too.
context: We went over the Lyport Channel.\They don't have griffons.\We'll be fine now.\Now that I'm safe, I just feel kind of...\Thank you, everyone!\Now that she feels safe, you feel hungry!\D-Don't blame it on someone else, stupid Naotsugu!\I'm hungry, too. response:	Return to Akihabara
context: They don't have griffons.\We'll be fine now.\Now that I'm safe, I just feel kind of...\Thank you, everyone!\Now that she feels safe, you feel hungry!\D-Don't blame it on someone else, stupid Naotsugu!\I'm hungry, too.\Return to Akihabara response:	Return to Akihabara.
context: We'll be fine now.\Now that I'm safe, I just feel kind of...\Thank you, everyone!\Now that she feels safe, you feel hungry!\D-Don't blame it on someone else, stupid Naotsugu!\I'm hungry, too.\Return to Akihabara\Return to Akihabara. response:	So we're supposed to set these up ourselves?
context: Now that I'm safe, I just feel kind of...\Thank you, everyone!\Now that she feels safe, you feel hungry!\D-Don't blame it on someone else, stupid Naotsugu!\I'm hungry, too.\Return to Akihabara\Return to Akihabara.\So we're supposed to set these up ourselves? response:	Naotsugu, spread out the ground sheet.
context: Thank you, everyone!\Now that she feels safe, you feel hungry!\D-Don't blame it on someone else, stupid Naotsugu!\I'm hungry, too.\Return to Akihabara\Return to Akihabara.\So we're supposed to set these up ourselves?\Naotsugu, spread out the ground sheet. response:	Uh, Shiro, since when have you been into camping?
context: Now that she feels safe, you feel hungry!\D-Don't blame it on someone else, stupid Naotsugu!\I'm hungry, too.\Return to Akihabara\Return to Akihabara.\So we're supposed to set these up ourselves?\Naotsugu, spread out the ground sheet.\Uh, Shiro, since when have you been into camping? response:	I once read about it in a book.
context: D-Don't blame it on someone else, stupid Naotsugu!\I'm hungry, too.\Return to Akihabara\Return to Akihabara.\So we're supposed to set these up ourselves?\Naotsugu, spread out the ground sheet.\Uh, Shiro, since when have you been into camping?\I once read about it in a book. response:	Though I'm sure in the real world, it wouldn't be this easy...
context: I'm hungry, too.\Return to Akihabara\Return to Akihabara.\So we're supposed to set these up ourselves?\Naotsugu, spread out the ground sheet.\Uh, Shiro, since when have you been into camping?\I once read about it in a book.\Though I'm sure in the real world, it wouldn't be this easy... response:	You never know what'll come in handy in this world.
context: Return to Akihabara\Return to Akihabara.\So we're supposed to set these up ourselves?\Naotsugu, spread out the ground sheet.\Uh, Shiro, since when have you been into camping?\I once read about it in a book.\Though I'm sure in the real world, it wouldn't be this easy...\You never know what'll come in handy in this world. response:	A wild deer?
context: Return to Akihabara.\So we're supposed to set these up ourselves?\Naotsugu, spread out the ground sheet.\Uh, Shiro, since when have you been into camping?\I once read about it in a book.\Though I'm sure in the real world, it wouldn't be this easy...\You never know what'll come in handy in this world.\A wild deer? response:	So there are animals that aren't monsters?
context: So we're supposed to set these up ourselves?\Naotsugu, spread out the ground sheet.\Uh, Shiro, since when have you been into camping?\I once read about it in a book.\Though I'm sure in the real world, it wouldn't be this easy...\You never know what'll come in handy in this world.\A wild deer?\So there are animals that aren't monsters? response:	This is my time to shine.
context: Naotsugu, spread out the ground sheet.\Uh, Shiro, since when have you been into camping?\I once read about it in a book.\Though I'm sure in the real world, it wouldn't be this easy...\You never know what'll come in handy in this world.\A wild deer?\So there are animals that aren't monsters?\This is my time to shine. response:	All right!
context: Uh, Shiro, since when have you been into camping?\I once read about it in a book.\Though I'm sure in the real world, it wouldn't be this easy...\You never know what'll come in handy in this world.\A wild deer?\So there are animals that aren't monsters?\This is my time to shine.\All right! response:	We have a place to sleep!
context: I once read about it in a book.\Though I'm sure in the real world, it wouldn't be this easy...\You never know what'll come in handy in this world.\A wild deer?\So there are animals that aren't monsters?\This is my time to shine.\All right!\We have a place to sleep! response:	If this were the game, we'd only need to log out and go to bed.
context: Though I'm sure in the real world, it wouldn't be this easy...\You never know what'll come in handy in this world.\A wild deer?\So there are animals that aren't monsters?\This is my time to shine.\All right!\We have a place to sleep!\If this were the game, we'd only need to log out and go to bed. response:	Since we're here, we might as well have fun doing it the hard way.
context: You never know what'll come in handy in this world.\A wild deer?\So there are animals that aren't monsters?\This is my time to shine.\All right!\We have a place to sleep!\If this were the game, we'd only need to log out and go to bed.\Since we're here, we might as well have fun doing it the hard way. response:	But...
context: A wild deer?\So there are animals that aren't monsters?\This is my time to shine.\All right!\We have a place to sleep!\If this were the game, we'd only need to log out and go to bed.\Since we're here, we might as well have fun doing it the hard way.\But... response:	Our food...
context: So there are animals that aren't monsters?\This is my time to shine.\All right!\We have a place to sleep!\If this were the game, we'd only need to log out and go to bed.\Since we're here, we might as well have fun doing it the hard way.\But...\Our food... response:	It looks so yummy...
context: This is my time to shine.\All right!\We have a place to sleep!\If this were the game, we'd only need to log out and go to bed.\Since we're here, we might as well have fun doing it the hard way.\But...\Our food...\It looks so yummy... response:	But it doesn't taste like anything.
context: All right!\We have a place to sleep!\If this were the game, we'd only need to log out and go to bed.\Since we're here, we might as well have fun doing it the hard way.\But...\Our food...\It looks so yummy...\But it doesn't taste like anything. response:	Serara and Nyanta are late.
context: We have a place to sleep!\If this were the game, we'd only need to log out and go to bed.\Since we're here, we might as well have fun doing it the hard way.\But...\Our food...\It looks so yummy...\But it doesn't taste like anything.\Serara and Nyanta are late. response:	Something smells!
context: If this were the game, we'd only need to log out and go to bed.\Since we're here, we might as well have fun doing it the hard way.\But...\Our food...\It looks so yummy...\But it doesn't taste like anything.\Serara and Nyanta are late.\Something smells! response:	What's gotten into you?
context: Since we're here, we might as well have fun doing it the hard way.\But...\Our food...\It looks so yummy...\But it doesn't taste like anything.\Serara and Nyanta are late.\Something smells!\What's gotten into you? response:	What's this?
context: But...\Our food...\It looks so yummy...\But it doesn't taste like anything.\Serara and Nyanta are late.\Something smells!\What's gotten into you?\What's this? response:	The smell of cooked meat?
context: Our food...\It looks so yummy...\But it doesn't taste like anything.\Serara and Nyanta are late.\Something smells!\What's gotten into you?\What's this?\The smell of cooked meat? response:	Looks like our hungry campers could smell the food cooking.
context: It looks so yummy...\But it doesn't taste like anything.\Serara and Nyanta are late.\Something smells!\What's gotten into you?\What's this?\The smell of cooked meat?\Looks like our hungry campers could smell the food cooking. response:	But I don't know about tasteless meat, even if it does smell good.
context: But it doesn't taste like anything.\Serara and Nyanta are late.\Something smells!\What's gotten into you?\What's this?\The smell of cooked meat?\Looks like our hungry campers could smell the food cooking.\But I don't know about tasteless meat, even if it does smell good. response:	Yum!
context: Serara and Nyanta are late.\Something smells!\What's gotten into you?\What's this?\The smell of cooked meat?\Looks like our hungry campers could smell the food cooking.\But I don't know about tasteless meat, even if it does smell good.\Yum! response:	This is... I can't describe it! Amazing!
context: Something smells!\What's gotten into you?\What's this?\The smell of cooked meat?\Looks like our hungry campers could smell the food cooking.\But I don't know about tasteless meat, even if it does smell good.\Yum!\This is... I can't describe it! Amazing! response:	The texture when you bite into it...
context: What's gotten into you?\What's this?\The smell of cooked meat?\Looks like our hungry campers could smell the food cooking.\But I don't know about tasteless meat, even if it does smell good.\Yum!\This is... I can't describe it! Amazing!\The texture when you bite into it... response:	The delicious juices...
context: What's this?\The smell of cooked meat?\Looks like our hungry campers could smell the food cooking.\But I don't know about tasteless meat, even if it does smell good.\Yum!\This is... I can't describe it! Amazing!\The texture when you bite into it...\The delicious juices... response:	The sweetness of the fat!
context: The smell of cooked meat?\Looks like our hungry campers could smell the food cooking.\But I don't know about tasteless meat, even if it does smell good.\Yum!\This is... I can't describe it! Amazing!\The texture when you bite into it...\The delicious juices...\The sweetness of the fat! response:	Just the right amount of salt, with rosemary for a secret ingredient...
context: Looks like our hungry campers could smell the food cooking.\But I don't know about tasteless meat, even if it does smell good.\Yum!\This is... I can't describe it! Amazing!\The texture when you bite into it...\The delicious juices...\The sweetness of the fat!\Just the right amount of salt, with rosemary for a secret ingredient... response:	This is, without a doubt...
context: But I don't know about tasteless meat, even if it does smell good.\Yum!\This is... I can't describe it! Amazing!\The texture when you bite into it...\The delicious juices...\The sweetness of the fat!\Just the right amount of salt, with rosemary for a secret ingredient...\This is, without a doubt... response:	The taste of real food!
context: Yum!\This is... I can't describe it! Amazing!\The texture when you bite into it...\The delicious juices...\The sweetness of the fat!\Just the right amount of salt, with rosemary for a secret ingredient...\This is, without a doubt...\The taste of real food! response:	Meow.
context: This is... I can't describe it! Amazing!\The texture when you bite into it...\The delicious juices...\The sweetness of the fat!\Just the right amount of salt, with rosemary for a secret ingredient...\This is, without a doubt...\The taste of real food!\Meow. response:	You're amazing, Chief! More!
context: The texture when you bite into it...\The delicious juices...\The sweetness of the fat!\Just the right amount of salt, with rosemary for a secret ingredient...\This is, without a doubt...\The taste of real food!\Meow.\You're amazing, Chief! More! response:	Now, now...
context: The delicious juices...\The sweetness of the fat!\Just the right amount of salt, with rosemary for a secret ingredient...\This is, without a doubt...\The taste of real food!\Meow.\You're amazing, Chief! More!\Now, now... response:	Don't be in such a rush. There's plenty.
context: The sweetness of the fat!\Just the right amount of salt, with rosemary for a secret ingredient...\This is, without a doubt...\The taste of real food!\Meow.\You're amazing, Chief! More!\Now, now...\Don't be in such a rush. There's plenty. response:	But how...
context: Just the right amount of salt, with rosemary for a secret ingredient...\This is, without a doubt...\The taste of real food!\Meow.\You're amazing, Chief! More!\Now, now...\Don't be in such a rush. There's plenty.\But how... response:	Meow.
context: This is, without a doubt...\The taste of real food!\Meow.\You're amazing, Chief! More!\Now, now...\Don't be in such a rush. There's plenty.\But how...\Meow. response:	Prepare the ingredients, and pick the item you want from the menu.
context: The taste of real food!\Meow.\You're amazing, Chief! More!\Now, now...\Don't be in such a rush. There's plenty.\But how...\Meow.\Prepare the ingredients, and pick the item you want from the menu. response:	And it will make you a food item that looks just like the real thing.
context: Meow.\You're amazing, Chief! More!\Now, now...\Don't be in such a rush. There's plenty.\But how...\Meow.\Prepare the ingredients, and pick the item you want from the menu.\And it will make you a food item that looks just like the real thing. response:	Yes, exactly like the game.
context: You're amazing, Chief! More!\Now, now...\Don't be in such a rush. There's plenty.\But how...\Meow.\Prepare the ingredients, and pick the item you want from the menu.\And it will make you a food item that looks just like the real thing.\Yes, exactly like the game. response:	But it doesn't taste like anything.
context: Now, now...\Don't be in such a rush. There's plenty.\But how...\Meow.\Prepare the ingredients, and pick the item you want from the menu.\And it will make you a food item that looks just like the real thing.\Yes, exactly like the game.\But it doesn't taste like anything. response:	Get away from thinking of this in terms of a game.
context: Don't be in such a rush. There's plenty.\But how...\Meow.\Prepare the ingredients, and pick the item you want from the menu.\And it will make you a food item that looks just like the real thing.\Yes, exactly like the game.\But it doesn't taste like anything.\Get away from thinking of this in terms of a game. response:	Ingredient items like fruits and vegetables taste like the real things, right?
context: But how...\Meow.\Prepare the ingredients, and pick the item you want from the menu.\And it will make you a food item that looks just like the real thing.\Yes, exactly like the game.\But it doesn't taste like anything.\Get away from thinking of this in terms of a game.\Ingredient items like fruits and vegetables taste like the real things, right? response:	So just do what I've done here...
context: Meow.\Prepare the ingredients, and pick the item you want from the menu.\And it will make you a food item that looks just like the real thing.\Yes, exactly like the game.\But it doesn't taste like anything.\Get away from thinking of this in terms of a game.\Ingredient items like fruits and vegetables taste like the real things, right?\So just do what I've done here... response:	Don't make it from the menu.
context: Prepare the ingredients, and pick the item you want from the menu.\And it will make you a food item that looks just like the real thing.\Yes, exactly like the game.\But it doesn't taste like anything.\Get away from thinking of this in terms of a game.\Ingredient items like fruits and vegetables taste like the real things, right?\So just do what I've done here...\Don't make it from the menu. response:	Prepare and cook the ingredients with your own hands.
context: And it will make you a food item that looks just like the real thing.\Yes, exactly like the game.\But it doesn't taste like anything.\Get away from thinking of this in terms of a game.\Ingredient items like fruits and vegetables taste like the real things, right?\So just do what I've done here...\Don't make it from the menu.\Prepare and cook the ingredients with your own hands. response:	We tried that, as well.
context: Yes, exactly like the game.\But it doesn't taste like anything.\Get away from thinking of this in terms of a game.\Ingredient items like fruits and vegetables taste like the real things, right?\So just do what I've done here...\Don't make it from the menu.\Prepare and cook the ingredients with your own hands.\We tried that, as well. response:	But look...
context: But it doesn't taste like anything.\Get away from thinking of this in terms of a game.\Ingredient items like fruits and vegetables taste like the real things, right?\So just do what I've done here...\Don't make it from the menu.\Prepare and cook the ingredients with your own hands.\We tried that, as well.\But look... response:	Just look at it!
context: Get away from thinking of this in terms of a game.\Ingredient items like fruits and vegetables taste like the real things, right?\So just do what I've done here...\Don't make it from the menu.\Prepare and cook the ingredients with your own hands.\We tried that, as well.\But look...\Just look at it! response:	Try to boil it, and it becomes a weird paste.
context: Ingredient items like fruits and vegetables taste like the real things, right?\So just do what I've done here...\Don't make it from the menu.\Prepare and cook the ingredients with your own hands.\We tried that, as well.\But look...\Just look at it!\Try to boil it, and it becomes a weird paste. response:	No matter what we did, none of us could make anything.
context: So just do what I've done here...\Don't make it from the menu.\Prepare and cook the ingredients with your own hands.\We tried that, as well.\But look...\Just look at it!\Try to boil it, and it becomes a weird paste.\No matter what we did, none of us could make anything. response:	So we thought that was the rule in this world.
context: Don't make it from the menu.\Prepare and cook the ingredients with your own hands.\We tried that, as well.\But look...\Just look at it!\Try to boil it, and it becomes a weird paste.\No matter what we did, none of us could make anything.\So we thought that was the rule in this world. response:	That happened because the person who made it wasn't a chef,
context: Prepare and cook the ingredients with your own hands.\We tried that, as well.\But look...\Just look at it!\Try to boil it, and it becomes a weird paste.\No matter what we did, none of us could make anything.\So we thought that was the rule in this world.\That happened because the person who made it wasn't a chef, response:	or didn't have the requisite cooking level.
context: We tried that, as well.\But look...\Just look at it!\Try to boil it, and it becomes a weird paste.\No matter what we did, none of us could make anything.\So we thought that was the rule in this world.\That happened because the person who made it wasn't a chef,\or didn't have the requisite cooking level. response:	Which means...
context: But look...\Just look at it!\Try to boil it, and it becomes a weird paste.\No matter what we did, none of us could make anything.\So we thought that was the rule in this world.\That happened because the person who made it wasn't a chef,\or didn't have the requisite cooking level.\Which means... response:	That's correct.
context: Just look at it!\Try to boil it, and it becomes a weird paste.\No matter what we did, none of us could make anything.\So we thought that was the rule in this world.\That happened because the person who made it wasn't a chef,\or didn't have the requisite cooking level.\Which means...\That's correct. response:	My subclass is chef.
context: Try to boil it, and it becomes a weird paste.\No matter what we did, none of us could make anything.\So we thought that was the rule in this world.\That happened because the person who made it wasn't a chef,\or didn't have the requisite cooking level.\Which means...\That's correct.\My subclass is chef. response:	Nyanta Race/ Cat-man Swashbuckler, Lv. 90 Subclass Chef Lv. 90
context: No matter what we did, none of us could make anything.\So we thought that was the rule in this world.\That happened because the person who made it wasn't a chef,\or didn't have the requisite cooking level.\Which means...\That's correct.\My subclass is chef.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90 Subclass Chef Lv. 90 response:	I see...
context: So we thought that was the rule in this world.\That happened because the person who made it wasn't a chef,\or didn't have the requisite cooking level.\Which means...\That's correct.\My subclass is chef.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90 Subclass Chef Lv. 90\I see... response:	Then to make it for real, someone with the appropriate skill must do it?
context: That happened because the person who made it wasn't a chef,\or didn't have the requisite cooking level.\Which means...\That's correct.\My subclass is chef.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90 Subclass Chef Lv. 90\I see...\Then to make it for real, someone with the appropriate skill must do it? response:	He's right.
context: or didn't have the requisite cooking level.\Which means...\That's correct.\My subclass is chef.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90 Subclass Chef Lv. 90\I see...\Then to make it for real, someone with the appropriate skill must do it?\He's right. response:	Until now, I've been thinking of things in game terms.
context: Which means...\That's correct.\My subclass is chef.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90 Subclass Chef Lv. 90\I see...\Then to make it for real, someone with the appropriate skill must do it?\He's right.\Until now, I've been thinking of things in game terms. response:	Which means...
context: That's correct.\My subclass is chef.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90 Subclass Chef Lv. 90\I see...\Then to make it for real, someone with the appropriate skill must do it?\He's right.\Until now, I've been thinking of things in game terms.\Which means... response:	Master Nyanta...
context: My subclass is chef.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90 Subclass Chef Lv. 90\I see...\Then to make it for real, someone with the appropriate skill must do it?\He's right.\Until now, I've been thinking of things in game terms.\Which means...\Master Nyanta... response:	M-Master?
context: Nyanta Race/ Cat-man Swashbuckler, Lv. 90 Subclass Chef Lv. 90\I see...\Then to make it for real, someone with the appropriate skill must do it?\He's right.\Until now, I've been thinking of things in game terms.\Which means...\Master Nyanta...\M-Master? response:	Allow me to introduce myself properly.
context: I see...\Then to make it for real, someone with the appropriate skill must do it?\He's right.\Until now, I've been thinking of things in game terms.\Which means...\Master Nyanta...\M-Master?\Allow me to introduce myself properly. response:	My name is Akatsuki.
context: Then to make it for real, someone with the appropriate skill must do it?\He's right.\Until now, I've been thinking of things in game terms.\Which means...\Master Nyanta...\M-Master?\Allow me to introduce myself properly.\My name is Akatsuki. response:	My class is Assassin.
context: He's right.\Until now, I've been thinking of things in game terms.\Which means...\Master Nyanta...\M-Master?\Allow me to introduce myself properly.\My name is Akatsuki.\My class is Assassin. response:	I'm level 90.
context: Until now, I've been thinking of things in game terms.\Which means...\Master Nyanta...\M-Master?\Allow me to introduce myself properly.\My name is Akatsuki.\My class is Assassin.\I'm level 90. response:	You were splendid back there.
context: Which means...\Master Nyanta...\M-Master?\Allow me to introduce myself properly.\My name is Akatsuki.\My class is Assassin.\I'm level 90.\You were splendid back there. response:	Not at all.
context: Master Nyanta...\M-Master?\Allow me to introduce myself properly.\My name is Akatsuki.\My class is Assassin.\I'm level 90.\You were splendid back there.\Not at all. response:	I was impressed by the way you fought.
context: M-Master?\Allow me to introduce myself properly.\My name is Akatsuki.\My class is Assassin.\I'm level 90.\You were splendid back there.\Not at all.\I was impressed by the way you fought. response:	What?
context: Allow me to introduce myself properly.\My name is Akatsuki.\My class is Assassin.\I'm level 90.\You were splendid back there.\Not at all.\I was impressed by the way you fought.\What? response:	That isn't how you acted toward me...
context: My name is Akatsuki.\My class is Assassin.\I'm level 90.\You were splendid back there.\Not at all.\I was impressed by the way you fought.\What?\That isn't how you acted toward me... response:	Of course not, Morontsugu.
context: My class is Assassin.\I'm level 90.\You were splendid back there.\Not at all.\I was impressed by the way you fought.\What?\That isn't how you acted toward me...\Of course not, Morontsugu. response:	Don't shorten it!
context: I'm level 90.\You were splendid back there.\Not at all.\I was impressed by the way you fought.\What?\That isn't how you acted toward me...\Of course not, Morontsugu.\Don't shorten it! response:	Then, Talltsugu.
context: You were splendid back there.\Not at all.\I was impressed by the way you fought.\What?\That isn't how you acted toward me...\Of course not, Morontsugu.\Don't shorten it!\Then, Talltsugu. response:	That isn't better.
context: Not at all.\I was impressed by the way you fought.\What?\That isn't how you acted toward me...\Of course not, Morontsugu.\Don't shorten it!\Then, Talltsugu.\That isn't better. response:	I see you have good companions, Shiroe.
context: I was impressed by the way you fought.\What?\That isn't how you acted toward me...\Of course not, Morontsugu.\Don't shorten it!\Then, Talltsugu.\That isn't better.\I see you have good companions, Shiroe. response:	You, too, Serara...
context: What?\That isn't how you acted toward me...\Of course not, Morontsugu.\Don't shorten it!\Then, Talltsugu.\That isn't better.\I see you have good companions, Shiroe.\You, too, Serara... response:	Ah, right.
context: That isn't how you acted toward me...\Of course not, Morontsugu.\Don't shorten it!\Then, Talltsugu.\That isn't better.\I see you have good companions, Shiroe.\You, too, Serara...\Ah, right. response:	I apologize for not properly introducing myself.
context: Of course not, Morontsugu.\Don't shorten it!\Then, Talltsugu.\That isn't better.\I see you have good companions, Shiroe.\You, too, Serara...\Ah, right.\I apologize for not properly introducing myself. response:	I'm Serara, with the Crescent Moon Alliance.
context: Don't shorten it!\Then, Talltsugu.\That isn't better.\I see you have good companions, Shiroe.\You, too, Serara...\Ah, right.\I apologize for not properly introducing myself.\I'm Serara, with the Crescent Moon Alliance. response:	I'm still a novice druid, at level 19.
context: Then, Talltsugu.\That isn't better.\I see you have good companions, Shiroe.\You, too, Serara...\Ah, right.\I apologize for not properly introducing myself.\I'm Serara, with the Crescent Moon Alliance.\I'm still a novice druid, at level 19. response:	My subclass is maid.
context: That isn't better.\I see you have good companions, Shiroe.\You, too, Serara...\Ah, right.\I apologize for not properly introducing myself.\I'm Serara, with the Crescent Moon Alliance.\I'm still a novice druid, at level 19.\My subclass is maid. response:	A-And...
context: I see you have good companions, Shiroe.\You, too, Serara...\Ah, right.\I apologize for not properly introducing myself.\I'm Serara, with the Crescent Moon Alliance.\I'm still a novice druid, at level 19.\My subclass is maid.\A-And... response:	I'm sorry for the trouble I caused with my poor healing skills!
context: You, too, Serara...\Ah, right.\I apologize for not properly introducing myself.\I'm Serara, with the Crescent Moon Alliance.\I'm still a novice druid, at level 19.\My subclass is maid.\A-And...\I'm sorry for the trouble I caused with my poor healing skills! response:	It was more than enough.
context: Ah, right.\I apologize for not properly introducing myself.\I'm Serara, with the Crescent Moon Alliance.\I'm still a novice druid, at level 19.\My subclass is maid.\A-And...\I'm sorry for the trouble I caused with my poor healing skills!\It was more than enough. response:	Thank you.
context: I apologize for not properly introducing myself.\I'm Serara, with the Crescent Moon Alliance.\I'm still a novice druid, at level 19.\My subclass is maid.\A-And...\I'm sorry for the trouble I caused with my poor healing skills!\It was more than enough.\Thank you. response:	And, Shiroe, thank you...
context: I'm Serara, with the Crescent Moon Alliance.\I'm still a novice druid, at level 19.\My subclass is maid.\A-And...\I'm sorry for the trouble I caused with my poor healing skills!\It was more than enough.\Thank you.\And, Shiroe, thank you... response:	Thank you so much!
context: I'm still a novice druid, at level 19.\My subclass is maid.\A-And...\I'm sorry for the trouble I caused with my poor healing skills!\It was more than enough.\Thank you.\And, Shiroe, thank you...\Thank you so much! response:	Uh, no... I didn't do anything special.
context: My subclass is maid.\A-And...\I'm sorry for the trouble I caused with my poor healing skills!\It was more than enough.\Thank you.\And, Shiroe, thank you...\Thank you so much!\Uh, no... I didn't do anything special. response:	Shiroe's always been easily embarrassed.
context: A-And...\I'm sorry for the trouble I caused with my poor healing skills!\It was more than enough.\Thank you.\And, Shiroe, thank you...\Thank you so much!\Uh, no... I didn't do anything special.\Shiroe's always been easily embarrassed. response:	Let me guess, Serara.
context: I'm sorry for the trouble I caused with my poor healing skills!\It was more than enough.\Thank you.\And, Shiroe, thank you...\Thank you so much!\Uh, no... I didn't do anything special.\Shiroe's always been easily embarrassed.\Let me guess, Serara. response:	You've always been told you're the third cutest in class,
context: It was more than enough.\Thank you.\And, Shiroe, thank you...\Thank you so much!\Uh, no... I didn't do anything special.\Shiroe's always been easily embarrassed.\Let me guess, Serara.\You've always been told you're the third cutest in class, response:	but you get more love letters than anyone!
