context: Over a hundred years ago, response:	humanity suddenly found itself faced with a new predator.
context: There, they enjoyed a century of peace.\However...\Where the Left Arm Went The Battle for Trost (5)\One reason so many soldiers died\in the Titans' attack on Trost\was the absence of the elite Survey Corps.\Only that morning,\they had embarked on a reconnaissance mission beyond the walls. response:	They're here!
context: However...\Where the Left Arm Went The Battle for Trost (5)\One reason so many soldiers died\in the Titans' attack on Trost\was the absence of the elite Survey Corps.\Only that morning,\they had embarked on a reconnaissance mission beyond the walls.\They're here! response:	The main force of the Survey Corps!
context: Where the Left Arm Went The Battle for Trost (5)\One reason so many soldiers died\in the Titans' attack on Trost\was the absence of the elite Survey Corps.\Only that morning,\they had embarked on a reconnaissance mission beyond the walls.\They're here!\The main force of the Survey Corps! response:	Commander Erwin, kill the Titans for us!
context: One reason so many soldiers died\in the Titans' attack on Trost\was the absence of the elite Survey Corps.\Only that morning,\they had embarked on a reconnaissance mission beyond the walls.\They're here!\The main force of the Survey Corps!\Commander Erwin, kill the Titans for us! response:	Look, it's Captain Levi!
context: in the Titans' attack on Trost\was the absence of the elite Survey Corps.\Only that morning,\they had embarked on a reconnaissance mission beyond the walls.\They're here!\The main force of the Survey Corps!\Commander Erwin, kill the Titans for us!\Look, it's Captain Levi! response:	They say he's as strong as an entire brigade.
context: was the absence of the elite Survey Corps.\Only that morning,\they had embarked on a reconnaissance mission beyond the walls.\They're here!\The main force of the Survey Corps!\Commander Erwin, kill the Titans for us!\Look, it's Captain Levi!\They say he's as strong as an entire brigade. response:	Shut up.
context: Only that morning,\they had embarked on a reconnaissance mission beyond the walls.\They're here!\The main force of the Survey Corps!\Commander Erwin, kill the Titans for us!\Look, it's Captain Levi!\They say he's as strong as an entire brigade.\Shut up. response:	If they knew how fussy you are,
context: they had embarked on a reconnaissance mission beyond the walls.\They're here!\The main force of the Survey Corps!\Commander Erwin, kill the Titans for us!\Look, it's Captain Levi!\They say he's as strong as an entire brigade.\Shut up.\If they knew how fussy you are, response:	they wouldn't look at you with such admiration.
context: They're here!\The main force of the Survey Corps!\Commander Erwin, kill the Titans for us!\Look, it's Captain Levi!\They say he's as strong as an entire brigade.\Shut up.\If they knew how fussy you are,\they wouldn't look at you with such admiration. response:	The Titans are right outside...
context: The main force of the Survey Corps!\Commander Erwin, kill the Titans for us!\Look, it's Captain Levi!\They say he's as strong as an entire brigade.\Shut up.\If they knew how fussy you are,\they wouldn't look at you with such admiration.\The Titans are right outside... response:	What kind of Titan will we see this time?
context: Commander Erwin, kill the Titans for us!\Look, it's Captain Levi!\They say he's as strong as an entire brigade.\Shut up.\If they knew how fussy you are,\they wouldn't look at you with such admiration.\The Titans are right outside...\What kind of Titan will we see this time? response:	It'd be so great if we saw an Aberrant!
context: Look, it's Captain Levi!\They say he's as strong as an entire brigade.\Shut up.\If they knew how fussy you are,\they wouldn't look at you with such admiration.\The Titans are right outside...\What kind of Titan will we see this time?\It'd be so great if we saw an Aberrant! response:	We have one right here.
context: They say he's as strong as an entire brigade.\Shut up.\If they knew how fussy you are,\they wouldn't look at you with such admiration.\The Titans are right outside...\What kind of Titan will we see this time?\It'd be so great if we saw an Aberrant!\We have one right here. response:	Huh? Where?
context: Shut up.\If they knew how fussy you are,\they wouldn't look at you with such admiration.\The Titans are right outside...\What kind of Titan will we see this time?\It'd be so great if we saw an Aberrant!\We have one right here.\Huh? Where? response:	Right here.
context: If they knew how fussy you are,\they wouldn't look at you with such admiration.\The Titans are right outside...\What kind of Titan will we see this time?\It'd be so great if we saw an Aberrant!\We have one right here.\Huh? Where?\Right here. response:	Forward!
context: they wouldn't look at you with such admiration.\The Titans are right outside...\What kind of Titan will we see this time?\It'd be so great if we saw an Aberrant!\We have one right here.\Huh? Where?\Right here.\Forward! response:	Survey outlying areas
context: The Titans are right outside...\What kind of Titan will we see this time?\It'd be so great if we saw an Aberrant!\We have one right here.\Huh? Where?\Right here.\Forward!\Survey outlying areas response:	and establish supply points that would support a human advance.
context: What kind of Titan will we see this time?\It'd be so great if we saw an Aberrant!\We have one right here.\Huh? Where?\Right here.\Forward!\Survey outlying areas\and establish supply points that would support a human advance. response:	Being entrusted with these missions, the Survey Corps
context: It'd be so great if we saw an Aberrant!\We have one right here.\Huh? Where?\Right here.\Forward!\Survey outlying areas\and establish supply points that would support a human advance.\Being entrusted with these missions, the Survey Corps response:	receives the best humanity has to offer.
context: We have one right here.\Huh? Where?\Right here.\Forward!\Survey outlying areas\and establish supply points that would support a human advance.\Being entrusted with these missions, the Survey Corps\receives the best humanity has to offer. response:	The military genius of a select few
context: Huh? Where?\Right here.\Forward!\Survey outlying areas\and establish supply points that would support a human advance.\Being entrusted with these missions, the Survey Corps\receives the best humanity has to offer.\The military genius of a select few response:	within their ranks has greatly boosted their survival rate.
context: Right here.\Forward!\Survey outlying areas\and establish supply points that would support a human advance.\Being entrusted with these missions, the Survey Corps\receives the best humanity has to offer.\The military genius of a select few\within their ranks has greatly boosted their survival rate. response:	But even so, every excursion into Titan territory
context: Forward!\Survey outlying areas\and establish supply points that would support a human advance.\Being entrusted with these missions, the Survey Corps\receives the best humanity has to offer.\The military genius of a select few\within their ranks has greatly boosted their survival rate.\But even so, every excursion into Titan territory response:	costs over thirty percent of their troops.
context: Survey outlying areas\and establish supply points that would support a human advance.\Being entrusted with these missions, the Survey Corps\receives the best humanity has to offer.\The military genius of a select few\within their ranks has greatly boosted their survival rate.\But even so, every excursion into Titan territory\costs over thirty percent of their troops. response:	The difference in strength between humans and Titans is that great.
context: and establish supply points that would support a human advance.\Being entrusted with these missions, the Survey Corps\receives the best humanity has to offer.\The military genius of a select few\within their ranks has greatly boosted their survival rate.\But even so, every excursion into Titan territory\costs over thirty percent of their troops.\The difference in strength between humans and Titans is that great. response:	Just you wait...
context: Being entrusted with these missions, the Survey Corps\receives the best humanity has to offer.\The military genius of a select few\within their ranks has greatly boosted their survival rate.\But even so, every excursion into Titan territory\costs over thirty percent of their troops.\The difference in strength between humans and Titans is that great.\Just you wait... response:	It won't be long
context: receives the best humanity has to offer.\The military genius of a select few\within their ranks has greatly boosted their survival rate.\But even so, every excursion into Titan territory\costs over thirty percent of their troops.\The difference in strength between humans and Titans is that great.\Just you wait...\It won't be long response:	before humanity wipes you out!
context: The military genius of a select few\within their ranks has greatly boosted their survival rate.\But even so, every excursion into Titan territory\costs over thirty percent of their troops.\The difference in strength between humans and Titans is that great.\Just you wait...\It won't be long\before humanity wipes you out! response:	We'll be the ones to survive in the end!
context: within their ranks has greatly boosted their survival rate.\But even so, every excursion into Titan territory\costs over thirty percent of their troops.\The difference in strength between humans and Titans is that great.\Just you wait...\It won't be long\before humanity wipes you out!\We'll be the ones to survive in the end! response:	Captain Levi will...
context: But even so, every excursion into Titan territory\costs over thirty percent of their troops.\The difference in strength between humans and Titans is that great.\Just you wait...\It won't be long\before humanity wipes you out!\We'll be the ones to survive in the end!\Captain Levi will... response:	kill you all!
context: costs over thirty percent of their troops.\The difference in strength between humans and Titans is that great.\Just you wait...\It won't be long\before humanity wipes you out!\We'll be the ones to survive in the end!\Captain Levi will...\kill you all! response:	One to the right...
context: The difference in strength between humans and Titans is that great.\Just you wait...\It won't be long\before humanity wipes you out!\We'll be the ones to survive in the end!\Captain Levi will...\kill you all!\One to the right... response:	Two to the left.
context: Just you wait...\It won't be long\before humanity wipes you out!\We'll be the ones to survive in the end!\Captain Levi will...\kill you all!\One to the right...\Two to the left. response:	Captain, I've brought reinforcements.
context: It won't be long\before humanity wipes you out!\We'll be the ones to survive in the end!\Captain Levi will...\kill you all!\One to the right...\Two to the left.\Captain, I've brought reinforcements. response:	Petra, tend to the wounded soldiers below.
context: before humanity wipes you out!\We'll be the ones to survive in the end!\Captain Levi will...\kill you all!\One to the right...\Two to the left.\Captain, I've brought reinforcements.\Petra, tend to the wounded soldiers below. response:	The rest of you, support the right flank.
context: We'll be the ones to survive in the end!\Captain Levi will...\kill you all!\One to the right...\Two to the left.\Captain, I've brought reinforcements.\Petra, tend to the wounded soldiers below.\The rest of you, support the right flank. response:	I'll take care of the left.
context: Captain Levi will...\kill you all!\One to the right...\Two to the left.\Captain, I've brought reinforcements.\Petra, tend to the wounded soldiers below.\The rest of you, support the right flank.\I'll take care of the left. response:	Captain!
context: kill you all!\One to the right...\Two to the left.\Captain, I've brought reinforcements.\Petra, tend to the wounded soldiers below.\The rest of you, support the right flank.\I'll take care of the left.\Captain! response:	It's okay!
context: One to the right...\Two to the left.\Captain, I've brought reinforcements.\Petra, tend to the wounded soldiers below.\The rest of you, support the right flank.\I'll take care of the left.\Captain!\It's okay! response:	I won't hurt you.
context: Two to the left.\Captain, I've brought reinforcements.\Petra, tend to the wounded soldiers below.\The rest of you, support the right flank.\I'll take care of the left.\Captain!\It's okay!\I won't hurt you. response:	So close!
context: Captain, I've brought reinforcements.\Petra, tend to the wounded soldiers below.\The rest of you, support the right flank.\I'll take care of the left.\Captain!\It's okay!\I won't hurt you.\So close! response:	Now it's my turn.
context: Petra, tend to the wounded soldiers below.\The rest of you, support the right flank.\I'll take care of the left.\Captain!\It's okay!\I won't hurt you.\So close!\Now it's my turn. response:	There!
context: The rest of you, support the right flank.\I'll take care of the left.\Captain!\It's okay!\I won't hurt you.\So close!\Now it's my turn.\There! response:	See?
context: I'll take care of the left.\Captain!\It's okay!\I won't hurt you.\So close!\Now it's my turn.\There!\See? response:	That didn't hurt, did it?
context: Captain!\It's okay!\I won't hurt you.\So close!\Now it's my turn.\There!\See?\That didn't hurt, did it? response:	You all have...
context: It's okay!\I won't hurt you.\So close!\Now it's my turn.\There!\See?\That didn't hurt, did it?\You all have... response:	the stupidest expressions.
context: I won't hurt you.\So close!\Now it's my turn.\There!\See?\That didn't hurt, did it?\You all have...\the stupidest expressions. response:	Whoa.
context: So close!\Now it's my turn.\There!\See?\That didn't hurt, did it?\You all have...\the stupidest expressions.\Whoa. response:	Stay put.
context: Now it's my turn.\There!\See?\That didn't hurt, did it?\You all have...\the stupidest expressions.\Whoa.\Stay put. response:	Otherwise, it will get messy...
context: There!\See?\That didn't hurt, did it?\You all have...\the stupidest expressions.\Whoa.\Stay put.\Otherwise, it will get messy... response:	when I slice you.
context: See?\That didn't hurt, did it?\You all have...\the stupidest expressions.\Whoa.\Stay put.\Otherwise, it will get messy...\when I slice you. response:	Damn.
context: That didn't hurt, did it?\You all have...\the stupidest expressions.\Whoa.\Stay put.\Otherwise, it will get messy...\when I slice you.\Damn. response:	Filthy...
context: You all have...\the stupidest expressions.\Whoa.\Stay put.\Otherwise, it will get messy...\when I slice you.\Damn.\Filthy... response:	Captain,
context: the stupidest expressions.\Whoa.\Stay put.\Otherwise, it will get messy...\when I slice you.\Damn.\Filthy...\Captain, response:	the bleeding won't stop...
context: Whoa.\Stay put.\Otherwise, it will get messy...\when I slice you.\Damn.\Filthy...\Captain,\the bleeding won't stop... response:	Captain...
context: Stay put.\Otherwise, it will get messy...\when I slice you.\Damn.\Filthy...\Captain,\the bleeding won't stop...\Captain... response:	What is it?
context: Otherwise, it will get messy...\when I slice you.\Damn.\Filthy...\Captain,\the bleeding won't stop...\Captain...\What is it? response:	W-Was I able...
context: when I slice you.\Damn.\Filthy...\Captain,\the bleeding won't stop...\Captain...\What is it?\W-Was I able... response:	to help humanity?
context: Damn.\Filthy...\Captain,\the bleeding won't stop...\Captain...\What is it?\W-Was I able...\to help humanity? response:	Or will I die,
context: Filthy...\Captain,\the bleeding won't stop...\Captain...\What is it?\W-Was I able...\to help humanity?\Or will I die, response:	never having been of any use at all?
context: Captain,\the bleeding won't stop...\Captain...\What is it?\W-Was I able...\to help humanity?\Or will I die,\never having been of any use at all? response:	You have done a great deal.
context: the bleeding won't stop...\Captain...\What is it?\W-Was I able...\to help humanity?\Or will I die,\never having been of any use at all?\You have done a great deal. response:	And you will continue to do so.
context: Captain...\What is it?\W-Was I able...\to help humanity?\Or will I die,\never having been of any use at all?\You have done a great deal.\And you will continue to do so. response:	The resolve you leave behind will give me strength.
context: What is it?\W-Was I able...\to help humanity?\Or will I die,\never having been of any use at all?\You have done a great deal.\And you will continue to do so.\The resolve you leave behind will give me strength. response:	I promise you...
context: W-Was I able...\to help humanity?\Or will I die,\never having been of any use at all?\You have done a great deal.\And you will continue to do so.\The resolve you leave behind will give me strength.\I promise you... response:	I will obliterate the Titans!
context: to help humanity?\Or will I die,\never having been of any use at all?\You have done a great deal.\And you will continue to do so.\The resolve you leave behind will give me strength.\I promise you...\I will obliterate the Titans! response:	Captain...
context: Or will I die,\never having been of any use at all?\You have done a great deal.\And you will continue to do so.\The resolve you leave behind will give me strength.\I promise you...\I will obliterate the Titans!\Captain... response:	He's gone.
context: never having been of any use at all?\You have done a great deal.\And you will continue to do so.\The resolve you leave behind will give me strength.\I promise you...\I will obliterate the Titans!\Captain...\He's gone. response:	Did he hear me to the very end?
context: You have done a great deal.\And you will continue to do so.\The resolve you leave behind will give me strength.\I promise you...\I will obliterate the Titans!\Captain...\He's gone.\Did he hear me to the very end? response:	Yes.
context: And you will continue to do so.\The resolve you leave behind will give me strength.\I promise you...\I will obliterate the Titans!\Captain...\He's gone.\Did he hear me to the very end?\Yes. response:	I'm sure he did.
context: The resolve you leave behind will give me strength.\I promise you...\I will obliterate the Titans!\Captain...\He's gone.\Did he hear me to the very end?\Yes.\I'm sure he did. response:	Look.
context: I promise you...\I will obliterate the Titans!\Captain...\He's gone.\Did he hear me to the very end?\Yes.\I'm sure he did.\Look. response:	He seems so at peace...
context: I will obliterate the Titans!\Captain...\He's gone.\Did he hear me to the very end?\Yes.\I'm sure he did.\Look.\He seems so at peace... response:	Very well, then.
context: Captain...\He's gone.\Did he hear me to the very end?\Yes.\I'm sure he did.\Look.\He seems so at peace...\Very well, then. response:	Levi!
context: He's gone.\Did he hear me to the very end?\Yes.\I'm sure he did.\Look.\He seems so at peace...\Very well, then.\Levi! response:	We're pulling back.
context: Did he hear me to the very end?\Yes.\I'm sure he did.\Look.\He seems so at peace...\Very well, then.\Levi!\We're pulling back. response:	Pulling back?
context: Yes.\I'm sure he did.\Look.\He seems so at peace...\Very well, then.\Levi!\We're pulling back.\Pulling back? response:	We have yet to push ourselves to the limit.
context: I'm sure he did.\Look.\He seems so at peace...\Very well, then.\Levi!\We're pulling back.\Pulling back?\We have yet to push ourselves to the limit. response:	Are my men dying for nothing?
context: Look.\He seems so at peace...\Very well, then.\Levi!\We're pulling back.\Pulling back?\We have yet to push ourselves to the limit.\Are my men dying for nothing? response:	The Titans are heading north, toward town.
context: He seems so at peace...\Very well, then.\Levi!\We're pulling back.\Pulling back?\We have yet to push ourselves to the limit.\Are my men dying for nothing?\The Titans are heading north, toward town. response:	Just like five years ago...
context: Very well, then.\Levi!\We're pulling back.\Pulling back?\We have yet to push ourselves to the limit.\Are my men dying for nothing?\The Titans are heading north, toward town.\Just like five years ago... response:	Something is happening in town.
context: Levi!\We're pulling back.\Pulling back?\We have yet to push ourselves to the limit.\Are my men dying for nothing?\The Titans are heading north, toward town.\Just like five years ago...\Something is happening in town. response:	The wall...
context: We're pulling back.\Pulling back?\We have yet to push ourselves to the limit.\Are my men dying for nothing?\The Titans are heading north, toward town.\Just like five years ago...\Something is happening in town.\The wall... response:	may have fallen.
context: Pulling back?\We have yet to push ourselves to the limit.\Are my men dying for nothing?\The Titans are heading north, toward town.\Just like five years ago...\Something is happening in town.\The wall...\may have fallen. response:	Damn it!
context: We have yet to push ourselves to the limit.\Are my men dying for nothing?\The Titans are heading north, toward town.\Just like five years ago...\Something is happening in town.\The wall...\may have fallen.\Damn it! response:	Damn it...
context: Are my men dying for nothing?\The Titans are heading north, toward town.\Just like five years ago...\Something is happening in town.\The wall...\may have fallen.\Damn it!\Damn it... response:	It wasn't...
context: The Titans are heading north, toward town.\Just like five years ago...\Something is happening in town.\The wall...\may have fallen.\Damn it!\Damn it...\It wasn't... response:	It wasn't supposed to be this way.
context: Just like five years ago...\Something is happening in town.\The wall...\may have fallen.\Damn it!\Damn it...\It wasn't...\It wasn't supposed to be this way. response:	We had changed over the past five years...
context: Something is happening in town.\The wall...\may have fallen.\Damn it!\Damn it...\It wasn't...\It wasn't supposed to be this way.\We had changed over the past five years... response:	We trained as hard as we could.
context: The wall...\may have fallen.\Damn it!\Damn it...\It wasn't...\It wasn't supposed to be this way.\We had changed over the past five years...\We trained as hard as we could. response:	We thought long and hard.
context: may have fallen.\Damn it!\Damn it...\It wasn't...\It wasn't supposed to be this way.\We had changed over the past five years...\We trained as hard as we could.\We thought long and hard. response:	It was all to defeat them...
context: Damn it!\Damn it...\It wasn't...\It wasn't supposed to be this way.\We had changed over the past five years...\We trained as hard as we could.\We thought long and hard.\It was all to defeat them... response:	So that they wouldn't take anything else from us.
context: Damn it...\It wasn't...\It wasn't supposed to be this way.\We had changed over the past five years...\We trained as hard as we could.\We thought long and hard.\It was all to defeat them...\So that they wouldn't take anything else from us. response:	It's hot.
context: It wasn't...\It wasn't supposed to be this way.\We had changed over the past five years...\We trained as hard as we could.\We thought long and hard.\It was all to defeat them...\So that they wouldn't take anything else from us.\It's hot. response:	It's so hot...
context: It wasn't supposed to be this way.\We had changed over the past five years...\We trained as hard as we could.\We thought long and hard.\It was all to defeat them...\So that they wouldn't take anything else from us.\It's hot.\It's so hot... response:	Save me, Mother.
context: We had changed over the past five years...\We trained as hard as we could.\We thought long and hard.\It was all to defeat them...\So that they wouldn't take anything else from us.\It's hot.\It's so hot...\Save me, Mother. response:	Mother?
context: We trained as hard as we could.\We thought long and hard.\It was all to defeat them...\So that they wouldn't take anything else from us.\It's hot.\It's so hot...\Save me, Mother.\Mother? response:	Mother...
context: We thought long and hard.\It was all to defeat them...\So that they wouldn't take anything else from us.\It's hot.\It's so hot...\Save me, Mother.\Mother?\Mother... response:	Mother?
context: It was all to defeat them...\So that they wouldn't take anything else from us.\It's hot.\It's so hot...\Save me, Mother.\Mother?\Mother...\Mother? response:	Save...
context: So that they wouldn't take anything else from us.\It's hot.\It's so hot...\Save me, Mother.\Mother?\Mother...\Mother?\Save... response:	Why did this happen?
context: It's hot.\It's so hot...\Save me, Mother.\Mother?\Mother...\Mother?\Save...\Why did this happen? response:	Why do they take everything from us?
context: It's so hot...\Save me, Mother.\Mother?\Mother...\Mother?\Save...\Why did this happen?\Why do they take everything from us? response:	Our lives.
context: Save me, Mother.\Mother?\Mother...\Mother?\Save...\Why did this happen?\Why do they take everything from us?\Our lives. response:	Our dreams...
context: Mother?\Mother...\Mother?\Save...\Why did this happen?\Why do they take everything from us?\Our lives.\Our dreams... response:	Why?
context: Mother...\Mother?\Save...\Why did this happen?\Why do they take everything from us?\Our lives.\Our dreams...\Why? response:	Damn it all! Damn it! Damn it!
context: Mother?\Save...\Why did this happen?\Why do they take everything from us?\Our lives.\Our dreams...\Why?\Damn it all! Damn it! Damn it! response:	I won't give up!
context: Save...\Why did this happen?\Why do they take everything from us?\Our lives.\Our dreams...\Why?\Damn it all! Damn it! Damn it!\I won't give up! response:	I'll eliminate them all...
context: Why did this happen?\Why do they take everything from us?\Our lives.\Our dreams...\Why?\Damn it all! Damn it! Damn it!\I won't give up!\I'll eliminate them all... response:	Every single Titan!
context: Why do they take everything from us?\Our lives.\Our dreams...\Why?\Damn it all! Damn it! Damn it!\I won't give up!\I'll eliminate them all...\Every single Titan! response:	I'll kill them myself!
context: Our lives.\Our dreams...\Why?\Damn it all! Damn it! Damn it!\I won't give up!\I'll eliminate them all...\Every single Titan!\I'll kill them myself! response:	I'll wipe them off the face
context: Our dreams...\Why?\Damn it all! Damn it! Damn it!\I won't give up!\I'll eliminate them all...\Every single Titan!\I'll kill them myself!\I'll wipe them off the face response:	of the earth.
context: Why?\Damn it all! Damn it! Damn it!\I won't give up!\I'll eliminate them all...\Every single Titan!\I'll kill them myself!\I'll wipe them off the face\of the earth. response:	Every single one!
context: Damn it all! Damn it! Damn it!\I won't give up!\I'll eliminate them all...\Every single Titan!\I'll kill them myself!\I'll wipe them off the face\of the earth.\Every single one! response:	More...
context: I won't give up!\I'll eliminate them all...\Every single Titan!\I'll kill them myself!\I'll wipe them off the face\of the earth.\Every single one!\More... response:	More...
context: I'll eliminate them all...\Every single Titan!\I'll kill them myself!\I'll wipe them off the face\of the earth.\Every single one!\More...\More... response:	Kill more!
context: Every single Titan!\I'll kill them myself!\I'll wipe them off the face\of the earth.\Every single one!\More...\More...\Kill more! response:	I want to kill...
context: I'll kill them myself!\I'll wipe them off the face\of the earth.\Every single one!\More...\More...\Kill more!\I want to kill... response:	Kill...
context: I'll wipe them off the face\of the earth.\Every single one!\More...\More...\Kill more!\I want to kill...\Kill... response:	more...
context: of the earth.\Every single one!\More...\More...\Kill more!\I want to kill...\Kill...\more... response:	I'll kill them all.
context: Every single one!\More...\More...\Kill more!\I want to kill...\Kill...\more...\I'll kill them all. response:	Eren?
context: More...\More...\Kill more!\I want to kill...\Kill...\more...\I'll kill them all.\Eren? response:	Eren!
context: More...\Kill more!\I want to kill...\Kill...\more...\I'll kill them all.\Eren?\Eren! response:	Eren, can you move?
context: Kill more!\I want to kill...\Kill...\more...\I'll kill them all.\Eren?\Eren!\Eren, can you move? response:	Can you understand what I'm saying?
context: I want to kill...\Kill...\more...\I'll kill them all.\Eren?\Eren!\Eren, can you move?\Can you understand what I'm saying? response:	Tell them everything you know.
context: Kill...\more...\I'll kill them all.\Eren?\Eren!\Eren, can you move?\Can you understand what I'm saying?\Tell them everything you know. response:	I'm sure they'll understand!
context: more...\I'll kill them all.\Eren?\Eren!\Eren, can you move?\Can you understand what I'm saying?\Tell them everything you know.\I'm sure they'll understand! response:	Armin?
context: I'll kill them all.\Eren?\Eren!\Eren, can you move?\Can you understand what I'm saying?\Tell them everything you know.\I'm sure they'll understand!\Armin? response:	Hear that?
context: Eren?\Eren!\Eren, can you move?\Can you understand what I'm saying?\Tell them everything you know.\I'm sure they'll understand!\Armin?\Hear that? response:	He said, I'll kill them all!
context: Eren!\Eren, can you move?\Can you understand what I'm saying?\Tell them everything you know.\I'm sure they'll understand!\Armin?\Hear that?\He said, I'll kill them all! response:	Yes, I heard him.
context: Eren, can you move?\Can you understand what I'm saying?\Tell them everything you know.\I'm sure they'll understand!\Armin?\Hear that?\He said, I'll kill them all!\Yes, I heard him. response:	He's going to devour us.
context: Can you understand what I'm saying?\Tell them everything you know.\I'm sure they'll understand!\Armin?\Hear that?\He said, I'll kill them all!\Yes, I heard him.\He's going to devour us. response:	What are they all talking about?
context: Tell them everything you know.\I'm sure they'll understand!\Armin?\Hear that?\He said, I'll kill them all!\Yes, I heard him.\He's going to devour us.\What are they all talking about? response:	Are those blades pointed at us?
context: I'm sure they'll understand!\Armin?\Hear that?\He said, I'll kill them all!\Yes, I heard him.\He's going to devour us.\What are they all talking about?\Are those blades pointed at us? response:	Those blades are for fighting Titans.
context: Armin?\Hear that?\He said, I'll kill them all!\Yes, I heard him.\He's going to devour us.\What are they all talking about?\Are those blades pointed at us?\Those blades are for fighting Titans. response:	Why are they looking at me like that?
context: Hear that?\He said, I'll kill them all!\Yes, I heard him.\He's going to devour us.\What are they all talking about?\Are those blades pointed at us?\Those blades are for fighting Titans.\Why are they looking at me like that? response:	What is this?
context: He said, I'll kill them all!\Yes, I heard him.\He's going to devour us.\What are they all talking about?\Are those blades pointed at us?\Those blades are for fighting Titans.\Why are they looking at me like that?\What is this? response:	The Survey Corps (1) Their primary mission consists of reconnoitering outlying areas. Their objectives have changed following the Fall of Wall Maria.
context: Yes, I heard him.\He's going to devour us.\What are they all talking about?\Are those blades pointed at us?\Those blades are for fighting Titans.\Why are they looking at me like that?\What is this?\The Survey Corps (1) Their primary mission consists of reconnoitering outlying areas. Their objectives have changed following the Fall of Wall Maria. response:	The Survey Corps (2) After the Fall, their new objective is to prepare for the second operation to recapture Wall Maria by establishing supply points and routes for troop movement.
context: He's going to devour us.\What are they all talking about?\Are those blades pointed at us?\Those blades are for fighting Titans.\Why are they looking at me like that?\What is this?\The Survey Corps (1) Their primary mission consists of reconnoitering outlying areas. Their objectives have changed following the Fall of Wall Maria.\The Survey Corps (2) After the Fall, their new objective is to prepare for the second operation to recapture Wall Maria by establishing supply points and routes for troop movement. response:	Wall Rose Interior
context: What are they all talking about?\Are those blades pointed at us?\Those blades are for fighting Titans.\Why are they looking at me like that?\What is this?\The Survey Corps (1) Their primary mission consists of reconnoitering outlying areas. Their objectives have changed following the Fall of Wall Maria.\The Survey Corps (2) After the Fall, their new objective is to prepare for the second operation to recapture Wall Maria by establishing supply points and routes for troop movement.\Wall Rose Interior response:	Trainees, keep your equipment at hand, and stand by!
context: Are those blades pointed at us?\Those blades are for fighting Titans.\Why are they looking at me like that?\What is this?\The Survey Corps (1) Their primary mission consists of reconnoitering outlying areas. Their objectives have changed following the Fall of Wall Maria.\The Survey Corps (2) After the Fall, their new objective is to prepare for the second operation to recapture Wall Maria by establishing supply points and routes for troop movement.\Wall Rose Interior\Trainees, keep your equipment at hand, and stand by! response:	And then...
