context: Captain's log, March 3rd. response:	DRAGONs appeared.
context: The festivals are coming up, right?\I want to prepare some things for the children.\Ange, huh?\I need to do something about her.\What are you going to do?\She's filthy rich. She'll just buy herself out of any punishment.\Besides, she won't do anything you say.\What's your point? response:	She looks down on you.
context: I want to prepare some things for the children.\Ange, huh?\I need to do something about her.\What are you going to do?\She's filthy rich. She'll just buy herself out of any punishment.\Besides, she won't do anything you say.\What's your point?\She looks down on you. response:	This kind of thing could never have happened when Zola was around.
context: Ange, huh?\I need to do something about her.\What are you going to do?\She's filthy rich. She'll just buy herself out of any punishment.\Besides, she won't do anything you say.\What's your point?\She looks down on you.\This kind of thing could never have happened when Zola was around. response:	Want me to take over as captain?
context: I need to do something about her.\What are you going to do?\She's filthy rich. She'll just buy herself out of any punishment.\Besides, she won't do anything you say.\What's your point?\She looks down on you.\This kind of thing could never have happened when Zola was around.\Want me to take over as captain? response:	Everyone's being selfish.
context: What are you going to do?\She's filthy rich. She'll just buy herself out of any punishment.\Besides, she won't do anything you say.\What's your point?\She looks down on you.\This kind of thing could never have happened when Zola was around.\Want me to take over as captain?\Everyone's being selfish. response:	It's not like I asked to become captain.
context: She's filthy rich. She'll just buy herself out of any punishment.\Besides, she won't do anything you say.\What's your point?\She looks down on you.\This kind of thing could never have happened when Zola was around.\Want me to take over as captain?\Everyone's being selfish.\It's not like I asked to become captain. response:	The usual.
context: Besides, she won't do anything you say.\What's your point?\She looks down on you.\This kind of thing could never have happened when Zola was around.\Want me to take over as captain?\Everyone's being selfish.\It's not like I asked to become captain.\The usual. response:	Use the furthest one down.
context: What's your point?\She looks down on you.\This kind of thing could never have happened when Zola was around.\Want me to take over as captain?\Everyone's being selfish.\It's not like I asked to become captain.\The usual.\Use the furthest one down. response:	I can't have you sleeping in your underwear forever.
context: She looks down on you.\This kind of thing could never have happened when Zola was around.\Want me to take over as captain?\Everyone's being selfish.\It's not like I asked to become captain.\The usual.\Use the furthest one down.\I can't have you sleeping in your underwear forever. response:	I don't mind.
context: This kind of thing could never have happened when Zola was around.\Want me to take over as captain?\Everyone's being selfish.\It's not like I asked to become captain.\The usual.\Use the furthest one down.\I can't have you sleeping in your underwear forever.\I don't mind. response:	I do.
context: Want me to take over as captain?\Everyone's being selfish.\It's not like I asked to become captain.\The usual.\Use the furthest one down.\I can't have you sleeping in your underwear forever.\I don't mind.\I do. response:	Jasmine, I'm using the dressing room.
context: Everyone's being selfish.\It's not like I asked to become captain.\The usual.\Use the furthest one down.\I can't have you sleeping in your underwear forever.\I don't mind.\I do.\Jasmine, I'm using the dressing room. response:	Use the furthest one down.
context: It's not like I asked to become captain.\The usual.\Use the furthest one down.\I can't have you sleeping in your underwear forever.\I don't mind.\I do.\Jasmine, I'm using the dressing room.\Use the furthest one down. response:	Squeeze with the power of love!
context: The usual.\Use the furthest one down.\I can't have you sleeping in your underwear forever.\I don't mind.\I do.\Jasmine, I'm using the dressing room.\Use the furthest one down.\Squeeze with the power of love! response:	Making you fall in love!
context: Use the furthest one down.\I can't have you sleeping in your underwear forever.\I don't mind.\I do.\Jasmine, I'm using the dressing room.\Use the furthest one down.\Squeeze with the power of love!\Making you fall in love! response:	Bishoujo Holy Knight Pretty Salian!
context: I can't have you sleeping in your underwear forever.\I don't mind.\I do.\Jasmine, I'm using the dressing room.\Use the furthest one down.\Squeeze with the power of love!\Making you fall in love!\Bishoujo Holy Knight Pretty Salian! response:	Charging next to you!
context: I don't mind.\I do.\Jasmine, I'm using the dressing room.\Use the furthest one down.\Squeeze with the power of love!\Making you fall in love!\Bishoujo Holy Knight Pretty Salian!\Charging next to you! response:	Captain's log, March 5th.
context: I do.\Jasmine, I'm using the dressing room.\Use the furthest one down.\Squeeze with the power of love!\Making you fall in love!\Bishoujo Holy Knight Pretty Salian!\Charging next to you!\Captain's log, March 5th. response:	Addendum: Underwent psychological maintenance to manage stress.
context: Jasmine, I'm using the dressing room.\Use the furthest one down.\Squeeze with the power of love!\Making you fall in love!\Bishoujo Holy Knight Pretty Salian!\Charging next to you!\Captain's log, March 5th.\Addendum: Underwent psychological maintenance to manage stress. response:	My shining love energy...
context: Use the furthest one down.\Squeeze with the power of love!\Making you fall in love!\Bishoujo Holy Knight Pretty Salian!\Charging next to you!\Captain's log, March 5th.\Addendum: Underwent psychological maintenance to manage stress.\My shining love energy... response:	Princess?
context: Squeeze with the power of love!\Making you fall in love!\Bishoujo Holy Knight Pretty Salian!\Charging next to you!\Captain's log, March 5th.\Addendum: Underwent psychological maintenance to manage stress.\My shining love energy...\Princess? response:	It was in use.
context: Making you fall in love!\Bishoujo Holy Knight Pretty Salian!\Charging next to you!\Captain's log, March 5th.\Addendum: Underwent psychological maintenance to manage stress.\My shining love energy...\Princess?\It was in use. response:	Sh-She... sh-sh-she...
context: Bishoujo Holy Knight Pretty Salian!\Charging next to you!\Captain's log, March 5th.\Addendum: Underwent psychological maintenance to manage stress.\My shining love energy...\Princess?\It was in use.\Sh-She... sh-sh-she... response:	She saw me.
context: Charging next to you!\Captain's log, March 5th.\Addendum: Underwent psychological maintenance to manage stress.\My shining love energy...\Princess?\It was in use.\Sh-She... sh-sh-she...\She saw me. response:	If everyone finds out about this...
context: Captain's log, March 5th.\Addendum: Underwent psychological maintenance to manage stress.\My shining love energy...\Princess?\It was in use.\Sh-She... sh-sh-she...\She saw me.\If everyone finds out about this... response:	I never thought our captain would have a hobby like this.
context: Addendum: Underwent psychological maintenance to manage stress.\My shining love energy...\Princess?\It was in use.\Sh-She... sh-sh-she...\She saw me.\If everyone finds out about this...\I never thought our captain would have a hobby like this. response:	Fine, then.
context: My shining love energy...\Princess?\It was in use.\Sh-She... sh-sh-she...\She saw me.\If everyone finds out about this...\I never thought our captain would have a hobby like this.\Fine, then. response:	Am I pressing too much or too little?
context: Princess?\It was in use.\Sh-She... sh-sh-she...\She saw me.\If everyone finds out about this...\I never thought our captain would have a hobby like this.\Fine, then.\Am I pressing too much or too little? response:	I think it's good.
context: It was in use.\Sh-She... sh-sh-she...\She saw me.\If everyone finds out about this...\I never thought our captain would have a hobby like this.\Fine, then.\Am I pressing too much or too little?\I think it's good. response:	I'll kill you.
context: Sh-She... sh-sh-she...\She saw me.\If everyone finds out about this...\I never thought our captain would have a hobby like this.\Fine, then.\Am I pressing too much or too little?\I think it's good.\I'll kill you. response:	What's this about?
context: She saw me.\If everyone finds out about this...\I never thought our captain would have a hobby like this.\Fine, then.\Am I pressing too much or too little?\I think it's good.\I'll kill you.\What's this about? response:	Now that you've seen, I'll have to kill you.
context: If everyone finds out about this...\I never thought our captain would have a hobby like this.\Fine, then.\Am I pressing too much or too little?\I think it's good.\I'll kill you.\What's this about?\Now that you've seen, I'll have to kill you. response:	I haven't told anyone.
context: I never thought our captain would have a hobby like this.\Fine, then.\Am I pressing too much or too little?\I think it's good.\I'll kill you.\What's this about?\Now that you've seen, I'll have to kill you.\I haven't told anyone. response:	You haven't told anyone yet.
context: Fine, then.\Am I pressing too much or too little?\I think it's good.\I'll kill you.\What's this about?\Now that you've seen, I'll have to kill you.\I haven't told anyone.\You haven't told anyone yet. response:	I have no one to tell, and it doesn't matter to me what you do.
context: Am I pressing too much or too little?\I think it's good.\I'll kill you.\What's this about?\Now that you've seen, I'll have to kill you.\I haven't told anyone.\You haven't told anyone yet.\I have no one to tell, and it doesn't matter to me what you do. response:	It doesn't matter?
context: I think it's good.\I'll kill you.\What's this about?\Now that you've seen, I'll have to kill you.\I haven't told anyone.\You haven't told anyone yet.\I have no one to tell, and it doesn't matter to me what you do.\It doesn't matter? response:	You give me so much trouble, and it doesn't matter to you?
context: I'll kill you.\What's this about?\Now that you've seen, I'll have to kill you.\I haven't told anyone.\You haven't told anyone yet.\I have no one to tell, and it doesn't matter to me what you do.\It doesn't matter?\You give me so much trouble, and it doesn't matter to you? response:	We're a team!
context: What's this about?\Now that you've seen, I'll have to kill you.\I haven't told anyone.\You haven't told anyone yet.\I have no one to tell, and it doesn't matter to me what you do.\It doesn't matter?\You give me so much trouble, and it doesn't matter to you?\We're a team! response:	Yet you keep going on by yourself.
context: Now that you've seen, I'll have to kill you.\I haven't told anyone.\You haven't told anyone yet.\I have no one to tell, and it doesn't matter to me what you do.\It doesn't matter?\You give me so much trouble, and it doesn't matter to you?\We're a team!\Yet you keep going on by yourself. response:	You people tried to shoot me down from behind!
context: I haven't told anyone.\You haven't told anyone yet.\I have no one to tell, and it doesn't matter to me what you do.\It doesn't matter?\You give me so much trouble, and it doesn't matter to you?\We're a team!\Yet you keep going on by yourself.\You people tried to shoot me down from behind! response:	Team, my ass!
context: You haven't told anyone yet.\I have no one to tell, and it doesn't matter to me what you do.\It doesn't matter?\You give me so much trouble, and it doesn't matter to you?\We're a team!\Yet you keep going on by yourself.\You people tried to shoot me down from behind!\Team, my ass! response:	You never stop them.
context: I have no one to tell, and it doesn't matter to me what you do.\It doesn't matter?\You give me so much trouble, and it doesn't matter to you?\We're a team!\Yet you keep going on by yourself.\You people tried to shoot me down from behind!\Team, my ass!\You never stop them. response:	You want me to die, too, don't you?
context: It doesn't matter?\You give me so much trouble, and it doesn't matter to you?\We're a team!\Yet you keep going on by yourself.\You people tried to shoot me down from behind!\Team, my ass!\You never stop them.\You want me to die, too, don't you? response:	I'm not going to be killed by the likes of you.
context: You give me so much trouble, and it doesn't matter to you?\We're a team!\Yet you keep going on by yourself.\You people tried to shoot me down from behind!\Team, my ass!\You never stop them.\You want me to die, too, don't you?\I'm not going to be killed by the likes of you. response:	That's why I fight alone.
context: We're a team!\Yet you keep going on by yourself.\You people tried to shoot me down from behind!\Team, my ass!\You never stop them.\You want me to die, too, don't you?\I'm not going to be killed by the likes of you.\That's why I fight alone. response:	Quit being so selfish.
context: Yet you keep going on by yourself.\You people tried to shoot me down from behind!\Team, my ass!\You never stop them.\You want me to die, too, don't you?\I'm not going to be killed by the likes of you.\That's why I fight alone.\Quit being so selfish. response:	Look who's talking!
context: You people tried to shoot me down from behind!\Team, my ass!\You never stop them.\You want me to die, too, don't you?\I'm not going to be killed by the likes of you.\That's why I fight alone.\Quit being so selfish.\Look who's talking! response:	What team?
context: Team, my ass!\You never stop them.\You want me to die, too, don't you?\I'm not going to be killed by the likes of you.\That's why I fight alone.\Quit being so selfish.\Look who's talking!\What team? response:	The fact that I have to be captain, that everyone's being so selfish,
context: You never stop them.\You want me to die, too, don't you?\I'm not going to be killed by the likes of you.\That's why I fight alone.\Quit being so selfish.\Look who's talking!\What team?\The fact that I have to be captain, that everyone's being so selfish, response:	that you saw my secret, that you took the Villkiss...
context: You want me to die, too, don't you?\I'm not going to be killed by the likes of you.\That's why I fight alone.\Quit being so selfish.\Look who's talking!\What team?\The fact that I have to be captain, that everyone's being so selfish,\that you saw my secret, that you took the Villkiss... response:	Huh?
context: I'm not going to be killed by the likes of you.\That's why I fight alone.\Quit being so selfish.\Look who's talking!\What team?\The fact that I have to be captain, that everyone's being so selfish,\that you saw my secret, that you took the Villkiss...\Huh? response:	It's all your fault.
context: That's why I fight alone.\Quit being so selfish.\Look who's talking!\What team?\The fact that I have to be captain, that everyone's being so selfish,\that you saw my secret, that you took the Villkiss...\Huh?\It's all your fault. response:	What?
context: Quit being so selfish.\Look who's talking!\What team?\The fact that I have to be captain, that everyone's being so selfish,\that you saw my secret, that you took the Villkiss...\Huh?\It's all your fault.\What? response:	See, minced meat is better than croquette for curry
context: Look who's talking!\What team?\The fact that I have to be captain, that everyone's being so selfish,\that you saw my secret, that you took the Villkiss...\Huh?\It's all your fault.\What?\See, minced meat is better than croquette for curry response:	What the heck is this?
context: What team?\The fact that I have to be captain, that everyone's being so selfish,\that you saw my secret, that you took the Villkiss...\Huh?\It's all your fault.\What?\See, minced meat is better than croquette for curry\What the heck is this? response:	Oh, dear.
context: The fact that I have to be captain, that everyone's being so selfish,\that you saw my secret, that you took the Villkiss...\Huh?\It's all your fault.\What?\See, minced meat is better than croquette for curry\What the heck is this?\Oh, dear. response:	Please make Angelise-sama stop.
context: that you saw my secret, that you took the Villkiss...\Huh?\It's all your fault.\What?\See, minced meat is better than croquette for curry\What the heck is this?\Oh, dear.\Please make Angelise-sama stop. response:	This is a bath.
context: Huh?\It's all your fault.\What?\See, minced meat is better than croquette for curry\What the heck is this?\Oh, dear.\Please make Angelise-sama stop.\This is a bath. response:	So we all have to wash off our dirt first.
context: It's all your fault.\What?\See, minced meat is better than croquette for curry\What the heck is this?\Oh, dear.\Please make Angelise-sama stop.\This is a bath.\So we all have to wash off our dirt first. response:	There you go.
context: What?\See, minced meat is better than croquette for curry\What the heck is this?\Oh, dear.\Please make Angelise-sama stop.\This is a bath.\So we all have to wash off our dirt first.\There you go. response:	Have fun, you kids.
context: See, minced meat is better than croquette for curry\What the heck is this?\Oh, dear.\Please make Angelise-sama stop.\This is a bath.\So we all have to wash off our dirt first.\There you go.\Have fun, you kids. response:	Angelise-sama!
context: What the heck is this?\Oh, dear.\Please make Angelise-sama stop.\This is a bath.\So we all have to wash off our dirt first.\There you go.\Have fun, you kids.\Angelise-sama! response:	Microboobs!
context: Oh, dear.\Please make Angelise-sama stop.\This is a bath.\So we all have to wash off our dirt first.\There you go.\Have fun, you kids.\Angelise-sama!\Microboobs! response:	Shut up, muscle pig!
context: Please make Angelise-sama stop.\This is a bath.\So we all have to wash off our dirt first.\There you go.\Have fun, you kids.\Angelise-sama!\Microboobs!\Shut up, muscle pig! response:	Do you need to fight in the base, too?
