context: Ow! Hey, watch out! response:	Geez...
context: Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me response:	I don't wish to hurt you in a world
context: Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world response:	of someone else's imagining
context: you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining response:	Remember who I am
context: I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am response:	Huh?
context: Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Huh? response:	Um...
context: When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Huh?\Um... response:	Touka, how are you feeling?
context: In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Huh?\Um...\Touka, how are you feeling? response:	I'm sorry I've missed so much work.
context: Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Huh?\Um...\Touka, how are you feeling?\I'm sorry I've missed so much work. response:	That's okay.
context: I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Huh?\Um...\Touka, how are you feeling?\I'm sorry I've missed so much work.\That's okay. response:	Um, has something happened?
context: of someone else's imagining\Remember who I am\Huh?\Um...\Touka, how are you feeling?\I'm sorry I've missed so much work.\That's okay.\Um, has something happened? response:	Mrs. Ryoko has had her life taken by the hand of ghoul investigators.
context: Remember who I am\Huh?\Um...\Touka, how are you feeling?\I'm sorry I've missed so much work.\That's okay.\Um, has something happened?\Mrs. Ryoko has had her life taken by the hand of ghoul investigators. response:	Mrs. Ryoko...
context: Huh?\Um...\Touka, how are you feeling?\I'm sorry I've missed so much work.\That's okay.\Um, has something happened?\Mrs. Ryoko has had her life taken by the hand of ghoul investigators.\Mrs. Ryoko... response:	What about Hinami?! Is Hinami safe?!
context: Um...\Touka, how are you feeling?\I'm sorry I've missed so much work.\That's okay.\Um, has something happened?\Mrs. Ryoko has had her life taken by the hand of ghoul investigators.\Mrs. Ryoko...\What about Hinami?! Is Hinami safe?! response:	I put her to bed in the other room.
context: Touka, how are you feeling?\I'm sorry I've missed so much work.\That's okay.\Um, has something happened?\Mrs. Ryoko has had her life taken by the hand of ghoul investigators.\Mrs. Ryoko...\What about Hinami?! Is Hinami safe?!\I put her to bed in the other room. response:	Her face! Did they see her face?!
context: I'm sorry I've missed so much work.\That's okay.\Um, has something happened?\Mrs. Ryoko has had her life taken by the hand of ghoul investigators.\Mrs. Ryoko...\What about Hinami?! Is Hinami safe?!\I put her to bed in the other room.\Her face! Did they see her face?! response:	What is this? How could this be any worse?
context: That's okay.\Um, has something happened?\Mrs. Ryoko has had her life taken by the hand of ghoul investigators.\Mrs. Ryoko...\What about Hinami?! Is Hinami safe?!\I put her to bed in the other room.\Her face! Did they see her face?!\What is this? How could this be any worse? response:	When the time comes, I'm thinking of moving Hinami to the 24th Ward.
context: Um, has something happened?\Mrs. Ryoko has had her life taken by the hand of ghoul investigators.\Mrs. Ryoko...\What about Hinami?! Is Hinami safe?!\I put her to bed in the other room.\Her face! Did they see her face?!\What is this? How could this be any worse?\When the time comes, I'm thinking of moving Hinami to the 24th Ward. response:	You're kidding, right? That cesspool?
context: Mrs. Ryoko has had her life taken by the hand of ghoul investigators.\Mrs. Ryoko...\What about Hinami?! Is Hinami safe?!\I put her to bed in the other room.\Her face! Did they see her face?!\What is this? How could this be any worse?\When the time comes, I'm thinking of moving Hinami to the 24th Ward.\You're kidding, right? That cesspool? response:	There's no way Hinami can survive there on her own, you know!
context: Mrs. Ryoko...\What about Hinami?! Is Hinami safe?!\I put her to bed in the other room.\Her face! Did they see her face?!\What is this? How could this be any worse?\When the time comes, I'm thinking of moving Hinami to the 24th Ward.\You're kidding, right? That cesspool?\There's no way Hinami can survive there on her own, you know! response:	Touka...
context: What about Hinami?! Is Hinami safe?!\I put her to bed in the other room.\Her face! Did they see her face?!\What is this? How could this be any worse?\When the time comes, I'm thinking of moving Hinami to the 24th Ward.\You're kidding, right? That cesspool?\There's no way Hinami can survive there on her own, you know!\Touka... response:	We could always kill the doves, couldn't we?
context: I put her to bed in the other room.\Her face! Did they see her face?!\What is this? How could this be any worse?\When the time comes, I'm thinking of moving Hinami to the 24th Ward.\You're kidding, right? That cesspool?\There's no way Hinami can survive there on her own, you know!\Touka...\We could always kill the doves, couldn't we? response:	Every last one of them. I mean, we've got Mr. Yomo,
context: Her face! Did they see her face?!\What is this? How could this be any worse?\When the time comes, I'm thinking of moving Hinami to the 24th Ward.\You're kidding, right? That cesspool?\There's no way Hinami can survive there on her own, you know!\Touka...\We could always kill the doves, couldn't we?\Every last one of them. I mean, we've got Mr. Yomo, response:	and if we all work together...
context: What is this? How could this be any worse?\When the time comes, I'm thinking of moving Hinami to the 24th Ward.\You're kidding, right? That cesspool?\There's no way Hinami can survive there on her own, you know!\Touka...\We could always kill the doves, couldn't we?\Every last one of them. I mean, we've got Mr. Yomo,\and if we all work together... response:	No. If the 20th Ward doves lose their lives,
context: When the time comes, I'm thinking of moving Hinami to the 24th Ward.\You're kidding, right? That cesspool?\There's no way Hinami can survive there on her own, you know!\Touka...\We could always kill the doves, couldn't we?\Every last one of them. I mean, we've got Mr. Yomo,\and if we all work together...\No. If the 20th Ward doves lose their lives, response:	then other doves will be sent in here, one after the next.
context: You're kidding, right? That cesspool?\There's no way Hinami can survive there on her own, you know!\Touka...\We could always kill the doves, couldn't we?\Every last one of them. I mean, we've got Mr. Yomo,\and if we all work together...\No. If the 20th Ward doves lose their lives,\then other doves will be sent in here, one after the next. response:	Until they've hunted us all down.
context: There's no way Hinami can survive there on her own, you know!\Touka...\We could always kill the doves, couldn't we?\Every last one of them. I mean, we've got Mr. Yomo,\and if we all work together...\No. If the 20th Ward doves lose their lives,\then other doves will be sent in here, one after the next.\Until they've hunted us all down. response:	But...
context: Touka...\We could always kill the doves, couldn't we?\Every last one of them. I mean, we've got Mr. Yomo,\and if we all work together...\No. If the 20th Ward doves lose their lives,\then other doves will be sent in here, one after the next.\Until they've hunted us all down.\But... response:	Touka!
context: We could always kill the doves, couldn't we?\Every last one of them. I mean, we've got Mr. Yomo,\and if we all work together...\No. If the 20th Ward doves lose their lives,\then other doves will be sent in here, one after the next.\Until they've hunted us all down.\But...\Touka! response:	Yomo is correct. We must not take any action against them.
context: Every last one of them. I mean, we've got Mr. Yomo,\and if we all work together...\No. If the 20th Ward doves lose their lives,\then other doves will be sent in here, one after the next.\Until they've hunted us all down.\But...\Touka!\Yomo is correct. We must not take any action against them. response:	That is the best course, for the sake of everyone's safety.
context: and if we all work together...\No. If the 20th Ward doves lose their lives,\then other doves will be sent in here, one after the next.\Until they've hunted us all down.\But...\Touka!\Yomo is correct. We must not take any action against them.\That is the best course, for the sake of everyone's safety. response:	Even though one of our own was killed?
context: No. If the 20th Ward doves lose their lives,\then other doves will be sent in here, one after the next.\Until they've hunted us all down.\But...\Touka!\Yomo is correct. We must not take any action against them.\That is the best course, for the sake of everyone's safety.\Even though one of our own was killed? response:	Even though one of our own was killed,
context: then other doves will be sent in here, one after the next.\Until they've hunted us all down.\But...\Touka!\Yomo is correct. We must not take any action against them.\That is the best course, for the sake of everyone's safety.\Even though one of our own was killed?\Even though one of our own was killed, response:	just sitting around and watching is the best course?!
context: Until they've hunted us all down.\But...\Touka!\Yomo is correct. We must not take any action against them.\That is the best course, for the sake of everyone's safety.\Even though one of our own was killed?\Even though one of our own was killed,\just sitting around and watching is the best course?! response:	Hinami's mother has been killed.
context: But...\Touka!\Yomo is correct. We must not take any action against them.\That is the best course, for the sake of everyone's safety.\Even though one of our own was killed?\Even though one of our own was killed,\just sitting around and watching is the best course?!\Hinami's mother has been killed. response:	I'd feel sorry for her if we can't take vengeance for her!
context: Touka!\Yomo is correct. We must not take any action against them.\That is the best course, for the sake of everyone's safety.\Even though one of our own was killed?\Even though one of our own was killed,\just sitting around and watching is the best course?!\Hinami's mother has been killed.\I'd feel sorry for her if we can't take vengeance for her! response:	It's not because we can't take vengeance that we should feel sorry.
context: Yomo is correct. We must not take any action against them.\That is the best course, for the sake of everyone's safety.\Even though one of our own was killed?\Even though one of our own was killed,\just sitting around and watching is the best course?!\Hinami's mother has been killed.\I'd feel sorry for her if we can't take vengeance for her!\It's not because we can't take vengeance that we should feel sorry. response:	The real reason to feel sorry...
context: That is the best course, for the sake of everyone's safety.\Even though one of our own was killed?\Even though one of our own was killed,\just sitting around and watching is the best course?!\Hinami's mother has been killed.\I'd feel sorry for her if we can't take vengeance for her!\It's not because we can't take vengeance that we should feel sorry.\The real reason to feel sorry... response:	is when one is hung up on revenge and can't live their own life.
context: Even though one of our own was killed?\Even though one of our own was killed,\just sitting around and watching is the best course?!\Hinami's mother has been killed.\I'd feel sorry for her if we can't take vengeance for her!\It's not because we can't take vengeance that we should feel sorry.\The real reason to feel sorry...\is when one is hung up on revenge and can't live their own life. response:	Are you talking about me?
context: Even though one of our own was killed,\just sitting around and watching is the best course?!\Hinami's mother has been killed.\I'd feel sorry for her if we can't take vengeance for her!\It's not because we can't take vengeance that we should feel sorry.\The real reason to feel sorry...\is when one is hung up on revenge and can't live their own life.\Are you talking about me? response:	Back there, if only...
context: just sitting around and watching is the best course?!\Hinami's mother has been killed.\I'd feel sorry for her if we can't take vengeance for her!\It's not because we can't take vengeance that we should feel sorry.\The real reason to feel sorry...\is when one is hung up on revenge and can't live their own life.\Are you talking about me?\Back there, if only... response:	if only it was Touka who came upon them, instead of me...
context: Hinami's mother has been killed.\I'd feel sorry for her if we can't take vengeance for her!\It's not because we can't take vengeance that we should feel sorry.\The real reason to feel sorry...\is when one is hung up on revenge and can't live their own life.\Are you talking about me?\Back there, if only...\if only it was Touka who came upon them, instead of me... response:	You mustn't blame yourself, Kaneki.
context: I'd feel sorry for her if we can't take vengeance for her!\It's not because we can't take vengeance that we should feel sorry.\The real reason to feel sorry...\is when one is hung up on revenge and can't live their own life.\Are you talking about me?\Back there, if only...\if only it was Touka who came upon them, instead of me...\You mustn't blame yourself, Kaneki. response:	couldn't do anything...
context: It's not because we can't take vengeance that we should feel sorry.\The real reason to feel sorry...\is when one is hung up on revenge and can't live their own life.\Are you talking about me?\Back there, if only...\if only it was Touka who came upon them, instead of me...\You mustn't blame yourself, Kaneki.\couldn't do anything... response:	So Jason's base isn't in the 20th Ward after all.
context: The real reason to feel sorry...\is when one is hung up on revenge and can't live their own life.\Are you talking about me?\Back there, if only...\if only it was Touka who came upon them, instead of me...\You mustn't blame yourself, Kaneki.\couldn't do anything...\So Jason's base isn't in the 20th Ward after all. response:	Judging by what's in this report the 11th Ward seems about right.
context: is when one is hung up on revenge and can't live their own life.\Are you talking about me?\Back there, if only...\if only it was Touka who came upon them, instead of me...\You mustn't blame yourself, Kaneki.\couldn't do anything...\So Jason's base isn't in the 20th Ward after all.\Judging by what's in this report the 11th Ward seems about right. response:	You think that Jason is involved with that one organized movement?
context: Are you talking about me?\Back there, if only...\if only it was Touka who came upon them, instead of me...\You mustn't blame yourself, Kaneki.\couldn't do anything...\So Jason's base isn't in the 20th Ward after all.\Judging by what's in this report the 11th Ward seems about right.\You think that Jason is involved with that one organized movement? response:	That's what my instincts say.
context: Back there, if only...\if only it was Touka who came upon them, instead of me...\You mustn't blame yourself, Kaneki.\couldn't do anything...\So Jason's base isn't in the 20th Ward after all.\Judging by what's in this report the 11th Ward seems about right.\You think that Jason is involved with that one organized movement?\That's what my instincts say. response:	I hate to say this,
context: if only it was Touka who came upon them, instead of me...\You mustn't blame yourself, Kaneki.\couldn't do anything...\So Jason's base isn't in the 20th Ward after all.\Judging by what's in this report the 11th Ward seems about right.\You think that Jason is involved with that one organized movement?\That's what my instincts say.\I hate to say this, response:	but there's nothing we can do outside our jurisdiction, Amon.
context: You mustn't blame yourself, Kaneki.\couldn't do anything...\So Jason's base isn't in the 20th Ward after all.\Judging by what's in this report the 11th Ward seems about right.\You think that Jason is involved with that one organized movement?\That's what my instincts say.\I hate to say this,\but there's nothing we can do outside our jurisdiction, Amon. response:	Let's let Special Investigator Marude have Jason.
context: couldn't do anything...\So Jason's base isn't in the 20th Ward after all.\Judging by what's in this report the 11th Ward seems about right.\You think that Jason is involved with that one organized movement?\That's what my instincts say.\I hate to say this,\but there's nothing we can do outside our jurisdiction, Amon.\Let's let Special Investigator Marude have Jason. response:	The other S-rateds left in the 20th Ward are...
context: So Jason's base isn't in the 20th Ward after all.\Judging by what's in this report the 11th Ward seems about right.\You think that Jason is involved with that one organized movement?\That's what my instincts say.\I hate to say this,\but there's nothing we can do outside our jurisdiction, Amon.\Let's let Special Investigator Marude have Jason.\The other S-rateds left in the 20th Ward are... response:	the binge eaters and the gourmets?
context: Judging by what's in this report the 11th Ward seems about right.\You think that Jason is involved with that one organized movement?\That's what my instincts say.\I hate to say this,\but there's nothing we can do outside our jurisdiction, Amon.\Let's let Special Investigator Marude have Jason.\The other S-rateds left in the 20th Ward are...\the binge eaters and the gourmets? response:	The binge eaters and the gourmets
context: You think that Jason is involved with that one organized movement?\That's what my instincts say.\I hate to say this,\but there's nothing we can do outside our jurisdiction, Amon.\Let's let Special Investigator Marude have Jason.\The other S-rateds left in the 20th Ward are...\the binge eaters and the gourmets?\The binge eaters and the gourmets response:	are laying low, almost as if matching their actions to ours.
context: That's what my instincts say.\I hate to say this,\but there's nothing we can do outside our jurisdiction, Amon.\Let's let Special Investigator Marude have Jason.\The other S-rateds left in the 20th Ward are...\the binge eaters and the gourmets?\The binge eaters and the gourmets\are laying low, almost as if matching their actions to ours. response:	In my experience, at a time like this,
context: I hate to say this,\but there's nothing we can do outside our jurisdiction, Amon.\Let's let Special Investigator Marude have Jason.\The other S-rateds left in the 20th Ward are...\the binge eaters and the gourmets?\The binge eaters and the gourmets\are laying low, almost as if matching their actions to ours.\In my experience, at a time like this, response:	there's a good chance that going after them would be wasted effort.
context: but there's nothing we can do outside our jurisdiction, Amon.\Let's let Special Investigator Marude have Jason.\The other S-rateds left in the 20th Ward are...\the binge eaters and the gourmets?\The binge eaters and the gourmets\are laying low, almost as if matching their actions to ours.\In my experience, at a time like this,\there's a good chance that going after them would be wasted effort. response:	Which means...
context: Let's let Special Investigator Marude have Jason.\The other S-rateds left in the 20th Ward are...\the binge eaters and the gourmets?\The binge eaters and the gourmets\are laying low, almost as if matching their actions to ours.\In my experience, at a time like this,\there's a good chance that going after them would be wasted effort.\Which means... response:	We pound the pavement the hard way, one by one.
context: The other S-rateds left in the 20th Ward are...\the binge eaters and the gourmets?\The binge eaters and the gourmets\are laying low, almost as if matching their actions to ours.\In my experience, at a time like this,\there's a good chance that going after them would be wasted effort.\Which means...\We pound the pavement the hard way, one by one. response:	A big fish is certain to show up that way. Certain to.
context: the binge eaters and the gourmets?\The binge eaters and the gourmets\are laying low, almost as if matching their actions to ours.\In my experience, at a time like this,\there's a good chance that going after them would be wasted effort.\Which means...\We pound the pavement the hard way, one by one.\A big fish is certain to show up that way. Certain to. response:	Okay, starting tomorrow, we go back to straight-up detective work.
context: The binge eaters and the gourmets\are laying low, almost as if matching their actions to ours.\In my experience, at a time like this,\there's a good chance that going after them would be wasted effort.\Which means...\We pound the pavement the hard way, one by one.\A big fish is certain to show up that way. Certain to.\Okay, starting tomorrow, we go back to straight-up detective work. response:	All three of you, that's all for today, so please get some rest.
context: are laying low, almost as if matching their actions to ours.\In my experience, at a time like this,\there's a good chance that going after them would be wasted effort.\Which means...\We pound the pavement the hard way, one by one.\A big fish is certain to show up that way. Certain to.\Okay, starting tomorrow, we go back to straight-up detective work.\All three of you, that's all for today, so please get some rest. response:	Very well.
context: In my experience, at a time like this,\there's a good chance that going after them would be wasted effort.\Which means...\We pound the pavement the hard way, one by one.\A big fish is certain to show up that way. Certain to.\Okay, starting tomorrow, we go back to straight-up detective work.\All three of you, that's all for today, so please get some rest.\Very well. response:	Yes, sir.
context: there's a good chance that going after them would be wasted effort.\Which means...\We pound the pavement the hard way, one by one.\A big fish is certain to show up that way. Certain to.\Okay, starting tomorrow, we go back to straight-up detective work.\All three of you, that's all for today, so please get some rest.\Very well.\Yes, sir. response:	What about you, Mr. Mado?
context: Which means...\We pound the pavement the hard way, one by one.\A big fish is certain to show up that way. Certain to.\Okay, starting tomorrow, we go back to straight-up detective work.\All three of you, that's all for today, so please get some rest.\Very well.\Yes, sir.\What about you, Mr. Mado? response:	I have no talents outside of work. Ah, I almost forgot.
context: We pound the pavement the hard way, one by one.\A big fish is certain to show up that way. Certain to.\Okay, starting tomorrow, we go back to straight-up detective work.\All three of you, that's all for today, so please get some rest.\Very well.\Yes, sir.\What about you, Mr. Mado?\I have no talents outside of work. Ah, I almost forgot. response:	Top Secret
context: A big fish is certain to show up that way. Certain to.\Okay, starting tomorrow, we go back to straight-up detective work.\All three of you, that's all for today, so please get some rest.\Very well.\Yes, sir.\What about you, Mr. Mado?\I have no talents outside of work. Ah, I almost forgot.\Top Secret response:	As far as number 745, our faces were seen. So please, do be careful.
context: Okay, starting tomorrow, we go back to straight-up detective work.\All three of you, that's all for today, so please get some rest.\Very well.\Yes, sir.\What about you, Mr. Mado?\I have no talents outside of work. Ah, I almost forgot.\Top Secret\As far as number 745, our faces were seen. So please, do be careful. response:	He's kidding. She was just a child.
context: All three of you, that's all for today, so please get some rest.\Very well.\Yes, sir.\What about you, Mr. Mado?\I have no talents outside of work. Ah, I almost forgot.\Top Secret\As far as number 745, our faces were seen. So please, do be careful.\He's kidding. She was just a child. response:	An orphan...?
context: Very well.\Yes, sir.\What about you, Mr. Mado?\I have no talents outside of work. Ah, I almost forgot.\Top Secret\As far as number 745, our faces were seen. So please, do be careful.\He's kidding. She was just a child.\An orphan...? response:	That's them?
context: Yes, sir.\What about you, Mr. Mado?\I have no talents outside of work. Ah, I almost forgot.\Top Secret\As far as number 745, our faces were seen. So please, do be careful.\He's kidding. She was just a child.\An orphan...?\That's them? response:	Come on in!
context: What about you, Mr. Mado?\I have no talents outside of work. Ah, I almost forgot.\Top Secret\As far as number 745, our faces were seen. So please, do be careful.\He's kidding. She was just a child.\An orphan...?\That's them?\Come on in! response:	One shrimp tempura set with the chicken onigiri.
context: I have no talents outside of work. Ah, I almost forgot.\Top Secret\As far as number 745, our faces were seen. So please, do be careful.\He's kidding. She was just a child.\An orphan...?\That's them?\Come on in!\One shrimp tempura set with the chicken onigiri. response:	Again, Mr. Nakajima?
context: Top Secret\As far as number 745, our faces were seen. So please, do be careful.\He's kidding. She was just a child.\An orphan...?\That's them?\Come on in!\One shrimp tempura set with the chicken onigiri.\Again, Mr. Nakajima? response:	Cram it.
