context: No! response:	I-I'm sorry...
context: is if they can sleep and escape the upcoming freezing world.\Sleep?\From here on, the saltflake snow will continue to fall and amass.\The world will start freezing,\and people will not be able to bear the cold that will eventually come.\Therefore, we will go into a long sleep and let time pass,\waiting until the Sea God is able to regain his power.\The people of Shioshishio must sleep immediately. response:	The longer we wait, the more people we will lose
context: Sleep?\From here on, the saltflake snow will continue to fall and amass.\The world will start freezing,\and people will not be able to bear the cold that will eventually come.\Therefore, we will go into a long sleep and let time pass,\waiting until the Sea God is able to regain his power.\The people of Shioshishio must sleep immediately.\The longer we wait, the more people we will lose response:	Hold up! Wait, hold up!
context: From here on, the saltflake snow will continue to fall and amass.\The world will start freezing,\and people will not be able to bear the cold that will eventually come.\Therefore, we will go into a long sleep and let time pass,\waiting until the Sea God is able to regain his power.\The people of Shioshishio must sleep immediately.\The longer we wait, the more people we will lose\Hold up! Wait, hold up! response:	Are you both being serious right now?
context: The world will start freezing,\and people will not be able to bear the cold that will eventually come.\Therefore, we will go into a long sleep and let time pass,\waiting until the Sea God is able to regain his power.\The people of Shioshishio must sleep immediately.\The longer we wait, the more people we will lose\Hold up! Wait, hold up!\Are you both being serious right now? response:	Are you guys all right in the head?
context: and people will not be able to bear the cold that will eventually come.\Therefore, we will go into a long sleep and let time pass,\waiting until the Sea God is able to regain his power.\The people of Shioshishio must sleep immediately.\The longer we wait, the more people we will lose\Hold up! Wait, hold up!\Are you both being serious right now?\Are you guys all right in the head? response:	Sleep?
context: Therefore, we will go into a long sleep and let time pass,\waiting until the Sea God is able to regain his power.\The people of Shioshishio must sleep immediately.\The longer we wait, the more people we will lose\Hold up! Wait, hold up!\Are you both being serious right now?\Are you guys all right in the head?\Sleep? response:	It's not like we can hibernate or anythin
context: waiting until the Sea God is able to regain his power.\The people of Shioshishio must sleep immediately.\The longer we wait, the more people we will lose\Hold up! Wait, hold up!\Are you both being serious right now?\Are you guys all right in the head?\Sleep?\It's not like we can hibernate or anythin response:	We can.
context: The people of Shioshishio must sleep immediately.\The longer we wait, the more people we will lose\Hold up! Wait, hold up!\Are you both being serious right now?\Are you guys all right in the head?\Sleep?\It's not like we can hibernate or anythin\We can. response:	The Ena that the Sea God has given all of you
context: The longer we wait, the more people we will lose\Hold up! Wait, hold up!\Are you both being serious right now?\Are you guys all right in the head?\Sleep?\It's not like we can hibernate or anythin\We can.\The Ena that the Sea God has given all of you response:	will let you sleep until the calamity has passed.
context: Hold up! Wait, hold up!\Are you both being serious right now?\Are you guys all right in the head?\Sleep?\It's not like we can hibernate or anythin\We can.\The Ena that the Sea God has given all of you\will let you sleep until the calamity has passed. response:	Hold on a second.
context: Are you both being serious right now?\Are you guys all right in the head?\Sleep?\It's not like we can hibernate or anythin\We can.\The Ena that the Sea God has given all of you\will let you sleep until the calamity has passed.\Hold on a second. response:	This is all too sudden.
context: Are you guys all right in the head?\Sleep?\It's not like we can hibernate or anythin\We can.\The Ena that the Sea God has given all of you\will let you sleep until the calamity has passed.\Hold on a second.\This is all too sudden. response:	We have school, and what about everyone of Oshiooshi?
context: Sleep?\It's not like we can hibernate or anythin\We can.\The Ena that the Sea God has given all of you\will let you sleep until the calamity has passed.\Hold on a second.\This is all too sudden.\We have school, and what about everyone of Oshiooshi? response:	The surface has nothing to do with us.
context: It's not like we can hibernate or anythin\We can.\The Ena that the Sea God has given all of you\will let you sleep until the calamity has passed.\Hold on a second.\This is all too sudden.\We have school, and what about everyone of Oshiooshi?\The surface has nothing to do with us. response:	They don't have Ena.
context: We can.\The Ena that the Sea God has given all of you\will let you sleep until the calamity has passed.\Hold on a second.\This is all too sudden.\We have school, and what about everyone of Oshiooshi?\The surface has nothing to do with us.\They don't have Ena. response:	We aren't obligated to tell them anything.
context: The Ena that the Sea God has given all of you\will let you sleep until the calamity has passed.\Hold on a second.\This is all too sudden.\We have school, and what about everyone of Oshiooshi?\The surface has nothing to do with us.\They don't have Ena.\We aren't obligated to tell them anything. response:	But...
context: will let you sleep until the calamity has passed.\Hold on a second.\This is all too sudden.\We have school, and what about everyone of Oshiooshi?\The surface has nothing to do with us.\They don't have Ena.\We aren't obligated to tell them anything.\But... response:	Understood?
context: Hold on a second.\This is all too sudden.\We have school, and what about everyone of Oshiooshi?\The surface has nothing to do with us.\They don't have Ena.\We aren't obligated to tell them anything.\But...\Understood? response:	You need to be prepared, as well.
context: This is all too sudden.\We have school, and what about everyone of Oshiooshi?\The surface has nothing to do with us.\They don't have Ena.\We aren't obligated to tell them anything.\But...\Understood?\You need to be prepared, as well. response:	Like I can believe that...
context: We have school, and what about everyone of Oshiooshi?\The surface has nothing to do with us.\They don't have Ena.\We aren't obligated to tell them anything.\But...\Understood?\You need to be prepared, as well.\Like I can believe that... response:	Uh... Manaka
context: The surface has nothing to do with us.\They don't have Ena.\We aren't obligated to tell them anything.\But...\Understood?\You need to be prepared, as well.\Like I can believe that...\Uh... Manaka response:	Manaka!
context: They don't have Ena.\We aren't obligated to tell them anything.\But...\Understood?\You need to be prepared, as well.\Like I can believe that...\Uh... Manaka\Manaka! response:	What the heck? It's so messy.
context: We aren't obligated to tell them anything.\But...\Understood?\You need to be prepared, as well.\Like I can believe that...\Uh... Manaka\Manaka!\What the heck? It's so messy. response:	Her body was so warm...
context: But...\Understood?\You need to be prepared, as well.\Like I can believe that...\Uh... Manaka\Manaka!\What the heck? It's so messy.\Her body was so warm... response:	Oh, god damn it!
context: Understood?\You need to be prepared, as well.\Like I can believe that...\Uh... Manaka\Manaka!\What the heck? It's so messy.\Her body was so warm...\Oh, god damn it! response:	Hey.
context: You need to be prepared, as well.\Like I can believe that...\Uh... Manaka\Manaka!\What the heck? It's so messy.\Her body was so warm...\Oh, god damn it!\Hey. response:	What?
context: Like I can believe that...\Uh... Manaka\Manaka!\What the heck? It's so messy.\Her body was so warm...\Oh, god damn it!\Hey.\What? response:	We will be having a feast with everyone in Shioshishio on Friday.
context: Uh... Manaka\Manaka!\What the heck? It's so messy.\Her body was so warm...\Oh, god damn it!\Hey.\What?\We will be having a feast with everyone in Shioshishio on Friday. response:	You need to come.
context: Manaka!\What the heck? It's so messy.\Her body was so warm...\Oh, god damn it!\Hey.\What?\We will be having a feast with everyone in Shioshishio on Friday.\You need to come. response:	What?
context: What the heck? It's so messy.\Her body was so warm...\Oh, god damn it!\Hey.\What?\We will be having a feast with everyone in Shioshishio on Friday.\You need to come.\What? response:	If we fast, our Ena will thicken
context: Her body was so warm...\Oh, god damn it!\Hey.\What?\We will be having a feast with everyone in Shioshishio on Friday.\You need to come.\What?\If we fast, our Ena will thicken response:	and will be able to protect us.
context: Oh, god damn it!\Hey.\What?\We will be having a feast with everyone in Shioshishio on Friday.\You need to come.\What?\If we fast, our Ena will thicken\and will be able to protect us. response:	And that is apparently how the sleep comes upon us.
context: Hey.\What?\We will be having a feast with everyone in Shioshishio on Friday.\You need to come.\What?\If we fast, our Ena will thicken\and will be able to protect us.\And that is apparently how the sleep comes upon us. response:	So we are all eating to our hearts' content one last time.
context: What?\We will be having a feast with everyone in Shioshishio on Friday.\You need to come.\What?\If we fast, our Ena will thicken\and will be able to protect us.\And that is apparently how the sleep comes upon us.\So we are all eating to our hearts' content one last time. response:	Everyone, children and adults, will be there.
context: We will be having a feast with everyone in Shioshishio on Friday.\You need to come.\What?\If we fast, our Ena will thicken\and will be able to protect us.\And that is apparently how the sleep comes upon us.\So we are all eating to our hearts' content one last time.\Everyone, children and adults, will be there. response:	Last?
context: You need to come.\What?\If we fast, our Ena will thicken\and will be able to protect us.\And that is apparently how the sleep comes upon us.\So we are all eating to our hearts' content one last time.\Everyone, children and adults, will be there.\Last? response:	You mean we're not supposed to eat after that?
context: What?\If we fast, our Ena will thicken\and will be able to protect us.\And that is apparently how the sleep comes upon us.\So we are all eating to our hearts' content one last time.\Everyone, children and adults, will be there.\Last?\You mean we're not supposed to eat after that? response:	That's right.
context: If we fast, our Ena will thicken\and will be able to protect us.\And that is apparently how the sleep comes upon us.\So we are all eating to our hearts' content one last time.\Everyone, children and adults, will be there.\Last?\You mean we're not supposed to eat after that?\That's right. response:	Manaka, you need to apologize to your father.
context: and will be able to protect us.\And that is apparently how the sleep comes upon us.\So we are all eating to our hearts' content one last time.\Everyone, children and adults, will be there.\Last?\You mean we're not supposed to eat after that?\That's right.\Manaka, you need to apologize to your father. response:	He went out to look for you.
context: And that is apparently how the sleep comes upon us.\So we are all eating to our hearts' content one last time.\Everyone, children and adults, will be there.\Last?\You mean we're not supposed to eat after that?\That's right.\Manaka, you need to apologize to your father.\He went out to look for you. response:	Are you listening?
context: So we are all eating to our hearts' content one last time.\Everyone, children and adults, will be there.\Last?\You mean we're not supposed to eat after that?\That's right.\Manaka, you need to apologize to your father.\He went out to look for you.\Are you listening? response:	Aren't you going to eat?
context: Everyone, children and adults, will be there.\Last?\You mean we're not supposed to eat after that?\That's right.\Manaka, you need to apologize to your father.\He went out to look for you.\Are you listening?\Aren't you going to eat? response:	I'm not hungry.
context: Last?\You mean we're not supposed to eat after that?\That's right.\Manaka, you need to apologize to your father.\He went out to look for you.\Are you listening?\Aren't you going to eat?\I'm not hungry. response:	You say that,
context: You mean we're not supposed to eat after that?\That's right.\Manaka, you need to apologize to your father.\He went out to look for you.\Are you listening?\Aren't you going to eat?\I'm not hungry.\You say that, response:	but in order to thicken our Ena, soon we won't be able to eat anymore.
context: That's right.\Manaka, you need to apologize to your father.\He went out to look for you.\Are you listening?\Aren't you going to eat?\I'm not hungry.\You say that,\but in order to thicken our Ena, soon we won't be able to eat anymore. response:	That's fine!
context: Manaka, you need to apologize to your father.\He went out to look for you.\Are you listening?\Aren't you going to eat?\I'm not hungry.\You say that,\but in order to thicken our Ena, soon we won't be able to eat anymore.\That's fine! response:	For crying out loud...
context: He went out to look for you.\Are you listening?\Aren't you going to eat?\I'm not hungry.\You say that,\but in order to thicken our Ena, soon we won't be able to eat anymore.\That's fine!\For crying out loud... response:	Sleep...
context: Are you listening?\Aren't you going to eat?\I'm not hungry.\You say that,\but in order to thicken our Ena, soon we won't be able to eat anymore.\That's fine!\For crying out loud...\Sleep... response:	But if we sleep...
context: Aren't you going to eat?\I'm not hungry.\You say that,\but in order to thicken our Ena, soon we won't be able to eat anymore.\That's fine!\For crying out loud...\Sleep...\But if we sleep... response:	They don't have Ena.
context: I'm not hungry.\You say that,\but in order to thicken our Ena, soon we won't be able to eat anymore.\That's fine!\For crying out loud...\Sleep...\But if we sleep...\They don't have Ena. response:	We aren't obligated to tell them anything.
context: You say that,\but in order to thicken our Ena, soon we won't be able to eat anymore.\That's fine!\For crying out loud...\Sleep...\But if we sleep...\They don't have Ena.\We aren't obligated to tell them anything. response:	It's sparkly and pretty.
context: but in order to thicken our Ena, soon we won't be able to eat anymore.\That's fine!\For crying out loud...\Sleep...\But if we sleep...\They don't have Ena.\We aren't obligated to tell them anything.\It's sparkly and pretty. response:	I don't know!
context: That's fine!\For crying out loud...\Sleep...\But if we sleep...\They don't have Ena.\We aren't obligated to tell them anything.\It's sparkly and pretty.\I don't know! response:	I don't know what to do!
context: For crying out loud...\Sleep...\But if we sleep...\They don't have Ena.\We aren't obligated to tell them anything.\It's sparkly and pretty.\I don't know!\I don't know what to do! response:	I don't know...
context: Sleep...\But if we sleep...\They don't have Ena.\We aren't obligated to tell them anything.\It's sparkly and pretty.\I don't know!\I don't know what to do!\I don't know... response:	What's wrong?
context: But if we sleep...\They don't have Ena.\We aren't obligated to tell them anything.\It's sparkly and pretty.\I don't know!\I don't know what to do!\I don't know...\What's wrong? response:	You're up early, Hikari.
context: They don't have Ena.\We aren't obligated to tell them anything.\It's sparkly and pretty.\I don't know!\I don't know what to do!\I don't know...\What's wrong?\You're up early, Hikari. response:	You aren't planning to head up to the surface, are you?
context: We aren't obligated to tell them anything.\It's sparkly and pretty.\I don't know!\I don't know what to do!\I don't know...\What's wrong?\You're up early, Hikari.\You aren't planning to head up to the surface, are you? response:	No.
context: It's sparkly and pretty.\I don't know!\I don't know what to do!\I don't know...\What's wrong?\You're up early, Hikari.\You aren't planning to head up to the surface, are you?\No. response:	See? I'm not in my uniform.
context: I don't know!\I don't know what to do!\I don't know...\What's wrong?\You're up early, Hikari.\You aren't planning to head up to the surface, are you?\No.\See? I'm not in my uniform. response:	Good.
context: I don't know what to do!\I don't know...\What's wrong?\You're up early, Hikari.\You aren't planning to head up to the surface, are you?\No.\See? I'm not in my uniform.\Good. response:	Don't leave Shishio.
context: I don't know...\What's wrong?\You're up early, Hikari.\You aren't planning to head up to the surface, are you?\No.\See? I'm not in my uniform.\Good.\Don't leave Shishio. response:	I'm just going for a walk.
context: What's wrong?\You're up early, Hikari.\You aren't planning to head up to the surface, are you?\No.\See? I'm not in my uniform.\Good.\Don't leave Shishio.\I'm just going for a walk. response:	I'll be steaming some seaweed for you on Friday.
context: You're up early, Hikari.\You aren't planning to head up to the surface, are you?\No.\See? I'm not in my uniform.\Good.\Don't leave Shishio.\I'm just going for a walk.\I'll be steaming some seaweed for you on Friday. response:	Sure.
context: You aren't planning to head up to the surface, are you?\No.\See? I'm not in my uniform.\Good.\Don't leave Shishio.\I'm just going for a walk.\I'll be steaming some seaweed for you on Friday.\Sure. response:	He sure loves his seaweed.
context: No.\See? I'm not in my uniform.\Good.\Don't leave Shishio.\I'm just going for a walk.\I'll be steaming some seaweed for you on Friday.\Sure.\He sure loves his seaweed. response:	You did come after all.
context: See? I'm not in my uniform.\Good.\Don't leave Shishio.\I'm just going for a walk.\I'll be steaming some seaweed for you on Friday.\Sure.\He sure loves his seaweed.\You did come after all. response:	What do you mean, after all?
context: Good.\Don't leave Shishio.\I'm just going for a walk.\I'll be steaming some seaweed for you on Friday.\Sure.\He sure loves his seaweed.\You did come after all.\What do you mean, after all? response:	We heard what happened from Manaka.
context: Don't leave Shishio.\I'm just going for a walk.\I'll be steaming some seaweed for you on Friday.\Sure.\He sure loves his seaweed.\You did come after all.\What do you mean, after all?\We heard what happened from Manaka. response:	What?!
context: I'm just going for a walk.\I'll be steaming some seaweed for you on Friday.\Sure.\He sure loves his seaweed.\You did come after all.\What do you mean, after all?\We heard what happened from Manaka.\What?! response:	What do you mean, What?
context: I'll be steaming some seaweed for you on Friday.\Sure.\He sure loves his seaweed.\You did come after all.\What do you mean, after all?\We heard what happened from Manaka.\What?!\What do you mean, What? response:	You were at Uroko-sama's, too, right?
context: Sure.\He sure loves his seaweed.\You did come after all.\What do you mean, after all?\We heard what happened from Manaka.\What?!\What do you mean, What?\You were at Uroko-sama's, too, right? response:	More importantly, what are you guys going to do about school?
context: He sure loves his seaweed.\You did come after all.\What do you mean, after all?\We heard what happened from Manaka.\What?!\What do you mean, What?\You were at Uroko-sama's, too, right?\More importantly, what are you guys going to do about school? response:	What? You're going?
context: You did come after all.\What do you mean, after all?\We heard what happened from Manaka.\What?!\What do you mean, What?\You were at Uroko-sama's, too, right?\More importantly, what are you guys going to do about school?\What? You're going? response:	If what Uroko-sama said is true,
context: What do you mean, after all?\We heard what happened from Manaka.\What?!\What do you mean, What?\You were at Uroko-sama's, too, right?\More importantly, what are you guys going to do about school?\What? You're going?\If what Uroko-sama said is true, response:	we have to tell everyone from Oshiooshi.
context: We heard what happened from Manaka.\What?!\What do you mean, What?\You were at Uroko-sama's, too, right?\More importantly, what are you guys going to do about school?\What? You're going?\If what Uroko-sama said is true,\we have to tell everyone from Oshiooshi. response:	You think we have to tell everyone on the surface?
context: What?!\What do you mean, What?\You were at Uroko-sama's, too, right?\More importantly, what are you guys going to do about school?\What? You're going?\If what Uroko-sama said is true,\we have to tell everyone from Oshiooshi.\You think we have to tell everyone on the surface? response:	But there's supposed to be no way to save them...
context: What do you mean, What?\You were at Uroko-sama's, too, right?\More importantly, what are you guys going to do about school?\What? You're going?\If what Uroko-sama said is true,\we have to tell everyone from Oshiooshi.\You think we have to tell everyone on the surface?\But there's supposed to be no way to save them... response:	I think I'd be better off not knowing then...
context: You were at Uroko-sama's, too, right?\More importantly, what are you guys going to do about school?\What? You're going?\If what Uroko-sama said is true,\we have to tell everyone from Oshiooshi.\You think we have to tell everyone on the surface?\But there's supposed to be no way to save them...\I think I'd be better off not knowing then... response:	The people on the surface are different from us after all.
context: More importantly, what are you guys going to do about school?\What? You're going?\If what Uroko-sama said is true,\we have to tell everyone from Oshiooshi.\You think we have to tell everyone on the surface?\But there's supposed to be no way to save them...\I think I'd be better off not knowing then...\The people on the surface are different from us after all. response:	You think so?
context: What? You're going?\If what Uroko-sama said is true,\we have to tell everyone from Oshiooshi.\You think we have to tell everyone on the surface?\But there's supposed to be no way to save them...\I think I'd be better off not knowing then...\The people on the surface are different from us after all.\You think so? response:	I think that some people would want to know.
context: If what Uroko-sama said is true,\we have to tell everyone from Oshiooshi.\You think we have to tell everyone on the surface?\But there's supposed to be no way to save them...\I think I'd be better off not knowing then...\The people on the surface are different from us after all.\You think so?\I think that some people would want to know. response:	Like you-know-who.
context: we have to tell everyone from Oshiooshi.\You think we have to tell everyone on the surface?\But there's supposed to be no way to save them...\I think I'd be better off not knowing then...\The people on the surface are different from us after all.\You think so?\I think that some people would want to know.\Like you-know-who. response:	You-know-who?
context: You think we have to tell everyone on the surface?\But there's supposed to be no way to save them...\I think I'd be better off not knowing then...\The people on the surface are different from us after all.\You think so?\I think that some people would want to know.\Like you-know-who.\You-know-who? response:	You know he is.
context: But there's supposed to be no way to save them...\I think I'd be better off not knowing then...\The people on the surface are different from us after all.\You think so?\I think that some people would want to know.\Like you-know-who.\You-know-who?\You know he is. response:	So...
context: I think I'd be better off not knowing then...\The people on the surface are different from us after all.\You think so?\I think that some people would want to know.\Like you-know-who.\You-know-who?\You know he is.\So... response:	People meeting their demise or going to sleep
context: The people on the surface are different from us after all.\You think so?\I think that some people would want to know.\Like you-know-who.\You-know-who?\You know he is.\So...\People meeting their demise or going to sleep response:	supposedly comes down to the Sea God not having enough power, right?
context: You think so?\I think that some people would want to know.\Like you-know-who.\You-know-who?\You know he is.\So...\People meeting their demise or going to sleep\supposedly comes down to the Sea God not having enough power, right? response:	That just means we really have to do it.
context: I think that some people would want to know.\Like you-know-who.\You-know-who?\You know he is.\So...\People meeting their demise or going to sleep\supposedly comes down to the Sea God not having enough power, right?\That just means we really have to do it. response:	The Ofunehiki.
context: Like you-know-who.\You-know-who?\You know he is.\So...\People meeting their demise or going to sleep\supposedly comes down to the Sea God not having enough power, right?\That just means we really have to do it.\The Ofunehiki. response:	That's how we'll get the Sea God to regain his strength.
context: You-know-who?\You know he is.\So...\People meeting their demise or going to sleep\supposedly comes down to the Sea God not having enough power, right?\That just means we really have to do it.\The Ofunehiki.\That's how we'll get the Sea God to regain his strength. response:	But they said it was canceled...
context: You know he is.\So...\People meeting their demise or going to sleep\supposedly comes down to the Sea God not having enough power, right?\That just means we really have to do it.\The Ofunehiki.\That's how we'll get the Sea God to regain his strength.\But they said it was canceled... response:	I'll talk to Uroko-sama.
