context: Reporting... response:	The rebelling human vermin have connected the Dragon Chain Cannon to the giant lacrima
context: Lead me there.\What?!\My Queen!\What are you intending to do?\The time...\The time has come.\The Boy Back Then.\Gajeel! response:	Hurry and destroy the lacrima and turn everyone back to normal!
context: What?!\My Queen!\What are you intending to do?\The time...\The time has come.\The Boy Back Then.\Gajeel!\Hurry and destroy the lacrima and turn everyone back to normal! response:	I won't make it...
context: My Queen!\What are you intending to do?\The time...\The time has come.\The Boy Back Then.\Gajeel!\Hurry and destroy the lacrima and turn everyone back to normal!\I won't make it... response:	It's accelerating, damn it!
context: What are you intending to do?\The time...\The time has come.\The Boy Back Then.\Gajeel!\Hurry and destroy the lacrima and turn everyone back to normal!\I won't make it...\It's accelerating, damn it! response:	Oh, no!
context: The time...\The time has come.\The Boy Back Then.\Gajeel!\Hurry and destroy the lacrima and turn everyone back to normal!\I won't make it...\It's accelerating, damn it!\Oh, no! response:	Hurry!
context: The time has come.\The Boy Back Then.\Gajeel!\Hurry and destroy the lacrima and turn everyone back to normal!\I won't make it...\It's accelerating, damn it!\Oh, no!\Hurry! response:	We can't let it collide!
context: The Boy Back Then.\Gajeel!\Hurry and destroy the lacrima and turn everyone back to normal!\I won't make it...\It's accelerating, damn it!\Oh, no!\Hurry!\We can't let it collide! response:	Hang in there, Legy-pyon!
context: Gajeel!\Hurry and destroy the lacrima and turn everyone back to normal!\I won't make it...\It's accelerating, damn it!\Oh, no!\Hurry!\We can't let it collide!\Hang in there, Legy-pyon! response:	It's no use! We're not coming even close to stopping it!
context: Hurry and destroy the lacrima and turn everyone back to normal!\I won't make it...\It's accelerating, damn it!\Oh, no!\Hurry!\We can't let it collide!\Hang in there, Legy-pyon!\It's no use! We're not coming even close to stopping it! response:	Everyone, release your magic power!
context: I won't make it...\It's accelerating, damn it!\Oh, no!\Hurry!\We can't let it collide!\Hang in there, Legy-pyon!\It's no use! We're not coming even close to stopping it!\Everyone, release your magic power! response:	Please, stop!
context: It's accelerating, damn it!\Oh, no!\Hurry!\We can't let it collide!\Hang in there, Legy-pyon!\It's no use! We're not coming even close to stopping it!\Everyone, release your magic power!\Please, stop! response:	Stop!
context: Oh, no!\Hurry!\We can't let it collide!\Hang in there, Legy-pyon!\It's no use! We're not coming even close to stopping it!\Everyone, release your magic power!\Please, stop!\Stop! response:	Natsu!
context: Hurry!\We can't let it collide!\Hang in there, Legy-pyon!\It's no use! We're not coming even close to stopping it!\Everyone, release your magic power!\Please, stop!\Stop!\Natsu! response:	Um...
context: We can't let it collide!\Hang in there, Legy-pyon!\It's no use! We're not coming even close to stopping it!\Everyone, release your magic power!\Please, stop!\Stop!\Natsu!\Um... response:	Help me out, partner!
context: Hang in there, Legy-pyon!\It's no use! We're not coming even close to stopping it!\Everyone, release your magic power!\Please, stop!\Stop!\Natsu!\Um...\Help me out, partner! response:	Aye, sir!
context: It's no use! We're not coming even close to stopping it!\Everyone, release your magic power!\Please, stop!\Stop!\Natsu!\Um...\Help me out, partner!\Aye, sir! response:	We'll finish this later, cat!
context: Everyone, release your magic power!\Please, stop!\Stop!\Natsu!\Um...\Help me out, partner!\Aye, sir!\We'll finish this later, cat! response:	Running for it?
context: Please, stop!\Stop!\Natsu!\Um...\Help me out, partner!\Aye, sir!\We'll finish this later, cat!\Running for it? response:	I ain't runnin' or hidin'!
context: Stop!\Natsu!\Um...\Help me out, partner!\Aye, sir!\We'll finish this later, cat!\Running for it?\I ain't runnin' or hidin'! response:	I'm gonna stop this thing and finish this!
context: Natsu!\Um...\Help me out, partner!\Aye, sir!\We'll finish this later, cat!\Running for it?\I ain't runnin' or hidin'!\I'm gonna stop this thing and finish this! response:	Stop it? You're going to stop it?
context: Um...\Help me out, partner!\Aye, sir!\We'll finish this later, cat!\Running for it?\I ain't runnin' or hidin'!\I'm gonna stop this thing and finish this!\Stop it? You're going to stop it? response:	The entire floating island connected to the Dragon Chain?
context: Help me out, partner!\Aye, sir!\We'll finish this later, cat!\Running for it?\I ain't runnin' or hidin'!\I'm gonna stop this thing and finish this!\Stop it? You're going to stop it?\The entire floating island connected to the Dragon Chain? response:	That's a fool's errand!
context: Aye, sir!\We'll finish this later, cat!\Running for it?\I ain't runnin' or hidin'!\I'm gonna stop this thing and finish this!\Stop it? You're going to stop it?\The entire floating island connected to the Dragon Chain?\That's a fool's errand! response:	There is no tomorrow for us.
context: We'll finish this later, cat!\Running for it?\I ain't runnin' or hidin'!\I'm gonna stop this thing and finish this!\Stop it? You're going to stop it?\The entire floating island connected to the Dragon Chain?\That's a fool's errand!\There is no tomorrow for us. response:	We have nothing left!
context: Running for it?\I ain't runnin' or hidin'!\I'm gonna stop this thing and finish this!\Stop it? You're going to stop it?\The entire floating island connected to the Dragon Chain?\That's a fool's errand!\There is no tomorrow for us.\We have nothing left! response:	Hey!
context: I ain't runnin' or hidin'!\I'm gonna stop this thing and finish this!\Stop it? You're going to stop it?\The entire floating island connected to the Dragon Chain?\That's a fool's errand!\There is no tomorrow for us.\We have nothing left!\Hey! response:	After this...
context: I'm gonna stop this thing and finish this!\Stop it? You're going to stop it?\The entire floating island connected to the Dragon Chain?\That's a fool's errand!\There is no tomorrow for us.\We have nothing left!\Hey!\After this... response:	And then I'm gonna make you my cat.
context: Stop it? You're going to stop it?\The entire floating island connected to the Dragon Chain?\That's a fool's errand!\There is no tomorrow for us.\We have nothing left!\Hey!\After this...\And then I'm gonna make you my cat. response:	It's no use, they're going to hit!
context: The entire floating island connected to the Dragon Chain?\That's a fool's errand!\There is no tomorrow for us.\We have nothing left!\Hey!\After this...\And then I'm gonna make you my cat.\It's no use, they're going to hit! response:	Brace for it!
context: That's a fool's errand!\There is no tomorrow for us.\We have nothing left!\Hey!\After this...\And then I'm gonna make you my cat.\It's no use, they're going to hit!\Brace for it! response:	Damn it all!!
context: There is no tomorrow for us.\We have nothing left!\Hey!\After this...\And then I'm gonna make you my cat.\It's no use, they're going to hit!\Brace for it!\Damn it all!! response:	Not yet!
context: We have nothing left!\Hey!\After this...\And then I'm gonna make you my cat.\It's no use, they're going to hit!\Brace for it!\Damn it all!!\Not yet! response:	Don't give up, Happy!
context: Hey!\After this...\And then I'm gonna make you my cat.\It's no use, they're going to hit!\Brace for it!\Damn it all!!\Not yet!\Don't give up, Happy! response:	Aye, sir!
context: After this...\And then I'm gonna make you my cat.\It's no use, they're going to hit!\Brace for it!\Damn it all!!\Not yet!\Don't give up, Happy!\Aye, sir! response:	Gajeel?
context: And then I'm gonna make you my cat.\It's no use, they're going to hit!\Brace for it!\Damn it all!!\Not yet!\Don't give up, Happy!\Aye, sir!\Gajeel? response:	Why haven't you returned everyone else to normal like us?
context: It's no use, they're going to hit!\Brace for it!\Damn it all!!\Not yet!\Don't give up, Happy!\Aye, sir!\Gajeel?\Why haven't you returned everyone else to normal like us? response:	You have to hurry!
context: Brace for it!\Damn it all!!\Not yet!\Don't give up, Happy!\Aye, sir!\Gajeel?\Why haven't you returned everyone else to normal like us?\You have to hurry! response:	That black cat got in my way!
context: Damn it all!!\Not yet!\Don't give up, Happy!\Aye, sir!\Gajeel?\Why haven't you returned everyone else to normal like us?\You have to hurry!\That black cat got in my way! response:	It doesn't matter. It'd take too much time now!
context: Not yet!\Don't give up, Happy!\Aye, sir!\Gajeel?\Why haven't you returned everyone else to normal like us?\You have to hurry!\That black cat got in my way!\It doesn't matter. It'd take too much time now! response:	We have no choice but to stop it!
context: Don't give up, Happy!\Aye, sir!\Gajeel?\Why haven't you returned everyone else to normal like us?\You have to hurry!\That black cat got in my way!\It doesn't matter. It'd take too much time now!\We have no choice but to stop it! response:	We're totally gonna stop it, damn it!
context: Aye, sir!\Gajeel?\Why haven't you returned everyone else to normal like us?\You have to hurry!\That black cat got in my way!\It doesn't matter. It'd take too much time now!\We have no choice but to stop it!\We're totally gonna stop it, damn it! response:	Coco, why are you...
context: Gajeel?\Why haven't you returned everyone else to normal like us?\You have to hurry!\That black cat got in my way!\It doesn't matter. It'd take too much time now!\We have no choice but to stop it!\We're totally gonna stop it, damn it!\Coco, why are you... response:	Lily!
context: Why haven't you returned everyone else to normal like us?\You have to hurry!\That black cat got in my way!\It doesn't matter. It'd take too much time now!\We have no choice but to stop it!\We're totally gonna stop it, damn it!\Coco, why are you...\Lily! response:	I realized that I don't need eternal magic power!
context: You have to hurry!\That black cat got in my way!\It doesn't matter. It'd take too much time now!\We have no choice but to stop it!\We're totally gonna stop it, damn it!\Coco, why are you...\Lily!\I realized that I don't need eternal magic power! response:	I'd rather have eternal smiles!
context: That black cat got in my way!\It doesn't matter. It'd take too much time now!\We have no choice but to stop it!\We're totally gonna stop it, damn it!\Coco, why are you...\Lily!\I realized that I don't need eternal magic power!\I'd rather have eternal smiles! response:	What foolishness!
context: It doesn't matter. It'd take too much time now!\We have no choice but to stop it!\We're totally gonna stop it, damn it!\Coco, why are you...\Lily!\I realized that I don't need eternal magic power!\I'd rather have eternal smiles!\What foolishness! response:	Hurry up and escape, Coco!
context: We have no choice but to stop it!\We're totally gonna stop it, damn it!\Coco, why are you...\Lily!\I realized that I don't need eternal magic power!\I'd rather have eternal smiles!\What foolishness!\Hurry up and escape, Coco! response:	No matter what you do, you'll never stop this island!
context: We're totally gonna stop it, damn it!\Coco, why are you...\Lily!\I realized that I don't need eternal magic power!\I'd rather have eternal smiles!\What foolishness!\Hurry up and escape, Coco!\No matter what you do, you'll never stop this island! response:	We'll stop it...
context: Coco, why are you...\Lily!\I realized that I don't need eternal magic power!\I'd rather have eternal smiles!\What foolishness!\Hurry up and escape, Coco!\No matter what you do, you'll never stop this island!\We'll stop it... response:	Even if this body crumbles to bits, I'll stop it just with my soul!!
context: Lily!\I realized that I don't need eternal magic power!\I'd rather have eternal smiles!\What foolishness!\Hurry up and escape, Coco!\No matter what you do, you'll never stop this island!\We'll stop it...\Even if this body crumbles to bits, I'll stop it just with my soul!! response:	Aye, sir!
context: I realized that I don't need eternal magic power!\I'd rather have eternal smiles!\What foolishness!\Hurry up and escape, Coco!\No matter what you do, you'll never stop this island!\We'll stop it...\Even if this body crumbles to bits, I'll stop it just with my soul!!\Aye, sir! response:	Dear...
context: I'd rather have eternal smiles!\What foolishness!\Hurry up and escape, Coco!\No matter what you do, you'll never stop this island!\We'll stop it...\Even if this body crumbles to bits, I'll stop it just with my soul!!\Aye, sir!\Dear... response:	What the hell is goin' on?
context: What foolishness!\Hurry up and escape, Coco!\No matter what you do, you'll never stop this island!\We'll stop it...\Even if this body crumbles to bits, I'll stop it just with my soul!!\Aye, sir!\Dear...\What the hell is goin' on? response:	The Royal Army is attacking!
context: Hurry up and escape, Coco!\No matter what you do, you'll never stop this island!\We'll stop it...\Even if this body crumbles to bits, I'll stop it just with my soul!!\Aye, sir!\Dear...\What the hell is goin' on?\The Royal Army is attacking! response:	The humans are attacking!
context: No matter what you do, you'll never stop this island!\We'll stop it...\Even if this body crumbles to bits, I'll stop it just with my soul!!\Aye, sir!\Dear...\What the hell is goin' on?\The Royal Army is attacking!\The humans are attacking! response:	They're planning on rebelling against the Exceed?
context: We'll stop it...\Even if this body crumbles to bits, I'll stop it just with my soul!!\Aye, sir!\Dear...\What the hell is goin' on?\The Royal Army is attacking!\The humans are attacking!\They're planning on rebelling against the Exceed? response:	Those damn humans don't realize our Queen's power...
context: Even if this body crumbles to bits, I'll stop it just with my soul!!\Aye, sir!\Dear...\What the hell is goin' on?\The Royal Army is attacking!\The humans are attacking!\They're planning on rebelling against the Exceed?\Those damn humans don't realize our Queen's power... response:	You'll learn some respect today!
context: Aye, sir!\Dear...\What the hell is goin' on?\The Royal Army is attacking!\The humans are attacking!\They're planning on rebelling against the Exceed?\Those damn humans don't realize our Queen's power...\You'll learn some respect today! response:	I'm sure our Queen's magic will come out anytime now!
context: Dear...\What the hell is goin' on?\The Royal Army is attacking!\The humans are attacking!\They're planning on rebelling against the Exceed?\Those damn humans don't realize our Queen's power...\You'll learn some respect today!\I'm sure our Queen's magic will come out anytime now! response:	Sure, but I hope we counterattack soon, or...
context: What the hell is goin' on?\The Royal Army is attacking!\The humans are attacking!\They're planning on rebelling against the Exceed?\Those damn humans don't realize our Queen's power...\You'll learn some respect today!\I'm sure our Queen's magic will come out anytime now!\Sure, but I hope we counterattack soon, or... response:	Don't be afraid! Our Queen is with us!
context: The Royal Army is attacking!\The humans are attacking!\They're planning on rebelling against the Exceed?\Those damn humans don't realize our Queen's power...\You'll learn some respect today!\I'm sure our Queen's magic will come out anytime now!\Sure, but I hope we counterattack soon, or...\Don't be afraid! Our Queen is with us! response:	The lacrima hit...
context: The humans are attacking!\They're planning on rebelling against the Exceed?\Those damn humans don't realize our Queen's power...\You'll learn some respect today!\I'm sure our Queen's magic will come out anytime now!\Sure, but I hope we counterattack soon, or...\Don't be afraid! Our Queen is with us!\The lacrima hit... response:	It's not done yet. It seems to have stopped at the edge of the island.
context: They're planning on rebelling against the Exceed?\Those damn humans don't realize our Queen's power...\You'll learn some respect today!\I'm sure our Queen's magic will come out anytime now!\Sure, but I hope we counterattack soon, or...\Don't be afraid! Our Queen is with us!\The lacrima hit...\It's not done yet. It seems to have stopped at the edge of the island. response:	I'm sorry, Carla...
context: Those damn humans don't realize our Queen's power...\You'll learn some respect today!\I'm sure our Queen's magic will come out anytime now!\Sure, but I hope we counterattack soon, or...\Don't be afraid! Our Queen is with us!\The lacrima hit...\It's not done yet. It seems to have stopped at the edge of the island.\I'm sorry, Carla... response:	It wasn't supposed to turn out like...
context: You'll learn some respect today!\I'm sure our Queen's magic will come out anytime now!\Sure, but I hope we counterattack soon, or...\Don't be afraid! Our Queen is with us!\The lacrima hit...\It's not done yet. It seems to have stopped at the edge of the island.\I'm sorry, Carla...\It wasn't supposed to turn out like... response:	What are you saying? It's too early to give up hope!
context: I'm sure our Queen's magic will come out anytime now!\Sure, but I hope we counterattack soon, or...\Don't be afraid! Our Queen is with us!\The lacrima hit...\It's not done yet. It seems to have stopped at the edge of the island.\I'm sorry, Carla...\It wasn't supposed to turn out like...\What are you saying? It's too early to give up hope! response:	Everyone, listen!
context: Sure, but I hope we counterattack soon, or...\Don't be afraid! Our Queen is with us!\The lacrima hit...\It's not done yet. It seems to have stopped at the edge of the island.\I'm sorry, Carla...\It wasn't supposed to turn out like...\What are you saying? It's too early to give up hope!\Everyone, listen! response:	You're still here, you Fallen?!
context: Don't be afraid! Our Queen is with us!\The lacrima hit...\It's not done yet. It seems to have stopped at the edge of the island.\I'm sorry, Carla...\It wasn't supposed to turn out like...\What are you saying? It's too early to give up hope!\Everyone, listen!\You're still here, you Fallen?! response:	Nady-sama?
context: The lacrima hit...\It's not done yet. It seems to have stopped at the edge of the island.\I'm sorry, Carla...\It wasn't supposed to turn out like...\What are you saying? It's too early to give up hope!\Everyone, listen!\You're still here, you Fallen?!\Nady-sama? response:	Carla!
context: It's not done yet. It seems to have stopped at the edge of the island.\I'm sorry, Carla...\It wasn't supposed to turn out like...\What are you saying? It's too early to give up hope!\Everyone, listen!\You're still here, you Fallen?!\Nady-sama?\Carla! response:	T-Throwing stones... is... dangerous...
context: I'm sorry, Carla...\It wasn't supposed to turn out like...\What are you saying? It's too early to give up hope!\Everyone, listen!\You're still here, you Fallen?!\Nady-sama?\Carla!\T-Throwing stones... is... dangerous... response:	But she's a Fallen...
context: It wasn't supposed to turn out like...\What are you saying? It's too early to give up hope!\Everyone, listen!\You're still here, you Fallen?!\Nady-sama?\Carla!\T-Throwing stones... is... dangerous...\But she's a Fallen... response:	These people came here to warn us of danger!
context: What are you saying? It's too early to give up hope!\Everyone, listen!\You're still here, you Fallen?!\Nady-sama?\Carla!\T-Throwing stones... is... dangerous...\But she's a Fallen...\These people came here to warn us of danger! response:	But because no one listened to them, it's turned out like this!
context: Everyone, listen!\You're still here, you Fallen?!\Nady-sama?\Carla!\T-Throwing stones... is... dangerous...\But she's a Fallen...\These people came here to warn us of danger!\But because no one listened to them, it's turned out like this! response:	What are you saying?
context: You're still here, you Fallen?!\Nady-sama?\Carla!\T-Throwing stones... is... dangerous...\But she's a Fallen...\These people came here to warn us of danger!\But because no one listened to them, it's turned out like this!\What are you saying? response:	With our Queen's magic, something like this is no problem!
context: Nady-sama?\Carla!\T-Throwing stones... is... dangerous...\But she's a Fallen...\These people came here to warn us of danger!\But because no one listened to them, it's turned out like this!\What are you saying?\With our Queen's magic, something like this is no problem! response:	Now, the Queen will...
context: Carla!\T-Throwing stones... is... dangerous...\But she's a Fallen...\These people came here to warn us of danger!\But because no one listened to them, it's turned out like this!\What are you saying?\With our Queen's magic, something like this is no problem!\Now, the Queen will... response:	Uh... Um...
context: T-Throwing stones... is... dangerous...\But she's a Fallen...\These people came here to warn us of danger!\But because no one listened to them, it's turned out like this!\What are you saying?\With our Queen's magic, something like this is no problem!\Now, the Queen will...\Uh... Um... response:	Enough, Nady.
context: But she's a Fallen...\These people came here to warn us of danger!\But because no one listened to them, it's turned out like this!\What are you saying?\With our Queen's magic, something like this is no problem!\Now, the Queen will...\Uh... Um...\Enough, Nady. response:	My Queen!
context: These people came here to warn us of danger!\But because no one listened to them, it's turned out like this!\What are you saying?\With our Queen's magic, something like this is no problem!\Now, the Queen will...\Uh... Um...\Enough, Nady.\My Queen! response:	It's the Queen!
context: But because no one listened to them, it's turned out like this!\What are you saying?\With our Queen's magic, something like this is no problem!\Now, the Queen will...\Uh... Um...\Enough, Nady.\My Queen!\It's the Queen! response:	My Queen!
context: What are you saying?\With our Queen's magic, something like this is no problem!\Now, the Queen will...\Uh... Um...\Enough, Nady.\My Queen!\It's the Queen!\My Queen! response:	That person is the Queen?
context: With our Queen's magic, something like this is no problem!\Now, the Queen will...\Uh... Um...\Enough, Nady.\My Queen!\It's the Queen!\My Queen!\That person is the Queen? response:	Everyone, please raise your heads.
context: Now, the Queen will...\Uh... Um...\Enough, Nady.\My Queen!\It's the Queen!\My Queen!\That person is the Queen?\Everyone, please raise your heads. response:	Then listen calmly to what I am about to say.
context: Uh... Um...\Enough, Nady.\My Queen!\It's the Queen!\My Queen!\That person is the Queen?\Everyone, please raise your heads.\Then listen calmly to what I am about to say. response:	Why is the Queen here?
context: Enough, Nady.\My Queen!\It's the Queen!\My Queen!\That person is the Queen?\Everyone, please raise your heads.\Then listen calmly to what I am about to say.\Why is the Queen here? response:	'Cause I bet she's gonna do some incredibly destructive magic...
context: My Queen!\It's the Queen!\My Queen!\That person is the Queen?\Everyone, please raise your heads.\Then listen calmly to what I am about to say.\Why is the Queen here?\'Cause I bet she's gonna do some incredibly destructive magic... response:	Shh! Quiet!
context: It's the Queen!\My Queen!\That person is the Queen?\Everyone, please raise your heads.\Then listen calmly to what I am about to say.\Why is the Queen here?\'Cause I bet she's gonna do some incredibly destructive magic...\Shh! Quiet! response:	Right now, Extalia is on the brink of complete destruction.
context: My Queen!\That person is the Queen?\Everyone, please raise your heads.\Then listen calmly to what I am about to say.\Why is the Queen here?\'Cause I bet she's gonna do some incredibly destructive magic...\Shh! Quiet!\Right now, Extalia is on the brink of complete destruction. response:	It is a fate we can no longer resist.
context: That person is the Queen?\Everyone, please raise your heads.\Then listen calmly to what I am about to say.\Why is the Queen here?\'Cause I bet she's gonna do some incredibly destructive magic...\Shh! Quiet!\Right now, Extalia is on the brink of complete destruction.\It is a fate we can no longer resist. response:	Therefore, I have made a decision.
context: Everyone, please raise your heads.\Then listen calmly to what I am about to say.\Why is the Queen here?\'Cause I bet she's gonna do some incredibly destructive magic...\Shh! Quiet!\Right now, Extalia is on the brink of complete destruction.\It is a fate we can no longer resist.\Therefore, I have made a decision. response:	You're gonna wipe out all the humans, right?
context: Then listen calmly to what I am about to say.\Why is the Queen here?\'Cause I bet she's gonna do some incredibly destructive magic...\Shh! Quiet!\Right now, Extalia is on the brink of complete destruction.\It is a fate we can no longer resist.\Therefore, I have made a decision.\You're gonna wipe out all the humans, right? response:	Stay silent and listen!
context: Why is the Queen here?\'Cause I bet she's gonna do some incredibly destructive magic...\Shh! Quiet!\Right now, Extalia is on the brink of complete destruction.\It is a fate we can no longer resist.\Therefore, I have made a decision.\You're gonna wipe out all the humans, right?\Stay silent and listen! response:	W-What is it, Queen?
context: 'Cause I bet she's gonna do some incredibly destructive magic...\Shh! Quiet!\Right now, Extalia is on the brink of complete destruction.\It is a fate we can no longer resist.\Therefore, I have made a decision.\You're gonna wipe out all the humans, right?\Stay silent and listen!\W-What is it, Queen? response:	I decided that I must tell everyone the truth.
context: Shh! Quiet!\Right now, Extalia is on the brink of complete destruction.\It is a fate we can no longer resist.\Therefore, I have made a decision.\You're gonna wipe out all the humans, right?\Stay silent and listen!\W-What is it, Queen?\I decided that I must tell everyone the truth. response:	I am simply an Exceed.
context: Right now, Extalia is on the brink of complete destruction.\It is a fate we can no longer resist.\Therefore, I have made a decision.\You're gonna wipe out all the humans, right?\Stay silent and listen!\W-What is it, Queen?\I decided that I must tell everyone the truth.\I am simply an Exceed. response:	I am hardly a Queen, and most definitely not a god.
context: It is a fate we can no longer resist.\Therefore, I have made a decision.\You're gonna wipe out all the humans, right?\Stay silent and listen!\W-What is it, Queen?\I decided that I must tell everyone the truth.\I am simply an Exceed.\I am hardly a Queen, and most definitely not a god. response:	I am an Exceed, the same as you all.
context: Therefore, I have made a decision.\You're gonna wipe out all the humans, right?\Stay silent and listen!\W-What is it, Queen?\I decided that I must tell everyone the truth.\I am simply an Exceed.\I am hardly a Queen, and most definitely not a god.\I am an Exceed, the same as you all. response:	N-No!
context: You're gonna wipe out all the humans, right?\Stay silent and listen!\W-What is it, Queen?\I decided that I must tell everyone the truth.\I am simply an Exceed.\I am hardly a Queen, and most definitely not a god.\I am an Exceed, the same as you all.\N-No! response:	I have no power to fight the humans.
context: Stay silent and listen!\W-What is it, Queen?\I decided that I must tell everyone the truth.\I am simply an Exceed.\I am hardly a Queen, and most definitely not a god.\I am an Exceed, the same as you all.\N-No!\I have no power to fight the humans. response:	As you can see, I am one-winged.
context: W-What is it, Queen?\I decided that I must tell everyone the truth.\I am simply an Exceed.\I am hardly a Queen, and most definitely not a god.\I am an Exceed, the same as you all.\N-No!\I have no power to fight the humans.\As you can see, I am one-winged. response:	For an Exceed, one's wings grow and shrink by one's own magic power.
context: I decided that I must tell everyone the truth.\I am simply an Exceed.\I am hardly a Queen, and most definitely not a god.\I am an Exceed, the same as you all.\N-No!\I have no power to fight the humans.\As you can see, I am one-winged.\For an Exceed, one's wings grow and shrink by one's own magic power. response:	With both wings, one can display one's true magic power.
context: I am simply an Exceed.\I am hardly a Queen, and most definitely not a god.\I am an Exceed, the same as you all.\N-No!\I have no power to fight the humans.\As you can see, I am one-winged.\For an Exceed, one's wings grow and shrink by one's own magic power.\With both wings, one can display one's true magic power. response:	My magic power is extremely weak.
context: I am hardly a Queen, and most definitely not a god.\I am an Exceed, the same as you all.\N-No!\I have no power to fight the humans.\As you can see, I am one-winged.\For an Exceed, one's wings grow and shrink by one's own magic power.\With both wings, one can display one's true magic power.\My magic power is extremely weak. response:	I am so sorry I hid all of this...
context: I am an Exceed, the same as you all.\N-No!\I have no power to fight the humans.\As you can see, I am one-winged.\For an Exceed, one's wings grow and shrink by one's own magic power.\With both wings, one can display one's true magic power.\My magic power is extremely weak.\I am so sorry I hid all of this... response:	You are Wendy-san and Carla-san, yes?
