context: Richie. I'm sorry for lyin' to you. response:	Be good to Ri'ko.
context: Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes) response:	Every miserable day is swell,
context: As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell, response:	dress it up
context: It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up response:	A high-speed swing surrounds us
context: Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us response:	(What's this dance called? I can't stop)
context: Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop) response:	Don't you go, it's twined around my ears
context: A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears response:	and won't leave me ever again
context: This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again response:	This melody...
context: (It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody... response:	Where are you going this early in the morning?
context: Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\Where are you going this early in the morning? response:	I thought you were acting odd last night.
context: dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\Where are you going this early in the morning?\I thought you were acting odd last night. response:	Looks like the sneaking suspicion I had was spot on.
context: A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\Where are you going this early in the morning?\I thought you were acting odd last night.\Looks like the sneaking suspicion I had was spot on. response:	Hey, wait!
context: (What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\Where are you going this early in the morning?\I thought you were acting odd last night.\Looks like the sneaking suspicion I had was spot on.\Hey, wait! response:	Wait, I said!
context: Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\Where are you going this early in the morning?\I thought you were acting odd last night.\Looks like the sneaking suspicion I had was spot on.\Hey, wait!\Wait, I said! response:	Let... go of me!
context: and won't leave me ever again\This melody...\Where are you going this early in the morning?\I thought you were acting odd last night.\Looks like the sneaking suspicion I had was spot on.\Hey, wait!\Wait, I said!\Let... go of me! response:	Move!
context: This melody...\Where are you going this early in the morning?\I thought you were acting odd last night.\Looks like the sneaking suspicion I had was spot on.\Hey, wait!\Wait, I said!\Let... go of me!\Move! response:	I'm not moving, you idiot!
context: Where are you going this early in the morning?\I thought you were acting odd last night.\Looks like the sneaking suspicion I had was spot on.\Hey, wait!\Wait, I said!\Let... go of me!\Move!\I'm not moving, you idiot! response:	If I do, you mean to go away for good, don't you?!
context: I thought you were acting odd last night.\Looks like the sneaking suspicion I had was spot on.\Hey, wait!\Wait, I said!\Let... go of me!\Move!\I'm not moving, you idiot!\If I do, you mean to go away for good, don't you?! response:	You're going to run off somewhere!
context: Looks like the sneaking suspicion I had was spot on.\Hey, wait!\Wait, I said!\Let... go of me!\Move!\I'm not moving, you idiot!\If I do, you mean to go away for good, don't you?!\You're going to run off somewhere! response:	Are you planning on leaving everyone and everything behind?!
context: Hey, wait!\Wait, I said!\Let... go of me!\Move!\I'm not moving, you idiot!\If I do, you mean to go away for good, don't you?!\You're going to run off somewhere!\Are you planning on leaving everyone and everything behind?! response:	Sorry. I can't be here anymore.
context: Wait, I said!\Let... go of me!\Move!\I'm not moving, you idiot!\If I do, you mean to go away for good, don't you?!\You're going to run off somewhere!\Are you planning on leaving everyone and everything behind?!\Sorry. I can't be here anymore. response:	Since when did you become such a coward?!
context: Let... go of me!\Move!\I'm not moving, you idiot!\If I do, you mean to go away for good, don't you?!\You're going to run off somewhere!\Are you planning on leaving everyone and everything behind?!\Sorry. I can't be here anymore.\Since when did you become such a coward?! response:	Where's the guy that told me nothing good comes out of being afraid?!
context: Move!\I'm not moving, you idiot!\If I do, you mean to go away for good, don't you?!\You're going to run off somewhere!\Are you planning on leaving everyone and everything behind?!\Sorry. I can't be here anymore.\Since when did you become such a coward?!\Where's the guy that told me nothing good comes out of being afraid?! response:	What the hell are you guys doing this early in the morning?!
context: I'm not moving, you idiot!\If I do, you mean to go away for good, don't you?!\You're going to run off somewhere!\Are you planning on leaving everyone and everything behind?!\Sorry. I can't be here anymore.\Since when did you become such a coward?!\Where's the guy that told me nothing good comes out of being afraid?!\What the hell are you guys doing this early in the morning?! response:	Richie-rich... Are you okay?!
context: If I do, you mean to go away for good, don't you?!\You're going to run off somewhere!\Are you planning on leaving everyone and everything behind?!\Sorry. I can't be here anymore.\Since when did you become such a coward?!\Where's the guy that told me nothing good comes out of being afraid?!\What the hell are you guys doing this early in the morning?!\Richie-rich... Are you okay?! response:	Bro?
context: You're going to run off somewhere!\Are you planning on leaving everyone and everything behind?!\Sorry. I can't be here anymore.\Since when did you become such a coward?!\Where's the guy that told me nothing good comes out of being afraid?!\What the hell are you guys doing this early in the morning?!\Richie-rich... Are you okay?!\Bro? response:	So you two were fighting about the festival?
context: Are you planning on leaving everyone and everything behind?!\Sorry. I can't be here anymore.\Since when did you become such a coward?!\Where's the guy that told me nothing good comes out of being afraid?!\What the hell are you guys doing this early in the morning?!\Richie-rich... Are you okay?!\Bro?\So you two were fighting about the festival? response:	I understand that you're really into it, but...
context: Sorry. I can't be here anymore.\Since when did you become such a coward?!\Where's the guy that told me nothing good comes out of being afraid?!\What the hell are you guys doing this early in the morning?!\Richie-rich... Are you okay?!\Bro?\So you two were fighting about the festival?\I understand that you're really into it, but... response:	I couldn't sleep last night...
context: Since when did you become such a coward?!\Where's the guy that told me nothing good comes out of being afraid?!\What the hell are you guys doing this early in the morning?!\Richie-rich... Are you okay?!\Bro?\So you two were fighting about the festival?\I understand that you're really into it, but...\I couldn't sleep last night... response:	The truth is I was scared, too...
context: Where's the guy that told me nothing good comes out of being afraid?!\What the hell are you guys doing this early in the morning?!\Richie-rich... Are you okay?!\Bro?\So you two were fighting about the festival?\I understand that you're really into it, but...\I couldn't sleep last night...\The truth is I was scared, too... response:	Is something wrong?
context: What the hell are you guys doing this early in the morning?!\Richie-rich... Are you okay?!\Bro?\So you two were fighting about the festival?\I understand that you're really into it, but...\I couldn't sleep last night...\The truth is I was scared, too...\Is something wrong? response:	Let me stay like this... just for a minute...
context: Richie-rich... Are you okay?!\Bro?\So you two were fighting about the festival?\I understand that you're really into it, but...\I couldn't sleep last night...\The truth is I was scared, too...\Is something wrong?\Let me stay like this... just for a minute... response:	Ritsuko! Did you bring in today's paper?!
context: Bro?\So you two were fighting about the festival?\I understand that you're really into it, but...\I couldn't sleep last night...\The truth is I was scared, too...\Is something wrong?\Let me stay like this... just for a minute...\Ritsuko! Did you bring in today's paper?! response:	Yeah! I left it by the phone.
context: So you two were fighting about the festival?\I understand that you're really into it, but...\I couldn't sleep last night...\The truth is I was scared, too...\Is something wrong?\Let me stay like this... just for a minute...\Ritsuko! Did you bring in today's paper?!\Yeah! I left it by the phone. response:	Oh, I see it!
context: I understand that you're really into it, but...\I couldn't sleep last night...\The truth is I was scared, too...\Is something wrong?\Let me stay like this... just for a minute...\Ritsuko! Did you bring in today's paper?!\Yeah! I left it by the phone.\Oh, I see it! response:	I'm home.
context: I couldn't sleep last night...\The truth is I was scared, too...\Is something wrong?\Let me stay like this... just for a minute...\Ritsuko! Did you bring in today's paper?!\Yeah! I left it by the phone.\Oh, I see it!\I'm home. response:	It's Dad!
context: The truth is I was scared, too...\Is something wrong?\Let me stay like this... just for a minute...\Ritsuko! Did you bring in today's paper?!\Yeah! I left it by the phone.\Oh, I see it!\I'm home.\It's Dad! response:	Did you bring us anything?!
context: Is something wrong?\Let me stay like this... just for a minute...\Ritsuko! Did you bring in today's paper?!\Yeah! I left it by the phone.\Oh, I see it!\I'm home.\It's Dad!\Did you bring us anything?! response:	Dad, your hair's turned gray!
context: Let me stay like this... just for a minute...\Ritsuko! Did you bring in today's paper?!\Yeah! I left it by the phone.\Oh, I see it!\I'm home.\It's Dad!\Did you bring us anything?!\Dad, your hair's turned gray! response:	Has it? I suppose it has...
context: Ritsuko! Did you bring in today's paper?!\Yeah! I left it by the phone.\Oh, I see it!\I'm home.\It's Dad!\Did you bring us anything?!\Dad, your hair's turned gray!\Has it? I suppose it has... response:	Did you bring presents?!
context: Yeah! I left it by the phone.\Oh, I see it!\I'm home.\It's Dad!\Did you bring us anything?!\Dad, your hair's turned gray!\Has it? I suppose it has...\Did you bring presents?! response:	Yes, I bought you stuff.
context: Oh, I see it!\I'm home.\It's Dad!\Did you bring us anything?!\Dad, your hair's turned gray!\Has it? I suppose it has...\Did you bring presents?!\Yes, I bought you stuff. response:	Yay!
context: I'm home.\It's Dad!\Did you bring us anything?!\Dad, your hair's turned gray!\Has it? I suppose it has...\Did you bring presents?!\Yes, I bought you stuff.\Yay! response:	Let's have'em!
context: It's Dad!\Did you bring us anything?!\Dad, your hair's turned gray!\Has it? I suppose it has...\Did you bring presents?!\Yes, I bought you stuff.\Yay!\Let's have'em! response:	Hey, at least let him set foot in the house first...
context: Did you bring us anything?!\Dad, your hair's turned gray!\Has it? I suppose it has...\Did you bring presents?!\Yes, I bought you stuff.\Yay!\Let's have'em!\Hey, at least let him set foot in the house first... response:	Everyone, I'm sorry for being away all this time.
context: Dad, your hair's turned gray!\Has it? I suppose it has...\Did you bring presents?!\Yes, I bought you stuff.\Yay!\Let's have'em!\Hey, at least let him set foot in the house first...\Everyone, I'm sorry for being away all this time. response:	You look cute!
context: Has it? I suppose it has...\Did you bring presents?!\Yes, I bought you stuff.\Yay!\Let's have'em!\Hey, at least let him set foot in the house first...\Everyone, I'm sorry for being away all this time.\You look cute! response:	Look, Bro!
context: Did you bring presents?!\Yes, I bought you stuff.\Yay!\Let's have'em!\Hey, at least let him set foot in the house first...\Everyone, I'm sorry for being away all this time.\You look cute!\Look, Bro! response:	That's great, Taichi.
context: Yes, I bought you stuff.\Yay!\Let's have'em!\Hey, at least let him set foot in the house first...\Everyone, I'm sorry for being away all this time.\You look cute!\Look, Bro!\That's great, Taichi. response:	And this...
context: Yay!\Let's have'em!\Hey, at least let him set foot in the house first...\Everyone, I'm sorry for being away all this time.\You look cute!\Look, Bro!\That's great, Taichi.\And this... response:	Um... I don't know if you'll like it or not, though...
context: Let's have'em!\Hey, at least let him set foot in the house first...\Everyone, I'm sorry for being away all this time.\You look cute!\Look, Bro!\That's great, Taichi.\And this...\Um... I don't know if you'll like it or not, though... response:	It's a fountain pen!
context: Hey, at least let him set foot in the house first...\Everyone, I'm sorry for being away all this time.\You look cute!\Look, Bro!\That's great, Taichi.\And this...\Um... I don't know if you'll like it or not, though...\It's a fountain pen! response:	You're lucky, Bro!
context: Everyone, I'm sorry for being away all this time.\You look cute!\Look, Bro!\That's great, Taichi.\And this...\Um... I don't know if you'll like it or not, though...\It's a fountain pen!\You're lucky, Bro! response:	Wow...
context: You look cute!\Look, Bro!\That's great, Taichi.\And this...\Um... I don't know if you'll like it or not, though...\It's a fountain pen!\You're lucky, Bro!\Wow... response:	Something expensive like this is wasted on me...
context: Look, Bro!\That's great, Taichi.\And this...\Um... I don't know if you'll like it or not, though...\It's a fountain pen!\You're lucky, Bro!\Wow...\Something expensive like this is wasted on me... response:	A child doesn't go turning down a present from his parent.
context: That's great, Taichi.\And this...\Um... I don't know if you'll like it or not, though...\It's a fountain pen!\You're lucky, Bro!\Wow...\Something expensive like this is wasted on me...\A child doesn't go turning down a present from his parent. response:	Oh, looks like everyone got a present.
context: And this...\Um... I don't know if you'll like it or not, though...\It's a fountain pen!\You're lucky, Bro!\Wow...\Something expensive like this is wasted on me...\A child doesn't go turning down a present from his parent.\Oh, looks like everyone got a present. response:	Sachiko, pass these out.
context: Um... I don't know if you'll like it or not, though...\It's a fountain pen!\You're lucky, Bro!\Wow...\Something expensive like this is wasted on me...\A child doesn't go turning down a present from his parent.\Oh, looks like everyone got a present.\Sachiko, pass these out. response:	Okay!
context: It's a fountain pen!\You're lucky, Bro!\Wow...\Something expensive like this is wasted on me...\A child doesn't go turning down a present from his parent.\Oh, looks like everyone got a present.\Sachiko, pass these out.\Okay! response:	A child... His parent...
context: You're lucky, Bro!\Wow...\Something expensive like this is wasted on me...\A child doesn't go turning down a present from his parent.\Oh, looks like everyone got a present.\Sachiko, pass these out.\Okay!\A child... His parent... response:	Are you coming to practice today?
context: Wow...\Something expensive like this is wasted on me...\A child doesn't go turning down a present from his parent.\Oh, looks like everyone got a present.\Sachiko, pass these out.\Okay!\A child... His parent...\Are you coming to practice today? response:	Yeah. Startin' today, I'm gonna practice my ass off for the festival.
context: Something expensive like this is wasted on me...\A child doesn't go turning down a present from his parent.\Oh, looks like everyone got a present.\Sachiko, pass these out.\Okay!\A child... His parent...\Are you coming to practice today?\Yeah. Startin' today, I'm gonna practice my ass off for the festival. response:	You mean it?!
context: A child doesn't go turning down a present from his parent.\Oh, looks like everyone got a present.\Sachiko, pass these out.\Okay!\A child... His parent...\Are you coming to practice today?\Yeah. Startin' today, I'm gonna practice my ass off for the festival.\You mean it?! response:	I mean it!
context: Oh, looks like everyone got a present.\Sachiko, pass these out.\Okay!\A child... His parent...\Are you coming to practice today?\Yeah. Startin' today, I'm gonna practice my ass off for the festival.\You mean it?!\I mean it! response:	What the hell? That was a weird way to greet to each other.
context: Sachiko, pass these out.\Okay!\A child... His parent...\Are you coming to practice today?\Yeah. Startin' today, I'm gonna practice my ass off for the festival.\You mean it?!\I mean it!\What the hell? That was a weird way to greet to each other. response:	Mukae
context: Okay!\A child... His parent...\Are you coming to practice today?\Yeah. Startin' today, I'm gonna practice my ass off for the festival.\You mean it?!\I mean it!\What the hell? That was a weird way to greet to each other.\Mukae response:	Me, at the festival?
context: A child... His parent...\Are you coming to practice today?\Yeah. Startin' today, I'm gonna practice my ass off for the festival.\You mean it?!\I mean it!\What the hell? That was a weird way to greet to each other.\Mukae\Me, at the festival? response:	Yes, I was hoping that you would play bass for us.
context: Are you coming to practice today?\Yeah. Startin' today, I'm gonna practice my ass off for the festival.\You mean it?!\I mean it!\What the hell? That was a weird way to greet to each other.\Mukae\Me, at the festival?\Yes, I was hoping that you would play bass for us. response:	You're asking me out of the blue...
context: Yeah. Startin' today, I'm gonna practice my ass off for the festival.\You mean it?!\I mean it!\What the hell? That was a weird way to greet to each other.\Mukae\Me, at the festival?\Yes, I was hoping that you would play bass for us.\You're asking me out of the blue... response:	Adults have a lot of things on their plate, you know.
context: You mean it?!\I mean it!\What the hell? That was a weird way to greet to each other.\Mukae\Me, at the festival?\Yes, I was hoping that you would play bass for us.\You're asking me out of the blue...\Adults have a lot of things on their plate, you know. response:	And there'd be so much to prepare...
context: I mean it!\What the hell? That was a weird way to greet to each other.\Mukae\Me, at the festival?\Yes, I was hoping that you would play bass for us.\You're asking me out of the blue...\Adults have a lot of things on their plate, you know.\And there'd be so much to prepare... response:	You can't do it?
context: What the hell? That was a weird way to greet to each other.\Mukae\Me, at the festival?\Yes, I was hoping that you would play bass for us.\You're asking me out of the blue...\Adults have a lot of things on their plate, you know.\And there'd be so much to prepare...\You can't do it? response:	You're totally prepared!
context: Mukae\Me, at the festival?\Yes, I was hoping that you would play bass for us.\You're asking me out of the blue...\Adults have a lot of things on their plate, you know.\And there'd be so much to prepare...\You can't do it?\You're totally prepared! response:	Ain't no way we can lose now!
context: Me, at the festival?\Yes, I was hoping that you would play bass for us.\You're asking me out of the blue...\Adults have a lot of things on their plate, you know.\And there'd be so much to prepare...\You can't do it?\You're totally prepared!\Ain't no way we can lose now! response:	Hey, hey!
context: Yes, I was hoping that you would play bass for us.\You're asking me out of the blue...\Adults have a lot of things on their plate, you know.\And there'd be so much to prepare...\You can't do it?\You're totally prepared!\Ain't no way we can lose now!\Hey, hey! response:	How's it goin' for you guys?
context: You're asking me out of the blue...\Adults have a lot of things on their plate, you know.\And there'd be so much to prepare...\You can't do it?\You're totally prepared!\Ain't no way we can lose now!\Hey, hey!\How's it goin' for you guys? response:	Oh...
context: Adults have a lot of things on their plate, you know.\And there'd be so much to prepare...\You can't do it?\You're totally prepared!\Ain't no way we can lose now!\Hey, hey!\How's it goin' for you guys?\Oh... response:	Right now, we're in the middle of getting our costumes fitted.
context: And there'd be so much to prepare...\You can't do it?\You're totally prepared!\Ain't no way we can lose now!\Hey, hey!\How's it goin' for you guys?\Oh...\Right now, we're in the middle of getting our costumes fitted. response:	There's no way we're going to lose against you guys this year.
context: You can't do it?\You're totally prepared!\Ain't no way we can lose now!\Hey, hey!\How's it goin' for you guys?\Oh...\Right now, we're in the middle of getting our costumes fitted.\There's no way we're going to lose against you guys this year. response:	It's so flamboyant...
context: You're totally prepared!\Ain't no way we can lose now!\Hey, hey!\How's it goin' for you guys?\Oh...\Right now, we're in the middle of getting our costumes fitted.\There's no way we're going to lose against you guys this year.\It's so flamboyant... response:	We, on the other hand...
context: Ain't no way we can lose now!\Hey, hey!\How's it goin' for you guys?\Oh...\Right now, we're in the middle of getting our costumes fitted.\There's no way we're going to lose against you guys this year.\It's so flamboyant...\We, on the other hand... response:	We don't have any razzmatazz.
context: Hey, hey!\How's it goin' for you guys?\Oh...\Right now, we're in the middle of getting our costumes fitted.\There's no way we're going to lose against you guys this year.\It's so flamboyant...\We, on the other hand...\We don't have any razzmatazz. response:	At this rate, we might not be able to beat them...
context: How's it goin' for you guys?\Oh...\Right now, we're in the middle of getting our costumes fitted.\There's no way we're going to lose against you guys this year.\It's so flamboyant...\We, on the other hand...\We don't have any razzmatazz.\At this rate, we might not be able to beat them... response:	That stuff doesn't matter.
context: Oh...\Right now, we're in the middle of getting our costumes fitted.\There's no way we're going to lose against you guys this year.\It's so flamboyant...\We, on the other hand...\We don't have any razzmatazz.\At this rate, we might not be able to beat them...\That stuff doesn't matter. response:	All we gotta do is put our music face-to-face against theirs.
context: Right now, we're in the middle of getting our costumes fitted.\There's no way we're going to lose against you guys this year.\It's so flamboyant...\We, on the other hand...\We don't have any razzmatazz.\At this rate, we might not be able to beat them...\That stuff doesn't matter.\All we gotta do is put our music face-to-face against theirs. response:	I know! I know that...
context: There's no way we're going to lose against you guys this year.\It's so flamboyant...\We, on the other hand...\We don't have any razzmatazz.\At this rate, we might not be able to beat them...\That stuff doesn't matter.\All we gotta do is put our music face-to-face against theirs.\I know! I know that... response:	I just don't want to have any regrets...
context: It's so flamboyant...\We, on the other hand...\We don't have any razzmatazz.\At this rate, we might not be able to beat them...\That stuff doesn't matter.\All we gotta do is put our music face-to-face against theirs.\I know! I know that...\I just don't want to have any regrets... response:	Easy to say...
context: We, on the other hand...\We don't have any razzmatazz.\At this rate, we might not be able to beat them...\That stuff doesn't matter.\All we gotta do is put our music face-to-face against theirs.\I know! I know that...\I just don't want to have any regrets...\Easy to say... response:	But appealing to people who have no interest in jazz is a tall order.
context: We don't have any razzmatazz.\At this rate, we might not be able to beat them...\That stuff doesn't matter.\All we gotta do is put our music face-to-face against theirs.\I know! I know that...\I just don't want to have any regrets...\Easy to say...\But appealing to people who have no interest in jazz is a tall order. response:	W-What are you saying?!
context: At this rate, we might not be able to beat them...\That stuff doesn't matter.\All we gotta do is put our music face-to-face against theirs.\I know! I know that...\I just don't want to have any regrets...\Easy to say...\But appealing to people who have no interest in jazz is a tall order.\W-What are you saying?! response:	I can't sing!
context: That stuff doesn't matter.\All we gotta do is put our music face-to-face against theirs.\I know! I know that...\I just don't want to have any regrets...\Easy to say...\But appealing to people who have no interest in jazz is a tall order.\W-What are you saying?!\I can't sing! response:	Don't worry. There are still ten days left. We'll work it out.
context: All we gotta do is put our music face-to-face against theirs.\I know! I know that...\I just don't want to have any regrets...\Easy to say...\But appealing to people who have no interest in jazz is a tall order.\W-What are you saying?!\I can't sing!\Don't worry. There are still ten days left. We'll work it out. response:	Ri'ko, if you're gonna refuse, now's the time.
context: I know! I know that...\I just don't want to have any regrets...\Easy to say...\But appealing to people who have no interest in jazz is a tall order.\W-What are you saying?!\I can't sing!\Don't worry. There are still ten days left. We'll work it out.\Ri'ko, if you're gonna refuse, now's the time. response:	'Cause if you decide to do it, we're not gonna go easy on you.
context: I just don't want to have any regrets...\Easy to say...\But appealing to people who have no interest in jazz is a tall order.\W-What are you saying?!\I can't sing!\Don't worry. There are still ten days left. We'll work it out.\Ri'ko, if you're gonna refuse, now's the time.\'Cause if you decide to do it, we're not gonna go easy on you. response:	You don't wanna sing, tell us to shove off right now.
context: Easy to say...\But appealing to people who have no interest in jazz is a tall order.\W-What are you saying?!\I can't sing!\Don't worry. There are still ten days left. We'll work it out.\Ri'ko, if you're gonna refuse, now's the time.\'Cause if you decide to do it, we're not gonna go easy on you.\You don't wanna sing, tell us to shove off right now. response:	Though I hope you don't turn us down...
context: But appealing to people who have no interest in jazz is a tall order.\W-What are you saying?!\I can't sing!\Don't worry. There are still ten days left. We'll work it out.\Ri'ko, if you're gonna refuse, now's the time.\'Cause if you decide to do it, we're not gonna go easy on you.\You don't wanna sing, tell us to shove off right now.\Though I hope you don't turn us down... response:	I agree with Sen.
context: W-What are you saying?!\I can't sing!\Don't worry. There are still ten days left. We'll work it out.\Ri'ko, if you're gonna refuse, now's the time.\'Cause if you decide to do it, we're not gonna go easy on you.\You don't wanna sing, tell us to shove off right now.\Though I hope you don't turn us down...\I agree with Sen. response:	Would you help us out?
context: I can't sing!\Don't worry. There are still ten days left. We'll work it out.\Ri'ko, if you're gonna refuse, now's the time.\'Cause if you decide to do it, we're not gonna go easy on you.\You don't wanna sing, tell us to shove off right now.\Though I hope you don't turn us down...\I agree with Sen.\Would you help us out? response:	Alright. I'll give it a try.
context: Don't worry. There are still ten days left. We'll work it out.\Ri'ko, if you're gonna refuse, now's the time.\'Cause if you decide to do it, we're not gonna go easy on you.\You don't wanna sing, tell us to shove off right now.\Though I hope you don't turn us down...\I agree with Sen.\Would you help us out?\Alright. I'll give it a try. response:	Raindrops on roses and whiskers on kittens...
context: Ri'ko, if you're gonna refuse, now's the time.\'Cause if you decide to do it, we're not gonna go easy on you.\You don't wanna sing, tell us to shove off right now.\Though I hope you don't turn us down...\I agree with Sen.\Would you help us out?\Alright. I'll give it a try.\Raindrops on roses and whiskers on kittens... response:	Raindrops on roses and whiskers on kittens...
context: 'Cause if you decide to do it, we're not gonna go easy on you.\You don't wanna sing, tell us to shove off right now.\Though I hope you don't turn us down...\I agree with Sen.\Would you help us out?\Alright. I'll give it a try.\Raindrops on roses and whiskers on kittens...\Raindrops on roses and whiskers on kittens... response:	Kit-tens...
context: You don't wanna sing, tell us to shove off right now.\Though I hope you don't turn us down...\I agree with Sen.\Would you help us out?\Alright. I'll give it a try.\Raindrops on roses and whiskers on kittens...\Raindrops on roses and whiskers on kittens...\Kit-tens... response:	No, you've got no swing!
context: Though I hope you don't turn us down...\I agree with Sen.\Would you help us out?\Alright. I'll give it a try.\Raindrops on roses and whiskers on kittens...\Raindrops on roses and whiskers on kittens...\Kit-tens...\No, you've got no swing! response:	Raindrops on roses and whiskers on kittens
context: I agree with Sen.\Would you help us out?\Alright. I'll give it a try.\Raindrops on roses and whiskers on kittens...\Raindrops on roses and whiskers on kittens...\Kit-tens...\No, you've got no swing!\Raindrops on roses and whiskers on kittens response:	Bright copper kettles and warm woolen mittens
context: Would you help us out?\Alright. I'll give it a try.\Raindrops on roses and whiskers on kittens...\Raindrops on roses and whiskers on kittens...\Kit-tens...\No, you've got no swing!\Raindrops on roses and whiskers on kittens\Bright copper kettles and warm woolen mittens response:	Brown paper packages tied up with strings
context: Alright. I'll give it a try.\Raindrops on roses and whiskers on kittens...\Raindrops on roses and whiskers on kittens...\Kit-tens...\No, you've got no swing!\Raindrops on roses and whiskers on kittens\Bright copper kettles and warm woolen mittens\Brown paper packages tied up with strings response:	These are a few of my favorite things
context: Raindrops on roses and whiskers on kittens...\Raindrops on roses and whiskers on kittens...\Kit-tens...\No, you've got no swing!\Raindrops on roses and whiskers on kittens\Bright copper kettles and warm woolen mittens\Brown paper packages tied up with strings\These are a few of my favorite things response:	Cream colored ponies and crisp apple strudels
context: Raindrops on roses and whiskers on kittens...\Kit-tens...\No, you've got no swing!\Raindrops on roses and whiskers on kittens\Bright copper kettles and warm woolen mittens\Brown paper packages tied up with strings\These are a few of my favorite things\Cream colored ponies and crisp apple strudels response:	Doorbells and sleigh bells and schnitzel with noodles
