context: How many times do I have to tell you before you can get it in your head?! response:	Shirokawa, don't dye your hair! Earrings aren't allowed, either!
context: Hey, Yukimura, did you manage to complete that guide?\Prez, is this really necessary?\A Student Guidebook?\Fool!\Of course it's necessary!\If we don't enforce it, the boys will start being lazy again!\Yes, ma'am!\It's only been a few years since Seika High became a coed school. response:	Since it used to be an all-male school, the males still comprise 80 of the school's population.
context: Prez, is this really necessary?\A Student Guidebook?\Fool!\Of course it's necessary!\If we don't enforce it, the boys will start being lazy again!\Yes, ma'am!\It's only been a few years since Seika High became a coed school.\Since it used to be an all-male school, the males still comprise 80 of the school's population. response:	And in the midst of that, I'm the first female to become the Student Council President.
context: A Student Guidebook?\Fool!\Of course it's necessary!\If we don't enforce it, the boys will start being lazy again!\Yes, ma'am!\It's only been a few years since Seika High became a coed school.\Since it used to be an all-male school, the males still comprise 80 of the school's population.\And in the midst of that, I'm the first female to become the Student Council President. response:	Now that I stand in this position, I won't let the boys do whatever they please!
context: Fool!\Of course it's necessary!\If we don't enforce it, the boys will start being lazy again!\Yes, ma'am!\It's only been a few years since Seika High became a coed school.\Since it used to be an all-male school, the males still comprise 80 of the school's population.\And in the midst of that, I'm the first female to become the Student Council President.\Now that I stand in this position, I won't let the boys do whatever they please! response:	Now that I think of it, I've witnessed so many disgusting things ever since I first entered the school.
context: Of course it's necessary!\If we don't enforce it, the boys will start being lazy again!\Yes, ma'am!\It's only been a few years since Seika High became a coed school.\Since it used to be an all-male school, the males still comprise 80 of the school's population.\And in the midst of that, I'm the first female to become the Student Council President.\Now that I stand in this position, I won't let the boys do whatever they please!\Now that I think of it, I've witnessed so many disgusting things ever since I first entered the school. response:	Smells!
context: If we don't enforce it, the boys will start being lazy again!\Yes, ma'am!\It's only been a few years since Seika High became a coed school.\Since it used to be an all-male school, the males still comprise 80 of the school's population.\And in the midst of that, I'm the first female to become the Student Council President.\Now that I stand in this position, I won't let the boys do whatever they please!\Now that I think of it, I've witnessed so many disgusting things ever since I first entered the school.\Smells! response:	Dirty!
context: Yes, ma'am!\It's only been a few years since Seika High became a coed school.\Since it used to be an all-male school, the males still comprise 80 of the school's population.\And in the midst of that, I'm the first female to become the Student Council President.\Now that I stand in this position, I won't let the boys do whatever they please!\Now that I think of it, I've witnessed so many disgusting things ever since I first entered the school.\Smells!\Dirty! response:	How savage!
context: It's only been a few years since Seika High became a coed school.\Since it used to be an all-male school, the males still comprise 80 of the school's population.\And in the midst of that, I'm the first female to become the Student Council President.\Now that I stand in this position, I won't let the boys do whatever they please!\Now that I think of it, I've witnessed so many disgusting things ever since I first entered the school.\Smells!\Dirty!\How savage! response:	All the powerless girls could do in front of those men throwing their weight around was to endure the horror.
context: Since it used to be an all-male school, the males still comprise 80 of the school's population.\And in the midst of that, I'm the first female to become the Student Council President.\Now that I stand in this position, I won't let the boys do whatever they please!\Now that I think of it, I've witnessed so many disgusting things ever since I first entered the school.\Smells!\Dirty!\How savage!\All the powerless girls could do in front of those men throwing their weight around was to endure the horror. response:	So, I worked hard in order to change the situation.
context: And in the midst of that, I'm the first female to become the Student Council President.\Now that I stand in this position, I won't let the boys do whatever they please!\Now that I think of it, I've witnessed so many disgusting things ever since I first entered the school.\Smells!\Dirty!\How savage!\All the powerless girls could do in front of those men throwing their weight around was to endure the horror.\So, I worked hard in order to change the situation. response:	I did all I could!
context: Now that I stand in this position, I won't let the boys do whatever they please!\Now that I think of it, I've witnessed so many disgusting things ever since I first entered the school.\Smells!\Dirty!\How savage!\All the powerless girls could do in front of those men throwing their weight around was to endure the horror.\So, I worked hard in order to change the situation.\I did all I could! response:	I didn't forget to act friendly, either.
context: Now that I think of it, I've witnessed so many disgusting things ever since I first entered the school.\Smells!\Dirty!\How savage!\All the powerless girls could do in front of those men throwing their weight around was to endure the horror.\So, I worked hard in order to change the situation.\I did all I could!\I didn't forget to act friendly, either. response:	And so, I gained the teachers' trust,
context: Smells!\Dirty!\How savage!\All the powerless girls could do in front of those men throwing their weight around was to endure the horror.\So, I worked hard in order to change the situation.\I did all I could!\I didn't forget to act friendly, either.\And so, I gained the teachers' trust, response:	and obtained my current status as the Student Council President.
context: Dirty!\How savage!\All the powerless girls could do in front of those men throwing their weight around was to endure the horror.\So, I worked hard in order to change the situation.\I did all I could!\I didn't forget to act friendly, either.\And so, I gained the teachers' trust,\and obtained my current status as the Student Council President. response:	Come on, I'm asking for your help.
context: How savage!\All the powerless girls could do in front of those men throwing their weight around was to endure the horror.\So, I worked hard in order to change the situation.\I did all I could!\I didn't forget to act friendly, either.\And so, I gained the teachers' trust,\and obtained my current status as the Student Council President.\Come on, I'm asking for your help. response:	It's just cleaning duty. Can't you take over?
context: All the powerless girls could do in front of those men throwing their weight around was to endure the horror.\So, I worked hard in order to change the situation.\I did all I could!\I didn't forget to act friendly, either.\And so, I gained the teachers' trust,\and obtained my current status as the Student Council President.\Come on, I'm asking for your help.\It's just cleaning duty. Can't you take over? response:	B-But I have something I need to attend to...
context: So, I worked hard in order to change the situation.\I did all I could!\I didn't forget to act friendly, either.\And so, I gained the teachers' trust,\and obtained my current status as the Student Council President.\Come on, I'm asking for your help.\It's just cleaning duty. Can't you take over?\B-But I have something I need to attend to... response:	Come on, just for today.
context: I did all I could!\I didn't forget to act friendly, either.\And so, I gained the teachers' trust,\and obtained my current status as the Student Council President.\Come on, I'm asking for your help.\It's just cleaning duty. Can't you take over?\B-But I have something I need to attend to...\Come on, just for today. response:	Do your own chores.
context: I didn't forget to act friendly, either.\And so, I gained the teachers' trust,\and obtained my current status as the Student Council President.\Come on, I'm asking for your help.\It's just cleaning duty. Can't you take over?\B-But I have something I need to attend to...\Come on, just for today.\Do your own chores. response:	Those who neglect their duties will instead be given bathroom cleaning duties for a week.
context: And so, I gained the teachers' trust,\and obtained my current status as the Student Council President.\Come on, I'm asking for your help.\It's just cleaning duty. Can't you take over?\B-But I have something I need to attend to...\Come on, just for today.\Do your own chores.\Those who neglect their duties will instead be given bathroom cleaning duties for a week. response:	Prez!
context: and obtained my current status as the Student Council President.\Come on, I'm asking for your help.\It's just cleaning duty. Can't you take over?\B-But I have something I need to attend to...\Come on, just for today.\Do your own chores.\Those who neglect their duties will instead be given bathroom cleaning duties for a week.\Prez! response:	Leave the rest to me.
context: Come on, I'm asking for your help.\It's just cleaning duty. Can't you take over?\B-But I have something I need to attend to...\Come on, just for today.\Do your own chores.\Those who neglect their duties will instead be given bathroom cleaning duties for a week.\Prez!\Leave the rest to me. response:	Th-Thank you!
context: It's just cleaning duty. Can't you take over?\B-But I have something I need to attend to...\Come on, just for today.\Do your own chores.\Those who neglect their duties will instead be given bathroom cleaning duties for a week.\Prez!\Leave the rest to me.\Th-Thank you! response:	You again, Ayuzawa Misaki?
context: B-But I have something I need to attend to...\Come on, just for today.\Do your own chores.\Those who neglect their duties will instead be given bathroom cleaning duties for a week.\Prez!\Leave the rest to me.\Th-Thank you!\You again, Ayuzawa Misaki? response:	That's what I should be saying, Moron Trio!
context: Come on, just for today.\Do your own chores.\Those who neglect their duties will instead be given bathroom cleaning duties for a week.\Prez!\Leave the rest to me.\Th-Thank you!\You again, Ayuzawa Misaki?\That's what I should be saying, Moron Trio! response:	Who are you calling a Moron Trio?!
context: Do your own chores.\Those who neglect their duties will instead be given bathroom cleaning duties for a week.\Prez!\Leave the rest to me.\Th-Thank you!\You again, Ayuzawa Misaki?\That's what I should be saying, Moron Trio!\Who are you calling a Moron Trio?! response:	Idiots like you aren't worthy of being called by their names!
context: Those who neglect their duties will instead be given bathroom cleaning duties for a week.\Prez!\Leave the rest to me.\Th-Thank you!\You again, Ayuzawa Misaki?\That's what I should be saying, Moron Trio!\Who are you calling a Moron Trio?!\Idiots like you aren't worthy of being called by their names! response:	And I told you earlier to fix your appearances!
context: Prez!\Leave the rest to me.\Th-Thank you!\You again, Ayuzawa Misaki?\That's what I should be saying, Moron Trio!\Who are you calling a Moron Trio?!\Idiots like you aren't worthy of being called by their names!\And I told you earlier to fix your appearances! response:	Take off your earrings!
context: Leave the rest to me.\Th-Thank you!\You again, Ayuzawa Misaki?\That's what I should be saying, Moron Trio!\Who are you calling a Moron Trio?!\Idiots like you aren't worthy of being called by their names!\And I told you earlier to fix your appearances!\Take off your earrings! response:	Yeah, yeah, I'll take them off later.
context: Th-Thank you!\You again, Ayuzawa Misaki?\That's what I should be saying, Moron Trio!\Who are you calling a Moron Trio?!\Idiots like you aren't worthy of being called by their names!\And I told you earlier to fix your appearances!\Take off your earrings!\Yeah, yeah, I'll take them off later. response:	Stop fooling around! I mean now!
context: You again, Ayuzawa Misaki?\That's what I should be saying, Moron Trio!\Who are you calling a Moron Trio?!\Idiots like you aren't worthy of being called by their names!\And I told you earlier to fix your appearances!\Take off your earrings!\Yeah, yeah, I'll take them off later.\Stop fooling around! I mean now! response:	Geez, shut up already. I said I'll take them off!
context: That's what I should be saying, Moron Trio!\Who are you calling a Moron Trio?!\Idiots like you aren't worthy of being called by their names!\And I told you earlier to fix your appearances!\Take off your earrings!\Yeah, yeah, I'll take them off later.\Stop fooling around! I mean now!\Geez, shut up already. I said I'll take them off! response:	I said, now!!
context: Who are you calling a Moron Trio?!\Idiots like you aren't worthy of being called by their names!\And I told you earlier to fix your appearances!\Take off your earrings!\Yeah, yeah, I'll take them off later.\Stop fooling around! I mean now!\Geez, shut up already. I said I'll take them off!\I said, now!! response:	Oww!!
context: Idiots like you aren't worthy of being called by their names!\And I told you earlier to fix your appearances!\Take off your earrings!\Yeah, yeah, I'll take them off later.\Stop fooling around! I mean now!\Geez, shut up already. I said I'll take them off!\I said, now!!\Oww!! response:	You're nuts!
context: And I told you earlier to fix your appearances!\Take off your earrings!\Yeah, yeah, I'll take them off later.\Stop fooling around! I mean now!\Geez, shut up already. I said I'll take them off!\I said, now!!\Oww!!\You're nuts! response:	Confiscated!
context: Take off your earrings!\Yeah, yeah, I'll take them off later.\Stop fooling around! I mean now!\Geez, shut up already. I said I'll take them off!\I said, now!!\Oww!!\You're nuts!\Confiscated! response:	Are you trying to tear his ears off?!
context: Yeah, yeah, I'll take them off later.\Stop fooling around! I mean now!\Geez, shut up already. I said I'll take them off!\I said, now!!\Oww!!\You're nuts!\Confiscated!\Are you trying to tear his ears off?! response:	You'd better remember this!
context: Stop fooling around! I mean now!\Geez, shut up already. I said I'll take them off!\I said, now!!\Oww!!\You're nuts!\Confiscated!\Are you trying to tear his ears off?!\You'd better remember this! response:	Hey, wait!
context: Geez, shut up already. I said I'll take them off!\I said, now!!\Oww!!\You're nuts!\Confiscated!\Are you trying to tear his ears off?!\You'd better remember this!\Hey, wait! response:	You've got cleaning duty left!
context: I said, now!!\Oww!!\You're nuts!\Confiscated!\Are you trying to tear his ears off?!\You'd better remember this!\Hey, wait!\You've got cleaning duty left! response:	Another problem?
context: Oww!!\You're nuts!\Confiscated!\Are you trying to tear his ears off?!\You'd better remember this!\Hey, wait!\You've got cleaning duty left!\Another problem? response:	Hey, what happened?
context: You're nuts!\Confiscated!\Are you trying to tear his ears off?!\You'd better remember this!\Hey, wait!\You've got cleaning duty left!\Another problem?\Hey, what happened? response:	Not much.
context: Confiscated!\Are you trying to tear his ears off?!\You'd better remember this!\Hey, wait!\You've got cleaning duty left!\Another problem?\Hey, what happened?\Not much. response:	Just rejecting a confession.
context: Are you trying to tear his ears off?!\You'd better remember this!\Hey, wait!\You've got cleaning duty left!\Another problem?\Hey, what happened?\Not much.\Just rejecting a confession. response:	You again, Usui Takumi?!
context: You'd better remember this!\Hey, wait!\You've got cleaning duty left!\Another problem?\Hey, what happened?\Not much.\Just rejecting a confession.\You again, Usui Takumi?! response:	The guy who's always making girls cry.
context: Hey, wait!\You've got cleaning duty left!\Another problem?\Hey, what happened?\Not much.\Just rejecting a confession.\You again, Usui Takumi?!\The guy who's always making girls cry. response:	I've told you countless times to be more sensitive when choosing your words!
context: You've got cleaning duty left!\Another problem?\Hey, what happened?\Not much.\Just rejecting a confession.\You again, Usui Takumi?!\The guy who's always making girls cry.\I've told you countless times to be more sensitive when choosing your words! response:	You're going to pay if I catch you bringing another girl to tears!
context: Another problem?\Hey, what happened?\Not much.\Just rejecting a confession.\You again, Usui Takumi?!\The guy who's always making girls cry.\I've told you countless times to be more sensitive when choosing your words!\You're going to pay if I catch you bringing another girl to tears! response:	How many times has she told me that?
context: Hey, what happened?\Not much.\Just rejecting a confession.\You again, Usui Takumi?!\The guy who's always making girls cry.\I've told you countless times to be more sensitive when choosing your words!\You're going to pay if I catch you bringing another girl to tears!\How many times has she told me that? response:	I wonder why the Prez hates guys so much.
context: Not much.\Just rejecting a confession.\You again, Usui Takumi?!\The guy who's always making girls cry.\I've told you countless times to be more sensitive when choosing your words!\You're going to pay if I catch you bringing another girl to tears!\How many times has she told me that?\I wonder why the Prez hates guys so much. response:	Can't you find a way to somehow make her say'uncle', Usui-san?
context: Just rejecting a confession.\You again, Usui Takumi?!\The guy who's always making girls cry.\I've told you countless times to be more sensitive when choosing your words!\You're going to pay if I catch you bringing another girl to tears!\How many times has she told me that?\I wonder why the Prez hates guys so much.\Can't you find a way to somehow make her say'uncle', Usui-san? response:	Do it yourself. I'm not interested.
context: You again, Usui Takumi?!\The guy who's always making girls cry.\I've told you countless times to be more sensitive when choosing your words!\You're going to pay if I catch you bringing another girl to tears!\How many times has she told me that?\I wonder why the Prez hates guys so much.\Can't you find a way to somehow make her say'uncle', Usui-san?\Do it yourself. I'm not interested. response:	Uncle!
context: The guy who's always making girls cry.\I've told you countless times to be more sensitive when choosing your words!\You're going to pay if I catch you bringing another girl to tears!\How many times has she told me that?\I wonder why the Prez hates guys so much.\Can't you find a way to somehow make her say'uncle', Usui-san?\Do it yourself. I'm not interested.\Uncle! response:	I hate guys who make girls cry.
context: I've told you countless times to be more sensitive when choosing your words!\You're going to pay if I catch you bringing another girl to tears!\How many times has she told me that?\I wonder why the Prez hates guys so much.\Can't you find a way to somehow make her say'uncle', Usui-san?\Do it yourself. I'm not interested.\Uncle!\I hate guys who make girls cry. response:	Both at the same time?
context: You're going to pay if I catch you bringing another girl to tears!\How many times has she told me that?\I wonder why the Prez hates guys so much.\Can't you find a way to somehow make her say'uncle', Usui-san?\Do it yourself. I'm not interested.\Uncle!\I hate guys who make girls cry.\Both at the same time? response:	It's going to take money to fix them again.
context: How many times has she told me that?\I wonder why the Prez hates guys so much.\Can't you find a way to somehow make her say'uncle', Usui-san?\Do it yourself. I'm not interested.\Uncle!\I hate guys who make girls cry.\Both at the same time?\It's going to take money to fix them again. response:	I'm home!
context: I wonder why the Prez hates guys so much.\Can't you find a way to somehow make her say'uncle', Usui-san?\Do it yourself. I'm not interested.\Uncle!\I hate guys who make girls cry.\Both at the same time?\It's going to take money to fix them again.\I'm home! response:	Oh, looks like you're home, Sis.
context: Can't you find a way to somehow make her say'uncle', Usui-san?\Do it yourself. I'm not interested.\Uncle!\I hate guys who make girls cry.\Both at the same time?\It's going to take money to fix them again.\I'm home!\Oh, looks like you're home, Sis. response:	What's with this trap, Suzuna?!
context: Do it yourself. I'm not interested.\Uncle!\I hate guys who make girls cry.\Both at the same time?\It's going to take money to fix them again.\I'm home!\Oh, looks like you're home, Sis.\What's with this trap, Suzuna?! response:	I accidentally put my foot through it earlier.
context: Uncle!\I hate guys who make girls cry.\Both at the same time?\It's going to take money to fix them again.\I'm home!\Oh, looks like you're home, Sis.\What's with this trap, Suzuna?!\I accidentally put my foot through it earlier. response:	Seems like the floorboard was rotten.
context: I hate guys who make girls cry.\Both at the same time?\It's going to take money to fix them again.\I'm home!\Oh, looks like you're home, Sis.\What's with this trap, Suzuna?!\I accidentally put my foot through it earlier.\Seems like the floorboard was rotten. response:	So you thought it'd be wise to just hide it under a sheet of newspaper?
context: Both at the same time?\It's going to take money to fix them again.\I'm home!\Oh, looks like you're home, Sis.\What's with this trap, Suzuna?!\I accidentally put my foot through it earlier.\Seems like the floorboard was rotten.\So you thought it'd be wise to just hide it under a sheet of newspaper? response:	You fell in it as planned.
context: It's going to take money to fix them again.\I'm home!\Oh, looks like you're home, Sis.\What's with this trap, Suzuna?!\I accidentally put my foot through it earlier.\Seems like the floorboard was rotten.\So you thought it'd be wise to just hide it under a sheet of newspaper?\You fell in it as planned. response:	You didn't plan it!
context: I'm home!\Oh, looks like you're home, Sis.\What's with this trap, Suzuna?!\I accidentally put my foot through it earlier.\Seems like the floorboard was rotten.\So you thought it'd be wise to just hide it under a sheet of newspaper?\You fell in it as planned.\You didn't plan it! response:	Didn't you get hurt?
context: Oh, looks like you're home, Sis.\What's with this trap, Suzuna?!\I accidentally put my foot through it earlier.\Seems like the floorboard was rotten.\So you thought it'd be wise to just hide it under a sheet of newspaper?\You fell in it as planned.\You didn't plan it!\Didn't you get hurt? response:	Suzuna?
context: What's with this trap, Suzuna?!\I accidentally put my foot through it earlier.\Seems like the floorboard was rotten.\So you thought it'd be wise to just hide it under a sheet of newspaper?\You fell in it as planned.\You didn't plan it!\Didn't you get hurt?\Suzuna? response:	Seems like you're okay.
context: I accidentally put my foot through it earlier.\Seems like the floorboard was rotten.\So you thought it'd be wise to just hide it under a sheet of newspaper?\You fell in it as planned.\You didn't plan it!\Didn't you get hurt?\Suzuna?\Seems like you're okay. response:	Mom.
context: Seems like the floorboard was rotten.\So you thought it'd be wise to just hide it under a sheet of newspaper?\You fell in it as planned.\You didn't plan it!\Didn't you get hurt?\Suzuna?\Seems like you're okay.\Mom. response:	Oh, Misaki?
context: So you thought it'd be wise to just hide it under a sheet of newspaper?\You fell in it as planned.\You didn't plan it!\Didn't you get hurt?\Suzuna?\Seems like you're okay.\Mom.\Oh, Misaki? response:	Hey.
context: You fell in it as planned.\You didn't plan it!\Didn't you get hurt?\Suzuna?\Seems like you're okay.\Mom.\Oh, Misaki?\Hey. response:	You had a night shift at the hospital, right?
context: You didn't plan it!\Didn't you get hurt?\Suzuna?\Seems like you're okay.\Mom.\Oh, Misaki?\Hey.\You had a night shift at the hospital, right? response:	You don't exactly have a strong constitution, so you shouldn't overwork yourself.
context: Didn't you get hurt?\Suzuna?\Seems like you're okay.\Mom.\Oh, Misaki?\Hey.\You had a night shift at the hospital, right?\You don't exactly have a strong constitution, so you shouldn't overwork yourself. response:	I'm fine, Dear.
context: Suzuna?\Seems like you're okay.\Mom.\Oh, Misaki?\Hey.\You had a night shift at the hospital, right?\You don't exactly have a strong constitution, so you shouldn't overwork yourself.\I'm fine, Dear. response:	I can't just put all the burden on you.
context: Seems like you're okay.\Mom.\Oh, Misaki?\Hey.\You had a night shift at the hospital, right?\You don't exactly have a strong constitution, so you shouldn't overwork yourself.\I'm fine, Dear.\I can't just put all the burden on you. response:	I need to shape up as well, you know?
context: Mom.\Oh, Misaki?\Hey.\You had a night shift at the hospital, right?\You don't exactly have a strong constitution, so you shouldn't overwork yourself.\I'm fine, Dear.\I can't just put all the burden on you.\I need to shape up as well, you know? response:	If only Dad hadn't disappeared after leaving a debt.
context: Oh, Misaki?\Hey.\You had a night shift at the hospital, right?\You don't exactly have a strong constitution, so you shouldn't overwork yourself.\I'm fine, Dear.\I can't just put all the burden on you.\I need to shape up as well, you know?\If only Dad hadn't disappeared after leaving a debt. response:	That wasn't necessary.
context: Hey.\You had a night shift at the hospital, right?\You don't exactly have a strong constitution, so you shouldn't overwork yourself.\I'm fine, Dear.\I can't just put all the burden on you.\I need to shape up as well, you know?\If only Dad hadn't disappeared after leaving a debt.\That wasn't necessary. response:	Oh, there was a call from the chief where you work.
context: You had a night shift at the hospital, right?\You don't exactly have a strong constitution, so you shouldn't overwork yourself.\I'm fine, Dear.\I can't just put all the burden on you.\I need to shape up as well, you know?\If only Dad hadn't disappeared after leaving a debt.\That wasn't necessary.\Oh, there was a call from the chief where you work. response:	Apparently, one of the workers can't come, so she wants you to take her place.
context: You don't exactly have a strong constitution, so you shouldn't overwork yourself.\I'm fine, Dear.\I can't just put all the burden on you.\I need to shape up as well, you know?\If only Dad hadn't disappeared after leaving a debt.\That wasn't necessary.\Oh, there was a call from the chief where you work.\Apparently, one of the workers can't come, so she wants you to take her place. response:	Oh, really?
context: I'm fine, Dear.\I can't just put all the burden on you.\I need to shape up as well, you know?\If only Dad hadn't disappeared after leaving a debt.\That wasn't necessary.\Oh, there was a call from the chief where you work.\Apparently, one of the workers can't come, so she wants you to take her place.\Oh, really? response:	I have to leave now, then!
context: I can't just put all the burden on you.\I need to shape up as well, you know?\If only Dad hadn't disappeared after leaving a debt.\That wasn't necessary.\Oh, there was a call from the chief where you work.\Apparently, one of the workers can't come, so she wants you to take her place.\Oh, really?\I have to leave now, then! response:	Why didn't you tell me that earlier?
context: I need to shape up as well, you know?\If only Dad hadn't disappeared after leaving a debt.\That wasn't necessary.\Oh, there was a call from the chief where you work.\Apparently, one of the workers can't come, so she wants you to take her place.\Oh, really?\I have to leave now, then!\Why didn't you tell me that earlier? response:	Whoa! I almost fell in that hole again!
context: If only Dad hadn't disappeared after leaving a debt.\That wasn't necessary.\Oh, there was a call from the chief where you work.\Apparently, one of the workers can't come, so she wants you to take her place.\Oh, really?\I have to leave now, then!\Why didn't you tell me that earlier?\Whoa! I almost fell in that hole again! response:	Sis, could you drop this in the postbox while you're out?
context: That wasn't necessary.\Oh, there was a call from the chief where you work.\Apparently, one of the workers can't come, so she wants you to take her place.\Oh, really?\I have to leave now, then!\Why didn't you tell me that earlier?\Whoa! I almost fell in that hole again!\Sis, could you drop this in the postbox while you're out? response:	Another prize contest?
context: Oh, there was a call from the chief where you work.\Apparently, one of the workers can't come, so she wants you to take her place.\Oh, really?\I have to leave now, then!\Why didn't you tell me that earlier?\Whoa! I almost fell in that hole again!\Sis, could you drop this in the postbox while you're out?\Another prize contest? response:	Thanks.
context: Apparently, one of the workers can't come, so she wants you to take her place.\Oh, really?\I have to leave now, then!\Why didn't you tell me that earlier?\Whoa! I almost fell in that hole again!\Sis, could you drop this in the postbox while you're out?\Another prize contest?\Thanks. response:	Try to rest up a bit, Mom!
context: Oh, really?\I have to leave now, then!\Why didn't you tell me that earlier?\Whoa! I almost fell in that hole again!\Sis, could you drop this in the postbox while you're out?\Another prize contest?\Thanks.\Try to rest up a bit, Mom! response:	I'll be on my way!
context: I have to leave now, then!\Why didn't you tell me that earlier?\Whoa! I almost fell in that hole again!\Sis, could you drop this in the postbox while you're out?\Another prize contest?\Thanks.\Try to rest up a bit, Mom!\I'll be on my way! response:	Oh, this too!
context: Why didn't you tell me that earlier?\Whoa! I almost fell in that hole again!\Sis, could you drop this in the postbox while you're out?\Another prize contest?\Thanks.\Try to rest up a bit, Mom!\I'll be on my way!\Oh, this too! response:	We're poor, but Sis definitely needs a cell.
context: Whoa! I almost fell in that hole again!\Sis, could you drop this in the postbox while you're out?\Another prize contest?\Thanks.\Try to rest up a bit, Mom!\I'll be on my way!\Oh, this too!\We're poor, but Sis definitely needs a cell. response:	This way, please.
context: Sis, could you drop this in the postbox while you're out?\Another prize contest?\Thanks.\Try to rest up a bit, Mom!\I'll be on my way!\Oh, this too!\We're poor, but Sis definitely needs a cell.\This way, please. response:	Misa-chan.
context: Another prize contest?\Thanks.\Try to rest up a bit, Mom!\I'll be on my way!\Oh, this too!\We're poor, but Sis definitely needs a cell.\This way, please.\Misa-chan. response:	Yes?
context: Thanks.\Try to rest up a bit, Mom!\I'll be on my way!\Oh, this too!\We're poor, but Sis definitely needs a cell.\This way, please.\Misa-chan.\Yes? response:	Sorry for asking you to take over so suddenly.
context: Try to rest up a bit, Mom!\I'll be on my way!\Oh, this too!\We're poor, but Sis definitely needs a cell.\This way, please.\Misa-chan.\Yes?\Sorry for asking you to take over so suddenly. response:	It's fine.
context: I'll be on my way!\Oh, this too!\We're poor, but Sis definitely needs a cell.\This way, please.\Misa-chan.\Yes?\Sorry for asking you to take over so suddenly.\It's fine. response:	I've got various expenses to meet this month, so it was actually a good opportunity.
context: Oh, this too!\We're poor, but Sis definitely needs a cell.\This way, please.\Misa-chan.\Yes?\Sorry for asking you to take over so suddenly.\It's fine.\I've got various expenses to meet this month, so it was actually a good opportunity. response:	Oh, Misa-chan.
