context: Nirvana has started to move, and it's heading toward Wendy's guild, Caitshelter! response:	Yes...
context: Plus... I'm on transportation...\By the pride of the Six Generals, I will defeat you!\Jura, the Tenth Saint!\Damn it... I can't move...\I can hear it... I can hear the end of the life of an Old Generation Dragon Slayer!\Enough, Cobra.\B-Brain?\What are you... response:	You did well.
context: By the pride of the Six Generals, I will defeat you!\Jura, the Tenth Saint!\Damn it... I can't move...\I can hear it... I can hear the end of the life of an Old Generation Dragon Slayer!\Enough, Cobra.\B-Brain?\What are you...\You did well. response:	Rest in peace.
context: Jura, the Tenth Saint!\Damn it... I can't move...\I can hear it... I can hear the end of the life of an Old Generation Dragon Slayer!\Enough, Cobra.\B-Brain?\What are you...\You did well.\Rest in peace. response:	In the end, nothing more than a fake Dragon Slayer...
context: Damn it... I can't move...\I can hear it... I can hear the end of the life of an Old Generation Dragon Slayer!\Enough, Cobra.\B-Brain?\What are you...\You did well.\Rest in peace.\In the end, nothing more than a fake Dragon Slayer... response:	I have no need for him as one of the six generals that will crush the official guilds.
context: I can hear it... I can hear the end of the life of an Old Generation Dragon Slayer!\Enough, Cobra.\B-Brain?\What are you...\You did well.\Rest in peace.\In the end, nothing more than a fake Dragon Slayer...\I have no need for him as one of the six generals that will crush the official guilds. response:	Trash!
context: Enough, Cobra.\B-Brain?\What are you...\You did well.\Rest in peace.\In the end, nothing more than a fake Dragon Slayer...\I have no need for him as one of the six generals that will crush the official guilds.\Trash! response:	Oops. Did you hear that?
context: B-Brain?\What are you...\You did well.\Rest in peace.\In the end, nothing more than a fake Dragon Slayer...\I have no need for him as one of the six generals that will crush the official guilds.\Trash!\Oops. Did you hear that? response:	Damn you...
context: What are you...\You did well.\Rest in peace.\In the end, nothing more than a fake Dragon Slayer...\I have no need for him as one of the six generals that will crush the official guilds.\Trash!\Oops. Did you hear that?\Damn you... response:	Damn you!
context: You did well.\Rest in peace.\In the end, nothing more than a fake Dragon Slayer...\I have no need for him as one of the six generals that will crush the official guilds.\Trash!\Oops. Did you hear that?\Damn you...\Damn you! response:	My prayer...
context: Rest in peace.\In the end, nothing more than a fake Dragon Slayer...\I have no need for him as one of the six generals that will crush the official guilds.\Trash!\Oops. Did you hear that?\Damn you...\Damn you!\My prayer... response:	I only wanted to hear the voice of my one friend...
context: In the end, nothing more than a fake Dragon Slayer...\I have no need for him as one of the six generals that will crush the official guilds.\Trash!\Oops. Did you hear that?\Damn you...\Damn you!\My prayer...\I only wanted to hear the voice of my one friend... response:	Cubellios...
context: I have no need for him as one of the six generals that will crush the official guilds.\Trash!\Oops. Did you hear that?\Damn you...\Damn you!\My prayer...\I only wanted to hear the voice of my one friend...\Cubellios... response:	Cobra...
context: Trash!\Oops. Did you hear that?\Damn you...\Damn you!\My prayer...\I only wanted to hear the voice of my one friend...\Cubellios...\Cobra... response:	Weren't you... his ally?
context: Oops. Did you hear that?\Damn you...\Damn you!\My prayer...\I only wanted to hear the voice of my one friend...\Cubellios...\Cobra...\Weren't you... his ally? response:	Ally? I can gather as many as I wish shortly.
context: Damn you...\Damn you!\My prayer...\I only wanted to hear the voice of my one friend...\Cubellios...\Cobra...\Weren't you... his ally?\Ally? I can gather as many as I wish shortly. response:	Using Nirvana's power, that is.
context: Damn you!\My prayer...\I only wanted to hear the voice of my one friend...\Cubellios...\Cobra...\Weren't you... his ally?\Ally? I can gather as many as I wish shortly.\Using Nirvana's power, that is. response:	You can't call those allies.
context: My prayer...\I only wanted to hear the voice of my one friend...\Cubellios...\Cobra...\Weren't you... his ally?\Ally? I can gather as many as I wish shortly.\Using Nirvana's power, that is.\You can't call those allies. response:	They're just puppets!
context: I only wanted to hear the voice of my one friend...\Cubellios...\Cobra...\Weren't you... his ally?\Ally? I can gather as many as I wish shortly.\Using Nirvana's power, that is.\You can't call those allies.\They're just puppets! response:	Now, now... Don't get testy.
context: Cubellios...\Cobra...\Weren't you... his ally?\Ally? I can gather as many as I wish shortly.\Using Nirvana's power, that is.\You can't call those allies.\They're just puppets!\Now, now... Don't get testy. response:	I have taken an interest in your power.
context: Cobra...\Weren't you... his ally?\Ally? I can gather as many as I wish shortly.\Using Nirvana's power, that is.\You can't call those allies.\They're just puppets!\Now, now... Don't get testy.\I have taken an interest in your power. response:	I suspect you know what I mean by that.
context: Weren't you... his ally?\Ally? I can gather as many as I wish shortly.\Using Nirvana's power, that is.\You can't call those allies.\They're just puppets!\Now, now... Don't get testy.\I have taken an interest in your power.\I suspect you know what I mean by that. response:	I will make you my first puppet slave!
context: Ally? I can gather as many as I wish shortly.\Using Nirvana's power, that is.\You can't call those allies.\They're just puppets!\Now, now... Don't get testy.\I have taken an interest in your power.\I suspect you know what I mean by that.\I will make you my first puppet slave! response:	Those with the stronger ideals will win!
context: Using Nirvana's power, that is.\You can't call those allies.\They're just puppets!\Now, now... Don't get testy.\I have taken an interest in your power.\I suspect you know what I mean by that.\I will make you my first puppet slave!\Those with the stronger ideals will win! response:	That is what Jura said!
context: You can't call those allies.\They're just puppets!\Now, now... Don't get testy.\I have taken an interest in your power.\I suspect you know what I mean by that.\I will make you my first puppet slave!\Those with the stronger ideals will win!\That is what Jura said! response:	No... I don't wanna lose...
context: They're just puppets!\Now, now... Don't get testy.\I have taken an interest in your power.\I suspect you know what I mean by that.\I will make you my first puppet slave!\Those with the stronger ideals will win!\That is what Jura said!\No... I don't wanna lose... response:	If I lose, then Father will abandon me...
context: Now, now... Don't get testy.\I have taken an interest in your power.\I suspect you know what I mean by that.\I will make you my first puppet slave!\Those with the stronger ideals will win!\That is what Jura said!\No... I don't wanna lose...\If I lose, then Father will abandon me... response:	I don't wanna lose!
context: I have taken an interest in your power.\I suspect you know what I mean by that.\I will make you my first puppet slave!\Those with the stronger ideals will win!\That is what Jura said!\No... I don't wanna lose...\If I lose, then Father will abandon me...\I don't wanna lose! response:	Running is futile!
context: I suspect you know what I mean by that.\I will make you my first puppet slave!\Those with the stronger ideals will win!\That is what Jura said!\No... I don't wanna lose...\If I lose, then Father will abandon me...\I don't wanna lose!\Running is futile! response:	Yes...!
context: I will make you my first puppet slave!\Those with the stronger ideals will win!\That is what Jura said!\No... I don't wanna lose...\If I lose, then Father will abandon me...\I don't wanna lose!\Running is futile!\Yes...! response:	My Heaven's Eye can see through everything!
context: Those with the stronger ideals will win!\That is what Jura said!\No... I don't wanna lose...\If I lose, then Father will abandon me...\I don't wanna lose!\Running is futile!\Yes...!\My Heaven's Eye can see through everything! response:	I have seen!
context: That is what Jura said!\No... I don't wanna lose...\If I lose, then Father will abandon me...\I don't wanna lose!\Running is futile!\Yes...!\My Heaven's Eye can see through everything!\I have seen! response:	Liquid Ground!
context: No... I don't wanna lose...\If I lose, then Father will abandon me...\I don't wanna lose!\Running is futile!\Yes...!\My Heaven's Eye can see through everything!\I have seen!\Liquid Ground! response:	At this rate, I'm going to be abandoned...
context: If I lose, then Father will abandon me...\I don't wanna lose!\Running is futile!\Yes...!\My Heaven's Eye can see through everything!\I have seen!\Liquid Ground!\At this rate, I'm going to be abandoned... response:	Father... will abandon me!
context: I don't wanna lose!\Running is futile!\Yes...!\My Heaven's Eye can see through everything!\I have seen!\Liquid Ground!\At this rate, I'm going to be abandoned...\Father... will abandon me! response:	That may be for the best, yes?
context: Running is futile!\Yes...!\My Heaven's Eye can see through everything!\I have seen!\Liquid Ground!\At this rate, I'm going to be abandoned...\Father... will abandon me!\That may be for the best, yes? response:	Today, Oracion Seis will be no more!
context: Yes...!\My Heaven's Eye can see through everything!\I have seen!\Liquid Ground!\At this rate, I'm going to be abandoned...\Father... will abandon me!\That may be for the best, yes?\Today, Oracion Seis will be no more! response:	There he is!
context: My Heaven's Eye can see through everything!\I have seen!\Liquid Ground!\At this rate, I'm going to be abandoned...\Father... will abandon me!\That may be for the best, yes?\Today, Oracion Seis will be no more!\There he is! response:	Natsu!
context: I have seen!\Liquid Ground!\At this rate, I'm going to be abandoned...\Father... will abandon me!\That may be for the best, yes?\Today, Oracion Seis will be no more!\There he is!\Natsu! response:	What happened?
context: Liquid Ground!\At this rate, I'm going to be abandoned...\Father... will abandon me!\That may be for the best, yes?\Today, Oracion Seis will be no more!\There he is!\Natsu!\What happened? response:	It's'cause this is transportation...
context: At this rate, I'm going to be abandoned...\Father... will abandon me!\That may be for the best, yes?\Today, Oracion Seis will be no more!\There he is!\Natsu!\What happened?\It's'cause this is transportation... response:	Everyone...
context: Father... will abandon me!\That may be for the best, yes?\Today, Oracion Seis will be no more!\There he is!\Natsu!\What happened?\It's'cause this is transportation...\Everyone... response:	Happy!
context: That may be for the best, yes?\Today, Oracion Seis will be no more!\There he is!\Natsu!\What happened?\It's'cause this is transportation...\Everyone...\Happy! response:	Cat-dono, you are also unharmed?
context: Today, Oracion Seis will be no more!\There he is!\Natsu!\What happened?\It's'cause this is transportation...\Everyone...\Happy!\Cat-dono, you are also unharmed? response:	Cat-dono?
context: There he is!\Natsu!\What happened?\It's'cause this is transportation...\Everyone...\Happy!\Cat-dono, you are also unharmed?\Cat-dono? response:	Save Natsu...
context: Natsu!\What happened?\It's'cause this is transportation...\Everyone...\Happy!\Cat-dono, you are also unharmed?\Cat-dono?\Save Natsu... response:	He's being taken away...
context: What happened?\It's'cause this is transportation...\Everyone...\Happy!\Cat-dono, you are also unharmed?\Cat-dono?\Save Natsu...\He's being taken away... response:	Half of the Six Generals are finished.
context: It's'cause this is transportation...\Everyone...\Happy!\Cat-dono, you are also unharmed?\Cat-dono?\Save Natsu...\He's being taken away...\Half of the Six Generals are finished. response:	Their stars have fallen.
context: Everyone...\Happy!\Cat-dono, you are also unharmed?\Cat-dono?\Save Natsu...\He's being taken away...\Half of the Six Generals are finished.\Their stars have fallen. response:	Starting now, I will create a new set of Generals.
context: Happy!\Cat-dono, you are also unharmed?\Cat-dono?\Save Natsu...\He's being taken away...\Half of the Six Generals are finished.\Their stars have fallen.\Starting now, I will create a new set of Generals. response:	Including this one.
context: Cat-dono, you are also unharmed?\Cat-dono?\Save Natsu...\He's being taken away...\Half of the Six Generals are finished.\Their stars have fallen.\Starting now, I will create a new set of Generals.\Including this one. response:	I figured this would happen eventually. Finally getting scouted by a Dark Guild, huh?
context: Cat-dono?\Save Natsu...\He's being taken away...\Half of the Six Generals are finished.\Their stars have fallen.\Starting now, I will create a new set of Generals.\Including this one.\I figured this would happen eventually. Finally getting scouted by a Dark Guild, huh? response:	Natsu isn't gonna do what you say!
context: Save Natsu...\He's being taken away...\Half of the Six Generals are finished.\Their stars have fallen.\Starting now, I will create a new set of Generals.\Including this one.\I figured this would happen eventually. Finally getting scouted by a Dark Guild, huh?\Natsu isn't gonna do what you say! response:	Nirvana will soak this boy's heart in darkness,
context: He's being taken away...\Half of the Six Generals are finished.\Their stars have fallen.\Starting now, I will create a new set of Generals.\Including this one.\I figured this would happen eventually. Finally getting scouted by a Dark Guild, huh?\Natsu isn't gonna do what you say!\Nirvana will soak this boy's heart in darkness, response:	and he will become nothing but my loyal servant.
context: Half of the Six Generals are finished.\Their stars have fallen.\Starting now, I will create a new set of Generals.\Including this one.\I figured this would happen eventually. Finally getting scouted by a Dark Guild, huh?\Natsu isn't gonna do what you say!\Nirvana will soak this boy's heart in darkness,\and he will become nothing but my loyal servant. response:	Hell no, I won't!
context: Their stars have fallen.\Starting now, I will create a new set of Generals.\Including this one.\I figured this would happen eventually. Finally getting scouted by a Dark Guild, huh?\Natsu isn't gonna do what you say!\Nirvana will soak this boy's heart in darkness,\and he will become nothing but my loyal servant.\Hell no, I won't! response:	You still have that much strength left?
context: Starting now, I will create a new set of Generals.\Including this one.\I figured this would happen eventually. Finally getting scouted by a Dark Guild, huh?\Natsu isn't gonna do what you say!\Nirvana will soak this boy's heart in darkness,\and he will become nothing but my loyal servant.\Hell no, I won't!\You still have that much strength left? response:	He does not seem so well.
context: Including this one.\I figured this would happen eventually. Finally getting scouted by a Dark Guild, huh?\Natsu isn't gonna do what you say!\Nirvana will soak this boy's heart in darkness,\and he will become nothing but my loyal servant.\Hell no, I won't!\You still have that much strength left?\He does not seem so well. response:	He gets extreme motion sickness.
context: I figured this would happen eventually. Finally getting scouted by a Dark Guild, huh?\Natsu isn't gonna do what you say!\Nirvana will soak this boy's heart in darkness,\and he will become nothing but my loyal servant.\Hell no, I won't!\You still have that much strength left?\He does not seem so well.\He gets extreme motion sickness. response:	Hurry up... and beat... this guy...
context: Natsu isn't gonna do what you say!\Nirvana will soak this boy's heart in darkness,\and he will become nothing but my loyal servant.\Hell no, I won't!\You still have that much strength left?\He does not seem so well.\He gets extreme motion sickness.\Hurry up... and beat... this guy... response:	Stop... this thing...
context: Nirvana will soak this boy's heart in darkness,\and he will become nothing but my loyal servant.\Hell no, I won't!\You still have that much strength left?\He does not seem so well.\He gets extreme motion sickness.\Hurry up... and beat... this guy...\Stop... this thing... response:	I'm not doin' it for you, but sure.
context: and he will become nothing but my loyal servant.\Hell no, I won't!\You still have that much strength left?\He does not seem so well.\He gets extreme motion sickness.\Hurry up... and beat... this guy...\Stop... this thing...\I'm not doin' it for you, but sure. response:	Yeah!
context: Hell no, I won't!\You still have that much strength left?\He does not seem so well.\He gets extreme motion sickness.\Hurry up... and beat... this guy...\Stop... this thing...\I'm not doin' it for you, but sure.\Yeah! response:	Stop?
context: You still have that much strength left?\He does not seem so well.\He gets extreme motion sickness.\Hurry up... and beat... this guy...\Stop... this thing...\I'm not doin' it for you, but sure.\Yeah!\Stop? response:	Nirvana?
context: He does not seem so well.\He gets extreme motion sickness.\Hurry up... and beat... this guy...\Stop... this thing...\I'm not doin' it for you, but sure.\Yeah!\Stop?\Nirvana? response:	Not even possible.
context: He gets extreme motion sickness.\Hurry up... and beat... this guy...\Stop... this thing...\I'm not doin' it for you, but sure.\Yeah!\Stop?\Nirvana?\Not even possible. response:	This city will shortly reach its first destination.
context: Hurry up... and beat... this guy...\Stop... this thing...\I'm not doin' it for you, but sure.\Yeah!\Stop?\Nirvana?\Not even possible.\This city will shortly reach its first destination. response:	We will arrive at Caitshelter.
context: Stop... this thing...\I'm not doin' it for you, but sure.\Yeah!\Stop?\Nirvana?\Not even possible.\This city will shortly reach its first destination.\We will arrive at Caitshelter. response:	That's Wendy and Carla's guild!
context: I'm not doin' it for you, but sure.\Yeah!\Stop?\Nirvana?\Not even possible.\This city will shortly reach its first destination.\We will arrive at Caitshelter.\That's Wendy and Carla's guild! response:	But why?
context: Yeah!\Stop?\Nirvana?\Not even possible.\This city will shortly reach its first destination.\We will arrive at Caitshelter.\That's Wendy and Carla's guild!\But why? response:	Tell us your purpose. Why do you aim for Wendy-dono's guild?
context: Stop?\Nirvana?\Not even possible.\This city will shortly reach its first destination.\We will arrive at Caitshelter.\That's Wendy and Carla's guild!\But why?\Tell us your purpose. Why do you aim for Wendy-dono's guild? response:	This ultra-inversion magic can change a guild of light into one of darkness in an instant.
context: Nirvana?\Not even possible.\This city will shortly reach its first destination.\We will arrive at Caitshelter.\That's Wendy and Carla's guild!\But why?\Tell us your purpose. Why do you aim for Wendy-dono's guild?\This ultra-inversion magic can change a guild of light into one of darkness in an instant. response:	I can't wait.
context: Not even possible.\This city will shortly reach its first destination.\We will arrive at Caitshelter.\That's Wendy and Carla's guild!\But why?\Tell us your purpose. Why do you aim for Wendy-dono's guild?\This ultra-inversion magic can change a guild of light into one of darkness in an instant.\I can't wait. response:	I suspect you'll see true hell.
context: This city will shortly reach its first destination.\We will arrive at Caitshelter.\That's Wendy and Carla's guild!\But why?\Tell us your purpose. Why do you aim for Wendy-dono's guild?\This ultra-inversion magic can change a guild of light into one of darkness in an instant.\I can't wait.\I suspect you'll see true hell. response:	We can't let this guy off!
context: We will arrive at Caitshelter.\That's Wendy and Carla's guild!\But why?\Tell us your purpose. Why do you aim for Wendy-dono's guild?\This ultra-inversion magic can change a guild of light into one of darkness in an instant.\I can't wait.\I suspect you'll see true hell.\We can't let this guy off! response:	This bastard is gettin' to me!
context: That's Wendy and Carla's guild!\But why?\Tell us your purpose. Why do you aim for Wendy-dono's guild?\This ultra-inversion magic can change a guild of light into one of darkness in an instant.\I can't wait.\I suspect you'll see true hell.\We can't let this guy off!\This bastard is gettin' to me! response:	Did you not hear me?
context: But why?\Tell us your purpose. Why do you aim for Wendy-dono's guild?\This ultra-inversion magic can change a guild of light into one of darkness in an instant.\I can't wait.\I suspect you'll see true hell.\We can't let this guy off!\This bastard is gettin' to me!\Did you not hear me? response:	Tell us your purpose!
context: Tell us your purpose. Why do you aim for Wendy-dono's guild?\This ultra-inversion magic can change a guild of light into one of darkness in an instant.\I can't wait.\I suspect you'll see true hell.\We can't let this guy off!\This bastard is gettin' to me!\Did you not hear me?\Tell us your purpose! response:	I have no words for pitiful weaklings like you!
context: This ultra-inversion magic can change a guild of light into one of darkness in an instant.\I can't wait.\I suspect you'll see true hell.\We can't let this guy off!\This bastard is gettin' to me!\Did you not hear me?\Tell us your purpose!\I have no words for pitiful weaklings like you! response:	I will become the judge ruling over light and darkness!
context: I can't wait.\I suspect you'll see true hell.\We can't let this guy off!\This bastard is gettin' to me!\Did you not hear me?\Tell us your purpose!\I have no words for pitiful weaklings like you!\I will become the judge ruling over light and darkness! response:	Bow down before me!
context: I suspect you'll see true hell.\We can't let this guy off!\This bastard is gettin' to me!\Did you not hear me?\Tell us your purpose!\I have no words for pitiful weaklings like you!\I will become the judge ruling over light and darkness!\Bow down before me! response:	This man needs to be dealt with.
context: We can't let this guy off!\This bastard is gettin' to me!\Did you not hear me?\Tell us your purpose!\I have no words for pitiful weaklings like you!\I will become the judge ruling over light and darkness!\Bow down before me!\This man needs to be dealt with. response:	Dude...
context: This bastard is gettin' to me!\Did you not hear me?\Tell us your purpose!\I have no words for pitiful weaklings like you!\I will become the judge ruling over light and darkness!\Bow down before me!\This man needs to be dealt with.\Dude... response:	It seems like there is no talking with him.
context: Did you not hear me?\Tell us your purpose!\I have no words for pitiful weaklings like you!\I will become the judge ruling over light and darkness!\Bow down before me!\This man needs to be dealt with.\Dude...\It seems like there is no talking with him. response:	Begone, worms!
context: Tell us your purpose!\I have no words for pitiful weaklings like you!\I will become the judge ruling over light and darkness!\Bow down before me!\This man needs to be dealt with.\Dude...\It seems like there is no talking with him.\Begone, worms! response:	W-What is this magic power?
context: I have no words for pitiful weaklings like you!\I will become the judge ruling over light and darkness!\Bow down before me!\This man needs to be dealt with.\Dude...\It seems like there is no talking with him.\Begone, worms!\W-What is this magic power? response:	Stand. I will not let you rest until you say why you are targeting Caitshelter.
context: I will become the judge ruling over light and darkness!\Bow down before me!\This man needs to be dealt with.\Dude...\It seems like there is no talking with him.\Begone, worms!\W-What is this magic power?\Stand. I will not let you rest until you say why you are targeting Caitshelter. response:	Wait, could this old guy...
context: Bow down before me!\This man needs to be dealt with.\Dude...\It seems like there is no talking with him.\Begone, worms!\W-What is this magic power?\Stand. I will not let you rest until you say why you are targeting Caitshelter.\Wait, could this old guy... response:	This is someone with the title of Wizard Saint, just like our master.
context: This man needs to be dealt with.\Dude...\It seems like there is no talking with him.\Begone, worms!\W-What is this magic power?\Stand. I will not let you rest until you say why you are targeting Caitshelter.\Wait, could this old guy...\This is someone with the title of Wizard Saint, just like our master. response:	I see... You surprised me for a moment there.
context: Dude...\It seems like there is no talking with him.\Begone, worms!\W-What is this magic power?\Stand. I will not let you rest until you say why you are targeting Caitshelter.\Wait, could this old guy...\This is someone with the title of Wizard Saint, just like our master.\I see... You surprised me for a moment there. response:	I suppose the distinction of being one of the Wizard Saints is not just for show.
context: It seems like there is no talking with him.\Begone, worms!\W-What is this magic power?\Stand. I will not let you rest until you say why you are targeting Caitshelter.\Wait, could this old guy...\This is someone with the title of Wizard Saint, just like our master.\I see... You surprised me for a moment there.\I suppose the distinction of being one of the Wizard Saints is not just for show. response:	There are many other guilds closer than Caitshelter.
context: Begone, worms!\W-What is this magic power?\Stand. I will not let you rest until you say why you are targeting Caitshelter.\Wait, could this old guy...\This is someone with the title of Wizard Saint, just like our master.\I see... You surprised me for a moment there.\I suppose the distinction of being one of the Wizard Saints is not just for show.\There are many other guilds closer than Caitshelter. response:	There must be some reason why you head there specifically.
context: W-What is this magic power?\Stand. I will not let you rest until you say why you are targeting Caitshelter.\Wait, could this old guy...\This is someone with the title of Wizard Saint, just like our master.\I see... You surprised me for a moment there.\I suppose the distinction of being one of the Wizard Saints is not just for show.\There are many other guilds closer than Caitshelter.\There must be some reason why you head there specifically. response:	There is no need for those that will shortly be dead to know!
context: Stand. I will not let you rest until you say why you are targeting Caitshelter.\Wait, could this old guy...\This is someone with the title of Wizard Saint, just like our master.\I see... You surprised me for a moment there.\I suppose the distinction of being one of the Wizard Saints is not just for show.\There are many other guilds closer than Caitshelter.\There must be some reason why you head there specifically.\There is no need for those that will shortly be dead to know! response:	Dark Rondo!
context: Wait, could this old guy...\This is someone with the title of Wizard Saint, just like our master.\I see... You surprised me for a moment there.\I suppose the distinction of being one of the Wizard Saints is not just for show.\There are many other guilds closer than Caitshelter.\There must be some reason why you head there specifically.\There is no need for those that will shortly be dead to know!\Dark Rondo! response:	Rockiron Wall!
context: This is someone with the title of Wizard Saint, just like our master.\I see... You surprised me for a moment there.\I suppose the distinction of being one of the Wizard Saints is not just for show.\There are many other guilds closer than Caitshelter.\There must be some reason why you head there specifically.\There is no need for those that will shortly be dead to know!\Dark Rondo!\Rockiron Wall! response:	Whoa! That's amazing! And actually kinda scary...
context: I see... You surprised me for a moment there.\I suppose the distinction of being one of the Wizard Saints is not just for show.\There are many other guilds closer than Caitshelter.\There must be some reason why you head there specifically.\There is no need for those that will shortly be dead to know!\Dark Rondo!\Rockiron Wall!\Whoa! That's amazing! And actually kinda scary... response:	Do you understand how futile this battle is now?
context: I suppose the distinction of being one of the Wizard Saints is not just for show.\There are many other guilds closer than Caitshelter.\There must be some reason why you head there specifically.\There is no need for those that will shortly be dead to know!\Dark Rondo!\Rockiron Wall!\Whoa! That's amazing! And actually kinda scary...\Do you understand how futile this battle is now? response:	Tell me the reason you aim for Caitshelter.
context: There are many other guilds closer than Caitshelter.\There must be some reason why you head there specifically.\There is no need for those that will shortly be dead to know!\Dark Rondo!\Rockiron Wall!\Whoa! That's amazing! And actually kinda scary...\Do you understand how futile this battle is now?\Tell me the reason you aim for Caitshelter. response:	And what will you do if you know?
context: There must be some reason why you head there specifically.\There is no need for those that will shortly be dead to know!\Dark Rondo!\Rockiron Wall!\Whoa! That's amazing! And actually kinda scary...\Do you understand how futile this battle is now?\Tell me the reason you aim for Caitshelter.\And what will you do if you know? response:	I said it was futile!
context: There is no need for those that will shortly be dead to know!\Dark Rondo!\Rockiron Wall!\Whoa! That's amazing! And actually kinda scary...\Do you understand how futile this battle is now?\Tell me the reason you aim for Caitshelter.\And what will you do if you know?\I said it was futile! response:	Oh, is that so?
context: Dark Rondo!\Rockiron Wall!\Whoa! That's amazing! And actually kinda scary...\Do you understand how futile this battle is now?\Tell me the reason you aim for Caitshelter.\And what will you do if you know?\I said it was futile!\Oh, is that so? response:	I have you now.
context: Rockiron Wall!\Whoa! That's amazing! And actually kinda scary...\Do you understand how futile this battle is now?\Tell me the reason you aim for Caitshelter.\And what will you do if you know?\I said it was futile!\Oh, is that so?\I have you now. response:	Oh, no!
context: Whoa! That's amazing! And actually kinda scary...\Do you understand how futile this battle is now?\Tell me the reason you aim for Caitshelter.\And what will you do if you know?\I said it was futile!\Oh, is that so?\I have you now.\Oh, no! response:	Dude, behind you!
context: Do you understand how futile this battle is now?\Tell me the reason you aim for Caitshelter.\And what will you do if you know?\I said it was futile!\Oh, is that so?\I have you now.\Oh, no!\Dude, behind you! response:	Dark Capriccio!
context: Tell me the reason you aim for Caitshelter.\And what will you do if you know?\I said it was futile!\Oh, is that so?\I have you now.\Oh, no!\Dude, behind you!\Dark Capriccio! response:	The rocks are bending!
context: And what will you do if you know?\I said it was futile!\Oh, is that so?\I have you now.\Oh, no!\Dude, behind you!\Dark Capriccio!\The rocks are bending! response:	It's futile.
context: I said it was futile!\Oh, is that so?\I have you now.\Oh, no!\Dude, behind you!\Dark Capriccio!\The rocks are bending!\It's futile. response:	Dark Capriccio is a piercing magic.
