context: Access granted. response:	Access granted.
context: Miyahara-kun.\I'll support you.\We oppose the closing of Sakura Hall!!\Good luck.\Um, Miyahara-kun...\Thank you for everything.\I'll tell my friends about it.\Sure, thanks. response:	See you later.
context: I'll support you.\We oppose the closing of Sakura Hall!!\Good luck.\Um, Miyahara-kun...\Thank you for everything.\I'll tell my friends about it.\Sure, thanks.\See you later. response:	Thanks, Miyahara!
context: We oppose the closing of Sakura Hall!!\Good luck.\Um, Miyahara-kun...\Thank you for everything.\I'll tell my friends about it.\Sure, thanks.\See you later.\Thanks, Miyahara! response:	Please give us your signatures to keep Sakura Hall from closing!
context: Good luck.\Um, Miyahara-kun...\Thank you for everything.\I'll tell my friends about it.\Sure, thanks.\See you later.\Thanks, Miyahara!\Please give us your signatures to keep Sakura Hall from closing! response:	We oppose the closing of Sakura Hall!!
context: Um, Miyahara-kun...\Thank you for everything.\I'll tell my friends about it.\Sure, thanks.\See you later.\Thanks, Miyahara!\Please give us your signatures to keep Sakura Hall from closing!\We oppose the closing of Sakura Hall!! response:	We spent all morning gathering signatures and only managed three.
context: Thank you for everything.\I'll tell my friends about it.\Sure, thanks.\See you later.\Thanks, Miyahara!\Please give us your signatures to keep Sakura Hall from closing!\We oppose the closing of Sakura Hall!!\We spent all morning gathering signatures and only managed three. response:	Kamiigusa-senpai and Mitaka-senpai should be...
context: I'll tell my friends about it.\Sure, thanks.\See you later.\Thanks, Miyahara!\Please give us your signatures to keep Sakura Hall from closing!\We oppose the closing of Sakura Hall!!\We spent all morning gathering signatures and only managed three.\Kamiigusa-senpai and Mitaka-senpai should be... response:	going around the third year classrooms right now.
context: Sure, thanks.\See you later.\Thanks, Miyahara!\Please give us your signatures to keep Sakura Hall from closing!\We oppose the closing of Sakura Hall!!\We spent all morning gathering signatures and only managed three.\Kamiigusa-senpai and Mitaka-senpai should be...\going around the third year classrooms right now. response:	Kanda.
context: See you later.\Thanks, Miyahara!\Please give us your signatures to keep Sakura Hall from closing!\We oppose the closing of Sakura Hall!!\We spent all morning gathering signatures and only managed three.\Kamiigusa-senpai and Mitaka-senpai should be...\going around the third year classrooms right now.\Kanda. response:	Akasaka, what happened to you this morning?
context: Thanks, Miyahara!\Please give us your signatures to keep Sakura Hall from closing!\We oppose the closing of Sakura Hall!!\We spent all morning gathering signatures and only managed three.\Kamiigusa-senpai and Mitaka-senpai should be...\going around the third year classrooms right now.\Kanda.\Akasaka, what happened to you this morning? response:	We agreed to gather signatures together.
context: Please give us your signatures to keep Sakura Hall from closing!\We oppose the closing of Sakura Hall!!\We spent all morning gathering signatures and only managed three.\Kamiigusa-senpai and Mitaka-senpai should be...\going around the third year classrooms right now.\Kanda.\Akasaka, what happened to you this morning?\We agreed to gather signatures together. response:	What's this?
context: We oppose the closing of Sakura Hall!!\We spent all morning gathering signatures and only managed three.\Kamiigusa-senpai and Mitaka-senpai should be...\going around the third year classrooms right now.\Kanda.\Akasaka, what happened to you this morning?\We agreed to gather signatures together.\What's this? response:	Suimei University of the Arts High School
context: We spent all morning gathering signatures and only managed three.\Kamiigusa-senpai and Mitaka-senpai should be...\going around the third year classrooms right now.\Kanda.\Akasaka, what happened to you this morning?\We agreed to gather signatures together.\What's this?\Suimei University of the Arts High School response:	Board Meeting Minutes (2012)
context: Kamiigusa-senpai and Mitaka-senpai should be...\going around the third year classrooms right now.\Kanda.\Akasaka, what happened to you this morning?\We agreed to gather signatures together.\What's this?\Suimei University of the Arts High School\Board Meeting Minutes (2012) response:	Obviously, the minutes of the board meetings.
context: going around the third year classrooms right now.\Kanda.\Akasaka, what happened to you this morning?\We agreed to gather signatures together.\What's this?\Suimei University of the Arts High School\Board Meeting Minutes (2012)\Obviously, the minutes of the board meetings. response:	What?!
context: Kanda.\Akasaka, what happened to you this morning?\We agreed to gather signatures together.\What's this?\Suimei University of the Arts High School\Board Meeting Minutes (2012)\Obviously, the minutes of the board meetings.\What?! response:	Mitaka-senpai was curious about them.
context: Akasaka, what happened to you this morning?\We agreed to gather signatures together.\What's this?\Suimei University of the Arts High School\Board Meeting Minutes (2012)\Obviously, the minutes of the board meetings.\What?!\Mitaka-senpai was curious about them. response:	Reading them should make it clear what the board was thinking.
context: We agreed to gather signatures together.\What's this?\Suimei University of the Arts High School\Board Meeting Minutes (2012)\Obviously, the minutes of the board meetings.\What?!\Mitaka-senpai was curious about them.\Reading them should make it clear what the board was thinking. response:	You got this from hacking?!
context: What's this?\Suimei University of the Arts High School\Board Meeting Minutes (2012)\Obviously, the minutes of the board meetings.\What?!\Mitaka-senpai was curious about them.\Reading them should make it clear what the board was thinking.\You got this from hacking?! response:	Is it all right for us to do something like this?!
context: Suimei University of the Arts High School\Board Meeting Minutes (2012)\Obviously, the minutes of the board meetings.\What?!\Mitaka-senpai was curious about them.\Reading them should make it clear what the board was thinking.\You got this from hacking?!\Is it all right for us to do something like this?! response:	Do you really think I'd do anything that'd get me caught?
context: Board Meeting Minutes (2012)\Obviously, the minutes of the board meetings.\What?!\Mitaka-senpai was curious about them.\Reading them should make it clear what the board was thinking.\You got this from hacking?!\Is it all right for us to do something like this?!\Do you really think I'd do anything that'd get me caught? response:	That's not the problem...
context: Obviously, the minutes of the board meetings.\What?!\Mitaka-senpai was curious about them.\Reading them should make it clear what the board was thinking.\You got this from hacking?!\Is it all right for us to do something like this?!\Do you really think I'd do anything that'd get me caught?\That's not the problem... response:	Take a look at the first page.
context: What?!\Mitaka-senpai was curious about them.\Reading them should make it clear what the board was thinking.\You got this from hacking?!\Is it all right for us to do something like this?!\Do you really think I'd do anything that'd get me caught?\That's not the problem...\Take a look at the first page. response:	It's the specialist's report on the condition of Sakura Hall.
context: Mitaka-senpai was curious about them.\Reading them should make it clear what the board was thinking.\You got this from hacking?!\Is it all right for us to do something like this?!\Do you really think I'd do anything that'd get me caught?\That's not the problem...\Take a look at the first page.\It's the specialist's report on the condition of Sakura Hall. response:	In the name of safety, residents should be moved out...
context: Reading them should make it clear what the board was thinking.\You got this from hacking?!\Is it all right for us to do something like this?!\Do you really think I'd do anything that'd get me caught?\That's not the problem...\Take a look at the first page.\It's the specialist's report on the condition of Sakura Hall.\In the name of safety, residents should be moved out... response:	and the building torn down within five years.
context: You got this from hacking?!\Is it all right for us to do something like this?!\Do you really think I'd do anything that'd get me caught?\That's not the problem...\Take a look at the first page.\It's the specialist's report on the condition of Sakura Hall.\In the name of safety, residents should be moved out...\and the building torn down within five years. response:	Five years is a long way off.
context: Is it all right for us to do something like this?!\Do you really think I'd do anything that'd get me caught?\That's not the problem...\Take a look at the first page.\It's the specialist's report on the condition of Sakura Hall.\In the name of safety, residents should be moved out...\and the building torn down within five years.\Five years is a long way off. response:	In other words, there's no reason for us to leave in such a hurry.
context: Do you really think I'd do anything that'd get me caught?\That's not the problem...\Take a look at the first page.\It's the specialist's report on the condition of Sakura Hall.\In the name of safety, residents should be moved out...\and the building torn down within five years.\Five years is a long way off.\In other words, there's no reason for us to leave in such a hurry. response:	Keep reading.
context: That's not the problem...\Take a look at the first page.\It's the specialist's report on the condition of Sakura Hall.\In the name of safety, residents should be moved out...\and the building torn down within five years.\Five years is a long way off.\In other words, there's no reason for us to leave in such a hurry.\Keep reading. response:	Vice Principal
context: Take a look at the first page.\It's the specialist's report on the condition of Sakura Hall.\In the name of safety, residents should be moved out...\and the building torn down within five years.\Five years is a long way off.\In other words, there's no reason for us to leave in such a hurry.\Keep reading.\Vice Principal response:	I agree. Shiina Mashiro should be moved into the regular dorms immediately and made to focus on studying art.
context: It's the specialist's report on the condition of Sakura Hall.\In the name of safety, residents should be moved out...\and the building torn down within five years.\Five years is a long way off.\In other words, there's no reason for us to leave in such a hurry.\Keep reading.\Vice Principal\I agree. Shiina Mashiro should be moved into the regular dorms immediately and made to focus on studying art. response:	Shiina...
context: In the name of safety, residents should be moved out...\and the building torn down within five years.\Five years is a long way off.\In other words, there's no reason for us to leave in such a hurry.\Keep reading.\Vice Principal\I agree. Shiina Mashiro should be moved into the regular dorms immediately and made to focus on studying art.\Shiina... response:	Vice Principal
context: and the building torn down within five years.\Five years is a long way off.\In other words, there's no reason for us to leave in such a hurry.\Keep reading.\Vice Principal\I agree. Shiina Mashiro should be moved into the regular dorms immediately and made to focus on studying art.\Shiina...\Vice Principal response:	Sengoku-sensei is Shiina Mashiro's cousin.
context: Five years is a long way off.\In other words, there's no reason for us to leave in such a hurry.\Keep reading.\Vice Principal\I agree. Shiina Mashiro should be moved into the regular dorms immediately and made to focus on studying art.\Shiina...\Vice Principal\Sengoku-sensei is Shiina Mashiro's cousin. response:	Because of this, we have respected Sengoku-sensei's opinions and tried to settle this as amicably as possible.
context: In other words, there's no reason for us to leave in such a hurry.\Keep reading.\Vice Principal\I agree. Shiina Mashiro should be moved into the regular dorms immediately and made to focus on studying art.\Shiina...\Vice Principal\Sengoku-sensei is Shiina Mashiro's cousin.\Because of this, we have respected Sengoku-sensei's opinions and tried to settle this as amicably as possible. response:	Shiina...
context: Keep reading.\Vice Principal\I agree. Shiina Mashiro should be moved into the regular dorms immediately and made to focus on studying art.\Shiina...\Vice Principal\Sengoku-sensei is Shiina Mashiro's cousin.\Because of this, we have respected Sengoku-sensei's opinions and tried to settle this as amicably as possible.\Shiina... response:	Shiina's name keeps coming up.
context: Vice Principal\I agree. Shiina Mashiro should be moved into the regular dorms immediately and made to focus on studying art.\Shiina...\Vice Principal\Sengoku-sensei is Shiina Mashiro's cousin.\Because of this, we have respected Sengoku-sensei's opinions and tried to settle this as amicably as possible.\Shiina...\Shiina's name keeps coming up. response:	They're skirting the issue,
context: I agree. Shiina Mashiro should be moved into the regular dorms immediately and made to focus on studying art.\Shiina...\Vice Principal\Sengoku-sensei is Shiina Mashiro's cousin.\Because of this, we have respected Sengoku-sensei's opinions and tried to settle this as amicably as possible.\Shiina...\Shiina's name keeps coming up.\They're skirting the issue, response:	but simply put, it seems that keeping Shiina Mashiro in Sakura Hall...
context: Shiina...\Vice Principal\Sengoku-sensei is Shiina Mashiro's cousin.\Because of this, we have respected Sengoku-sensei's opinions and tried to settle this as amicably as possible.\Shiina...\Shiina's name keeps coming up.\They're skirting the issue,\but simply put, it seems that keeping Shiina Mashiro in Sakura Hall... response:	is inconvenient for them.
context: Vice Principal\Sengoku-sensei is Shiina Mashiro's cousin.\Because of this, we have respected Sengoku-sensei's opinions and tried to settle this as amicably as possible.\Shiina...\Shiina's name keeps coming up.\They're skirting the issue,\but simply put, it seems that keeping Shiina Mashiro in Sakura Hall...\is inconvenient for them. response:	What?
context: Sengoku-sensei is Shiina Mashiro's cousin.\Because of this, we have respected Sengoku-sensei's opinions and tried to settle this as amicably as possible.\Shiina...\Shiina's name keeps coming up.\They're skirting the issue,\but simply put, it seems that keeping Shiina Mashiro in Sakura Hall...\is inconvenient for them.\What? response:	The board feels that Shiina using her artistic talents for manga...
context: Because of this, we have respected Sengoku-sensei's opinions and tried to settle this as amicably as possible.\Shiina...\Shiina's name keeps coming up.\They're skirting the issue,\but simply put, it seems that keeping Shiina Mashiro in Sakura Hall...\is inconvenient for them.\What?\The board feels that Shiina using her artistic talents for manga... response:	is a threat to the school.
context: Shiina...\Shiina's name keeps coming up.\They're skirting the issue,\but simply put, it seems that keeping Shiina Mashiro in Sakura Hall...\is inconvenient for them.\What?\The board feels that Shiina using her artistic talents for manga...\is a threat to the school. response:	They must do something before the school is accused...
context: Shiina's name keeps coming up.\They're skirting the issue,\but simply put, it seems that keeping Shiina Mashiro in Sakura Hall...\is inconvenient for them.\What?\The board feels that Shiina using her artistic talents for manga...\is a threat to the school.\They must do something before the school is accused... response:	of squandering Shiina's talent.
context: They're skirting the issue,\but simply put, it seems that keeping Shiina Mashiro in Sakura Hall...\is inconvenient for them.\What?\The board feels that Shiina using her artistic talents for manga...\is a threat to the school.\They must do something before the school is accused...\of squandering Shiina's talent. response:	Having determined it to be a negative influence on Shiina,
context: but simply put, it seems that keeping Shiina Mashiro in Sakura Hall...\is inconvenient for them.\What?\The board feels that Shiina using her artistic talents for manga...\is a threat to the school.\They must do something before the school is accused...\of squandering Shiina's talent.\Having determined it to be a negative influence on Shiina, response:	they decided to tear down Sakura Hall.
context: is inconvenient for them.\What?\The board feels that Shiina using her artistic talents for manga...\is a threat to the school.\They must do something before the school is accused...\of squandering Shiina's talent.\Having determined it to be a negative influence on Shiina,\they decided to tear down Sakura Hall. response:	Hold on!
context: What?\The board feels that Shiina using her artistic talents for manga...\is a threat to the school.\They must do something before the school is accused...\of squandering Shiina's talent.\Having determined it to be a negative influence on Shiina,\they decided to tear down Sakura Hall.\Hold on! response:	Shiina's decision to become a manga artist...
context: The board feels that Shiina using her artistic talents for manga...\is a threat to the school.\They must do something before the school is accused...\of squandering Shiina's talent.\Having determined it to be a negative influence on Shiina,\they decided to tear down Sakura Hall.\Hold on!\Shiina's decision to become a manga artist... response:	has nothing to do with Sakura Hall!
context: is a threat to the school.\They must do something before the school is accused...\of squandering Shiina's talent.\Having determined it to be a negative influence on Shiina,\they decided to tear down Sakura Hall.\Hold on!\Shiina's decision to become a manga artist...\has nothing to do with Sakura Hall! response:	The board doesn't seem to think so.
context: They must do something before the school is accused...\of squandering Shiina's talent.\Having determined it to be a negative influence on Shiina,\they decided to tear down Sakura Hall.\Hold on!\Shiina's decision to become a manga artist...\has nothing to do with Sakura Hall!\The board doesn't seem to think so. response:	I'm going to explain the situation to the principal!
context: of squandering Shiina's talent.\Having determined it to be a negative influence on Shiina,\they decided to tear down Sakura Hall.\Hold on!\Shiina's decision to become a manga artist...\has nothing to do with Sakura Hall!\The board doesn't seem to think so.\I'm going to explain the situation to the principal! response:	Wait, Kanda-kun!
context: Having determined it to be a negative influence on Shiina,\they decided to tear down Sakura Hall.\Hold on!\Shiina's decision to become a manga artist...\has nothing to do with Sakura Hall!\The board doesn't seem to think so.\I'm going to explain the situation to the principal!\Wait, Kanda-kun! response:	Kanda-kun, wait!
context: they decided to tear down Sakura Hall.\Hold on!\Shiina's decision to become a manga artist...\has nothing to do with Sakura Hall!\The board doesn't seem to think so.\I'm going to explain the situation to the principal!\Wait, Kanda-kun!\Kanda-kun, wait! response:	How did you find out about the contents of the meeting minutes?
context: Hold on!\Shiina's decision to become a manga artist...\has nothing to do with Sakura Hall!\The board doesn't seem to think so.\I'm going to explain the situation to the principal!\Wait, Kanda-kun!\Kanda-kun, wait!\How did you find out about the contents of the meeting minutes? response:	You don't intend to blurt out that we hacked into...
context: Shiina's decision to become a manga artist...\has nothing to do with Sakura Hall!\The board doesn't seem to think so.\I'm going to explain the situation to the principal!\Wait, Kanda-kun!\Kanda-kun, wait!\How did you find out about the contents of the meeting minutes?\You don't intend to blurt out that we hacked into... response:	the school's servers, do you?
context: has nothing to do with Sakura Hall!\The board doesn't seem to think so.\I'm going to explain the situation to the principal!\Wait, Kanda-kun!\Kanda-kun, wait!\How did you find out about the contents of the meeting minutes?\You don't intend to blurt out that we hacked into...\the school's servers, do you? response:	We'll be even worse off if you say something like that.
context: The board doesn't seem to think so.\I'm going to explain the situation to the principal!\Wait, Kanda-kun!\Kanda-kun, wait!\How did you find out about the contents of the meeting minutes?\You don't intend to blurt out that we hacked into...\the school's servers, do you?\We'll be even worse off if you say something like that. response:	Besides, Sengoku-sensei explains Shiina's manga and Sakura Hall...
context: I'm going to explain the situation to the principal!\Wait, Kanda-kun!\Kanda-kun, wait!\How did you find out about the contents of the meeting minutes?\You don't intend to blurt out that we hacked into...\the school's servers, do you?\We'll be even worse off if you say something like that.\Besides, Sengoku-sensei explains Shiina's manga and Sakura Hall... response:	have nothing to do with each other.
context: Wait, Kanda-kun!\Kanda-kun, wait!\How did you find out about the contents of the meeting minutes?\You don't intend to blurt out that we hacked into...\the school's servers, do you?\We'll be even worse off if you say something like that.\Besides, Sengoku-sensei explains Shiina's manga and Sakura Hall...\have nothing to do with each other. response:	Sengoku
context: Kanda-kun, wait!\How did you find out about the contents of the meeting minutes?\You don't intend to blurt out that we hacked into...\the school's servers, do you?\We'll be even worse off if you say something like that.\Besides, Sengoku-sensei explains Shiina's manga and Sakura Hall...\have nothing to do with each other.\Sengoku response:	As I have stated repeatedly, Shiina Mashiro did not begin drawing manga because of Sakura Hall.
context: How did you find out about the contents of the meeting minutes?\You don't intend to blurt out that we hacked into...\the school's servers, do you?\We'll be even worse off if you say something like that.\Besides, Sengoku-sensei explains Shiina's manga and Sakura Hall...\have nothing to do with each other.\Sengoku\As I have stated repeatedly, Shiina Mashiro did not begin drawing manga because of Sakura Hall. response:	She began drawing manga before coming to Japan.
context: You don't intend to blurt out that we hacked into...\the school's servers, do you?\We'll be even worse off if you say something like that.\Besides, Sengoku-sensei explains Shiina's manga and Sakura Hall...\have nothing to do with each other.\Sengoku\As I have stated repeatedly, Shiina Mashiro did not begin drawing manga because of Sakura Hall.\She began drawing manga before coming to Japan. response:	You're right.
context: the school's servers, do you?\We'll be even worse off if you say something like that.\Besides, Sengoku-sensei explains Shiina's manga and Sakura Hall...\have nothing to do with each other.\Sengoku\As I have stated repeatedly, Shiina Mashiro did not begin drawing manga because of Sakura Hall.\She began drawing manga before coming to Japan.\You're right. response:	It seems Chihiro-sensei's persistence has kept Sakura Hall from closing.
context: We'll be even worse off if you say something like that.\Besides, Sengoku-sensei explains Shiina's manga and Sakura Hall...\have nothing to do with each other.\Sengoku\As I have stated repeatedly, Shiina Mashiro did not begin drawing manga because of Sakura Hall.\She began drawing manga before coming to Japan.\You're right.\It seems Chihiro-sensei's persistence has kept Sakura Hall from closing. response:	So what are we supposed to do?
context: Besides, Sengoku-sensei explains Shiina's manga and Sakura Hall...\have nothing to do with each other.\Sengoku\As I have stated repeatedly, Shiina Mashiro did not begin drawing manga because of Sakura Hall.\She began drawing manga before coming to Japan.\You're right.\It seems Chihiro-sensei's persistence has kept Sakura Hall from closing.\So what are we supposed to do? response:	We can't just do nothing!
context: have nothing to do with each other.\Sengoku\As I have stated repeatedly, Shiina Mashiro did not begin drawing manga because of Sakura Hall.\She began drawing manga before coming to Japan.\You're right.\It seems Chihiro-sensei's persistence has kept Sakura Hall from closing.\So what are we supposed to do?\We can't just do nothing! response:	What should we do?
context: Sengoku\As I have stated repeatedly, Shiina Mashiro did not begin drawing manga because of Sakura Hall.\She began drawing manga before coming to Japan.\You're right.\It seems Chihiro-sensei's persistence has kept Sakura Hall from closing.\So what are we supposed to do?\We can't just do nothing!\What should we do? response:	The answer seems pretty obvious to me.
context: As I have stated repeatedly, Shiina Mashiro did not begin drawing manga because of Sakura Hall.\She began drawing manga before coming to Japan.\You're right.\It seems Chihiro-sensei's persistence has kept Sakura Hall from closing.\So what are we supposed to do?\We can't just do nothing!\What should we do?\The answer seems pretty obvious to me. response:	Shiina's presence in Sakura Hall is their reason for tearing it down.
context: She began drawing manga before coming to Japan.\You're right.\It seems Chihiro-sensei's persistence has kept Sakura Hall from closing.\So what are we supposed to do?\We can't just do nothing!\What should we do?\The answer seems pretty obvious to me.\Shiina's presence in Sakura Hall is their reason for tearing it down. response:	The solution's there for all to see, isn't it?
context: You're right.\It seems Chihiro-sensei's persistence has kept Sakura Hall from closing.\So what are we supposed to do?\We can't just do nothing!\What should we do?\The answer seems pretty obvious to me.\Shiina's presence in Sakura Hall is their reason for tearing it down.\The solution's there for all to see, isn't it? response:	Shut up.
context: It seems Chihiro-sensei's persistence has kept Sakura Hall from closing.\So what are we supposed to do?\We can't just do nothing!\What should we do?\The answer seems pretty obvious to me.\Shiina's presence in Sakura Hall is their reason for tearing it down.\The solution's there for all to see, isn't it?\Shut up. response:	Kanda, your time is more valuable than anyone's right now.
context: So what are we supposed to do?\We can't just do nothing!\What should we do?\The answer seems pretty obvious to me.\Shiina's presence in Sakura Hall is their reason for tearing it down.\The solution's there for all to see, isn't it?\Shut up.\Kanda, your time is more valuable than anyone's right now. response:	What about your preparations for the game title screening?
context: We can't just do nothing!\What should we do?\The answer seems pretty obvious to me.\Shiina's presence in Sakura Hall is their reason for tearing it down.\The solution's there for all to see, isn't it?\Shut up.\Kanda, your time is more valuable than anyone's right now.\What about your preparations for the game title screening? response:	It would be smarter to settle this quickly...
context: What should we do?\The answer seems pretty obvious to me.\Shiina's presence in Sakura Hall is their reason for tearing it down.\The solution's there for all to see, isn't it?\Shut up.\Kanda, your time is more valuable than anyone's right now.\What about your preparations for the game title screening?\It would be smarter to settle this quickly... response:	and focus all your attention on that.
context: The answer seems pretty obvious to me.\Shiina's presence in Sakura Hall is their reason for tearing it down.\The solution's there for all to see, isn't it?\Shut up.\Kanda, your time is more valuable than anyone's right now.\What about your preparations for the game title screening?\It would be smarter to settle this quickly...\and focus all your attention on that. response:	I said shut up!
context: Shiina's presence in Sakura Hall is their reason for tearing it down.\The solution's there for all to see, isn't it?\Shut up.\Kanda, your time is more valuable than anyone's right now.\What about your preparations for the game title screening?\It would be smarter to settle this quickly...\and focus all your attention on that.\I said shut up! response:	Mashiro.
context: The solution's there for all to see, isn't it?\Shut up.\Kanda, your time is more valuable than anyone's right now.\What about your preparations for the game title screening?\It would be smarter to settle this quickly...\and focus all your attention on that.\I said shut up!\Mashiro. response:	Were you listening?
context: Shut up.\Kanda, your time is more valuable than anyone's right now.\What about your preparations for the game title screening?\It would be smarter to settle this quickly...\and focus all your attention on that.\I said shut up!\Mashiro.\Were you listening? response:	Never mind, it's nothing.
context: Kanda, your time is more valuable than anyone's right now.\What about your preparations for the game title screening?\It would be smarter to settle this quickly...\and focus all your attention on that.\I said shut up!\Mashiro.\Were you listening?\Never mind, it's nothing. response:	Is something wrong?
context: What about your preparations for the game title screening?\It would be smarter to settle this quickly...\and focus all your attention on that.\I said shut up!\Mashiro.\Were you listening?\Never mind, it's nothing.\Is something wrong? response:	I got Shiho to write her name.
context: It would be smarter to settle this quickly...\and focus all your attention on that.\I said shut up!\Mashiro.\Were you listening?\Never mind, it's nothing.\Is something wrong?\I got Shiho to write her name. response:	We oppose the closing of Sakura Hall!!
context: and focus all your attention on that.\I said shut up!\Mashiro.\Were you listening?\Never mind, it's nothing.\Is something wrong?\I got Shiho to write her name.\We oppose the closing of Sakura Hall!! response:	I see.
context: I said shut up!\Mashiro.\Were you listening?\Never mind, it's nothing.\Is something wrong?\I got Shiho to write her name.\We oppose the closing of Sakura Hall!!\I see. response:	There are people in your class who'll support us.
context: Mashiro.\Were you listening?\Never mind, it's nothing.\Is something wrong?\I got Shiho to write her name.\We oppose the closing of Sakura Hall!!\I see.\There are people in your class who'll support us. response:	How many more do we need?
context: Were you listening?\Never mind, it's nothing.\Is something wrong?\I got Shiho to write her name.\We oppose the closing of Sakura Hall!!\I see.\There are people in your class who'll support us.\How many more do we need? response:	A lot. Enough to fill this notebook.
context: Never mind, it's nothing.\Is something wrong?\I got Shiho to write her name.\We oppose the closing of Sakura Hall!!\I see.\There are people in your class who'll support us.\How many more do we need?\A lot. Enough to fill this notebook. response:	I'll go ask more people.
context: Is something wrong?\I got Shiho to write her name.\We oppose the closing of Sakura Hall!!\I see.\There are people in your class who'll support us.\How many more do we need?\A lot. Enough to fill this notebook.\I'll go ask more people. response:	Most of the third years aren't on campus at the moment.
context: I got Shiho to write her name.\We oppose the closing of Sakura Hall!!\I see.\There are people in your class who'll support us.\How many more do we need?\A lot. Enough to fill this notebook.\I'll go ask more people.\Most of the third years aren't on campus at the moment. response:	In other words, getting signatures from two-thirds of all the students...
context: We oppose the closing of Sakura Hall!!\I see.\There are people in your class who'll support us.\How many more do we need?\A lot. Enough to fill this notebook.\I'll go ask more people.\Most of the third years aren't on campus at the moment.\In other words, getting signatures from two-thirds of all the students... response:	would mean we need nearly all of the first and second years to sign.
context: I see.\There are people in your class who'll support us.\How many more do we need?\A lot. Enough to fill this notebook.\I'll go ask more people.\Most of the third years aren't on campus at the moment.\In other words, getting signatures from two-thirds of all the students...\would mean we need nearly all of the first and second years to sign. response:	I know that.
context: There are people in your class who'll support us.\How many more do we need?\A lot. Enough to fill this notebook.\I'll go ask more people.\Most of the third years aren't on campus at the moment.\In other words, getting signatures from two-thirds of all the students...\would mean we need nearly all of the first and second years to sign.\I know that. response:	Even if you do get enough signatures,
context: How many more do we need?\A lot. Enough to fill this notebook.\I'll go ask more people.\Most of the third years aren't on campus at the moment.\In other words, getting signatures from two-thirds of all the students...\would mean we need nearly all of the first and second years to sign.\I know that.\Even if you do get enough signatures, response:	as long as Shiina stays in Sakura Hall,
context: A lot. Enough to fill this notebook.\I'll go ask more people.\Most of the third years aren't on campus at the moment.\In other words, getting signatures from two-thirds of all the students...\would mean we need nearly all of the first and second years to sign.\I know that.\Even if you do get enough signatures,\as long as Shiina stays in Sakura Hall, response:	there's no guarantee the board will reverse its decision.
