context: Piano! response:	Piano...
context: which will be released in December\Oi!\Good bye\Wait...\Please convey my gratitude to Maestro...for now.\I'll convey it to him\And from me to you too\Eh? response:	It has been a long time since I saw him conducting so happily
context: Oi!\Good bye\Wait...\Please convey my gratitude to Maestro...for now.\I'll convey it to him\And from me to you too\Eh?\It has been a long time since I saw him conducting so happily response:	Thank you
context: Good bye\Wait...\Please convey my gratitude to Maestro...for now.\I'll convey it to him\And from me to you too\Eh?\It has been a long time since I saw him conducting so happily\Thank you response:	Let's meet again some day!
context: Wait...\Please convey my gratitude to Maestro...for now.\I'll convey it to him\And from me to you too\Eh?\It has been a long time since I saw him conducting so happily\Thank you\Let's meet again some day! response:	This way...Stresemann went back to his country
context: Please convey my gratitude to Maestro...for now.\I'll convey it to him\And from me to you too\Eh?\It has been a long time since I saw him conducting so happily\Thank you\Let's meet again some day!\This way...Stresemann went back to his country response:	This time...he really...
context: I'll convey it to him\And from me to you too\Eh?\It has been a long time since I saw him conducting so happily\Thank you\Let's meet again some day!\This way...Stresemann went back to his country\This time...he really... response:	without mistake...went home. Stresemann really returned home
context: And from me to you too\Eh?\It has been a long time since I saw him conducting so happily\Thank you\Let's meet again some day!\This way...Stresemann went back to his country\This time...he really...\without mistake...went home. Stresemann really returned home response:	Then...the time will soon come, compelling us who are left behind...
context: Eh?\It has been a long time since I saw him conducting so happily\Thank you\Let's meet again some day!\This way...Stresemann went back to his country\This time...he really...\without mistake...went home. Stresemann really returned home\Then...the time will soon come, compelling us who are left behind... response:	to choose the road we are supposed to walk on...
context: It has been a long time since I saw him conducting so happily\Thank you\Let's meet again some day!\This way...Stresemann went back to his country\This time...he really...\without mistake...went home. Stresemann really returned home\Then...the time will soon come, compelling us who are left behind...\to choose the road we are supposed to walk on... response:	Hmmh...I haven't got any job offer yet...
context: Thank you\Let's meet again some day!\This way...Stresemann went back to his country\This time...he really...\without mistake...went home. Stresemann really returned home\Then...the time will soon come, compelling us who are left behind...\to choose the road we are supposed to walk on...\Hmmh...I haven't got any job offer yet... response:	Me neither...
context: Let's meet again some day!\This way...Stresemann went back to his country\This time...he really...\without mistake...went home. Stresemann really returned home\Then...the time will soon come, compelling us who are left behind...\to choose the road we are supposed to walk on...\Hmmh...I haven't got any job offer yet...\Me neither... response:	It felt like a blow after playing so much
context: This way...Stresemann went back to his country\This time...he really...\without mistake...went home. Stresemann really returned home\Then...the time will soon come, compelling us who are left behind...\to choose the road we are supposed to walk on...\Hmmh...I haven't got any job offer yet...\Me neither...\It felt like a blow after playing so much response:	But it was fun, wasn't it? S-Oke.
context: This time...he really...\without mistake...went home. Stresemann really returned home\Then...the time will soon come, compelling us who are left behind...\to choose the road we are supposed to walk on...\Hmmh...I haven't got any job offer yet...\Me neither...\It felt like a blow after playing so much\But it was fun, wasn't it? S-Oke. response:	Yes, just when I thought we couldn't participate even once in an Oke after 4 years in the Academy, yet at the very last we managed to. It's good, isn't it?
context: without mistake...went home. Stresemann really returned home\Then...the time will soon come, compelling us who are left behind...\to choose the road we are supposed to walk on...\Hmmh...I haven't got any job offer yet...\Me neither...\It felt like a blow after playing so much\But it was fun, wasn't it? S-Oke.\Yes, just when I thought we couldn't participate even once in an Oke after 4 years in the Academy, yet at the very last we managed to. It's good, isn't it? response:	Talking about it, S-Oke has not yet held a closing party, right?
context: Then...the time will soon come, compelling us who are left behind...\to choose the road we are supposed to walk on...\Hmmh...I haven't got any job offer yet...\Me neither...\It felt like a blow after playing so much\But it was fun, wasn't it? S-Oke.\Yes, just when I thought we couldn't participate even once in an Oke after 4 years in the Academy, yet at the very last we managed to. It's good, isn't it?\Talking about it, S-Oke has not yet held a closing party, right? response:	In that case, let's hold a drinking party! Disband Party!
context: to choose the road we are supposed to walk on...\Hmmh...I haven't got any job offer yet...\Me neither...\It felt like a blow after playing so much\But it was fun, wasn't it? S-Oke.\Yes, just when I thought we couldn't participate even once in an Oke after 4 years in the Academy, yet at the very last we managed to. It's good, isn't it?\Talking about it, S-Oke has not yet held a closing party, right?\In that case, let's hold a drinking party! Disband Party! response:	Wait a minute!
context: Hmmh...I haven't got any job offer yet...\Me neither...\It felt like a blow after playing so much\But it was fun, wasn't it? S-Oke.\Yes, just when I thought we couldn't participate even once in an Oke after 4 years in the Academy, yet at the very last we managed to. It's good, isn't it?\Talking about it, S-Oke has not yet held a closing party, right?\In that case, let's hold a drinking party! Disband Party!\Wait a minute! response:	Come on, what are you talking, guys?!
context: Me neither...\It felt like a blow after playing so much\But it was fun, wasn't it? S-Oke.\Yes, just when I thought we couldn't participate even once in an Oke after 4 years in the Academy, yet at the very last we managed to. It's good, isn't it?\Talking about it, S-Oke has not yet held a closing party, right?\In that case, let's hold a drinking party! Disband Party!\Wait a minute!\Come on, what are you talking, guys?! response:	Why did you talk as if S-Oke is just a memory of a long long past?
context: It felt like a blow after playing so much\But it was fun, wasn't it? S-Oke.\Yes, just when I thought we couldn't participate even once in an Oke after 4 years in the Academy, yet at the very last we managed to. It's good, isn't it?\Talking about it, S-Oke has not yet held a closing party, right?\In that case, let's hold a drinking party! Disband Party!\Wait a minute!\Come on, what are you talking, guys?!\Why did you talk as if S-Oke is just a memory of a long long past? response:	I have no intention of making it end yet!
context: But it was fun, wasn't it? S-Oke.\Yes, just when I thought we couldn't participate even once in an Oke after 4 years in the Academy, yet at the very last we managed to. It's good, isn't it?\Talking about it, S-Oke has not yet held a closing party, right?\In that case, let's hold a drinking party! Disband Party!\Wait a minute!\Come on, what are you talking, guys?!\Why did you talk as if S-Oke is just a memory of a long long past?\I have no intention of making it end yet! response:	OK?
context: Yes, just when I thought we couldn't participate even once in an Oke after 4 years in the Academy, yet at the very last we managed to. It's good, isn't it?\Talking about it, S-Oke has not yet held a closing party, right?\In that case, let's hold a drinking party! Disband Party!\Wait a minute!\Come on, what are you talking, guys?!\Why did you talk as if S-Oke is just a memory of a long long past?\I have no intention of making it end yet!\OK? response:	Mine-kun!
context: Talking about it, S-Oke has not yet held a closing party, right?\In that case, let's hold a drinking party! Disband Party!\Wait a minute!\Come on, what are you talking, guys?!\Why did you talk as if S-Oke is just a memory of a long long past?\I have no intention of making it end yet!\OK?\Mine-kun! response:	I want to do it too!
context: In that case, let's hold a drinking party! Disband Party!\Wait a minute!\Come on, what are you talking, guys?!\Why did you talk as if S-Oke is just a memory of a long long past?\I have no intention of making it end yet!\OK?\Mine-kun!\I want to do it too! response:	Sakura!
context: Wait a minute!\Come on, what are you talking, guys?!\Why did you talk as if S-Oke is just a memory of a long long past?\I have no intention of making it end yet!\OK?\Mine-kun!\I want to do it too!\Sakura! response:	Yosh, okay shall we continue it?
context: Come on, what are you talking, guys?!\Why did you talk as if S-Oke is just a memory of a long long past?\I have no intention of making it end yet!\OK?\Mine-kun!\I want to do it too!\Sakura!\Yosh, okay shall we continue it? response:	Yes, let's!
context: Why did you talk as if S-Oke is just a memory of a long long past?\I have no intention of making it end yet!\OK?\Mine-kun!\I want to do it too!\Sakura!\Yosh, okay shall we continue it?\Yes, let's! response:	Right??
context: I have no intention of making it end yet!\OK?\Mine-kun!\I want to do it too!\Sakura!\Yosh, okay shall we continue it?\Yes, let's!\Right?? response:	That is S-Oke! Right?
context: OK?\Mine-kun!\I want to do it too!\Sakura!\Yosh, okay shall we continue it?\Yes, let's!\Right??\That is S-Oke! Right? response:	Oh no! I have an interview in the afternoon!
context: Mine-kun!\I want to do it too!\Sakura!\Yosh, okay shall we continue it?\Yes, let's!\Right??\That is S-Oke! Right?\Oh no! I have an interview in the afternoon! response:	I have an Introductory Meeting!
context: I want to do it too!\Sakura!\Yosh, okay shall we continue it?\Yes, let's!\Right??\That is S-Oke! Right?\Oh no! I have an interview in the afternoon!\I have an Introductory Meeting! response:	See you...
context: Sakura!\Yosh, okay shall we continue it?\Yes, let's!\Right??\That is S-Oke! Right?\Oh no! I have an interview in the afternoon!\I have an Introductory Meeting!\See you... response:	Wait...what are you suddenly up to, everybody?
context: Yosh, okay shall we continue it?\Yes, let's!\Right??\That is S-Oke! Right?\Oh no! I have an interview in the afternoon!\I have an Introductory Meeting!\See you...\Wait...what are you suddenly up to, everybody? response:	Oi, all of you, what do you want to be? Oi!
context: Yes, let's!\Right??\That is S-Oke! Right?\Oh no! I have an interview in the afternoon!\I have an Introductory Meeting!\See you...\Wait...what are you suddenly up to, everybody?\Oi, all of you, what do you want to be? Oi! response:	Chiaki-Sama!
context: Right??\That is S-Oke! Right?\Oh no! I have an interview in the afternoon!\I have an Introductory Meeting!\See you...\Wait...what are you suddenly up to, everybody?\Oi, all of you, what do you want to be? Oi!\Chiaki-Sama! response:	Chiaki!
context: That is S-Oke! Right?\Oh no! I have an interview in the afternoon!\I have an Introductory Meeting!\See you...\Wait...what are you suddenly up to, everybody?\Oi, all of you, what do you want to be? Oi!\Chiaki-Sama!\Chiaki! response:	Long time no see!
context: Oh no! I have an interview in the afternoon!\I have an Introductory Meeting!\See you...\Wait...what are you suddenly up to, everybody?\Oi, all of you, what do you want to be? Oi!\Chiaki-Sama!\Chiaki!\Long time no see! response:	Yes.
context: I have an Introductory Meeting!\See you...\Wait...what are you suddenly up to, everybody?\Oi, all of you, what do you want to be? Oi!\Chiaki-Sama!\Chiaki!\Long time no see!\Yes. response:	Mine!
context: See you...\Wait...what are you suddenly up to, everybody?\Oi, all of you, what do you want to be? Oi!\Chiaki-Sama!\Chiaki!\Long time no see!\Yes.\Mine! response:	Are you still angry that Chiaki was in A-Oke?
context: Wait...what are you suddenly up to, everybody?\Oi, all of you, what do you want to be? Oi!\Chiaki-Sama!\Chiaki!\Long time no see!\Yes.\Mine!\Are you still angry that Chiaki was in A-Oke? response:	I'm not angry!
context: Oi, all of you, what do you want to be? Oi!\Chiaki-Sama!\Chiaki!\Long time no see!\Yes.\Mine!\Are you still angry that Chiaki was in A-Oke?\I'm not angry! response:	I am...
context: Chiaki-Sama!\Chiaki!\Long time no see!\Yes.\Mine!\Are you still angry that Chiaki was in A-Oke?\I'm not angry!\I am... response:	Aaahhh...I was impressed...
context: Chiaki!\Long time no see!\Yes.\Mine!\Are you still angry that Chiaki was in A-Oke?\I'm not angry!\I am...\Aaahhh...I was impressed... response:	It's...it's...it's the first time I was impressed, other than to my own performance!
context: Long time no see!\Yes.\Mine!\Are you still angry that Chiaki was in A-Oke?\I'm not angry!\I am...\Aaahhh...I was impressed...\It's...it's...it's the first time I was impressed, other than to my own performance! response:	As expected, you are really my best friend!!
context: Yes.\Mine!\Are you still angry that Chiaki was in A-Oke?\I'm not angry!\I am...\Aaahhh...I was impressed...\It's...it's...it's the first time I was impressed, other than to my own performance!\As expected, you are really my best friend!! response:	Huh? Since when did I become your best friend?
context: Mine!\Are you still angry that Chiaki was in A-Oke?\I'm not angry!\I am...\Aaahhh...I was impressed...\It's...it's...it's the first time I was impressed, other than to my own performance!\As expected, you are really my best friend!!\Huh? Since when did I become your best friend? response:	Um...I have a suggestion, if you don't mind...
context: Are you still angry that Chiaki was in A-Oke?\I'm not angry!\I am...\Aaahhh...I was impressed...\It's...it's...it's the first time I was impressed, other than to my own performance!\As expected, you are really my best friend!!\Huh? Since when did I become your best friend?\Um...I have a suggestion, if you don't mind... response:	What?
context: I'm not angry!\I am...\Aaahhh...I was impressed...\It's...it's...it's the first time I was impressed, other than to my own performance!\As expected, you are really my best friend!!\Huh? Since when did I become your best friend?\Um...I have a suggestion, if you don't mind...\What? response:	Ehhh??
context: I am...\Aaahhh...I was impressed...\It's...it's...it's the first time I was impressed, other than to my own performance!\As expected, you are really my best friend!!\Huh? Since when did I become your best friend?\Um...I have a suggestion, if you don't mind...\What?\Ehhh?? response:	Didn't Chiaki-Senpai come together with Nodame?
context: Aaahhh...I was impressed...\It's...it's...it's the first time I was impressed, other than to my own performance!\As expected, you are really my best friend!!\Huh? Since when did I become your best friend?\Um...I have a suggestion, if you don't mind...\What?\Ehhh??\Didn't Chiaki-Senpai come together with Nodame? response:	Huh?
context: It's...it's...it's the first time I was impressed, other than to my own performance!\As expected, you are really my best friend!!\Huh? Since when did I become your best friend?\Um...I have a suggestion, if you don't mind...\What?\Ehhh??\Didn't Chiaki-Senpai come together with Nodame?\Huh? response:	Since the School Festival, Nodame-chan has never come to school.
context: As expected, you are really my best friend!!\Huh? Since when did I become your best friend?\Um...I have a suggestion, if you don't mind...\What?\Ehhh??\Didn't Chiaki-Senpai come together with Nodame?\Huh?\Since the School Festival, Nodame-chan has never come to school. response:	Nodame?
context: Huh? Since when did I become your best friend?\Um...I have a suggestion, if you don't mind...\What?\Ehhh??\Didn't Chiaki-Senpai come together with Nodame?\Huh?\Since the School Festival, Nodame-chan has never come to school.\Nodame? response:	Hello?
context: Um...I have a suggestion, if you don't mind...\What?\Ehhh??\Didn't Chiaki-Senpai come together with Nodame?\Huh?\Since the School Festival, Nodame-chan has never come to school.\Nodame?\Hello? response:	Yes
context: What?\Ehhh??\Didn't Chiaki-Senpai come together with Nodame?\Huh?\Since the School Festival, Nodame-chan has never come to school.\Nodame?\Hello?\Yes response:	Yes...
context: Ehhh??\Didn't Chiaki-Senpai come together with Nodame?\Huh?\Since the School Festival, Nodame-chan has never come to school.\Nodame?\Hello?\Yes\Yes... response:	Publishing Editor Department Kawano Keeko
context: Didn't Chiaki-Senpai come together with Nodame?\Huh?\Since the School Festival, Nodame-chan has never come to school.\Nodame?\Hello?\Yes\Yes...\Publishing Editor Department Kawano Keeko response:	Ehh, so this is the restaurant Chiaki-kun often goes
context: Huh?\Since the School Festival, Nodame-chan has never come to school.\Nodame?\Hello?\Yes\Yes...\Publishing Editor Department Kawano Keeko\Ehh, so this is the restaurant Chiaki-kun often goes response:	Somehow it's different from his image
context: Since the School Festival, Nodame-chan has never come to school.\Nodame?\Hello?\Yes\Yes...\Publishing Editor Department Kawano Keeko\Ehh, so this is the restaurant Chiaki-kun often goes\Somehow it's different from his image response:	What would you like to have?
context: Nodame?\Hello?\Yes\Yes...\Publishing Editor Department Kawano Keeko\Ehh, so this is the restaurant Chiaki-kun often goes\Somehow it's different from his image\What would you like to have? response:	Clubhouse sandwich and expresso coffee, please
context: Hello?\Yes\Yes...\Publishing Editor Department Kawano Keeko\Ehh, so this is the restaurant Chiaki-kun often goes\Somehow it's different from his image\What would you like to have?\Clubhouse sandwich and expresso coffee, please response:	Eh?? Sandwich in a Chinese restaurant?
context: Yes\Yes...\Publishing Editor Department Kawano Keeko\Ehh, so this is the restaurant Chiaki-kun often goes\Somehow it's different from his image\What would you like to have?\Clubhouse sandwich and expresso coffee, please\Eh?? Sandwich in a Chinese restaurant? response:	Sure!
context: Yes...\Publishing Editor Department Kawano Keeko\Ehh, so this is the restaurant Chiaki-kun often goes\Somehow it's different from his image\What would you like to have?\Clubhouse sandwich and expresso coffee, please\Eh?? Sandwich in a Chinese restaurant?\Sure! response:	Eh?? There's sandwich here??
context: Publishing Editor Department Kawano Keeko\Ehh, so this is the restaurant Chiaki-kun often goes\Somehow it's different from his image\What would you like to have?\Clubhouse sandwich and expresso coffee, please\Eh?? Sandwich in a Chinese restaurant?\Sure!\Eh?? There's sandwich here?? response:	Now, what is it that a music magazine writer wants to talk to me about?
context: Ehh, so this is the restaurant Chiaki-kun often goes\Somehow it's different from his image\What would you like to have?\Clubhouse sandwich and expresso coffee, please\Eh?? Sandwich in a Chinese restaurant?\Sure!\Eh?? There's sandwich here??\Now, what is it that a music magazine writer wants to talk to me about? response:	Oh! Sorry to say it late...
context: Somehow it's different from his image\What would you like to have?\Clubhouse sandwich and expresso coffee, please\Eh?? Sandwich in a Chinese restaurant?\Sure!\Eh?? There's sandwich here??\Now, what is it that a music magazine writer wants to talk to me about?\Oh! Sorry to say it late... response:	I'm Sakuma Manabu, a music critic.
context: What would you like to have?\Clubhouse sandwich and expresso coffee, please\Eh?? Sandwich in a Chinese restaurant?\Sure!\Eh?? There's sandwich here??\Now, what is it that a music magazine writer wants to talk to me about?\Oh! Sorry to say it late...\I'm Sakuma Manabu, a music critic. response:	Music Critic Sakuma Manabu
context: Clubhouse sandwich and expresso coffee, please\Eh?? Sandwich in a Chinese restaurant?\Sure!\Eh?? There's sandwich here??\Now, what is it that a music magazine writer wants to talk to me about?\Oh! Sorry to say it late...\I'm Sakuma Manabu, a music critic.\Music Critic Sakuma Manabu response:	In fact Sakuma-san is writing serial articles for my magazine Classic Life
context: Eh?? Sandwich in a Chinese restaurant?\Sure!\Eh?? There's sandwich here??\Now, what is it that a music magazine writer wants to talk to me about?\Oh! Sorry to say it late...\I'm Sakuma Manabu, a music critic.\Music Critic Sakuma Manabu\In fact Sakuma-san is writing serial articles for my magazine Classic Life response:	but for next month's article, we asked him to write about Chiaki-kun!
context: Sure!\Eh?? There's sandwich here??\Now, what is it that a music magazine writer wants to talk to me about?\Oh! Sorry to say it late...\I'm Sakuma Manabu, a music critic.\Music Critic Sakuma Manabu\In fact Sakuma-san is writing serial articles for my magazine Classic Life\but for next month's article, we asked him to write about Chiaki-kun! response:	Eh?
context: Eh?? There's sandwich here??\Now, what is it that a music magazine writer wants to talk to me about?\Oh! Sorry to say it late...\I'm Sakuma Manabu, a music critic.\Music Critic Sakuma Manabu\In fact Sakuma-san is writing serial articles for my magazine Classic Life\but for next month's article, we asked him to write about Chiaki-kun!\Eh? response:	Dream Color Classic Serial Article 50th Anniversary
context: Now, what is it that a music magazine writer wants to talk to me about?\Oh! Sorry to say it late...\I'm Sakuma Manabu, a music critic.\Music Critic Sakuma Manabu\In fact Sakuma-san is writing serial articles for my magazine Classic Life\but for next month's article, we asked him to write about Chiaki-kun!\Eh?\Dream Color Classic Serial Article 50th Anniversary response:	With Pin-up!!
context: Oh! Sorry to say it late...\I'm Sakuma Manabu, a music critic.\Music Critic Sakuma Manabu\In fact Sakuma-san is writing serial articles for my magazine Classic Life\but for next month's article, we asked him to write about Chiaki-kun!\Eh?\Dream Color Classic Serial Article 50th Anniversary\With Pin-up!! response:	Sorry for not asking you first!
