context: So she merged with multiple copies of her consciousness at once? response:	- Nurse's Room
context: I'm dealing with it.\I sent Takeyama to the Angel Area, along with someone who can translate the manual.\Where are TK and Matsushita?\The nurse's office.\They're on lookout duty.\So TK's useless at English after all, huh...\So you're going to delete all the data, change the login password, and seal all her abilities?\That's just a temporary solution. response:	You know that, right?
context: I sent Takeyama to the Angel Area, along with someone who can translate the manual.\Where are TK and Matsushita?\The nurse's office.\They're on lookout duty.\So TK's useless at English after all, huh...\So you're going to delete all the data, change the login password, and seal all her abilities?\That's just a temporary solution.\You know that, right? response:	I know.
context: Where are TK and Matsushita?\The nurse's office.\They're on lookout duty.\So TK's useless at English after all, huh...\So you're going to delete all the data, change the login password, and seal all her abilities?\That's just a temporary solution.\You know that, right?\I know. response:	Our defenses will be broken through eventually, and she'll re - input the data.
context: The nurse's office.\They're on lookout duty.\So TK's useless at English after all, huh...\So you're going to delete all the data, change the login password, and seal all her abilities?\That's just a temporary solution.\You know that, right?\I know.\Our defenses will be broken through eventually, and she'll re - input the data. response:	We should just destroy the whole machine then.
context: They're on lookout duty.\So TK's useless at English after all, huh...\So you're going to delete all the data, change the login password, and seal all her abilities?\That's just a temporary solution.\You know that, right?\I know.\Our defenses will be broken through eventually, and she'll re - input the data.\We should just destroy the whole machine then. response:	The machine just came from the computer room.
context: So TK's useless at English after all, huh...\So you're going to delete all the data, change the login password, and seal all her abilities?\That's just a temporary solution.\You know that, right?\I know.\Our defenses will be broken through eventually, and she'll re - input the data.\We should just destroy the whole machine then.\The machine just came from the computer room. response:	There are plenty of replacements.
context: So you're going to delete all the data, change the login password, and seal all her abilities?\That's just a temporary solution.\You know that, right?\I know.\Our defenses will be broken through eventually, and she'll re - input the data.\We should just destroy the whole machine then.\The machine just came from the computer room.\There are plenty of replacements. response:	Same with the software.
context: That's just a temporary solution.\You know that, right?\I know.\Our defenses will be broken through eventually, and she'll re - input the data.\We should just destroy the whole machine then.\The machine just came from the computer room.\There are plenty of replacements.\Same with the software. response:	Damn!
context: You know that, right?\I know.\Our defenses will be broken through eventually, and she'll re - input the data.\We should just destroy the whole machine then.\The machine just came from the computer room.\There are plenty of replacements.\Same with the software.\Damn! response:	Oh?
context: I know.\Our defenses will be broken through eventually, and she'll re - input the data.\We should just destroy the whole machine then.\The machine just came from the computer room.\There are plenty of replacements.\Same with the software.\Damn!\Oh? response:	Everyone seems quite smart today!
context: Our defenses will be broken through eventually, and she'll re - input the data.\We should just destroy the whole machine then.\The machine just came from the computer room.\There are plenty of replacements.\Same with the software.\Damn!\Oh?\Everyone seems quite smart today! response:	Did you eat something bad?
context: We should just destroy the whole machine then.\The machine just came from the computer room.\There are plenty of replacements.\Same with the software.\Damn!\Oh?\Everyone seems quite smart today!\Did you eat something bad? response:	All we can do now is entrust things to fate.
context: The machine just came from the computer room.\There are plenty of replacements.\Same with the software.\Damn!\Oh?\Everyone seems quite smart today!\Did you eat something bad?\All we can do now is entrust things to fate. response:	Who will God side with?
context: There are plenty of replacements.\Same with the software.\Damn!\Oh?\Everyone seems quite smart today!\Did you eat something bad?\All we can do now is entrust things to fate.\Who will God side with? response:	Oh crap, I missed the university entrance exam...
context: Same with the software.\Damn!\Oh?\Everyone seems quite smart today!\Did you eat something bad?\All we can do now is entrust things to fate.\Who will God side with?\Oh crap, I missed the university entrance exam... response:	Hang in there!
context: Damn!\Oh?\Everyone seems quite smart today!\Did you eat something bad?\All we can do now is entrust things to fate.\Who will God side with?\Oh crap, I missed the university entrance exam...\Hang in there! response:	Hey!
context: Oh?\Everyone seems quite smart today!\Did you eat something bad?\All we can do now is entrust things to fate.\Who will God side with?\Oh crap, I missed the university entrance exam...\Hang in there!\Hey! response:	Are you okay?
context: Everyone seems quite smart today!\Did you eat something bad?\All we can do now is entrust things to fate.\Who will God side with?\Oh crap, I missed the university entrance exam...\Hang in there!\Hey!\Are you okay? response:	I feel a little light headed.
context: Did you eat something bad?\All we can do now is entrust things to fate.\Who will God side with?\Oh crap, I missed the university entrance exam...\Hang in there!\Hey!\Are you okay?\I feel a little light headed. response:	Your forehead's bleeding.
context: All we can do now is entrust things to fate.\Who will God side with?\Oh crap, I missed the university entrance exam...\Hang in there!\Hey!\Are you okay?\I feel a little light headed.\Your forehead's bleeding. response:	Do you feel faint?
context: Who will God side with?\Oh crap, I missed the university entrance exam...\Hang in there!\Hey!\Are you okay?\I feel a little light headed.\Your forehead's bleeding.\Do you feel faint? response:	I'm fine.
context: Oh crap, I missed the university entrance exam...\Hang in there!\Hey!\Are you okay?\I feel a little light headed.\Your forehead's bleeding.\Do you feel faint?\I'm fine. response:	How do you feel?
context: Hang in there!\Hey!\Are you okay?\I feel a little light headed.\Your forehead's bleeding.\Do you feel faint?\I'm fine.\How do you feel? response:	Are you nauseous?
context: Hey!\Are you okay?\I feel a little light headed.\Your forehead's bleeding.\Do you feel faint?\I'm fine.\How do you feel?\Are you nauseous? response:	No, I'm okay.
context: Are you okay?\I feel a little light headed.\Your forehead's bleeding.\Do you feel faint?\I'm fine.\How do you feel?\Are you nauseous?\No, I'm okay. response:	Are you a doctor?
context: I feel a little light headed.\Your forehead's bleeding.\Do you feel faint?\I'm fine.\How do you feel?\Are you nauseous?\No, I'm okay.\Are you a doctor? response:	No, just a student.
context: Your forehead's bleeding.\Do you feel faint?\I'm fine.\How do you feel?\Are you nauseous?\No, I'm okay.\Are you a doctor?\No, just a student. response:	Can you stand?
context: Do you feel faint?\I'm fine.\How do you feel?\Are you nauseous?\No, I'm okay.\Are you a doctor?\No, just a student.\Can you stand? response:	Yeah.
context: I'm fine.\How do you feel?\Are you nauseous?\No, I'm okay.\Are you a doctor?\No, just a student.\Can you stand?\Yeah. response:	Let's get out.
context: How do you feel?\Are you nauseous?\No, I'm okay.\Are you a doctor?\No, just a student.\Can you stand?\Yeah.\Let's get out. response:	Are you alright?
context: Are you nauseous?\No, I'm okay.\Are you a doctor?\No, just a student.\Can you stand?\Yeah.\Let's get out.\Are you alright? response:	Yeah, sorry.
context: No, I'm okay.\Are you a doctor?\No, just a student.\Can you stand?\Yeah.\Let's get out.\Are you alright?\Yeah, sorry. response:	This is bad.
context: Are you a doctor?\No, just a student.\Can you stand?\Yeah.\Let's get out.\Are you alright?\Yeah, sorry.\This is bad. response:	Yeah.
context: No, just a student.\Can you stand?\Yeah.\Let's get out.\Are you alright?\Yeah, sorry.\This is bad.\Yeah. response:	Anyway, we have to get help.
context: Can you stand?\Yeah.\Let's get out.\Are you alright?\Yeah, sorry.\This is bad.\Yeah.\Anyway, we have to get help. response:	Damn!
context: Yeah.\Let's get out.\Are you alright?\Yeah, sorry.\This is bad.\Yeah.\Anyway, we have to get help.\Damn! response:	No good?
context: Let's get out.\Are you alright?\Yeah, sorry.\This is bad.\Yeah.\Anyway, we have to get help.\Damn!\No good? response:	Let's save anyone left inside.
context: Are you alright?\Yeah, sorry.\This is bad.\Yeah.\Anyway, we have to get help.\Damn!\No good?\Let's save anyone left inside. response:	I'll help out.
context: Yeah, sorry.\This is bad.\Yeah.\Anyway, we have to get help.\Damn!\No good?\Let's save anyone left inside.\I'll help out. response:	Are you okay?
context: This is bad.\Yeah.\Anyway, we have to get help.\Damn!\No good?\Let's save anyone left inside.\I'll help out.\Are you okay? response:	Still a little unsteady.
context: Yeah.\Anyway, we have to get help.\Damn!\No good?\Let's save anyone left inside.\I'll help out.\Are you okay?\Still a little unsteady. response:	Igarashi's the name.
context: Anyway, we have to get help.\Damn!\No good?\Let's save anyone left inside.\I'll help out.\Are you okay?\Still a little unsteady.\Igarashi's the name. response:	I'm Otonashi.
context: Damn!\No good?\Let's save anyone left inside.\I'll help out.\Are you okay?\Still a little unsteady.\Igarashi's the name.\I'm Otonashi. response:	Let's hurry.
context: No good?\Let's save anyone left inside.\I'll help out.\Are you okay?\Still a little unsteady.\Igarashi's the name.\I'm Otonashi.\Let's hurry. response:	I wonder if we'll be saved...
context: Let's save anyone left inside.\I'll help out.\Are you okay?\Still a little unsteady.\Igarashi's the name.\I'm Otonashi.\Let's hurry.\I wonder if we'll be saved... response:	I'm going to look for an exit.
context: I'll help out.\Are you okay?\Still a little unsteady.\Igarashi's the name.\I'm Otonashi.\Let's hurry.\I wonder if we'll be saved...\I'm going to look for an exit. response:	If I can get out, I'll go get help.
context: Are you okay?\Still a little unsteady.\Igarashi's the name.\I'm Otonashi.\Let's hurry.\I wonder if we'll be saved...\I'm going to look for an exit.\If I can get out, I'll go get help. response:	I'll definitely come back, so I'm borrowing the flashlight for a bit.
context: Still a little unsteady.\Igarashi's the name.\I'm Otonashi.\Let's hurry.\I wonder if we'll be saved...\I'm going to look for an exit.\If I can get out, I'll go get help.\I'll definitely come back, so I'm borrowing the flashlight for a bit. response:	Alright, we're counting on you.
context: Igarashi's the name.\I'm Otonashi.\Let's hurry.\I wonder if we'll be saved...\I'm going to look for an exit.\If I can get out, I'll go get help.\I'll definitely come back, so I'm borrowing the flashlight for a bit.\Alright, we're counting on you. response:	Otonashi!
context: I'm Otonashi.\Let's hurry.\I wonder if we'll be saved...\I'm going to look for an exit.\If I can get out, I'll go get help.\I'll definitely come back, so I'm borrowing the flashlight for a bit.\Alright, we're counting on you.\Otonashi! response:	Let's get out of this!
context: Let's hurry.\I wonder if we'll be saved...\I'm going to look for an exit.\If I can get out, I'll go get help.\I'll definitely come back, so I'm borrowing the flashlight for a bit.\Alright, we're counting on you.\Otonashi!\Let's get out of this! response:	Yeah!
context: I wonder if we'll be saved...\I'm going to look for an exit.\If I can get out, I'll go get help.\I'll definitely come back, so I'm borrowing the flashlight for a bit.\Alright, we're counting on you.\Otonashi!\Let's get out of this!\Yeah! response:	Dammit!
context: I'm going to look for an exit.\If I can get out, I'll go get help.\I'll definitely come back, so I'm borrowing the flashlight for a bit.\Alright, we're counting on you.\Otonashi!\Let's get out of this!\Yeah!\Dammit! response:	What the hell is this?
context: If I can get out, I'll go get help.\I'll definitely come back, so I'm borrowing the flashlight for a bit.\Alright, we're counting on you.\Otonashi!\Let's get out of this!\Yeah!\Dammit!\What the hell is this? response:	Otonashi!
context: I'll definitely come back, so I'm borrowing the flashlight for a bit.\Alright, we're counting on you.\Otonashi!\Let's get out of this!\Yeah!\Dammit!\What the hell is this?\Otonashi! response:	How did it go?
context: Alright, we're counting on you.\Otonashi!\Let's get out of this!\Yeah!\Dammit!\What the hell is this?\Otonashi!\How did it go? response:	It didn't look good.
context: Otonashi!\Let's get out of this!\Yeah!\Dammit!\What the hell is this?\Otonashi!\How did it go?\It didn't look good. response:	I see.
context: Let's get out of this!\Yeah!\Dammit!\What the hell is this?\Otonashi!\How did it go?\It didn't look good.\I see. response:	Listen up everyone!
context: Yeah!\Dammit!\What the hell is this?\Otonashi!\How did it go?\It didn't look good.\I see.\Listen up everyone! response:	The tunnel is blocked by rubble both in front of us and behind us.
context: Dammit!\What the hell is this?\Otonashi!\How did it go?\It didn't look good.\I see.\Listen up everyone!\The tunnel is blocked by rubble both in front of us and behind us. response:	Cell phones have no signal and we can't contact anyone outside.
context: What the hell is this?\Otonashi!\How did it go?\It didn't look good.\I see.\Listen up everyone!\The tunnel is blocked by rubble both in front of us and behind us.\Cell phones have no signal and we can't contact anyone outside. response:	We have to work together on this, so please don't try to do anything alone!
context: Otonashi!\How did it go?\It didn't look good.\I see.\Listen up everyone!\The tunnel is blocked by rubble both in front of us and behind us.\Cell phones have no signal and we can't contact anyone outside.\We have to work together on this, so please don't try to do anything alone! response:	Let's collect any food supplies and water left and share it out evenly.
context: How did it go?\It didn't look good.\I see.\Listen up everyone!\The tunnel is blocked by rubble both in front of us and behind us.\Cell phones have no signal and we can't contact anyone outside.\We have to work together on this, so please don't try to do anything alone!\Let's collect any food supplies and water left and share it out evenly. response:	Wait a minute.
context: It didn't look good.\I see.\Listen up everyone!\The tunnel is blocked by rubble both in front of us and behind us.\Cell phones have no signal and we can't contact anyone outside.\We have to work together on this, so please don't try to do anything alone!\Let's collect any food supplies and water left and share it out evenly.\Wait a minute. response:	Since when were you in charge?
context: I see.\Listen up everyone!\The tunnel is blocked by rubble both in front of us and behind us.\Cell phones have no signal and we can't contact anyone outside.\We have to work together on this, so please don't try to do anything alone!\Let's collect any food supplies and water left and share it out evenly.\Wait a minute.\Since when were you in charge? response:	Who else could be?
context: Listen up everyone!\The tunnel is blocked by rubble both in front of us and behind us.\Cell phones have no signal and we can't contact anyone outside.\We have to work together on this, so please don't try to do anything alone!\Let's collect any food supplies and water left and share it out evenly.\Wait a minute.\Since when were you in charge?\Who else could be? response:	Who else can give instructions for medical care?
context: The tunnel is blocked by rubble both in front of us and behind us.\Cell phones have no signal and we can't contact anyone outside.\We have to work together on this, so please don't try to do anything alone!\Let's collect any food supplies and water left and share it out evenly.\Wait a minute.\Since when were you in charge?\Who else could be?\Who else can give instructions for medical care? response:	This guy knows medicine.
context: Cell phones have no signal and we can't contact anyone outside.\We have to work together on this, so please don't try to do anything alone!\Let's collect any food supplies and water left and share it out evenly.\Wait a minute.\Since when were you in charge?\Who else could be?\Who else can give instructions for medical care?\This guy knows medicine. response:	Don't tell me you intend to abandon the wounded?
context: We have to work together on this, so please don't try to do anything alone!\Let's collect any food supplies and water left and share it out evenly.\Wait a minute.\Since when were you in charge?\Who else could be?\Who else can give instructions for medical care?\This guy knows medicine.\Don't tell me you intend to abandon the wounded? response:	I wouldn't do that...
context: Let's collect any food supplies and water left and share it out evenly.\Wait a minute.\Since when were you in charge?\Who else could be?\Who else can give instructions for medical care?\This guy knows medicine.\Don't tell me you intend to abandon the wounded?\I wouldn't do that... response:	Help will definitely arrive, so we just have to hold out till then.
context: Wait a minute.\Since when were you in charge?\Who else could be?\Who else can give instructions for medical care?\This guy knows medicine.\Don't tell me you intend to abandon the wounded?\I wouldn't do that...\Help will definitely arrive, so we just have to hold out till then. response:	Let's stay in this together!
context: Since when were you in charge?\Who else could be?\Who else can give instructions for medical care?\This guy knows medicine.\Don't tell me you intend to abandon the wounded?\I wouldn't do that...\Help will definitely arrive, so we just have to hold out till then.\Let's stay in this together! response:	Tell me if you're thirsty!
context: Who else could be?\Who else can give instructions for medical care?\This guy knows medicine.\Don't tell me you intend to abandon the wounded?\I wouldn't do that...\Help will definitely arrive, so we just have to hold out till then.\Let's stay in this together!\Tell me if you're thirsty! response:	We'll tell you when it's time to eat.
context: Who else can give instructions for medical care?\This guy knows medicine.\Don't tell me you intend to abandon the wounded?\I wouldn't do that...\Help will definitely arrive, so we just have to hold out till then.\Let's stay in this together!\Tell me if you're thirsty!\We'll tell you when it's time to eat. response:	Anyone who feels sick, call Otonashi.
context: This guy knows medicine.\Don't tell me you intend to abandon the wounded?\I wouldn't do that...\Help will definitely arrive, so we just have to hold out till then.\Let's stay in this together!\Tell me if you're thirsty!\We'll tell you when it's time to eat.\Anyone who feels sick, call Otonashi. response:	Hold out just a little longer.
context: Don't tell me you intend to abandon the wounded?\I wouldn't do that...\Help will definitely arrive, so we just have to hold out till then.\Let's stay in this together!\Tell me if you're thirsty!\We'll tell you when it's time to eat.\Anyone who feels sick, call Otonashi.\Hold out just a little longer. response:	If you need anything, call me.
context: I wouldn't do that...\Help will definitely arrive, so we just have to hold out till then.\Let's stay in this together!\Tell me if you're thirsty!\We'll tell you when it's time to eat.\Anyone who feels sick, call Otonashi.\Hold out just a little longer.\If you need anything, call me. response:	Otonashi.
context: Help will definitely arrive, so we just have to hold out till then.\Let's stay in this together!\Tell me if you're thirsty!\We'll tell you when it's time to eat.\Anyone who feels sick, call Otonashi.\Hold out just a little longer.\If you need anything, call me.\Otonashi. response:	How are we for food?
context: Let's stay in this together!\Tell me if you're thirsty!\We'll tell you when it's time to eat.\Anyone who feels sick, call Otonashi.\Hold out just a little longer.\If you need anything, call me.\Otonashi.\How are we for food? response:	We have a few packed lunches and some candy.
context: Tell me if you're thirsty!\We'll tell you when it's time to eat.\Anyone who feels sick, call Otonashi.\Hold out just a little longer.\If you need anything, call me.\Otonashi.\How are we for food?\We have a few packed lunches and some candy. response:	For liquids, we only have 5 or 6 bottles of water and a bottle of tea.
context: We'll tell you when it's time to eat.\Anyone who feels sick, call Otonashi.\Hold out just a little longer.\If you need anything, call me.\Otonashi.\How are we for food?\We have a few packed lunches and some candy.\For liquids, we only have 5 or 6 bottles of water and a bottle of tea. response:	Three days at best...
context: Anyone who feels sick, call Otonashi.\Hold out just a little longer.\If you need anything, call me.\Otonashi.\How are we for food?\We have a few packed lunches and some candy.\For liquids, we only have 5 or 6 bottles of water and a bottle of tea.\Three days at best... response:	But you really are something.
context: Hold out just a little longer.\If you need anything, call me.\Otonashi.\How are we for food?\We have a few packed lunches and some candy.\For liquids, we only have 5 or 6 bottles of water and a bottle of tea.\Three days at best...\But you really are something. response:	What?
context: If you need anything, call me.\Otonashi.\How are we for food?\We have a few packed lunches and some candy.\For liquids, we only have 5 or 6 bottles of water and a bottle of tea.\Three days at best...\But you really are something.\What? response:	You have such devotion.
context: Otonashi.\How are we for food?\We have a few packed lunches and some candy.\For liquids, we only have 5 or 6 bottles of water and a bottle of tea.\Three days at best...\But you really are something.\What?\You have such devotion. response:	Are you aiming to do humanitarian work abroad?
