context: What? response:	A pincer attack!
context: Kamogawa!\Let's see how good the pilot\who is pledged to the legendary Ovid really is.\Vox Aura is now engaged in close-range combat with enemy unit three.\Lan Blooms in Kamogawa\Lan Blooms in Kamogawa\The Municipal Fire and Disaster Management Department has issued\an evacuation order for all Kamogawa residents. response:	Can you do it, my lady?
context: Let's see how good the pilot\who is pledged to the legendary Ovid really is.\Vox Aura is now engaged in close-range combat with enemy unit three.\Lan Blooms in Kamogawa\Lan Blooms in Kamogawa\The Municipal Fire and Disaster Management Department has issued\an evacuation order for all Kamogawa residents.\Can you do it, my lady? response:	You're afraid of the legend.
context: who is pledged to the legendary Ovid really is.\Vox Aura is now engaged in close-range combat with enemy unit three.\Lan Blooms in Kamogawa\Lan Blooms in Kamogawa\The Municipal Fire and Disaster Management Department has issued\an evacuation order for all Kamogawa residents.\Can you do it, my lady?\You're afraid of the legend. response:	Can you really handle the Vox in your current state?
context: Vox Aura is now engaged in close-range combat with enemy unit three.\Lan Blooms in Kamogawa\Lan Blooms in Kamogawa\The Municipal Fire and Disaster Management Department has issued\an evacuation order for all Kamogawa residents.\Can you do it, my lady?\You're afraid of the legend.\Can you really handle the Vox in your current state? response:	It's impossible, isn't it?
context: Lan Blooms in Kamogawa\Lan Blooms in Kamogawa\The Municipal Fire and Disaster Management Department has issued\an evacuation order for all Kamogawa residents.\Can you do it, my lady?\You're afraid of the legend.\Can you really handle the Vox in your current state?\It's impossible, isn't it? response:	You were unable to activate the Vox System despite trying countless times.
context: Lan Blooms in Kamogawa\The Municipal Fire and Disaster Management Department has issued\an evacuation order for all Kamogawa residents.\Can you do it, my lady?\You're afraid of the legend.\Can you really handle the Vox in your current state?\It's impossible, isn't it?\You were unable to activate the Vox System despite trying countless times. response:	You couldn't transform Lympha into Warrior Mode.
context: The Municipal Fire and Disaster Management Department has issued\an evacuation order for all Kamogawa residents.\Can you do it, my lady?\You're afraid of the legend.\Can you really handle the Vox in your current state?\It's impossible, isn't it?\You were unable to activate the Vox System despite trying countless times.\You couldn't transform Lympha into Warrior Mode. response:	My lady, you weren't able to overcome your fear.
context: an evacuation order for all Kamogawa residents.\Can you do it, my lady?\You're afraid of the legend.\Can you really handle the Vox in your current state?\It's impossible, isn't it?\You were unable to activate the Vox System despite trying countless times.\You couldn't transform Lympha into Warrior Mode.\My lady, you weren't able to overcome your fear. response:	Madoka doesn't know the legend.
context: Can you do it, my lady?\You're afraid of the legend.\Can you really handle the Vox in your current state?\It's impossible, isn't it?\You were unable to activate the Vox System despite trying countless times.\You couldn't transform Lympha into Warrior Mode.\My lady, you weren't able to overcome your fear.\Madoka doesn't know the legend. response:	That's why she can pilot Aura so well.
context: You're afraid of the legend.\Can you really handle the Vox in your current state?\It's impossible, isn't it?\You were unable to activate the Vox System despite trying countless times.\You couldn't transform Lympha into Warrior Mode.\My lady, you weren't able to overcome your fear.\Madoka doesn't know the legend.\That's why she can pilot Aura so well. response:	That's right.
context: Can you really handle the Vox in your current state?\It's impossible, isn't it?\You were unable to activate the Vox System despite trying countless times.\You couldn't transform Lympha into Warrior Mode.\My lady, you weren't able to overcome your fear.\Madoka doesn't know the legend.\That's why she can pilot Aura so well.\That's right. response:	She doesn't know.
context: It's impossible, isn't it?\You were unable to activate the Vox System despite trying countless times.\You couldn't transform Lympha into Warrior Mode.\My lady, you weren't able to overcome your fear.\Madoka doesn't know the legend.\That's why she can pilot Aura so well.\That's right.\She doesn't know. response:	Enemy unit two has fallen out of range.
context: You were unable to activate the Vox System despite trying countless times.\You couldn't transform Lympha into Warrior Mode.\My lady, you weren't able to overcome your fear.\Madoka doesn't know the legend.\That's why she can pilot Aura so well.\That's right.\She doesn't know.\Enemy unit two has fallen out of range. response:	Two enemy Ovid units remain within the battle zone.
context: You couldn't transform Lympha into Warrior Mode.\My lady, you weren't able to overcome your fear.\Madoka doesn't know the legend.\That's why she can pilot Aura so well.\That's right.\She doesn't know.\Enemy unit two has fallen out of range.\Two enemy Ovid units remain within the battle zone. response:	So the first one is underwater.
context: My lady, you weren't able to overcome your fear.\Madoka doesn't know the legend.\That's why she can pilot Aura so well.\That's right.\She doesn't know.\Enemy unit two has fallen out of range.\Two enemy Ovid units remain within the battle zone.\So the first one is underwater. response:	Do you think it's an attempt to rescue the detained unit one and its pilot?
context: Madoka doesn't know the legend.\That's why she can pilot Aura so well.\That's right.\She doesn't know.\Enemy unit two has fallen out of range.\Two enemy Ovid units remain within the battle zone.\So the first one is underwater.\Do you think it's an attempt to rescue the detained unit one and its pilot? response:	Expand the sea gauge sensors in the surrounding area to full scale!
context: That's why she can pilot Aura so well.\That's right.\She doesn't know.\Enemy unit two has fallen out of range.\Two enemy Ovid units remain within the battle zone.\So the first one is underwater.\Do you think it's an attempt to rescue the detained unit one and its pilot?\Expand the sea gauge sensors in the surrounding area to full scale! response:	And force Vox back into Piercer Mode!
context: That's right.\She doesn't know.\Enemy unit two has fallen out of range.\Two enemy Ovid units remain within the battle zone.\So the first one is underwater.\Do you think it's an attempt to rescue the detained unit one and its pilot?\Expand the sea gauge sensors in the surrounding area to full scale!\And force Vox back into Piercer Mode! response:	Get her out of the area by using the AI remote.
context: She doesn't know.\Enemy unit two has fallen out of range.\Two enemy Ovid units remain within the battle zone.\So the first one is underwater.\Do you think it's an attempt to rescue the detained unit one and its pilot?\Expand the sea gauge sensors in the surrounding area to full scale!\And force Vox back into Piercer Mode!\Get her out of the area by using the AI remote. response:	It's no use, sir!
context: Enemy unit two has fallen out of range.\Two enemy Ovid units remain within the battle zone.\So the first one is underwater.\Do you think it's an attempt to rescue the detained unit one and its pilot?\Expand the sea gauge sensors in the surrounding area to full scale!\And force Vox back into Piercer Mode!\Get her out of the area by using the AI remote.\It's no use, sir! response:	Our signals are being overridden by the pilot's telepathic control waves.
context: Two enemy Ovid units remain within the battle zone.\So the first one is underwater.\Do you think it's an attempt to rescue the detained unit one and its pilot?\Expand the sea gauge sensors in the surrounding area to full scale!\And force Vox back into Piercer Mode!\Get her out of the area by using the AI remote.\It's no use, sir!\Our signals are being overridden by the pilot's telepathic control waves. response:	Great... If only a certain princess were a little more useful,
context: So the first one is underwater.\Do you think it's an attempt to rescue the detained unit one and its pilot?\Expand the sea gauge sensors in the surrounding area to full scale!\And force Vox back into Piercer Mode!\Get her out of the area by using the AI remote.\It's no use, sir!\Our signals are being overridden by the pilot's telepathic control waves.\Great... If only a certain princess were a little more useful, response:	then we wouldn't have to rely on a complete amateur to handle everything on her own!
context: Do you think it's an attempt to rescue the detained unit one and its pilot?\Expand the sea gauge sensors in the surrounding area to full scale!\And force Vox back into Piercer Mode!\Get her out of the area by using the AI remote.\It's no use, sir!\Our signals are being overridden by the pilot's telepathic control waves.\Great... If only a certain princess were a little more useful,\then we wouldn't have to rely on a complete amateur to handle everything on her own! response:	Whoa!
context: Expand the sea gauge sensors in the surrounding area to full scale!\And force Vox back into Piercer Mode!\Get her out of the area by using the AI remote.\It's no use, sir!\Our signals are being overridden by the pilot's telepathic control waves.\Great... If only a certain princess were a little more useful,\then we wouldn't have to rely on a complete amateur to handle everything on her own!\Whoa! response:	I'm not done yet!
context: And force Vox back into Piercer Mode!\Get her out of the area by using the AI remote.\It's no use, sir!\Our signals are being overridden by the pilot's telepathic control waves.\Great... If only a certain princess were a little more useful,\then we wouldn't have to rely on a complete amateur to handle everything on her own!\Whoa!\I'm not done yet! response:	Is this the power of the Vox?
context: Get her out of the area by using the AI remote.\It's no use, sir!\Our signals are being overridden by the pilot's telepathic control waves.\Great... If only a certain princess were a little more useful,\then we wouldn't have to rely on a complete amateur to handle everything on her own!\Whoa!\I'm not done yet!\Is this the power of the Vox? response:	She's been hit.
context: It's no use, sir!\Our signals are being overridden by the pilot's telepathic control waves.\Great... If only a certain princess were a little more useful,\then we wouldn't have to rely on a complete amateur to handle everything on her own!\Whoa!\I'm not done yet!\Is this the power of the Vox?\She's been hit. response:	Ouch! I should have asked Erika to let me practice that move.
context: Our signals are being overridden by the pilot's telepathic control waves.\Great... If only a certain princess were a little more useful,\then we wouldn't have to rely on a complete amateur to handle everything on her own!\Whoa!\I'm not done yet!\Is this the power of the Vox?\She's been hit.\Ouch! I should have asked Erika to let me practice that move. response:	Oh no!
context: Great... If only a certain princess were a little more useful,\then we wouldn't have to rely on a complete amateur to handle everything on her own!\Whoa!\I'm not done yet!\Is this the power of the Vox?\She's been hit.\Ouch! I should have asked Erika to let me practice that move.\Oh no! response:	Grandpa Nagase's peanut farm!
context: then we wouldn't have to rely on a complete amateur to handle everything on her own!\Whoa!\I'm not done yet!\Is this the power of the Vox?\She's been hit.\Ouch! I should have asked Erika to let me practice that move.\Oh no!\Grandpa Nagase's peanut farm! response:	I'm so sorry, Grandpa Nagase.
context: Whoa!\I'm not done yet!\Is this the power of the Vox?\She's been hit.\Ouch! I should have asked Erika to let me practice that move.\Oh no!\Grandpa Nagase's peanut farm!\I'm so sorry, Grandpa Nagase. response:	I'll treat you to some seaweed with sesame next time!
context: I'm not done yet!\Is this the power of the Vox?\She's been hit.\Ouch! I should have asked Erika to let me practice that move.\Oh no!\Grandpa Nagase's peanut farm!\I'm so sorry, Grandpa Nagase.\I'll treat you to some seaweed with sesame next time! response:	You are indeed worthy to be the pilot of the Vox.
context: Is this the power of the Vox?\She's been hit.\Ouch! I should have asked Erika to let me practice that move.\Oh no!\Grandpa Nagase's peanut farm!\I'm so sorry, Grandpa Nagase.\I'll treat you to some seaweed with sesame next time!\You are indeed worthy to be the pilot of the Vox. response:	You instantly reacted to my Non-Lethal Mode Strike and boldly took action. I'm impressed.
context: She's been hit.\Ouch! I should have asked Erika to let me practice that move.\Oh no!\Grandpa Nagase's peanut farm!\I'm so sorry, Grandpa Nagase.\I'll treat you to some seaweed with sesame next time!\You are indeed worthy to be the pilot of the Vox.\You instantly reacted to my Non-Lethal Mode Strike and boldly took action. I'm impressed. response:	Huh?
context: Ouch! I should have asked Erika to let me practice that move.\Oh no!\Grandpa Nagase's peanut farm!\I'm so sorry, Grandpa Nagase.\I'll treat you to some seaweed with sesame next time!\You are indeed worthy to be the pilot of the Vox.\You instantly reacted to my Non-Lethal Mode Strike and boldly took action. I'm impressed.\Huh? response:	I've never seen such a move.
context: Oh no!\Grandpa Nagase's peanut farm!\I'm so sorry, Grandpa Nagase.\I'll treat you to some seaweed with sesame next time!\You are indeed worthy to be the pilot of the Vox.\You instantly reacted to my Non-Lethal Mode Strike and boldly took action. I'm impressed.\Huh?\I've never seen such a move. response:	Are you, by any chance, a pilot of this planet?
context: Grandpa Nagase's peanut farm!\I'm so sorry, Grandpa Nagase.\I'll treat you to some seaweed with sesame next time!\You are indeed worthy to be the pilot of the Vox.\You instantly reacted to my Non-Lethal Mode Strike and boldly took action. I'm impressed.\Huh?\I've never seen such a move.\Are you, by any chance, a pilot of this planet? response:	So what if I am?
context: I'm so sorry, Grandpa Nagase.\I'll treat you to some seaweed with sesame next time!\You are indeed worthy to be the pilot of the Vox.\You instantly reacted to my Non-Lethal Mode Strike and boldly took action. I'm impressed.\Huh?\I've never seen such a move.\Are you, by any chance, a pilot of this planet?\So what if I am? response:	This is a warning.
context: I'll treat you to some seaweed with sesame next time!\You are indeed worthy to be the pilot of the Vox.\You instantly reacted to my Non-Lethal Mode Strike and boldly took action. I'm impressed.\Huh?\I've never seen such a move.\Are you, by any chance, a pilot of this planet?\So what if I am?\This is a warning. response:	I don't know what you were told by the ones from Le Garite,
context: You are indeed worthy to be the pilot of the Vox.\You instantly reacted to my Non-Lethal Mode Strike and boldly took action. I'm impressed.\Huh?\I've never seen such a move.\Are you, by any chance, a pilot of this planet?\So what if I am?\This is a warning.\I don't know what you were told by the ones from Le Garite, response:	but we have no wish to harm you people.
context: You instantly reacted to my Non-Lethal Mode Strike and boldly took action. I'm impressed.\Huh?\I've never seen such a move.\Are you, by any chance, a pilot of this planet?\So what if I am?\This is a warning.\I don't know what you were told by the ones from Le Garite,\but we have no wish to harm you people. response:	All we want is for you to come to our planet.
context: Huh?\I've never seen such a move.\Are you, by any chance, a pilot of this planet?\So what if I am?\This is a warning.\I don't know what you were told by the ones from Le Garite,\but we have no wish to harm you people.\All we want is for you to come to our planet. response:	How about an I'm sorry?
context: I've never seen such a move.\Are you, by any chance, a pilot of this planet?\So what if I am?\This is a warning.\I don't know what you were told by the ones from Le Garite,\but we have no wish to harm you people.\All we want is for you to come to our planet.\How about an I'm sorry? response:	First, to Grandpa Nagase and his peanut farm.
context: Are you, by any chance, a pilot of this planet?\So what if I am?\This is a warning.\I don't know what you were told by the ones from Le Garite,\but we have no wish to harm you people.\All we want is for you to come to our planet.\How about an I'm sorry?\First, to Grandpa Nagase and his peanut farm. response:	Second, to everyone in Kamogawa. You owe them an apology!
context: So what if I am?\This is a warning.\I don't know what you were told by the ones from Le Garite,\but we have no wish to harm you people.\All we want is for you to come to our planet.\How about an I'm sorry?\First, to Grandpa Nagase and his peanut farm.\Second, to everyone in Kamogawa. You owe them an apology! response:	Never mind that.
context: This is a warning.\I don't know what you were told by the ones from Le Garite,\but we have no wish to harm you people.\All we want is for you to come to our planet.\How about an I'm sorry?\First, to Grandpa Nagase and his peanut farm.\Second, to everyone in Kamogawa. You owe them an apology!\Never mind that. response:	Never mind that?
context: I don't know what you were told by the ones from Le Garite,\but we have no wish to harm you people.\All we want is for you to come to our planet.\How about an I'm sorry?\First, to Grandpa Nagase and his peanut farm.\Second, to everyone in Kamogawa. You owe them an apology!\Never mind that.\Never mind that? response:	You drop out of the sky suddenly and scare everyone half to death.
context: but we have no wish to harm you people.\All we want is for you to come to our planet.\How about an I'm sorry?\First, to Grandpa Nagase and his peanut farm.\Second, to everyone in Kamogawa. You owe them an apology!\Never mind that.\Never mind that?\You drop out of the sky suddenly and scare everyone half to death. response:	How can you be like that? Huh?
context: All we want is for you to come to our planet.\How about an I'm sorry?\First, to Grandpa Nagase and his peanut farm.\Second, to everyone in Kamogawa. You owe them an apology!\Never mind that.\Never mind that?\You drop out of the sky suddenly and scare everyone half to death.\How can you be like that? Huh? response:	You think the crisis on your planet is more important?!
context: How about an I'm sorry?\First, to Grandpa Nagase and his peanut farm.\Second, to everyone in Kamogawa. You owe them an apology!\Never mind that.\Never mind that?\You drop out of the sky suddenly and scare everyone half to death.\How can you be like that? Huh?\You think the crisis on your planet is more important?! response:	What's that supposed to mean?
context: First, to Grandpa Nagase and his peanut farm.\Second, to everyone in Kamogawa. You owe them an apology!\Never mind that.\Never mind that?\You drop out of the sky suddenly and scare everyone half to death.\How can you be like that? Huh?\You think the crisis on your planet is more important?!\What's that supposed to mean? response:	Why can't we hear the enemy transmission?
context: Second, to everyone in Kamogawa. You owe them an apology!\Never mind that.\Never mind that?\You drop out of the sky suddenly and scare everyone half to death.\How can you be like that? Huh?\You think the crisis on your planet is more important?!\What's that supposed to mean?\Why can't we hear the enemy transmission? response:	It must be a secure line.
context: Never mind that.\Never mind that?\You drop out of the sky suddenly and scare everyone half to death.\How can you be like that? Huh?\You think the crisis on your planet is more important?!\What's that supposed to mean?\Why can't we hear the enemy transmission?\It must be a secure line. response:	What do you mean big and small?
context: Never mind that?\You drop out of the sky suddenly and scare everyone half to death.\How can you be like that? Huh?\You think the crisis on your planet is more important?!\What's that supposed to mean?\Why can't we hear the enemy transmission?\It must be a secure line.\What do you mean big and small? response:	The love people have for this town is just as strong as yours!
context: You drop out of the sky suddenly and scare everyone half to death.\How can you be like that? Huh?\You think the crisis on your planet is more important?!\What's that supposed to mean?\Why can't we hear the enemy transmission?\It must be a secure line.\What do you mean big and small?\The love people have for this town is just as strong as yours! response:	So you're saying you won't listen to my request?
context: How can you be like that? Huh?\You think the crisis on your planet is more important?!\What's that supposed to mean?\Why can't we hear the enemy transmission?\It must be a secure line.\What do you mean big and small?\The love people have for this town is just as strong as yours!\So you're saying you won't listen to my request? response:	You're in for a big surprise if you think the Sweats Club blindly listens to every request!
context: You think the crisis on your planet is more important?!\What's that supposed to mean?\Why can't we hear the enemy transmission?\It must be a secure line.\What do you mean big and small?\The love people have for this town is just as strong as yours!\So you're saying you won't listen to my request?\You're in for a big surprise if you think the Sweats Club blindly listens to every request! response:	Sweats Club?
context: What's that supposed to mean?\Why can't we hear the enemy transmission?\It must be a secure line.\What do you mean big and small?\The love people have for this town is just as strong as yours!\So you're saying you won't listen to my request?\You're in for a big surprise if you think the Sweats Club blindly listens to every request!\Sweats Club? response:	So I have no choice but to turn you down.
context: Why can't we hear the enemy transmission?\It must be a secure line.\What do you mean big and small?\The love people have for this town is just as strong as yours!\So you're saying you won't listen to my request?\You're in for a big surprise if you think the Sweats Club blindly listens to every request!\Sweats Club?\So I have no choice but to turn you down. response:	That's unfortunate.
context: It must be a secure line.\What do you mean big and small?\The love people have for this town is just as strong as yours!\So you're saying you won't listen to my request?\You're in for a big surprise if you think the Sweats Club blindly listens to every request!\Sweats Club?\So I have no choice but to turn you down.\That's unfortunate. response:	I have no choice...
context: What do you mean big and small?\The love people have for this town is just as strong as yours!\So you're saying you won't listen to my request?\You're in for a big surprise if you think the Sweats Club blindly listens to every request!\Sweats Club?\So I have no choice but to turn you down.\That's unfortunate.\I have no choice... response:	but to let you have it!
context: The love people have for this town is just as strong as yours!\So you're saying you won't listen to my request?\You're in for a big surprise if you think the Sweats Club blindly listens to every request!\Sweats Club?\So I have no choice but to turn you down.\That's unfortunate.\I have no choice...\but to let you have it! response:	If I remember correctly, the Ayanokoji family on 7th Street demolished their old house and are rebuilding it
context: So you're saying you won't listen to my request?\You're in for a big surprise if you think the Sweats Club blindly listens to every request!\Sweats Club?\So I have no choice but to turn you down.\That's unfortunate.\I have no choice...\but to let you have it!\If I remember correctly, the Ayanokoji family on 7th Street demolished their old house and are rebuilding it response:	so their lot should be vacant now.
context: You're in for a big surprise if you think the Sweats Club blindly listens to every request!\Sweats Club?\So I have no choice but to turn you down.\That's unfortunate.\I have no choice...\but to let you have it!\If I remember correctly, the Ayanokoji family on 7th Street demolished their old house and are rebuilding it\so their lot should be vacant now. response:	I've got to hand it to them!
context: Sweats Club?\So I have no choice but to turn you down.\That's unfortunate.\I have no choice...\but to let you have it!\If I remember correctly, the Ayanokoji family on 7th Street demolished their old house and are rebuilding it\so their lot should be vacant now.\I've got to hand it to them! response:	This is a really nice and large empty lot!
context: So I have no choice but to turn you down.\That's unfortunate.\I have no choice...\but to let you have it!\If I remember correctly, the Ayanokoji family on 7th Street demolished their old house and are rebuilding it\so their lot should be vacant now.\I've got to hand it to them!\This is a really nice and large empty lot! response:	Vox Aura has resumed close-range combat with enemy unit three!
context: That's unfortunate.\I have no choice...\but to let you have it!\If I remember correctly, the Ayanokoji family on 7th Street demolished their old house and are rebuilding it\so their lot should be vacant now.\I've got to hand it to them!\This is a really nice and large empty lot!\Vox Aura has resumed close-range combat with enemy unit three! response:	If I didn't know
context: I have no choice...\but to let you have it!\If I remember correctly, the Ayanokoji family on 7th Street demolished their old house and are rebuilding it\so their lot should be vacant now.\I've got to hand it to them!\This is a really nice and large empty lot!\Vox Aura has resumed close-range combat with enemy unit three!\If I didn't know response:	about the fate that awaits those who fight alongside the Vox,
context: but to let you have it!\If I remember correctly, the Ayanokoji family on 7th Street demolished their old house and are rebuilding it\so their lot should be vacant now.\I've got to hand it to them!\This is a really nice and large empty lot!\Vox Aura has resumed close-range combat with enemy unit three!\If I didn't know\about the fate that awaits those who fight alongside the Vox, response:	then I could be like Madoka.
context: If I remember correctly, the Ayanokoji family on 7th Street demolished their old house and are rebuilding it\so their lot should be vacant now.\I've got to hand it to them!\This is a really nice and large empty lot!\Vox Aura has resumed close-range combat with enemy unit three!\If I didn't know\about the fate that awaits those who fight alongside the Vox,\then I could be like Madoka. response:	Aura is unable to escape the enemy's assault!
context: so their lot should be vacant now.\I've got to hand it to them!\This is a really nice and large empty lot!\Vox Aura has resumed close-range combat with enemy unit three!\If I didn't know\about the fate that awaits those who fight alongside the Vox,\then I could be like Madoka.\Aura is unable to escape the enemy's assault! response:	The pilot's respiratory and circulatory readings will reach dangerous levels shortly.
context: I've got to hand it to them!\This is a really nice and large empty lot!\Vox Aura has resumed close-range combat with enemy unit three!\If I didn't know\about the fate that awaits those who fight alongside the Vox,\then I could be like Madoka.\Aura is unable to escape the enemy's assault!\The pilot's respiratory and circulatory readings will reach dangerous levels shortly. response:	No, that's not it.
context: This is a really nice and large empty lot!\Vox Aura has resumed close-range combat with enemy unit three!\If I didn't know\about the fate that awaits those who fight alongside the Vox,\then I could be like Madoka.\Aura is unable to escape the enemy's assault!\The pilot's respiratory and circulatory readings will reach dangerous levels shortly.\No, that's not it. response:	She is...
context: Vox Aura has resumed close-range combat with enemy unit three!\If I didn't know\about the fate that awaits those who fight alongside the Vox,\then I could be like Madoka.\Aura is unable to escape the enemy's assault!\The pilot's respiratory and circulatory readings will reach dangerous levels shortly.\No, that's not it.\She is... response:	There's a warning on the Catapult Conveyor!
context: If I didn't know\about the fate that awaits those who fight alongside the Vox,\then I could be like Madoka.\Aura is unable to escape the enemy's assault!\The pilot's respiratory and circulatory readings will reach dangerous levels shortly.\No, that's not it.\She is...\There's a warning on the Catapult Conveyor! response:	What?!
context: about the fate that awaits those who fight alongside the Vox,\then I could be like Madoka.\Aura is unable to escape the enemy's assault!\The pilot's respiratory and circulatory readings will reach dangerous levels shortly.\No, that's not it.\She is...\There's a warning on the Catapult Conveyor!\What?! response:	Vox Lympha has entered into T.O. sequence!
context: then I could be like Madoka.\Aura is unable to escape the enemy's assault!\The pilot's respiratory and circulatory readings will reach dangerous levels shortly.\No, that's not it.\She is...\There's a warning on the Catapult Conveyor!\What?!\Vox Lympha has entered into T.O. sequence! response:	What are you trying to do, my lady?
context: Aura is unable to escape the enemy's assault!\The pilot's respiratory and circulatory readings will reach dangerous levels shortly.\No, that's not it.\She is...\There's a warning on the Catapult Conveyor!\What?!\Vox Lympha has entered into T.O. sequence!\What are you trying to do, my lady? response:	I already told you.
context: The pilot's respiratory and circulatory readings will reach dangerous levels shortly.\No, that's not it.\She is...\There's a warning on the Catapult Conveyor!\What?!\Vox Lympha has entered into T.O. sequence!\What are you trying to do, my lady?\I already told you. response:	Even if you go, there is nothing you can do.
context: No, that's not it.\She is...\There's a warning on the Catapult Conveyor!\What?!\Vox Lympha has entered into T.O. sequence!\What are you trying to do, my lady?\I already told you.\Even if you go, there is nothing you can do. response:	Perhaps there's nothing I can do, but there's something I must do.
context: She is...\There's a warning on the Catapult Conveyor!\What?!\Vox Lympha has entered into T.O. sequence!\What are you trying to do, my lady?\I already told you.\Even if you go, there is nothing you can do.\Perhaps there's nothing I can do, but there's something I must do. response:	Because Madoka can't even be scared.
