context: Gather round! response:	Our first game today is with Nekoma.
context: Simply put, we haven't won a single set.\But if we calm down and go out there in full force,\they should be opponents we can fight on equal footing.\Hinata and Kageyama, this is your first Nekoma set in a while, isn't it?\Go show'em what you've got.\Right!\Okay, we're good to go.\Nice serve, Fukunaga! response:	I'll be the first one to stop your quick tomorrow, Hinata.
context: But if we calm down and go out there in full force,\they should be opponents we can fight on equal footing.\Hinata and Kageyama, this is your first Nekoma set in a while, isn't it?\Go show'em what you've got.\Right!\Okay, we're good to go.\Nice serve, Fukunaga!\I'll be the first one to stop your quick tomorrow, Hinata. response:	Come on! Bring it!
context: they should be opponents we can fight on equal footing.\Hinata and Kageyama, this is your first Nekoma set in a while, isn't it?\Go show'em what you've got.\Right!\Okay, we're good to go.\Nice serve, Fukunaga!\I'll be the first one to stop your quick tomorrow, Hinata.\Come on! Bring it! response:	Haikyu!!
context: Hinata and Kageyama, this is your first Nekoma set in a while, isn't it?\Go show'em what you've got.\Right!\Okay, we're good to go.\Nice serve, Fukunaga!\I'll be the first one to stop your quick tomorrow, Hinata.\Come on! Bring it!\Haikyu!! response:	Episode 5: Greed
context: Go show'em what you've got.\Right!\Okay, we're good to go.\Nice serve, Fukunaga!\I'll be the first one to stop your quick tomorrow, Hinata.\Come on! Bring it!\Haikyu!!\Episode 5: Greed response:	Tenchu
context: Right!\Okay, we're good to go.\Nice serve, Fukunaga!\I'll be the first one to stop your quick tomorrow, Hinata.\Come on! Bring it!\Haikyu!!\Episode 5: Greed\Tenchu response:	I drank way too much with the teachers last night.
context: Okay, we're good to go.\Nice serve, Fukunaga!\I'll be the first one to stop your quick tomorrow, Hinata.\Come on! Bring it!\Haikyu!!\Episode 5: Greed\Tenchu\I drank way too much with the teachers last night. response:	What time is it?
context: Nice serve, Fukunaga!\I'll be the first one to stop your quick tomorrow, Hinata.\Come on! Bring it!\Haikyu!!\Episode 5: Greed\Tenchu\I drank way too much with the teachers last night.\What time is it? response:	Nice receive!
context: I'll be the first one to stop your quick tomorrow, Hinata.\Come on! Bring it!\Haikyu!!\Episode 5: Greed\Tenchu\I drank way too much with the teachers last night.\What time is it?\Nice receive! response:	All right!
context: Come on! Bring it!\Haikyu!!\Episode 5: Greed\Tenchu\I drank way too much with the teachers last night.\What time is it?\Nice receive!\All right! response:	Damn it... That's amazing.
context: Haikyu!!\Episode 5: Greed\Tenchu\I drank way too much with the teachers last night.\What time is it?\Nice receive!\All right!\Damn it... That's amazing. response:	Don't mind, Lev!
context: Episode 5: Greed\Tenchu\I drank way too much with the teachers last night.\What time is it?\Nice receive!\All right!\Damn it... That's amazing.\Don't mind, Lev! response:	That was close.
context: Tenchu\I drank way too much with the teachers last night.\What time is it?\Nice receive!\All right!\Damn it... That's amazing.\Don't mind, Lev!\That was close. response:	Okay!
context: I drank way too much with the teachers last night.\What time is it?\Nice receive!\All right!\Damn it... That's amazing.\Don't mind, Lev!\That was close.\Okay! response:	So Karasuno's 10 really is closing his eyes when he hits the quick.
context: What time is it?\Nice receive!\All right!\Damn it... That's amazing.\Don't mind, Lev!\That was close.\Okay!\So Karasuno's 10 really is closing his eyes when he hits the quick. response:	One more, Tanaka! Nice serve!
context: Nice receive!\All right!\Damn it... That's amazing.\Don't mind, Lev!\That was close.\Okay!\So Karasuno's 10 really is closing his eyes when he hits the quick.\One more, Tanaka! Nice serve! response:	Yeah.
context: All right!\Damn it... That's amazing.\Don't mind, Lev!\That was close.\Okay!\So Karasuno's 10 really is closing his eyes when he hits the quick.\One more, Tanaka! Nice serve!\Yeah. response:	Cover! Cover!
context: Damn it... That's amazing.\Don't mind, Lev!\That was close.\Okay!\So Karasuno's 10 really is closing his eyes when he hits the quick.\One more, Tanaka! Nice serve!\Yeah.\Cover! Cover! response:	Which means the truth behind that godly quick attack
context: Don't mind, Lev!\That was close.\Okay!\So Karasuno's 10 really is closing his eyes when he hits the quick.\One more, Tanaka! Nice serve!\Yeah.\Cover! Cover!\Which means the truth behind that godly quick attack response:	is the setter's superior technique.
context: That was close.\Okay!\So Karasuno's 10 really is closing his eyes when he hits the quick.\One more, Tanaka! Nice serve!\Yeah.\Cover! Cover!\Which means the truth behind that godly quick attack\is the setter's superior technique. response:	Nice receive, Daichi-san!
context: Okay!\So Karasuno's 10 really is closing his eyes when he hits the quick.\One more, Tanaka! Nice serve!\Yeah.\Cover! Cover!\Which means the truth behind that godly quick attack\is the setter's superior technique.\Nice receive, Daichi-san! response:	He flew from A to C.
context: So Karasuno's 10 really is closing his eyes when he hits the quick.\One more, Tanaka! Nice serve!\Yeah.\Cover! Cover!\Which means the truth behind that godly quick attack\is the setter's superior technique.\Nice receive, Daichi-san!\He flew from A to C. response:	All right!
context: One more, Tanaka! Nice serve!\Yeah.\Cover! Cover!\Which means the truth behind that godly quick attack\is the setter's superior technique.\Nice receive, Daichi-san!\He flew from A to C.\All right! response:	He actually did it!
context: Yeah.\Cover! Cover!\Which means the truth behind that godly quick attack\is the setter's superior technique.\Nice receive, Daichi-san!\He flew from A to C.\All right!\He actually did it! response:	H-He stopped it...
context: Cover! Cover!\Which means the truth behind that godly quick attack\is the setter's superior technique.\Nice receive, Daichi-san!\He flew from A to C.\All right!\He actually did it!\H-He stopped it... response:	He stopped that quick attack so easily.
context: Which means the truth behind that godly quick attack\is the setter's superior technique.\Nice receive, Daichi-san!\He flew from A to C.\All right!\He actually did it!\H-He stopped it...\He stopped that quick attack so easily. response:	Well, Nekoma's always been
context: is the setter's superior technique.\Nice receive, Daichi-san!\He flew from A to C.\All right!\He actually did it!\H-He stopped it...\He stopped that quick attack so easily.\Well, Nekoma's always been response:	pretty good at reacting to that quick attack.
context: Nice receive, Daichi-san!\He flew from A to C.\All right!\He actually did it!\H-He stopped it...\He stopped that quick attack so easily.\Well, Nekoma's always been\pretty good at reacting to that quick attack. response:	On top of that, that newbie middle blocker's height
context: He flew from A to C.\All right!\He actually did it!\H-He stopped it...\He stopped that quick attack so easily.\Well, Nekoma's always been\pretty good at reacting to that quick attack.\On top of that, that newbie middle blocker's height response:	and quick reaction time are amazing.
context: All right!\He actually did it!\H-He stopped it...\He stopped that quick attack so easily.\Well, Nekoma's always been\pretty good at reacting to that quick attack.\On top of that, that newbie middle blocker's height\and quick reaction time are amazing. response:	Nice serve, Kenma!
context: He actually did it!\H-He stopped it...\He stopped that quick attack so easily.\Well, Nekoma's always been\pretty good at reacting to that quick attack.\On top of that, that newbie middle blocker's height\and quick reaction time are amazing.\Nice serve, Kenma! response:	Hey, I'm gonna add in more normal quicks.
context: H-He stopped it...\He stopped that quick attack so easily.\Well, Nekoma's always been\pretty good at reacting to that quick attack.\On top of that, that newbie middle blocker's height\and quick reaction time are amazing.\Nice serve, Kenma!\Hey, I'm gonna add in more normal quicks. response:	The floaty ones.
context: He stopped that quick attack so easily.\Well, Nekoma's always been\pretty good at reacting to that quick attack.\On top of that, that newbie middle blocker's height\and quick reaction time are amazing.\Nice serve, Kenma!\Hey, I'm gonna add in more normal quicks.\The floaty ones. response:	Hey, are you listening?
context: Well, Nekoma's always been\pretty good at reacting to that quick attack.\On top of that, that newbie middle blocker's height\and quick reaction time are amazing.\Nice serve, Kenma!\Hey, I'm gonna add in more normal quicks.\The floaty ones.\Hey, are you listening? response:	Yeah...
context: pretty good at reacting to that quick attack.\On top of that, that newbie middle blocker's height\and quick reaction time are amazing.\Nice serve, Kenma!\Hey, I'm gonna add in more normal quicks.\The floaty ones.\Hey, are you listening?\Yeah... response:	Lev.
context: On top of that, that newbie middle blocker's height\and quick reaction time are amazing.\Nice serve, Kenma!\Hey, I'm gonna add in more normal quicks.\The floaty ones.\Hey, are you listening?\Yeah...\Lev. response:	They're probably going to start using a lot of normal quicks,
context: and quick reaction time are amazing.\Nice serve, Kenma!\Hey, I'm gonna add in more normal quicks.\The floaty ones.\Hey, are you listening?\Yeah...\Lev.\They're probably going to start using a lot of normal quicks, response:	so please switch over to read blocks.
context: Nice serve, Kenma!\Hey, I'm gonna add in more normal quicks.\The floaty ones.\Hey, are you listening?\Yeah...\Lev.\They're probably going to start using a lot of normal quicks,\so please switch over to read blocks. response:	What's a read block again?
context: Hey, I'm gonna add in more normal quicks.\The floaty ones.\Hey, are you listening?\Yeah...\Lev.\They're probably going to start using a lot of normal quicks,\so please switch over to read blocks.\What's a read block again? response:	It's when you see where the toss is going to go, then jump up and block.
context: The floaty ones.\Hey, are you listening?\Yeah...\Lev.\They're probably going to start using a lot of normal quicks,\so please switch over to read blocks.\What's a read block again?\It's when you see where the toss is going to go, then jump up and block. response:	Ah, okay.
context: Hey, are you listening?\Yeah...\Lev.\They're probably going to start using a lot of normal quicks,\so please switch over to read blocks.\What's a read block again?\It's when you see where the toss is going to go, then jump up and block.\Ah, okay. response:	Nice serve!
context: Yeah...\Lev.\They're probably going to start using a lot of normal quicks,\so please switch over to read blocks.\What's a read block again?\It's when you see where the toss is going to go, then jump up and block.\Ah, okay.\Nice serve! response:	Ryu!
context: Lev.\They're probably going to start using a lot of normal quicks,\so please switch over to read blocks.\What's a read block again?\It's when you see where the toss is going to go, then jump up and block.\Ah, okay.\Nice serve!\Ryu! response:	Got it!
context: They're probably going to start using a lot of normal quicks,\so please switch over to read blocks.\What's a read block again?\It's when you see where the toss is going to go, then jump up and block.\Ah, okay.\Nice serve!\Ryu!\Got it! response:	It's when you see where the toss is going to go...
context: so please switch over to read blocks.\What's a read block again?\It's when you see where the toss is going to go, then jump up and block.\Ah, okay.\Nice serve!\Ryu!\Got it!\It's when you see where the toss is going to go... response:	One touch!
context: What's a read block again?\It's when you see where the toss is going to go, then jump up and block.\Ah, okay.\Nice serve!\Ryu!\Got it!\It's when you see where the toss is going to go...\One touch! response:	I thought he was totally being lured by Hinata.
context: It's when you see where the toss is going to go, then jump up and block.\Ah, okay.\Nice serve!\Ryu!\Got it!\It's when you see where the toss is going to go...\One touch!\I thought he was totally being lured by Hinata. response:	Even though it was a bit late, his block is still high.
context: Ah, okay.\Nice serve!\Ryu!\Got it!\It's when you see where the toss is going to go...\One touch!\I thought he was totally being lured by Hinata.\Even though it was a bit late, his block is still high. response:	Chance ball!
context: Nice serve!\Ryu!\Got it!\It's when you see where the toss is going to go...\One touch!\I thought he was totally being lured by Hinata.\Even though it was a bit late, his block is still high.\Chance ball! response:	These guys...
context: Ryu!\Got it!\It's when you see where the toss is going to go...\One touch!\I thought he was totally being lured by Hinata.\Even though it was a bit late, his block is still high.\Chance ball!\These guys... response:	All right!
context: Got it!\It's when you see where the toss is going to go...\One touch!\I thought he was totally being lured by Hinata.\Even though it was a bit late, his block is still high.\Chance ball!\These guys...\All right! response:	Damn it!
context: It's when you see where the toss is going to go...\One touch!\I thought he was totally being lured by Hinata.\Even though it was a bit late, his block is still high.\Chance ball!\These guys...\All right!\Damn it! response:	Karasuno Nekoma
context: One touch!\I thought he was totally being lured by Hinata.\Even though it was a bit late, his block is still high.\Chance ball!\These guys...\All right!\Damn it!\Karasuno Nekoma response:	Now, calm down.
context: I thought he was totally being lured by Hinata.\Even though it was a bit late, his block is still high.\Chance ball!\These guys...\All right!\Damn it!\Karasuno Nekoma\Now, calm down. response:	They already had a careful eye on our quicks.
context: Even though it was a bit late, his block is still high.\Chance ball!\These guys...\All right!\Damn it!\Karasuno Nekoma\Now, calm down.\They already had a careful eye on our quicks. response:	For the time being, when we're up against Nekoma,
context: Chance ball!\These guys...\All right!\Damn it!\Karasuno Nekoma\Now, calm down.\They already had a careful eye on our quicks.\For the time being, when we're up against Nekoma, response:	let's mainly have Azumane and Tanaka attacking from the left.
context: These guys...\All right!\Damn it!\Karasuno Nekoma\Now, calm down.\They already had a careful eye on our quicks.\For the time being, when we're up against Nekoma,\let's mainly have Azumane and Tanaka attacking from the left. response:	Right.
context: All right!\Damn it!\Karasuno Nekoma\Now, calm down.\They already had a careful eye on our quicks.\For the time being, when we're up against Nekoma,\let's mainly have Azumane and Tanaka attacking from the left.\Right. response:	Got it!
context: Damn it!\Karasuno Nekoma\Now, calm down.\They already had a careful eye on our quicks.\For the time being, when we're up against Nekoma,\let's mainly have Azumane and Tanaka attacking from the left.\Right.\Got it! response:	All right!
context: Karasuno Nekoma\Now, calm down.\They already had a careful eye on our quicks.\For the time being, when we're up against Nekoma,\let's mainly have Azumane and Tanaka attacking from the left.\Right.\Got it!\All right! response:	We've only just begun!
context: Now, calm down.\They already had a careful eye on our quicks.\For the time being, when we're up against Nekoma,\let's mainly have Azumane and Tanaka attacking from the left.\Right.\Got it!\All right!\We've only just begun! response:	Is that all right? Or is that being weak?
context: They already had a careful eye on our quicks.\For the time being, when we're up against Nekoma,\let's mainly have Azumane and Tanaka attacking from the left.\Right.\Got it!\All right!\We've only just begun!\Is that all right? Or is that being weak? response:	Let's calm down and get that point.
context: For the time being, when we're up against Nekoma,\let's mainly have Azumane and Tanaka attacking from the left.\Right.\Got it!\All right!\We've only just begun!\Is that all right? Or is that being weak?\Let's calm down and get that point. response:	Is there any evolution that comes from
context: let's mainly have Azumane and Tanaka attacking from the left.\Right.\Got it!\All right!\We've only just begun!\Is that all right? Or is that being weak?\Let's calm down and get that point.\Is there any evolution that comes from response:	going on the defensive, Keishin?
context: Right.\Got it!\All right!\We've only just begun!\Is that all right? Or is that being weak?\Let's calm down and get that point.\Is there any evolution that comes from\going on the defensive, Keishin? response:	Here.
context: Got it!\All right!\We've only just begun!\Is that all right? Or is that being weak?\Let's calm down and get that point.\Is there any evolution that comes from\going on the defensive, Keishin?\Here. response:	Thanks.
context: All right!\We've only just begun!\Is that all right? Or is that being weak?\Let's calm down and get that point.\Is there any evolution that comes from\going on the defensive, Keishin?\Here.\Thanks. response:	Here you go, Azumane-san.
context: We've only just begun!\Is that all right? Or is that being weak?\Let's calm down and get that point.\Is there any evolution that comes from\going on the defensive, Keishin?\Here.\Thanks.\Here you go, Azumane-san. response:	Crap... What is this?
context: Is that all right? Or is that being weak?\Let's calm down and get that point.\Is there any evolution that comes from\going on the defensive, Keishin?\Here.\Thanks.\Here you go, Azumane-san.\Crap... What is this? response:	Nekoma, Lev...
context: Let's calm down and get that point.\Is there any evolution that comes from\going on the defensive, Keishin?\Here.\Thanks.\Here you go, Azumane-san.\Crap... What is this?\Nekoma, Lev... response:	They're strong. They're so strong!
context: Is there any evolution that comes from\going on the defensive, Keishin?\Here.\Thanks.\Here you go, Azumane-san.\Crap... What is this?\Nekoma, Lev...\They're strong. They're so strong! response:	I have to get stronger,
context: going on the defensive, Keishin?\Here.\Thanks.\Here you go, Azumane-san.\Crap... What is this?\Nekoma, Lev...\They're strong. They're so strong!\I have to get stronger, response:	Shiratorizawa Academy
context: Here.\Thanks.\Here you go, Azumane-san.\Crap... What is this?\Nekoma, Lev...\They're strong. They're so strong!\I have to get stronger,\Shiratorizawa Academy response:	or there's no way we'll win!
context: Thanks.\Here you go, Azumane-san.\Crap... What is this?\Nekoma, Lev...\They're strong. They're so strong!\I have to get stronger,\Shiratorizawa Academy\or there's no way we'll win! response:	Cover! Cover!
context: Here you go, Azumane-san.\Crap... What is this?\Nekoma, Lev...\They're strong. They're so strong!\I have to get stronger,\Shiratorizawa Academy\or there's no way we'll win!\Cover! Cover! response:	Left!
context: Crap... What is this?\Nekoma, Lev...\They're strong. They're so strong!\I have to get stronger,\Shiratorizawa Academy\or there's no way we'll win!\Cover! Cover!\Left! response:	Two blockers!
context: Nekoma, Lev...\They're strong. They're so strong!\I have to get stronger,\Shiratorizawa Academy\or there's no way we'll win!\Cover! Cover!\Left!\Two blockers! response:	Right!
context: They're strong. They're so strong!\I have to get stronger,\Shiratorizawa Academy\or there's no way we'll win!\Cover! Cover!\Left!\Two blockers!\Right! response:	It's up! Nice, Kageyama!
context: I have to get stronger,\Shiratorizawa Academy\or there's no way we'll win!\Cover! Cover!\Left!\Two blockers!\Right!\It's up! Nice, Kageyama! response:	Nice cover!
context: Shiratorizawa Academy\or there's no way we'll win!\Cover! Cover!\Left!\Two blockers!\Right!\It's up! Nice, Kageyama!\Nice cover! response:	All right, let's get the last ball!
context: or there's no way we'll win!\Cover! Cover!\Left!\Two blockers!\Right!\It's up! Nice, Kageyama!\Nice cover!\All right, let's get the last ball! response:	Sorry! It was a bit short!
context: Cover! Cover!\Left!\Two blockers!\Right!\It's up! Nice, Kageyama!\Nice cover!\All right, let's get the last ball!\Sorry! It was a bit short! response:	Asahi!
context: Left!\Two blockers!\Right!\It's up! Nice, Kageyama!\Nice cover!\All right, let's get the last ball!\Sorry! It was a bit short!\Asahi! response:	Last ball!
context: Two blockers!\Right!\It's up! Nice, Kageyama!\Nice cover!\All right, let's get the last ball!\Sorry! It was a bit short!\Asahi!\Last ball! response:	Yeah!
context: Right!\It's up! Nice, Kageyama!\Nice cover!\All right, let's get the last ball!\Sorry! It was a bit short!\Asahi!\Last ball!\Yeah! response:	Huh?
context: It's up! Nice, Kageyama!\Nice cover!\All right, let's get the last ball!\Sorry! It was a bit short!\Asahi!\Last ball!\Yeah!\Huh? response:	U-U-U-Uh... Wh-Wh-Wh-Wh
context: Nice cover!\All right, let's get the last ball!\Sorry! It was a bit short!\Asahi!\Last ball!\Yeah!\Huh?\U-U-U-Uh... Wh-Wh-Wh-Wh response:	I'm sorry!
context: All right, let's get the last ball!\Sorry! It was a bit short!\Asahi!\Last ball!\Yeah!\Huh?\U-U-U-Uh... Wh-Wh-Wh-Wh\I'm sorry! response:	I was just staring at the ball... I'm sorry!
context: Sorry! It was a bit short!\Asahi!\Last ball!\Yeah!\Huh?\U-U-U-Uh... Wh-Wh-Wh-Wh\I'm sorry!\I was just staring at the ball... I'm sorry! response:	Are you okay? I'm sorry! I'm so sorry!
context: Asahi!\Last ball!\Yeah!\Huh?\U-U-U-Uh... Wh-Wh-Wh-Wh\I'm sorry!\I was just staring at the ball... I'm sorry!\Are you okay? I'm sorry! I'm so sorry! response:	I-I'm perfectly fine...
context: Last ball!\Yeah!\Huh?\U-U-U-Uh... Wh-Wh-Wh-Wh\I'm sorry!\I was just staring at the ball... I'm sorry!\Are you okay? I'm sorry! I'm so sorry!\I-I'm perfectly fine... response:	I'm so sorry! I'm so sorry!
context: Yeah!\Huh?\U-U-U-Uh... Wh-Wh-Wh-Wh\I'm sorry!\I was just staring at the ball... I'm sorry!\Are you okay? I'm sorry! I'm so sorry!\I-I'm perfectly fine...\I'm so sorry! I'm so sorry! response:	Hey, be careful.
context: Huh?\U-U-U-Uh... Wh-Wh-Wh-Wh\I'm sorry!\I was just staring at the ball... I'm sorry!\Are you okay? I'm sorry! I'm so sorry!\I-I'm perfectly fine...\I'm so sorry! I'm so sorry!\Hey, be careful. response:	No matter what, Shoyo's gonna be the one that goes flying.
context: U-U-U-Uh... Wh-Wh-Wh-Wh\I'm sorry!\I was just staring at the ball... I'm sorry!\Are you okay? I'm sorry! I'm so sorry!\I-I'm perfectly fine...\I'm so sorry! I'm so sorry!\Hey, be careful.\No matter what, Shoyo's gonna be the one that goes flying. response:	Pay attention to your surroundings, you idiot!
context: I'm sorry!\I was just staring at the ball... I'm sorry!\Are you okay? I'm sorry! I'm so sorry!\I-I'm perfectly fine...\I'm so sorry! I'm so sorry!\Hey, be careful.\No matter what, Shoyo's gonna be the one that goes flying.\Pay attention to your surroundings, you idiot! response:	Why do you think everyone's calling the ball, you dumbass?!
context: I was just staring at the ball... I'm sorry!\Are you okay? I'm sorry! I'm so sorry!\I-I'm perfectly fine...\I'm so sorry! I'm so sorry!\Hey, be careful.\No matter what, Shoyo's gonna be the one that goes flying.\Pay attention to your surroundings, you idiot!\Why do you think everyone's calling the ball, you dumbass?! response:	Right... I'm sorry.
context: Are you okay? I'm sorry! I'm so sorry!\I-I'm perfectly fine...\I'm so sorry! I'm so sorry!\Hey, be careful.\No matter what, Shoyo's gonna be the one that goes flying.\Pay attention to your surroundings, you idiot!\Why do you think everyone's calling the ball, you dumbass?!\Right... I'm sorry. response:	Moron! Hinata, you moron!
context: I-I'm perfectly fine...\I'm so sorry! I'm so sorry!\Hey, be careful.\No matter what, Shoyo's gonna be the one that goes flying.\Pay attention to your surroundings, you idiot!\Why do you think everyone's calling the ball, you dumbass?!\Right... I'm sorry.\Moron! Hinata, you moron! response:	Now, now. Calm down, Kageyama.
context: I'm so sorry! I'm so sorry!\Hey, be careful.\No matter what, Shoyo's gonna be the one that goes flying.\Pay attention to your surroundings, you idiot!\Why do you think everyone's calling the ball, you dumbass?!\Right... I'm sorry.\Moron! Hinata, you moron!\Now, now. Calm down, Kageyama. response:	I'm sure Hinata acted completely subconsciously just then,
context: Hey, be careful.\No matter what, Shoyo's gonna be the one that goes flying.\Pay attention to your surroundings, you idiot!\Why do you think everyone's calling the ball, you dumbass?!\Right... I'm sorry.\Moron! Hinata, you moron!\Now, now. Calm down, Kageyama.\I'm sure Hinata acted completely subconsciously just then, response:	but it looked like he was trying to steal the toss from the ace.
context: No matter what, Shoyo's gonna be the one that goes flying.\Pay attention to your surroundings, you idiot!\Why do you think everyone's calling the ball, you dumbass?!\Right... I'm sorry.\Moron! Hinata, you moron!\Now, now. Calm down, Kageyama.\I'm sure Hinata acted completely subconsciously just then,\but it looked like he was trying to steal the toss from the ace. response:	Is the baby crow about to evolve?
context: Pay attention to your surroundings, you idiot!\Why do you think everyone's calling the ball, you dumbass?!\Right... I'm sorry.\Moron! Hinata, you moron!\Now, now. Calm down, Kageyama.\I'm sure Hinata acted completely subconsciously just then,\but it looked like he was trying to steal the toss from the ace.\Is the baby crow about to evolve? response:	And will that be a blessing or a curse for their team?
context: Why do you think everyone's calling the ball, you dumbass?!\Right... I'm sorry.\Moron! Hinata, you moron!\Now, now. Calm down, Kageyama.\I'm sure Hinata acted completely subconsciously just then,\but it looked like he was trying to steal the toss from the ace.\Is the baby crow about to evolve?\And will that be a blessing or a curse for their team? response:	Though in the end, those who do not want to change will not evolve.
context: Right... I'm sorry.\Moron! Hinata, you moron!\Now, now. Calm down, Kageyama.\I'm sure Hinata acted completely subconsciously just then,\but it looked like he was trying to steal the toss from the ace.\Is the baby crow about to evolve?\And will that be a blessing or a curse for their team?\Though in the end, those who do not want to change will not evolve. response:	If that is what you wish for,
context: Moron! Hinata, you moron!\Now, now. Calm down, Kageyama.\I'm sure Hinata acted completely subconsciously just then,\but it looked like he was trying to steal the toss from the ace.\Is the baby crow about to evolve?\And will that be a blessing or a curse for their team?\Though in the end, those who do not want to change will not evolve.\If that is what you wish for, response:	even if you are the star of the court,
context: Now, now. Calm down, Kageyama.\I'm sure Hinata acted completely subconsciously just then,\but it looked like he was trying to steal the toss from the ace.\Is the baby crow about to evolve?\And will that be a blessing or a curse for their team?\Though in the end, those who do not want to change will not evolve.\If that is what you wish for,\even if you are the star of the court, response:	the hero,
context: I'm sure Hinata acted completely subconsciously just then,\but it looked like he was trying to steal the toss from the ace.\Is the baby crow about to evolve?\And will that be a blessing or a curse for their team?\Though in the end, those who do not want to change will not evolve.\If that is what you wish for,\even if you are the star of the court,\the hero, response:	or the ace that brings forth the victory,
context: but it looked like he was trying to steal the toss from the ace.\Is the baby crow about to evolve?\And will that be a blessing or a curse for their team?\Though in the end, those who do not want to change will not evolve.\If that is what you wish for,\even if you are the star of the court,\the hero,\or the ace that brings forth the victory, response:	you need to greedily proclaim that you are indeed
context: Is the baby crow about to evolve?\And will that be a blessing or a curse for their team?\Though in the end, those who do not want to change will not evolve.\If that is what you wish for,\even if you are the star of the court,\the hero,\or the ace that brings forth the victory,\you need to greedily proclaim that you are indeed response:	the best.
context: And will that be a blessing or a curse for their team?\Though in the end, those who do not want to change will not evolve.\If that is what you wish for,\even if you are the star of the court,\the hero,\or the ace that brings forth the victory,\you need to greedily proclaim that you are indeed\the best. response:	Hey, Kageyama.
context: Though in the end, those who do not want to change will not evolve.\If that is what you wish for,\even if you are the star of the court,\the hero,\or the ace that brings forth the victory,\you need to greedily proclaim that you are indeed\the best.\Hey, Kageyama. response:	What?
context: If that is what you wish for,\even if you are the star of the court,\the hero,\or the ace that brings forth the victory,\you need to greedily proclaim that you are indeed\the best.\Hey, Kageyama.\What? response:	The quick that goes like whoosh...
context: even if you are the star of the court,\the hero,\or the ace that brings forth the victory,\you need to greedily proclaim that you are indeed\the best.\Hey, Kageyama.\What?\The quick that goes like whoosh... response:	I'll...
context: the hero,\or the ace that brings forth the victory,\you need to greedily proclaim that you are indeed\the best.\Hey, Kageyama.\What?\The quick that goes like whoosh...\I'll... response:	stop closing my eyes.
context: or the ace that brings forth the victory,\you need to greedily proclaim that you are indeed\the best.\Hey, Kageyama.\What?\The quick that goes like whoosh...\I'll...\stop closing my eyes. response:	Haikyu!!
context: you need to greedily proclaim that you are indeed\the best.\Hey, Kageyama.\What?\The quick that goes like whoosh...\I'll...\stop closing my eyes.\Haikyu!! response:	Haikyu!!
context: the best.\Hey, Kageyama.\What?\The quick that goes like whoosh...\I'll...\stop closing my eyes.\Haikyu!!\Haikyu!! response:	I'll...
context: Hey, Kageyama.\What?\The quick that goes like whoosh...\I'll...\stop closing my eyes.\Haikyu!!\Haikyu!!\I'll... response:	stop closing my eyes.
