context: Ye Hua. response:	Ye Hua?
context: That would be the best.\My prince, great victory!\Keep talking.\Ghost Lord Li Jing made use of the freezing weather\and transported much ice upstream.\Then he used his powers to melt the ice.\Then he borrowed the Celestial Tribe's powers of rain and thunder\to create rainfall for three days and nights. response:	It caused great flooding across the lands of the Far North.
context: My prince, great victory!\Keep talking.\Ghost Lord Li Jing made use of the freezing weather\and transported much ice upstream.\Then he used his powers to melt the ice.\Then he borrowed the Celestial Tribe's powers of rain and thunder\to create rainfall for three days and nights.\It caused great flooding across the lands of the Far North. response:	Our enemies were defeated without a fight.
context: Keep talking.\Ghost Lord Li Jing made use of the freezing weather\and transported much ice upstream.\Then he used his powers to melt the ice.\Then he borrowed the Celestial Tribe's powers of rain and thunder\to create rainfall for three days and nights.\It caused great flooding across the lands of the Far North.\Our enemies were defeated without a fight. response:	This is...
context: Ghost Lord Li Jing made use of the freezing weather\and transported much ice upstream.\Then he used his powers to melt the ice.\Then he borrowed the Celestial Tribe's powers of rain and thunder\to create rainfall for three days and nights.\It caused great flooding across the lands of the Far North.\Our enemies were defeated without a fight.\This is... response:	That is to say...
context: and transported much ice upstream.\Then he used his powers to melt the ice.\Then he borrowed the Celestial Tribe's powers of rain and thunder\to create rainfall for three days and nights.\It caused great flooding across the lands of the Far North.\Our enemies were defeated without a fight.\This is...\That is to say... response:	Not only did it take out all the rebels
context: Then he used his powers to melt the ice.\Then he borrowed the Celestial Tribe's powers of rain and thunder\to create rainfall for three days and nights.\It caused great flooding across the lands of the Far North.\Our enemies were defeated without a fight.\This is...\That is to say...\Not only did it take out all the rebels response:	but also the creatures of the Ghost Realm are...
context: Then he borrowed the Celestial Tribe's powers of rain and thunder\to create rainfall for three days and nights.\It caused great flooding across the lands of the Far North.\Our enemies were defeated without a fight.\This is...\That is to say...\Not only did it take out all the rebels\but also the creatures of the Ghost Realm are... response:	Indeed.
context: to create rainfall for three days and nights.\It caused great flooding across the lands of the Far North.\Our enemies were defeated without a fight.\This is...\That is to say...\Not only did it take out all the rebels\but also the creatures of the Ghost Realm are...\Indeed. response:	He is indeed Qing Cang's son.
context: It caused great flooding across the lands of the Far North.\Our enemies were defeated without a fight.\This is...\That is to say...\Not only did it take out all the rebels\but also the creatures of the Ghost Realm are...\Indeed.\He is indeed Qing Cang's son. response:	The Ghost Realm isn't the territory of the Celestial Tribe.
context: Our enemies were defeated without a fight.\This is...\That is to say...\Not only did it take out all the rebels\but also the creatures of the Ghost Realm are...\Indeed.\He is indeed Qing Cang's son.\The Ghost Realm isn't the territory of the Celestial Tribe. response:	We deployed our army to assist the Ghost Tribe in pacifying their rebels.
context: This is...\That is to say...\Not only did it take out all the rebels\but also the creatures of the Ghost Realm are...\Indeed.\He is indeed Qing Cang's son.\The Ghost Realm isn't the territory of the Celestial Tribe.\We deployed our army to assist the Ghost Tribe in pacifying their rebels. response:	However, I find it hard to accept such a method!
context: That is to say...\Not only did it take out all the rebels\but also the creatures of the Ghost Realm are...\Indeed.\He is indeed Qing Cang's son.\The Ghost Realm isn't the territory of the Celestial Tribe.\We deployed our army to assist the Ghost Tribe in pacifying their rebels.\However, I find it hard to accept such a method! response:	Split the army into five troops.
context: Not only did it take out all the rebels\but also the creatures of the Ghost Realm are...\Indeed.\He is indeed Qing Cang's son.\The Ghost Realm isn't the territory of the Celestial Tribe.\We deployed our army to assist the Ghost Tribe in pacifying their rebels.\However, I find it hard to accept such a method!\Split the army into five troops. response:	Send one to the flooded areas and save as many as possible.
context: but also the creatures of the Ghost Realm are...\Indeed.\He is indeed Qing Cang's son.\The Ghost Realm isn't the territory of the Celestial Tribe.\We deployed our army to assist the Ghost Tribe in pacifying their rebels.\However, I find it hard to accept such a method!\Split the army into five troops.\Send one to the flooded areas and save as many as possible. response:	As for the other four, set out as agreed with the Ghost Lord
context: Indeed.\He is indeed Qing Cang's son.\The Ghost Realm isn't the territory of the Celestial Tribe.\We deployed our army to assist the Ghost Tribe in pacifying their rebels.\However, I find it hard to accept such a method!\Split the army into five troops.\Send one to the flooded areas and save as many as possible.\As for the other four, set out as agreed with the Ghost Lord response:	to seal off the four routes of the Far North.
context: He is indeed Qing Cang's son.\The Ghost Realm isn't the territory of the Celestial Tribe.\We deployed our army to assist the Ghost Tribe in pacifying their rebels.\However, I find it hard to accept such a method!\Split the army into five troops.\Send one to the flooded areas and save as many as possible.\As for the other four, set out as agreed with the Ghost Lord\to seal off the four routes of the Far North. response:	Intercept and defeat the enemy.
context: The Ghost Realm isn't the territory of the Celestial Tribe.\We deployed our army to assist the Ghost Tribe in pacifying their rebels.\However, I find it hard to accept such a method!\Split the army into five troops.\Send one to the flooded areas and save as many as possible.\As for the other four, set out as agreed with the Ghost Lord\to seal off the four routes of the Far North.\Intercept and defeat the enemy. response:	- Yes! - Yes!
context: We deployed our army to assist the Ghost Tribe in pacifying their rebels.\However, I find it hard to accept such a method!\Split the army into five troops.\Send one to the flooded areas and save as many as possible.\As for the other four, set out as agreed with the Ghost Lord\to seal off the four routes of the Far North.\Intercept and defeat the enemy.\- Yes! - Yes! response:	Li Yuan!
context: However, I find it hard to accept such a method!\Split the army into five troops.\Send one to the flooded areas and save as many as possible.\As for the other four, set out as agreed with the Ghost Lord\to seal off the four routes of the Far North.\Intercept and defeat the enemy.\- Yes! - Yes!\Li Yuan! response:	Tens of thousands of years went by.
context: Split the army into five troops.\Send one to the flooded areas and save as many as possible.\As for the other four, set out as agreed with the Ghost Lord\to seal off the four routes of the Far North.\Intercept and defeat the enemy.\- Yes! - Yes!\Li Yuan!\Tens of thousands of years went by. response:	Who knew that we would meet again in combat after all these years?
context: Send one to the flooded areas and save as many as possible.\As for the other four, set out as agreed with the Ghost Lord\to seal off the four routes of the Far North.\Intercept and defeat the enemy.\- Yes! - Yes!\Li Yuan!\Tens of thousands of years went by.\Who knew that we would meet again in combat after all these years? response:	Li Jing.
context: As for the other four, set out as agreed with the Ghost Lord\to seal off the four routes of the Far North.\Intercept and defeat the enemy.\- Yes! - Yes!\Li Yuan!\Tens of thousands of years went by.\Who knew that we would meet again in combat after all these years?\Li Jing. response:	You're so ruthless.
context: to seal off the four routes of the Far North.\Intercept and defeat the enemy.\- Yes! - Yes!\Li Yuan!\Tens of thousands of years went by.\Who knew that we would meet again in combat after all these years?\Li Jing.\You're so ruthless. response:	You've disregarded the lives of thousands of creatures in the Ghost Realm.
context: Intercept and defeat the enemy.\- Yes! - Yes!\Li Yuan!\Tens of thousands of years went by.\Who knew that we would meet again in combat after all these years?\Li Jing.\You're so ruthless.\You've disregarded the lives of thousands of creatures in the Ghost Realm. response:	You collaborated with the Celestial Tribe to wipe them out!
context: - Yes! - Yes!\Li Yuan!\Tens of thousands of years went by.\Who knew that we would meet again in combat after all these years?\Li Jing.\You're so ruthless.\You've disregarded the lives of thousands of creatures in the Ghost Realm.\You collaborated with the Celestial Tribe to wipe them out! response:	You're wrong!
context: Li Yuan!\Tens of thousands of years went by.\Who knew that we would meet again in combat after all these years?\Li Jing.\You're so ruthless.\You've disregarded the lives of thousands of creatures in the Ghost Realm.\You collaborated with the Celestial Tribe to wipe them out!\You're wrong! response:	You're the one who harmed them.
context: Tens of thousands of years went by.\Who knew that we would meet again in combat after all these years?\Li Jing.\You're so ruthless.\You've disregarded the lives of thousands of creatures in the Ghost Realm.\You collaborated with the Celestial Tribe to wipe them out!\You're wrong!\You're the one who harmed them. response:	If you hadn't asked them to support you
context: Who knew that we would meet again in combat after all these years?\Li Jing.\You're so ruthless.\You've disregarded the lives of thousands of creatures in the Ghost Realm.\You collaborated with the Celestial Tribe to wipe them out!\You're wrong!\You're the one who harmed them.\If you hadn't asked them to support you response:	they wouldn't have died so tragically.
context: Li Jing.\You're so ruthless.\You've disregarded the lives of thousands of creatures in the Ghost Realm.\You collaborated with the Celestial Tribe to wipe them out!\You're wrong!\You're the one who harmed them.\If you hadn't asked them to support you\they wouldn't have died so tragically. response:	Yan Zhi.
context: You're so ruthless.\You've disregarded the lives of thousands of creatures in the Ghost Realm.\You collaborated with the Celestial Tribe to wipe them out!\You're wrong!\You're the one who harmed them.\If you hadn't asked them to support you\they wouldn't have died so tragically.\Yan Zhi. response:	Since Father was sealed how have I treated you?
context: You've disregarded the lives of thousands of creatures in the Ghost Realm.\You collaborated with the Celestial Tribe to wipe them out!\You're wrong!\You're the one who harmed them.\If you hadn't asked them to support you\they wouldn't have died so tragically.\Yan Zhi.\Since Father was sealed how have I treated you? response:	Brother Li Jing...
context: You collaborated with the Celestial Tribe to wipe them out!\You're wrong!\You're the one who harmed them.\If you hadn't asked them to support you\they wouldn't have died so tragically.\Yan Zhi.\Since Father was sealed how have I treated you?\Brother Li Jing... response:	Why have you chosen to assist that man?
context: You're wrong!\You're the one who harmed them.\If you hadn't asked them to support you\they wouldn't have died so tragically.\Yan Zhi.\Since Father was sealed how have I treated you?\Brother Li Jing...\Why have you chosen to assist that man? response:	Brother Li Jing.
context: You're the one who harmed them.\If you hadn't asked them to support you\they wouldn't have died so tragically.\Yan Zhi.\Since Father was sealed how have I treated you?\Brother Li Jing...\Why have you chosen to assist that man?\Brother Li Jing. response:	I don't want either of you dead.
context: If you hadn't asked them to support you\they wouldn't have died so tragically.\Yan Zhi.\Since Father was sealed how have I treated you?\Brother Li Jing...\Why have you chosen to assist that man?\Brother Li Jing.\I don't want either of you dead. response:	All these years, I've stayed by Li Yuan's side so that he wouldn't hurt you.
context: they wouldn't have died so tragically.\Yan Zhi.\Since Father was sealed how have I treated you?\Brother Li Jing...\Why have you chosen to assist that man?\Brother Li Jing.\I don't want either of you dead.\All these years, I've stayed by Li Yuan's side so that he wouldn't hurt you. response:	- Take them down! - Yes!
context: Yan Zhi.\Since Father was sealed how have I treated you?\Brother Li Jing...\Why have you chosen to assist that man?\Brother Li Jing.\I don't want either of you dead.\All these years, I've stayed by Li Yuan's side so that he wouldn't hurt you.\- Take them down! - Yes! response:	Li Jing! If you want to kill me do so yourself!
context: Since Father was sealed how have I treated you?\Brother Li Jing...\Why have you chosen to assist that man?\Brother Li Jing.\I don't want either of you dead.\All these years, I've stayed by Li Yuan's side so that he wouldn't hurt you.\- Take them down! - Yes!\Li Jing! If you want to kill me do so yourself! response:	How dare you send such lowly subordinates?
context: Brother Li Jing...\Why have you chosen to assist that man?\Brother Li Jing.\I don't want either of you dead.\All these years, I've stayed by Li Yuan's side so that he wouldn't hurt you.\- Take them down! - Yes!\Li Jing! If you want to kill me do so yourself!\How dare you send such lowly subordinates? response:	I don't want you dead.
context: Why have you chosen to assist that man?\Brother Li Jing.\I don't want either of you dead.\All these years, I've stayed by Li Yuan's side so that he wouldn't hurt you.\- Take them down! - Yes!\Li Jing! If you want to kill me do so yourself!\How dare you send such lowly subordinates?\I don't want you dead. response:	My brother.
context: Brother Li Jing.\I don't want either of you dead.\All these years, I've stayed by Li Yuan's side so that he wouldn't hurt you.\- Take them down! - Yes!\Li Jing! If you want to kill me do so yourself!\How dare you send such lowly subordinates?\I don't want you dead.\My brother. response:	Fine!
context: I don't want either of you dead.\All these years, I've stayed by Li Yuan's side so that he wouldn't hurt you.\- Take them down! - Yes!\Li Jing! If you want to kill me do so yourself!\How dare you send such lowly subordinates?\I don't want you dead.\My brother.\Fine! response:	I'll take you to Father then!
context: All these years, I've stayed by Li Yuan's side so that he wouldn't hurt you.\- Take them down! - Yes!\Li Jing! If you want to kill me do so yourself!\How dare you send such lowly subordinates?\I don't want you dead.\My brother.\Fine!\I'll take you to Father then! response:	Brother Li Yuan! You promised!
context: - Take them down! - Yes!\Li Jing! If you want to kill me do so yourself!\How dare you send such lowly subordinates?\I don't want you dead.\My brother.\Fine!\I'll take you to Father then!\Brother Li Yuan! You promised! response:	You said that you wouldn't attack Brother Li Jing!
context: Li Jing! If you want to kill me do so yourself!\How dare you send such lowly subordinates?\I don't want you dead.\My brother.\Fine!\I'll take you to Father then!\Brother Li Yuan! You promised!\You said that you wouldn't attack Brother Li Jing! response:	Get lost!
context: How dare you send such lowly subordinates?\I don't want you dead.\My brother.\Fine!\I'll take you to Father then!\Brother Li Yuan! You promised!\You said that you wouldn't attack Brother Li Jing!\Get lost! response:	Brother Li Yuan!
context: I don't want you dead.\My brother.\Fine!\I'll take you to Father then!\Brother Li Yuan! You promised!\You said that you wouldn't attack Brother Li Jing!\Get lost!\Brother Li Yuan! response:	Golden Lion!
context: My brother.\Fine!\I'll take you to Father then!\Brother Li Yuan! You promised!\You said that you wouldn't attack Brother Li Jing!\Get lost!\Brother Li Yuan!\Golden Lion! response:	My princess...
context: Fine!\I'll take you to Father then!\Brother Li Yuan! You promised!\You said that you wouldn't attack Brother Li Jing!\Get lost!\Brother Li Yuan!\Golden Lion!\My princess... response:	You have lived up to my expectations after all.
context: I'll take you to Father then!\Brother Li Yuan! You promised!\You said that you wouldn't attack Brother Li Jing!\Get lost!\Brother Li Yuan!\Golden Lion!\My princess...\You have lived up to my expectations after all. response:	All of you have worked hard.
context: Brother Li Yuan! You promised!\You said that you wouldn't attack Brother Li Jing!\Get lost!\Brother Li Yuan!\Golden Lion!\My princess...\You have lived up to my expectations after all.\All of you have worked hard. response:	Great blessings to the Heavenly Lord!
context: You said that you wouldn't attack Brother Li Jing!\Get lost!\Brother Li Yuan!\Golden Lion!\My princess...\You have lived up to my expectations after all.\All of you have worked hard.\Great blessings to the Heavenly Lord! response:	You're blessed by the Heavenly Father!
context: Get lost!\Brother Li Yuan!\Golden Lion!\My princess...\You have lived up to my expectations after all.\All of you have worked hard.\Great blessings to the Heavenly Lord!\You're blessed by the Heavenly Father! response:	Consort!
context: Brother Li Yuan!\Golden Lion!\My princess...\You have lived up to my expectations after all.\All of you have worked hard.\Great blessings to the Heavenly Lord!\You're blessed by the Heavenly Father!\Consort! response:	Consort.
context: Golden Lion!\My princess...\You have lived up to my expectations after all.\All of you have worked hard.\Great blessings to the Heavenly Lord!\You're blessed by the Heavenly Father!\Consort!\Consort. response:	The Crown Prince has returned to the palace in victory.
context: My princess...\You have lived up to my expectations after all.\All of you have worked hard.\Great blessings to the Heavenly Lord!\You're blessed by the Heavenly Father!\Consort!\Consort.\The Crown Prince has returned to the palace in victory. response:	He's discussing matters with the Heavenly Lord now.
context: You have lived up to my expectations after all.\All of you have worked hard.\Great blessings to the Heavenly Lord!\You're blessed by the Heavenly Father!\Consort!\Consort.\The Crown Prince has returned to the palace in victory.\He's discussing matters with the Heavenly Lord now. response:	Deliver this card to the Hall of Beautiful Youth now.
context: All of you have worked hard.\Great blessings to the Heavenly Lord!\You're blessed by the Heavenly Father!\Consort!\Consort.\The Crown Prince has returned to the palace in victory.\He's discussing matters with the Heavenly Lord now.\Deliver this card to the Hall of Beautiful Youth now. response:	Tell the lady that she's been invited to Lotus Pond to admire flowers
context: Great blessings to the Heavenly Lord!\You're blessed by the Heavenly Father!\Consort!\Consort.\The Crown Prince has returned to the palace in victory.\He's discussing matters with the Heavenly Lord now.\Deliver this card to the Hall of Beautiful Youth now.\Tell the lady that she's been invited to Lotus Pond to admire flowers response:	and most female family members of the Celestial Palace will attend.
context: You're blessed by the Heavenly Father!\Consort!\Consort.\The Crown Prince has returned to the palace in victory.\He's discussing matters with the Heavenly Lord now.\Deliver this card to the Hall of Beautiful Youth now.\Tell the lady that she's been invited to Lotus Pond to admire flowers\and most female family members of the Celestial Palace will attend. response:	Should any guards outside the Hall of Beautiful Youth keep you out
context: Consort!\Consort.\The Crown Prince has returned to the palace in victory.\He's discussing matters with the Heavenly Lord now.\Deliver this card to the Hall of Beautiful Youth now.\Tell the lady that she's been invited to Lotus Pond to admire flowers\and most female family members of the Celestial Palace will attend.\Should any guards outside the Hall of Beautiful Youth keep you out response:	tell them that the Heavenly Lord has lifted the house arrest.
context: Consort.\The Crown Prince has returned to the palace in victory.\He's discussing matters with the Heavenly Lord now.\Deliver this card to the Hall of Beautiful Youth now.\Tell the lady that she's been invited to Lotus Pond to admire flowers\and most female family members of the Celestial Palace will attend.\Should any guards outside the Hall of Beautiful Youth keep you out\tell them that the Heavenly Lord has lifted the house arrest. response:	Yes, Consort.
context: The Crown Prince has returned to the palace in victory.\He's discussing matters with the Heavenly Lord now.\Deliver this card to the Hall of Beautiful Youth now.\Tell the lady that she's been invited to Lotus Pond to admire flowers\and most female family members of the Celestial Palace will attend.\Should any guards outside the Hall of Beautiful Youth keep you out\tell them that the Heavenly Lord has lifted the house arrest.\Yes, Consort. response:	This is an invitation from Consort Su Jin.
context: He's discussing matters with the Heavenly Lord now.\Deliver this card to the Hall of Beautiful Youth now.\Tell the lady that she's been invited to Lotus Pond to admire flowers\and most female family members of the Celestial Palace will attend.\Should any guards outside the Hall of Beautiful Youth keep you out\tell them that the Heavenly Lord has lifted the house arrest.\Yes, Consort.\This is an invitation from Consort Su Jin. response:	She's invited female family members of the Celestial Palace to admire flowers.
context: Deliver this card to the Hall of Beautiful Youth now.\Tell the lady that she's been invited to Lotus Pond to admire flowers\and most female family members of the Celestial Palace will attend.\Should any guards outside the Hall of Beautiful Youth keep you out\tell them that the Heavenly Lord has lifted the house arrest.\Yes, Consort.\This is an invitation from Consort Su Jin.\She's invited female family members of the Celestial Palace to admire flowers. response:	The Heavenly Lord has agreed to let the Hall of Beautiful Youth's lady attend.
context: Tell the lady that she's been invited to Lotus Pond to admire flowers\and most female family members of the Celestial Palace will attend.\Should any guards outside the Hall of Beautiful Youth keep you out\tell them that the Heavenly Lord has lifted the house arrest.\Yes, Consort.\This is an invitation from Consort Su Jin.\She's invited female family members of the Celestial Palace to admire flowers.\The Heavenly Lord has agreed to let the Hall of Beautiful Youth's lady attend. response:	This is...
context: and most female family members of the Celestial Palace will attend.\Should any guards outside the Hall of Beautiful Youth keep you out\tell them that the Heavenly Lord has lifted the house arrest.\Yes, Consort.\This is an invitation from Consort Su Jin.\She's invited female family members of the Celestial Palace to admire flowers.\The Heavenly Lord has agreed to let the Hall of Beautiful Youth's lady attend.\This is... response:	If you don't believe me, you may check.
context: Should any guards outside the Hall of Beautiful Youth keep you out\tell them that the Heavenly Lord has lifted the house arrest.\Yes, Consort.\This is an invitation from Consort Su Jin.\She's invited female family members of the Celestial Palace to admire flowers.\The Heavenly Lord has agreed to let the Hall of Beautiful Youth's lady attend.\This is...\If you don't believe me, you may check. response:	Please enter, Fairy.
context: tell them that the Heavenly Lord has lifted the house arrest.\Yes, Consort.\This is an invitation from Consort Su Jin.\She's invited female family members of the Celestial Palace to admire flowers.\The Heavenly Lord has agreed to let the Hall of Beautiful Youth's lady attend.\This is...\If you don't believe me, you may check.\Please enter, Fairy. response:	My lady, walk more slowly.
context: Yes, Consort.\This is an invitation from Consort Su Jin.\She's invited female family members of the Celestial Palace to admire flowers.\The Heavenly Lord has agreed to let the Hall of Beautiful Youth's lady attend.\This is...\If you don't believe me, you may check.\Please enter, Fairy.\My lady, walk more slowly. response:	I'm getting bigger now.
context: This is an invitation from Consort Su Jin.\She's invited female family members of the Celestial Palace to admire flowers.\The Heavenly Lord has agreed to let the Hall of Beautiful Youth's lady attend.\This is...\If you don't believe me, you may check.\Please enter, Fairy.\My lady, walk more slowly.\I'm getting bigger now. response:	It wears me out just to take a few steps.
context: She's invited female family members of the Celestial Palace to admire flowers.\The Heavenly Lord has agreed to let the Hall of Beautiful Youth's lady attend.\This is...\If you don't believe me, you may check.\Please enter, Fairy.\My lady, walk more slowly.\I'm getting bigger now.\It wears me out just to take a few steps. response:	You are due soon.
context: The Heavenly Lord has agreed to let the Hall of Beautiful Youth's lady attend.\This is...\If you don't believe me, you may check.\Please enter, Fairy.\My lady, walk more slowly.\I'm getting bigger now.\It wears me out just to take a few steps.\You are due soon. response:	You could have turned the invitation down.
context: This is...\If you don't believe me, you may check.\Please enter, Fairy.\My lady, walk more slowly.\I'm getting bigger now.\It wears me out just to take a few steps.\You are due soon.\You could have turned the invitation down. response:	Why would you insist on coming to Lotus Pond?
context: If you don't believe me, you may check.\Please enter, Fairy.\My lady, walk more slowly.\I'm getting bigger now.\It wears me out just to take a few steps.\You are due soon.\You could have turned the invitation down.\Why would you insist on coming to Lotus Pond? response:	All female family members in the Celestial Palace are attending.
context: Please enter, Fairy.\My lady, walk more slowly.\I'm getting bigger now.\It wears me out just to take a few steps.\You are due soon.\You could have turned the invitation down.\Why would you insist on coming to Lotus Pond?\All female family members in the Celestial Palace are attending. response:	I'm Ye Hua's wife. How could I not attend?
