context: We beat Brain, and there's only one of Oracion Seis left! response:	That is just a dream.
context: Erza, what are you...\But he said that attacks won't hit him!\While you were bending my armor, you dodged my sword normally!\Why didn't you bend the path of the sword instead?\The answer: Because you can only bend things in one limited area at a time.\The area around yourself, or the area around your enemy...\You must choose one or the other.\While you are casting your magic on me, you cannot activate Reflector around yourself. response:	What incredible battle perception!
context: But he said that attacks won't hit him!\While you were bending my armor, you dodged my sword normally!\Why didn't you bend the path of the sword instead?\The answer: Because you can only bend things in one limited area at a time.\The area around yourself, or the area around your enemy...\You must choose one or the other.\While you are casting your magic on me, you cannot activate Reflector around yourself.\What incredible battle perception! response:	And this, my Robe of Remoteness,
context: While you were bending my armor, you dodged my sword normally!\Why didn't you bend the path of the sword instead?\The answer: Because you can only bend things in one limited area at a time.\The area around yourself, or the area around your enemy...\You must choose one or the other.\While you are casting your magic on me, you cannot activate Reflector around yourself.\What incredible battle perception!\And this, my Robe of Remoteness, response:	is flexible armor!
context: Why didn't you bend the path of the sword instead?\The answer: Because you can only bend things in one limited area at a time.\The area around yourself, or the area around your enemy...\You must choose one or the other.\While you are casting your magic on me, you cannot activate Reflector around yourself.\What incredible battle perception!\And this, my Robe of Remoteness,\is flexible armor! response:	Your magic will not work!
context: The answer: Because you can only bend things in one limited area at a time.\The area around yourself, or the area around your enemy...\You must choose one or the other.\While you are casting your magic on me, you cannot activate Reflector around yourself.\What incredible battle perception!\And this, my Robe of Remoteness,\is flexible armor!\Your magic will not work! response:	Oh? I guess if you include this armor, that's three weaknesses.
context: The area around yourself, or the area around your enemy...\You must choose one or the other.\While you are casting your magic on me, you cannot activate Reflector around yourself.\What incredible battle perception!\And this, my Robe of Remoteness,\is flexible armor!\Your magic will not work!\Oh? I guess if you include this armor, that's three weaknesses. response:	Damn it...
context: You must choose one or the other.\While you are casting your magic on me, you cannot activate Reflector around yourself.\What incredible battle perception!\And this, my Robe of Remoteness,\is flexible armor!\Your magic will not work!\Oh? I guess if you include this armor, that's three weaknesses.\Damn it... response:	I was so close!
context: While you are casting your magic on me, you cannot activate Reflector around yourself.\What incredible battle perception!\And this, my Robe of Remoteness,\is flexible armor!\Your magic will not work!\Oh? I guess if you include this armor, that's three weaknesses.\Damn it...\I was so close! response:	This fight is over.
context: What incredible battle perception!\And this, my Robe of Remoteness,\is flexible armor!\Your magic will not work!\Oh? I guess if you include this armor, that's three weaknesses.\Damn it...\I was so close!\This fight is over. response:	You will surrender without trouble now, yes?
context: And this, my Robe of Remoteness,\is flexible armor!\Your magic will not work!\Oh? I guess if you include this armor, that's three weaknesses.\Damn it...\I was so close!\This fight is over.\You will surrender without trouble now, yes? response:	It is already midnight...
context: is flexible armor!\Your magic will not work!\Oh? I guess if you include this armor, that's three weaknesses.\Damn it...\I was so close!\This fight is over.\You will surrender without trouble now, yes?\It is already midnight... response:	It is too late.
context: Your magic will not work!\Oh? I guess if you include this armor, that's three weaknesses.\Damn it...\I was so close!\This fight is over.\You will surrender without trouble now, yes?\It is already midnight...\It is too late. response:	If you had let me finish you sooner, you could have slept peacefully...
context: Oh? I guess if you include this armor, that's three weaknesses.\Damn it...\I was so close!\This fight is over.\You will surrender without trouble now, yes?\It is already midnight...\It is too late.\If you had let me finish you sooner, you could have slept peacefully... response:	You could have escaped facing the fear!
context: Damn it...\I was so close!\This fight is over.\You will surrender without trouble now, yes?\It is already midnight...\It is too late.\If you had let me finish you sooner, you could have slept peacefully...\You could have escaped facing the fear! response:	What's that?
context: I was so close!\This fight is over.\You will surrender without trouble now, yes?\It is already midnight...\It is too late.\If you had let me finish you sooner, you could have slept peacefully...\You could have escaped facing the fear!\What's that? response:	A bell?
context: This fight is over.\You will surrender without trouble now, yes?\It is already midnight...\It is too late.\If you had let me finish you sooner, you could have slept peacefully...\You could have escaped facing the fear!\What's that?\A bell? response:	It is the bell that chimes midnight.
context: You will surrender without trouble now, yes?\It is already midnight...\It is too late.\If you had let me finish you sooner, you could have slept peacefully...\You could have escaped facing the fear!\What's that?\A bell?\It is the bell that chimes midnight. response:	When it becomes midnight, my warping is taken to the extreme!
context: It is already midnight...\It is too late.\If you had let me finish you sooner, you could have slept peacefully...\You could have escaped facing the fear!\What's that?\A bell?\It is the bell that chimes midnight.\When it becomes midnight, my warping is taken to the extreme! response:	What is this?
context: It is too late.\If you had let me finish you sooner, you could have slept peacefully...\You could have escaped facing the fear!\What's that?\A bell?\It is the bell that chimes midnight.\When it becomes midnight, my warping is taken to the extreme!\What is this? response:	Don't blame me for what's going to happen!
context: If you had let me finish you sooner, you could have slept peacefully...\You could have escaped facing the fear!\What's that?\A bell?\It is the bell that chimes midnight.\When it becomes midnight, my warping is taken to the extreme!\What is this?\Don't blame me for what's going to happen! response:	What is this magic?
context: You could have escaped facing the fear!\What's that?\A bell?\It is the bell that chimes midnight.\When it becomes midnight, my warping is taken to the extreme!\What is this?\Don't blame me for what's going to happen!\What is this magic? response:	It's not a Take Over... It's some magic power I've never felt before!
context: What's that?\A bell?\It is the bell that chimes midnight.\When it becomes midnight, my warping is taken to the extreme!\What is this?\Don't blame me for what's going to happen!\What is this magic?\It's not a Take Over... It's some magic power I've never felt before! response:	Jellal...
context: A bell?\It is the bell that chimes midnight.\When it becomes midnight, my warping is taken to the extreme!\What is this?\Don't blame me for what's going to happen!\What is this magic?\It's not a Take Over... It's some magic power I've never felt before!\Jellal... response:	Your rule was all a lie...
context: It is the bell that chimes midnight.\When it becomes midnight, my warping is taken to the extreme!\What is this?\Don't blame me for what's going to happen!\What is this magic?\It's not a Take Over... It's some magic power I've never felt before!\Jellal...\Your rule was all a lie... response:	There was no freedom in the Tower of Heaven.
context: When it becomes midnight, my warping is taken to the extreme!\What is this?\Don't blame me for what's going to happen!\What is this magic?\It's not a Take Over... It's some magic power I've never felt before!\Jellal...\Your rule was all a lie...\There was no freedom in the Tower of Heaven. response:	After the uprising,
context: What is this?\Don't blame me for what's going to happen!\What is this magic?\It's not a Take Over... It's some magic power I've never felt before!\Jellal...\Your rule was all a lie...\There was no freedom in the Tower of Heaven.\After the uprising, response:	I was so scared every night I couldn't sleep!
context: Don't blame me for what's going to happen!\What is this magic?\It's not a Take Over... It's some magic power I've never felt before!\Jellal...\Your rule was all a lie...\There was no freedom in the Tower of Heaven.\After the uprising,\I was so scared every night I couldn't sleep! response:	What?
context: What is this magic?\It's not a Take Over... It's some magic power I've never felt before!\Jellal...\Your rule was all a lie...\There was no freedom in the Tower of Heaven.\After the uprising,\I was so scared every night I couldn't sleep!\What? response:	I see! You all were also... in that tower!
context: It's not a Take Over... It's some magic power I've never felt before!\Jellal...\Your rule was all a lie...\There was no freedom in the Tower of Heaven.\After the uprising,\I was so scared every night I couldn't sleep!\What?\I see! You all were also... in that tower! response:	So that's what Cobra was saying...
context: Jellal...\Your rule was all a lie...\There was no freedom in the Tower of Heaven.\After the uprising,\I was so scared every night I couldn't sleep!\What?\I see! You all were also... in that tower!\So that's what Cobra was saying... response:	This is also your sin, Titania!
context: Your rule was all a lie...\There was no freedom in the Tower of Heaven.\After the uprising,\I was so scared every night I couldn't sleep!\What?\I see! You all were also... in that tower!\So that's what Cobra was saying...\This is also your sin, Titania! response:	You averted your eyes for eight years from the suffering of your brethren.
context: There was no freedom in the Tower of Heaven.\After the uprising,\I was so scared every night I couldn't sleep!\What?\I see! You all were also... in that tower!\So that's what Cobra was saying...\This is also your sin, Titania!\You averted your eyes for eight years from the suffering of your brethren. response:	And now, at the end, you stand together with Jellal, who should be the root of your hatred!
context: After the uprising,\I was so scared every night I couldn't sleep!\What?\I see! You all were also... in that tower!\So that's what Cobra was saying...\This is also your sin, Titania!\You averted your eyes for eight years from the suffering of your brethren.\And now, at the end, you stand together with Jellal, who should be the root of your hatred! response:	For the people who lost their lives for you, it is truly a nightmare.
context: I was so scared every night I couldn't sleep!\What?\I see! You all were also... in that tower!\So that's what Cobra was saying...\This is also your sin, Titania!\You averted your eyes for eight years from the suffering of your brethren.\And now, at the end, you stand together with Jellal, who should be the root of your hatred!\For the people who lost their lives for you, it is truly a nightmare. response:	Don't you think?
context: What?\I see! You all were also... in that tower!\So that's what Cobra was saying...\This is also your sin, Titania!\You averted your eyes for eight years from the suffering of your brethren.\And now, at the end, you stand together with Jellal, who should be the root of your hatred!\For the people who lost their lives for you, it is truly a nightmare.\Don't you think? response:	Grampa Rob!
context: I see! You all were also... in that tower!\So that's what Cobra was saying...\This is also your sin, Titania!\You averted your eyes for eight years from the suffering of your brethren.\And now, at the end, you stand together with Jellal, who should be the root of your hatred!\For the people who lost their lives for you, it is truly a nightmare.\Don't you think?\Grampa Rob! response:	Simon!
context: So that's what Cobra was saying...\This is also your sin, Titania!\You averted your eyes for eight years from the suffering of your brethren.\And now, at the end, you stand together with Jellal, who should be the root of your hatred!\For the people who lost their lives for you, it is truly a nightmare.\Don't you think?\Grampa Rob!\Simon! response:	They are your sins.
context: This is also your sin, Titania!\You averted your eyes for eight years from the suffering of your brethren.\And now, at the end, you stand together with Jellal, who should be the root of your hatred!\For the people who lost their lives for you, it is truly a nightmare.\Don't you think?\Grampa Rob!\Simon!\They are your sins. response:	You are their nightmare!
context: You averted your eyes for eight years from the suffering of your brethren.\And now, at the end, you stand together with Jellal, who should be the root of your hatred!\For the people who lost their lives for you, it is truly a nightmare.\Don't you think?\Grampa Rob!\Simon!\They are your sins.\You are their nightmare! response:	You fiend!
context: And now, at the end, you stand together with Jellal, who should be the root of your hatred!\For the people who lost their lives for you, it is truly a nightmare.\Don't you think?\Grampa Rob!\Simon!\They are your sins.\You are their nightmare!\You fiend! response:	Whoa, there... That's pretty cruel.
context: For the people who lost their lives for you, it is truly a nightmare.\Don't you think?\Grampa Rob!\Simon!\They are your sins.\You are their nightmare!\You fiend!\Whoa, there... That's pretty cruel. response:	You laid hands on your allies.
context: Don't you think?\Grampa Rob!\Simon!\They are your sins.\You are their nightmare!\You fiend!\Whoa, there... That's pretty cruel.\You laid hands on your allies. response:	Why, you...
context: Grampa Rob!\Simon!\They are your sins.\You are their nightmare!\You fiend!\Whoa, there... That's pretty cruel.\You laid hands on your allies.\Why, you... response:	What?
context: Simon!\They are your sins.\You are their nightmare!\You fiend!\Whoa, there... That's pretty cruel.\You laid hands on your allies.\Why, you...\What? response:	Yes... That's for the best.
context: They are your sins.\You are their nightmare!\You fiend!\Whoa, there... That's pretty cruel.\You laid hands on your allies.\Why, you...\What?\Yes... That's for the best. response:	Jellal, done in by your hands...
context: You are their nightmare!\You fiend!\Whoa, there... That's pretty cruel.\You laid hands on your allies.\Why, you...\What?\Yes... That's for the best.\Jellal, done in by your hands... response:	Villain!
context: You fiend!\Whoa, there... That's pretty cruel.\You laid hands on your allies.\Why, you...\What?\Yes... That's for the best.\Jellal, done in by your hands...\Villain! response:	Erza!
context: Whoa, there... That's pretty cruel.\You laid hands on your allies.\Why, you...\What?\Yes... That's for the best.\Jellal, done in by your hands...\Villain!\Erza! response:	But wait! Midnight's just begun and there's still much more fun!
context: You laid hands on your allies.\Why, you...\What?\Yes... That's for the best.\Jellal, done in by your hands...\Villain!\Erza!\But wait! Midnight's just begun and there's still much more fun! response:	W-What happened?
context: Why, you...\What?\Yes... That's for the best.\Jellal, done in by your hands...\Villain!\Erza!\But wait! Midnight's just begun and there's still much more fun!\W-What happened? response:	I saw him transform into a giant...
context: What?\Yes... That's for the best.\Jellal, done in by your hands...\Villain!\Erza!\But wait! Midnight's just begun and there's still much more fun!\W-What happened?\I saw him transform into a giant... response:	My illusion didn't work?!
context: Yes... That's for the best.\Jellal, done in by your hands...\Villain!\Erza!\But wait! Midnight's just begun and there's still much more fun!\W-What happened?\I saw him transform into a giant...\My illusion didn't work?! response:	Illusion?
context: Jellal, done in by your hands...\Villain!\Erza!\But wait! Midnight's just begun and there's still much more fun!\W-What happened?\I saw him transform into a giant...\My illusion didn't work?!\Illusion? response:	Did what I saw all happen while the bell was still ringing?
context: Villain!\Erza!\But wait! Midnight's just begun and there's still much more fun!\W-What happened?\I saw him transform into a giant...\My illusion didn't work?!\Illusion?\Did what I saw all happen while the bell was still ringing? response:	Sorry, but magic that affects the eyes doesn't work on me.
context: Erza!\But wait! Midnight's just begun and there's still much more fun!\W-What happened?\I saw him transform into a giant...\My illusion didn't work?!\Illusion?\Did what I saw all happen while the bell was still ringing?\Sorry, but magic that affects the eyes doesn't work on me. response:	B-But that's...
context: But wait! Midnight's just begun and there's still much more fun!\W-What happened?\I saw him transform into a giant...\My illusion didn't work?!\Illusion?\Did what I saw all happen while the bell was still ringing?\Sorry, but magic that affects the eyes doesn't work on me.\B-But that's... response:	I was the most powerful...
context: W-What happened?\I saw him transform into a giant...\My illusion didn't work?!\Illusion?\Did what I saw all happen while the bell was still ringing?\Sorry, but magic that affects the eyes doesn't work on me.\B-But that's...\I was the most powerful... response:	I had surpassed my father... I was the strongest of the Six Generals...
context: I saw him transform into a giant...\My illusion didn't work?!\Illusion?\Did what I saw all happen while the bell was still ringing?\Sorry, but magic that affects the eyes doesn't work on me.\B-But that's...\I was the most powerful...\I had surpassed my father... I was the strongest of the Six Generals... response:	I couldn't lose to anyone!
context: My illusion didn't work?!\Illusion?\Did what I saw all happen while the bell was still ringing?\Sorry, but magic that affects the eyes doesn't work on me.\B-But that's...\I was the most powerful...\I had surpassed my father... I was the strongest of the Six Generals...\I couldn't lose to anyone! response:	The most powerful...
context: Illusion?\Did what I saw all happen while the bell was still ringing?\Sorry, but magic that affects the eyes doesn't work on me.\B-But that's...\I was the most powerful...\I had surpassed my father... I was the strongest of the Six Generals...\I couldn't lose to anyone!\The most powerful... response:	As long as you laugh at people's suffering, that goal will remain far out of reach.
context: Did what I saw all happen while the bell was still ringing?\Sorry, but magic that affects the eyes doesn't work on me.\B-But that's...\I was the most powerful...\I had surpassed my father... I was the strongest of the Six Generals...\I couldn't lose to anyone!\The most powerful...\As long as you laugh at people's suffering, that goal will remain far out of reach. response:	My prayer...
context: Sorry, but magic that affects the eyes doesn't work on me.\B-But that's...\I was the most powerful...\I had surpassed my father... I was the strongest of the Six Generals...\I couldn't lose to anyone!\The most powerful...\As long as you laugh at people's suffering, that goal will remain far out of reach.\My prayer... response:	I just wanted to be able to sleep...
context: B-But that's...\I was the most powerful...\I had surpassed my father... I was the strongest of the Six Generals...\I couldn't lose to anyone!\The most powerful...\As long as you laugh at people's suffering, that goal will remain far out of reach.\My prayer...\I just wanted to be able to sleep... response:	In a quiet place...
context: I was the most powerful...\I had surpassed my father... I was the strongest of the Six Generals...\I couldn't lose to anyone!\The most powerful...\As long as you laugh at people's suffering, that goal will remain far out of reach.\My prayer...\I just wanted to be able to sleep...\In a quiet place... response:	Father...
context: I had surpassed my father... I was the strongest of the Six Generals...\I couldn't lose to anyone!\The most powerful...\As long as you laugh at people's suffering, that goal will remain far out of reach.\My prayer...\I just wanted to be able to sleep...\In a quiet place...\Father... response:	This... is Erza.
context: I couldn't lose to anyone!\The most powerful...\As long as you laugh at people's suffering, that goal will remain far out of reach.\My prayer...\I just wanted to be able to sleep...\In a quiet place...\Father...\This... is Erza. response:	If you never want to be defeated, you must first know your own weaknesses.
context: The most powerful...\As long as you laugh at people's suffering, that goal will remain far out of reach.\My prayer...\I just wanted to be able to sleep...\In a quiet place...\Father...\This... is Erza.\If you never want to be defeated, you must first know your own weaknesses. response:	And also... always be kind.
context: As long as you laugh at people's suffering, that goal will remain far out of reach.\My prayer...\I just wanted to be able to sleep...\In a quiet place...\Father...\This... is Erza.\If you never want to be defeated, you must first know your own weaknesses.\And also... always be kind. response:	Natsu!
context: My prayer...\I just wanted to be able to sleep...\In a quiet place...\Father...\This... is Erza.\If you never want to be defeated, you must first know your own weaknesses.\And also... always be kind.\Natsu! response:	Damn it!
context: I just wanted to be able to sleep...\In a quiet place...\Father...\This... is Erza.\If you never want to be defeated, you must first know your own weaknesses.\And also... always be kind.\Natsu!\Damn it! response:	Look at him tumble, Lucy!
context: In a quiet place...\Father...\This... is Erza.\If you never want to be defeated, you must first know your own weaknesses.\And also... always be kind.\Natsu!\Damn it!\Look at him tumble, Lucy! response:	Well, I don't think that's the main point here.
context: Father...\This... is Erza.\If you never want to be defeated, you must first know your own weaknesses.\And also... always be kind.\Natsu!\Damn it!\Look at him tumble, Lucy!\Well, I don't think that's the main point here. response:	Caught ya!
context: This... is Erza.\If you never want to be defeated, you must first know your own weaknesses.\And also... always be kind.\Natsu!\Damn it!\Look at him tumble, Lucy!\Well, I don't think that's the main point here.\Caught ya! response:	Great going, Natsu! Now, beat the crap out of it!
context: If you never want to be defeated, you must first know your own weaknesses.\And also... always be kind.\Natsu!\Damn it!\Look at him tumble, Lucy!\Well, I don't think that's the main point here.\Caught ya!\Great going, Natsu! Now, beat the crap out of it! response:	Stop moving around!
context: And also... always be kind.\Natsu!\Damn it!\Look at him tumble, Lucy!\Well, I don't think that's the main point here.\Caught ya!\Great going, Natsu! Now, beat the crap out of it!\Stop moving around! response:	Hold it down properly, you dolt!
context: Natsu!\Damn it!\Look at him tumble, Lucy!\Well, I don't think that's the main point here.\Caught ya!\Great going, Natsu! Now, beat the crap out of it!\Stop moving around!\Hold it down properly, you dolt! response:	Try dodging it instead, you jerk!
context: Damn it!\Look at him tumble, Lucy!\Well, I don't think that's the main point here.\Caught ya!\Great going, Natsu! Now, beat the crap out of it!\Stop moving around!\Hold it down properly, you dolt!\Try dodging it instead, you jerk! response:	This battle isn't pretty.
context: Look at him tumble, Lucy!\Well, I don't think that's the main point here.\Caught ya!\Great going, Natsu! Now, beat the crap out of it!\Stop moving around!\Hold it down properly, you dolt!\Try dodging it instead, you jerk!\This battle isn't pretty. response:	Here we go again! The usual...
context: Well, I don't think that's the main point here.\Caught ya!\Great going, Natsu! Now, beat the crap out of it!\Stop moving around!\Hold it down properly, you dolt!\Try dodging it instead, you jerk!\This battle isn't pretty.\Here we go again! The usual... response:	The usual over self-consciousness?
context: Caught ya!\Great going, Natsu! Now, beat the crap out of it!\Stop moving around!\Hold it down properly, you dolt!\Try dodging it instead, you jerk!\This battle isn't pretty.\Here we go again! The usual...\The usual over self-consciousness? response:	No!
context: Great going, Natsu! Now, beat the crap out of it!\Stop moving around!\Hold it down properly, you dolt!\Try dodging it instead, you jerk!\This battle isn't pretty.\Here we go again! The usual...\The usual over self-consciousness?\No! response:	The usual It's such trouble being so cute!
context: Stop moving around!\Hold it down properly, you dolt!\Try dodging it instead, you jerk!\This battle isn't pretty.\Here we go again! The usual...\The usual over self-consciousness?\No!\The usual It's such trouble being so cute! response:	Natsu, Gray! Lucy broke!
