context: One winter day, response:	I found an invitation in my shoe locker
context: Since it appeared that\the contents of my bag had been disturbed,\I immediately confronted Natsume-san.\I just wanted to surprise you!\She spat it out easily.\Which brings us here.\Christmas\Chicken! Chicken! response:	I am a chicken!
context: the contents of my bag had been disturbed,\I immediately confronted Natsume-san.\I just wanted to surprise you!\She spat it out easily.\Which brings us here.\Christmas\Chicken! Chicken!\I am a chicken! response:	Natsume-san, do you know what you're saying?
context: I immediately confronted Natsume-san.\I just wanted to surprise you!\She spat it out easily.\Which brings us here.\Christmas\Chicken! Chicken!\I am a chicken!\Natsume-san, do you know what you're saying? response:	Okay?!
context: I just wanted to surprise you!\She spat it out easily.\Which brings us here.\Christmas\Chicken! Chicken!\I am a chicken!\Natsume-san, do you know what you're saying?\Okay?! response:	We zip in, then zip right out!
context: She spat it out easily.\Which brings us here.\Christmas\Chicken! Chicken!\I am a chicken!\Natsume-san, do you know what you're saying?\Okay?!\We zip in, then zip right out! response:	Zippy zip!
context: Which brings us here.\Christmas\Chicken! Chicken!\I am a chicken!\Natsume-san, do you know what you're saying?\Okay?!\We zip in, then zip right out!\Zippy zip! response:	Lately...
context: Christmas\Chicken! Chicken!\I am a chicken!\Natsume-san, do you know what you're saying?\Okay?!\We zip in, then zip right out!\Zippy zip!\Lately... response:	Well, I guess this is nothing new,
context: Chicken! Chicken!\I am a chicken!\Natsume-san, do you know what you're saying?\Okay?!\We zip in, then zip right out!\Zippy zip!\Lately...\Well, I guess this is nothing new, response:	but Haru's been acting strange.
context: I am a chicken!\Natsume-san, do you know what you're saying?\Okay?!\We zip in, then zip right out!\Zippy zip!\Lately...\Well, I guess this is nothing new,\but Haru's been acting strange. response:	He refuses to leave my side,
context: Natsume-san, do you know what you're saying?\Okay?!\We zip in, then zip right out!\Zippy zip!\Lately...\Well, I guess this is nothing new,\but Haru's been acting strange.\He refuses to leave my side, response:	like he's scared of something.
context: Okay?!\We zip in, then zip right out!\Zippy zip!\Lately...\Well, I guess this is nothing new,\but Haru's been acting strange.\He refuses to leave my side,\like he's scared of something. response:	Don't run off without me!
context: We zip in, then zip right out!\Zippy zip!\Lately...\Well, I guess this is nothing new,\but Haru's been acting strange.\He refuses to leave my side,\like he's scared of something.\Don't run off without me! response:	Focus on me!
context: Zippy zip!\Lately...\Well, I guess this is nothing new,\but Haru's been acting strange.\He refuses to leave my side,\like he's scared of something.\Don't run off without me!\Focus on me! response:	Right, okay.
context: Lately...\Well, I guess this is nothing new,\but Haru's been acting strange.\He refuses to leave my side,\like he's scared of something.\Don't run off without me!\Focus on me!\Right, okay. response:	It gets especially bad once we're outside school.
context: Well, I guess this is nothing new,\but Haru's been acting strange.\He refuses to leave my side,\like he's scared of something.\Don't run off without me!\Focus on me!\Right, okay.\It gets especially bad once we're outside school. response:	He's acting just like he was
context: but Haru's been acting strange.\He refuses to leave my side,\like he's scared of something.\Don't run off without me!\Focus on me!\Right, okay.\It gets especially bad once we're outside school.\He's acting just like he was response:	when he started coming back to class.
context: He refuses to leave my side,\like he's scared of something.\Don't run off without me!\Focus on me!\Right, okay.\It gets especially bad once we're outside school.\He's acting just like he was\when he started coming back to class. response:	I wanted to have a serious talk with him before winter began...
context: like he's scared of something.\Don't run off without me!\Focus on me!\Right, okay.\It gets especially bad once we're outside school.\He's acting just like he was\when he started coming back to class.\I wanted to have a serious talk with him before winter began... response:	Eh?! Whatcha lookin' at?!
context: Don't run off without me!\Focus on me!\Right, okay.\It gets especially bad once we're outside school.\He's acting just like he was\when he started coming back to class.\I wanted to have a serious talk with him before winter began...\Eh?! Whatcha lookin' at?! response:	Haru-kun! Don't hurt Santa!
context: Focus on me!\Right, okay.\It gets especially bad once we're outside school.\He's acting just like he was\when he started coming back to class.\I wanted to have a serious talk with him before winter began...\Eh?! Whatcha lookin' at?!\Haru-kun! Don't hurt Santa! response:	What's wrong with Haru-kun?
context: Right, okay.\It gets especially bad once we're outside school.\He's acting just like he was\when he started coming back to class.\I wanted to have a serious talk with him before winter began...\Eh?! Whatcha lookin' at?!\Haru-kun! Don't hurt Santa!\What's wrong with Haru-kun? response:	I thought he'd be the most excited about Christmas.
context: It gets especially bad once we're outside school.\He's acting just like he was\when he started coming back to class.\I wanted to have a serious talk with him before winter began...\Eh?! Whatcha lookin' at?!\Haru-kun! Don't hurt Santa!\What's wrong with Haru-kun?\I thought he'd be the most excited about Christmas. response:	Beats me...
context: He's acting just like he was\when he started coming back to class.\I wanted to have a serious talk with him before winter began...\Eh?! Whatcha lookin' at?!\Haru-kun! Don't hurt Santa!\What's wrong with Haru-kun?\I thought he'd be the most excited about Christmas.\Beats me... response:	Oh.
context: when he started coming back to class.\I wanted to have a serious talk with him before winter began...\Eh?! Whatcha lookin' at?!\Haru-kun! Don't hurt Santa!\What's wrong with Haru-kun?\I thought he'd be the most excited about Christmas.\Beats me...\Oh. response:	Look! This is the place, Haru-kun!
context: I wanted to have a serious talk with him before winter began...\Eh?! Whatcha lookin' at?!\Haru-kun! Don't hurt Santa!\What's wrong with Haru-kun?\I thought he'd be the most excited about Christmas.\Beats me...\Oh.\Look! This is the place, Haru-kun! response:	Christmas Special An Entire Chicken
context: Eh?! Whatcha lookin' at?!\Haru-kun! Don't hurt Santa!\What's wrong with Haru-kun?\I thought he'd be the most excited about Christmas.\Beats me...\Oh.\Look! This is the place, Haru-kun!\Christmas Special An Entire Chicken response:	Ah!
context: Haru-kun! Don't hurt Santa!\What's wrong with Haru-kun?\I thought he'd be the most excited about Christmas.\Beats me...\Oh.\Look! This is the place, Haru-kun!\Christmas Special An Entire Chicken\Ah! response:	Natsume-chan!
context: What's wrong with Haru-kun?\I thought he'd be the most excited about Christmas.\Beats me...\Oh.\Look! This is the place, Haru-kun!\Christmas Special An Entire Chicken\Ah!\Natsume-chan! response:	Let's hang, let's hang, let's hang!
context: I thought he'd be the most excited about Christmas.\Beats me...\Oh.\Look! This is the place, Haru-kun!\Christmas Special An Entire Chicken\Ah!\Natsume-chan!\Let's hang, let's hang, let's hang! response:	Let's hang, let's hang, let's hang!
context: Beats me...\Oh.\Look! This is the place, Haru-kun!\Christmas Special An Entire Chicken\Ah!\Natsume-chan!\Let's hang, let's hang, let's hang!\Let's hang, let's hang, let's hang! response:	I-I can't!
context: Oh.\Look! This is the place, Haru-kun!\Christmas Special An Entire Chicken\Ah!\Natsume-chan!\Let's hang, let's hang, let's hang!\Let's hang, let's hang, let's hang!\I-I can't! response:	We're about to...
context: Look! This is the place, Haru-kun!\Christmas Special An Entire Chicken\Ah!\Natsume-chan!\Let's hang, let's hang, let's hang!\Let's hang, let's hang, let's hang!\I-I can't!\We're about to... response:	Huh? What?
context: Christmas Special An Entire Chicken\Ah!\Natsume-chan!\Let's hang, let's hang, let's hang!\Let's hang, let's hang, let's hang!\I-I can't!\We're about to...\Huh? What? response:	Oh, I know!
context: Ah!\Natsume-chan!\Let's hang, let's hang, let's hang!\Let's hang, let's hang, let's hang!\I-I can't!\We're about to...\Huh? What?\Oh, I know! response:	You're going to a Christmas party!
context: Natsume-chan!\Let's hang, let's hang, let's hang!\Let's hang, let's hang, let's hang!\I-I can't!\We're about to...\Huh? What?\Oh, I know!\You're going to a Christmas party! response:	Hey, lady! Give us 60 pieces of chicken!
context: Let's hang, let's hang, let's hang!\Let's hang, let's hang, let's hang!\I-I can't!\We're about to...\Huh? What?\Oh, I know!\You're going to a Christmas party!\Hey, lady! Give us 60 pieces of chicken! response:	D-Don't order for us!
context: Let's hang, let's hang, let's hang!\I-I can't!\We're about to...\Huh? What?\Oh, I know!\You're going to a Christmas party!\Hey, lady! Give us 60 pieces of chicken!\D-Don't order for us! response:	You can only come if you have one of these invitations!
context: I-I can't!\We're about to...\Huh? What?\Oh, I know!\You're going to a Christmas party!\Hey, lady! Give us 60 pieces of chicken!\D-Don't order for us!\You can only come if you have one of these invitations! response:	Only the chosen are allowed!
context: We're about to...\Huh? What?\Oh, I know!\You're going to a Christmas party!\Hey, lady! Give us 60 pieces of chicken!\D-Don't order for us!\You can only come if you have one of these invitations!\Only the chosen are allowed! response:	Not our problem. We go where we please.
context: Huh? What?\Oh, I know!\You're going to a Christmas party!\Hey, lady! Give us 60 pieces of chicken!\D-Don't order for us!\You can only come if you have one of these invitations!\Only the chosen are allowed!\Not our problem. We go where we please. response:	Because we're bad boys!
context: Oh, I know!\You're going to a Christmas party!\Hey, lady! Give us 60 pieces of chicken!\D-Don't order for us!\You can only come if you have one of these invitations!\Only the chosen are allowed!\Not our problem. We go where we please.\Because we're bad boys! response:	Okay, that means we'll have a total of...
context: You're going to a Christmas party!\Hey, lady! Give us 60 pieces of chicken!\D-Don't order for us!\You can only come if you have one of these invitations!\Only the chosen are allowed!\Not our problem. We go where we please.\Because we're bad boys!\Okay, that means we'll have a total of... response:	Are you coming, Yamaken-kun?
context: Hey, lady! Give us 60 pieces of chicken!\D-Don't order for us!\You can only come if you have one of these invitations!\Only the chosen are allowed!\Not our problem. We go where we please.\Because we're bad boys!\Okay, that means we'll have a total of...\Are you coming, Yamaken-kun? response:	No, I'll...
context: D-Don't order for us!\You can only come if you have one of these invitations!\Only the chosen are allowed!\Not our problem. We go where we please.\Because we're bad boys!\Okay, that means we'll have a total of...\Are you coming, Yamaken-kun?\No, I'll... response:	He doesn't get to come.
context: You can only come if you have one of these invitations!\Only the chosen are allowed!\Not our problem. We go where we please.\Because we're bad boys!\Okay, that means we'll have a total of...\Are you coming, Yamaken-kun?\No, I'll...\He doesn't get to come. response:	Why not?
context: Only the chosen are allowed!\Not our problem. We go where we please.\Because we're bad boys!\Okay, that means we'll have a total of...\Are you coming, Yamaken-kun?\No, I'll...\He doesn't get to come.\Why not? response:	I'm coming.
context: Not our problem. We go where we please.\Because we're bad boys!\Okay, that means we'll have a total of...\Are you coming, Yamaken-kun?\No, I'll...\He doesn't get to come.\Why not?\I'm coming. response:	I'm coming and that's that!
context: Because we're bad boys!\Okay, that means we'll have a total of...\Are you coming, Yamaken-kun?\No, I'll...\He doesn't get to come.\Why not?\I'm coming.\I'm coming and that's that! response:	No, stay away.
context: Okay, that means we'll have a total of...\Are you coming, Yamaken-kun?\No, I'll...\He doesn't get to come.\Why not?\I'm coming.\I'm coming and that's that!\No, stay away. response:	You stay away, Yamaken.
context: Are you coming, Yamaken-kun?\No, I'll...\He doesn't get to come.\Why not?\I'm coming.\I'm coming and that's that!\No, stay away.\You stay away, Yamaken. response:	'Cause you said you're in love with Shizuku.
context: No, I'll...\He doesn't get to come.\Why not?\I'm coming.\I'm coming and that's that!\No, stay away.\You stay away, Yamaken.\'Cause you said you're in love with Shizuku. response:	Fool, I was just joking.
context: He doesn't get to come.\Why not?\I'm coming.\I'm coming and that's that!\No, stay away.\You stay away, Yamaken.\'Cause you said you're in love with Shizuku.\Fool, I was just joking. response:	I knew it!
context: Why not?\I'm coming.\I'm coming and that's that!\No, stay away.\You stay away, Yamaken.\'Cause you said you're in love with Shizuku.\Fool, I was just joking.\I knew it! response:	That scared me!
context: I'm coming.\I'm coming and that's that!\No, stay away.\You stay away, Yamaken.\'Cause you said you're in love with Shizuku.\Fool, I was just joking.\I knew it!\That scared me! response:	C'mon, Haru.
context: I'm coming and that's that!\No, stay away.\You stay away, Yamaken.\'Cause you said you're in love with Shizuku.\Fool, I was just joking.\I knew it!\That scared me!\C'mon, Haru. response:	You can't believe everything you hear!
context: No, stay away.\You stay away, Yamaken.\'Cause you said you're in love with Shizuku.\Fool, I was just joking.\I knew it!\That scared me!\C'mon, Haru.\You can't believe everything you hear! response:	No kidding.
context: You stay away, Yamaken.\'Cause you said you're in love with Shizuku.\Fool, I was just joking.\I knew it!\That scared me!\C'mon, Haru.\You can't believe everything you hear!\No kidding. response:	R-Really?
context: 'Cause you said you're in love with Shizuku.\Fool, I was just joking.\I knew it!\That scared me!\C'mon, Haru.\You can't believe everything you hear!\No kidding.\R-Really? response:	Oh!
context: Fool, I was just joking.\I knew it!\That scared me!\C'mon, Haru.\You can't believe everything you hear!\No kidding.\R-Really?\Oh! response:	Okay, Haru.
context: I knew it!\That scared me!\C'mon, Haru.\You can't believe everything you hear!\No kidding.\R-Really?\Oh!\Okay, Haru. response:	I don't know what just happened,
context: That scared me!\C'mon, Haru.\You can't believe everything you hear!\No kidding.\R-Really?\Oh!\Okay, Haru.\I don't know what just happened, response:	but let's buy some chicken!
context: C'mon, Haru.\You can't believe everything you hear!\No kidding.\R-Really?\Oh!\Okay, Haru.\I don't know what just happened,\but let's buy some chicken! response:	Yeah!
context: You can't believe everything you hear!\No kidding.\R-Really?\Oh!\Okay, Haru.\I don't know what just happened,\but let's buy some chicken!\Yeah! response:	Please wait!
context: No kidding.\R-Really?\Oh!\Okay, Haru.\I don't know what just happened,\but let's buy some chicken!\Yeah!\Please wait! response:	Oh, make sure you get enough for us!
context: R-Really?\Oh!\Okay, Haru.\I don't know what just happened,\but let's buy some chicken!\Yeah!\Please wait!\Oh, make sure you get enough for us! response:	You got it!
context: Oh!\Okay, Haru.\I don't know what just happened,\but let's buy some chicken!\Yeah!\Please wait!\Oh, make sure you get enough for us!\You got it! response:	Haru-kun, they're using you!
context: Okay, Haru.\I don't know what just happened,\but let's buy some chicken!\Yeah!\Please wait!\Oh, make sure you get enough for us!\You got it!\Haru-kun, they're using you! response:	Haru!
context: I don't know what just happened,\but let's buy some chicken!\Yeah!\Please wait!\Oh, make sure you get enough for us!\You got it!\Haru-kun, they're using you!\Haru! response:	You talk way too damn much, moron!
context: but let's buy some chicken!\Yeah!\Please wait!\Oh, make sure you get enough for us!\You got it!\Haru-kun, they're using you!\Haru!\You talk way too damn much, moron! response:	Are you in love with Shizuku?
context: Yeah!\Please wait!\Oh, make sure you get enough for us!\You got it!\Haru-kun, they're using you!\Haru!\You talk way too damn much, moron!\Are you in love with Shizuku? response:	Is that a problem?
context: Please wait!\Oh, make sure you get enough for us!\You got it!\Haru-kun, they're using you!\Haru!\You talk way too damn much, moron!\Are you in love with Shizuku?\Is that a problem? response:	Damn, why did I say that?
context: Oh, make sure you get enough for us!\You got it!\Haru-kun, they're using you!\Haru!\You talk way too damn much, moron!\Are you in love with Shizuku?\Is that a problem?\Damn, why did I say that? response:	What is it?
context: You got it!\Haru-kun, they're using you!\Haru!\You talk way too damn much, moron!\Are you in love with Shizuku?\Is that a problem?\Damn, why did I say that?\What is it? response:	Door charge.
context: Haru-kun, they're using you!\Haru!\You talk way too damn much, moron!\Are you in love with Shizuku?\Is that a problem?\Damn, why did I say that?\What is it?\Door charge. response:	1,520 yen per person.
context: Haru!\You talk way too damn much, moron!\Are you in love with Shizuku?\Is that a problem?\Damn, why did I say that?\What is it?\Door charge.\1,520 yen per person. response:	How could I be attracted to this girl?!
context: You talk way too damn much, moron!\Are you in love with Shizuku?\Is that a problem?\Damn, why did I say that?\What is it?\Door charge.\1,520 yen per person.\How could I be attracted to this girl?! response:	Thank you.
context: Are you in love with Shizuku?\Is that a problem?\Damn, why did I say that?\What is it?\Door charge.\1,520 yen per person.\How could I be attracted to this girl?!\Thank you. response:	You're short 20 yen, Yamaken-kun.
context: Is that a problem?\Damn, why did I say that?\What is it?\Door charge.\1,520 yen per person.\How could I be attracted to this girl?!\Thank you.\You're short 20 yen, Yamaken-kun. response:	You're so anal!
context: Damn, why did I say that?\What is it?\Door charge.\1,520 yen per person.\How could I be attracted to this girl?!\Thank you.\You're short 20 yen, Yamaken-kun.\You're so anal! response:	Natsume-chan, where's the party being held?
context: What is it?\Door charge.\1,520 yen per person.\How could I be attracted to this girl?!\Thank you.\You're short 20 yen, Yamaken-kun.\You're so anal!\Natsume-chan, where's the party being held? response:	Huh? Where?
context: Door charge.\1,520 yen per person.\How could I be attracted to this girl?!\Thank you.\You're short 20 yen, Yamaken-kun.\You're so anal!\Natsume-chan, where's the party being held?\Huh? Where? response:	Misawa Batting Center
context: 1,520 yen per person.\How could I be attracted to this girl?!\Thank you.\You're short 20 yen, Yamaken-kun.\You're so anal!\Natsume-chan, where's the party being held?\Huh? Where?\Misawa Batting Center response:	Oh?
context: How could I be attracted to this girl?!\Thank you.\You're short 20 yen, Yamaken-kun.\You're so anal!\Natsume-chan, where's the party being held?\Huh? Where?\Misawa Batting Center\Oh? response:	Oh, oh, oh?
context: Thank you.\You're short 20 yen, Yamaken-kun.\You're so anal!\Natsume-chan, where's the party being held?\Huh? Where?\Misawa Batting Center\Oh?\Oh, oh, oh? response:	I'm back.
context: You're short 20 yen, Yamaken-kun.\You're so anal!\Natsume-chan, where's the party being held?\Huh? Where?\Misawa Batting Center\Oh?\Oh, oh, oh?\I'm back. response:	There's a whole crowd.
context: You're so anal!\Natsume-chan, where's the party being held?\Huh? Where?\Misawa Batting Center\Oh?\Oh, oh, oh?\I'm back.\There's a whole crowd. response:	Is something special going on?
context: Natsume-chan, where's the party being held?\Huh? Where?\Misawa Batting Center\Oh?\Oh, oh, oh?\I'm back.\There's a whole crowd.\Is something special going on? response:	We're having a Christmas party.
context: Huh? Where?\Misawa Batting Center\Oh?\Oh, oh, oh?\I'm back.\There's a whole crowd.\Is something special going on?\We're having a Christmas party. response:	What? Here?
context: Misawa Batting Center\Oh?\Oh, oh, oh?\I'm back.\There's a whole crowd.\Is something special going on?\We're having a Christmas party.\What? Here? response:	Nobody told me anything.
context: Oh?\Oh, oh, oh?\I'm back.\There's a whole crowd.\Is something special going on?\We're having a Christmas party.\What? Here?\Nobody told me anything. response:	E-Excuse us...
context: Oh, oh, oh?\I'm back.\There's a whole crowd.\Is something special going on?\We're having a Christmas party.\What? Here?\Nobody told me anything.\E-Excuse us... response:	Whoa, my heart just skipped.
context: I'm back.\There's a whole crowd.\Is something special going on?\We're having a Christmas party.\What? Here?\Nobody told me anything.\E-Excuse us...\Whoa, my heart just skipped. response:	Scary... That guy's scary...
context: There's a whole crowd.\Is something special going on?\We're having a Christmas party.\What? Here?\Nobody told me anything.\E-Excuse us...\Whoa, my heart just skipped.\Scary... That guy's scary... response:	Scary? You mean Mi-chan-san?
context: Is something special going on?\We're having a Christmas party.\What? Here?\Nobody told me anything.\E-Excuse us...\Whoa, my heart just skipped.\Scary... That guy's scary...\Scary? You mean Mi-chan-san? response:	Well, we got in a fight here with Haru and the study bug.
context: We're having a Christmas party.\What? Here?\Nobody told me anything.\E-Excuse us...\Whoa, my heart just skipped.\Scary... That guy's scary...\Scary? You mean Mi-chan-san?\Well, we got in a fight here with Haru and the study bug. response:	Can you stay away from them?
context: What? Here?\Nobody told me anything.\E-Excuse us...\Whoa, my heart just skipped.\Scary... That guy's scary...\Scary? You mean Mi-chan-san?\Well, we got in a fight here with Haru and the study bug.\Can you stay away from them? response:	That fool finally made a friend.
context: Nobody told me anything.\E-Excuse us...\Whoa, my heart just skipped.\Scary... That guy's scary...\Scary? You mean Mi-chan-san?\Well, we got in a fight here with Haru and the study bug.\Can you stay away from them?\That fool finally made a friend. response:	Huh?
context: E-Excuse us...\Whoa, my heart just skipped.\Scary... That guy's scary...\Scary? You mean Mi-chan-san?\Well, we got in a fight here with Haru and the study bug.\Can you stay away from them?\That fool finally made a friend.\Huh? response:	If I see you here again, I'll break your legs.
context: Whoa, my heart just skipped.\Scary... That guy's scary...\Scary? You mean Mi-chan-san?\Well, we got in a fight here with Haru and the study bug.\Can you stay away from them?\That fool finally made a friend.\Huh?\If I see you here again, I'll break your legs. response:	Man, I was so scared.
context: Scary... That guy's scary...\Scary? You mean Mi-chan-san?\Well, we got in a fight here with Haru and the study bug.\Can you stay away from them?\That fool finally made a friend.\Huh?\If I see you here again, I'll break your legs.\Man, I was so scared. response:	I bet that guy's totally killed someone before!
context: Scary? You mean Mi-chan-san?\Well, we got in a fight here with Haru and the study bug.\Can you stay away from them?\That fool finally made a friend.\Huh?\If I see you here again, I'll break your legs.\Man, I was so scared.\I bet that guy's totally killed someone before! response:	Should we go somewhere else?
context: Well, we got in a fight here with Haru and the study bug.\Can you stay away from them?\That fool finally made a friend.\Huh?\If I see you here again, I'll break your legs.\Man, I was so scared.\I bet that guy's totally killed someone before!\Should we go somewhere else? response:	Nah, it's okay,
context: Can you stay away from them?\That fool finally made a friend.\Huh?\If I see you here again, I'll break your legs.\Man, I was so scared.\I bet that guy's totally killed someone before!\Should we go somewhere else?\Nah, it's okay, response:	but try to keep it down.
context: That fool finally made a friend.\Huh?\If I see you here again, I'll break your legs.\Man, I was so scared.\I bet that guy's totally killed someone before!\Should we go somewhere else?\Nah, it's okay,\but try to keep it down. response:	What's wrong with Natsume-chan?
context: Huh?\If I see you here again, I'll break your legs.\Man, I was so scared.\I bet that guy's totally killed someone before!\Should we go somewhere else?\Nah, it's okay,\but try to keep it down.\What's wrong with Natsume-chan? response:	She seems a little strange.
context: If I see you here again, I'll break your legs.\Man, I was so scared.\I bet that guy's totally killed someone before!\Should we go somewhere else?\Nah, it's okay,\but try to keep it down.\What's wrong with Natsume-chan?\She seems a little strange. response:	Natsume's always been strange.
context: Man, I was so scared.\I bet that guy's totally killed someone before!\Should we go somewhere else?\Nah, it's okay,\but try to keep it down.\What's wrong with Natsume-chan?\She seems a little strange.\Natsume's always been strange. response:	She's a bit different from the rest of us.
context: I bet that guy's totally killed someone before!\Should we go somewhere else?\Nah, it's okay,\but try to keep it down.\What's wrong with Natsume-chan?\She seems a little strange.\Natsume's always been strange.\She's a bit different from the rest of us. response:	Oh.
context: Should we go somewhere else?\Nah, it's okay,\but try to keep it down.\What's wrong with Natsume-chan?\She seems a little strange.\Natsume's always been strange.\She's a bit different from the rest of us.\Oh. response:	Yeah, got it.
context: Nah, it's okay,\but try to keep it down.\What's wrong with Natsume-chan?\She seems a little strange.\Natsume's always been strange.\She's a bit different from the rest of us.\Oh.\Yeah, got it. response:	Later.
context: but try to keep it down.\What's wrong with Natsume-chan?\She seems a little strange.\Natsume's always been strange.\She's a bit different from the rest of us.\Oh.\Yeah, got it.\Later. response:	Oshima-san.
context: What's wrong with Natsume-chan?\She seems a little strange.\Natsume's always been strange.\She's a bit different from the rest of us.\Oh.\Yeah, got it.\Later.\Oshima-san. response:	Sasahara-kun.
context: She seems a little strange.\Natsume's always been strange.\She's a bit different from the rest of us.\Oh.\Yeah, got it.\Later.\Oshima-san.\Sasahara-kun. response:	Natsume-san was worried because
context: Natsume's always been strange.\She's a bit different from the rest of us.\Oh.\Yeah, got it.\Later.\Oshima-san.\Sasahara-kun.\Natsume-san was worried because response:	you weren't answering your phone.
context: She's a bit different from the rest of us.\Oh.\Yeah, got it.\Later.\Oshima-san.\Sasahara-kun.\Natsume-san was worried because\you weren't answering your phone. response:	Aren't you coming to the Christmas party?
context: Oh.\Yeah, got it.\Later.\Oshima-san.\Sasahara-kun.\Natsume-san was worried because\you weren't answering your phone.\Aren't you coming to the Christmas party? response:	Oh, I was in a meeting...
context: Yeah, got it.\Later.\Oshima-san.\Sasahara-kun.\Natsume-san was worried because\you weren't answering your phone.\Aren't you coming to the Christmas party?\Oh, I was in a meeting... response:	What Christmas party?
context: Later.\Oshima-san.\Sasahara-kun.\Natsume-san was worried because\you weren't answering your phone.\Aren't you coming to the Christmas party?\Oh, I was in a meeting...\What Christmas party? response:	Huh? Didn't you receive an invitation?
context: Oshima-san.\Sasahara-kun.\Natsume-san was worried because\you weren't answering your phone.\Aren't you coming to the Christmas party?\Oh, I was in a meeting...\What Christmas party?\Huh? Didn't you receive an invitation? response:	Th-That was from Natsume-san?
context: Sasahara-kun.\Natsume-san was worried because\you weren't answering your phone.\Aren't you coming to the Christmas party?\Oh, I was in a meeting...\What Christmas party?\Huh? Didn't you receive an invitation?\Th-That was from Natsume-san? response:	I thought it was meant as a prank.
context: Natsume-san was worried because\you weren't answering your phone.\Aren't you coming to the Christmas party?\Oh, I was in a meeting...\What Christmas party?\Huh? Didn't you receive an invitation?\Th-That was from Natsume-san?\I thought it was meant as a prank. response:	If you're coming, we can go together.
context: you weren't answering your phone.\Aren't you coming to the Christmas party?\Oh, I was in a meeting...\What Christmas party?\Huh? Didn't you receive an invitation?\Th-That was from Natsume-san?\I thought it was meant as a prank.\If you're coming, we can go together. response:	I've got my bike.
context: Aren't you coming to the Christmas party?\Oh, I was in a meeting...\What Christmas party?\Huh? Didn't you receive an invitation?\Th-That was from Natsume-san?\I thought it was meant as a prank.\If you're coming, we can go together.\I've got my bike. response:	Oh, uh-huh...
context: Oh, I was in a meeting...\What Christmas party?\Huh? Didn't you receive an invitation?\Th-That was from Natsume-san?\I thought it was meant as a prank.\If you're coming, we can go together.\I've got my bike.\Oh, uh-huh... response:	Sorry, today's not a good day.
