context: No! I don't want to die! response:	Shut up!
context: Shut up! If you want her to live, fork over the cash!\Help me! I have a turtle and a hamster who need me!\I'm sorry, I'm just a temp. You'll want to talk to the banking manager...\This is no time to be playing around.\You're still laughing?!\She's right. It's not nice to keep laughing at her...\Yuzuki-chan. That's the kind of thing that hurts most...\Can you hear me? response:	There it is!
context: Help me! I have a turtle and a hamster who need me!\I'm sorry, I'm just a temp. You'll want to talk to the banking manager...\This is no time to be playing around.\You're still laughing?!\She's right. It's not nice to keep laughing at her...\Yuzuki-chan. That's the kind of thing that hurts most...\Can you hear me?\There it is! response:	Kimari!
context: I'm sorry, I'm just a temp. You'll want to talk to the banking manager...\This is no time to be playing around.\You're still laughing?!\She's right. It's not nice to keep laughing at her...\Yuzuki-chan. That's the kind of thing that hurts most...\Can you hear me?\There it is!\Kimari! response:	Rin! Mom!
context: This is no time to be playing around.\You're still laughing?!\She's right. It's not nice to keep laughing at her...\Yuzuki-chan. That's the kind of thing that hurts most...\Can you hear me?\There it is!\Kimari!\Rin! Mom! response:	What happened to your face?
context: You're still laughing?!\She's right. It's not nice to keep laughing at her...\Yuzuki-chan. That's the kind of thing that hurts most...\Can you hear me?\There it is!\Kimari!\Rin! Mom!\What happened to your face? response:	We've gotta take a picture!
context: She's right. It's not nice to keep laughing at her...\Yuzuki-chan. That's the kind of thing that hurts most...\Can you hear me?\There it is!\Kimari!\Rin! Mom!\What happened to your face?\We've gotta take a picture! response:	That's the first thing you have to say after all this time?
context: Yuzuki-chan. That's the kind of thing that hurts most...\Can you hear me?\There it is!\Kimari!\Rin! Mom!\What happened to your face?\We've gotta take a picture!\That's the first thing you have to say after all this time? response:	Sis, are you gonna do your New Year's Eve broadcast looking like that?
context: Can you hear me?\There it is!\Kimari!\Rin! Mom!\What happened to your face?\We've gotta take a picture!\That's the first thing you have to say after all this time?\Sis, are you gonna do your New Year's Eve broadcast looking like that? response:	My stomach hurts!
context: There it is!\Kimari!\Rin! Mom!\What happened to your face?\We've gotta take a picture!\That's the first thing you have to say after all this time?\Sis, are you gonna do your New Year's Eve broadcast looking like that?\My stomach hurts! response:	We're working on it...
context: Kimari!\Rin! Mom!\What happened to your face?\We've gotta take a picture!\That's the first thing you have to say after all this time?\Sis, are you gonna do your New Year's Eve broadcast looking like that?\My stomach hurts!\We're working on it... response:	Next. Miyake-san?
context: Rin! Mom!\What happened to your face?\We've gotta take a picture!\That's the first thing you have to say after all this time?\Sis, are you gonna do your New Year's Eve broadcast looking like that?\My stomach hurts!\We're working on it...\Next. Miyake-san? response:	Yes?
context: What happened to your face?\We've gotta take a picture!\That's the first thing you have to say after all this time?\Sis, are you gonna do your New Year's Eve broadcast looking like that?\My stomach hurts!\We're working on it...\Next. Miyake-san?\Yes? response:	Some friends of yours heard about this relay test and came to talk to you.
context: We've gotta take a picture!\That's the first thing you have to say after all this time?\Sis, are you gonna do your New Year's Eve broadcast looking like that?\My stomach hurts!\We're working on it...\Next. Miyake-san?\Yes?\Some friends of yours heard about this relay test and came to talk to you. response:	Friends?
context: That's the first thing you have to say after all this time?\Sis, are you gonna do your New Year's Eve broadcast looking like that?\My stomach hurts!\We're working on it...\Next. Miyake-san?\Yes?\Some friends of yours heard about this relay test and came to talk to you.\Friends? response:	Of mine?
context: Sis, are you gonna do your New Year's Eve broadcast looking like that?\My stomach hurts!\We're working on it...\Next. Miyake-san?\Yes?\Some friends of yours heard about this relay test and came to talk to you.\Friends?\Of mine? response:	Miyake-san, it's been so long!
context: My stomach hurts!\We're working on it...\Next. Miyake-san?\Yes?\Some friends of yours heard about this relay test and came to talk to you.\Friends?\Of mine?\Miyake-san, it's been so long! response:	We haven't heard from you for so long, so we were worried.
context: We're working on it...\Next. Miyake-san?\Yes?\Some friends of yours heard about this relay test and came to talk to you.\Friends?\Of mine?\Miyake-san, it's been so long!\We haven't heard from you for so long, so we were worried. response:	What is it?
context: Next. Miyake-san?\Yes?\Some friends of yours heard about this relay test and came to talk to you.\Friends?\Of mine?\Miyake-san, it's been so long!\We haven't heard from you for so long, so we were worried.\What is it? response:	Did it go down?
context: Yes?\Some friends of yours heard about this relay test and came to talk to you.\Friends?\Of mine?\Miyake-san, it's been so long!\We haven't heard from you for so long, so we were worried.\What is it?\Did it go down? response:	Hinata?
context: Some friends of yours heard about this relay test and came to talk to you.\Friends?\Of mine?\Miyake-san, it's been so long!\We haven't heard from you for so long, so we were worried.\What is it?\Did it go down?\Hinata? response:	Ouchies! My leg's cramped!
context: Friends?\Of mine?\Miyake-san, it's been so long!\We haven't heard from you for so long, so we were worried.\What is it?\Did it go down?\Hinata?\Ouchies! My leg's cramped! response:	Shirase, sorry, you take over!
context: Of mine?\Miyake-san, it's been so long!\We haven't heard from you for so long, so we were worried.\What is it?\Did it go down?\Hinata?\Ouchies! My leg's cramped!\Shirase, sorry, you take over! response:	Hey! Hinata!
context: Miyake-san, it's been so long!\We haven't heard from you for so long, so we were worried.\What is it?\Did it go down?\Hinata?\Ouchies! My leg's cramped!\Shirase, sorry, you take over!\Hey! Hinata! response:	New Year's Card from Antarctica Time Table Program Introduction Introduce the Syowa Base Post Office Japan's most southern post box by: Shiraishi Yuzuki Recap episode of the girls' Antarctica report by: Shiraishi Yuzuki Messages from Japan to the crew Messages from family members for Tamaki Mari Messages from Hanyu Daisan High School Track Team for Miyake Hinata Messages from the National Institute of Polar Research for the Challenge for Antarctic Crew Introduce life in Antarctica
context: We haven't heard from you for so long, so we were worried.\What is it?\Did it go down?\Hinata?\Ouchies! My leg's cramped!\Shirase, sorry, you take over!\Hey! Hinata!\New Year's Card from Antarctica Time Table Program Introduction Introduce the Syowa Base Post Office Japan's most southern post box by: Shiraishi Yuzuki Recap episode of the girls' Antarctica report by: Shiraishi Yuzuki Messages from Japan to the crew Messages from family members for Tamaki Mari Messages from Hanyu Daisan High School Track Team for Miyake Hinata Messages from the National Institute of Polar Research for the Challenge for Antarctic Crew Introduce life in Antarctica response:	A Place Further Than the Universe
context: What is it?\Did it go down?\Hinata?\Ouchies! My leg's cramped!\Shirase, sorry, you take over!\Hey! Hinata!\New Year's Card from Antarctica Time Table Program Introduction Introduce the Syowa Base Post Office Japan's most southern post box by: Shiraishi Yuzuki Recap episode of the girls' Antarctica report by: Shiraishi Yuzuki Messages from Japan to the crew Messages from family members for Tamaki Mari Messages from Hanyu Daisan High School Track Team for Miyake Hinata Messages from the National Institute of Polar Research for the Challenge for Antarctic Crew Introduce life in Antarctica\A Place Further Than the Universe response:	Bash That Drum Can!
context: Did it go down?\Hinata?\Ouchies! My leg's cramped!\Shirase, sorry, you take over!\Hey! Hinata!\New Year's Card from Antarctica Time Table Program Introduction Introduce the Syowa Base Post Office Japan's most southern post box by: Shiraishi Yuzuki Recap episode of the girls' Antarctica report by: Shiraishi Yuzuki Messages from Japan to the crew Messages from family members for Tamaki Mari Messages from Hanyu Daisan High School Track Team for Miyake Hinata Messages from the National Institute of Polar Research for the Challenge for Antarctic Crew Introduce life in Antarctica\A Place Further Than the Universe\Bash That Drum Can! response:	12 Likes 22 Comments
context: Hinata?\Ouchies! My leg's cramped!\Shirase, sorry, you take over!\Hey! Hinata!\New Year's Card from Antarctica Time Table Program Introduction Introduce the Syowa Base Post Office Japan's most southern post box by: Shiraishi Yuzuki Recap episode of the girls' Antarctica report by: Shiraishi Yuzuki Messages from Japan to the crew Messages from family members for Tamaki Mari Messages from Hanyu Daisan High School Track Team for Miyake Hinata Messages from the National Institute of Polar Research for the Challenge for Antarctic Crew Introduce life in Antarctica\A Place Further Than the Universe\Bash That Drum Can!\12 Likes 22 Comments response:	Ghosting Jantei Satellite Peace WatchForAnimals
context: Ouchies! My leg's cramped!\Shirase, sorry, you take over!\Hey! Hinata!\New Year's Card from Antarctica Time Table Program Introduction Introduce the Syowa Base Post Office Japan's most southern post box by: Shiraishi Yuzuki Recap episode of the girls' Antarctica report by: Shiraishi Yuzuki Messages from Japan to the crew Messages from family members for Tamaki Mari Messages from Hanyu Daisan High School Track Team for Miyake Hinata Messages from the National Institute of Polar Research for the Challenge for Antarctic Crew Introduce life in Antarctica\A Place Further Than the Universe\Bash That Drum Can!\12 Likes 22 Comments\Ghosting Jantei Satellite Peace WatchForAnimals response:	It's here.
context: Shirase, sorry, you take over!\Hey! Hinata!\New Year's Card from Antarctica Time Table Program Introduction Introduce the Syowa Base Post Office Japan's most southern post box by: Shiraishi Yuzuki Recap episode of the girls' Antarctica report by: Shiraishi Yuzuki Messages from Japan to the crew Messages from family members for Tamaki Mari Messages from Hanyu Daisan High School Track Team for Miyake Hinata Messages from the National Institute of Polar Research for the Challenge for Antarctic Crew Introduce life in Antarctica\A Place Further Than the Universe\Bash That Drum Can!\12 Likes 22 Comments\Ghosting Jantei Satellite Peace WatchForAnimals\It's here. response:	That's all the extra stuff we needed
context: Hey! Hinata!\New Year's Card from Antarctica Time Table Program Introduction Introduce the Syowa Base Post Office Japan's most southern post box by: Shiraishi Yuzuki Recap episode of the girls' Antarctica report by: Shiraishi Yuzuki Messages from Japan to the crew Messages from family members for Tamaki Mari Messages from Hanyu Daisan High School Track Team for Miyake Hinata Messages from the National Institute of Polar Research for the Challenge for Antarctic Crew Introduce life in Antarctica\A Place Further Than the Universe\Bash That Drum Can!\12 Likes 22 Comments\Ghosting Jantei Satellite Peace WatchForAnimals\It's here.\That's all the extra stuff we needed response:	brought by DROMLAN from Japan on its way to the new station.
context: New Year's Card from Antarctica Time Table Program Introduction Introduce the Syowa Base Post Office Japan's most southern post box by: Shiraishi Yuzuki Recap episode of the girls' Antarctica report by: Shiraishi Yuzuki Messages from Japan to the crew Messages from family members for Tamaki Mari Messages from Hanyu Daisan High School Track Team for Miyake Hinata Messages from the National Institute of Polar Research for the Challenge for Antarctic Crew Introduce life in Antarctica\A Place Further Than the Universe\Bash That Drum Can!\12 Likes 22 Comments\Ghosting Jantei Satellite Peace WatchForAnimals\It's here.\That's all the extra stuff we needed\brought by DROMLAN from Japan on its way to the new station. response:	Which means we have everything we need now.
context: A Place Further Than the Universe\Bash That Drum Can!\12 Likes 22 Comments\Ghosting Jantei Satellite Peace WatchForAnimals\It's here.\That's all the extra stuff we needed\brought by DROMLAN from Japan on its way to the new station.\Which means we have everything we need now. response:	Of course, we won't be able to create an observatory
context: Bash That Drum Can!\12 Likes 22 Comments\Ghosting Jantei Satellite Peace WatchForAnimals\It's here.\That's all the extra stuff we needed\brought by DROMLAN from Japan on its way to the new station.\Which means we have everything we need now.\Of course, we won't be able to create an observatory response:	that can see the stars this year right away.
context: 12 Likes 22 Comments\Ghosting Jantei Satellite Peace WatchForAnimals\It's here.\That's all the extra stuff we needed\brought by DROMLAN from Japan on its way to the new station.\Which means we have everything we need now.\Of course, we won't be able to create an observatory\that can see the stars this year right away. response:	But a few years from now, if we try for it...
context: Ghosting Jantei Satellite Peace WatchForAnimals\It's here.\That's all the extra stuff we needed\brought by DROMLAN from Japan on its way to the new station.\Which means we have everything we need now.\Of course, we won't be able to create an observatory\that can see the stars this year right away.\But a few years from now, if we try for it... response:	We should go, shouldn't we?
context: It's here.\That's all the extra stuff we needed\brought by DROMLAN from Japan on its way to the new station.\Which means we have everything we need now.\Of course, we won't be able to create an observatory\that can see the stars this year right away.\But a few years from now, if we try for it...\We should go, shouldn't we? response:	I think that's what everyone wants, at least.
context: That's all the extra stuff we needed\brought by DROMLAN from Japan on its way to the new station.\Which means we have everything we need now.\Of course, we won't be able to create an observatory\that can see the stars this year right away.\But a few years from now, if we try for it...\We should go, shouldn't we?\I think that's what everyone wants, at least. response:	Still... that's the place where Takako died.
context: brought by DROMLAN from Japan on its way to the new station.\Which means we have everything we need now.\Of course, we won't be able to create an observatory\that can see the stars this year right away.\But a few years from now, if we try for it...\We should go, shouldn't we?\I think that's what everyone wants, at least.\Still... that's the place where Takako died. response:	It's not safe at all.
context: Which means we have everything we need now.\Of course, we won't be able to create an observatory\that can see the stars this year right away.\But a few years from now, if we try for it...\We should go, shouldn't we?\I think that's what everyone wants, at least.\Still... that's the place where Takako died.\It's not safe at all. response:	What should we do?
context: Of course, we won't be able to create an observatory\that can see the stars this year right away.\But a few years from now, if we try for it...\We should go, shouldn't we?\I think that's what everyone wants, at least.\Still... that's the place where Takako died.\It's not safe at all.\What should we do? response:	New Year's
context: that can see the stars this year right away.\But a few years from now, if we try for it...\We should go, shouldn't we?\I think that's what everyone wants, at least.\Still... that's the place where Takako died.\It's not safe at all.\What should we do?\New Year's response:	From Syowa Station
context: But a few years from now, if we try for it...\We should go, shouldn't we?\I think that's what everyone wants, at least.\Still... that's the place where Takako died.\It's not safe at all.\What should we do?\New Year's\From Syowa Station response:	This is awful!
context: We should go, shouldn't we?\I think that's what everyone wants, at least.\Still... that's the place where Takako died.\It's not safe at all.\What should we do?\New Year's\From Syowa Station\This is awful! response:	I bet Mom's spreading it all over social media right now!
context: I think that's what everyone wants, at least.\Still... that's the place where Takako died.\It's not safe at all.\What should we do?\New Year's\From Syowa Station\This is awful!\I bet Mom's spreading it all over social media right now! response:	What's the big deal? It makes better advertising for the broadcast.
context: Still... that's the place where Takako died.\It's not safe at all.\What should we do?\New Year's\From Syowa Station\This is awful!\I bet Mom's spreading it all over social media right now!\What's the big deal? It makes better advertising for the broadcast. response:	Hinata?
context: It's not safe at all.\What should we do?\New Year's\From Syowa Station\This is awful!\I bet Mom's spreading it all over social media right now!\What's the big deal? It makes better advertising for the broadcast.\Hinata? response:	Oh... do mine, too!
context: What should we do?\New Year's\From Syowa Station\This is awful!\I bet Mom's spreading it all over social media right now!\What's the big deal? It makes better advertising for the broadcast.\Hinata?\Oh... do mine, too! response:	Oh? Your only New Year's card is to your manager?
context: New Year's\From Syowa Station\This is awful!\I bet Mom's spreading it all over social media right now!\What's the big deal? It makes better advertising for the broadcast.\Hinata?\Oh... do mine, too!\Oh? Your only New Year's card is to your manager? response:	None for your friends from earlier?
context: From Syowa Station\This is awful!\I bet Mom's spreading it all over social media right now!\What's the big deal? It makes better advertising for the broadcast.\Hinata?\Oh... do mine, too!\Oh? Your only New Year's card is to your manager?\None for your friends from earlier? response:	Well... they're New Year's cards,
context: This is awful!\I bet Mom's spreading it all over social media right now!\What's the big deal? It makes better advertising for the broadcast.\Hinata?\Oh... do mine, too!\Oh? Your only New Year's card is to your manager?\None for your friends from earlier?\Well... they're New Year's cards, response:	but they won't reach anyone until the boat gets back to Japan anyway.
context: I bet Mom's spreading it all over social media right now!\What's the big deal? It makes better advertising for the broadcast.\Hinata?\Oh... do mine, too!\Oh? Your only New Year's card is to your manager?\None for your friends from earlier?\Well... they're New Year's cards,\but they won't reach anyone until the boat gets back to Japan anyway. response:	I'm gonna hit the can!
context: What's the big deal? It makes better advertising for the broadcast.\Hinata?\Oh... do mine, too!\Oh? Your only New Year's card is to your manager?\None for your friends from earlier?\Well... they're New Year's cards,\but they won't reach anyone until the boat gets back to Japan anyway.\I'm gonna hit the can! response:	Ouch!
context: Hinata?\Oh... do mine, too!\Oh? Your only New Year's card is to your manager?\None for your friends from earlier?\Well... they're New Year's cards,\but they won't reach anyone until the boat gets back to Japan anyway.\I'm gonna hit the can!\Ouch! response:	Stupid thing...
context: Oh... do mine, too!\Oh? Your only New Year's card is to your manager?\None for your friends from earlier?\Well... they're New Year's cards,\but they won't reach anyone until the boat gets back to Japan anyway.\I'm gonna hit the can!\Ouch!\Stupid thing... response:	Is she annoyed?
context: Oh? Your only New Year's card is to your manager?\None for your friends from earlier?\Well... they're New Year's cards,\but they won't reach anyone until the boat gets back to Japan anyway.\I'm gonna hit the can!\Ouch!\Stupid thing...\Is she annoyed? response:	Did it hurt that much?
context: None for your friends from earlier?\Well... they're New Year's cards,\but they won't reach anyone until the boat gets back to Japan anyway.\I'm gonna hit the can!\Ouch!\Stupid thing...\Is she annoyed?\Did it hurt that much? response:	She seems a bit stressed out.
context: Well... they're New Year's cards,\but they won't reach anyone until the boat gets back to Japan anyway.\I'm gonna hit the can!\Ouch!\Stupid thing...\Is she annoyed?\Did it hurt that much?\She seems a bit stressed out. response:	Shirase-chan, you're going, too?
context: but they won't reach anyone until the boat gets back to Japan anyway.\I'm gonna hit the can!\Ouch!\Stupid thing...\Is she annoyed?\Did it hurt that much?\She seems a bit stressed out.\Shirase-chan, you're going, too? response:	Piss off!
context: I'm gonna hit the can!\Ouch!\Stupid thing...\Is she annoyed?\Did it hurt that much?\She seems a bit stressed out.\Shirase-chan, you're going, too?\Piss off! response:	Piss off!
context: Ouch!\Stupid thing...\Is she annoyed?\Did it hurt that much?\She seems a bit stressed out.\Shirase-chan, you're going, too?\Piss off!\Piss off! response:	Piss off, damn it!
context: Stupid thing...\Is she annoyed?\Did it hurt that much?\She seems a bit stressed out.\Shirase-chan, you're going, too?\Piss off!\Piss off!\Piss off, damn it! response:	Stupid thing!
context: Is she annoyed?\Did it hurt that much?\She seems a bit stressed out.\Shirase-chan, you're going, too?\Piss off!\Piss off!\Piss off, damn it!\Stupid thing! response:	Piss off!
context: Did it hurt that much?\She seems a bit stressed out.\Shirase-chan, you're going, too?\Piss off!\Piss off!\Piss off, damn it!\Stupid thing!\Piss off! response:	There you are!
context: She seems a bit stressed out.\Shirase-chan, you're going, too?\Piss off!\Piss off!\Piss off, damn it!\Stupid thing!\Piss off!\There you are! response:	The weather's cleared up,
context: Shirase-chan, you're going, too?\Piss off!\Piss off!\Piss off, damn it!\Stupid thing!\Piss off!\There you are!\The weather's cleared up, response:	so they said they'd bring us along for the sea ice and geological testing!
context: Piss off!\Piss off!\Piss off, damn it!\Stupid thing!\Piss off!\There you are!\The weather's cleared up,\so they said they'd bring us along for the sea ice and geological testing! response:	I'll prepare the camera, so think about your report!
context: Piss off!\Piss off, damn it!\Stupid thing!\Piss off!\There you are!\The weather's cleared up,\so they said they'd bring us along for the sea ice and geological testing!\I'll prepare the camera, so think about your report! response:	Huh? Oh. Right.
context: Piss off, damn it!\Stupid thing!\Piss off!\There you are!\The weather's cleared up,\so they said they'd bring us along for the sea ice and geological testing!\I'll prepare the camera, so think about your report!\Huh? Oh. Right. response:	Expedition! Expedition!
context: Stupid thing!\Piss off!\There you are!\The weather's cleared up,\so they said they'd bring us along for the sea ice and geological testing!\I'll prepare the camera, so think about your report!\Huh? Oh. Right.\Expedition! Expedition! response:	Don't forget, you said you'd do the report!
context: Piss off!\There you are!\The weather's cleared up,\so they said they'd bring us along for the sea ice and geological testing!\I'll prepare the camera, so think about your report!\Huh? Oh. Right.\Expedition! Expedition!\Don't forget, you said you'd do the report! response:	Don't claim later that you don't want to do it!
context: There you are!\The weather's cleared up,\so they said they'd bring us along for the sea ice and geological testing!\I'll prepare the camera, so think about your report!\Huh? Oh. Right.\Expedition! Expedition!\Don't forget, you said you'd do the report!\Don't claim later that you don't want to do it! response:	Um... Hinata...
context: The weather's cleared up,\so they said they'd bring us along for the sea ice and geological testing!\I'll prepare the camera, so think about your report!\Huh? Oh. Right.\Expedition! Expedition!\Don't forget, you said you'd do the report!\Don't claim later that you don't want to do it!\Um... Hinata... response:	About before...
context: so they said they'd bring us along for the sea ice and geological testing!\I'll prepare the camera, so think about your report!\Huh? Oh. Right.\Expedition! Expedition!\Don't forget, you said you'd do the report!\Don't claim later that you don't want to do it!\Um... Hinata...\About before... response:	That was a test, so it won't cut the mustard.
context: I'll prepare the camera, so think about your report!\Huh? Oh. Right.\Expedition! Expedition!\Don't forget, you said you'd do the report!\Don't claim later that you don't want to do it!\Um... Hinata...\About before...\That was a test, so it won't cut the mustard. response:	No
context: Huh? Oh. Right.\Expedition! Expedition!\Don't forget, you said you'd do the report!\Don't claim later that you don't want to do it!\Um... Hinata...\About before...\That was a test, so it won't cut the mustard.\No response:	Hurry up! They're heading out soon!
context: Expedition! Expedition!\Don't forget, you said you'd do the report!\Don't claim later that you don't want to do it!\Um... Hinata...\About before...\That was a test, so it won't cut the mustard.\No\Hurry up! They're heading out soon! response:	Coming!
context: Don't forget, you said you'd do the report!\Don't claim later that you don't want to do it!\Um... Hinata...\About before...\That was a test, so it won't cut the mustard.\No\Hurry up! They're heading out soon!\Coming! response:	We did this together three years ago.
context: Don't claim later that you don't want to do it!\Um... Hinata...\About before...\That was a test, so it won't cut the mustard.\No\Hurry up! They're heading out soon!\Coming!\We did this together three years ago. response:	Takako-senpai just wanted to do everything.
context: Um... Hinata...\About before...\That was a test, so it won't cut the mustard.\No\Hurry up! They're heading out soon!\Coming!\We did this together three years ago.\Takako-senpai just wanted to do everything. response:	She did?
context: About before...\That was a test, so it won't cut the mustard.\No\Hurry up! They're heading out soon!\Coming!\We did this together three years ago.\Takako-senpai just wanted to do everything.\She did? response:	Yeah, she went all over.
context: That was a test, so it won't cut the mustard.\No\Hurry up! They're heading out soon!\Coming!\We did this together three years ago.\Takako-senpai just wanted to do everything.\She did?\Yeah, she went all over. response:	She was here, too, Shirase-chan!
context: No\Hurry up! They're heading out soon!\Coming!\We did this together three years ago.\Takako-senpai just wanted to do everything.\She did?\Yeah, she went all over.\She was here, too, Shirase-chan! response:	Isn't that nice?
context: Hurry up! They're heading out soon!\Coming!\We did this together three years ago.\Takako-senpai just wanted to do everything.\She did?\Yeah, she went all over.\She was here, too, Shirase-chan!\Isn't that nice? response:	Yeah...
context: Coming!\We did this together three years ago.\Takako-senpai just wanted to do everything.\She did?\Yeah, she went all over.\She was here, too, Shirase-chan!\Isn't that nice?\Yeah... response:	Take that!
context: We did this together three years ago.\Takako-senpai just wanted to do everything.\She did?\Yeah, she went all over.\She was here, too, Shirase-chan!\Isn't that nice?\Yeah...\Take that! response:	What's that?
context: Takako-senpai just wanted to do everything.\She did?\Yeah, she went all over.\She was here, too, Shirase-chan!\Isn't that nice?\Yeah...\Take that!\What's that? response:	It's all ice up ahead, so we're digging a hole with steam.
context: She did?\Yeah, she went all over.\She was here, too, Shirase-chan!\Isn't that nice?\Yeah...\Take that!\What's that?\It's all ice up ahead, so we're digging a hole with steam. response:	After that, I think we went to RundvAgshetta.
context: Yeah, she went all over.\She was here, too, Shirase-chan!\Isn't that nice?\Yeah...\Take that!\What's that?\It's all ice up ahead, so we're digging a hole with steam.\After that, I think we went to RundvAgshetta. response:	Sounds like a powerful name!
context: She was here, too, Shirase-chan!\Isn't that nice?\Yeah...\Take that!\What's that?\It's all ice up ahead, so we're digging a hole with steam.\After that, I think we went to RundvAgshetta.\Sounds like a powerful name! response:	It's a place with exposed rock.
context: Isn't that nice?\Yeah...\Take that!\What's that?\It's all ice up ahead, so we're digging a hole with steam.\After that, I think we went to RundvAgshetta.\Sounds like a powerful name!\It's a place with exposed rock. response:	If you ask Nobue-san, she might take you there.
context: Yeah...\Take that!\What's that?\It's all ice up ahead, so we're digging a hole with steam.\After that, I think we went to RundvAgshetta.\Sounds like a powerful name!\It's a place with exposed rock.\If you ask Nobue-san, she might take you there. response:	Let's go!
context: Take that!\What's that?\It's all ice up ahead, so we're digging a hole with steam.\After that, I think we went to RundvAgshetta.\Sounds like a powerful name!\It's a place with exposed rock.\If you ask Nobue-san, she might take you there.\Let's go! response:	Sea Ice here! Nobue-san at geology? Do you read? Over!
context: What's that?\It's all ice up ahead, so we're digging a hole with steam.\After that, I think we went to RundvAgshetta.\Sounds like a powerful name!\It's a place with exposed rock.\If you ask Nobue-san, she might take you there.\Let's go!\Sea Ice here! Nobue-san at geology? Do you read? Over! response:	Haven't heard from him since Christmas.
context: It's all ice up ahead, so we're digging a hole with steam.\After that, I think we went to RundvAgshetta.\Sounds like a powerful name!\It's a place with exposed rock.\If you ask Nobue-san, she might take you there.\Let's go!\Sea Ice here! Nobue-san at geology? Do you read? Over!\Haven't heard from him since Christmas. response:	The garnet he gave me two years ago...
context: After that, I think we went to RundvAgshetta.\Sounds like a powerful name!\It's a place with exposed rock.\If you ask Nobue-san, she might take you there.\Let's go!\Sea Ice here! Nobue-san at geology? Do you read? Over!\Haven't heard from him since Christmas.\The garnet he gave me two years ago... response:	Dry rocks and dry love...
context: Sounds like a powerful name!\It's a place with exposed rock.\If you ask Nobue-san, she might take you there.\Let's go!\Sea Ice here! Nobue-san at geology? Do you read? Over!\Haven't heard from him since Christmas.\The garnet he gave me two years ago...\Dry rocks and dry love... response:	No email. No nothing from Yu-kun.
context: It's a place with exposed rock.\If you ask Nobue-san, she might take you there.\Let's go!\Sea Ice here! Nobue-san at geology? Do you read? Over!\Haven't heard from him since Christmas.\The garnet he gave me two years ago...\Dry rocks and dry love...\No email. No nothing from Yu-kun. response:	She's currently unable to talk. Over.
context: If you ask Nobue-san, she might take you there.\Let's go!\Sea Ice here! Nobue-san at geology? Do you read? Over!\Haven't heard from him since Christmas.\The garnet he gave me two years ago...\Dry rocks and dry love...\No email. No nothing from Yu-kun.\She's currently unable to talk. Over. response:	It's cold!
context: Let's go!\Sea Ice here! Nobue-san at geology? Do you read? Over!\Haven't heard from him since Christmas.\The garnet he gave me two years ago...\Dry rocks and dry love...\No email. No nothing from Yu-kun.\She's currently unable to talk. Over.\It's cold! response:	Seriously. The difference in air temperature is extreme...
context: Sea Ice here! Nobue-san at geology? Do you read? Over!\Haven't heard from him since Christmas.\The garnet he gave me two years ago...\Dry rocks and dry love...\No email. No nothing from Yu-kun.\She's currently unable to talk. Over.\It's cold!\Seriously. The difference in air temperature is extreme... response:	Please, stop it!
context: Haven't heard from him since Christmas.\The garnet he gave me two years ago...\Dry rocks and dry love...\No email. No nothing from Yu-kun.\She's currently unable to talk. Over.\It's cold!\Seriously. The difference in air temperature is extreme...\Please, stop it! response:	Look! It's amazing!
