context: Agreement response:	I lost.
context: You came to checkmate me.\Even though he was my father's friend, every time he came over,\I would get happy and restless.\Kouda, sorry I'm late.\An emergency came up.\Oh, good work.\Sorry to keep you waiting.\No, that's fine. I was playing with Rei. response:	I see.
context: Even though he was my father's friend, every time he came over,\I would get happy and restless.\Kouda, sorry I'm late.\An emergency came up.\Oh, good work.\Sorry to keep you waiting.\No, that's fine. I was playing with Rei.\I see. response:	Apparently, a while ago, he and my father were members together in the federation.
context: I would get happy and restless.\Kouda, sorry I'm late.\An emergency came up.\Oh, good work.\Sorry to keep you waiting.\No, that's fine. I was playing with Rei.\I see.\Apparently, a while ago, he and my father were members together in the federation. response:	Rei made an interesting move just now.
context: Kouda, sorry I'm late.\An emergency came up.\Oh, good work.\Sorry to keep you waiting.\No, that's fine. I was playing with Rei.\I see.\Apparently, a while ago, he and my father were members together in the federation.\Rei made an interesting move just now. response:	It reminded me of the kind of moves you used to make.
context: An emergency came up.\Oh, good work.\Sorry to keep you waiting.\No, that's fine. I was playing with Rei.\I see.\Apparently, a while ago, he and my father were members together in the federation.\Rei made an interesting move just now.\It reminded me of the kind of moves you used to make. response:	- It looks like he's been studying quite a bit. - Right?
context: Oh, good work.\Sorry to keep you waiting.\No, that's fine. I was playing with Rei.\I see.\Apparently, a while ago, he and my father were members together in the federation.\Rei made an interesting move just now.\It reminded me of the kind of moves you used to make.\- It looks like he's been studying quite a bit. - Right? response:	Shogi wasn't my favorite, but it was precious time that I could spend with my busy father.
context: Sorry to keep you waiting.\No, that's fine. I was playing with Rei.\I see.\Apparently, a while ago, he and my father were members together in the federation.\Rei made an interesting move just now.\It reminded me of the kind of moves you used to make.\- It looks like he's been studying quite a bit. - Right?\Shogi wasn't my favorite, but it was precious time that I could spend with my busy father. response:	So I did my best.
context: No, that's fine. I was playing with Rei.\I see.\Apparently, a while ago, he and my father were members together in the federation.\Rei made an interesting move just now.\It reminded me of the kind of moves you used to make.\- It looks like he's been studying quite a bit. - Right?\Shogi wasn't my favorite, but it was precious time that I could spend with my busy father.\So I did my best. response:	For me, I wish he'd play a little more outside...
context: I see.\Apparently, a while ago, he and my father were members together in the federation.\Rei made an interesting move just now.\It reminded me of the kind of moves you used to make.\- It looks like he's been studying quite a bit. - Right?\Shogi wasn't my favorite, but it was precious time that I could spend with my busy father.\So I did my best.\For me, I wish he'd play a little more outside... response:	In the neighborhood and at school, I got bullied a lot.
context: Apparently, a while ago, he and my father were members together in the federation.\Rei made an interesting move just now.\It reminded me of the kind of moves you used to make.\- It looks like he's been studying quite a bit. - Right?\Shogi wasn't my favorite, but it was precious time that I could spend with my busy father.\So I did my best.\For me, I wish he'd play a little more outside...\In the neighborhood and at school, I got bullied a lot. response:	I just couldn't seem to make any friends.
context: Rei made an interesting move just now.\It reminded me of the kind of moves you used to make.\- It looks like he's been studying quite a bit. - Right?\Shogi wasn't my favorite, but it was precious time that I could spend with my busy father.\So I did my best.\For me, I wish he'd play a little more outside...\In the neighborhood and at school, I got bullied a lot.\I just couldn't seem to make any friends. response:	The kids in my class would have bewildering conversations...
context: It reminded me of the kind of moves you used to make.\- It looks like he's been studying quite a bit. - Right?\Shogi wasn't my favorite, but it was precious time that I could spend with my busy father.\So I did my best.\For me, I wish he'd play a little more outside...\In the neighborhood and at school, I got bullied a lot.\I just couldn't seem to make any friends.\The kids in my class would have bewildering conversations... response:	and I couldn't keep up with it.
context: - It looks like he's been studying quite a bit. - Right?\Shogi wasn't my favorite, but it was precious time that I could spend with my busy father.\So I did my best.\For me, I wish he'd play a little more outside...\In the neighborhood and at school, I got bullied a lot.\I just couldn't seem to make any friends.\The kids in my class would have bewildering conversations...\and I couldn't keep up with it. response:	It seemed like a foreign language.
context: Shogi wasn't my favorite, but it was precious time that I could spend with my busy father.\So I did my best.\For me, I wish he'd play a little more outside...\In the neighborhood and at school, I got bullied a lot.\I just couldn't seem to make any friends.\The kids in my class would have bewildering conversations...\and I couldn't keep up with it.\It seemed like a foreign language. response:	And yet, the words he said while on the other side of the shogi board
context: So I did my best.\For me, I wish he'd play a little more outside...\In the neighborhood and at school, I got bullied a lot.\I just couldn't seem to make any friends.\The kids in my class would have bewildering conversations...\and I couldn't keep up with it.\It seemed like a foreign language.\And yet, the words he said while on the other side of the shogi board response:	always made a deep impression on me.
context: For me, I wish he'd play a little more outside...\In the neighborhood and at school, I got bullied a lot.\I just couldn't seem to make any friends.\The kids in my class would have bewildering conversations...\and I couldn't keep up with it.\It seemed like a foreign language.\And yet, the words he said while on the other side of the shogi board\always made a deep impression on me. response:	Even though he's an adult, he really spoke to me.
context: In the neighborhood and at school, I got bullied a lot.\I just couldn't seem to make any friends.\The kids in my class would have bewildering conversations...\and I couldn't keep up with it.\It seemed like a foreign language.\And yet, the words he said while on the other side of the shogi board\always made a deep impression on me.\Even though he's an adult, he really spoke to me. response:	I understood that.
context: I just couldn't seem to make any friends.\The kids in my class would have bewildering conversations...\and I couldn't keep up with it.\It seemed like a foreign language.\And yet, the words he said while on the other side of the shogi board\always made a deep impression on me.\Even though he's an adult, he really spoke to me.\I understood that. response:	He was the only person outside of my family who did that.
context: The kids in my class would have bewildering conversations...\and I couldn't keep up with it.\It seemed like a foreign language.\And yet, the words he said while on the other side of the shogi board\always made a deep impression on me.\Even though he's an adult, he really spoke to me.\I understood that.\He was the only person outside of my family who did that. response:	Modern Shogi
context: and I couldn't keep up with it.\It seemed like a foreign language.\And yet, the words he said while on the other side of the shogi board\always made a deep impression on me.\Even though he's an adult, he really spoke to me.\I understood that.\He was the only person outside of my family who did that.\Modern Shogi response:	Pick up Momo from kindergarten?
context: It seemed like a foreign language.\And yet, the words he said while on the other side of the shogi board\always made a deep impression on me.\Even though he's an adult, he really spoke to me.\I understood that.\He was the only person outside of my family who did that.\Modern Shogi\Pick up Momo from kindergarten? response:	Yes. The thing is, my aunt...
context: And yet, the words he said while on the other side of the shogi board\always made a deep impression on me.\Even though he's an adult, he really spoke to me.\I understood that.\He was the only person outside of my family who did that.\Modern Shogi\Pick up Momo from kindergarten?\Yes. The thing is, my aunt... response:	Yes, you've met her before, right? She's the proprietress of the club I work at.
context: always made a deep impression on me.\Even though he's an adult, he really spoke to me.\I understood that.\He was the only person outside of my family who did that.\Modern Shogi\Pick up Momo from kindergarten?\Yes. The thing is, my aunt...\Yes, you've met her before, right? She's the proprietress of the club I work at. response:	She made a misstep while going down stairs and hurt her foot. I'm at the hospital now.
context: Even though he's an adult, he really spoke to me.\I understood that.\He was the only person outside of my family who did that.\Modern Shogi\Pick up Momo from kindergarten?\Yes. The thing is, my aunt...\Yes, you've met her before, right? She's the proprietress of the club I work at.\She made a misstep while going down stairs and hurt her foot. I'm at the hospital now. response:	Hina isn't picking up because she's at her school club, and Grandpa is busy at the shop...
context: I understood that.\He was the only person outside of my family who did that.\Modern Shogi\Pick up Momo from kindergarten?\Yes. The thing is, my aunt...\Yes, you've met her before, right? She's the proprietress of the club I work at.\She made a misstep while going down stairs and hurt her foot. I'm at the hospital now.\Hina isn't picking up because she's at her school club, and Grandpa is busy at the shop... response:	I'm sorry. Would you do me this favor?
context: He was the only person outside of my family who did that.\Modern Shogi\Pick up Momo from kindergarten?\Yes. The thing is, my aunt...\Yes, you've met her before, right? She's the proprietress of the club I work at.\She made a misstep while going down stairs and hurt her foot. I'm at the hospital now.\Hina isn't picking up because she's at her school club, and Grandpa is busy at the shop...\I'm sorry. Would you do me this favor? response:	Momo, time to go home!
context: Modern Shogi\Pick up Momo from kindergarten?\Yes. The thing is, my aunt...\Yes, you've met her before, right? She's the proprietress of the club I work at.\She made a misstep while going down stairs and hurt her foot. I'm at the hospital now.\Hina isn't picking up because she's at her school club, and Grandpa is busy at the shop...\I'm sorry. Would you do me this favor?\Momo, time to go home! response:	Okay!
context: Pick up Momo from kindergarten?\Yes. The thing is, my aunt...\Yes, you've met her before, right? She's the proprietress of the club I work at.\She made a misstep while going down stairs and hurt her foot. I'm at the hospital now.\Hina isn't picking up because she's at her school club, and Grandpa is busy at the shop...\I'm sorry. Would you do me this favor?\Momo, time to go home!\Okay! response:	It's Rei!
context: Yes. The thing is, my aunt...\Yes, you've met her before, right? She's the proprietress of the club I work at.\She made a misstep while going down stairs and hurt her foot. I'm at the hospital now.\Hina isn't picking up because she's at her school club, and Grandpa is busy at the shop...\I'm sorry. Would you do me this favor?\Momo, time to go home!\Okay!\It's Rei! response:	Hello.
context: Yes, you've met her before, right? She's the proprietress of the club I work at.\She made a misstep while going down stairs and hurt her foot. I'm at the hospital now.\Hina isn't picking up because she's at her school club, and Grandpa is busy at the shop...\I'm sorry. Would you do me this favor?\Momo, time to go home!\Okay!\It's Rei!\Hello. response:	It seems she's having fun.
context: She made a misstep while going down stairs and hurt her foot. I'm at the hospital now.\Hina isn't picking up because she's at her school club, and Grandpa is busy at the shop...\I'm sorry. Would you do me this favor?\Momo, time to go home!\Okay!\It's Rei!\Hello.\It seems she's having fun. response:	Momo, what song is that?
context: Hina isn't picking up because she's at her school club, and Grandpa is busy at the shop...\I'm sorry. Would you do me this favor?\Momo, time to go home!\Okay!\It's Rei!\Hello.\It seems she's having fun.\Momo, what song is that? response:	Um, it's the cat song! Do you know it?
context: I'm sorry. Would you do me this favor?\Momo, time to go home!\Okay!\It's Rei!\Hello.\It seems she's having fun.\Momo, what song is that?\Um, it's the cat song! Do you know it? response:	Nope.
context: Momo, time to go home!\Okay!\It's Rei!\Hello.\It seems she's having fun.\Momo, what song is that?\Um, it's the cat song! Do you know it?\Nope. response:	This is the first time I've heard it.
context: Okay!\It's Rei!\Hello.\It seems she's having fun.\Momo, what song is that?\Um, it's the cat song! Do you know it?\Nope.\This is the first time I've heard it. response:	Hey, wait!
context: It's Rei!\Hello.\It seems she's having fun.\Momo, what song is that?\Um, it's the cat song! Do you know it?\Nope.\This is the first time I've heard it.\Hey, wait! response:	Momo's hat!
context: Hello.\It seems she's having fun.\Momo, what song is that?\Um, it's the cat song! Do you know it?\Nope.\This is the first time I've heard it.\Hey, wait!\Momo's hat! response:	Thank goodness. A little more and it would've fallen into the river.
context: It seems she's having fun.\Momo, what song is that?\Um, it's the cat song! Do you know it?\Nope.\This is the first time I've heard it.\Hey, wait!\Momo's hat!\Thank goodness. A little more and it would've fallen into the river. response:	A cute girl! Let's play!
context: Momo, what song is that?\Um, it's the cat song! Do you know it?\Nope.\This is the first time I've heard it.\Hey, wait!\Momo's hat!\Thank goodness. A little more and it would've fallen into the river.\A cute girl! Let's play! response:	Stop it, Shiro!
context: Um, it's the cat song! Do you know it?\Nope.\This is the first time I've heard it.\Hey, wait!\Momo's hat!\Thank goodness. A little more and it would've fallen into the river.\A cute girl! Let's play!\Stop it, Shiro! response:	I like her! I like her!
context: Nope.\This is the first time I've heard it.\Hey, wait!\Momo's hat!\Thank goodness. A little more and it would've fallen into the river.\A cute girl! Let's play!\Stop it, Shiro!\I like her! I like her! response:	Momo!
context: This is the first time I've heard it.\Hey, wait!\Momo's hat!\Thank goodness. A little more and it would've fallen into the river.\A cute girl! Let's play!\Stop it, Shiro!\I like her! I like her!\Momo! response:	Come on, come on, little one, let's play!
context: Hey, wait!\Momo's hat!\Thank goodness. A little more and it would've fallen into the river.\A cute girl! Let's play!\Stop it, Shiro!\I like her! I like her!\Momo!\Come on, come on, little one, let's play! response:	Come on, come on, let's play!
context: Momo's hat!\Thank goodness. A little more and it would've fallen into the river.\A cute girl! Let's play!\Stop it, Shiro!\I like her! I like her!\Momo!\Come on, come on, little one, let's play!\Come on, come on, let's play! response:	SLAM
context: Thank goodness. A little more and it would've fallen into the river.\A cute girl! Let's play!\Stop it, Shiro!\I like her! I like her!\Momo!\Come on, come on, little one, let's play!\Come on, come on, let's play!\SLAM response:	Huff Huff
context: A cute girl! Let's play!\Stop it, Shiro!\I like her! I like her!\Momo!\Come on, come on, little one, let's play!\Come on, come on, let's play!\SLAM\Huff Huff response:	Wag Wag Wag
context: Stop it, Shiro!\I like her! I like her!\Momo!\Come on, come on, little one, let's play!\Come on, come on, let's play!\SLAM\Huff Huff\Wag Wag Wag response:	Momo, are you okay? Did you hit your forehead?
context: I like her! I like her!\Momo!\Come on, come on, little one, let's play!\Come on, come on, let's play!\SLAM\Huff Huff\Wag Wag Wag\Momo, are you okay? Did you hit your forehead? response:	I'm sorry! I'm sorry!
context: Momo!\Come on, come on, little one, let's play!\Come on, come on, let's play!\SLAM\Huff Huff\Wag Wag Wag\Momo, are you okay? Did you hit your forehead?\I'm sorry! I'm sorry! response:	Ah, I made her cry. I'm sorry...
context: Come on, come on, little one, let's play!\Come on, come on, let's play!\SLAM\Huff Huff\Wag Wag Wag\Momo, are you okay? Did you hit your forehead?\I'm sorry! I'm sorry!\Ah, I made her cry. I'm sorry... response:	Sadness...
context: Come on, come on, let's play!\SLAM\Huff Huff\Wag Wag Wag\Momo, are you okay? Did you hit your forehead?\I'm sorry! I'm sorry!\Ah, I made her cry. I'm sorry...\Sadness... response:	Look, we're home, Momo.
context: SLAM\Huff Huff\Wag Wag Wag\Momo, are you okay? Did you hit your forehead?\I'm sorry! I'm sorry!\Ah, I made her cry. I'm sorry...\Sadness...\Look, we're home, Momo. response:	Let's tend to those scratches.
context: Huff Huff\Wag Wag Wag\Momo, are you okay? Did you hit your forehead?\I'm sorry! I'm sorry!\Ah, I made her cry. I'm sorry...\Sadness...\Look, we're home, Momo.\Let's tend to those scratches. response:	Momo, do you know where the first-aid kit is?
context: Wag Wag Wag\Momo, are you okay? Did you hit your forehead?\I'm sorry! I'm sorry!\Ah, I made her cry. I'm sorry...\Sadness...\Look, we're home, Momo.\Let's tend to those scratches.\Momo, do you know where the first-aid kit is? response:	Let me see.
context: Momo, are you okay? Did you hit your forehead?\I'm sorry! I'm sorry!\Ah, I made her cry. I'm sorry...\Sadness...\Look, we're home, Momo.\Let's tend to those scratches.\Momo, do you know where the first-aid kit is?\Let me see. response:	Sand got into the scratches.
context: I'm sorry! I'm sorry!\Ah, I made her cry. I'm sorry...\Sadness...\Look, we're home, Momo.\Let's tend to those scratches.\Momo, do you know where the first-aid kit is?\Let me see.\Sand got into the scratches. response:	Here, rinse your hand off.
context: Ah, I made her cry. I'm sorry...\Sadness...\Look, we're home, Momo.\Let's tend to those scratches.\Momo, do you know where the first-aid kit is?\Let me see.\Sand got into the scratches.\Here, rinse your hand off. response:	Rei, it hurts.
context: Sadness...\Look, we're home, Momo.\Let's tend to those scratches.\Momo, do you know where the first-aid kit is?\Let me see.\Sand got into the scratches.\Here, rinse your hand off.\Rei, it hurts. response:	Sorry. Hang in there a little longer, okay?
context: Look, we're home, Momo.\Let's tend to those scratches.\Momo, do you know where the first-aid kit is?\Let me see.\Sand got into the scratches.\Here, rinse your hand off.\Rei, it hurts.\Sorry. Hang in there a little longer, okay? response:	Um, first...
context: Let's tend to those scratches.\Momo, do you know where the first-aid kit is?\Let me see.\Sand got into the scratches.\Here, rinse your hand off.\Rei, it hurts.\Sorry. Hang in there a little longer, okay?\Um, first... response:	Disinfectant.
context: Momo, do you know where the first-aid kit is?\Let me see.\Sand got into the scratches.\Here, rinse your hand off.\Rei, it hurts.\Sorry. Hang in there a little longer, okay?\Um, first...\Disinfectant. response:	That and gauze...
context: Let me see.\Sand got into the scratches.\Here, rinse your hand off.\Rei, it hurts.\Sorry. Hang in there a little longer, okay?\Um, first...\Disinfectant.\That and gauze... response:	Brother!
context: Sand got into the scratches.\Here, rinse your hand off.\Rei, it hurts.\Sorry. Hang in there a little longer, okay?\Um, first...\Disinfectant.\That and gauze...\Brother! response:	Rei?
context: Here, rinse your hand off.\Rei, it hurts.\Sorry. Hang in there a little longer, okay?\Um, first...\Disinfectant.\That and gauze...\Brother!\Rei? response:	I'm really sorry about today.
context: Rei, it hurts.\Sorry. Hang in there a little longer, okay?\Um, first...\Disinfectant.\That and gauze...\Brother!\Rei?\I'm really sorry about today. response:	Rei, children often fall down, so you don't have to worry about it.
context: Sorry. Hang in there a little longer, okay?\Um, first...\Disinfectant.\That and gauze...\Brother!\Rei?\I'm really sorry about today.\Rei, children often fall down, so you don't have to worry about it. response:	Momo doesn't hurt anymore!
context: Um, first...\Disinfectant.\That and gauze...\Brother!\Rei?\I'm really sorry about today.\Rei, children often fall down, so you don't have to worry about it.\Momo doesn't hurt anymore! response:	So bright...
context: Disinfectant.\That and gauze...\Brother!\Rei?\I'm really sorry about today.\Rei, children often fall down, so you don't have to worry about it.\Momo doesn't hurt anymore!\So bright... response:	Um, I'm thirsty, so can I get some milk maybe?
context: That and gauze...\Brother!\Rei?\I'm really sorry about today.\Rei, children often fall down, so you don't have to worry about it.\Momo doesn't hurt anymore!\So bright...\Um, I'm thirsty, so can I get some milk maybe? response:	Rei really felt bad about that, huh?
context: Brother!\Rei?\I'm really sorry about today.\Rei, children often fall down, so you don't have to worry about it.\Momo doesn't hurt anymore!\So bright...\Um, I'm thirsty, so can I get some milk maybe?\Rei really felt bad about that, huh? response:	He hardly ate anything at dinner.
context: Rei?\I'm really sorry about today.\Rei, children often fall down, so you don't have to worry about it.\Momo doesn't hurt anymore!\So bright...\Um, I'm thirsty, so can I get some milk maybe?\Rei really felt bad about that, huh?\He hardly ate anything at dinner. response:	Momo, you probably cried too much and made him worry.
context: I'm really sorry about today.\Rei, children often fall down, so you don't have to worry about it.\Momo doesn't hurt anymore!\So bright...\Um, I'm thirsty, so can I get some milk maybe?\Rei really felt bad about that, huh?\He hardly ate anything at dinner.\Momo, you probably cried too much and made him worry. response:	But Momo didn't cry!
context: Rei, children often fall down, so you don't have to worry about it.\Momo doesn't hurt anymore!\So bright...\Um, I'm thirsty, so can I get some milk maybe?\Rei really felt bad about that, huh?\He hardly ate anything at dinner.\Momo, you probably cried too much and made him worry.\But Momo didn't cry! response:	I haven't had dinner yet-meow!
context: Momo doesn't hurt anymore!\So bright...\Um, I'm thirsty, so can I get some milk maybe?\Rei really felt bad about that, huh?\He hardly ate anything at dinner.\Momo, you probably cried too much and made him worry.\But Momo didn't cry!\I haven't had dinner yet-meow! response:	Big
context: So bright...\Um, I'm thirsty, so can I get some milk maybe?\Rei really felt bad about that, huh?\He hardly ate anything at dinner.\Momo, you probably cried too much and made him worry.\But Momo didn't cry!\I haven't had dinner yet-meow!\Big response:	Big Liars
context: Um, I'm thirsty, so can I get some milk maybe?\Rei really felt bad about that, huh?\He hardly ate anything at dinner.\Momo, you probably cried too much and made him worry.\But Momo didn't cry!\I haven't had dinner yet-meow!\Big\Big Liars response:	But Rei was crying.
context: Rei really felt bad about that, huh?\He hardly ate anything at dinner.\Momo, you probably cried too much and made him worry.\But Momo didn't cry!\I haven't had dinner yet-meow!\Big\Big Liars\But Rei was crying. response:	Big tears drip-dripped down his cheeks. Momo saw it.
context: He hardly ate anything at dinner.\Momo, you probably cried too much and made him worry.\But Momo didn't cry!\I haven't had dinner yet-meow!\Big\Big Liars\But Rei was crying.\Big tears drip-dripped down his cheeks. Momo saw it. response:	Why? Why was Rei crying?
context: Momo, you probably cried too much and made him worry.\But Momo didn't cry!\I haven't had dinner yet-meow!\Big\Big Liars\But Rei was crying.\Big tears drip-dripped down his cheeks. Momo saw it.\Why? Why was Rei crying? response:	I'm sure it's because...
context: But Momo didn't cry!\I haven't had dinner yet-meow!\Big\Big Liars\But Rei was crying.\Big tears drip-dripped down his cheeks. Momo saw it.\Why? Why was Rei crying?\I'm sure it's because... response:	Rei also had...
context: I haven't had dinner yet-meow!\Big\Big Liars\But Rei was crying.\Big tears drip-dripped down his cheeks. Momo saw it.\Why? Why was Rei crying?\I'm sure it's because...\Rei also had... response:	One day, my normal life suddenly ended, as if it had been ripped away from me.
context: Big\Big Liars\But Rei was crying.\Big tears drip-dripped down his cheeks. Momo saw it.\Why? Why was Rei crying?\I'm sure it's because...\Rei also had...\One day, my normal life suddenly ended, as if it had been ripped away from me. response:	When I returned from the school trip, my precious father, mother, and little sister...
context: Big Liars\But Rei was crying.\Big tears drip-dripped down his cheeks. Momo saw it.\Why? Why was Rei crying?\I'm sure it's because...\Rei also had...\One day, my normal life suddenly ended, as if it had been ripped away from me.\When I returned from the school trip, my precious father, mother, and little sister... response:	They said it was an involvement with a drunken truck driver...
context: But Rei was crying.\Big tears drip-dripped down his cheeks. Momo saw it.\Why? Why was Rei crying?\I'm sure it's because...\Rei also had...\One day, my normal life suddenly ended, as if it had been ripped away from me.\When I returned from the school trip, my precious father, mother, and little sister...\They said it was an involvement with a drunken truck driver... response:	Apparently, the three of them were killed instantly.
context: Big tears drip-dripped down his cheeks. Momo saw it.\Why? Why was Rei crying?\I'm sure it's because...\Rei also had...\One day, my normal life suddenly ended, as if it had been ripped away from me.\When I returned from the school trip, my precious father, mother, and little sister...\They said it was an involvement with a drunken truck driver...\Apparently, the three of them were killed instantly. response:	I wonder what will happen to their son.
context: Why? Why was Rei crying?\I'm sure it's because...\Rei also had...\One day, my normal life suddenly ended, as if it had been ripped away from me.\When I returned from the school trip, my precious father, mother, and little sister...\They said it was an involvement with a drunken truck driver...\Apparently, the three of them were killed instantly.\I wonder what will happen to their son. response:	The younger sister, Kiwako, will probably take him in, right?
context: I'm sure it's because...\Rei also had...\One day, my normal life suddenly ended, as if it had been ripped away from me.\When I returned from the school trip, my precious father, mother, and little sister...\They said it was an involvement with a drunken truck driver...\Apparently, the three of them were killed instantly.\I wonder what will happen to their son.\The younger sister, Kiwako, will probably take him in, right? response:	There's no way that woman would agree to it.
context: Rei also had...\One day, my normal life suddenly ended, as if it had been ripped away from me.\When I returned from the school trip, my precious father, mother, and little sister...\They said it was an involvement with a drunken truck driver...\Apparently, the three of them were killed instantly.\I wonder what will happen to their son.\The younger sister, Kiwako, will probably take him in, right?\There's no way that woman would agree to it. response:	And his grandfather is far too old...
context: One day, my normal life suddenly ended, as if it had been ripped away from me.\When I returned from the school trip, my precious father, mother, and little sister...\They said it was an involvement with a drunken truck driver...\Apparently, the three of them were killed instantly.\I wonder what will happen to their son.\The younger sister, Kiwako, will probably take him in, right?\There's no way that woman would agree to it.\And his grandfather is far too old... response:	You fool!
context: When I returned from the school trip, my precious father, mother, and little sister...\They said it was an involvement with a drunken truck driver...\Apparently, the three of them were killed instantly.\I wonder what will happen to their son.\The younger sister, Kiwako, will probably take him in, right?\There's no way that woman would agree to it.\And his grandfather is far too old...\You fool! response:	What's going to happen to the hospital?
context: They said it was an involvement with a drunken truck driver...\Apparently, the three of them were killed instantly.\I wonder what will happen to their son.\The younger sister, Kiwako, will probably take him in, right?\There's no way that woman would agree to it.\And his grandfather is far too old...\You fool!\What's going to happen to the hospital? response:	You finally gave up shogi and agreed to take over after I retired.
context: Apparently, the three of them were killed instantly.\I wonder what will happen to their son.\The younger sister, Kiwako, will probably take him in, right?\There's no way that woman would agree to it.\And his grandfather is far too old...\You fool!\What's going to happen to the hospital?\You finally gave up shogi and agreed to take over after I retired. response:	- I thought everything would turn out well... - Father-in-law, it'll be okay.
context: I wonder what will happen to their son.\The younger sister, Kiwako, will probably take him in, right?\There's no way that woman would agree to it.\And his grandfather is far too old...\You fool!\What's going to happen to the hospital?\You finally gave up shogi and agreed to take over after I retired.\- I thought everything would turn out well... - Father-in-law, it'll be okay. response:	You've got me. I'll take care of everything.
context: The younger sister, Kiwako, will probably take him in, right?\There's no way that woman would agree to it.\And his grandfather is far too old...\You fool!\What's going to happen to the hospital?\You finally gave up shogi and agreed to take over after I retired.\- I thought everything would turn out well... - Father-in-law, it'll be okay.\You've got me. I'll take care of everything. response:	Yes, that's what I've been saying from the beginning.
context: There's no way that woman would agree to it.\And his grandfather is far too old...\You fool!\What's going to happen to the hospital?\You finally gave up shogi and agreed to take over after I retired.\- I thought everything would turn out well... - Father-in-law, it'll be okay.\You've got me. I'll take care of everything.\Yes, that's what I've been saying from the beginning. response:	But you only thought about big brother.
context: And his grandfather is far too old...\You fool!\What's going to happen to the hospital?\You finally gave up shogi and agreed to take over after I retired.\- I thought everything would turn out well... - Father-in-law, it'll be okay.\You've got me. I'll take care of everything.\Yes, that's what I've been saying from the beginning.\But you only thought about big brother. response:	Poor child.
context: You fool!\What's going to happen to the hospital?\You finally gave up shogi and agreed to take over after I retired.\- I thought everything would turn out well... - Father-in-law, it'll be okay.\You've got me. I'll take care of everything.\Yes, that's what I've been saying from the beginning.\But you only thought about big brother.\Poor child. response:	I'll find a good orphanage for Rei.
context: What's going to happen to the hospital?\You finally gave up shogi and agreed to take over after I retired.\- I thought everything would turn out well... - Father-in-law, it'll be okay.\You've got me. I'll take care of everything.\Yes, that's what I've been saying from the beginning.\But you only thought about big brother.\Poor child.\I'll find a good orphanage for Rei. response:	I didn't know what an orphanage was.
context: You finally gave up shogi and agreed to take over after I retired.\- I thought everything would turn out well... - Father-in-law, it'll be okay.\You've got me. I'll take care of everything.\Yes, that's what I've been saying from the beginning.\But you only thought about big brother.\Poor child.\I'll find a good orphanage for Rei.\I didn't know what an orphanage was. response:	Koud
