context: No! response:	Fate doesn't matter.
context: I guess I'd want to leave my genes.\Emergency meeting?\Everyone is here, I see.\I would like to entrust you with a mission of utmost secrecy.\But did you have to notify us like this?\So what's this top secret mission?\You must go to a place, and dig up an item.\What's the item? response:	Top secret.
context: Emergency meeting?\Everyone is here, I see.\I would like to entrust you with a mission of utmost secrecy.\But did you have to notify us like this?\So what's this top secret mission?\You must go to a place, and dig up an item.\What's the item?\Top secret. response:	Where's the place?
context: Everyone is here, I see.\I would like to entrust you with a mission of utmost secrecy.\But did you have to notify us like this?\So what's this top secret mission?\You must go to a place, and dig up an item.\What's the item?\Top secret.\Where's the place? response:	Top secret.
context: I would like to entrust you with a mission of utmost secrecy.\But did you have to notify us like this?\So what's this top secret mission?\You must go to a place, and dig up an item.\What's the item?\Top secret.\Where's the place?\Top secret. response:	And we get to dig?
context: But did you have to notify us like this?\So what's this top secret mission?\You must go to a place, and dig up an item.\What's the item?\Top secret.\Where's the place?\Top secret.\And we get to dig? response:	Top secret.
context: So what's this top secret mission?\You must go to a place, and dig up an item.\What's the item?\Top secret.\Where's the place?\Top secret.\And we get to dig?\Top secret. response:	You'll be leaving tomorrow.
context: You must go to a place, and dig up an item.\What's the item?\Top secret.\Where's the place?\Top secret.\And we get to dig?\Top secret.\You'll be leaving tomorrow. response:	All you need to know and have prepared
context: What's the item?\Top secret.\Where's the place?\Top secret.\And we get to dig?\Top secret.\You'll be leaving tomorrow.\All you need to know and have prepared response:	is detailed in this strategic handbook.
context: Top secret.\Where's the place?\Top secret.\And we get to dig?\Top secret.\You'll be leaving tomorrow.\All you need to know and have prepared\is detailed in this strategic handbook. response:	Remember, this is completely secret.
context: Where's the place?\Top secret.\And we get to dig?\Top secret.\You'll be leaving tomorrow.\All you need to know and have prepared\is detailed in this strategic handbook.\Remember, this is completely secret. response:	Do not let anyone else know.
context: Top secret.\And we get to dig?\Top secret.\You'll be leaving tomorrow.\All you need to know and have prepared\is detailed in this strategic handbook.\Remember, this is completely secret.\Do not let anyone else know. response:	Excuse me, High Commander?
context: And we get to dig?\Top secret.\You'll be leaving tomorrow.\All you need to know and have prepared\is detailed in this strategic handbook.\Remember, this is completely secret.\Do not let anyone else know.\Excuse me, High Commander? response:	I'm sure you're all concerned after seeing this obviously handmade book,
context: Top secret.\You'll be leaving tomorrow.\All you need to know and have prepared\is detailed in this strategic handbook.\Remember, this is completely secret.\Do not let anyone else know.\Excuse me, High Commander?\I'm sure you're all concerned after seeing this obviously handmade book, response:	The bananas are not snacks!
context: You'll be leaving tomorrow.\All you need to know and have prepared\is detailed in this strategic handbook.\Remember, this is completely secret.\Do not let anyone else know.\Excuse me, High Commander?\I'm sure you're all concerned after seeing this obviously handmade book,\The bananas are not snacks! response:	It's beautiful!
context: All you need to know and have prepared\is detailed in this strategic handbook.\Remember, this is completely secret.\Do not let anyone else know.\Excuse me, High Commander?\I'm sure you're all concerned after seeing this obviously handmade book,\The bananas are not snacks!\It's beautiful! response:	Keep it down. This isn't just a field trip.
context: is detailed in this strategic handbook.\Remember, this is completely secret.\Do not let anyone else know.\Excuse me, High Commander?\I'm sure you're all concerned after seeing this obviously handmade book,\The bananas are not snacks!\It's beautiful!\Keep it down. This isn't just a field trip. response:	What?
context: Remember, this is completely secret.\Do not let anyone else know.\Excuse me, High Commander?\I'm sure you're all concerned after seeing this obviously handmade book,\The bananas are not snacks!\It's beautiful!\Keep it down. This isn't just a field trip.\What? response:	So these are our supplies?
context: Do not let anyone else know.\Excuse me, High Commander?\I'm sure you're all concerned after seeing this obviously handmade book,\The bananas are not snacks!\It's beautiful!\Keep it down. This isn't just a field trip.\What?\So these are our supplies? response:	Kind of weird for bananas, aren't they?
context: Excuse me, High Commander?\I'm sure you're all concerned after seeing this obviously handmade book,\The bananas are not snacks!\It's beautiful!\Keep it down. This isn't just a field trip.\What?\So these are our supplies?\Kind of weird for bananas, aren't they? response:	The hell?
context: I'm sure you're all concerned after seeing this obviously handmade book,\The bananas are not snacks!\It's beautiful!\Keep it down. This isn't just a field trip.\What?\So these are our supplies?\Kind of weird for bananas, aren't they?\The hell? response:	Seeds?
context: The bananas are not snacks!\It's beautiful!\Keep it down. This isn't just a field trip.\What?\So these are our supplies?\Kind of weird for bananas, aren't they?\The hell?\Seeds? response:	These must be an old type of banana.
context: It's beautiful!\Keep it down. This isn't just a field trip.\What?\So these are our supplies?\Kind of weird for bananas, aren't they?\The hell?\Seeds?\These must be an old type of banana. response:	Bananas aside, where are we going?
context: Keep it down. This isn't just a field trip.\What?\So these are our supplies?\Kind of weird for bananas, aren't they?\The hell?\Seeds?\These must be an old type of banana.\Bananas aside, where are we going? response:	He wouldn't say, and the Vectors are preprogrammed.
context: What?\So these are our supplies?\Kind of weird for bananas, aren't they?\The hell?\Seeds?\These must be an old type of banana.\Bananas aside, where are we going?\He wouldn't say, and the Vectors are preprogrammed. response:	We're just along for the ride.
context: So these are our supplies?\Kind of weird for bananas, aren't they?\The hell?\Seeds?\These must be an old type of banana.\Bananas aside, where are we going?\He wouldn't say, and the Vectors are preprogrammed.\We're just along for the ride. response:	Do you know, Professor?
context: Kind of weird for bananas, aren't they?\The hell?\Seeds?\These must be an old type of banana.\Bananas aside, where are we going?\He wouldn't say, and the Vectors are preprogrammed.\We're just along for the ride.\Do you know, Professor? response:	All I know is that I have to lead.
context: The hell?\Seeds?\These must be an old type of banana.\Bananas aside, where are we going?\He wouldn't say, and the Vectors are preprogrammed.\We're just along for the ride.\Do you know, Professor?\All I know is that I have to lead. response:	Not even Professor Donar was told about this operation.
context: Seeds?\These must be an old type of banana.\Bananas aside, where are we going?\He wouldn't say, and the Vectors are preprogrammed.\We're just along for the ride.\Do you know, Professor?\All I know is that I have to lead.\Not even Professor Donar was told about this operation. response:	This really is top secret!
context: These must be an old type of banana.\Bananas aside, where are we going?\He wouldn't say, and the Vectors are preprogrammed.\We're just along for the ride.\Do you know, Professor?\All I know is that I have to lead.\Not even Professor Donar was told about this operation.\This really is top secret! response:	What does the High Commander want us to dig up?
context: Bananas aside, where are we going?\He wouldn't say, and the Vectors are preprogrammed.\We're just along for the ride.\Do you know, Professor?\All I know is that I have to lead.\Not even Professor Donar was told about this operation.\This really is top secret!\What does the High Commander want us to dig up? response:	What if it's...
context: He wouldn't say, and the Vectors are preprogrammed.\We're just along for the ride.\Do you know, Professor?\All I know is that I have to lead.\Not even Professor Donar was told about this operation.\This really is top secret!\What does the High Commander want us to dig up?\What if it's... response:	the mythical Legendary Aquarion?
context: We're just along for the ride.\Do you know, Professor?\All I know is that I have to lead.\Not even Professor Donar was told about this operation.\This really is top secret!\What does the High Commander want us to dig up?\What if it's...\the mythical Legendary Aquarion? response:	The Legendary Aquarion?
context: Do you know, Professor?\All I know is that I have to lead.\Not even Professor Donar was told about this operation.\This really is top secret!\What does the High Commander want us to dig up?\What if it's...\the mythical Legendary Aquarion?\The Legendary Aquarion? response:	But even if the legend is real...
context: All I know is that I have to lead.\Not even Professor Donar was told about this operation.\This really is top secret!\What does the High Commander want us to dig up?\What if it's...\the mythical Legendary Aquarion?\The Legendary Aquarion?\But even if the legend is real... response:	What's going to happen if we dig it up?
context: Not even Professor Donar was told about this operation.\This really is top secret!\What does the High Commander want us to dig up?\What if it's...\the mythical Legendary Aquarion?\The Legendary Aquarion?\But even if the legend is real...\What's going to happen if we dig it up? response:	So they've finally started...
context: This really is top secret!\What does the High Commander want us to dig up?\What if it's...\the mythical Legendary Aquarion?\The Legendary Aquarion?\But even if the legend is real...\What's going to happen if we dig it up?\So they've finally started... response:	searching for the Wings of the Sun.
context: What does the High Commander want us to dig up?\What if it's...\the mythical Legendary Aquarion?\The Legendary Aquarion?\But even if the legend is real...\What's going to happen if we dig it up?\So they've finally started...\searching for the Wings of the Sun. response:	The Legendary Aquarion is supposed to be here?
context: What if it's...\the mythical Legendary Aquarion?\The Legendary Aquarion?\But even if the legend is real...\What's going to happen if we dig it up?\So they've finally started...\searching for the Wings of the Sun.\The Legendary Aquarion is supposed to be here? response:	It would be a good place to hide it, I suppose.
context: the mythical Legendary Aquarion?\The Legendary Aquarion?\But even if the legend is real...\What's going to happen if we dig it up?\So they've finally started...\searching for the Wings of the Sun.\The Legendary Aquarion is supposed to be here?\It would be a good place to hide it, I suppose. response:	This is a lake! How does the High Commander expect us to dig in a lake?
context: The Legendary Aquarion?\But even if the legend is real...\What's going to happen if we dig it up?\So they've finally started...\searching for the Wings of the Sun.\The Legendary Aquarion is supposed to be here?\It would be a good place to hide it, I suppose.\This is a lake! How does the High Commander expect us to dig in a lake? response:	Wait there for a while.
context: But even if the legend is real...\What's going to happen if we dig it up?\So they've finally started...\searching for the Wings of the Sun.\The Legendary Aquarion is supposed to be here?\It would be a good place to hide it, I suppose.\This is a lake! How does the High Commander expect us to dig in a lake?\Wait there for a while. response:	You're all free until ordered otherwise.
context: What's going to happen if we dig it up?\So they've finally started...\searching for the Wings of the Sun.\The Legendary Aquarion is supposed to be here?\It would be a good place to hide it, I suppose.\This is a lake! How does the High Commander expect us to dig in a lake?\Wait there for a while.\You're all free until ordered otherwise. response:	You heard him.
context: So they've finally started...\searching for the Wings of the Sun.\The Legendary Aquarion is supposed to be here?\It would be a good place to hide it, I suppose.\This is a lake! How does the High Commander expect us to dig in a lake?\Wait there for a while.\You're all free until ordered otherwise.\You heard him. response:	We have free time?
context: searching for the Wings of the Sun.\The Legendary Aquarion is supposed to be here?\It would be a good place to hide it, I suppose.\This is a lake! How does the High Commander expect us to dig in a lake?\Wait there for a while.\You're all free until ordered otherwise.\You heard him.\We have free time? response:	That's what he said.
context: The Legendary Aquarion is supposed to be here?\It would be a good place to hide it, I suppose.\This is a lake! How does the High Commander expect us to dig in a lake?\Wait there for a while.\You're all free until ordered otherwise.\You heard him.\We have free time?\That's what he said. response:	So that's what these are for!
context: It would be a good place to hide it, I suppose.\This is a lake! How does the High Commander expect us to dig in a lake?\Wait there for a while.\You're all free until ordered otherwise.\You heard him.\We have free time?\That's what he said.\So that's what these are for! response:	Check it out!
context: This is a lake! How does the High Commander expect us to dig in a lake?\Wait there for a while.\You're all free until ordered otherwise.\You heard him.\We have free time?\That's what he said.\So that's what these are for!\Check it out! response:	Things to bring... swimsuits?
context: Wait there for a while.\You're all free until ordered otherwise.\You heard him.\We have free time?\That's what he said.\So that's what these are for!\Check it out!\Things to bring... swimsuits? response:	If you have forgotten your swimsuit, there are some in the transport.
context: You're all free until ordered otherwise.\You heard him.\We have free time?\That's what he said.\So that's what these are for!\Check it out!\Things to bring... swimsuits?\If you have forgotten your swimsuit, there are some in the transport. response:	Forget the war for now and let your souls be cleansed.
context: You heard him.\We have free time?\That's what he said.\So that's what these are for!\Check it out!\Things to bring... swimsuits?\If you have forgotten your swimsuit, there are some in the transport.\Forget the war for now and let your souls be cleansed. response:	W-What are you staring at?
context: We have free time?\That's what he said.\So that's what these are for!\Check it out!\Things to bring... swimsuits?\If you have forgotten your swimsuit, there are some in the transport.\Forget the war for now and let your souls be cleansed.\W-What are you staring at? response:	Hidden beneath Professor Suomi's normal tough, strict shell...
context: That's what he said.\So that's what these are for!\Check it out!\Things to bring... swimsuits?\If you have forgotten your swimsuit, there are some in the transport.\Forget the war for now and let your souls be cleansed.\W-What are you staring at?\Hidden beneath Professor Suomi's normal tough, strict shell... response:	is a beautiful lady!
context: So that's what these are for!\Check it out!\Things to bring... swimsuits?\If you have forgotten your swimsuit, there are some in the transport.\Forget the war for now and let your souls be cleansed.\W-What are you staring at?\Hidden beneath Professor Suomi's normal tough, strict shell...\is a beautiful lady! response:	Zessica's normal clothes may seem risque,
context: Check it out!\Things to bring... swimsuits?\If you have forgotten your swimsuit, there are some in the transport.\Forget the war for now and let your souls be cleansed.\W-What are you staring at?\Hidden beneath Professor Suomi's normal tough, strict shell...\is a beautiful lady!\Zessica's normal clothes may seem risque, response:	(I)
context: Things to bring... swimsuits?\If you have forgotten your swimsuit, there are some in the transport.\Forget the war for now and let your souls be cleansed.\W-What are you staring at?\Hidden beneath Professor Suomi's normal tough, strict shell...\is a beautiful lady!\Zessica's normal clothes may seem risque,\(I) response:	but she's got a new air to her with that swimsuit!
context: If you have forgotten your swimsuit, there are some in the transport.\Forget the war for now and let your souls be cleansed.\W-What are you staring at?\Hidden beneath Professor Suomi's normal tough, strict shell...\is a beautiful lady!\Zessica's normal clothes may seem risque,\(I)\but she's got a new air to her with that swimsuit! response:	But the star of today's show...
context: Forget the war for now and let your souls be cleansed.\W-What are you staring at?\Hidden beneath Professor Suomi's normal tough, strict shell...\is a beautiful lady!\Zessica's normal clothes may seem risque,\(I)\but she's got a new air to her with that swimsuit!\But the star of today's show... response:	Even in a swimsuit with a mature design, those big bangs are making universes left and right!
context: W-What are you staring at?\Hidden beneath Professor Suomi's normal tough, strict shell...\is a beautiful lady!\Zessica's normal clothes may seem risque,\(I)\but she's got a new air to her with that swimsuit!\But the star of today's show...\Even in a swimsuit with a mature design, those big bangs are making universes left and right! response:	Mix...
context: Hidden beneath Professor Suomi's normal tough, strict shell...\is a beautiful lady!\Zessica's normal clothes may seem risque,\(I)\but she's got a new air to her with that swimsuit!\But the star of today's show...\Even in a swimsuit with a mature design, those big bangs are making universes left and right!\Mix... response:	(I)
context: is a beautiful lady!\Zessica's normal clothes may seem risque,\(I)\but she's got a new air to her with that swimsuit!\But the star of today's show...\Even in a swimsuit with a mature design, those big bangs are making universes left and right!\Mix...\(I) response:	Of course, Mikono's swimsuit is cute,
context: Zessica's normal clothes may seem risque,\(I)\but she's got a new air to her with that swimsuit!\But the star of today's show...\Even in a swimsuit with a mature design, those big bangs are making universes left and right!\Mix...\(I)\Of course, Mikono's swimsuit is cute, response:	but Yunoha...
context: (I)\but she's got a new air to her with that swimsuit!\But the star of today's show...\Even in a swimsuit with a mature design, those big bangs are making universes left and right!\Mix...\(I)\Of course, Mikono's swimsuit is cute,\but Yunoha... response:	Unbelievably adorable!
context: but she's got a new air to her with that swimsuit!\But the star of today's show...\Even in a swimsuit with a mature design, those big bangs are making universes left and right!\Mix...\(I)\Of course, Mikono's swimsuit is cute,\but Yunoha...\Unbelievably adorable! response:	Are you ignoring me on purpose?
context: But the star of today's show...\Even in a swimsuit with a mature design, those big bangs are making universes left and right!\Mix...\(I)\Of course, Mikono's swimsuit is cute,\but Yunoha...\Unbelievably adorable!\Are you ignoring me on purpose? response:	Mikono...
context: Even in a swimsuit with a mature design, those big bangs are making universes left and right!\Mix...\(I)\Of course, Mikono's swimsuit is cute,\but Yunoha...\Unbelievably adorable!\Are you ignoring me on purpose?\Mikono... response:	The wind blowing over the lake plays a melody.
context: Mix...\(I)\Of course, Mikono's swimsuit is cute,\but Yunoha...\Unbelievably adorable!\Are you ignoring me on purpose?\Mikono...\The wind blowing over the lake plays a melody. response:	Doesn't it feel wonderful, my friend?
context: (I)\Of course, Mikono's swimsuit is cute,\but Yunoha...\Unbelievably adorable!\Are you ignoring me on purpose?\Mikono...\The wind blowing over the lake plays a melody.\Doesn't it feel wonderful, my friend? response:	Should we be doing this?
context: Of course, Mikono's swimsuit is cute,\but Yunoha...\Unbelievably adorable!\Are you ignoring me on purpose?\Mikono...\The wind blowing over the lake plays a melody.\Doesn't it feel wonderful, my friend?\Should we be doing this? response:	We can't do anything else until the High Commander gives us instructions.
context: but Yunoha...\Unbelievably adorable!\Are you ignoring me on purpose?\Mikono...\The wind blowing over the lake plays a melody.\Doesn't it feel wonderful, my friend?\Should we be doing this?\We can't do anything else until the High Commander gives us instructions. response:	Let's enjoy this. Consider it part of our training.
context: Unbelievably adorable!\Are you ignoring me on purpose?\Mikono...\The wind blowing over the lake plays a melody.\Doesn't it feel wonderful, my friend?\Should we be doing this?\We can't do anything else until the High Commander gives us instructions.\Let's enjoy this. Consider it part of our training. response:	Training?
context: Are you ignoring me on purpose?\Mikono...\The wind blowing over the lake plays a melody.\Doesn't it feel wonderful, my friend?\Should we be doing this?\We can't do anything else until the High Commander gives us instructions.\Let's enjoy this. Consider it part of our training.\Training? response:	Are we still not good enough?
context: Mikono...\The wind blowing over the lake plays a melody.\Doesn't it feel wonderful, my friend?\Should we be doing this?\We can't do anything else until the High Commander gives us instructions.\Let's enjoy this. Consider it part of our training.\Training?\Are we still not good enough? response:	Here I go!
context: The wind blowing over the lake plays a melody.\Doesn't it feel wonderful, my friend?\Should we be doing this?\We can't do anything else until the High Commander gives us instructions.\Let's enjoy this. Consider it part of our training.\Training?\Are we still not good enough?\Here I go! response:	This isn't really about the swimsuit, but...
context: Doesn't it feel wonderful, my friend?\Should we be doing this?\We can't do anything else until the High Commander gives us instructions.\Let's enjoy this. Consider it part of our training.\Training?\Are we still not good enough?\Here I go!\This isn't really about the swimsuit, but... response:	Mix is really pretty.
context: Should we be doing this?\We can't do anything else until the High Commander gives us instructions.\Let's enjoy this. Consider it part of our training.\Training?\Are we still not good enough?\Here I go!\This isn't really about the swimsuit, but...\Mix is really pretty. response:	Yeah...
context: We can't do anything else until the High Commander gives us instructions.\Let's enjoy this. Consider it part of our training.\Training?\Are we still not good enough?\Here I go!\This isn't really about the swimsuit, but...\Mix is really pretty.\Yeah... response:	Mikono sure is pretty.
context: Let's enjoy this. Consider it part of our training.\Training?\Are we still not good enough?\Here I go!\This isn't really about the swimsuit, but...\Mix is really pretty.\Yeah...\Mikono sure is pretty. response:	Damn it! My genes are going nuts!
context: Training?\Are we still not good enough?\Here I go!\This isn't really about the swimsuit, but...\Mix is really pretty.\Yeah...\Mikono sure is pretty.\Damn it! My genes are going nuts! response:	What am I doing watching this opportunity go by?
context: Are we still not good enough?\Here I go!\This isn't really about the swimsuit, but...\Mix is really pretty.\Yeah...\Mikono sure is pretty.\Damn it! My genes are going nuts!\What am I doing watching this opportunity go by? response:	Ready, aim, fire!
context: Here I go!\This isn't really about the swimsuit, but...\Mix is really pretty.\Yeah...\Mikono sure is pretty.\Damn it! My genes are going nuts!\What am I doing watching this opportunity go by?\Ready, aim, fire! response:	Andy!
context: This isn't really about the swimsuit, but...\Mix is really pretty.\Yeah...\Mikono sure is pretty.\Damn it! My genes are going nuts!\What am I doing watching this opportunity go by?\Ready, aim, fire!\Andy! response:	Ow!
context: Mix is really pretty.\Yeah...\Mikono sure is pretty.\Damn it! My genes are going nuts!\What am I doing watching this opportunity go by?\Ready, aim, fire!\Andy!\Ow! response:	Sorry. Are you okay?
context: Yeah...\Mikono sure is pretty.\Damn it! My genes are going nuts!\What am I doing watching this opportunity go by?\Ready, aim, fire!\Andy!\Ow!\Sorry. Are you okay? response:	I'm fine. It's just a bruise.
context: Mikono sure is pretty.\Damn it! My genes are going nuts!\What am I doing watching this opportunity go by?\Ready, aim, fire!\Andy!\Ow!\Sorry. Are you okay?\I'm fine. It's just a bruise. response:	It's nothing compared to the pounding pain in my heart!
