context: To grant my wishes? response:	Yep.
context: It's just been pretending to sit there for seven years.\What is it really up to?\The town's safety is more and more at risk every day.\We have to do something about it before it's too late.\I think the town's as safe as it could be.\The saucer versus a friend in need,\whose side are you on?\Well, a friend in need, but... response:	All right then, let's take back the town's safety.
context: What is it really up to?\The town's safety is more and more at risk every day.\We have to do something about it before it's too late.\I think the town's as safe as it could be.\The saucer versus a friend in need,\whose side are you on?\Well, a friend in need, but...\All right then, let's take back the town's safety. response:	The two of us will.
context: The town's safety is more and more at risk every day.\We have to do something about it before it's too late.\I think the town's as safe as it could be.\The saucer versus a friend in need,\whose side are you on?\Well, a friend in need, but...\All right then, let's take back the town's safety.\The two of us will. response:	What?
context: We have to do something about it before it's too late.\I think the town's as safe as it could be.\The saucer versus a friend in need,\whose side are you on?\Well, a friend in need, but...\All right then, let's take back the town's safety.\The two of us will.\What? response:	No Saucer
context: I think the town's as safe as it could be.\The saucer versus a friend in need,\whose side are you on?\Well, a friend in need, but...\All right then, let's take back the town's safety.\The two of us will.\What?\No Saucer response:	Your cooperation, please.
context: The saucer versus a friend in need,\whose side are you on?\Well, a friend in need, but...\All right then, let's take back the town's safety.\The two of us will.\What?\No Saucer\Your cooperation, please. response:	Please.
context: whose side are you on?\Well, a friend in need, but...\All right then, let's take back the town's safety.\The two of us will.\What?\No Saucer\Your cooperation, please.\Please. response:	Let's take back our town.
context: Well, a friend in need, but...\All right then, let's take back the town's safety.\The two of us will.\What?\No Saucer\Your cooperation, please.\Please.\Let's take back our town. response:	Saucer Palace
context: All right then, let's take back the town's safety.\The two of us will.\What?\No Saucer\Your cooperation, please.\Please.\Let's take back our town.\Saucer Palace response:	Shiihara Shop
context: The two of us will.\What?\No Saucer\Your cooperation, please.\Please.\Let's take back our town.\Saucer Palace\Shiihara Shop response:	Let's take it back.
context: What?\No Saucer\Your cooperation, please.\Please.\Let's take back our town.\Saucer Palace\Shiihara Shop\Let's take it back. response:	Your cooperation, please!
context: No Saucer\Your cooperation, please.\Please.\Let's take back our town.\Saucer Palace\Shiihara Shop\Let's take it back.\Your cooperation, please! response:	Please!
context: Your cooperation, please.\Please.\Let's take back our town.\Saucer Palace\Shiihara Shop\Let's take it back.\Your cooperation, please!\Please! response:	Come on, Nonoka, you, too.
context: Please.\Let's take back our town.\Saucer Palace\Shiihara Shop\Let's take it back.\Your cooperation, please!\Please!\Come on, Nonoka, you, too. response:	Please don't say my name.
context: Let's take back our town.\Saucer Palace\Shiihara Shop\Let's take it back.\Your cooperation, please!\Please!\Come on, Nonoka, you, too.\Please don't say my name. response:	You have to shout louder.
context: Saucer Palace\Shiihara Shop\Let's take it back.\Your cooperation, please!\Please!\Come on, Nonoka, you, too.\Please don't say my name.\You have to shout louder. response:	Otherwise they won't get it.
context: Shiihara Shop\Let's take it back.\Your cooperation, please!\Please!\Come on, Nonoka, you, too.\Please don't say my name.\You have to shout louder.\Otherwise they won't get it. response:	No, I
context: Let's take it back.\Your cooperation, please!\Please!\Come on, Nonoka, you, too.\Please don't say my name.\You have to shout louder.\Otherwise they won't get it.\No, I response:	Oh, yeah.
context: Your cooperation, please!\Please!\Come on, Nonoka, you, too.\Please don't say my name.\You have to shout louder.\Otherwise they won't get it.\No, I\Oh, yeah. response:	Want to use this?
context: Please!\Come on, Nonoka, you, too.\Please don't say my name.\You have to shout louder.\Otherwise they won't get it.\No, I\Oh, yeah.\Want to use this? response:	It's fine, I'll be fine.
context: Come on, Nonoka, you, too.\Please don't say my name.\You have to shout louder.\Otherwise they won't get it.\No, I\Oh, yeah.\Want to use this?\It's fine, I'll be fine. response:	Oh?
context: Please don't say my name.\You have to shout louder.\Otherwise they won't get it.\No, I\Oh, yeah.\Want to use this?\It's fine, I'll be fine.\Oh? response:	Your cooperation, please!
context: You have to shout louder.\Otherwise they won't get it.\No, I\Oh, yeah.\Want to use this?\It's fine, I'll be fine.\Oh?\Your cooperation, please! response:	Let's drive out the saucer!
context: Otherwise they won't get it.\No, I\Oh, yeah.\Want to use this?\It's fine, I'll be fine.\Oh?\Your cooperation, please!\Let's drive out the saucer! response:	We do not need a saucer in our town!
context: No, I\Oh, yeah.\Want to use this?\It's fine, I'll be fine.\Oh?\Your cooperation, please!\Let's drive out the saucer!\We do not need a saucer in our town! response:	We must stay strong!
context: Oh, yeah.\Want to use this?\It's fine, I'll be fine.\Oh?\Your cooperation, please!\Let's drive out the saucer!\We do not need a saucer in our town!\We must stay strong! response:	Mizusaka-san...
context: Want to use this?\It's fine, I'll be fine.\Oh?\Your cooperation, please!\Let's drive out the saucer!\We do not need a saucer in our town!\We must stay strong!\Mizusaka-san... response:	What's wrong?
context: It's fine, I'll be fine.\Oh?\Your cooperation, please!\Let's drive out the saucer!\We do not need a saucer in our town!\We must stay strong!\Mizusaka-san...\What's wrong? response:	Oh, sorry.
context: Oh?\Your cooperation, please!\Let's drive out the saucer!\We do not need a saucer in our town!\We must stay strong!\Mizusaka-san...\What's wrong?\Oh, sorry. response:	How long are we doing this?
context: Your cooperation, please!\Let's drive out the saucer!\We do not need a saucer in our town!\We must stay strong!\Mizusaka-san...\What's wrong?\Oh, sorry.\How long are we doing this? response:	Until the saucer goes away.
context: Let's drive out the saucer!\We do not need a saucer in our town!\We must stay strong!\Mizusaka-san...\What's wrong?\Oh, sorry.\How long are we doing this?\Until the saucer goes away. response:	Seriously?
context: We do not need a saucer in our town!\We must stay strong!\Mizusaka-san...\What's wrong?\Oh, sorry.\How long are we doing this?\Until the saucer goes away.\Seriously? response:	Of course.
context: We must stay strong!\Mizusaka-san...\What's wrong?\Oh, sorry.\How long are we doing this?\Until the saucer goes away.\Seriously?\Of course. response:	I think we can get rid of it, with everyone's help.
context: Mizusaka-san...\What's wrong?\Oh, sorry.\How long are we doing this?\Until the saucer goes away.\Seriously?\Of course.\I think we can get rid of it, with everyone's help. response:	Koharu.
context: What's wrong?\Oh, sorry.\How long are we doing this?\Until the saucer goes away.\Seriously?\Of course.\I think we can get rid of it, with everyone's help.\Koharu. response:	What are you doing, customers?
