context: It's such a waste to spoil such a cute face with a furrowed brow. response:	Go on. Smile, okay?
context: A Dangerous Man Maity's Sweet Seduction\Rice.\I remember now.\When I was sick and you came to visit me...\That's right. I was staring at your face like this...\And then...\Your hair...\There was a grain of rice stuck to it. response:	Rice... Rice... Rice...
context: Rice.\I remember now.\When I was sick and you came to visit me...\That's right. I was staring at your face like this...\And then...\Your hair...\There was a grain of rice stuck to it.\Rice... Rice... Rice... response:	Rice stuck to it...
context: I remember now.\When I was sick and you came to visit me...\That's right. I was staring at your face like this...\And then...\Your hair...\There was a grain of rice stuck to it.\Rice... Rice... Rice...\Rice stuck to it... response:	Rice... Rice... Rice...
context: When I was sick and you came to visit me...\That's right. I was staring at your face like this...\And then...\Your hair...\There was a grain of rice stuck to it.\Rice... Rice... Rice...\Rice stuck to it...\Rice... Rice... Rice... response:	Rice stuck to it...
context: That's right. I was staring at your face like this...\And then...\Your hair...\There was a grain of rice stuck to it.\Rice... Rice... Rice...\Rice stuck to it...\Rice... Rice... Rice...\Rice stuck to it... response:	Rice... Rice... Rice...
context: And then...\Your hair...\There was a grain of rice stuck to it.\Rice... Rice... Rice...\Rice stuck to it...\Rice... Rice... Rice...\Rice stuck to it...\Rice... Rice... Rice... response:	Rice...
context: Your hair...\There was a grain of rice stuck to it.\Rice... Rice... Rice...\Rice stuck to it...\Rice... Rice... Rice...\Rice stuck to it...\Rice... Rice... Rice...\Rice... response:	What's the matter?
context: There was a grain of rice stuck to it.\Rice... Rice... Rice...\Rice stuck to it...\Rice... Rice... Rice...\Rice stuck to it...\Rice... Rice... Rice...\Rice...\What's the matter? response:	We should have bread for breakfast!
context: Rice... Rice... Rice...\Rice stuck to it...\Rice... Rice... Rice...\Rice stuck to it...\Rice... Rice... Rice...\Rice...\What's the matter?\We should have bread for breakfast! response:	A Japanese breakfast should consist of rice and miso soup.
context: Rice stuck to it...\Rice... Rice... Rice...\Rice stuck to it...\Rice... Rice... Rice...\Rice...\What's the matter?\We should have bread for breakfast!\A Japanese breakfast should consist of rice and miso soup. response:	Weren't you the one who said that?
context: Rice... Rice... Rice...\Rice stuck to it...\Rice... Rice... Rice...\Rice...\What's the matter?\We should have bread for breakfast!\A Japanese breakfast should consist of rice and miso soup.\Weren't you the one who said that? response:	I've had enough of rice!
context: Rice stuck to it...\Rice... Rice... Rice...\Rice...\What's the matter?\We should have bread for breakfast!\A Japanese breakfast should consist of rice and miso soup.\Weren't you the one who said that?\I've had enough of rice! response:	So then I was thinking I'd take this rice off while making a joke, when I suddenly got dizzy...
context: Rice... Rice... Rice...\Rice...\What's the matter?\We should have bread for breakfast!\A Japanese breakfast should consist of rice and miso soup.\Weren't you the one who said that?\I've had enough of rice!\So then I was thinking I'd take this rice off while making a joke, when I suddenly got dizzy... response:	Apparently my first kiss was just an accident.
context: Rice...\What's the matter?\We should have bread for breakfast!\A Japanese breakfast should consist of rice and miso soup.\Weren't you the one who said that?\I've had enough of rice!\So then I was thinking I'd take this rice off while making a joke, when I suddenly got dizzy...\Apparently my first kiss was just an accident. response:	He didn't try to kiss me.
context: What's the matter?\We should have bread for breakfast!\A Japanese breakfast should consist of rice and miso soup.\Weren't you the one who said that?\I've had enough of rice!\So then I was thinking I'd take this rice off while making a joke, when I suddenly got dizzy...\Apparently my first kiss was just an accident.\He didn't try to kiss me. response:	He was just trying to take off the rice that was stuck to my hair,
context: We should have bread for breakfast!\A Japanese breakfast should consist of rice and miso soup.\Weren't you the one who said that?\I've had enough of rice!\So then I was thinking I'd take this rice off while making a joke, when I suddenly got dizzy...\Apparently my first kiss was just an accident.\He didn't try to kiss me.\He was just trying to take off the rice that was stuck to my hair, response:	Yeah, right!
context: A Japanese breakfast should consist of rice and miso soup.\Weren't you the one who said that?\I've had enough of rice!\So then I was thinking I'd take this rice off while making a joke, when I suddenly got dizzy...\Apparently my first kiss was just an accident.\He didn't try to kiss me.\He was just trying to take off the rice that was stuck to my hair,\Yeah, right! response:	What? Does that character from that game of yours like bread or something, Ni-chan?
context: Weren't you the one who said that?\I've had enough of rice!\So then I was thinking I'd take this rice off while making a joke, when I suddenly got dizzy...\Apparently my first kiss was just an accident.\He didn't try to kiss me.\He was just trying to take off the rice that was stuck to my hair,\Yeah, right!\What? Does that character from that game of yours like bread or something, Ni-chan? response:	Yes. Cain-sama has croissants and cafe au lait for breakfast.
context: I've had enough of rice!\So then I was thinking I'd take this rice off while making a joke, when I suddenly got dizzy...\Apparently my first kiss was just an accident.\He didn't try to kiss me.\He was just trying to take off the rice that was stuck to my hair,\Yeah, right!\What? Does that character from that game of yours like bread or something, Ni-chan?\Yes. Cain-sama has croissants and cafe au lait for breakfast. response:	I need to be like him, otherwise it'll be a problem when we get married.
context: So then I was thinking I'd take this rice off while making a joke, when I suddenly got dizzy...\Apparently my first kiss was just an accident.\He didn't try to kiss me.\He was just trying to take off the rice that was stuck to my hair,\Yeah, right!\What? Does that character from that game of yours like bread or something, Ni-chan?\Yes. Cain-sama has croissants and cafe au lait for breakfast.\I need to be like him, otherwise it'll be a problem when we get married. response:	Nee-chan seems pretty messed up.
context: Apparently my first kiss was just an accident.\He didn't try to kiss me.\He was just trying to take off the rice that was stuck to my hair,\Yeah, right!\What? Does that character from that game of yours like bread or something, Ni-chan?\Yes. Cain-sama has croissants and cafe au lait for breakfast.\I need to be like him, otherwise it'll be a problem when we get married.\Nee-chan seems pretty messed up. response:	Risa, hurry up and come back to this world!
context: He didn't try to kiss me.\He was just trying to take off the rice that was stuck to my hair,\Yeah, right!\What? Does that character from that game of yours like bread or something, Ni-chan?\Yes. Cain-sama has croissants and cafe au lait for breakfast.\I need to be like him, otherwise it'll be a problem when we get married.\Nee-chan seems pretty messed up.\Risa, hurry up and come back to this world! response:	I'm Koizumi Risa, 17 years old. 172 cm tall.
context: He was just trying to take off the rice that was stuck to my hair,\Yeah, right!\What? Does that character from that game of yours like bread or something, Ni-chan?\Yes. Cain-sama has croissants and cafe au lait for breakfast.\I need to be like him, otherwise it'll be a problem when we get married.\Nee-chan seems pretty messed up.\Risa, hurry up and come back to this world!\I'm Koizumi Risa, 17 years old. 172 cm tall. response:	A girl who's just a little on the tall side.
context: Yeah, right!\What? Does that character from that game of yours like bread or something, Ni-chan?\Yes. Cain-sama has croissants and cafe au lait for breakfast.\I need to be like him, otherwise it'll be a problem when we get married.\Nee-chan seems pretty messed up.\Risa, hurry up and come back to this world!\I'm Koizumi Risa, 17 years old. 172 cm tall.\A girl who's just a little on the tall side. response:	The truth is, I have a crush on someone right now.
context: What? Does that character from that game of yours like bread or something, Ni-chan?\Yes. Cain-sama has croissants and cafe au lait for breakfast.\I need to be like him, otherwise it'll be a problem when we get married.\Nee-chan seems pretty messed up.\Risa, hurry up and come back to this world!\I'm Koizumi Risa, 17 years old. 172 cm tall.\A girl who's just a little on the tall side.\The truth is, I have a crush on someone right now. response:	And that person is...
context: Yes. Cain-sama has croissants and cafe au lait for breakfast.\I need to be like him, otherwise it'll be a problem when we get married.\Nee-chan seems pretty messed up.\Risa, hurry up and come back to this world!\I'm Koizumi Risa, 17 years old. 172 cm tall.\A girl who's just a little on the tall side.\The truth is, I have a crush on someone right now.\And that person is... response:	Maity-sensei!
context: I need to be like him, otherwise it'll be a problem when we get married.\Nee-chan seems pretty messed up.\Risa, hurry up and come back to this world!\I'm Koizumi Risa, 17 years old. 172 cm tall.\A girl who's just a little on the tall side.\The truth is, I have a crush on someone right now.\And that person is...\Maity-sensei! response:	Good morning.
context: Nee-chan seems pretty messed up.\Risa, hurry up and come back to this world!\I'm Koizumi Risa, 17 years old. 172 cm tall.\A girl who's just a little on the tall side.\The truth is, I have a crush on someone right now.\And that person is...\Maity-sensei!\Good morning. response:	Good morning.
context: Risa, hurry up and come back to this world!\I'm Koizumi Risa, 17 years old. 172 cm tall.\A girl who's just a little on the tall side.\The truth is, I have a crush on someone right now.\And that person is...\Maity-sensei!\Good morning.\Good morning. response:	Maity-sensei, who looks like Cain-sama...
context: I'm Koizumi Risa, 17 years old. 172 cm tall.\A girl who's just a little on the tall side.\The truth is, I have a crush on someone right now.\And that person is...\Maity-sensei!\Good morning.\Good morning.\Maity-sensei, who looks like Cain-sama... response:	He's wonderful again today.
context: A girl who's just a little on the tall side.\The truth is, I have a crush on someone right now.\And that person is...\Maity-sensei!\Good morning.\Good morning.\Maity-sensei, who looks like Cain-sama...\He's wonderful again today. response:	It's great that you're so full of energy today.
context: The truth is, I have a crush on someone right now.\And that person is...\Maity-sensei!\Good morning.\Good morning.\Maity-sensei, who looks like Cain-sama...\He's wonderful again today.\It's great that you're so full of energy today. response:	I'm always full of energy.
context: And that person is...\Maity-sensei!\Good morning.\Good morning.\Maity-sensei, who looks like Cain-sama...\He's wonderful again today.\It's great that you're so full of energy today.\I'm always full of energy. response:	Weren't you crying yesterday?
context: Maity-sensei!\Good morning.\Good morning.\Maity-sensei, who looks like Cain-sama...\He's wonderful again today.\It's great that you're so full of energy today.\I'm always full of energy.\Weren't you crying yesterday? response:	How did you...
context: Good morning.\Good morning.\Maity-sensei, who looks like Cain-sama...\He's wonderful again today.\It's great that you're so full of energy today.\I'm always full of energy.\Weren't you crying yesterday?\How did you... response:	You passed me when you ran down the hallway.
context: Good morning.\Maity-sensei, who looks like Cain-sama...\He's wonderful again today.\It's great that you're so full of energy today.\I'm always full of energy.\Weren't you crying yesterday?\How did you...\You passed me when you ran down the hallway. response:	You can talk to me any time if you feel like it.
context: Maity-sensei, who looks like Cain-sama...\He's wonderful again today.\It's great that you're so full of energy today.\I'm always full of energy.\Weren't you crying yesterday?\How did you...\You passed me when you ran down the hallway.\You can talk to me any time if you feel like it. response:	Maity-sensei...
context: He's wonderful again today.\It's great that you're so full of energy today.\I'm always full of energy.\Weren't you crying yesterday?\How did you...\You passed me when you ran down the hallway.\You can talk to me any time if you feel like it.\Maity-sensei... response:	Yes!
context: It's great that you're so full of energy today.\I'm always full of energy.\Weren't you crying yesterday?\How did you...\You passed me when you ran down the hallway.\You can talk to me any time if you feel like it.\Maity-sensei...\Yes! response:	That's right. I love Maity-sensei.
context: I'm always full of energy.\Weren't you crying yesterday?\How did you...\You passed me when you ran down the hallway.\You can talk to me any time if you feel like it.\Maity-sensei...\Yes!\That's right. I love Maity-sensei. response:	Koizumi, I wan to talk to y
context: Weren't you crying yesterday?\How did you...\You passed me when you ran down the hallway.\You can talk to me any time if you feel like it.\Maity-sensei...\Yes!\That's right. I love Maity-sensei.\Koizumi, I wan to talk to y response:	Huh? I heard a voice, but I don't see anyone.
context: How did you...\You passed me when you ran down the hallway.\You can talk to me any time if you feel like it.\Maity-sensei...\Yes!\That's right. I love Maity-sensei.\Koizumi, I wan to talk to y\Huh? I heard a voice, but I don't see anyone. response:	Was it my imagination?
context: You passed me when you ran down the hallway.\You can talk to me any time if you feel like it.\Maity-sensei...\Yes!\That's right. I love Maity-sensei.\Koizumi, I wan to talk to y\Huh? I heard a voice, but I don't see anyone.\Was it my imagination? response:	Or is there a guy about one inch tall hiding somewhere around here?
context: You can talk to me any time if you feel like it.\Maity-sensei...\Yes!\That's right. I love Maity-sensei.\Koizumi, I wan to talk to y\Huh? I heard a voice, but I don't see anyone.\Was it my imagination?\Or is there a guy about one inch tall hiding somewhere around here? response:	Well, never mind that.
context: Maity-sensei...\Yes!\That's right. I love Maity-sensei.\Koizumi, I wan to talk to y\Huh? I heard a voice, but I don't see anyone.\Was it my imagination?\Or is there a guy about one inch tall hiding somewhere around here?\Well, never mind that. response:	Maity-sensei, I'm looking forward to your class as always!
context: Yes!\That's right. I love Maity-sensei.\Koizumi, I wan to talk to y\Huh? I heard a voice, but I don't see anyone.\Was it my imagination?\Or is there a guy about one inch tall hiding somewhere around here?\Well, never mind that.\Maity-sensei, I'm looking forward to your class as always! response:	Thanks.
context: That's right. I love Maity-sensei.\Koizumi, I wan to talk to y\Huh? I heard a voice, but I don't see anyone.\Was it my imagination?\Or is there a guy about one inch tall hiding somewhere around here?\Well, never mind that.\Maity-sensei, I'm looking forward to your class as always!\Thanks. response:	After stealing a kiss from my lips, are you just going to ignore me?
context: Koizumi, I wan to talk to y\Huh? I heard a voice, but I don't see anyone.\Was it my imagination?\Or is there a guy about one inch tall hiding somewhere around here?\Well, never mind that.\Maity-sensei, I'm looking forward to your class as always!\Thanks.\After stealing a kiss from my lips, are you just going to ignore me? response:	Lips? Stolen?
context: Huh? I heard a voice, but I don't see anyone.\Was it my imagination?\Or is there a guy about one inch tall hiding somewhere around here?\Well, never mind that.\Maity-sensei, I'm looking forward to your class as always!\Thanks.\After stealing a kiss from my lips, are you just going to ignore me?\Lips? Stolen? response:	Th-Th-That's not what happened!
context: Was it my imagination?\Or is there a guy about one inch tall hiding somewhere around here?\Well, never mind that.\Maity-sensei, I'm looking forward to your class as always!\Thanks.\After stealing a kiss from my lips, are you just going to ignore me?\Lips? Stolen?\Th-Th-That's not what happened! response:	What are you saying in front of Maity-sense?!
context: Or is there a guy about one inch tall hiding somewhere around here?\Well, never mind that.\Maity-sensei, I'm looking forward to your class as always!\Thanks.\After stealing a kiss from my lips, are you just going to ignore me?\Lips? Stolen?\Th-Th-That's not what happened!\What are you saying in front of Maity-sense?! response:	What? You're ditching me now that the deed's been done?
context: Well, never mind that.\Maity-sensei, I'm looking forward to your class as always!\Thanks.\After stealing a kiss from my lips, are you just going to ignore me?\Lips? Stolen?\Th-Th-That's not what happened!\What are you saying in front of Maity-sense?!\What? You're ditching me now that the deed's been done? response:	Deed?!
context: Maity-sensei, I'm looking forward to your class as always!\Thanks.\After stealing a kiss from my lips, are you just going to ignore me?\Lips? Stolen?\Th-Th-That's not what happened!\What are you saying in front of Maity-sense?!\What? You're ditching me now that the deed's been done?\Deed?! response:	Shut your mouth!
context: Thanks.\After stealing a kiss from my lips, are you just going to ignore me?\Lips? Stolen?\Th-Th-That's not what happened!\What are you saying in front of Maity-sense?!\What? You're ditching me now that the deed's been done?\Deed?!\Shut your mouth! response:	That hurt! What the heck was that?!
context: After stealing a kiss from my lips, are you just going to ignore me?\Lips? Stolen?\Th-Th-That's not what happened!\What are you saying in front of Maity-sense?!\What? You're ditching me now that the deed's been done?\Deed?!\Shut your mouth!\That hurt! What the heck was that?! response:	Shut up! I barely touched you.
context: Lips? Stolen?\Th-Th-That's not what happened!\What are you saying in front of Maity-sense?!\What? You're ditching me now that the deed's been done?\Deed?!\Shut your mouth!\That hurt! What the heck was that?!\Shut up! I barely touched you. response:	How typical of a comedy duo. You two sure get along well.
context: Th-Th-That's not what happened!\What are you saying in front of Maity-sense?!\What? You're ditching me now that the deed's been done?\Deed?!\Shut your mouth!\That hurt! What the heck was that?!\Shut up! I barely touched you.\How typical of a comedy duo. You two sure get along well. response:	Are you two going out?
context: What are you saying in front of Maity-sense?!\What? You're ditching me now that the deed's been done?\Deed?!\Shut your mouth!\That hurt! What the heck was that?!\Shut up! I barely touched you.\How typical of a comedy duo. You two sure get along well.\Are you two going out? response:	We are not!
context: What? You're ditching me now that the deed's been done?\Deed?!\Shut your mouth!\That hurt! What the heck was that?!\Shut up! I barely touched you.\How typical of a comedy duo. You two sure get along well.\Are you two going out?\We are not! response:	We don't get along. And we're not a comedy duo, either.
context: Deed?!\Shut your mouth!\That hurt! What the heck was that?!\Shut up! I barely touched you.\How typical of a comedy duo. You two sure get along well.\Are you two going out?\We are not!\We don't get along. And we're not a comedy duo, either. response:	Come on. Classes will be starting soon.
context: Shut your mouth!\That hurt! What the heck was that?!\Shut up! I barely touched you.\How typical of a comedy duo. You two sure get along well.\Are you two going out?\We are not!\We don't get along. And we're not a comedy duo, either.\Come on. Classes will be starting soon. response:	It doesn't matter. I've given up. I've been acting like a fool.
context: That hurt! What the heck was that?!\Shut up! I barely touched you.\How typical of a comedy duo. You two sure get along well.\Are you two going out?\We are not!\We don't get along. And we're not a comedy duo, either.\Come on. Classes will be starting soon.\It doesn't matter. I've given up. I've been acting like a fool. response:	I don't like this idiot anymore.
context: Shut up! I barely touched you.\How typical of a comedy duo. You two sure get along well.\Are you two going out?\We are not!\We don't get along. And we're not a comedy duo, either.\Come on. Classes will be starting soon.\It doesn't matter. I've given up. I've been acting like a fool.\I don't like this idiot anymore. response:	When I think about it, it's a total waste of time.
context: How typical of a comedy duo. You two sure get along well.\Are you two going out?\We are not!\We don't get along. And we're not a comedy duo, either.\Come on. Classes will be starting soon.\It doesn't matter. I've given up. I've been acting like a fool.\I don't like this idiot anymore.\When I think about it, it's a total waste of time. response:	Huh? What do you mean, you've given up?
context: Are you two going out?\We are not!\We don't get along. And we're not a comedy duo, either.\Come on. Classes will be starting soon.\It doesn't matter. I've given up. I've been acting like a fool.\I don't like this idiot anymore.\When I think about it, it's a total waste of time.\Huh? What do you mean, you've given up? response:	What's that? Why?
context: We are not!\We don't get along. And we're not a comedy duo, either.\Come on. Classes will be starting soon.\It doesn't matter. I've given up. I've been acting like a fool.\I don't like this idiot anymore.\When I think about it, it's a total waste of time.\Huh? What do you mean, you've given up?\What's that? Why? response:	Well, you know... youth is fleeting.
context: We don't get along. And we're not a comedy duo, either.\Come on. Classes will be starting soon.\It doesn't matter. I've given up. I've been acting like a fool.\I don't like this idiot anymore.\When I think about it, it's a total waste of time.\Huh? What do you mean, you've given up?\What's that? Why?\Well, you know... youth is fleeting. response:	If I keep chasing after an idiot like that,
context: Come on. Classes will be starting soon.\It doesn't matter. I've given up. I've been acting like a fool.\I don't like this idiot anymore.\When I think about it, it's a total waste of time.\Huh? What do you mean, you've given up?\What's that? Why?\Well, you know... youth is fleeting.\If I keep chasing after an idiot like that, response:	What the hell!
context: It doesn't matter. I've given up. I've been acting like a fool.\I don't like this idiot anymore.\When I think about it, it's a total waste of time.\Huh? What do you mean, you've given up?\What's that? Why?\Well, you know... youth is fleeting.\If I keep chasing after an idiot like that,\What the hell! response:	This is bad. She's talking nonsense again.
context: I don't like this idiot anymore.\When I think about it, it's a total waste of time.\Huh? What do you mean, you've given up?\What's that? Why?\Well, you know... youth is fleeting.\If I keep chasing after an idiot like that,\What the hell!\This is bad. She's talking nonsense again. response:	Risa-chan... Please come back, Risa-chan!
context: When I think about it, it's a total waste of time.\Huh? What do you mean, you've given up?\What's that? Why?\Well, you know... youth is fleeting.\If I keep chasing after an idiot like that,\What the hell!\This is bad. She's talking nonsense again.\Risa-chan... Please come back, Risa-chan! response:	What is it? What happened this time?
context: Huh? What do you mean, you've given up?\What's that? Why?\Well, you know... youth is fleeting.\If I keep chasing after an idiot like that,\What the hell!\This is bad. She's talking nonsense again.\Risa-chan... Please come back, Risa-chan!\What is it? What happened this time? response:	Nothing.
context: What's that? Why?\Well, you know... youth is fleeting.\If I keep chasing after an idiot like that,\What the hell!\This is bad. She's talking nonsense again.\Risa-chan... Please come back, Risa-chan!\What is it? What happened this time?\Nothing. response:	I'm just tired of Otani's idiocy.
context: Well, you know... youth is fleeting.\If I keep chasing after an idiot like that,\What the hell!\This is bad. She's talking nonsense again.\Risa-chan... Please come back, Risa-chan!\What is it? What happened this time?\Nothing.\I'm just tired of Otani's idiocy. response:	Are you serious? Just a second!
context: If I keep chasing after an idiot like that,\What the hell!\This is bad. She's talking nonsense again.\Risa-chan... Please come back, Risa-chan!\What is it? What happened this time?\Nothing.\I'm just tired of Otani's idiocy.\Are you serious? Just a second! response:	Yeah, Risa-chan. You've worked so hard up until now...
context: What the hell!\This is bad. She's talking nonsense again.\Risa-chan... Please come back, Risa-chan!\What is it? What happened this time?\Nothing.\I'm just tired of Otani's idiocy.\Are you serious? Just a second!\Yeah, Risa-chan. You've worked so hard up until now... response:	It's fine. I don't care anymore.
context: This is bad. She's talking nonsense again.\Risa-chan... Please come back, Risa-chan!\What is it? What happened this time?\Nothing.\I'm just tired of Otani's idiocy.\Are you serious? Just a second!\Yeah, Risa-chan. You've worked so hard up until now...\It's fine. I don't care anymore. response:	From this day onwards, I'm taking the first step towards my new love!
context: Risa-chan... Please come back, Risa-chan!\What is it? What happened this time?\Nothing.\I'm just tired of Otani's idiocy.\Are you serious? Just a second!\Yeah, Risa-chan. You've worked so hard up until now...\It's fine. I don't care anymore.\From this day onwards, I'm taking the first step towards my new love! response:	New love?
context: What is it? What happened this time?\Nothing.\I'm just tired of Otani's idiocy.\Are you serious? Just a second!\Yeah, Risa-chan. You've worked so hard up until now...\It's fine. I don't care anymore.\From this day onwards, I'm taking the first step towards my new love!\New love? response:	The first step?
context: Nothing.\I'm just tired of Otani's idiocy.\Are you serious? Just a second!\Yeah, Risa-chan. You've worked so hard up until now...\It's fine. I don't care anymore.\From this day onwards, I'm taking the first step towards my new love!\New love?\The first step? response:	Hey, Maity-sensei, how old are you?
context: I'm just tired of Otani's idiocy.\Are you serious? Just a second!\Yeah, Risa-chan. You've worked so hard up until now...\It's fine. I don't care anymore.\From this day onwards, I'm taking the first step towards my new love!\New love?\The first step?\Hey, Maity-sensei, how old are you? response:	How old do I look?
context: Are you serious? Just a second!\Yeah, Risa-chan. You've worked so hard up until now...\It's fine. I don't care anymore.\From this day onwards, I'm taking the first step towards my new love!\New love?\The first step?\Hey, Maity-sensei, how old are you?\How old do I look? response:	Around 23?
context: Yeah, Risa-chan. You've worked so hard up until now...\It's fine. I don't care anymore.\From this day onwards, I'm taking the first step towards my new love!\New love?\The first step?\Hey, Maity-sensei, how old are you?\How old do I look?\Around 23? response:	Well, it's somewhere around there.
context: It's fine. I don't care anymore.\From this day onwards, I'm taking the first step towards my new love!\New love?\The first step?\Hey, Maity-sensei, how old are you?\How old do I look?\Around 23?\Well, it's somewhere around there. response:	Aww, that's not right?
context: From this day onwards, I'm taking the first step towards my new love!\New love?\The first step?\Hey, Maity-sensei, how old are you?\How old do I look?\Around 23?\Well, it's somewhere around there.\Aww, that's not right? response:	Not quite.
context: New love?\The first step?\Hey, Maity-sensei, how old are you?\How old do I look?\Around 23?\Well, it's somewhere around there.\Aww, that's not right?\Not quite. response:	It's back! What's with this chilly atmosphere?
context: The first step?\Hey, Maity-sensei, how old are you?\How old do I look?\Around 23?\Well, it's somewhere around there.\Aww, that's not right?\Not quite.\It's back! What's with this chilly atmosphere? response:	Then... 24?
context: Hey, Maity-sensei, how old are you?\How old do I look?\Around 23?\Well, it's somewhere around there.\Aww, that's not right?\Not quite.\It's back! What's with this chilly atmosphere?\Then... 24? response:	You got it.
context: How old do I look?\Around 23?\Well, it's somewhere around there.\Aww, that's not right?\Not quite.\It's back! What's with this chilly atmosphere?\Then... 24?\You got it. response:	When did she...
context: Around 23?\Well, it's somewhere around there.\Aww, that's not right?\Not quite.\It's back! What's with this chilly atmosphere?\Then... 24?\You got it.\When did she... response:	Don't tell me her new love is Maity-sensei?
context: Well, it's somewhere around there.\Aww, that's not right?\Not quite.\It's back! What's with this chilly atmosphere?\Then... 24?\You got it.\When did she...\Don't tell me her new love is Maity-sensei? response:	Wha?!
context: Aww, that's not right?\Not quite.\It's back! What's with this chilly atmosphere?\Then... 24?\You got it.\When did she...\Don't tell me her new love is Maity-sensei?\Wha?! response:	Not good! Not good, not good, this is not good!
context: Not quite.\It's back! What's with this chilly atmosphere?\Then... 24?\You got it.\When did she...\Don't tell me her new love is Maity-sensei?\Wha?!\Not good! Not good, not good, this is not good! response:	Mommy will not forgive you!
context: It's back! What's with this chilly atmosphere?\Then... 24?\You got it.\When did she...\Don't tell me her new love is Maity-sensei?\Wha?!\Not good! Not good, not good, this is not good!\Mommy will not forgive you! response:	Mommy?
