context: What is going on? response:	Apparently, the Union Lords are gathering.
context: The right wing is in disarray.\Fall back for now, and regroup.\Left wing, spread out further.\That's right, gently... Gently...\Wh-What...\This is no battle...\This is Alexis creating a work of art!\Raise the white flag. response:	Lord Dawson was defeated?
context: Fall back for now, and regroup.\Left wing, spread out further.\That's right, gently... Gently...\Wh-What...\This is no battle...\This is Alexis creating a work of art!\Raise the white flag.\Lord Dawson was defeated? response:	Yes.
context: Left wing, spread out further.\That's right, gently... Gently...\Wh-What...\This is no battle...\This is Alexis creating a work of art!\Raise the white flag.\Lord Dawson was defeated?\Yes. response:	So the Union did us quite the favor.
context: That's right, gently... Gently...\Wh-What...\This is no battle...\This is Alexis creating a work of art!\Raise the white flag.\Lord Dawson was defeated?\Yes.\So the Union did us quite the favor. response:	Who was in command of the Union forces?
context: Wh-What...\This is no battle...\This is Alexis creating a work of art!\Raise the white flag.\Lord Dawson was defeated?\Yes.\So the Union did us quite the favor.\Who was in command of the Union forces? response:	The Marquis of Jalucia, Sir Alexis Doucet.
context: This is no battle...\This is Alexis creating a work of art!\Raise the white flag.\Lord Dawson was defeated?\Yes.\So the Union did us quite the favor.\Who was in command of the Union forces?\The Marquis of Jalucia, Sir Alexis Doucet. response:	All the Lords have been lauding that he led with such flair.
context: This is Alexis creating a work of art!\Raise the white flag.\Lord Dawson was defeated?\Yes.\So the Union did us quite the favor.\Who was in command of the Union forces?\The Marquis of Jalucia, Sir Alexis Doucet.\All the Lords have been lauding that he led with such flair. response:	Has the Lord of Nord been notified?
context: Raise the white flag.\Lord Dawson was defeated?\Yes.\So the Union did us quite the favor.\Who was in command of the Union forces?\The Marquis of Jalucia, Sir Alexis Doucet.\All the Lords have been lauding that he led with such flair.\Has the Lord of Nord been notified? response:	He already knows, it seems.
context: Lord Dawson was defeated?\Yes.\So the Union did us quite the favor.\Who was in command of the Union forces?\The Marquis of Jalucia, Sir Alexis Doucet.\All the Lords have been lauding that he led with such flair.\Has the Lord of Nord been notified?\He already knows, it seems. response:	He was laughing and saying that he can't wait to meet the Marquis of Jalucia on the battlefield.
context: Yes.\So the Union did us quite the favor.\Who was in command of the Union forces?\The Marquis of Jalucia, Sir Alexis Doucet.\All the Lords have been lauding that he led with such flair.\Has the Lord of Nord been notified?\He already knows, it seems.\He was laughing and saying that he can't wait to meet the Marquis of Jalucia on the battlefield. response:	I see.
context: So the Union did us quite the favor.\Who was in command of the Union forces?\The Marquis of Jalucia, Sir Alexis Doucet.\All the Lords have been lauding that he led with such flair.\Has the Lord of Nord been notified?\He already knows, it seems.\He was laughing and saying that he can't wait to meet the Marquis of Jalucia on the battlefield.\I see. response:	Tell him he shouldn't let his guard down at any cost.
context: Who was in command of the Union forces?\The Marquis of Jalucia, Sir Alexis Doucet.\All the Lords have been lauding that he led with such flair.\Has the Lord of Nord been notified?\He already knows, it seems.\He was laughing and saying that he can't wait to meet the Marquis of Jalucia on the battlefield.\I see.\Tell him he shouldn't let his guard down at any cost. response:	Alexis's talents are without peer.
context: The Marquis of Jalucia, Sir Alexis Doucet.\All the Lords have been lauding that he led with such flair.\Has the Lord of Nord been notified?\He already knows, it seems.\He was laughing and saying that he can't wait to meet the Marquis of Jalucia on the battlefield.\I see.\Tell him he shouldn't let his guard down at any cost.\Alexis's talents are without peer. response:	And if he succeeds to display them on the battlefield,
context: All the Lords have been lauding that he led with such flair.\Has the Lord of Nord been notified?\He already knows, it seems.\He was laughing and saying that he can't wait to meet the Marquis of Jalucia on the battlefield.\I see.\Tell him he shouldn't let his guard down at any cost.\Alexis's talents are without peer.\And if he succeeds to display them on the battlefield, response:	he will prove to be a formidable opponent.
context: Has the Lord of Nord been notified?\He already knows, it seems.\He was laughing and saying that he can't wait to meet the Marquis of Jalucia on the battlefield.\I see.\Tell him he shouldn't let his guard down at any cost.\Alexis's talents are without peer.\And if he succeeds to display them on the battlefield,\he will prove to be a formidable opponent. response:	As you wish.
context: He already knows, it seems.\He was laughing and saying that he can't wait to meet the Marquis of Jalucia on the battlefield.\I see.\Tell him he shouldn't let his guard down at any cost.\Alexis's talents are without peer.\And if he succeeds to display them on the battlefield,\he will prove to be a formidable opponent.\As you wish. response:	Why?
context: He was laughing and saying that he can't wait to meet the Marquis of Jalucia on the battlefield.\I see.\Tell him he shouldn't let his guard down at any cost.\Alexis's talents are without peer.\And if he succeeds to display them on the battlefield,\he will prove to be a formidable opponent.\As you wish.\Why? response:	Why did you set foot on the battlefield, Alexis?
context: I see.\Tell him he shouldn't let his guard down at any cost.\Alexis's talents are without peer.\And if he succeeds to display them on the battlefield,\he will prove to be a formidable opponent.\As you wish.\Why?\Why did you set foot on the battlefield, Alexis? response:	Now you'll get dragged into the war that's just about to begin.
context: Tell him he shouldn't let his guard down at any cost.\Alexis's talents are without peer.\And if he succeeds to display them on the battlefield,\he will prove to be a formidable opponent.\As you wish.\Why?\Why did you set foot on the battlefield, Alexis?\Now you'll get dragged into the war that's just about to begin. response:	She's telling me to watch out for that Doucet brat?
context: Alexis's talents are without peer.\And if he succeeds to display them on the battlefield,\he will prove to be a formidable opponent.\As you wish.\Why?\Why did you set foot on the battlefield, Alexis?\Now you'll get dragged into the war that's just about to begin.\She's telling me to watch out for that Doucet brat? response:	Yes, sir.
context: And if he succeeds to display them on the battlefield,\he will prove to be a formidable opponent.\As you wish.\Why?\Why did you set foot on the battlefield, Alexis?\Now you'll get dragged into the war that's just about to begin.\She's telling me to watch out for that Doucet brat?\Yes, sir. response:	We've also received word that a massive Union fleet is already headed this way.
context: he will prove to be a formidable opponent.\As you wish.\Why?\Why did you set foot on the battlefield, Alexis?\Now you'll get dragged into the war that's just about to begin.\She's telling me to watch out for that Doucet brat?\Yes, sir.\We've also received word that a massive Union fleet is already headed this way. response:	I am known as the Sea King, and he wants to wage a naval battle?
context: As you wish.\Why?\Why did you set foot on the battlefield, Alexis?\Now you'll get dragged into the war that's just about to begin.\She's telling me to watch out for that Doucet brat?\Yes, sir.\We've also received word that a massive Union fleet is already headed this way.\I am known as the Sea King, and he wants to wage a naval battle? response:	We're mobilizing!
context: Why?\Why did you set foot on the battlefield, Alexis?\Now you'll get dragged into the war that's just about to begin.\She's telling me to watch out for that Doucet brat?\Yes, sir.\We've also received word that a massive Union fleet is already headed this way.\I am known as the Sea King, and he wants to wage a naval battle?\We're mobilizing! response:	Let's go annihilate that Doucet moppet!
context: Why did you set foot on the battlefield, Alexis?\Now you'll get dragged into the war that's just about to begin.\She's telling me to watch out for that Doucet brat?\Yes, sir.\We've also received word that a massive Union fleet is already headed this way.\I am known as the Sea King, and he wants to wage a naval battle?\We're mobilizing!\Let's go annihilate that Doucet moppet! response:	Jalucia has an ironclad ship in her fleet. It's known as the Invincible Warship.
context: Now you'll get dragged into the war that's just about to begin.\She's telling me to watch out for that Doucet brat?\Yes, sir.\We've also received word that a massive Union fleet is already headed this way.\I am known as the Sea King, and he wants to wage a naval battle?\We're mobilizing!\Let's go annihilate that Doucet moppet!\Jalucia has an ironclad ship in her fleet. It's known as the Invincible Warship. response:	Once we board those ships, that iron armor will be utterly useless.
context: She's telling me to watch out for that Doucet brat?\Yes, sir.\We've also received word that a massive Union fleet is already headed this way.\I am known as the Sea King, and he wants to wage a naval battle?\We're mobilizing!\Let's go annihilate that Doucet moppet!\Jalucia has an ironclad ship in her fleet. It's known as the Invincible Warship.\Once we board those ships, that iron armor will be utterly useless. response:	I'll seize them all.
context: Yes, sir.\We've also received word that a massive Union fleet is already headed this way.\I am known as the Sea King, and he wants to wage a naval battle?\We're mobilizing!\Let's go annihilate that Doucet moppet!\Jalucia has an ironclad ship in her fleet. It's known as the Invincible Warship.\Once we board those ships, that iron armor will be utterly useless.\I'll seize them all. response:	I've spotted the Nordic fleet!
context: We've also received word that a massive Union fleet is already headed this way.\I am known as the Sea King, and he wants to wage a naval battle?\We're mobilizing!\Let's go annihilate that Doucet moppet!\Jalucia has an ironclad ship in her fleet. It's known as the Invincible Warship.\Once we board those ships, that iron armor will be utterly useless.\I'll seize them all.\I've spotted the Nordic fleet! response:	Enemy numbering around 1,000!
context: I am known as the Sea King, and he wants to wage a naval battle?\We're mobilizing!\Let's go annihilate that Doucet moppet!\Jalucia has an ironclad ship in her fleet. It's known as the Invincible Warship.\Once we board those ships, that iron armor will be utterly useless.\I'll seize them all.\I've spotted the Nordic fleet!\Enemy numbering around 1,000! response:	Ring formation.
context: We're mobilizing!\Let's go annihilate that Doucet moppet!\Jalucia has an ironclad ship in her fleet. It's known as the Invincible Warship.\Once we board those ships, that iron armor will be utterly useless.\I'll seize them all.\I've spotted the Nordic fleet!\Enemy numbering around 1,000!\Ring formation. response:	Wait for the enemy to approach.
context: Let's go annihilate that Doucet moppet!\Jalucia has an ironclad ship in her fleet. It's known as the Invincible Warship.\Once we board those ships, that iron armor will be utterly useless.\I'll seize them all.\I've spotted the Nordic fleet!\Enemy numbering around 1,000!\Ring formation.\Wait for the enemy to approach. response:	The Union fleet has come to a stop, and appears to be waiting for us!
context: Jalucia has an ironclad ship in her fleet. It's known as the Invincible Warship.\Once we board those ships, that iron armor will be utterly useless.\I'll seize them all.\I've spotted the Nordic fleet!\Enemy numbering around 1,000!\Ring formation.\Wait for the enemy to approach.\The Union fleet has come to a stop, and appears to be waiting for us! response:	We'll attack in one go! Full speed ahead!
context: Once we board those ships, that iron armor will be utterly useless.\I'll seize them all.\I've spotted the Nordic fleet!\Enemy numbering around 1,000!\Ring formation.\Wait for the enemy to approach.\The Union fleet has come to a stop, and appears to be waiting for us!\We'll attack in one go! Full speed ahead! response:	What kind of battle formation is that?
context: I'll seize them all.\I've spotted the Nordic fleet!\Enemy numbering around 1,000!\Ring formation.\Wait for the enemy to approach.\The Union fleet has come to a stop, and appears to be waiting for us!\We'll attack in one go! Full speed ahead!\What kind of battle formation is that? response:	No matter which ship we board, we can cross over to the next one.
context: I've spotted the Nordic fleet!\Enemy numbering around 1,000!\Ring formation.\Wait for the enemy to approach.\The Union fleet has come to a stop, and appears to be waiting for us!\We'll attack in one go! Full speed ahead!\What kind of battle formation is that?\No matter which ship we board, we can cross over to the next one. response:	He must know nothing about naval battles.
context: Enemy numbering around 1,000!\Ring formation.\Wait for the enemy to approach.\The Union fleet has come to a stop, and appears to be waiting for us!\We'll attack in one go! Full speed ahead!\What kind of battle formation is that?\No matter which ship we board, we can cross over to the next one.\He must know nothing about naval battles. response:	Or if you look at it another way,
context: Ring formation.\Wait for the enemy to approach.\The Union fleet has come to a stop, and appears to be waiting for us!\We'll attack in one go! Full speed ahead!\What kind of battle formation is that?\No matter which ship we board, we can cross over to the next one.\He must know nothing about naval battles.\Or if you look at it another way, response:	no matter which ship we board, they'll get reinforcements from other ships.
context: Wait for the enemy to approach.\The Union fleet has come to a stop, and appears to be waiting for us!\We'll attack in one go! Full speed ahead!\What kind of battle formation is that?\No matter which ship we board, we can cross over to the next one.\He must know nothing about naval battles.\Or if you look at it another way,\no matter which ship we board, they'll get reinforcements from other ships. response:	We'll disperse and surround the enemy fleet.
context: The Union fleet has come to a stop, and appears to be waiting for us!\We'll attack in one go! Full speed ahead!\What kind of battle formation is that?\No matter which ship we board, we can cross over to the next one.\He must know nothing about naval battles.\Or if you look at it another way,\no matter which ship we board, they'll get reinforcements from other ships.\We'll disperse and surround the enemy fleet. response:	If we assault at the same time from all directions,
context: We'll attack in one go! Full speed ahead!\What kind of battle formation is that?\No matter which ship we board, we can cross over to the next one.\He must know nothing about naval battles.\Or if you look at it another way,\no matter which ship we board, they'll get reinforcements from other ships.\We'll disperse and surround the enemy fleet.\If we assault at the same time from all directions, response:	the enemy can't concentrate their firepower!
context: What kind of battle formation is that?\No matter which ship we board, we can cross over to the next one.\He must know nothing about naval battles.\Or if you look at it another way,\no matter which ship we board, they'll get reinforcements from other ships.\We'll disperse and surround the enemy fleet.\If we assault at the same time from all directions,\the enemy can't concentrate their firepower! response:	All ships, activate Battle Flag Berserk!
context: No matter which ship we board, we can cross over to the next one.\He must know nothing about naval battles.\Or if you look at it another way,\no matter which ship we board, they'll get reinforcements from other ships.\We'll disperse and surround the enemy fleet.\If we assault at the same time from all directions,\the enemy can't concentrate their firepower!\All ships, activate Battle Flag Berserk! response:	The enemy fleet is dispersing as they approach!
context: He must know nothing about naval battles.\Or if you look at it another way,\no matter which ship we board, they'll get reinforcements from other ships.\We'll disperse and surround the enemy fleet.\If we assault at the same time from all directions,\the enemy can't concentrate their firepower!\All ships, activate Battle Flag Berserk!\The enemy fleet is dispersing as they approach! response:	All ships, lower your rafts.
context: Or if you look at it another way,\no matter which ship we board, they'll get reinforcements from other ships.\We'll disperse and surround the enemy fleet.\If we assault at the same time from all directions,\the enemy can't concentrate their firepower!\All ships, activate Battle Flag Berserk!\The enemy fleet is dispersing as they approach!\All ships, lower your rafts. response:	Draw the enemy ships near.
context: no matter which ship we board, they'll get reinforcements from other ships.\We'll disperse and surround the enemy fleet.\If we assault at the same time from all directions,\the enemy can't concentrate their firepower!\All ships, activate Battle Flag Berserk!\The enemy fleet is dispersing as they approach!\All ships, lower your rafts.\Draw the enemy ships near. response:	Stand by for further instructions.
context: We'll disperse and surround the enemy fleet.\If we assault at the same time from all directions,\the enemy can't concentrate their firepower!\All ships, activate Battle Flag Berserk!\The enemy fleet is dispersing as they approach!\All ships, lower your rafts.\Draw the enemy ships near.\Stand by for further instructions. response:	Now!
context: If we assault at the same time from all directions,\the enemy can't concentrate their firepower!\All ships, activate Battle Flag Berserk!\The enemy fleet is dispersing as they approach!\All ships, lower your rafts.\Draw the enemy ships near.\Stand by for further instructions.\Now! response:	Battle Flag Telcio, confirmed!
context: the enemy can't concentrate their firepower!\All ships, activate Battle Flag Berserk!\The enemy fleet is dispersing as they approach!\All ships, lower your rafts.\Draw the enemy ships near.\Stand by for further instructions.\Now!\Battle Flag Telcio, confirmed! response:	They've just lost their minds because of the battle flag's power.
context: All ships, activate Battle Flag Berserk!\The enemy fleet is dispersing as they approach!\All ships, lower your rafts.\Draw the enemy ships near.\Stand by for further instructions.\Now!\Battle Flag Telcio, confirmed!\They've just lost their minds because of the battle flag's power. response:	They'll stop moving once they're dead.
context: The enemy fleet is dispersing as they approach!\All ships, lower your rafts.\Draw the enemy ships near.\Stand by for further instructions.\Now!\Battle Flag Telcio, confirmed!\They've just lost their minds because of the battle flag's power.\They'll stop moving once they're dead. response:	Ironclad, open fire.
context: All ships, lower your rafts.\Draw the enemy ships near.\Stand by for further instructions.\Now!\Battle Flag Telcio, confirmed!\They've just lost their minds because of the battle flag's power.\They'll stop moving once they're dead.\Ironclad, open fire. response:	What kind of battle is this?
context: Draw the enemy ships near.\Stand by for further instructions.\Now!\Battle Flag Telcio, confirmed!\They've just lost their minds because of the battle flag's power.\They'll stop moving once they're dead.\Ironclad, open fire.\What kind of battle is this? response:	What the hell are they doing?
context: Stand by for further instructions.\Now!\Battle Flag Telcio, confirmed!\They've just lost their minds because of the battle flag's power.\They'll stop moving once they're dead.\Ironclad, open fire.\What kind of battle is this?\What the hell are they doing? response:	This is nothing but a siege!
context: Now!\Battle Flag Telcio, confirmed!\They've just lost their minds because of the battle flag's power.\They'll stop moving once they're dead.\Ironclad, open fire.\What kind of battle is this?\What the hell are they doing?\This is nothing but a siege! response:	This can't be happening.
context: Battle Flag Telcio, confirmed!\They've just lost their minds because of the battle flag's power.\They'll stop moving once they're dead.\Ironclad, open fire.\What kind of battle is this?\What the hell are they doing?\This is nothing but a siege!\This can't be happening. response:	Does this mean that me, the Sea King, will fall to those weakling Union Lords?
context: They've just lost their minds because of the battle flag's power.\They'll stop moving once they're dead.\Ironclad, open fire.\What kind of battle is this?\What the hell are they doing?\This is nothing but a siege!\This can't be happening.\Does this mean that me, the Sea King, will fall to those weakling Union Lords? response:	My King, let's retreat.
context: They'll stop moving once they're dead.\Ironclad, open fire.\What kind of battle is this?\What the hell are they doing?\This is nothing but a siege!\This can't be happening.\Does this mean that me, the Sea King, will fall to those weakling Union Lords?\My King, let's retreat. response:	We should return to Nord, and stage a comeback.
context: Ironclad, open fire.\What kind of battle is this?\What the hell are they doing?\This is nothing but a siege!\This can't be happening.\Does this mean that me, the Sea King, will fall to those weakling Union Lords?\My King, let's retreat.\We should return to Nord, and stage a comeback. response:	I refuse to live in disgrace after being utterly routed like this!
context: What kind of battle is this?\What the hell are they doing?\This is nothing but a siege!\This can't be happening.\Does this mean that me, the Sea King, will fall to those weakling Union Lords?\My King, let's retreat.\We should return to Nord, and stage a comeback.\I refuse to live in disgrace after being utterly routed like this! response:	Since it's come to this, I will continue to fight until I die as a warrior!
context: What the hell are they doing?\This is nothing but a siege!\This can't be happening.\Does this mean that me, the Sea King, will fall to those weakling Union Lords?\My King, let's retreat.\We should return to Nord, and stage a comeback.\I refuse to live in disgrace after being utterly routed like this!\Since it's come to this, I will continue to fight until I die as a warrior! response:	Gods of Valhalla, watch over me!
context: This is nothing but a siege!\This can't be happening.\Does this mean that me, the Sea King, will fall to those weakling Union Lords?\My King, let's retreat.\We should return to Nord, and stage a comeback.\I refuse to live in disgrace after being utterly routed like this!\Since it's come to this, I will continue to fight until I die as a warrior!\Gods of Valhalla, watch over me! response:	My soul shall travel to where you reside, become your warrior, and prepare for the twilight!
context: This can't be happening.\Does this mean that me, the Sea King, will fall to those weakling Union Lords?\My King, let's retreat.\We should return to Nord, and stage a comeback.\I refuse to live in disgrace after being utterly routed like this!\Since it's come to this, I will continue to fight until I die as a warrior!\Gods of Valhalla, watch over me!\My soul shall travel to where you reside, become your warrior, and prepare for the twilight! response:	Stand your ground! Fight back!
context: Does this mean that me, the Sea King, will fall to those weakling Union Lords?\My King, let's retreat.\We should return to Nord, and stage a comeback.\I refuse to live in disgrace after being utterly routed like this!\Since it's come to this, I will continue to fight until I die as a warrior!\Gods of Valhalla, watch over me!\My soul shall travel to where you reside, become your warrior, and prepare for the twilight!\Stand your ground! Fight back! response:	Surround him!
context: My King, let's retreat.\We should return to Nord, and stage a comeback.\I refuse to live in disgrace after being utterly routed like this!\Since it's come to this, I will continue to fight until I die as a warrior!\Gods of Valhalla, watch over me!\My soul shall travel to where you reside, become your warrior, and prepare for the twilight!\Stand your ground! Fight back!\Surround him! response:	Don't let him get near Sir Alexis!
