context: On the night of Christmas Eve, response:	I made up with Shiina,
context: Senpai...\In that case, you'll all have to go stay at Kanda's place.\What?\S-Sensei, what are you saying?!\I'm leaving this afternoon.\Make sure you're packed and ready to leave by then.\Sorata, strike while the iron's hot.\What?! response:	It's already been decided?
context: In that case, you'll all have to go stay at Kanda's place.\What?\S-Sensei, what are you saying?!\I'm leaving this afternoon.\Make sure you're packed and ready to leave by then.\Sorata, strike while the iron's hot.\What?!\It's already been decided? response:	Komachi, this is a bullet train.
context: What?\S-Sensei, what are you saying?!\I'm leaving this afternoon.\Make sure you're packed and ready to leave by then.\Sorata, strike while the iron's hot.\What?!\It's already been decided?\Komachi, this is a bullet train. response:	It's fast, isn't it? Whoosh!
context: S-Sensei, what are you saying?!\I'm leaving this afternoon.\Make sure you're packed and ready to leave by then.\Sorata, strike while the iron's hot.\What?!\It's already been decided?\Komachi, this is a bullet train.\It's fast, isn't it? Whoosh! response:	I'm glad we found people to take care of the other six.
context: I'm leaving this afternoon.\Make sure you're packed and ready to leave by then.\Sorata, strike while the iron's hot.\What?!\It's already been decided?\Komachi, this is a bullet train.\It's fast, isn't it? Whoosh!\I'm glad we found people to take care of the other six. response:	Yeah, only Komachi was left behind.
context: Make sure you're packed and ready to leave by then.\Sorata, strike while the iron's hot.\What?!\It's already been decided?\Komachi, this is a bullet train.\It's fast, isn't it? Whoosh!\I'm glad we found people to take care of the other six.\Yeah, only Komachi was left behind. response:	Look, it goes 285 kilometers per hour! Zoom!
context: Sorata, strike while the iron's hot.\What?!\It's already been decided?\Komachi, this is a bullet train.\It's fast, isn't it? Whoosh!\I'm glad we found people to take care of the other six.\Yeah, only Komachi was left behind.\Look, it goes 285 kilometers per hour! Zoom! response:	Do you regret it?
context: What?!\It's already been decided?\Komachi, this is a bullet train.\It's fast, isn't it? Whoosh!\I'm glad we found people to take care of the other six.\Yeah, only Komachi was left behind.\Look, it goes 285 kilometers per hour! Zoom!\Do you regret it? response:	Worrying about the past doesn't do any good.
context: It's already been decided?\Komachi, this is a bullet train.\It's fast, isn't it? Whoosh!\I'm glad we found people to take care of the other six.\Yeah, only Komachi was left behind.\Look, it goes 285 kilometers per hour! Zoom!\Do you regret it?\Worrying about the past doesn't do any good. response:	I want to focus on the future.
context: Komachi, this is a bullet train.\It's fast, isn't it? Whoosh!\I'm glad we found people to take care of the other six.\Yeah, only Komachi was left behind.\Look, it goes 285 kilometers per hour! Zoom!\Do you regret it?\Worrying about the past doesn't do any good.\I want to focus on the future. response:	That's some backwards optimism.
context: It's fast, isn't it? Whoosh!\I'm glad we found people to take care of the other six.\Yeah, only Komachi was left behind.\Look, it goes 285 kilometers per hour! Zoom!\Do you regret it?\Worrying about the past doesn't do any good.\I want to focus on the future.\That's some backwards optimism. response:	You can have this.
context: I'm glad we found people to take care of the other six.\Yeah, only Komachi was left behind.\Look, it goes 285 kilometers per hour! Zoom!\Do you regret it?\Worrying about the past doesn't do any good.\I want to focus on the future.\That's some backwards optimism.\You can have this. response:	I prefer bamboo shoots...
context: Yeah, only Komachi was left behind.\Look, it goes 285 kilometers per hour! Zoom!\Do you regret it?\Worrying about the past doesn't do any good.\I want to focus on the future.\That's some backwards optimism.\You can have this.\I prefer bamboo shoots... response:	I gave my last bamboo shoot to Nanami.
context: Look, it goes 285 kilometers per hour! Zoom!\Do you regret it?\Worrying about the past doesn't do any good.\I want to focus on the future.\That's some backwards optimism.\You can have this.\I prefer bamboo shoots...\I gave my last bamboo shoot to Nanami. response:	Sorry, I already ate it.
context: Do you regret it?\Worrying about the past doesn't do any good.\I want to focus on the future.\That's some backwards optimism.\You can have this.\I prefer bamboo shoots...\I gave my last bamboo shoot to Nanami.\Sorry, I already ate it. response:	You rushed to eat that, didn't you?
context: Worrying about the past doesn't do any good.\I want to focus on the future.\That's some backwards optimism.\You can have this.\I prefer bamboo shoots...\I gave my last bamboo shoot to Nanami.\Sorry, I already ate it.\You rushed to eat that, didn't you? response:	Misaki-senpai, do you want some mushrooms?
context: I want to focus on the future.\That's some backwards optimism.\You can have this.\I prefer bamboo shoots...\I gave my last bamboo shoot to Nanami.\Sorry, I already ate it.\You rushed to eat that, didn't you?\Misaki-senpai, do you want some mushrooms? response:	I like bamboo shoots.
context: That's some backwards optimism.\You can have this.\I prefer bamboo shoots...\I gave my last bamboo shoot to Nanami.\Sorry, I already ate it.\You rushed to eat that, didn't you?\Misaki-senpai, do you want some mushrooms?\I like bamboo shoots. response:	Okay, that's enough!
context: You can have this.\I prefer bamboo shoots...\I gave my last bamboo shoot to Nanami.\Sorry, I already ate it.\You rushed to eat that, didn't you?\Misaki-senpai, do you want some mushrooms?\I like bamboo shoots.\Okay, that's enough! response:	I'll eat all the mushrooms, okay?
context: I prefer bamboo shoots...\I gave my last bamboo shoot to Nanami.\Sorry, I already ate it.\You rushed to eat that, didn't you?\Misaki-senpai, do you want some mushrooms?\I like bamboo shoots.\Okay, that's enough!\I'll eat all the mushrooms, okay? response:	We will shortly be arriving in Hakata.
context: I gave my last bamboo shoot to Nanami.\Sorry, I already ate it.\You rushed to eat that, didn't you?\Misaki-senpai, do you want some mushrooms?\I like bamboo shoots.\Okay, that's enough!\I'll eat all the mushrooms, okay?\We will shortly be arriving in Hakata. response:	Thank you for using the bullet train today.
context: Sorry, I already ate it.\You rushed to eat that, didn't you?\Misaki-senpai, do you want some mushrooms?\I like bamboo shoots.\Okay, that's enough!\I'll eat all the mushrooms, okay?\We will shortly be arriving in Hakata.\Thank you for using the bullet train today. response:	What?! Wh-Wh-What are all these people doing here?!
context: You rushed to eat that, didn't you?\Misaki-senpai, do you want some mushrooms?\I like bamboo shoots.\Okay, that's enough!\I'll eat all the mushrooms, okay?\We will shortly be arriving in Hakata.\Thank you for using the bullet train today.\What?! Wh-Wh-What are all these people doing here?! response:	Uh, th-thanks for letting us stay with you...
context: Misaki-senpai, do you want some mushrooms?\I like bamboo shoots.\Okay, that's enough!\I'll eat all the mushrooms, okay?\We will shortly be arriving in Hakata.\Thank you for using the bullet train today.\What?! Wh-Wh-What are all these people doing here?!\Uh, th-thanks for letting us stay with you... response:	I can't do it! I can't stay at a boy's house!
context: I like bamboo shoots.\Okay, that's enough!\I'll eat all the mushrooms, okay?\We will shortly be arriving in Hakata.\Thank you for using the bullet train today.\What?! Wh-Wh-What are all these people doing here?!\Uh, th-thanks for letting us stay with you...\I can't do it! I can't stay at a boy's house! response:	You're saying that after coming this far?!
context: Okay, that's enough!\I'll eat all the mushrooms, okay?\We will shortly be arriving in Hakata.\Thank you for using the bullet train today.\What?! Wh-Wh-What are all these people doing here?!\Uh, th-thanks for letting us stay with you...\I can't do it! I can't stay at a boy's house!\You're saying that after coming this far?! response:	And there're even more sweet and fragile girls now!
context: I'll eat all the mushrooms, okay?\We will shortly be arriving in Hakata.\Thank you for using the bullet train today.\What?! Wh-Wh-What are all these people doing here?!\Uh, th-thanks for letting us stay with you...\I can't do it! I can't stay at a boy's house!\You're saying that after coming this far?!\And there're even more sweet and fragile girls now! response:	Nice to meet you. I'm Kamiigusa Misaki.
context: We will shortly be arriving in Hakata.\Thank you for using the bullet train today.\What?! Wh-Wh-What are all these people doing here?!\Uh, th-thanks for letting us stay with you...\I can't do it! I can't stay at a boy's house!\You're saying that after coming this far?!\And there're even more sweet and fragile girls now!\Nice to meet you. I'm Kamiigusa Misaki. response:	Huh? Um, nice to meet you.
context: Thank you for using the bullet train today.\What?! Wh-Wh-What are all these people doing here?!\Uh, th-thanks for letting us stay with you...\I can't do it! I can't stay at a boy's house!\You're saying that after coming this far?!\And there're even more sweet and fragile girls now!\Nice to meet you. I'm Kamiigusa Misaki.\Huh? Um, nice to meet you. response:	She's right...
context: What?! Wh-Wh-What are all these people doing here?!\Uh, th-thanks for letting us stay with you...\I can't do it! I can't stay at a boy's house!\You're saying that after coming this far?!\And there're even more sweet and fragile girls now!\Nice to meet you. I'm Kamiigusa Misaki.\Huh? Um, nice to meet you.\She's right... response:	You must be the friends Sorata mentioned on the phone.
context: Uh, th-thanks for letting us stay with you...\I can't do it! I can't stay at a boy's house!\You're saying that after coming this far?!\And there're even more sweet and fragile girls now!\Nice to meet you. I'm Kamiigusa Misaki.\Huh? Um, nice to meet you.\She's right...\You must be the friends Sorata mentioned on the phone. response:	You're all such cute girls.
context: I can't do it! I can't stay at a boy's house!\You're saying that after coming this far?!\And there're even more sweet and fragile girls now!\Nice to meet you. I'm Kamiigusa Misaki.\Huh? Um, nice to meet you.\She's right...\You must be the friends Sorata mentioned on the phone.\You're all such cute girls. response:	Huh? What?!
context: You're saying that after coming this far?!\And there're even more sweet and fragile girls now!\Nice to meet you. I'm Kamiigusa Misaki.\Huh? Um, nice to meet you.\She's right...\You must be the friends Sorata mentioned on the phone.\You're all such cute girls.\Huh? What?! response:	I'm the only one who didn't know?
context: And there're even more sweet and fragile girls now!\Nice to meet you. I'm Kamiigusa Misaki.\Huh? Um, nice to meet you.\She's right...\You must be the friends Sorata mentioned on the phone.\You're all such cute girls.\Huh? What?!\I'm the only one who didn't know? response:	I thought it might be more fun that way.
context: Nice to meet you. I'm Kamiigusa Misaki.\Huh? Um, nice to meet you.\She's right...\You must be the friends Sorata mentioned on the phone.\You're all such cute girls.\Huh? What?!\I'm the only one who didn't know?\I thought it might be more fun that way. response:	Successful Surprise!!
context: Huh? Um, nice to meet you.\She's right...\You must be the friends Sorata mentioned on the phone.\You're all such cute girls.\Huh? What?!\I'm the only one who didn't know?\I thought it might be more fun that way.\Successful Surprise!! response:	Mom's teasing me!
context: She's right...\You must be the friends Sorata mentioned on the phone.\You're all such cute girls.\Huh? What?!\I'm the only one who didn't know?\I thought it might be more fun that way.\Successful Surprise!!\Mom's teasing me! response:	Sorata, you're back.
context: You must be the friends Sorata mentioned on the phone.\You're all such cute girls.\Huh? What?!\I'm the only one who didn't know?\I thought it might be more fun that way.\Successful Surprise!!\Mom's teasing me!\Sorata, you're back. response:	Y-Yeah...
context: You're all such cute girls.\Huh? What?!\I'm the only one who didn't know?\I thought it might be more fun that way.\Successful Surprise!!\Mom's teasing me!\Sorata, you're back.\Y-Yeah... response:	I'm home.
context: Huh? What?!\I'm the only one who didn't know?\I thought it might be more fun that way.\Successful Surprise!!\Mom's teasing me!\Sorata, you're back.\Y-Yeah...\I'm home. response:	I don't recall allowing you to be polygamous.
context: I'm the only one who didn't know?\I thought it might be more fun that way.\Successful Surprise!!\Mom's teasing me!\Sorata, you're back.\Y-Yeah...\I'm home.\I don't recall allowing you to be polygamous. response:	Not even the country's laws allow that!
context: I thought it might be more fun that way.\Successful Surprise!!\Mom's teasing me!\Sorata, you're back.\Y-Yeah...\I'm home.\I don't recall allowing you to be polygamous.\Not even the country's laws allow that! response:	Come on, everyone.
context: Successful Surprise!!\Mom's teasing me!\Sorata, you're back.\Y-Yeah...\I'm home.\I don't recall allowing you to be polygamous.\Not even the country's laws allow that!\Come on, everyone. response:	Dinner's ready. Come on in.
context: Mom's teasing me!\Sorata, you're back.\Y-Yeah...\I'm home.\I don't recall allowing you to be polygamous.\Not even the country's laws allow that!\Come on, everyone.\Dinner's ready. Come on in. response:	E-Excuse us...
context: Sorata, you're back.\Y-Yeah...\I'm home.\I don't recall allowing you to be polygamous.\Not even the country's laws allow that!\Come on, everyone.\Dinner's ready. Come on in.\E-Excuse us... response:	This'll be a fun end to the year.
context: Y-Yeah...\I'm home.\I don't recall allowing you to be polygamous.\Not even the country's laws allow that!\Come on, everyone.\Dinner's ready. Come on in.\E-Excuse us...\This'll be a fun end to the year. response:	I think I understand how you adapted to life in Sakura Hall.
context: I'm home.\I don't recall allowing you to be polygamous.\Not even the country's laws allow that!\Come on, everyone.\Dinner's ready. Come on in.\E-Excuse us...\This'll be a fun end to the year.\I think I understand how you adapted to life in Sakura Hall. response:	I'm starting to feel the same way.
context: I don't recall allowing you to be polygamous.\Not even the country's laws allow that!\Come on, everyone.\Dinner's ready. Come on in.\E-Excuse us...\This'll be a fun end to the year.\I think I understand how you adapted to life in Sakura Hall.\I'm starting to feel the same way. response:	I wonder if Jin's had his dinner...
context: Not even the country's laws allow that!\Come on, everyone.\Dinner's ready. Come on in.\E-Excuse us...\This'll be a fun end to the year.\I think I understand how you adapted to life in Sakura Hall.\I'm starting to feel the same way.\I wonder if Jin's had his dinner... response:	Did you suddenly get an urge to hear my voice?
context: Come on, everyone.\Dinner's ready. Come on in.\E-Excuse us...\This'll be a fun end to the year.\I think I understand how you adapted to life in Sakura Hall.\I'm starting to feel the same way.\I wonder if Jin's had his dinner...\Did you suddenly get an urge to hear my voice? response:	That's exactly it.
context: Dinner's ready. Come on in.\E-Excuse us...\This'll be a fun end to the year.\I think I understand how you adapted to life in Sakura Hall.\I'm starting to feel the same way.\I wonder if Jin's had his dinner...\Did you suddenly get an urge to hear my voice?\That's exactly it. response:	That's nice of you to say.
context: E-Excuse us...\This'll be a fun end to the year.\I think I understand how you adapted to life in Sakura Hall.\I'm starting to feel the same way.\I wonder if Jin's had his dinner...\Did you suddenly get an urge to hear my voice?\That's exactly it.\That's nice of you to say. response:	Do you understand my situation?
context: This'll be a fun end to the year.\I think I understand how you adapted to life in Sakura Hall.\I'm starting to feel the same way.\I wonder if Jin's had his dinner...\Did you suddenly get an urge to hear my voice?\That's exactly it.\That's nice of you to say.\Do you understand my situation? response:	I'm currently in Fukuoka with everyone...
context: I think I understand how you adapted to life in Sakura Hall.\I'm starting to feel the same way.\I wonder if Jin's had his dinner...\Did you suddenly get an urge to hear my voice?\That's exactly it.\That's nice of you to say.\Do you understand my situation?\I'm currently in Fukuoka with everyone... response:	Chihiro-chan told me.
context: I'm starting to feel the same way.\I wonder if Jin's had his dinner...\Did you suddenly get an urge to hear my voice?\That's exactly it.\That's nice of you to say.\Do you understand my situation?\I'm currently in Fukuoka with everyone...\Chihiro-chan told me. response:	I respect you. So, what do you want?
context: I wonder if Jin's had his dinner...\Did you suddenly get an urge to hear my voice?\That's exactly it.\That's nice of you to say.\Do you understand my situation?\I'm currently in Fukuoka with everyone...\Chihiro-chan told me.\I respect you. So, what do you want? response:	What happened between you...
context: Did you suddenly get an urge to hear my voice?\That's exactly it.\That's nice of you to say.\Do you understand my situation?\I'm currently in Fukuoka with everyone...\Chihiro-chan told me.\I respect you. So, what do you want?\What happened between you... response:	and Misaki-senpai on the night of Christmas Eve?
context: That's exactly it.\That's nice of you to say.\Do you understand my situation?\I'm currently in Fukuoka with everyone...\Chihiro-chan told me.\I respect you. So, what do you want?\What happened between you...\and Misaki-senpai on the night of Christmas Eve? response:	I told Misaki I love her.
context: That's nice of you to say.\Do you understand my situation?\I'm currently in Fukuoka with everyone...\Chihiro-chan told me.\I respect you. So, what do you want?\What happened between you...\and Misaki-senpai on the night of Christmas Eve?\I told Misaki I love her. response:	I confessed my love to Misaki.
context: Do you understand my situation?\I'm currently in Fukuoka with everyone...\Chihiro-chan told me.\I respect you. So, what do you want?\What happened between you...\and Misaki-senpai on the night of Christmas Eve?\I told Misaki I love her.\I confessed my love to Misaki. response:	Wh-What are you talking about?
context: I'm currently in Fukuoka with everyone...\Chihiro-chan told me.\I respect you. So, what do you want?\What happened between you...\and Misaki-senpai on the night of Christmas Eve?\I told Misaki I love her.\I confessed my love to Misaki.\Wh-What are you talking about? response:	If that's the case, why is Misaki-senpai...
context: Chihiro-chan told me.\I respect you. So, what do you want?\What happened between you...\and Misaki-senpai on the night of Christmas Eve?\I told Misaki I love her.\I confessed my love to Misaki.\Wh-What are you talking about?\If that's the case, why is Misaki-senpai... response:	I asked for more time because I love her.
context: I respect you. So, what do you want?\What happened between you...\and Misaki-senpai on the night of Christmas Eve?\I told Misaki I love her.\I confessed my love to Misaki.\Wh-What are you talking about?\If that's the case, why is Misaki-senpai...\I asked for more time because I love her. response:	Time?
context: What happened between you...\and Misaki-senpai on the night of Christmas Eve?\I told Misaki I love her.\I confessed my love to Misaki.\Wh-What are you talking about?\If that's the case, why is Misaki-senpai...\I asked for more time because I love her.\Time? response:	College Entrance Examination Series
context: and Misaki-senpai on the night of Christmas Eve?\I told Misaki I love her.\I confessed my love to Misaki.\Wh-What are you talking about?\If that's the case, why is Misaki-senpai...\I asked for more time because I love her.\Time?\College Entrance Examination Series response:	Osaka Art Schools
context: I told Misaki I love her.\I confessed my love to Misaki.\Wh-What are you talking about?\If that's the case, why is Misaki-senpai...\I asked for more time because I love her.\Time?\College Entrance Examination Series\Osaka Art Schools response:	I'm going to college in Osaka to chase my dreams.
context: I confessed my love to Misaki.\Wh-What are you talking about?\If that's the case, why is Misaki-senpai...\I asked for more time because I love her.\Time?\College Entrance Examination Series\Osaka Art Schools\I'm going to college in Osaka to chase my dreams. response:	Just because I love Misaki...
context: Wh-What are you talking about?\If that's the case, why is Misaki-senpai...\I asked for more time because I love her.\Time?\College Entrance Examination Series\Osaka Art Schools\I'm going to college in Osaka to chase my dreams.\Just because I love Misaki... response:	No, exactly because I'm in love with Misaki,
context: If that's the case, why is Misaki-senpai...\I asked for more time because I love her.\Time?\College Entrance Examination Series\Osaka Art Schools\I'm going to college in Osaka to chase my dreams.\Just because I love Misaki...\No, exactly because I'm in love with Misaki, response:	I can't become a worthless man who's abandoned his goals.
context: I asked for more time because I love her.\Time?\College Entrance Examination Series\Osaka Art Schools\I'm going to college in Osaka to chase my dreams.\Just because I love Misaki...\No, exactly because I'm in love with Misaki,\I can't become a worthless man who's abandoned his goals. response:	I want to move forward for once, too.
context: Time?\College Entrance Examination Series\Osaka Art Schools\I'm going to college in Osaka to chase my dreams.\Just because I love Misaki...\No, exactly because I'm in love with Misaki,\I can't become a worthless man who's abandoned his goals.\I want to move forward for once, too. response:	Let's Make a Game Rhythm Battler Vol. 1 Rhythm Action Battle Game Entry No. 06848860 Kanda Sorata
context: College Entrance Examination Series\Osaka Art Schools\I'm going to college in Osaka to chase my dreams.\Just because I love Misaki...\No, exactly because I'm in love with Misaki,\I can't become a worthless man who's abandoned his goals.\I want to move forward for once, too.\Let's Make a Game Rhythm Battler Vol. 1 Rhythm Action Battle Game Entry No. 06848860 Kanda Sorata response:	Well, there you have it.
context: Osaka Art Schools\I'm going to college in Osaka to chase my dreams.\Just because I love Misaki...\No, exactly because I'm in love with Misaki,\I can't become a worthless man who's abandoned his goals.\I want to move forward for once, too.\Let's Make a Game Rhythm Battler Vol. 1 Rhythm Action Battle Game Entry No. 06848860 Kanda Sorata\Well, there you have it. response:	Take care of Misaki for me for a while.
context: I'm going to college in Osaka to chase my dreams.\Just because I love Misaki...\No, exactly because I'm in love with Misaki,\I can't become a worthless man who's abandoned his goals.\I want to move forward for once, too.\Let's Make a Game Rhythm Battler Vol. 1 Rhythm Action Battle Game Entry No. 06848860 Kanda Sorata\Well, there you have it.\Take care of Misaki for me for a while. response:	She'll get jealous if I talk to you for too long, so I'm hanging up.
context: Just because I love Misaki...\No, exactly because I'm in love with Misaki,\I can't become a worthless man who's abandoned his goals.\I want to move forward for once, too.\Let's Make a Game Rhythm Battler Vol. 1 Rhythm Action Battle Game Entry No. 06848860 Kanda Sorata\Well, there you have it.\Take care of Misaki for me for a while.\She'll get jealous if I talk to you for too long, so I'm hanging up. response:	Are you at one of your girlfriends' homes?
context: No, exactly because I'm in love with Misaki,\I can't become a worthless man who's abandoned his goals.\I want to move forward for once, too.\Let's Make a Game Rhythm Battler Vol. 1 Rhythm Action Battle Game Entry No. 06848860 Kanda Sorata\Well, there you have it.\Take care of Misaki for me for a while.\She'll get jealous if I talk to you for too long, so I'm hanging up.\Are you at one of your girlfriends' homes? response:	I broke up with them all.
context: I can't become a worthless man who's abandoned his goals.\I want to move forward for once, too.\Let's Make a Game Rhythm Battler Vol. 1 Rhythm Action Battle Game Entry No. 06848860 Kanda Sorata\Well, there you have it.\Take care of Misaki for me for a while.\She'll get jealous if I talk to you for too long, so I'm hanging up.\Are you at one of your girlfriends' homes?\I broke up with them all. response:	I'm staying with my friend, the Student Council President.
context: I want to move forward for once, too.\Let's Make a Game Rhythm Battler Vol. 1 Rhythm Action Battle Game Entry No. 06848860 Kanda Sorata\Well, there you have it.\Take care of Misaki for me for a while.\She'll get jealous if I talk to you for too long, so I'm hanging up.\Are you at one of your girlfriends' homes?\I broke up with them all.\I'm staying with my friend, the Student Council President. response:	Who are you calling your friend?!
