context: The black pearl in the right eye... response:	Imagine, the gateway to the tomb was hidden in Inuyasha's right eye.
context: Neither you nor I could draw out Tetsusaiga.\Yet she had no trouble against the spell.\You expect me to let her go?\I don't know why the spell had no effect on her!\But she's only a human girl!\Kagome!\Hand over Tetsusaiga to Sesshomaru!\No! response:	He couldn't pull out the sword!
context: Yet she had no trouble against the spell.\You expect me to let her go?\I don't know why the spell had no effect on her!\But she's only a human girl!\Kagome!\Hand over Tetsusaiga to Sesshomaru!\No!\He couldn't pull out the sword! response:	That means he's not the rightful owner!
context: You expect me to let her go?\I don't know why the spell had no effect on her!\But she's only a human girl!\Kagome!\Hand over Tetsusaiga to Sesshomaru!\No!\He couldn't pull out the sword!\That means he's not the rightful owner! response:	I WILL NOT give it to him.
context: I don't know why the spell had no effect on her!\But she's only a human girl!\Kagome!\Hand over Tetsusaiga to Sesshomaru!\No!\He couldn't pull out the sword!\That means he's not the rightful owner!\I WILL NOT give it to him. response:	Fool!
context: But she's only a human girl!\Kagome!\Hand over Tetsusaiga to Sesshomaru!\No!\He couldn't pull out the sword!\That means he's not the rightful owner!\I WILL NOT give it to him.\Fool! response:	A mortal girl has nothing to do with this!
context: Kagome!\Hand over Tetsusaiga to Sesshomaru!\No!\He couldn't pull out the sword!\That means he's not the rightful owner!\I WILL NOT give it to him.\Fool!\A mortal girl has nothing to do with this! response:	Stop interfering!
context: Hand over Tetsusaiga to Sesshomaru!\No!\He couldn't pull out the sword!\That means he's not the rightful owner!\I WILL NOT give it to him.\Fool!\A mortal girl has nothing to do with this!\Stop interfering! response:	Stop interfering, you say?!
context: No!\He couldn't pull out the sword!\That means he's not the rightful owner!\I WILL NOT give it to him.\Fool!\A mortal girl has nothing to do with this!\Stop interfering!\Stop interfering, you say?! response:	Inuyasha...
context: He couldn't pull out the sword!\That means he's not the rightful owner!\I WILL NOT give it to him.\Fool!\A mortal girl has nothing to do with this!\Stop interfering!\Stop interfering, you say?!\Inuyasha... response:	You seem to be very interested in the actions of a human.
context: That means he's not the rightful owner!\I WILL NOT give it to him.\Fool!\A mortal girl has nothing to do with this!\Stop interfering!\Stop interfering, you say?!\Inuyasha...\You seem to be very interested in the actions of a human. response:	Why protect her? Why let her go?
context: I WILL NOT give it to him.\Fool!\A mortal girl has nothing to do with this!\Stop interfering!\Stop interfering, you say?!\Inuyasha...\You seem to be very interested in the actions of a human.\Why protect her? Why let her go? response:	Why love her?
context: Fool!\A mortal girl has nothing to do with this!\Stop interfering!\Stop interfering, you say?!\Inuyasha...\You seem to be very interested in the actions of a human.\Why protect her? Why let her go?\Why love her? response:	I certainly did not inherit from our father...
context: A mortal girl has nothing to do with this!\Stop interfering!\Stop interfering, you say?!\Inuyasha...\You seem to be very interested in the actions of a human.\Why protect her? Why let her go?\Why love her?\I certainly did not inherit from our father... response:	the feelings of compassion towards humans that you have.
context: Stop interfering!\Stop interfering, you say?!\Inuyasha...\You seem to be very interested in the actions of a human.\Why protect her? Why let her go?\Why love her?\I certainly did not inherit from our father...\the feelings of compassion towards humans that you have. response:	It was this feeling for a mortal woman, your mother...
context: Stop interfering, you say?!\Inuyasha...\You seem to be very interested in the actions of a human.\Why protect her? Why let her go?\Why love her?\I certainly did not inherit from our father...\the feelings of compassion towards humans that you have.\It was this feeling for a mortal woman, your mother... response:	this weakness of the heart...
context: Inuyasha...\You seem to be very interested in the actions of a human.\Why protect her? Why let her go?\Why love her?\I certainly did not inherit from our father...\the feelings of compassion towards humans that you have.\It was this feeling for a mortal woman, your mother...\this weakness of the heart... response:	that caused our father to end up here like this.
context: You seem to be very interested in the actions of a human.\Why protect her? Why let her go?\Why love her?\I certainly did not inherit from our father...\the feelings of compassion towards humans that you have.\It was this feeling for a mortal woman, your mother...\this weakness of the heart...\that caused our father to end up here like this. response:	Tainted blood courses through your body!
context: Why protect her? Why let her go?\Why love her?\I certainly did not inherit from our father...\the feelings of compassion towards humans that you have.\It was this feeling for a mortal woman, your mother...\this weakness of the heart...\that caused our father to end up here like this.\Tainted blood courses through your body! response:	Is it this blood that endears you to humans?
context: Why love her?\I certainly did not inherit from our father...\the feelings of compassion towards humans that you have.\It was this feeling for a mortal woman, your mother...\this weakness of the heart...\that caused our father to end up here like this.\Tainted blood courses through your body!\Is it this blood that endears you to humans? response:	Well, I don't pay any heed to such infinitely vulgar beings.
context: I certainly did not inherit from our father...\the feelings of compassion towards humans that you have.\It was this feeling for a mortal woman, your mother...\this weakness of the heart...\that caused our father to end up here like this.\Tainted blood courses through your body!\Is it this blood that endears you to humans?\Well, I don't pay any heed to such infinitely vulgar beings. response:	Inuyasha!
context: the feelings of compassion towards humans that you have.\It was this feeling for a mortal woman, your mother...\this weakness of the heart...\that caused our father to end up here like this.\Tainted blood courses through your body!\Is it this blood that endears you to humans?\Well, I don't pay any heed to such infinitely vulgar beings.\Inuyasha! response:	Kagome!
context: It was this feeling for a mortal woman, your mother...\this weakness of the heart...\that caused our father to end up here like this.\Tainted blood courses through your body!\Is it this blood that endears you to humans?\Well, I don't pay any heed to such infinitely vulgar beings.\Inuyasha!\Kagome! response:	So totally useless, right, Inuyasha?
context: this weakness of the heart...\that caused our father to end up here like this.\Tainted blood courses through your body!\Is it this blood that endears you to humans?\Well, I don't pay any heed to such infinitely vulgar beings.\Inuyasha!\Kagome!\So totally useless, right, Inuyasha? response:	Sesshomaru!
context: that caused our father to end up here like this.\Tainted blood courses through your body!\Is it this blood that endears you to humans?\Well, I don't pay any heed to such infinitely vulgar beings.\Inuyasha!\Kagome!\So totally useless, right, Inuyasha?\Sesshomaru! response:	Humans, as well as half-demons.
context: Tainted blood courses through your body!\Is it this blood that endears you to humans?\Well, I don't pay any heed to such infinitely vulgar beings.\Inuyasha!\Kagome!\So totally useless, right, Inuyasha?\Sesshomaru!\Humans, as well as half-demons. response:	Why!
context: Is it this blood that endears you to humans?\Well, I don't pay any heed to such infinitely vulgar beings.\Inuyasha!\Kagome!\So totally useless, right, Inuyasha?\Sesshomaru!\Humans, as well as half-demons.\Why! response:	Iron Reaver Soul Stealer!
context: Well, I don't pay any heed to such infinitely vulgar beings.\Inuyasha!\Kagome!\So totally useless, right, Inuyasha?\Sesshomaru!\Humans, as well as half-demons.\Why!\Iron Reaver Soul Stealer! response:	Wake up!
context: Inuyasha!\Kagome!\So totally useless, right, Inuyasha?\Sesshomaru!\Humans, as well as half-demons.\Why!\Iron Reaver Soul Stealer!\Wake up! response:	With tainted blood like yours, you cannot touch me!
context: Kagome!\So totally useless, right, Inuyasha?\Sesshomaru!\Humans, as well as half-demons.\Why!\Iron Reaver Soul Stealer!\Wake up!\With tainted blood like yours, you cannot touch me! response:	Damn!
context: So totally useless, right, Inuyasha?\Sesshomaru!\Humans, as well as half-demons.\Why!\Iron Reaver Soul Stealer!\Wake up!\With tainted blood like yours, you cannot touch me!\Damn! response:	What can half-demons do?!
context: Sesshomaru!\Humans, as well as half-demons.\Why!\Iron Reaver Soul Stealer!\Wake up!\With tainted blood like yours, you cannot touch me!\Damn!\What can half-demons do?! response:	You're just half a demon!
context: Humans, as well as half-demons.\Why!\Iron Reaver Soul Stealer!\Wake up!\With tainted blood like yours, you cannot touch me!\Damn!\What can half-demons do?!\You're just half a demon! response:	Half-demon, huh?
context: Why!\Iron Reaver Soul Stealer!\Wake up!\With tainted blood like yours, you cannot touch me!\Damn!\What can half-demons do?!\You're just half a demon!\Half-demon, huh? response:	Go!
context: Iron Reaver Soul Stealer!\Wake up!\With tainted blood like yours, you cannot touch me!\Damn!\What can half-demons do?!\You're just half a demon!\Half-demon, huh?\Go! response:	There!
context: Wake up!\With tainted blood like yours, you cannot touch me!\Damn!\What can half-demons do?!\You're just half a demon!\Half-demon, huh?\Go!\There! response:	Half-demon?
context: With tainted blood like yours, you cannot touch me!\Damn!\What can half-demons do?!\You're just half a demon!\Half-demon, huh?\Go!\There!\Half-demon? response:	Mother!
context: Damn!\What can half-demons do?!\You're just half a demon!\Half-demon, huh?\Go!\There!\Half-demon?\Mother! response:	What is a half-demon?
context: What can half-demons do?!\You're just half a demon!\Half-demon, huh?\Go!\There!\Half-demon?\Mother!\What is a half-demon? response:	That's right...
context: You're just half a demon!\Half-demon, huh?\Go!\There!\Half-demon?\Mother!\What is a half-demon?\That's right... response:	I...remember.
context: Half-demon, huh?\Go!\There!\Half-demon?\Mother!\What is a half-demon?\That's right...\I...remember. response:	At that time, my mother cried... for my sake.
context: Go!\There!\Half-demon?\Mother!\What is a half-demon?\That's right...\I...remember.\At that time, my mother cried... for my sake. response:	She thought of my future and cried for me.
context: There!\Half-demon?\Mother!\What is a half-demon?\That's right...\I...remember.\At that time, my mother cried... for my sake.\She thought of my future and cried for me. response:	It doesn't matter whether one is human or demon!
context: Half-demon?\Mother!\What is a half-demon?\That's right...\I...remember.\At that time, my mother cried... for my sake.\She thought of my future and cried for me.\It doesn't matter whether one is human or demon! response:	I can't forgive you for playing with my mother's memory...
context: Mother!\What is a half-demon?\That's right...\I...remember.\At that time, my mother cried... for my sake.\She thought of my future and cried for me.\It doesn't matter whether one is human or demon!\I can't forgive you for playing with my mother's memory... response:	But for her sake, I will not lose to you!
context: What is a half-demon?\That's right...\I...remember.\At that time, my mother cried... for my sake.\She thought of my future and cried for me.\It doesn't matter whether one is human or demon!\I can't forgive you for playing with my mother's memory...\But for her sake, I will not lose to you! response:	This one's for my mother!
context: That's right...\I...remember.\At that time, my mother cried... for my sake.\She thought of my future and cried for me.\It doesn't matter whether one is human or demon!\I can't forgive you for playing with my mother's memory...\But for her sake, I will not lose to you!\This one's for my mother! response:	And this one is for...
context: I...remember.\At that time, my mother cried... for my sake.\She thought of my future and cried for me.\It doesn't matter whether one is human or demon!\I can't forgive you for playing with my mother's memory...\But for her sake, I will not lose to you!\This one's for my mother!\And this one is for... response:	Kagome!
context: At that time, my mother cried... for my sake.\She thought of my future and cried for me.\It doesn't matter whether one is human or demon!\I can't forgive you for playing with my mother's memory...\But for her sake, I will not lose to you!\This one's for my mother!\And this one is for...\Kagome! response:	Wh-why?!
context: She thought of my future and cried for me.\It doesn't matter whether one is human or demon!\I can't forgive you for playing with my mother's memory...\But for her sake, I will not lose to you!\This one's for my mother!\And this one is for...\Kagome!\Wh-why?! response:	It was useless a minute ago...
context: It doesn't matter whether one is human or demon!\I can't forgive you for playing with my mother's memory...\But for her sake, I will not lose to you!\This one's for my mother!\And this one is for...\Kagome!\Wh-why?!\It was useless a minute ago... response:	Anger over a mere mortal woman?
context: I can't forgive you for playing with my mother's memory...\But for her sake, I will not lose to you!\This one's for my mother!\And this one is for...\Kagome!\Wh-why?!\It was useless a minute ago...\Anger over a mere mortal woman? response:	You act in the heat of passion and rush to your death...
context: But for her sake, I will not lose to you!\This one's for my mother!\And this one is for...\Kagome!\Wh-why?!\It was useless a minute ago...\Anger over a mere mortal woman?\You act in the heat of passion and rush to your death... response:	You are a truly pitiful fellow.
context: This one's for my mother!\And this one is for...\Kagome!\Wh-why?!\It was useless a minute ago...\Anger over a mere mortal woman?\You act in the heat of passion and rush to your death...\You are a truly pitiful fellow. response:	Why you!
context: And this one is for...\Kagome!\Wh-why?!\It was useless a minute ago...\Anger over a mere mortal woman?\You act in the heat of passion and rush to your death...\You are a truly pitiful fellow.\Why you! response:	I'll slit you open and cut out your guts!
context: Kagome!\Wh-why?!\It was useless a minute ago...\Anger over a mere mortal woman?\You act in the heat of passion and rush to your death...\You are a truly pitiful fellow.\Why you!\I'll slit you open and cut out your guts! response:	For Kagome, who died a senseless death!
context: Wh-why?!\It was useless a minute ago...\Anger over a mere mortal woman?\You act in the heat of passion and rush to your death...\You are a truly pitiful fellow.\Why you!\I'll slit you open and cut out your guts!\For Kagome, who died a senseless death! response:	Phew! I thought I was a goner!
context: It was useless a minute ago...\Anger over a mere mortal woman?\You act in the heat of passion and rush to your death...\You are a truly pitiful fellow.\Why you!\I'll slit you open and cut out your guts!\For Kagome, who died a senseless death!\Phew! I thought I was a goner! response:	Wh-hat!?
context: Anger over a mere mortal woman?\You act in the heat of passion and rush to your death...\You are a truly pitiful fellow.\Why you!\I'll slit you open and cut out your guts!\For Kagome, who died a senseless death!\Phew! I thought I was a goner!\Wh-hat!? response:	Huh?!
context: You act in the heat of passion and rush to your death...\You are a truly pitiful fellow.\Why you!\I'll slit you open and cut out your guts!\For Kagome, who died a senseless death!\Phew! I thought I was a goner!\Wh-hat!?\Huh?! response:	Hey you! You actually tried to kill me!
context: You are a truly pitiful fellow.\Why you!\I'll slit you open and cut out your guts!\For Kagome, who died a senseless death!\Phew! I thought I was a goner!\Wh-hat!?\Huh?!\Hey you! You actually tried to kill me! response:	Well, you're going to regret it now! Get ready!
context: Why you!\I'll slit you open and cut out your guts!\For Kagome, who died a senseless death!\Phew! I thought I was a goner!\Wh-hat!?\Huh?!\Hey you! You actually tried to kill me!\Well, you're going to regret it now! Get ready! response:	- Here! - Huh?
context: I'll slit you open and cut out your guts!\For Kagome, who died a senseless death!\Phew! I thought I was a goner!\Wh-hat!?\Huh?!\Hey you! You actually tried to kill me!\Well, you're going to regret it now! Get ready!\- Here! - Huh? response:	I think this sword has special powers. Go for it!
context: For Kagome, who died a senseless death!\Phew! I thought I was a goner!\Wh-hat!?\Huh?!\Hey you! You actually tried to kill me!\Well, you're going to regret it now! Get ready!\- Here! - Huh?\I think this sword has special powers. Go for it! response:	How... how come you're so energetic?
context: Phew! I thought I was a goner!\Wh-hat!?\Huh?!\Hey you! You actually tried to kill me!\Well, you're going to regret it now! Get ready!\- Here! - Huh?\I think this sword has special powers. Go for it!\How... how come you're so energetic? response:	Huh?
context: Wh-hat!?\Huh?!\Hey you! You actually tried to kill me!\Well, you're going to regret it now! Get ready!\- Here! - Huh?\I think this sword has special powers. Go for it!\How... how come you're so energetic?\Huh? response:	Hmm?
context: Huh?!\Hey you! You actually tried to kill me!\Well, you're going to regret it now! Get ready!\- Here! - Huh?\I think this sword has special powers. Go for it!\How... how come you're so energetic?\Huh?\Hmm? response:	I see... The sword's spell protected you.
context: Hey you! You actually tried to kill me!\Well, you're going to regret it now! Get ready!\- Here! - Huh?\I think this sword has special powers. Go for it!\How... how come you're so energetic?\Huh?\Hmm?\I see... The sword's spell protected you. response:	Amazing... This Tetsusaiga...
context: Well, you're going to regret it now! Get ready!\- Here! - Huh?\I think this sword has special powers. Go for it!\How... how come you're so energetic?\Huh?\Hmm?\I see... The sword's spell protected you.\Amazing... This Tetsusaiga... response:	to thwart the deadly poisons in Lord Sesshomaru's claws!
context: - Here! - Huh?\I think this sword has special powers. Go for it!\How... how come you're so energetic?\Huh?\Hmm?\I see... The sword's spell protected you.\Amazing... This Tetsusaiga...\to thwart the deadly poisons in Lord Sesshomaru's claws! response:	Master Inuyasha, do not fear!
context: I think this sword has special powers. Go for it!\How... how come you're so energetic?\Huh?\Hmm?\I see... The sword's spell protected you.\Amazing... This Tetsusaiga...\to thwart the deadly poisons in Lord Sesshomaru's claws!\Master Inuyasha, do not fear! response:	Try out the Tetsusaiga on Lord Sesshomaru himself!
context: How... how come you're so energetic?\Huh?\Hmm?\I see... The sword's spell protected you.\Amazing... This Tetsusaiga...\to thwart the deadly poisons in Lord Sesshomaru's claws!\Master Inuyasha, do not fear!\Try out the Tetsusaiga on Lord Sesshomaru himself! response:	Listen to you, prattling on!
context: Huh?\Hmm?\I see... The sword's spell protected you.\Amazing... This Tetsusaiga...\to thwart the deadly poisons in Lord Sesshomaru's claws!\Master Inuyasha, do not fear!\Try out the Tetsusaiga on Lord Sesshomaru himself!\Listen to you, prattling on! response:	What's happening?!
context: Hmm?\I see... The sword's spell protected you.\Amazing... This Tetsusaiga...\to thwart the deadly poisons in Lord Sesshomaru's claws!\Master Inuyasha, do not fear!\Try out the Tetsusaiga on Lord Sesshomaru himself!\Listen to you, prattling on!\What's happening?! response:	He's so mean and evil!
context: I see... The sword's spell protected you.\Amazing... This Tetsusaiga...\to thwart the deadly poisons in Lord Sesshomaru's claws!\Master Inuyasha, do not fear!\Try out the Tetsusaiga on Lord Sesshomaru himself!\Listen to you, prattling on!\What's happening?!\He's so mean and evil! response:	We'll see if a half-demon can wield the Tetsusaiga!
context: Amazing... This Tetsusaiga...\to thwart the deadly poisons in Lord Sesshomaru's claws!\Master Inuyasha, do not fear!\Try out the Tetsusaiga on Lord Sesshomaru himself!\Listen to you, prattling on!\What's happening?!\He's so mean and evil!\We'll see if a half-demon can wield the Tetsusaiga! response:	I will bear witness!
context: to thwart the deadly poisons in Lord Sesshomaru's claws!\Master Inuyasha, do not fear!\Try out the Tetsusaiga on Lord Sesshomaru himself!\Listen to you, prattling on!\What's happening?!\He's so mean and evil!\We'll see if a half-demon can wield the Tetsusaiga!\I will bear witness! response:	He transformed!
context: Master Inuyasha, do not fear!\Try out the Tetsusaiga on Lord Sesshomaru himself!\Listen to you, prattling on!\What's happening?!\He's so mean and evil!\We'll see if a half-demon can wield the Tetsusaiga!\I will bear witness!\He transformed! response:	And just because he coveted this Tetsusaiga...
context: Try out the Tetsusaiga on Lord Sesshomaru himself!\Listen to you, prattling on!\What's happening?!\He's so mean and evil!\We'll see if a half-demon can wield the Tetsusaiga!\I will bear witness!\He transformed!\And just because he coveted this Tetsusaiga... response:	Does this sword really have such awesome powers?
