context: Interesting. response:	Wow.
context: Oh, activities for the Prize Contest Club?\Between a dietary supplement set, an assortment of canned salmon, and a special army knife,\which would you like?\This won't do.\I can't use her for reference at all.\Reference for?\Not a maid, but a little sister...\I still can't imagine what I'd do. response:	What are you talking about?!
context: Between a dietary supplement set, an assortment of canned salmon, and a special army knife,\which would you like?\This won't do.\I can't use her for reference at all.\Reference for?\Not a maid, but a little sister...\I still can't imagine what I'd do.\What are you talking about?! response:	Little sisters are a mix between soothing and adorable!
context: which would you like?\This won't do.\I can't use her for reference at all.\Reference for?\Not a maid, but a little sister...\I still can't imagine what I'd do.\What are you talking about?!\Little sisters are a mix between soothing and adorable! response:	A-A mix?
context: This won't do.\I can't use her for reference at all.\Reference for?\Not a maid, but a little sister...\I still can't imagine what I'd do.\What are you talking about?!\Little sisters are a mix between soothing and adorable!\A-A mix? response:	It's a delicious event even for us working at the cafe!
context: I can't use her for reference at all.\Reference for?\Not a maid, but a little sister...\I still can't imagine what I'd do.\What are you talking about?!\Little sisters are a mix between soothing and adorable!\A-A mix?\It's a delicious event even for us working at the cafe! response:	Well then, care to give it a try right now?
context: Reference for?\Not a maid, but a little sister...\I still can't imagine what I'd do.\What are you talking about?!\Little sisters are a mix between soothing and adorable!\A-A mix?\It's a delicious event even for us working at the cafe!\Well then, care to give it a try right now? response:	You should probably change your hairstyle to something more youthful-looking.
context: Not a maid, but a little sister...\I still can't imagine what I'd do.\What are you talking about?!\Little sisters are a mix between soothing and adorable!\A-A mix?\It's a delicious event even for us working at the cafe!\Well then, care to give it a try right now?\You should probably change your hairstyle to something more youthful-looking. response:	A twintail would probably look best on Misa-chan.
context: I still can't imagine what I'd do.\What are you talking about?!\Little sisters are a mix between soothing and adorable!\A-A mix?\It's a delicious event even for us working at the cafe!\Well then, care to give it a try right now?\You should probably change your hairstyle to something more youthful-looking.\A twintail would probably look best on Misa-chan. response:	Instead of referring to a customer as Master, you need to use Onii-sama and Onee-sama.
context: What are you talking about?!\Little sisters are a mix between soothing and adorable!\A-A mix?\It's a delicious event even for us working at the cafe!\Well then, care to give it a try right now?\You should probably change your hairstyle to something more youthful-looking.\A twintail would probably look best on Misa-chan.\Instead of referring to a customer as Master, you need to use Onii-sama and Onee-sama. response:	And depending on your character, you can arrange it to be Onii-chan or Nee-san and the list goes on!
context: Little sisters are a mix between soothing and adorable!\A-A mix?\It's a delicious event even for us working at the cafe!\Well then, care to give it a try right now?\You should probably change your hairstyle to something more youthful-looking.\A twintail would probably look best on Misa-chan.\Instead of referring to a customer as Master, you need to use Onii-sama and Onee-sama.\And depending on your character, you can arrange it to be Onii-chan or Nee-san and the list goes on! response:	Kill me now!
context: A-A mix?\It's a delicious event even for us working at the cafe!\Well then, care to give it a try right now?\You should probably change your hairstyle to something more youthful-looking.\A twintail would probably look best on Misa-chan.\Instead of referring to a customer as Master, you need to use Onii-sama and Onee-sama.\And depending on your character, you can arrange it to be Onii-chan or Nee-san and the list goes on!\Kill me now! response:	You look better in that than I'd imagined!
context: It's a delicious event even for us working at the cafe!\Well then, care to give it a try right now?\You should probably change your hairstyle to something more youthful-looking.\A twintail would probably look best on Misa-chan.\Instead of referring to a customer as Master, you need to use Onii-sama and Onee-sama.\And depending on your character, you can arrange it to be Onii-chan or Nee-san and the list goes on!\Kill me now!\You look better in that than I'd imagined! response:	So, what would you like to call them?
context: Well then, care to give it a try right now?\You should probably change your hairstyle to something more youthful-looking.\A twintail would probably look best on Misa-chan.\Instead of referring to a customer as Master, you need to use Onii-sama and Onee-sama.\And depending on your character, you can arrange it to be Onii-chan or Nee-san and the list goes on!\Kill me now!\You look better in that than I'd imagined!\So, what would you like to call them? response:	Huh?
context: You should probably change your hairstyle to something more youthful-looking.\A twintail would probably look best on Misa-chan.\Instead of referring to a customer as Master, you need to use Onii-sama and Onee-sama.\And depending on your character, you can arrange it to be Onii-chan or Nee-san and the list goes on!\Kill me now!\You look better in that than I'd imagined!\So, what would you like to call them?\Huh? response:	You know, the customers!
context: A twintail would probably look best on Misa-chan.\Instead of referring to a customer as Master, you need to use Onii-sama and Onee-sama.\And depending on your character, you can arrange it to be Onii-chan or Nee-san and the list goes on!\Kill me now!\You look better in that than I'd imagined!\So, what would you like to call them?\Huh?\You know, the customers! response:	I'm going to be calling them Onii-chan!
context: Instead of referring to a customer as Master, you need to use Onii-sama and Onee-sama.\And depending on your character, you can arrange it to be Onii-chan or Nee-san and the list goes on!\Kill me now!\You look better in that than I'd imagined!\So, what would you like to call them?\Huh?\You know, the customers!\I'm going to be calling them Onii-chan! response:	B-Bro?
context: And depending on your character, you can arrange it to be Onii-chan or Nee-san and the list goes on!\Kill me now!\You look better in that than I'd imagined!\So, what would you like to call them?\Huh?\You know, the customers!\I'm going to be calling them Onii-chan!\B-Bro? response:	Or something like that.
context: Kill me now!\You look better in that than I'd imagined!\So, what would you like to call them?\Huh?\You know, the customers!\I'm going to be calling them Onii-chan!\B-Bro?\Or something like that. response:	What are you talking about, Misa-chan?
context: You look better in that than I'd imagined!\So, what would you like to call them?\Huh?\You know, the customers!\I'm going to be calling them Onii-chan!\B-Bro?\Or something like that.\What are you talking about, Misa-chan? response:	You're young enough to go as far as to saying Onii-tan!
context: So, what would you like to call them?\Huh?\You know, the customers!\I'm going to be calling them Onii-chan!\B-Bro?\Or something like that.\What are you talking about, Misa-chan?\You're young enough to go as far as to saying Onii-tan! response:	Onii-tan?!
context: Huh?\You know, the customers!\I'm going to be calling them Onii-chan!\B-Bro?\Or something like that.\What are you talking about, Misa-chan?\You're young enough to go as far as to saying Onii-tan!\Onii-tan?! response:	Onii-tan, could you help me get dressed?
context: You know, the customers!\I'm going to be calling them Onii-chan!\B-Bro?\Or something like that.\What are you talking about, Misa-chan?\You're young enough to go as far as to saying Onii-tan!\Onii-tan?!\Onii-tan, could you help me get dressed? response:	Onii-tan, let's sleep together!
context: I'm going to be calling them Onii-chan!\B-Bro?\Or something like that.\What are you talking about, Misa-chan?\You're young enough to go as far as to saying Onii-tan!\Onii-tan?!\Onii-tan, could you help me get dressed?\Onii-tan, let's sleep together! response:	If you're a little sister, you should be doing that!
context: B-Bro?\Or something like that.\What are you talking about, Misa-chan?\You're young enough to go as far as to saying Onii-tan!\Onii-tan?!\Onii-tan, could you help me get dressed?\Onii-tan, let's sleep together!\If you're a little sister, you should be doing that! response:	How old is this little sister?
context: Or something like that.\What are you talking about, Misa-chan?\You're young enough to go as far as to saying Onii-tan!\Onii-tan?!\Onii-tan, could you help me get dressed?\Onii-tan, let's sleep together!\If you're a little sister, you should be doing that!\How old is this little sister? response:	It's Honoka-chan's specialty after all, which is why she's being so ruthlessly strict.
context: What are you talking about, Misa-chan?\You're young enough to go as far as to saying Onii-tan!\Onii-tan?!\Onii-tan, could you help me get dressed?\Onii-tan, let's sleep together!\If you're a little sister, you should be doing that!\How old is this little sister?\It's Honoka-chan's specialty after all, which is why she's being so ruthlessly strict. response:	She's in her enthusiast mode now.
context: You're young enough to go as far as to saying Onii-tan!\Onii-tan?!\Onii-tan, could you help me get dressed?\Onii-tan, let's sleep together!\If you're a little sister, you should be doing that!\How old is this little sister?\It's Honoka-chan's specialty after all, which is why she's being so ruthlessly strict.\She's in her enthusiast mode now. response:	So give it a try!
context: Onii-tan?!\Onii-tan, could you help me get dressed?\Onii-tan, let's sleep together!\If you're a little sister, you should be doing that!\How old is this little sister?\It's Honoka-chan's specialty after all, which is why she's being so ruthlessly strict.\She's in her enthusiast mode now.\So give it a try! response:	You're now a little sister who's waiting for her beloved brother to come home!
context: Onii-tan, could you help me get dressed?\Onii-tan, let's sleep together!\If you're a little sister, you should be doing that!\How old is this little sister?\It's Honoka-chan's specialty after all, which is why she's being so ruthlessly strict.\She's in her enthusiast mode now.\So give it a try!\You're now a little sister who's waiting for her beloved brother to come home! response:	I wonder what's taking Onii-tan so long...
context: Onii-tan, let's sleep together!\If you're a little sister, you should be doing that!\How old is this little sister?\It's Honoka-chan's specialty after all, which is why she's being so ruthlessly strict.\She's in her enthusiast mode now.\So give it a try!\You're now a little sister who's waiting for her beloved brother to come home!\I wonder what's taking Onii-tan so long... response:	I-I wonder what's taking Onii-tan so long...
context: If you're a little sister, you should be doing that!\How old is this little sister?\It's Honoka-chan's specialty after all, which is why she's being so ruthlessly strict.\She's in her enthusiast mode now.\So give it a try!\You're now a little sister who's waiting for her beloved brother to come home!\I wonder what's taking Onii-tan so long...\I-I wonder what's taking Onii-tan so long... response:	Oh! I think he's home!
context: How old is this little sister?\It's Honoka-chan's specialty after all, which is why she's being so ruthlessly strict.\She's in her enthusiast mode now.\So give it a try!\You're now a little sister who's waiting for her beloved brother to come home!\I wonder what's taking Onii-tan so long...\I-I wonder what's taking Onii-tan so long...\Oh! I think he's home! response:	I-I think he's home.
context: It's Honoka-chan's specialty after all, which is why she's being so ruthlessly strict.\She's in her enthusiast mode now.\So give it a try!\You're now a little sister who's waiting for her beloved brother to come home!\I wonder what's taking Onii-tan so long...\I-I wonder what's taking Onii-tan so long...\Oh! I think he's home!\I-I think he's home. response:	C-Come on, don't we all have something that's not our thing?
context: She's in her enthusiast mode now.\So give it a try!\You're now a little sister who's waiting for her beloved brother to come home!\I wonder what's taking Onii-tan so long...\I-I wonder what's taking Onii-tan so long...\Oh! I think he's home!\I-I think he's home.\C-Come on, don't we all have something that's not our thing? response:	This is a little too extreme for me...
context: So give it a try!\You're now a little sister who's waiting for her beloved brother to come home!\I wonder what's taking Onii-tan so long...\I-I wonder what's taking Onii-tan so long...\Oh! I think he's home!\I-I think he's home.\C-Come on, don't we all have something that's not our thing?\This is a little too extreme for me... response:	You're going to use that as an excuse for not being competent enough for your job?
context: You're now a little sister who's waiting for her beloved brother to come home!\I wonder what's taking Onii-tan so long...\I-I wonder what's taking Onii-tan so long...\Oh! I think he's home!\I-I think he's home.\C-Come on, don't we all have something that's not our thing?\This is a little too extreme for me...\You're going to use that as an excuse for not being competent enough for your job? response:	H-Honoka-chan!
context: I wonder what's taking Onii-tan so long...\I-I wonder what's taking Onii-tan so long...\Oh! I think he's home!\I-I think he's home.\C-Come on, don't we all have something that's not our thing?\This is a little too extreme for me...\You're going to use that as an excuse for not being competent enough for your job?\H-Honoka-chan! response:	I've been meaning to say this for a while.
context: I-I wonder what's taking Onii-tan so long...\Oh! I think he's home!\I-I think he's home.\C-Come on, don't we all have something that's not our thing?\This is a little too extreme for me...\You're going to use that as an excuse for not being competent enough for your job?\H-Honoka-chan!\I've been meaning to say this for a while. response:	I don't mind that you're using your aloofness as a goofy character as your selling point,
context: Oh! I think he's home!\I-I think he's home.\C-Come on, don't we all have something that's not our thing?\This is a little too extreme for me...\You're going to use that as an excuse for not being competent enough for your job?\H-Honoka-chan!\I've been meaning to say this for a while.\I don't mind that you're using your aloofness as a goofy character as your selling point, response:	but isn't it common sense to put some effort into learning if you're being hired to work?
context: I-I think he's home.\C-Come on, don't we all have something that's not our thing?\This is a little too extreme for me...\You're going to use that as an excuse for not being competent enough for your job?\H-Honoka-chan!\I've been meaning to say this for a while.\I don't mind that you're using your aloofness as a goofy character as your selling point,\but isn't it common sense to put some effort into learning if you're being hired to work? response:	There's her alter ego, Black Honoka!
context: C-Come on, don't we all have something that's not our thing?\This is a little too extreme for me...\You're going to use that as an excuse for not being competent enough for your job?\H-Honoka-chan!\I've been meaning to say this for a while.\I don't mind that you're using your aloofness as a goofy character as your selling point,\but isn't it common sense to put some effort into learning if you're being hired to work?\There's her alter ego, Black Honoka! response:	She's out of my control, now!
context: This is a little too extreme for me...\You're going to use that as an excuse for not being competent enough for your job?\H-Honoka-chan!\I've been meaning to say this for a while.\I don't mind that you're using your aloofness as a goofy character as your selling point,\but isn't it common sense to put some effort into learning if you're being hired to work?\There's her alter ego, Black Honoka!\She's out of my control, now! response:	You accept it after someone tells you you're fine the way you are, not daring to take a step into this side of the world?
context: You're going to use that as an excuse for not being competent enough for your job?\H-Honoka-chan!\I've been meaning to say this for a while.\I don't mind that you're using your aloofness as a goofy character as your selling point,\but isn't it common sense to put some effort into learning if you're being hired to work?\There's her alter ego, Black Honoka!\She's out of my control, now!\You accept it after someone tells you you're fine the way you are, not daring to take a step into this side of the world? response:	That's sheer folly.
context: H-Honoka-chan!\I've been meaning to say this for a while.\I don't mind that you're using your aloofness as a goofy character as your selling point,\but isn't it common sense to put some effort into learning if you're being hired to work?\There's her alter ego, Black Honoka!\She's out of my control, now!\You accept it after someone tells you you're fine the way you are, not daring to take a step into this side of the world?\That's sheer folly. response:	Quit acting so spoiled, brat.
context: I've been meaning to say this for a while.\I don't mind that you're using your aloofness as a goofy character as your selling point,\but isn't it common sense to put some effort into learning if you're being hired to work?\There's her alter ego, Black Honoka!\She's out of my control, now!\You accept it after someone tells you you're fine the way you are, not daring to take a step into this side of the world?\That's sheer folly.\Quit acting so spoiled, brat. response:	Misa-chan!!
context: I don't mind that you're using your aloofness as a goofy character as your selling point,\but isn't it common sense to put some effort into learning if you're being hired to work?\There's her alter ego, Black Honoka!\She's out of my control, now!\You accept it after someone tells you you're fine the way you are, not daring to take a step into this side of the world?\That's sheer folly.\Quit acting so spoiled, brat.\Misa-chan!! response:	Hang on! Don't worry about it too much!
context: but isn't it common sense to put some effort into learning if you're being hired to work?\There's her alter ego, Black Honoka!\She's out of my control, now!\You accept it after someone tells you you're fine the way you are, not daring to take a step into this side of the world?\That's sheer folly.\Quit acting so spoiled, brat.\Misa-chan!!\Hang on! Don't worry about it too much! response:	If you really can't do it, we can change your shift.
context: There's her alter ego, Black Honoka!\She's out of my control, now!\You accept it after someone tells you you're fine the way you are, not daring to take a step into this side of the world?\That's sheer folly.\Quit acting so spoiled, brat.\Misa-chan!!\Hang on! Don't worry about it too much!\If you really can't do it, we can change your shift. response:	You can just make up for it by working hard for the next event!
context: She's out of my control, now!\You accept it after someone tells you you're fine the way you are, not daring to take a step into this side of the world?\That's sheer folly.\Quit acting so spoiled, brat.\Misa-chan!!\Hang on! Don't worry about it too much!\If you really can't do it, we can change your shift.\You can just make up for it by working hard for the next event! response:	Oh, that reminds me!
context: You accept it after someone tells you you're fine the way you are, not daring to take a step into this side of the world?\That's sheer folly.\Quit acting so spoiled, brat.\Misa-chan!!\Hang on! Don't worry about it too much!\If you really can't do it, we can change your shift.\You can just make up for it by working hard for the next event!\Oh, that reminds me! response:	Our next event is Maid Sentai Day!
context: That's sheer folly.\Quit acting so spoiled, brat.\Misa-chan!!\Hang on! Don't worry about it too much!\If you really can't do it, we can change your shift.\You can just make up for it by working hard for the next event!\Oh, that reminds me!\Our next event is Maid Sentai Day! response:	I really wanted to be the pink one, but Honoka-chan insists that she's going to be Pink.
context: Quit acting so spoiled, brat.\Misa-chan!!\Hang on! Don't worry about it too much!\If you really can't do it, we can change your shift.\You can just make up for it by working hard for the next event!\Oh, that reminds me!\Our next event is Maid Sentai Day!\I really wanted to be the pink one, but Honoka-chan insists that she's going to be Pink. response:	What color would you like to be, Misa-chan?
context: Misa-chan!!\Hang on! Don't worry about it too much!\If you really can't do it, we can change your shift.\You can just make up for it by working hard for the next event!\Oh, that reminds me!\Our next event is Maid Sentai Day!\I really wanted to be the pink one, but Honoka-chan insists that she's going to be Pink.\What color would you like to be, Misa-chan? response:	It doesn't really matter to me.
context: Hang on! Don't worry about it too much!\If you really can't do it, we can change your shift.\You can just make up for it by working hard for the next event!\Oh, that reminds me!\Our next event is Maid Sentai Day!\I really wanted to be the pink one, but Honoka-chan insists that she's going to be Pink.\What color would you like to be, Misa-chan?\It doesn't really matter to me. response:	You're already done for the day?
context: If you really can't do it, we can change your shift.\You can just make up for it by working hard for the next event!\Oh, that reminds me!\Our next event is Maid Sentai Day!\I really wanted to be the pink one, but Honoka-chan insists that she's going to be Pink.\What color would you like to be, Misa-chan?\It doesn't really matter to me.\You're already done for the day? response:	U-Usui!
context: You can just make up for it by working hard for the next event!\Oh, that reminds me!\Our next event is Maid Sentai Day!\I really wanted to be the pink one, but Honoka-chan insists that she's going to be Pink.\What color would you like to be, Misa-chan?\It doesn't really matter to me.\You're already done for the day?\U-Usui! response:	Oh! You're the one who always comes to see Misa-chan!
context: Oh, that reminds me!\Our next event is Maid Sentai Day!\I really wanted to be the pink one, but Honoka-chan insists that she's going to be Pink.\What color would you like to be, Misa-chan?\It doesn't really matter to me.\You're already done for the day?\U-Usui!\Oh! You're the one who always comes to see Misa-chan! response:	So your name's Usui-kun!
context: Our next event is Maid Sentai Day!\I really wanted to be the pink one, but Honoka-chan insists that she's going to be Pink.\What color would you like to be, Misa-chan?\It doesn't really matter to me.\You're already done for the day?\U-Usui!\Oh! You're the one who always comes to see Misa-chan!\So your name's Usui-kun! response:	Oh yeah, maybe you might know!
context: I really wanted to be the pink one, but Honoka-chan insists that she's going to be Pink.\What color would you like to be, Misa-chan?\It doesn't really matter to me.\You're already done for the day?\U-Usui!\Oh! You're the one who always comes to see Misa-chan!\So your name's Usui-kun!\Oh yeah, maybe you might know! response:	What color should Misa-chan represent?
context: What color would you like to be, Misa-chan?\It doesn't really matter to me.\You're already done for the day?\U-Usui!\Oh! You're the one who always comes to see Misa-chan!\So your name's Usui-kun!\Oh yeah, maybe you might know!\What color should Misa-chan represent? response:	Color?
context: It doesn't really matter to me.\You're already done for the day?\U-Usui!\Oh! You're the one who always comes to see Misa-chan!\So your name's Usui-kun!\Oh yeah, maybe you might know!\What color should Misa-chan represent?\Color? response:	We're going to be having a Sentai event in the future,
context: You're already done for the day?\U-Usui!\Oh! You're the one who always comes to see Misa-chan!\So your name's Usui-kun!\Oh yeah, maybe you might know!\What color should Misa-chan represent?\Color?\We're going to be having a Sentai event in the future, response:	so I was wondering what would be best for Misa-chan.
context: U-Usui!\Oh! You're the one who always comes to see Misa-chan!\So your name's Usui-kun!\Oh yeah, maybe you might know!\What color should Misa-chan represent?\Color?\We're going to be having a Sentai event in the future,\so I was wondering what would be best for Misa-chan. response:	Maid Sentai.
context: Oh! You're the one who always comes to see Misa-chan!\So your name's Usui-kun!\Oh yeah, maybe you might know!\What color should Misa-chan represent?\Color?\We're going to be having a Sentai event in the future,\so I was wondering what would be best for Misa-chan.\Maid Sentai. response:	I personally think lilac or sky blue would be best,
context: So your name's Usui-kun!\Oh yeah, maybe you might know!\What color should Misa-chan represent?\Color?\We're going to be having a Sentai event in the future,\so I was wondering what would be best for Misa-chan.\Maid Sentai.\I personally think lilac or sky blue would be best, response:	but that would overlap with the other girls.
context: Oh yeah, maybe you might know!\What color should Misa-chan represent?\Color?\We're going to be having a Sentai event in the future,\so I was wondering what would be best for Misa-chan.\Maid Sentai.\I personally think lilac or sky blue would be best,\but that would overlap with the other girls. response:	I'm thinking of making enameled maid costumes that differ in color!
context: What color should Misa-chan represent?\Color?\We're going to be having a Sentai event in the future,\so I was wondering what would be best for Misa-chan.\Maid Sentai.\I personally think lilac or sky blue would be best,\but that would overlap with the other girls.\I'm thinking of making enameled maid costumes that differ in color! response:	Then a transparent see-through, please-
context: Color?\We're going to be having a Sentai event in the future,\so I was wondering what would be best for Misa-chan.\Maid Sentai.\I personally think lilac or sky blue would be best,\but that would overlap with the other girls.\I'm thinking of making enameled maid costumes that differ in color!\Then a transparent see-through, please- response:	Shut up, pervert!
context: We're going to be having a Sentai event in the future,\so I was wondering what would be best for Misa-chan.\Maid Sentai.\I personally think lilac or sky blue would be best,\but that would overlap with the other girls.\I'm thinking of making enameled maid costumes that differ in color!\Then a transparent see-through, please-\Shut up, pervert! response:	Now, now...
context: so I was wondering what would be best for Misa-chan.\Maid Sentai.\I personally think lilac or sky blue would be best,\but that would overlap with the other girls.\I'm thinking of making enameled maid costumes that differ in color!\Then a transparent see-through, please-\Shut up, pervert!\Now, now... response:	You don't have to decide on it right away. Could you give yourself some time to think about it?
context: Maid Sentai.\I personally think lilac or sky blue would be best,\but that would overlap with the other girls.\I'm thinking of making enameled maid costumes that differ in color!\Then a transparent see-through, please-\Shut up, pervert!\Now, now...\You don't have to decide on it right away. Could you give yourself some time to think about it? response:	Little sister, soothing...
context: I personally think lilac or sky blue would be best,\but that would overlap with the other girls.\I'm thinking of making enameled maid costumes that differ in color!\Then a transparent see-through, please-\Shut up, pervert!\Now, now...\You don't have to decide on it right away. Could you give yourself some time to think about it?\Little sister, soothing... response:	Little sister, soothing...
context: but that would overlap with the other girls.\I'm thinking of making enameled maid costumes that differ in color!\Then a transparent see-through, please-\Shut up, pervert!\Now, now...\You don't have to decide on it right away. Could you give yourself some time to think about it?\Little sister, soothing...\Little sister, soothing... response:	Hey, look at this!
context: I'm thinking of making enameled maid costumes that differ in color!\Then a transparent see-through, please-\Shut up, pervert!\Now, now...\You don't have to decide on it right away. Could you give yourself some time to think about it?\Little sister, soothing...\Little sister, soothing...\Hey, look at this! response:	Man, you're really into big breasts!
context: Then a transparent see-through, please-\Shut up, pervert!\Now, now...\You don't have to decide on it right away. Could you give yourself some time to think about it?\Little sister, soothing...\Little sister, soothing...\Hey, look at this!\Man, you're really into big breasts! response:	Confiscated!
context: Shut up, pervert!\Now, now...\You don't have to decide on it right away. Could you give yourself some time to think about it?\Little sister, soothing...\Little sister, soothing...\Hey, look at this!\Man, you're really into big breasts!\Confiscated! response:	What? Adding a message to Misa-chan in the Maid Exchange Notebook?
context: Now, now...\You don't have to decide on it right away. Could you give yourself some time to think about it?\Little sister, soothing...\Little sister, soothing...\Hey, look at this!\Man, you're really into big breasts!\Confiscated!\What? Adding a message to Misa-chan in the Maid Exchange Notebook? response:	That won't work, Ikkun.
context: You don't have to decide on it right away. Could you give yourself some time to think about it?\Little sister, soothing...\Little sister, soothing...\Hey, look at this!\Man, you're really into big breasts!\Confiscated!\What? Adding a message to Misa-chan in the Maid Exchange Notebook?\That won't work, Ikkun. response:	Misa-chan doesn't have anything to do with the Maid Exchange Notebook.
context: Little sister, soothing...\Little sister, soothing...\Hey, look at this!\Man, you're really into big breasts!\Confiscated!\What? Adding a message to Misa-chan in the Maid Exchange Notebook?\That won't work, Ikkun.\Misa-chan doesn't have anything to do with the Maid Exchange Notebook. response:	But we don't know till we try!
context: Little sister, soothing...\Hey, look at this!\Man, you're really into big breasts!\Confiscated!\What? Adding a message to Misa-chan in the Maid Exchange Notebook?\That won't work, Ikkun.\Misa-chan doesn't have anything to do with the Maid Exchange Notebook.\But we don't know till we try! response:	We do know. She won't reply back.
context: Hey, look at this!\Man, you're really into big breasts!\Confiscated!\What? Adding a message to Misa-chan in the Maid Exchange Notebook?\That won't work, Ikkun.\Misa-chan doesn't have anything to do with the Maid Exchange Notebook.\But we don't know till we try!\We do know. She won't reply back. response:	Besides, other students might find out after recognizing her handwriting.
context: Man, you're really into big breasts!\Confiscated!\What? Adding a message to Misa-chan in the Maid Exchange Notebook?\That won't work, Ikkun.\Misa-chan doesn't have anything to do with the Maid Exchange Notebook.\But we don't know till we try!\We do know. She won't reply back.\Besides, other students might find out after recognizing her handwriting. response:	She never participates in stuff that could leave evidence behind.
context: Confiscated!\What? Adding a message to Misa-chan in the Maid Exchange Notebook?\That won't work, Ikkun.\Misa-chan doesn't have anything to do with the Maid Exchange Notebook.\But we don't know till we try!\We do know. She won't reply back.\Besides, other students might find out after recognizing her handwriting.\She never participates in stuff that could leave evidence behind. response:	But if it's filled with love...!
context: What? Adding a message to Misa-chan in the Maid Exchange Notebook?\That won't work, Ikkun.\Misa-chan doesn't have anything to do with the Maid Exchange Notebook.\But we don't know till we try!\We do know. She won't reply back.\Besides, other students might find out after recognizing her handwriting.\She never participates in stuff that could leave evidence behind.\But if it's filled with love...! response:	What's with you today, Ikkun?
context: That won't work, Ikkun.\Misa-chan doesn't have anything to do with the Maid Exchange Notebook.\But we don't know till we try!\We do know. She won't reply back.\Besides, other students might find out after recognizing her handwriting.\She never participates in stuff that could leave evidence behind.\But if it's filled with love...!\What's with you today, Ikkun? response:	Do you have a plan to catch Misa-chan's interest or something?
context: Misa-chan doesn't have anything to do with the Maid Exchange Notebook.\But we don't know till we try!\We do know. She won't reply back.\Besides, other students might find out after recognizing her handwriting.\She never participates in stuff that could leave evidence behind.\But if it's filled with love...!\What's with you today, Ikkun?\Do you have a plan to catch Misa-chan's interest or something? response:	For example, if we were to attach an illustration to the message like this...
