context: I have two important announcements today. response:	First, I need to introduce a transfer student.
context: You! And what's a training camp mean?\We're going on vacation!\And if we're going on a vacation... Say it!\Hot springs!\And then, the day of our training camp arrived.\I know hot springs sound fun and all,\but there'll be monsters along the way.\Stay on your toes. response:	Yes, ma'am!
context: We're going on vacation!\And if we're going on a vacation... Say it!\Hot springs!\And then, the day of our training camp arrived.\I know hot springs sound fun and all,\but there'll be monsters along the way.\Stay on your toes.\Yes, ma'am! response:	Do you go to hot springs often, Leila?
context: And if we're going on a vacation... Say it!\Hot springs!\And then, the day of our training camp arrived.\I know hot springs sound fun and all,\but there'll be monsters along the way.\Stay on your toes.\Yes, ma'am!\Do you go to hot springs often, Leila? response:	This is my first time since coming here.
context: Hot springs!\And then, the day of our training camp arrived.\I know hot springs sound fun and all,\but there'll be monsters along the way.\Stay on your toes.\Yes, ma'am!\Do you go to hot springs often, Leila?\This is my first time since coming here. response:	I'm glad you could join us, Maria.
context: And then, the day of our training camp arrived.\I know hot springs sound fun and all,\but there'll be monsters along the way.\Stay on your toes.\Yes, ma'am!\Do you go to hot springs often, Leila?\This is my first time since coming here.\I'm glad you could join us, Maria. response:	Yes, I'm feeling just fine now.
context: I know hot springs sound fun and all,\but there'll be monsters along the way.\Stay on your toes.\Yes, ma'am!\Do you go to hot springs often, Leila?\This is my first time since coming here.\I'm glad you could join us, Maria.\Yes, I'm feeling just fine now. response:	Apparently, the hot spring we're visiting today is known to be great for your skin!
context: but there'll be monsters along the way.\Stay on your toes.\Yes, ma'am!\Do you go to hot springs often, Leila?\This is my first time since coming here.\I'm glad you could join us, Maria.\Yes, I'm feeling just fine now.\Apparently, the hot spring we're visiting today is known to be great for your skin! response:	Hot springs! Hot springs!
context: Stay on your toes.\Yes, ma'am!\Do you go to hot springs often, Leila?\This is my first time since coming here.\I'm glad you could join us, Maria.\Yes, I'm feeling just fine now.\Apparently, the hot spring we're visiting today is known to be great for your skin!\Hot springs! Hot springs! response:	Hot springs! Hot springs!
context: Yes, ma'am!\Do you go to hot springs often, Leila?\This is my first time since coming here.\I'm glad you could join us, Maria.\Yes, I'm feeling just fine now.\Apparently, the hot spring we're visiting today is known to be great for your skin!\Hot springs! Hot springs!\Hot springs! Hot springs! response:	Emma's always loved baths.
context: Do you go to hot springs often, Leila?\This is my first time since coming here.\I'm glad you could join us, Maria.\Yes, I'm feeling just fine now.\Apparently, the hot spring we're visiting today is known to be great for your skin!\Hot springs! Hot springs!\Hot springs! Hot springs!\Emma's always loved baths. response:	We used to take them together when we were little.
context: This is my first time since coming here.\I'm glad you could join us, Maria.\Yes, I'm feeling just fine now.\Apparently, the hot spring we're visiting today is known to be great for your skin!\Hot springs! Hot springs!\Hot springs! Hot springs!\Emma's always loved baths.\We used to take them together when we were little. response:	Hot springs!
context: I'm glad you could join us, Maria.\Yes, I'm feeling just fine now.\Apparently, the hot spring we're visiting today is known to be great for your skin!\Hot springs! Hot springs!\Hot springs! Hot springs!\Emma's always loved baths.\We used to take them together when we were little.\Hot springs! response:	E-Emma, I know you're really excited,
context: Yes, I'm feeling just fine now.\Apparently, the hot spring we're visiting today is known to be great for your skin!\Hot springs! Hot springs!\Hot springs! Hot springs!\Emma's always loved baths.\We used to take them together when we were little.\Hot springs!\E-Emma, I know you're really excited, response:	but maybe you shouldn't get in the hot spring.
context: Apparently, the hot spring we're visiting today is known to be great for your skin!\Hot springs! Hot springs!\Hot springs! Hot springs!\Emma's always loved baths.\We used to take them together when we were little.\Hot springs!\E-Emma, I know you're really excited,\but maybe you shouldn't get in the hot spring. response:	What?! Why not?!
context: Hot springs! Hot springs!\Hot springs! Hot springs!\Emma's always loved baths.\We used to take them together when we were little.\Hot springs!\E-Emma, I know you're really excited,\but maybe you shouldn't get in the hot spring.\What?! Why not?! response:	Well...
context: Hot springs! Hot springs!\Emma's always loved baths.\We used to take them together when we were little.\Hot springs!\E-Emma, I know you're really excited,\but maybe you shouldn't get in the hot spring.\What?! Why not?!\Well... response:	I heard this hot spring's out in the open.
context: Emma's always loved baths.\We used to take them together when we were little.\Hot springs!\E-Emma, I know you're really excited,\but maybe you shouldn't get in the hot spring.\What?! Why not?!\Well...\I heard this hot spring's out in the open. response:	Which means...
context: We used to take them together when we were little.\Hot springs!\E-Emma, I know you're really excited,\but maybe you shouldn't get in the hot spring.\What?! Why not?!\Well...\I heard this hot spring's out in the open.\Which means... response:	So that's what's going on.
context: Hot springs!\E-Emma, I know you're really excited,\but maybe you shouldn't get in the hot spring.\What?! Why not?!\Well...\I heard this hot spring's out in the open.\Which means...\So that's what's going on. response:	We'll need to keep our guard up.
context: E-Emma, I know you're really excited,\but maybe you shouldn't get in the hot spring.\What?! Why not?!\Well...\I heard this hot spring's out in the open.\Which means...\So that's what's going on.\We'll need to keep our guard up. response:	I can sense their lust all the way over here.
context: but maybe you shouldn't get in the hot spring.\What?! Why not?!\Well...\I heard this hot spring's out in the open.\Which means...\So that's what's going on.\We'll need to keep our guard up.\I can sense their lust all the way over here. response:	Well, I guess it's okay if I'm seen.
context: What?! Why not?!\Well...\I heard this hot spring's out in the open.\Which means...\So that's what's going on.\We'll need to keep our guard up.\I can sense their lust all the way over here.\Well, I guess it's okay if I'm seen. response:	Th-Th-That's not okay!
context: Well...\I heard this hot spring's out in the open.\Which means...\So that's what's going on.\We'll need to keep our guard up.\I can sense their lust all the way over here.\Well, I guess it's okay if I'm seen.\Th-Th-That's not okay! response:	I'm kidding, jeez!
context: I heard this hot spring's out in the open.\Which means...\So that's what's going on.\We'll need to keep our guard up.\I can sense their lust all the way over here.\Well, I guess it's okay if I'm seen.\Th-Th-That's not okay!\I'm kidding, jeez! response:	I figured you'd stop anyone from peeking in, Noir.
context: Which means...\So that's what's going on.\We'll need to keep our guard up.\I can sense their lust all the way over here.\Well, I guess it's okay if I'm seen.\Th-Th-That's not okay!\I'm kidding, jeez!\I figured you'd stop anyone from peeking in, Noir. response:	Right?
context: So that's what's going on.\We'll need to keep our guard up.\I can sense their lust all the way over here.\Well, I guess it's okay if I'm seen.\Th-Th-That's not okay!\I'm kidding, jeez!\I figured you'd stop anyone from peeking in, Noir.\Right? response:	Indeed. I'm sure Noir will protect us.
context: We'll need to keep our guard up.\I can sense their lust all the way over here.\Well, I guess it's okay if I'm seen.\Th-Th-That's not okay!\I'm kidding, jeez!\I figured you'd stop anyone from peeking in, Noir.\Right?\Indeed. I'm sure Noir will protect us. response:	I see the girls trust you, Noir.
context: I can sense their lust all the way over here.\Well, I guess it's okay if I'm seen.\Th-Th-That's not okay!\I'm kidding, jeez!\I figured you'd stop anyone from peeking in, Noir.\Right?\Indeed. I'm sure Noir will protect us.\I see the girls trust you, Noir. response:	Th-That's...
context: Well, I guess it's okay if I'm seen.\Th-Th-That's not okay!\I'm kidding, jeez!\I figured you'd stop anyone from peeking in, Noir.\Right?\Indeed. I'm sure Noir will protect us.\I see the girls trust you, Noir.\Th-That's... response:	We're counting on you, Noir!
context: Th-Th-That's not okay!\I'm kidding, jeez!\I figured you'd stop anyone from peeking in, Noir.\Right?\Indeed. I'm sure Noir will protect us.\I see the girls trust you, Noir.\Th-That's...\We're counting on you, Noir! response:	Yeah!
context: I'm kidding, jeez!\I figured you'd stop anyone from peeking in, Noir.\Right?\Indeed. I'm sure Noir will protect us.\I see the girls trust you, Noir.\Th-That's...\We're counting on you, Noir!\Yeah! response:	Uh, I don't know about this...
context: I figured you'd stop anyone from peeking in, Noir.\Right?\Indeed. I'm sure Noir will protect us.\I see the girls trust you, Noir.\Th-That's...\We're counting on you, Noir!\Yeah!\Uh, I don't know about this... response:	I'm exhausted!
context: Right?\Indeed. I'm sure Noir will protect us.\I see the girls trust you, Noir.\Th-That's...\We're counting on you, Noir!\Yeah!\Uh, I don't know about this...\I'm exhausted! response:	I'm soaked in sweat.
context: Indeed. I'm sure Noir will protect us.\I see the girls trust you, Noir.\Th-That's...\We're counting on you, Noir!\Yeah!\Uh, I don't know about this...\I'm exhausted!\I'm soaked in sweat. response:	I want to get in the hot spring already!
context: I see the girls trust you, Noir.\Th-That's...\We're counting on you, Noir!\Yeah!\Uh, I don't know about this...\I'm exhausted!\I'm soaked in sweat.\I want to get in the hot spring already! response:	We may be on vacation, but we'll be training, too.
context: Th-That's...\We're counting on you, Noir!\Yeah!\Uh, I don't know about this...\I'm exhausted!\I'm soaked in sweat.\I want to get in the hot spring already!\We may be on vacation, but we'll be training, too. response:	Your hubris and carelessness can lead to trouble.
context: We're counting on you, Noir!\Yeah!\Uh, I don't know about this...\I'm exhausted!\I'm soaked in sweat.\I want to get in the hot spring already!\We may be on vacation, but we'll be training, too.\Your hubris and carelessness can lead to trouble. response:	Be prepared for anything.
context: Yeah!\Uh, I don't know about this...\I'm exhausted!\I'm soaked in sweat.\I want to get in the hot spring already!\We may be on vacation, but we'll be training, too.\Your hubris and carelessness can lead to trouble.\Be prepared for anything. response:	Don't worry! We're elites!
context: Uh, I don't know about this...\I'm exhausted!\I'm soaked in sweat.\I want to get in the hot spring already!\We may be on vacation, but we'll be training, too.\Your hubris and carelessness can lead to trouble.\Be prepared for anything.\Don't worry! We're elites! response:	I saw plenty of fools like you when I was a mercenary.
context: I'm exhausted!\I'm soaked in sweat.\I want to get in the hot spring already!\We may be on vacation, but we'll be training, too.\Your hubris and carelessness can lead to trouble.\Be prepared for anything.\Don't worry! We're elites!\I saw plenty of fools like you when I was a mercenary. response:	Of course, they never lasted long.
context: I'm soaked in sweat.\I want to get in the hot spring already!\We may be on vacation, but we'll be training, too.\Your hubris and carelessness can lead to trouble.\Be prepared for anything.\Don't worry! We're elites!\I saw plenty of fools like you when I was a mercenary.\Of course, they never lasted long. response:	Do you know why?
context: I want to get in the hot spring already!\We may be on vacation, but we'll be training, too.\Your hubris and carelessness can lead to trouble.\Be prepared for anything.\Don't worry! We're elites!\I saw plenty of fools like you when I was a mercenary.\Of course, they never lasted long.\Do you know why? response:	I-I have no idea...
context: We may be on vacation, but we'll be training, too.\Your hubris and carelessness can lead to trouble.\Be prepared for anything.\Don't worry! We're elites!\I saw plenty of fools like you when I was a mercenary.\Of course, they never lasted long.\Do you know why?\I-I have no idea... response:	Because they die.
context: Your hubris and carelessness can lead to trouble.\Be prepared for anything.\Don't worry! We're elites!\I saw plenty of fools like you when I was a mercenary.\Of course, they never lasted long.\Do you know why?\I-I have no idea...\Because they die. response:	Extremely dangerous monsters live here on Mt. Amora.
context: Be prepared for anything.\Don't worry! We're elites!\I saw plenty of fools like you when I was a mercenary.\Of course, they never lasted long.\Do you know why?\I-I have no idea...\Because they die.\Extremely dangerous monsters live here on Mt. Amora. response:	Make sure you all figure out your lines and formations.
context: Don't worry! We're elites!\I saw plenty of fools like you when I was a mercenary.\Of course, they never lasted long.\Do you know why?\I-I have no idea...\Because they die.\Extremely dangerous monsters live here on Mt. Amora.\Make sure you all figure out your lines and formations. response:	I'm going to do my best not to interfere.
context: I saw plenty of fools like you when I was a mercenary.\Of course, they never lasted long.\Do you know why?\I-I have no idea...\Because they die.\Extremely dangerous monsters live here on Mt. Amora.\Make sure you all figure out your lines and formations.\I'm going to do my best not to interfere. response:	Lines and formations? What are we supposed to do, exactly?
context: Of course, they never lasted long.\Do you know why?\I-I have no idea...\Because they die.\Extremely dangerous monsters live here on Mt. Amora.\Make sure you all figure out your lines and formations.\I'm going to do my best not to interfere.\Lines and formations? What are we supposed to do, exactly? response:	Since the boys are good at CQC, we'll have them up front.
context: Do you know why?\I-I have no idea...\Because they die.\Extremely dangerous monsters live here on Mt. Amora.\Make sure you all figure out your lines and formations.\I'm going to do my best not to interfere.\Lines and formations? What are we supposed to do, exactly?\Since the boys are good at CQC, we'll have them up front. response:	Most of the girls use magic, so we'll support from behind.
context: I-I have no idea...\Because they die.\Extremely dangerous monsters live here on Mt. Amora.\Make sure you all figure out your lines and formations.\I'm going to do my best not to interfere.\Lines and formations? What are we supposed to do, exactly?\Since the boys are good at CQC, we'll have them up front.\Most of the girls use magic, so we'll support from behind. response:	I'll be the rear guard.
context: Because they die.\Extremely dangerous monsters live here on Mt. Amora.\Make sure you all figure out your lines and formations.\I'm going to do my best not to interfere.\Lines and formations? What are we supposed to do, exactly?\Since the boys are good at CQC, we'll have them up front.\Most of the girls use magic, so we'll support from behind.\I'll be the rear guard. response:	Awesome, Leila! You totally know what you're doing!
context: Extremely dangerous monsters live here on Mt. Amora.\Make sure you all figure out your lines and formations.\I'm going to do my best not to interfere.\Lines and formations? What are we supposed to do, exactly?\Since the boys are good at CQC, we'll have them up front.\Most of the girls use magic, so we'll support from behind.\I'll be the rear guard.\Awesome, Leila! You totally know what you're doing! response:	I go hunting monsters with my guildmates all the time.
context: Make sure you all figure out your lines and formations.\I'm going to do my best not to interfere.\Lines and formations? What are we supposed to do, exactly?\Since the boys are good at CQC, we'll have them up front.\Most of the girls use magic, so we'll support from behind.\I'll be the rear guard.\Awesome, Leila! You totally know what you're doing!\I go hunting monsters with my guildmates all the time. response:	She's got both wit and beauty.
context: I'm going to do my best not to interfere.\Lines and formations? What are we supposed to do, exactly?\Since the boys are good at CQC, we'll have them up front.\Most of the girls use magic, so we'll support from behind.\I'll be the rear guard.\Awesome, Leila! You totally know what you're doing!\I go hunting monsters with my guildmates all the time.\She's got both wit and beauty. response:	And soon, we'll see her...
context: Lines and formations? What are we supposed to do, exactly?\Since the boys are good at CQC, we'll have them up front.\Most of the girls use magic, so we'll support from behind.\I'll be the rear guard.\Awesome, Leila! You totally know what you're doing!\I go hunting monsters with my guildmates all the time.\She's got both wit and beauty.\And soon, we'll see her... response:	It doesn't seem like any monsters are around, but what if there are traps somewhere?
context: Since the boys are good at CQC, we'll have them up front.\Most of the girls use magic, so we'll support from behind.\I'll be the rear guard.\Awesome, Leila! You totally know what you're doing!\I go hunting monsters with my guildmates all the time.\She's got both wit and beauty.\And soon, we'll see her...\It doesn't seem like any monsters are around, but what if there are traps somewhere? response:	Don't worry. I have the Trap Perception skill.
context: Most of the girls use magic, so we'll support from behind.\I'll be the rear guard.\Awesome, Leila! You totally know what you're doing!\I go hunting monsters with my guildmates all the time.\She's got both wit and beauty.\And soon, we'll see her...\It doesn't seem like any monsters are around, but what if there are traps somewhere?\Don't worry. I have the Trap Perception skill. response:	I just want to get to the hot spring,
context: I'll be the rear guard.\Awesome, Leila! You totally know what you're doing!\I go hunting monsters with my guildmates all the time.\She's got both wit and beauty.\And soon, we'll see her...\It doesn't seem like any monsters are around, but what if there are traps somewhere?\Don't worry. I have the Trap Perception skill.\I just want to get to the hot spring, response:	but I doubt my troubles will end there.
context: Awesome, Leila! You totally know what you're doing!\I go hunting monsters with my guildmates all the time.\She's got both wit and beauty.\And soon, we'll see her...\It doesn't seem like any monsters are around, but what if there are traps somewhere?\Don't worry. I have the Trap Perception skill.\I just want to get to the hot spring,\but I doubt my troubles will end there. response:	Noir, step back.
context: I go hunting monsters with my guildmates all the time.\She's got both wit and beauty.\And soon, we'll see her...\It doesn't seem like any monsters are around, but what if there are traps somewhere?\Don't worry. I have the Trap Perception skill.\I just want to get to the hot spring,\but I doubt my troubles will end there.\Noir, step back. response:	Talk about a close call.
context: She's got both wit and beauty.\And soon, we'll see her...\It doesn't seem like any monsters are around, but what if there are traps somewhere?\Don't worry. I have the Trap Perception skill.\I just want to get to the hot spring,\but I doubt my troubles will end there.\Noir, step back.\Talk about a close call. response:	Th-Thanks, Hjorth.
context: And soon, we'll see her...\It doesn't seem like any monsters are around, but what if there are traps somewhere?\Don't worry. I have the Trap Perception skill.\I just want to get to the hot spring,\but I doubt my troubles will end there.\Noir, step back.\Talk about a close call.\Th-Thanks, Hjorth. response:	It's nothing. I don't need a reason to help out my friends.
context: It doesn't seem like any monsters are around, but what if there are traps somewhere?\Don't worry. I have the Trap Perception skill.\I just want to get to the hot spring,\but I doubt my troubles will end there.\Noir, step back.\Talk about a close call.\Th-Thanks, Hjorth.\It's nothing. I don't need a reason to help out my friends. response:	Peek.
context: Don't worry. I have the Trap Perception skill.\I just want to get to the hot spring,\but I doubt my troubles will end there.\Noir, step back.\Talk about a close call.\Th-Thanks, Hjorth.\It's nothing. I don't need a reason to help out my friends.\Peek. response:	Look! How cute!
context: I just want to get to the hot spring,\but I doubt my troubles will end there.\Noir, step back.\Talk about a close call.\Th-Thanks, Hjorth.\It's nothing. I don't need a reason to help out my friends.\Peek.\Look! How cute! response:	That's a rare wildflower.
context: but I doubt my troubles will end there.\Noir, step back.\Talk about a close call.\Th-Thanks, Hjorth.\It's nothing. I don't need a reason to help out my friends.\Peek.\Look! How cute!\That's a rare wildflower. response:	But who put a pitfall here?
context: Noir, step back.\Talk about a close call.\Th-Thanks, Hjorth.\It's nothing. I don't need a reason to help out my friends.\Peek.\Look! How cute!\That's a rare wildflower.\But who put a pitfall here? response:	I know who did it.
context: Talk about a close call.\Th-Thanks, Hjorth.\It's nothing. I don't need a reason to help out my friends.\Peek.\Look! How cute!\That's a rare wildflower.\But who put a pitfall here?\I know who did it. response:	The people who dug that hole are bad people called bandits.
context: Th-Thanks, Hjorth.\It's nothing. I don't need a reason to help out my friends.\Peek.\Look! How cute!\That's a rare wildflower.\But who put a pitfall here?\I know who did it.\The people who dug that hole are bad people called bandits. response:	Who are you?
context: It's nothing. I don't need a reason to help out my friends.\Peek.\Look! How cute!\That's a rare wildflower.\But who put a pitfall here?\I know who did it.\The people who dug that hole are bad people called bandits.\Who are you? response:	I'm a pixie. I'm not a bad monster.
context: Peek.\Look! How cute!\That's a rare wildflower.\But who put a pitfall here?\I know who did it.\The people who dug that hole are bad people called bandits.\Who are you?\I'm a pixie. I'm not a bad monster. response:	Yeah, she doesn't look bad.
context: Look! How cute!\That's a rare wildflower.\But who put a pitfall here?\I know who did it.\The people who dug that hole are bad people called bandits.\Who are you?\I'm a pixie. I'm not a bad monster.\Yeah, she doesn't look bad. response:	She's so cute!
context: That's a rare wildflower.\But who put a pitfall here?\I know who did it.\The people who dug that hole are bad people called bandits.\Who are you?\I'm a pixie. I'm not a bad monster.\Yeah, she doesn't look bad.\She's so cute! response:	She's like a little fairy!
context: But who put a pitfall here?\I know who did it.\The people who dug that hole are bad people called bandits.\Who are you?\I'm a pixie. I'm not a bad monster.\Yeah, she doesn't look bad.\She's so cute!\She's like a little fairy! response:	She's so little and cute!
context: I know who did it.\The people who dug that hole are bad people called bandits.\Who are you?\I'm a pixie. I'm not a bad monster.\Yeah, she doesn't look bad.\She's so cute!\She's like a little fairy!\She's so little and cute! response:	I'm pretty sure pixies trick humans...
context: The people who dug that hole are bad people called bandits.\Who are you?\I'm a pixie. I'm not a bad monster.\Yeah, she doesn't look bad.\She's so cute!\She's like a little fairy!\She's so little and cute!\I'm pretty sure pixies trick humans... response:	Pixie Lv. 5
context: Who are you?\I'm a pixie. I'm not a bad monster.\Yeah, she doesn't look bad.\She's so cute!\She's like a little fairy!\She's so little and cute!\I'm pretty sure pixies trick humans...\Pixie Lv. 5 response:	Skill
context: I'm a pixie. I'm not a bad monster.\Yeah, she doesn't look bad.\She's so cute!\She's like a little fairy!\She's so little and cute!\I'm pretty sure pixies trick humans...\Pixie Lv. 5\Skill response:	That Monster Puppetry skill is a bit concerning.
context: Yeah, she doesn't look bad.\She's so cute!\She's like a little fairy!\She's so little and cute!\I'm pretty sure pixies trick humans...\Pixie Lv. 5\Skill\That Monster Puppetry skill is a bit concerning. response:	As for Ms. Elna...
context: She's so cute!\She's like a little fairy!\She's so little and cute!\I'm pretty sure pixies trick humans...\Pixie Lv. 5\Skill\That Monster Puppetry skill is a bit concerning.\As for Ms. Elna... response:	Guess this is all up to us students.
context: She's like a little fairy!\She's so little and cute!\I'm pretty sure pixies trick humans...\Pixie Lv. 5\Skill\That Monster Puppetry skill is a bit concerning.\As for Ms. Elna...\Guess this is all up to us students. response:	You're all headed to the hot spring, aren't you?
context: She's so little and cute!\I'm pretty sure pixies trick humans...\Pixie Lv. 5\Skill\That Monster Puppetry skill is a bit concerning.\As for Ms. Elna...\Guess this is all up to us students.\You're all headed to the hot spring, aren't you? response:	I know a shortcut!
context: I'm pretty sure pixies trick humans...\Pixie Lv. 5\Skill\That Monster Puppetry skill is a bit concerning.\As for Ms. Elna...\Guess this is all up to us students.\You're all headed to the hot spring, aren't you?\I know a shortcut! response:	A shortcut? Tell us!
context: Pixie Lv. 5\Skill\That Monster Puppetry skill is a bit concerning.\As for Ms. Elna...\Guess this is all up to us students.\You're all headed to the hot spring, aren't you?\I know a shortcut!\A shortcut? Tell us! response:	We want to get there fast!
