context: Every weekday's tightly packed. response:	Madly dashing around again since morning.
context: How's your eyesight?\Somewhere around 20l200.\Huh. So because you got into a Tokyo school, you changed your look.\You go, girl.\It isn't that big a deal.\Well, you should've also done something about your hair.\It's cute though.\I did change it, actually... response:	I once up and gave myself a perm. I looked way too old.
context: Somewhere around 20l200.\Huh. So because you got into a Tokyo school, you changed your look.\You go, girl.\It isn't that big a deal.\Well, you should've also done something about your hair.\It's cute though.\I did change it, actually...\I once up and gave myself a perm. I looked way too old. response:	Hmm, what could it be? Your clothes, maybe?
context: Huh. So because you got into a Tokyo school, you changed your look.\You go, girl.\It isn't that big a deal.\Well, you should've also done something about your hair.\It's cute though.\I did change it, actually...\I once up and gave myself a perm. I looked way too old.\Hmm, what could it be? Your clothes, maybe? response:	Huh?
context: You go, girl.\It isn't that big a deal.\Well, you should've also done something about your hair.\It's cute though.\I did change it, actually...\I once up and gave myself a perm. I looked way too old.\Hmm, what could it be? Your clothes, maybe?\Huh? response:	My switch just flipped.
context: It isn't that big a deal.\Well, you should've also done something about your hair.\It's cute though.\I did change it, actually...\I once up and gave myself a perm. I looked way too old.\Hmm, what could it be? Your clothes, maybe?\Huh?\My switch just flipped. response:	The retail clerk switch!
context: Well, you should've also done something about your hair.\It's cute though.\I did change it, actually...\I once up and gave myself a perm. I looked way too old.\Hmm, what could it be? Your clothes, maybe?\Huh?\My switch just flipped.\The retail clerk switch! response:	That's the one.
context: It's cute though.\I did change it, actually...\I once up and gave myself a perm. I looked way too old.\Hmm, what could it be? Your clothes, maybe?\Huh?\My switch just flipped.\The retail clerk switch!\That's the one. response:	Today, the direct approach: Stand up for a second, miss.
context: I did change it, actually...\I once up and gave myself a perm. I looked way too old.\Hmm, what could it be? Your clothes, maybe?\Huh?\My switch just flipped.\The retail clerk switch!\That's the one.\Today, the direct approach: Stand up for a second, miss. response:	Hmm, it's not your size. Is this men's clothing?
context: I once up and gave myself a perm. I looked way too old.\Hmm, what could it be? Your clothes, maybe?\Huh?\My switch just flipped.\The retail clerk switch!\That's the one.\Today, the direct approach: Stand up for a second, miss.\Hmm, it's not your size. Is this men's clothing? response:	Uh, this is... on purpose.
context: Hmm, what could it be? Your clothes, maybe?\Huh?\My switch just flipped.\The retail clerk switch!\That's the one.\Today, the direct approach: Stand up for a second, miss.\Hmm, it's not your size. Is this men's clothing?\Uh, this is... on purpose. response:	I understand wanting to hide your figure, but this's a little otaku-ish.
context: Huh?\My switch just flipped.\The retail clerk switch!\That's the one.\Today, the direct approach: Stand up for a second, miss.\Hmm, it's not your size. Is this men's clothing?\Uh, this is... on purpose.\I understand wanting to hide your figure, but this's a little otaku-ish. response:	That's a little rude, you know?
context: My switch just flipped.\The retail clerk switch!\That's the one.\Today, the direct approach: Stand up for a second, miss.\Hmm, it's not your size. Is this men's clothing?\Uh, this is... on purpose.\I understand wanting to hide your figure, but this's a little otaku-ish.\That's a little rude, you know? response:	But it's true.
context: The retail clerk switch!\That's the one.\Today, the direct approach: Stand up for a second, miss.\Hmm, it's not your size. Is this men's clothing?\Uh, this is... on purpose.\I understand wanting to hide your figure, but this's a little otaku-ish.\That's a little rude, you know?\But it's true. response:	Hmm, well, maybe it does look bad, being the wrong size.
context: That's the one.\Today, the direct approach: Stand up for a second, miss.\Hmm, it's not your size. Is this men's clothing?\Uh, this is... on purpose.\I understand wanting to hide your figure, but this's a little otaku-ish.\That's a little rude, you know?\But it's true.\Hmm, well, maybe it does look bad, being the wrong size. response:	Although it used to be in style to barely see your hands through your sleeves.
context: Today, the direct approach: Stand up for a second, miss.\Hmm, it's not your size. Is this men's clothing?\Uh, this is... on purpose.\I understand wanting to hide your figure, but this's a little otaku-ish.\That's a little rude, you know?\But it's true.\Hmm, well, maybe it does look bad, being the wrong size.\Although it used to be in style to barely see your hands through your sleeves. response:	You went to the trouble of coming to Tokyo. Why not do a little more?
context: Hmm, it's not your size. Is this men's clothing?\Uh, this is... on purpose.\I understand wanting to hide your figure, but this's a little otaku-ish.\That's a little rude, you know?\But it's true.\Hmm, well, maybe it does look bad, being the wrong size.\Although it used to be in style to barely see your hands through your sleeves.\You went to the trouble of coming to Tokyo. Why not do a little more? response:	You shouldn't treat people like such hicks!
context: Uh, this is... on purpose.\I understand wanting to hide your figure, but this's a little otaku-ish.\That's a little rude, you know?\But it's true.\Hmm, well, maybe it does look bad, being the wrong size.\Although it used to be in style to barely see your hands through your sleeves.\You went to the trouble of coming to Tokyo. Why not do a little more?\You shouldn't treat people like such hicks! response:	It might be less a hick thing and more an overly self-conscious thing.
context: I understand wanting to hide your figure, but this's a little otaku-ish.\That's a little rude, you know?\But it's true.\Hmm, well, maybe it does look bad, being the wrong size.\Although it used to be in style to barely see your hands through your sleeves.\You went to the trouble of coming to Tokyo. Why not do a little more?\You shouldn't treat people like such hicks!\It might be less a hick thing and more an overly self-conscious thing. response:	You're only making it worse, Saki.
context: That's a little rude, you know?\But it's true.\Hmm, well, maybe it does look bad, being the wrong size.\Although it used to be in style to barely see your hands through your sleeves.\You went to the trouble of coming to Tokyo. Why not do a little more?\You shouldn't treat people like such hicks!\It might be less a hick thing and more an overly self-conscious thing.\You're only making it worse, Saki. response:	Sorry, was I blunt?
context: But it's true.\Hmm, well, maybe it does look bad, being the wrong size.\Although it used to be in style to barely see your hands through your sleeves.\You went to the trouble of coming to Tokyo. Why not do a little more?\You shouldn't treat people like such hicks!\It might be less a hick thing and more an overly self-conscious thing.\You're only making it worse, Saki.\Sorry, was I blunt? response:	Too blunt.
context: Hmm, well, maybe it does look bad, being the wrong size.\Although it used to be in style to barely see your hands through your sleeves.\You went to the trouble of coming to Tokyo. Why not do a little more?\You shouldn't treat people like such hicks!\It might be less a hick thing and more an overly self-conscious thing.\You're only making it worse, Saki.\Sorry, was I blunt?\Too blunt. response:	But hey, this is how I get when I see people...
context: Although it used to be in style to barely see your hands through your sleeves.\You went to the trouble of coming to Tokyo. Why not do a little more?\You shouldn't treat people like such hicks!\It might be less a hick thing and more an overly self-conscious thing.\You're only making it worse, Saki.\Sorry, was I blunt?\Too blunt.\But hey, this is how I get when I see people... response:	Hi!
context: You went to the trouble of coming to Tokyo. Why not do a little more?\You shouldn't treat people like such hicks!\It might be less a hick thing and more an overly self-conscious thing.\You're only making it worse, Saki.\Sorry, was I blunt?\Too blunt.\But hey, this is how I get when I see people...\Hi! response:	Sorry.
context: You shouldn't treat people like such hicks!\It might be less a hick thing and more an overly self-conscious thing.\You're only making it worse, Saki.\Sorry, was I blunt?\Too blunt.\But hey, this is how I get when I see people...\Hi!\Sorry. response:	This is just how Saki is.
context: It might be less a hick thing and more an overly self-conscious thing.\You're only making it worse, Saki.\Sorry, was I blunt?\Too blunt.\But hey, this is how I get when I see people...\Hi!\Sorry.\This is just how Saki is. response:	Like I said, those friends were mundanes! I was being considerate.
context: You're only making it worse, Saki.\Sorry, was I blunt?\Too blunt.\But hey, this is how I get when I see people...\Hi!\Sorry.\This is just how Saki is.\Like I said, those friends were mundanes! I was being considerate. response:	That's a lie.
context: Sorry, was I blunt?\Too blunt.\But hey, this is how I get when I see people...\Hi!\Sorry.\This is just how Saki is.\Like I said, those friends were mundanes! I was being considerate.\That's a lie. response:	Ogiue was there too.
context: Too blunt.\But hey, this is how I get when I see people...\Hi!\Sorry.\This is just how Saki is.\Like I said, those friends were mundanes! I was being considerate.\That's a lie.\Ogiue was there too. response:	Like I could butt into a conversation between girls!
context: But hey, this is how I get when I see people...\Hi!\Sorry.\This is just how Saki is.\Like I said, those friends were mundanes! I was being considerate.\That's a lie.\Ogiue was there too.\Like I could butt into a conversation between girls! response:	Oh really. Then you admit you averted your eyes.
context: Hi!\Sorry.\This is just how Saki is.\Like I said, those friends were mundanes! I was being considerate.\That's a lie.\Ogiue was there too.\Like I could butt into a conversation between girls!\Oh really. Then you admit you averted your eyes. response:	Hey...
context: Sorry.\This is just how Saki is.\Like I said, those friends were mundanes! I was being considerate.\That's a lie.\Ogiue was there too.\Like I could butt into a conversation between girls!\Oh really. Then you admit you averted your eyes.\Hey... response:	That's what they call ignoring, you know. Ig-nor-ing!
context: This is just how Saki is.\Like I said, those friends were mundanes! I was being considerate.\That's a lie.\Ogiue was there too.\Like I could butt into a conversation between girls!\Oh really. Then you admit you averted your eyes.\Hey...\That's what they call ignoring, you know. Ig-nor-ing! response:	I even waved to you.
context: Like I said, those friends were mundanes! I was being considerate.\That's a lie.\Ogiue was there too.\Like I could butt into a conversation between girls!\Oh really. Then you admit you averted your eyes.\Hey...\That's what they call ignoring, you know. Ig-nor-ing!\I even waved to you. response:	Fine then, I was ignoring you! But even if I spoke up...
context: That's a lie.\Ogiue was there too.\Like I could butt into a conversation between girls!\Oh really. Then you admit you averted your eyes.\Hey...\That's what they call ignoring, you know. Ig-nor-ing!\I even waved to you.\Fine then, I was ignoring you! But even if I spoke up... response:	No, I wouldn't! First off, we were talking about otaku fashion...
context: Ogiue was there too.\Like I could butt into a conversation between girls!\Oh really. Then you admit you averted your eyes.\Hey...\That's what they call ignoring, you know. Ig-nor-ing!\I even waved to you.\Fine then, I was ignoring you! But even if I spoke up...\No, I wouldn't! First off, we were talking about otaku fashion... response:	No thanks!
context: Like I could butt into a conversation between girls!\Oh really. Then you admit you averted your eyes.\Hey...\That's what they call ignoring, you know. Ig-nor-ing!\I even waved to you.\Fine then, I was ignoring you! But even if I spoke up...\No, I wouldn't! First off, we were talking about otaku fashion...\No thanks! response:	Um...
context: Oh really. Then you admit you averted your eyes.\Hey...\That's what they call ignoring, you know. Ig-nor-ing!\I even waved to you.\Fine then, I was ignoring you! But even if I spoke up...\No, I wouldn't! First off, we were talking about otaku fashion...\No thanks!\Um... response:	You know, everyone's already aware that my boyfriend's an otaku.
context: Hey...\That's what they call ignoring, you know. Ig-nor-ing!\I even waved to you.\Fine then, I was ignoring you! But even if I spoke up...\No, I wouldn't! First off, we were talking about otaku fashion...\No thanks!\Um...\You know, everyone's already aware that my boyfriend's an otaku. response:	And they know I frequent Genshiken!
context: That's what they call ignoring, you know. Ig-nor-ing!\I even waved to you.\Fine then, I was ignoring you! But even if I spoke up...\No, I wouldn't! First off, we were talking about otaku fashion...\No thanks!\Um...\You know, everyone's already aware that my boyfriend's an otaku.\And they know I frequent Genshiken! response:	Do not let it go to your head.
context: I even waved to you.\Fine then, I was ignoring you! But even if I spoke up...\No, I wouldn't! First off, we were talking about otaku fashion...\No thanks!\Um...\You know, everyone's already aware that my boyfriend's an otaku.\And they know I frequent Genshiken!\Do not let it go to your head. response:	No amount of time will make you an otaku...
context: Fine then, I was ignoring you! But even if I spoke up...\No, I wouldn't! First off, we were talking about otaku fashion...\No thanks!\Um...\You know, everyone's already aware that my boyfriend's an otaku.\And they know I frequent Genshiken!\Do not let it go to your head.\No amount of time will make you an otaku... response:	Shut up.
context: No, I wouldn't! First off, we were talking about otaku fashion...\No thanks!\Um...\You know, everyone's already aware that my boyfriend's an otaku.\And they know I frequent Genshiken!\Do not let it go to your head.\No amount of time will make you an otaku...\Shut up. response:	Someday you will break up with Kohsaka.
context: No thanks!\Um...\You know, everyone's already aware that my boyfriend's an otaku.\And they know I frequent Genshiken!\Do not let it go to your head.\No amount of time will make you an otaku...\Shut up.\Someday you will break up with Kohsaka. response:	You piss me off, otaku!
context: Um...\You know, everyone's already aware that my boyfriend's an otaku.\And they know I frequent Genshiken!\Do not let it go to your head.\No amount of time will make you an otaku...\Shut up.\Someday you will break up with Kohsaka.\You piss me off, otaku! response:	I am from the planet Otaku.
context: You know, everyone's already aware that my boyfriend's an otaku.\And they know I frequent Genshiken!\Do not let it go to your head.\No amount of time will make you an otaku...\Shut up.\Someday you will break up with Kohsaka.\You piss me off, otaku!\I am from the planet Otaku. response:	I come in peace.
context: And they know I frequent Genshiken!\Do not let it go to your head.\No amount of time will make you an otaku...\Shut up.\Someday you will break up with Kohsaka.\You piss me off, otaku!\I am from the planet Otaku.\I come in peace. response:	I come in peace. Otaku, otaku, otaku, otaku, otaku!
context: Do not let it go to your head.\No amount of time will make you an otaku...\Shut up.\Someday you will break up with Kohsaka.\You piss me off, otaku!\I am from the planet Otaku.\I come in peace.\I come in peace. Otaku, otaku, otaku, otaku, otaku! response:	Your glasses.
context: No amount of time will make you an otaku...\Shut up.\Someday you will break up with Kohsaka.\You piss me off, otaku!\I am from the planet Otaku.\I come in peace.\I come in peace. Otaku, otaku, otaku, otaku, otaku!\Your glasses. response:	They're square!
context: Shut up.\Someday you will break up with Kohsaka.\You piss me off, otaku!\I am from the planet Otaku.\I come in peace.\I come in peace. Otaku, otaku, otaku, otaku, otaku!\Your glasses.\They're square! response:	You only just noticed?
context: Someday you will break up with Kohsaka.\You piss me off, otaku!\I am from the planet Otaku.\I come in peace.\I come in peace. Otaku, otaku, otaku, otaku, otaku!\Your glasses.\They're square!\You only just noticed? response:	S-square!
context: You piss me off, otaku!\I am from the planet Otaku.\I come in peace.\I come in peace. Otaku, otaku, otaku, otaku, otaku!\Your glasses.\They're square!\You only just noticed?\S-square! response:	So, what? You're suddenly trying for style?
context: I am from the planet Otaku.\I come in peace.\I come in peace. Otaku, otaku, otaku, otaku, otaku!\Your glasses.\They're square!\You only just noticed?\S-square!\So, what? You're suddenly trying for style? response:	Well, it was a change, and I was starting to need a new prescription.
context: I come in peace.\I come in peace. Otaku, otaku, otaku, otaku, otaku!\Your glasses.\They're square!\You only just noticed?\S-square!\So, what? You're suddenly trying for style?\Well, it was a change, and I was starting to need a new prescription. response:	Do they suck?
context: I come in peace. Otaku, otaku, otaku, otaku, otaku!\Your glasses.\They're square!\You only just noticed?\S-square!\So, what? You're suddenly trying for style?\Well, it was a change, and I was starting to need a new prescription.\Do they suck? response:	Huh? They don't suck... but it's like...
context: Your glasses.\They're square!\You only just noticed?\S-square!\So, what? You're suddenly trying for style?\Well, it was a change, and I was starting to need a new prescription.\Do they suck?\Huh? They don't suck... but it's like... response:	Your laughing suggests they suck.
context: They're square!\You only just noticed?\S-square!\So, what? You're suddenly trying for style?\Well, it was a change, and I was starting to need a new prescription.\Do they suck?\Huh? They don't suck... but it's like...\Your laughing suggests they suck. response:	It's your clothes. I was talking about it with Ogiue too.
context: You only just noticed?\S-square!\So, what? You're suddenly trying for style?\Well, it was a change, and I was starting to need a new prescription.\Do they suck?\Huh? They don't suck... but it's like...\Your laughing suggests they suck.\It's your clothes. I was talking about it with Ogiue too. response:	Oh, right.
context: S-square!\So, what? You're suddenly trying for style?\Well, it was a change, and I was starting to need a new prescription.\Do they suck?\Huh? They don't suck... but it's like...\Your laughing suggests they suck.\It's your clothes. I was talking about it with Ogiue too.\Oh, right. response:	Do none of you care?
context: So, what? You're suddenly trying for style?\Well, it was a change, and I was starting to need a new prescription.\Do they suck?\Huh? They don't suck... but it's like...\Your laughing suggests they suck.\It's your clothes. I was talking about it with Ogiue too.\Oh, right.\Do none of you care? response:	That's what they call otaku fashion, huh?
context: Well, it was a change, and I was starting to need a new prescription.\Do they suck?\Huh? They don't suck... but it's like...\Your laughing suggests they suck.\It's your clothes. I was talking about it with Ogiue too.\Oh, right.\Do none of you care?\That's what they call otaku fashion, huh? response:	Are you cool with hearing that?
context: Do they suck?\Huh? They don't suck... but it's like...\Your laughing suggests they suck.\It's your clothes. I was talking about it with Ogiue too.\Oh, right.\Do none of you care?\That's what they call otaku fashion, huh?\Are you cool with hearing that? response:	Does it not make any difference?
context: Huh? They don't suck... but it's like...\Your laughing suggests they suck.\It's your clothes. I was talking about it with Ogiue too.\Oh, right.\Do none of you care?\That's what they call otaku fashion, huh?\Are you cool with hearing that?\Does it not make any difference? response:	Well, it's like, no, I don't care. And I have no taste for it.
context: Your laughing suggests they suck.\It's your clothes. I was talking about it with Ogiue too.\Oh, right.\Do none of you care?\That's what they call otaku fashion, huh?\Are you cool with hearing that?\Does it not make any difference?\Well, it's like, no, I don't care. And I have no taste for it. response:	Not to mention money.
context: It's your clothes. I was talking about it with Ogiue too.\Oh, right.\Do none of you care?\That's what they call otaku fashion, huh?\Are you cool with hearing that?\Does it not make any difference?\Well, it's like, no, I don't care. And I have no taste for it.\Not to mention money. response:	Suddenly you get defensive? Does it sting that badly?
context: Oh, right.\Do none of you care?\That's what they call otaku fashion, huh?\Are you cool with hearing that?\Does it not make any difference?\Well, it's like, no, I don't care. And I have no taste for it.\Not to mention money.\Suddenly you get defensive? Does it sting that badly? response:	An otaku accepts no challenge he can't win.
context: Do none of you care?\That's what they call otaku fashion, huh?\Are you cool with hearing that?\Does it not make any difference?\Well, it's like, no, I don't care. And I have no taste for it.\Not to mention money.\Suddenly you get defensive? Does it sting that badly?\An otaku accepts no challenge he can't win. response:	About that. Don't you two think it's more indecent to dress stylishly?
context: That's what they call otaku fashion, huh?\Are you cool with hearing that?\Does it not make any difference?\Well, it's like, no, I don't care. And I have no taste for it.\Not to mention money.\Suddenly you get defensive? Does it sting that badly?\An otaku accepts no challenge he can't win.\About that. Don't you two think it's more indecent to dress stylishly? response:	We don't bother.
context: Are you cool with hearing that?\Does it not make any difference?\Well, it's like, no, I don't care. And I have no taste for it.\Not to mention money.\Suddenly you get defensive? Does it sting that badly?\An otaku accepts no challenge he can't win.\About that. Don't you two think it's more indecent to dress stylishly?\We don't bother. response:	We're hardcore otaku!
context: Does it not make any difference?\Well, it's like, no, I don't care. And I have no taste for it.\Not to mention money.\Suddenly you get defensive? Does it sting that badly?\An otaku accepts no challenge he can't win.\About that. Don't you two think it's more indecent to dress stylishly?\We don't bother.\We're hardcore otaku! response:	Like a reverse superiority complex...
context: Well, it's like, no, I don't care. And I have no taste for it.\Not to mention money.\Suddenly you get defensive? Does it sting that badly?\An otaku accepts no challenge he can't win.\About that. Don't you two think it's more indecent to dress stylishly?\We don't bother.\We're hardcore otaku!\Like a reverse superiority complex... response:	Easy for you to say.
context: Not to mention money.\Suddenly you get defensive? Does it sting that badly?\An otaku accepts no challenge he can't win.\About that. Don't you two think it's more indecent to dress stylishly?\We don't bother.\We're hardcore otaku!\Like a reverse superiority complex...\Easy for you to say. response:	Yeah.
context: Suddenly you get defensive? Does it sting that badly?\An otaku accepts no challenge he can't win.\About that. Don't you two think it's more indecent to dress stylishly?\We don't bother.\We're hardcore otaku!\Like a reverse superiority complex...\Easy for you to say.\Yeah. response:	Kohsaka buys both clothes and games, and he manages.
context: An otaku accepts no challenge he can't win.\About that. Don't you two think it's more indecent to dress stylishly?\We don't bother.\We're hardcore otaku!\Like a reverse superiority complex...\Easy for you to say.\Yeah.\Kohsaka buys both clothes and games, and he manages. response:	Kohsaka's...
context: About that. Don't you two think it's more indecent to dress stylishly?\We don't bother.\We're hardcore otaku!\Like a reverse superiority complex...\Easy for you to say.\Yeah.\Kohsaka buys both clothes and games, and he manages.\Kohsaka's... response:	True, he has different substance and taste.
context: We don't bother.\We're hardcore otaku!\Like a reverse superiority complex...\Easy for you to say.\Yeah.\Kohsaka buys both clothes and games, and he manages.\Kohsaka's...\True, he has different substance and taste. response:	But it's okay even if you have bad taste.
context: We're hardcore otaku!\Like a reverse superiority complex...\Easy for you to say.\Yeah.\Kohsaka buys both clothes and games, and he manages.\Kohsaka's...\True, he has different substance and taste.\But it's okay even if you have bad taste. response:	What's bad is giving up and being all defiant.
context: Like a reverse superiority complex...\Easy for you to say.\Yeah.\Kohsaka buys both clothes and games, and he manages.\Kohsaka's...\True, he has different substance and taste.\But it's okay even if you have bad taste.\What's bad is giving up and being all defiant. response:	You say it's outside your specialty and don't even try to show interest.
context: Easy for you to say.\Yeah.\Kohsaka buys both clothes and games, and he manages.\Kohsaka's...\True, he has different substance and taste.\But it's okay even if you have bad taste.\What's bad is giving up and being all defiant.\You say it's outside your specialty and don't even try to show interest. response:	I think that's the biggest problem with otaku.
context: Yeah.\Kohsaka buys both clothes and games, and he manages.\Kohsaka's...\True, he has different substance and taste.\But it's okay even if you have bad taste.\What's bad is giving up and being all defiant.\You say it's outside your specialty and don't even try to show interest.\I think that's the biggest problem with otaku. response:	Huh?
context: Kohsaka buys both clothes and games, and he manages.\Kohsaka's...\True, he has different substance and taste.\But it's okay even if you have bad taste.\What's bad is giving up and being all defiant.\You say it's outside your specialty and don't even try to show interest.\I think that's the biggest problem with otaku.\Huh? response:	S-square!
context: Kohsaka's...\True, he has different substance and taste.\But it's okay even if you have bad taste.\What's bad is giving up and being all defiant.\You say it's outside your specialty and don't even try to show interest.\I think that's the biggest problem with otaku.\Huh?\S-square! response:	Just can't get past that, huh?
context: True, he has different substance and taste.\But it's okay even if you have bad taste.\What's bad is giving up and being all defiant.\You say it's outside your specialty and don't even try to show interest.\I think that's the biggest problem with otaku.\Huh?\S-square!\Just can't get past that, huh? response:	What am I doing in a place like this?
context: But it's okay even if you have bad taste.\What's bad is giving up and being all defiant.\You say it's outside your specialty and don't even try to show interest.\I think that's the biggest problem with otaku.\Huh?\S-square!\Just can't get past that, huh?\What am I doing in a place like this? response:	Well, I wanted a new jacket and pants at least.
