context: Mornin', Hikari! response:	You're up early.
context: The saltflake snow is just a prelude.\Though Akari is solely up to you.\Akari's life is her own.\Oh?\Since long ago from the beginning of time...\Episode Five: Hey, Sea Slug\Chisaki's going to be late?\Yeah, she said she's not feeling well. response:	She didn't look like she was feeling well on the way home yesterday.
context: Though Akari is solely up to you.\Akari's life is her own.\Oh?\Since long ago from the beginning of time...\Episode Five: Hey, Sea Slug\Chisaki's going to be late?\Yeah, she said she's not feeling well.\She didn't look like she was feeling well on the way home yesterday. response:	It's pretty serious.
context: Akari's life is her own.\Oh?\Since long ago from the beginning of time...\Episode Five: Hey, Sea Slug\Chisaki's going to be late?\Yeah, she said she's not feeling well.\She didn't look like she was feeling well on the way home yesterday.\It's pretty serious. response:	Serious?!
context: Oh?\Since long ago from the beginning of time...\Episode Five: Hey, Sea Slug\Chisaki's going to be late?\Yeah, she said she's not feeling well.\She didn't look like she was feeling well on the way home yesterday.\It's pretty serious.\Serious?! response:	Nah, that's not what I meant.
context: Since long ago from the beginning of time...\Episode Five: Hey, Sea Slug\Chisaki's going to be late?\Yeah, she said she's not feeling well.\She didn't look like she was feeling well on the way home yesterday.\It's pretty serious.\Serious?!\Nah, that's not what I meant. response:	If you tell a red-bellied sea slug about feelings you can't tell anyone else,
context: Episode Five: Hey, Sea Slug\Chisaki's going to be late?\Yeah, she said she's not feeling well.\She didn't look like she was feeling well on the way home yesterday.\It's pretty serious.\Serious?!\Nah, that's not what I meant.\If you tell a red-bellied sea slug about feelings you can't tell anyone else, response:	it'll tell you what's going to happen in the future.
context: Chisaki's going to be late?\Yeah, she said she's not feeling well.\She didn't look like she was feeling well on the way home yesterday.\It's pretty serious.\Serious?!\Nah, that's not what I meant.\If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future. response:	Green...
context: Yeah, she said she's not feeling well.\She didn't look like she was feeling well on the way home yesterday.\It's pretty serious.\Serious?!\Nah, that's not what I meant.\If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future.\Green... response:	Manaka's a really good girl...
context: She didn't look like she was feeling well on the way home yesterday.\It's pretty serious.\Serious?!\Nah, that's not what I meant.\If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future.\Green...\Manaka's a really good girl... response:	And compared to that, I'm...
context: It's pretty serious.\Serious?!\Nah, that's not what I meant.\If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future.\Green...\Manaka's a really good girl...\And compared to that, I'm... response:	I need to do something about my feelings for Hikari.
context: Serious?!\Nah, that's not what I meant.\If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future.\Green...\Manaka's a really good girl...\And compared to that, I'm...\I need to do something about my feelings for Hikari. response:	You're late.
context: Nah, that's not what I meant.\If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future.\Green...\Manaka's a really good girl...\And compared to that, I'm...\I need to do something about my feelings for Hikari.\You're late. response:	Well, you're late, too.
context: If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future.\Green...\Manaka's a really good girl...\And compared to that, I'm...\I need to do something about my feelings for Hikari.\You're late.\Well, you're late, too. response:	We had a huge haul this morning.
context: it'll tell you what's going to happen in the future.\Green...\Manaka's a really good girl...\And compared to that, I'm...\I need to do something about my feelings for Hikari.\You're late.\Well, you're late, too.\We had a huge haul this morning. response:	We've been able to get a ridiculous number of golden-eyes lately.
context: Green...\Manaka's a really good girl...\And compared to that, I'm...\I need to do something about my feelings for Hikari.\You're late.\Well, you're late, too.\We had a huge haul this morning.\We've been able to get a ridiculous number of golden-eyes lately. response:	Where's everyone else?
context: Manaka's a really good girl...\And compared to that, I'm...\I need to do something about my feelings for Hikari.\You're late.\Well, you're late, too.\We had a huge haul this morning.\We've been able to get a ridiculous number of golden-eyes lately.\Where's everyone else? response:	I was late, so I had them go ahead without me.
context: And compared to that, I'm...\I need to do something about my feelings for Hikari.\You're late.\Well, you're late, too.\We had a huge haul this morning.\We've been able to get a ridiculous number of golden-eyes lately.\Where's everyone else?\I was late, so I had them go ahead without me. response:	I see.
context: I need to do something about my feelings for Hikari.\You're late.\Well, you're late, too.\We had a huge haul this morning.\We've been able to get a ridiculous number of golden-eyes lately.\Where's everyone else?\I was late, so I had them go ahead without me.\I see. response:	I'm really sorry about yesterday!
context: You're late.\Well, you're late, too.\We had a huge haul this morning.\We've been able to get a ridiculous number of golden-eyes lately.\Where's everyone else?\I was late, so I had them go ahead without me.\I see.\I'm really sorry about yesterday! response:	About what?
context: Well, you're late, too.\We had a huge haul this morning.\We've been able to get a ridiculous number of golden-eyes lately.\Where's everyone else?\I was late, so I had them go ahead without me.\I see.\I'm really sorry about yesterday!\About what? response:	What?
context: We had a huge haul this morning.\We've been able to get a ridiculous number of golden-eyes lately.\Where's everyone else?\I was late, so I had them go ahead without me.\I see.\I'm really sorry about yesterday!\About what?\What? response:	Do you like Hikari?
context: We've been able to get a ridiculous number of golden-eyes lately.\Where's everyone else?\I was late, so I had them go ahead without me.\I see.\I'm really sorry about yesterday!\About what?\What?\Do you like Hikari? response:	Wh-What are you...
context: Where's everyone else?\I was late, so I had them go ahead without me.\I see.\I'm really sorry about yesterday!\About what?\What?\Do you like Hikari?\Wh-What are you... response:	Well, yes, I do...
context: I was late, so I had them go ahead without me.\I see.\I'm really sorry about yesterday!\About what?\What?\Do you like Hikari?\Wh-What are you...\Well, yes, I do... response:	I mean, we're childhood friends, and we've been together forever,
context: I see.\I'm really sorry about yesterday!\About what?\What?\Do you like Hikari?\Wh-What are you...\Well, yes, I do...\I mean, we're childhood friends, and we've been together forever, response:	so he's like family...
context: I'm really sorry about yesterday!\About what?\What?\Do you like Hikari?\Wh-What are you...\Well, yes, I do...\I mean, we're childhood friends, and we've been together forever,\so he's like family... response:	I see.
context: About what?\What?\Do you like Hikari?\Wh-What are you...\Well, yes, I do...\I mean, we're childhood friends, and we've been together forever,\so he's like family...\I see. response:	Will you be a sea slug for me?
context: What?\Do you like Hikari?\Wh-What are you...\Well, yes, I do...\I mean, we're childhood friends, and we've been together forever,\so he's like family...\I see.\Will you be a sea slug for me? response:	Huh?
context: Do you like Hikari?\Wh-What are you...\Well, yes, I do...\I mean, we're childhood friends, and we've been together forever,\so he's like family...\I see.\Will you be a sea slug for me?\Huh? response:	I like him more than just as a childhood friend.
context: Wh-What are you...\Well, yes, I do...\I mean, we're childhood friends, and we've been together forever,\so he's like family...\I see.\Will you be a sea slug for me?\Huh?\I like him more than just as a childhood friend. response:	But if I keep on liking Hikari,
context: Well, yes, I do...\I mean, we're childhood friends, and we've been together forever,\so he's like family...\I see.\Will you be a sea slug for me?\Huh?\I like him more than just as a childhood friend.\But if I keep on liking Hikari, response:	I'm going to keep becoming someone I don't like.
context: I mean, we're childhood friends, and we've been together forever,\so he's like family...\I see.\Will you be a sea slug for me?\Huh?\I like him more than just as a childhood friend.\But if I keep on liking Hikari,\I'm going to keep becoming someone I don't like. response:	I'm not going to be able to forgive mysel
context: so he's like family...\I see.\Will you be a sea slug for me?\Huh?\I like him more than just as a childhood friend.\But if I keep on liking Hikari,\I'm going to keep becoming someone I don't like.\I'm not going to be able to forgive mysel response:	Stop.
context: I see.\Will you be a sea slug for me?\Huh?\I like him more than just as a childhood friend.\But if I keep on liking Hikari,\I'm going to keep becoming someone I don't like.\I'm not going to be able to forgive mysel\Stop. response:	Wait!
context: Will you be a sea slug for me?\Huh?\I like him more than just as a childhood friend.\But if I keep on liking Hikari,\I'm going to keep becoming someone I don't like.\I'm not going to be able to forgive mysel\Stop.\Wait! response:	Manaka!
context: Huh?\I like him more than just as a childhood friend.\But if I keep on liking Hikari,\I'm going to keep becoming someone I don't like.\I'm not going to be able to forgive mysel\Stop.\Wait!\Manaka! response:	I-I'm sorry!
context: I like him more than just as a childhood friend.\But if I keep on liking Hikari,\I'm going to keep becoming someone I don't like.\I'm not going to be able to forgive mysel\Stop.\Wait!\Manaka!\I-I'm sorry! response:	I was worried about you, so I went back and...
context: But if I keep on liking Hikari,\I'm going to keep becoming someone I don't like.\I'm not going to be able to forgive mysel\Stop.\Wait!\Manaka!\I-I'm sorry!\I was worried about you, so I went back and... response:	I didn't hear anything, okay?
context: I'm going to keep becoming someone I don't like.\I'm not going to be able to forgive mysel\Stop.\Wait!\Manaka!\I-I'm sorry!\I was worried about you, so I went back and...\I didn't hear anything, okay? response:	Like about me liking Hii-kun?
context: I'm not going to be able to forgive mysel\Stop.\Wait!\Manaka!\I-I'm sorry!\I was worried about you, so I went back and...\I didn't hear anything, okay?\Like about me liking Hii-kun? response:	Right. Like about you liking Hii-kun.
context: Stop.\Wait!\Manaka!\I-I'm sorry!\I was worried about you, so I went back and...\I didn't hear anything, okay?\Like about me liking Hii-kun?\Right. Like about you liking Hii-kun. response:	Please forget about that, Manaka.
context: Wait!\Manaka!\I-I'm sorry!\I was worried about you, so I went back and...\I didn't hear anything, okay?\Like about me liking Hii-kun?\Right. Like about you liking Hii-kun.\Please forget about that, Manaka. response:	Huh?
context: Manaka!\I-I'm sorry!\I was worried about you, so I went back and...\I didn't hear anything, okay?\Like about me liking Hii-kun?\Right. Like about you liking Hii-kun.\Please forget about that, Manaka.\Huh? response:	Please, just forget about that. Okay?
context: I-I'm sorry!\I was worried about you, so I went back and...\I didn't hear anything, okay?\Like about me liking Hii-kun?\Right. Like about you liking Hii-kun.\Please forget about that, Manaka.\Huh?\Please, just forget about that. Okay? response:	But...
context: I was worried about you, so I went back and...\I didn't hear anything, okay?\Like about me liking Hii-kun?\Right. Like about you liking Hii-kun.\Please forget about that, Manaka.\Huh?\Please, just forget about that. Okay?\But... response:	Please!
context: I didn't hear anything, okay?\Like about me liking Hii-kun?\Right. Like about you liking Hii-kun.\Please forget about that, Manaka.\Huh?\Please, just forget about that. Okay?\But...\Please! response:	O-Okay...
context: Like about me liking Hii-kun?\Right. Like about you liking Hii-kun.\Please forget about that, Manaka.\Huh?\Please, just forget about that. Okay?\But...\Please!\O-Okay... response:	Got it...
context: Right. Like about you liking Hii-kun.\Please forget about that, Manaka.\Huh?\Please, just forget about that. Okay?\But...\Please!\O-Okay...\Got it... response:	Hey, don't try to touch me anywhere funny.
context: Please forget about that, Manaka.\Huh?\Please, just forget about that. Okay?\But...\Please!\O-Okay...\Got it...\Hey, don't try to touch me anywhere funny. response:	I'm not!
context: Huh?\Please, just forget about that. Okay?\But...\Please!\O-Okay...\Got it...\Hey, don't try to touch me anywhere funny.\I'm not! response:	Come on, take this more seriously.
context: Please, just forget about that. Okay?\But...\Please!\O-Okay...\Got it...\Hey, don't try to touch me anywhere funny.\I'm not!\Come on, take this more seriously. response:	Don't blame me if you mess up during the sports festival!
context: But...\Please!\O-Okay...\Got it...\Hey, don't try to touch me anywhere funny.\I'm not!\Come on, take this more seriously.\Don't blame me if you mess up during the sports festival! response:	Wh-What?
context: Please!\O-Okay...\Got it...\Hey, don't try to touch me anywhere funny.\I'm not!\Come on, take this more seriously.\Don't blame me if you mess up during the sports festival!\Wh-What? response:	You smell sweaty, Hikari.
context: O-Okay...\Got it...\Hey, don't try to touch me anywhere funny.\I'm not!\Come on, take this more seriously.\Don't blame me if you mess up during the sports festival!\Wh-What?\You smell sweaty, Hikari. response:	I don't want to get close to you.
context: Got it...\Hey, don't try to touch me anywhere funny.\I'm not!\Come on, take this more seriously.\Don't blame me if you mess up during the sports festival!\Wh-What?\You smell sweaty, Hikari.\I don't want to get close to you. response:	I don't want to get close to you either.
context: Hey, don't try to touch me anywhere funny.\I'm not!\Come on, take this more seriously.\Don't blame me if you mess up during the sports festival!\Wh-What?\You smell sweaty, Hikari.\I don't want to get close to you.\I don't want to get close to you either. response:	Ow!
context: I'm not!\Come on, take this more seriously.\Don't blame me if you mess up during the sports festival!\Wh-What?\You smell sweaty, Hikari.\I don't want to get close to you.\I don't want to get close to you either.\Ow! response:	Hey, sea girl, you're stepping on me!
context: Come on, take this more seriously.\Don't blame me if you mess up during the sports festival!\Wh-What?\You smell sweaty, Hikari.\I don't want to get close to you.\I don't want to get close to you either.\Ow!\Hey, sea girl, you're stepping on me! response:	Chii-chan...
context: Don't blame me if you mess up during the sports festival!\Wh-What?\You smell sweaty, Hikari.\I don't want to get close to you.\I don't want to get close to you either.\Ow!\Hey, sea girl, you're stepping on me!\Chii-chan... response:	I said that hurts!
context: Wh-What?\You smell sweaty, Hikari.\I don't want to get close to you.\I don't want to get close to you either.\Ow!\Hey, sea girl, you're stepping on me!\Chii-chan...\I said that hurts! response:	Saya Mart
context: You smell sweaty, Hikari.\I don't want to get close to you.\I don't want to get close to you either.\Ow!\Hey, sea girl, you're stepping on me!\Chii-chan...\I said that hurts!\Saya Mart response:	Akari.
context: I don't want to get close to you.\I don't want to get close to you either.\Ow!\Hey, sea girl, you're stepping on me!\Chii-chan...\I said that hurts!\Saya Mart\Akari. response:	I'd like you to hear me out.
context: I don't want to get close to you either.\Ow!\Hey, sea girl, you're stepping on me!\Chii-chan...\I said that hurts!\Saya Mart\Akari.\I'd like you to hear me out. response:	Triangle
context: Ow!\Hey, sea girl, you're stepping on me!\Chii-chan...\I said that hurts!\Saya Mart\Akari.\I'd like you to hear me out.\Triangle response:	I think it's better if we break up.
context: Hey, sea girl, you're stepping on me!\Chii-chan...\I said that hurts!\Saya Mart\Akari.\I'd like you to hear me out.\Triangle\I think it's better if we break up. response:	I don't want to hurt Miuna-chan anymore.
context: Chii-chan...\I said that hurts!\Saya Mart\Akari.\I'd like you to hear me out.\Triangle\I think it's better if we break up.\I don't want to hurt Miuna-chan anymore. response:	You came to say that as well, right, Itaru-san?
context: I said that hurts!\Saya Mart\Akari.\I'd like you to hear me out.\Triangle\I think it's better if we break up.\I don't want to hurt Miuna-chan anymore.\You came to say that as well, right, Itaru-san? response:	That's...
context: Saya Mart\Akari.\I'd like you to hear me out.\Triangle\I think it's better if we break up.\I don't want to hurt Miuna-chan anymore.\You came to say that as well, right, Itaru-san?\That's... response:	I've been wrong all this time ever since Miori-san died.
context: Akari.\I'd like you to hear me out.\Triangle\I think it's better if we break up.\I don't want to hurt Miuna-chan anymore.\You came to say that as well, right, Itaru-san?\That's...\I've been wrong all this time ever since Miori-san died. response:	Always Smiling Saya Mart
context: I'd like you to hear me out.\Triangle\I think it's better if we break up.\I don't want to hurt Miuna-chan anymore.\You came to say that as well, right, Itaru-san?\That's...\I've been wrong all this time ever since Miori-san died.\Always Smiling Saya Mart response:	All this time...
context: Triangle\I think it's better if we break up.\I don't want to hurt Miuna-chan anymore.\You came to say that as well, right, Itaru-san?\That's...\I've been wrong all this time ever since Miori-san died.\Always Smiling Saya Mart\All this time... response:	Aka-chan!
context: I think it's better if we break up.\I don't want to hurt Miuna-chan anymore.\You came to say that as well, right, Itaru-san?\That's...\I've been wrong all this time ever since Miori-san died.\Always Smiling Saya Mart\All this time...\Aka-chan! response:	Miuna, you're heavy.
context: I don't want to hurt Miuna-chan anymore.\You came to say that as well, right, Itaru-san?\That's...\I've been wrong all this time ever since Miori-san died.\Always Smiling Saya Mart\All this time...\Aka-chan!\Miuna, you're heavy. response:	Hey, what's for dinner tonight?
context: You came to say that as well, right, Itaru-san?\That's...\I've been wrong all this time ever since Miori-san died.\Always Smiling Saya Mart\All this time...\Aka-chan!\Miuna, you're heavy.\Hey, what's for dinner tonight? response:	Hey, Miuna.
context: That's...\I've been wrong all this time ever since Miori-san died.\Always Smiling Saya Mart\All this time...\Aka-chan!\Miuna, you're heavy.\Hey, what's for dinner tonight?\Hey, Miuna. response:	Thanks for coming by all the time, Akari-chan.
context: I've been wrong all this time ever since Miori-san died.\Always Smiling Saya Mart\All this time...\Aka-chan!\Miuna, you're heavy.\Hey, what's for dinner tonight?\Hey, Miuna.\Thanks for coming by all the time, Akari-chan. response:	You don't have to trouble yourself though.
context: Always Smiling Saya Mart\All this time...\Aka-chan!\Miuna, you're heavy.\Hey, what's for dinner tonight?\Hey, Miuna.\Thanks for coming by all the time, Akari-chan.\You don't have to trouble yourself though. response:	It's fine.
context: All this time...\Aka-chan!\Miuna, you're heavy.\Hey, what's for dinner tonight?\Hey, Miuna.\Thanks for coming by all the time, Akari-chan.\You don't have to trouble yourself though.\It's fine. response:	Seeing Miuna-chan brings me happiness.
context: Aka-chan!\Miuna, you're heavy.\Hey, what's for dinner tonight?\Hey, Miuna.\Thanks for coming by all the time, Akari-chan.\You don't have to trouble yourself though.\It's fine.\Seeing Miuna-chan brings me happiness. response:	Happiness'll be a hundred yen!
context: Miuna, you're heavy.\Hey, what's for dinner tonight?\Hey, Miuna.\Thanks for coming by all the time, Akari-chan.\You don't have to trouble yourself though.\It's fine.\Seeing Miuna-chan brings me happiness.\Happiness'll be a hundred yen! response:	What? You're charging me money?
context: Hey, what's for dinner tonight?\Hey, Miuna.\Thanks for coming by all the time, Akari-chan.\You don't have to trouble yourself though.\It's fine.\Seeing Miuna-chan brings me happiness.\Happiness'll be a hundred yen!\What? You're charging me money? response:	It wasn't a lie.
context: Hey, Miuna.\Thanks for coming by all the time, Akari-chan.\You don't have to trouble yourself though.\It's fine.\Seeing Miuna-chan brings me happiness.\Happiness'll be a hundred yen!\What? You're charging me money?\It wasn't a lie. response:	Miuna-chan is very precious to me...
context: Thanks for coming by all the time, Akari-chan.\You don't have to trouble yourself though.\It's fine.\Seeing Miuna-chan brings me happiness.\Happiness'll be a hundred yen!\What? You're charging me money?\It wasn't a lie.\Miuna-chan is very precious to me... response:	I wish things could have stayed that way.
context: You don't have to trouble yourself though.\It's fine.\Seeing Miuna-chan brings me happiness.\Happiness'll be a hundred yen!\What? You're charging me money?\It wasn't a lie.\Miuna-chan is very precious to me...\I wish things could have stayed that way. response:	I wonder if it'll be okay if we tell her about us.
context: It's fine.\Seeing Miuna-chan brings me happiness.\Happiness'll be a hundred yen!\What? You're charging me money?\It wasn't a lie.\Miuna-chan is very precious to me...\I wish things could have stayed that way.\I wonder if it'll be okay if we tell her about us. response:	It'll be fine!
context: Seeing Miuna-chan brings me happiness.\Happiness'll be a hundred yen!\What? You're charging me money?\It wasn't a lie.\Miuna-chan is very precious to me...\I wish things could have stayed that way.\I wonder if it'll be okay if we tell her about us.\It'll be fine! response:	Miuna loves you, Akari-chan.
context: Happiness'll be a hundred yen!\What? You're charging me money?\It wasn't a lie.\Miuna-chan is very precious to me...\I wish things could have stayed that way.\I wonder if it'll be okay if we tell her about us.\It'll be fine!\Miuna loves you, Akari-chan. response:	And of course, I do, too.
context: What? You're charging me money?\It wasn't a lie.\Miuna-chan is very precious to me...\I wish things could have stayed that way.\I wonder if it'll be okay if we tell her about us.\It'll be fine!\Miuna loves you, Akari-chan.\And of course, I do, too. response:	Uh, well...
context: It wasn't a lie.\Miuna-chan is very precious to me...\I wish things could have stayed that way.\I wonder if it'll be okay if we tell her about us.\It'll be fine!\Miuna loves you, Akari-chan.\And of course, I do, too.\Uh, well... response:	But it was a mistake...
context: Miuna-chan is very precious to me...\I wish things could have stayed that way.\I wonder if it'll be okay if we tell her about us.\It'll be fine!\Miuna loves you, Akari-chan.\And of course, I do, too.\Uh, well...\But it was a mistake... response:	Miuna!
context: I wish things could have stayed that way.\I wonder if it'll be okay if we tell her about us.\It'll be fine!\Miuna loves you, Akari-chan.\And of course, I do, too.\Uh, well...\But it was a mistake...\Miuna! response:	A mistake...
context: I wonder if it'll be okay if we tell her about us.\It'll be fine!\Miuna loves you, Akari-chan.\And of course, I do, too.\Uh, well...\But it was a mistake...\Miuna!\A mistake... response:	Please don't say something so sad...
context: It'll be fine!\Miuna loves you, Akari-chan.\And of course, I do, too.\Uh, well...\But it was a mistake...\Miuna!\A mistake...\Please don't say something so sad... response:	I didn't come to break up with you.
context: Miuna loves you, Akari-chan.\And of course, I do, too.\Uh, well...\But it was a mistake...\Miuna!\A mistake...\Please don't say something so sad...\I didn't come to break up with you. response:	I just think we acted too fast...
context: And of course, I do, too.\Uh, well...\But it was a mistake...\Miuna!\A mistake...\Please don't say something so sad...\I didn't come to break up with you.\I just think we acted too fast... response:	Miuna likes you, too, so if we just take our time
context: Uh, well...\But it was a mistake...\Miuna!\A mistake...\Please don't say something so sad...\I didn't come to break up with you.\I just think we acted too fast...\Miuna likes you, too, so if we just take our time response:	No...
context: But it was a mistake...\Miuna!\A mistake...\Please don't say something so sad...\I didn't come to break up with you.\I just think we acted too fast...\Miuna likes you, too, so if we just take our time\No... response:	There's no need for time.
context: Miuna!\A mistake...\Please don't say something so sad...\I didn't come to break up with you.\I just think we acted too fast...\Miuna likes you, too, so if we just take our time\No...\There's no need for time. response:	You've known what needs to be done for a while, right?
context: A mistake...\Please don't say something so sad...\I didn't come to break up with you.\I just think we acted too fast...\Miuna likes you, too, so if we just take our time\No...\There's no need for time.\You've known what needs to be done for a while, right? response:	Miuna-chan.
context: Please don't say something so sad...\I didn't come to break up with you.\I just think we acted too fast...\Miuna likes you, too, so if we just take our time\No...\There's no need for time.\You've known what needs to be done for a while, right?\Miuna-chan. response:	Wait.
context: I didn't come to break up with you.\I just think we acted too fast...\Miuna likes you, too, so if we just take our time\No...\There's no need for time.\You've known what needs to be done for a while, right?\Miuna-chan.\Wait. response:	It's okay.
context: I just think we acted too fast...\Miuna likes you, too, so if we just take our time\No...\There's no need for time.\You've known what needs to be done for a while, right?\Miuna-chan.\Wait.\It's okay. response:	I'll go away somewhere.
context: Miuna likes you, too, so if we just take our time\No...\There's no need for time.\You've known what needs to be done for a while, right?\Miuna-chan.\Wait.\It's okay.\I'll go away somewhere. response:	So you don't need to worry anymore.
context: No...\There's no need for time.\You've known what needs to be done for a while, right?\Miuna-chan.\Wait.\It's okay.\I'll go away somewhere.\So you don't need to worry anymore. response:	I'm sorry for putting you through so much pain.
context: There's no need for time.\You've known what needs to be done for a while, right?\Miuna-chan.\Wait.\It's okay.\I'll go away somewhere.\So you don't need to worry anymore.\I'm sorry for putting you through so much pain. response:	Go Aw
context: You've known what needs to be done for a while, right?\Miuna-chan.\Wait.\It's okay.\I'll go away somewhere.\So you don't need to worry anymore.\I'm sorry for putting you through so much pain.\Go Aw response:	Yeah, yeah, yeah.
context: Miuna-chan.\Wait.\It's okay.\I'll go away somewhere.\So you don't need to worry anymore.\I'm sorry for putting you through so much pain.\Go Aw\Yeah, yeah, yeah. response:	This is Sakishima...
context: Wait.\It's okay.\I'll go away somewhere.\So you don't need to worry anymore.\I'm sorry for putting you through so much pain.\Go Aw\Yeah, yeah, yeah.\This is Sakishima... response:	Can you ask Uroko-sama if there was a small girl that fell into the ocean?!
context: It's okay.\I'll go away somewhere.\So you don't need to worry anymore.\I'm sorry for putting you through so much pain.\Go Aw\Yeah, yeah, yeah.\This is Sakishima...\Can you ask Uroko-sama if there was a small girl that fell into the ocean?! response:	Huh? Akari?
context: I'll go away somewhere.\So you don't need to worry anymore.\I'm sorry for putting you through so much pain.\Go Aw\Yeah, yeah, yeah.\This is Sakishima...\Can you ask Uroko-sama if there was a small girl that fell into the ocean?!\Huh? Akari? response:	What are yo
