context: What's the point of a building this big? response:	Eastern Federation Elkia Embassy
context: Fake End\Hey, Jibril.\Yes?\Do you know what this is?\Some sort of image display device...\But the Warbeasts don't use magic.\M-My interest is piqued!\Th-The floor is moving! response:	Sora-dono, I would appreciate it if you would follow
context: Hey, Jibril.\Yes?\Do you know what this is?\Some sort of image display device...\But the Warbeasts don't use magic.\M-My interest is piqued!\Th-The floor is moving!\Sora-dono, I would appreciate it if you would follow response:	the proper procedures to make an appointment next time.
context: Yes?\Do you know what this is?\Some sort of image display device...\But the Warbeasts don't use magic.\M-My interest is piqued!\Th-The floor is moving!\Sora-dono, I would appreciate it if you would follow\the proper procedures to make an appointment next time. response:	Following that incident, there are a number of Warbeasts
context: Do you know what this is?\Some sort of image display device...\But the Warbeasts don't use magic.\M-My interest is piqued!\Th-The floor is moving!\Sora-dono, I would appreciate it if you would follow\the proper procedures to make an appointment next time.\Following that incident, there are a number of Warbeasts response:	harboring extreme animosity towards Elkia.
context: Some sort of image display device...\But the Warbeasts don't use magic.\M-My interest is piqued!\Th-The floor is moving!\Sora-dono, I would appreciate it if you would follow\the proper procedures to make an appointment next time.\Following that incident, there are a number of Warbeasts\harboring extreme animosity towards Elkia. response:	I was unable to inform them before your arrival,
context: But the Warbeasts don't use magic.\M-My interest is piqued!\Th-The floor is moving!\Sora-dono, I would appreciate it if you would follow\the proper procedures to make an appointment next time.\Following that incident, there are a number of Warbeasts\harboring extreme animosity towards Elkia.\I was unable to inform them before your arrival, response:	so some may be very rude to you.
context: M-My interest is piqued!\Th-The floor is moving!\Sora-dono, I would appreciate it if you would follow\the proper procedures to make an appointment next time.\Following that incident, there are a number of Warbeasts\harboring extreme animosity towards Elkia.\I was unable to inform them before your arrival,\so some may be very rude to you. response:	Even a talking dog that walks upright is still a dog, I see.
context: Th-The floor is moving!\Sora-dono, I would appreciate it if you would follow\the proper procedures to make an appointment next time.\Following that incident, there are a number of Warbeasts\harboring extreme animosity towards Elkia.\I was unable to inform them before your arrival,\so some may be very rude to you.\Even a talking dog that walks upright is still a dog, I see. response:	Steph, what incident is he talking about?
context: Sora-dono, I would appreciate it if you would follow\the proper procedures to make an appointment next time.\Following that incident, there are a number of Warbeasts\harboring extreme animosity towards Elkia.\I was unable to inform them before your arrival,\so some may be very rude to you.\Even a talking dog that walks upright is still a dog, I see.\Steph, what incident is he talking about? response:	The construction wars...
context: the proper procedures to make an appointment next time.\Following that incident, there are a number of Warbeasts\harboring extreme animosity towards Elkia.\I was unable to inform them before your arrival,\so some may be very rude to you.\Even a talking dog that walks upright is still a dog, I see.\Steph, what incident is he talking about?\The construction wars... response:	Having a foreign embassy bigger than our palace was bad for our image,
context: Following that incident, there are a number of Warbeasts\harboring extreme animosity towards Elkia.\I was unable to inform them before your arrival,\so some may be very rude to you.\Even a talking dog that walks upright is still a dog, I see.\Steph, what incident is he talking about?\The construction wars...\Having a foreign embassy bigger than our palace was bad for our image, response:	so we built a new one.
context: harboring extreme animosity towards Elkia.\I was unable to inform them before your arrival,\so some may be very rude to you.\Even a talking dog that walks upright is still a dog, I see.\Steph, what incident is he talking about?\The construction wars...\Having a foreign embassy bigger than our palace was bad for our image,\so we built a new one. response:	Oh, you mean the palace we live in.
context: I was unable to inform them before your arrival,\so some may be very rude to you.\Even a talking dog that walks upright is still a dog, I see.\Steph, what incident is he talking about?\The construction wars...\Having a foreign embassy bigger than our palace was bad for our image,\so we built a new one.\Oh, you mean the palace we live in. response:	After that, the Eastern Federation started to build
context: so some may be very rude to you.\Even a talking dog that walks upright is still a dog, I see.\Steph, what incident is he talking about?\The construction wars...\Having a foreign embassy bigger than our palace was bad for our image,\so we built a new one.\Oh, you mean the palace we live in.\After that, the Eastern Federation started to build response:	their embassy bigger, as if to spite us.
context: Even a talking dog that walks upright is still a dog, I see.\Steph, what incident is he talking about?\The construction wars...\Having a foreign embassy bigger than our palace was bad for our image,\so we built a new one.\Oh, you mean the palace we live in.\After that, the Eastern Federation started to build\their embassy bigger, as if to spite us. response:	Elkia lags behind the Eastern Federation in construction technology...
context: Steph, what incident is he talking about?\The construction wars...\Having a foreign embassy bigger than our palace was bad for our image,\so we built a new one.\Oh, you mean the palace we live in.\After that, the Eastern Federation started to build\their embassy bigger, as if to spite us.\Elkia lags behind the Eastern Federation in construction technology... response:	Even without that,
context: The construction wars...\Having a foreign embassy bigger than our palace was bad for our image,\so we built a new one.\Oh, you mean the palace we live in.\After that, the Eastern Federation started to build\their embassy bigger, as if to spite us.\Elkia lags behind the Eastern Federation in construction technology...\Even without that, response:	the idea of the 14th ranked Warbeasts looking
context: Having a foreign embassy bigger than our palace was bad for our image,\so we built a new one.\Oh, you mean the palace we live in.\After that, the Eastern Federation started to build\their embassy bigger, as if to spite us.\Elkia lags behind the Eastern Federation in construction technology...\Even without that,\the idea of the 14th ranked Warbeasts looking response:	down on the lowest ranked Imanity is like...
context: so we built a new one.\Oh, you mean the palace we live in.\After that, the Eastern Federation started to build\their embassy bigger, as if to spite us.\Elkia lags behind the Eastern Federation in construction technology...\Even without that,\the idea of the 14th ranked Warbeasts looking\down on the lowest ranked Imanity is like... response:	Oh, I've got the perfect phrase.
context: Oh, you mean the palace we live in.\After that, the Eastern Federation started to build\their embassy bigger, as if to spite us.\Elkia lags behind the Eastern Federation in construction technology...\Even without that,\the idea of the 14th ranked Warbeasts looking\down on the lowest ranked Imanity is like...\Oh, I've got the perfect phrase. response:	A pot calling a kettle black.
context: After that, the Eastern Federation started to build\their embassy bigger, as if to spite us.\Elkia lags behind the Eastern Federation in construction technology...\Even without that,\the idea of the 14th ranked Warbeasts looking\down on the lowest ranked Imanity is like...\Oh, I've got the perfect phrase.\A pot calling a kettle black. response:	Very well said.
context: their embassy bigger, as if to spite us.\Elkia lags behind the Eastern Federation in construction technology...\Even without that,\the idea of the 14th ranked Warbeasts looking\down on the lowest ranked Imanity is like...\Oh, I've got the perfect phrase.\A pot calling a kettle black.\Very well said. response:	And quite harsh coming from a rank six.
context: Elkia lags behind the Eastern Federation in construction technology...\Even without that,\the idea of the 14th ranked Warbeasts looking\down on the lowest ranked Imanity is like...\Oh, I've got the perfect phrase.\A pot calling a kettle black.\Very well said.\And quite harsh coming from a rank six. response:	So what does that make you,
context: Even without that,\the idea of the 14th ranked Warbeasts looking\down on the lowest ranked Imanity is like...\Oh, I've got the perfect phrase.\A pot calling a kettle black.\Very well said.\And quite harsh coming from a rank six.\So what does that make you, response:	as a defective weapon working with the hairless monkeys?
context: the idea of the 14th ranked Warbeasts looking\down on the lowest ranked Imanity is like...\Oh, I've got the perfect phrase.\A pot calling a kettle black.\Very well said.\And quite harsh coming from a rank six.\So what does that make you,\as a defective weapon working with the hairless monkeys? response:	This world is pretty hostile, isn't it?
context: down on the lowest ranked Imanity is like...\Oh, I've got the perfect phrase.\A pot calling a kettle black.\Very well said.\And quite harsh coming from a rank six.\So what does that make you,\as a defective weapon working with the hairless monkeys?\This world is pretty hostile, isn't it? response:	It's nice to see you children so lively now that violence is forbidden.
context: Oh, I've got the perfect phrase.\A pot calling a kettle black.\Very well said.\And quite harsh coming from a rank six.\So what does that make you,\as a defective weapon working with the hairless monkeys?\This world is pretty hostile, isn't it?\It's nice to see you children so lively now that violence is forbidden. response:	After that war dragged on forever,
context: A pot calling a kettle black.\Very well said.\And quite harsh coming from a rank six.\So what does that make you,\as a defective weapon working with the hairless monkeys?\This world is pretty hostile, isn't it?\It's nice to see you children so lively now that violence is forbidden.\After that war dragged on forever, response:	Unlike you antiques who retired since you were only good for killing things.
context: Very well said.\And quite harsh coming from a rank six.\So what does that make you,\as a defective weapon working with the hairless monkeys?\This world is pretty hostile, isn't it?\It's nice to see you children so lively now that violence is forbidden.\After that war dragged on forever,\Unlike you antiques who retired since you were only good for killing things. response:	the ten pledges suddenly came along and forbid violence.
context: And quite harsh coming from a rank six.\So what does that make you,\as a defective weapon working with the hairless monkeys?\This world is pretty hostile, isn't it?\It's nice to see you children so lively now that violence is forbidden.\After that war dragged on forever,\Unlike you antiques who retired since you were only good for killing things.\the ten pledges suddenly came along and forbid violence. response:	Of course some grudges remain.
context: So what does that make you,\as a defective weapon working with the hairless monkeys?\This world is pretty hostile, isn't it?\It's nice to see you children so lively now that violence is forbidden.\After that war dragged on forever,\Unlike you antiques who retired since you were only good for killing things.\the ten pledges suddenly came along and forbid violence.\Of course some grudges remain. response:	How embarrassing.
context: as a defective weapon working with the hairless monkeys?\This world is pretty hostile, isn't it?\It's nice to see you children so lively now that violence is forbidden.\After that war dragged on forever,\Unlike you antiques who retired since you were only good for killing things.\the ten pledges suddenly came along and forbid violence.\Of course some grudges remain.\How embarrassing. response:	Please wait here.
context: This world is pretty hostile, isn't it?\It's nice to see you children so lively now that violence is forbidden.\After that war dragged on forever,\Unlike you antiques who retired since you were only good for killing things.\the ten pledges suddenly came along and forbid violence.\Of course some grudges remain.\How embarrassing.\Please wait here. response:	You can really see the difference in the sophistication of our cultures!
context: It's nice to see you children so lively now that violence is forbidden.\After that war dragged on forever,\Unlike you antiques who retired since you were only good for killing things.\the ten pledges suddenly came along and forbid violence.\Of course some grudges remain.\How embarrassing.\Please wait here.\You can really see the difference in the sophistication of our cultures! response:	By the way, Master,
context: After that war dragged on forever,\Unlike you antiques who retired since you were only good for killing things.\the ten pledges suddenly came along and forbid violence.\Of course some grudges remain.\How embarrassing.\Please wait here.\You can really see the difference in the sophistication of our cultures!\By the way, Master, response:	how'd you make contact with the Warbeasts?
context: Unlike you antiques who retired since you were only good for killing things.\the ten pledges suddenly came along and forbid violence.\Of course some grudges remain.\How embarrassing.\Please wait here.\You can really see the difference in the sophistication of our cultures!\By the way, Master,\how'd you make contact with the Warbeasts? response:	Nobody's talking about it. Take the hint.
context: the ten pledges suddenly came along and forbid violence.\Of course some grudges remain.\How embarrassing.\Please wait here.\You can really see the difference in the sophistication of our cultures!\By the way, Master,\how'd you make contact with the Warbeasts?\Nobody's talking about it. Take the hint. response:	I'm sorry.
context: Of course some grudges remain.\How embarrassing.\Please wait here.\You can really see the difference in the sophistication of our cultures!\By the way, Master,\how'd you make contact with the Warbeasts?\Nobody's talking about it. Take the hint.\I'm sorry. response:	Unlike those beasts who can read minds...
context: How embarrassing.\Please wait here.\You can really see the difference in the sophistication of our cultures!\By the way, Master,\how'd you make contact with the Warbeasts?\Nobody's talking about it. Take the hint.\I'm sorry.\Unlike those beasts who can read minds... response:	I want to know!
context: Please wait here.\You can really see the difference in the sophistication of our cultures!\By the way, Master,\how'd you make contact with the Warbeasts?\Nobody's talking about it. Take the hint.\I'm sorry.\Unlike those beasts who can read minds...\I want to know! response:	Oh?
context: You can really see the difference in the sophistication of our cultures!\By the way, Master,\how'd you make contact with the Warbeasts?\Nobody's talking about it. Take the hint.\I'm sorry.\Unlike those beasts who can read minds...\I want to know!\Oh? response:	You didn't see him at all, but you guessed that he saw you,
context: By the way, Master,\how'd you make contact with the Warbeasts?\Nobody's talking about it. Take the hint.\I'm sorry.\Unlike those beasts who can read minds...\I want to know!\Oh?\You didn't see him at all, but you guessed that he saw you, response:	and so you gestured. Which means...
context: how'd you make contact with the Warbeasts?\Nobody's talking about it. Take the hint.\I'm sorry.\Unlike those beasts who can read minds...\I want to know!\Oh?\You didn't see him at all, but you guessed that he saw you,\and so you gestured. Which means... response:	You bluffed someone who can read minds?
context: Nobody's talking about it. Take the hint.\I'm sorry.\Unlike those beasts who can read minds...\I want to know!\Oh?\You didn't see him at all, but you guessed that he saw you,\and so you gestured. Which means...\You bluffed someone who can read minds? response:	I apologize for the wait.
context: I'm sorry.\Unlike those beasts who can read minds...\I want to know!\Oh?\You didn't see him at all, but you guessed that he saw you,\and so you gestured. Which means...\You bluffed someone who can read minds?\I apologize for the wait. response:	This is the Eastern Federation's ambassador to Elkia,
context: Unlike those beasts who can read minds...\I want to know!\Oh?\You didn't see him at all, but you guessed that he saw you,\and so you gestured. Which means...\You bluffed someone who can read minds?\I apologize for the wait.\This is the Eastern Federation's ambassador to Elkia, response:	Izuna Hatsuse!
context: I want to know!\Oh?\You didn't see him at all, but you guessed that he saw you,\and so you gestured. Which means...\You bluffed someone who can read minds?\I apologize for the wait.\This is the Eastern Federation's ambassador to Elkia,\Izuna Hatsuse! response:	King Crimson!
context: Oh?\You didn't see him at all, but you guessed that he saw you,\and so you gestured. Which means...\You bluffed someone who can read minds?\I apologize for the wait.\This is the Eastern Federation's ambassador to Elkia,\Izuna Hatsuse!\King Crimson! response:	Hey, pretty little girl with the animal ears!
context: You didn't see him at all, but you guessed that he saw you,\and so you gestured. Which means...\You bluffed someone who can read minds?\I apologize for the wait.\This is the Eastern Federation's ambassador to Elkia,\Izuna Hatsuse!\King Crimson!\Hey, pretty little girl with the animal ears! response:	Why don't you come play with me?
context: and so you gestured. Which means...\You bluffed someone who can read minds?\I apologize for the wait.\This is the Eastern Federation's ambassador to Elkia,\Izuna Hatsuse!\King Crimson!\Hey, pretty little girl with the animal ears!\Why don't you come play with me? response:	Don't worry, I'm just a pervert.
context: You bluffed someone who can read minds?\I apologize for the wait.\This is the Eastern Federation's ambassador to Elkia,\Izuna Hatsuse!\King Crimson!\Hey, pretty little girl with the animal ears!\Why don't you come play with me?\Don't worry, I'm just a pervert. response:	Why the hell are you touching me, asshole? Please.
context: I apologize for the wait.\This is the Eastern Federation's ambassador to Elkia,\Izuna Hatsuse!\King Crimson!\Hey, pretty little girl with the animal ears!\Why don't you come play with me?\Don't worry, I'm just a pervert.\Why the hell are you touching me, asshole? Please. response:	-50 cuteness points...
context: This is the Eastern Federation's ambassador to Elkia,\Izuna Hatsuse!\King Crimson!\Hey, pretty little girl with the animal ears!\Why don't you come play with me?\Don't worry, I'm just a pervert.\Why the hell are you touching me, asshole? Please.\-50 cuteness points... response:	Why the hell did you stop? Please.
context: Izuna Hatsuse!\King Crimson!\Hey, pretty little girl with the animal ears!\Why don't you come play with me?\Don't worry, I'm just a pervert.\Why the hell are you touching me, asshole? Please.\-50 cuteness points...\Why the hell did you stop? Please. response:	I was just surprised because you assholes
context: King Crimson!\Hey, pretty little girl with the animal ears!\Why don't you come play with me?\Don't worry, I'm just a pervert.\Why the hell are you touching me, asshole? Please.\-50 cuteness points...\Why the hell did you stop? Please.\I was just surprised because you assholes response:	touched me out of nowhere. Please.
context: Hey, pretty little girl with the animal ears!\Why don't you come play with me?\Don't worry, I'm just a pervert.\Why the hell are you touching me, asshole? Please.\-50 cuteness points...\Why the hell did you stop? Please.\I was just surprised because you assholes\touched me out of nowhere. Please. response:	Get back to it already. Please.
context: Why don't you come play with me?\Don't worry, I'm just a pervert.\Why the hell are you touching me, asshole? Please.\-50 cuteness points...\Why the hell did you stop? Please.\I was just surprised because you assholes\touched me out of nowhere. Please.\Get back to it already. Please. response:	Um... adding please to the end
context: Don't worry, I'm just a pervert.\Why the hell are you touching me, asshole? Please.\-50 cuteness points...\Why the hell did you stop? Please.\I was just surprised because you assholes\touched me out of nowhere. Please.\Get back to it already. Please.\Um... adding please to the end response:	of every sentence doesn't make it polite. Please.
context: Why the hell are you touching me, asshole? Please.\-50 cuteness points...\Why the hell did you stop? Please.\I was just surprised because you assholes\touched me out of nowhere. Please.\Get back to it already. Please.\Um... adding please to the end\of every sentence doesn't make it polite. Please. response:	It doesn't? Please.
context: -50 cuteness points...\Why the hell did you stop? Please.\I was just surprised because you assholes\touched me out of nowhere. Please.\Get back to it already. Please.\Um... adding please to the end\of every sentence doesn't make it polite. Please.\It doesn't? Please. response:	Please don't be upset.
context: Why the hell did you stop? Please.\I was just surprised because you assholes\touched me out of nowhere. Please.\Get back to it already. Please.\Um... adding please to the end\of every sentence doesn't make it polite. Please.\It doesn't? Please.\Please don't be upset. response:	My granddaughter is still learning the Imanity language.
context: I was just surprised because you assholes\touched me out of nowhere. Please.\Get back to it already. Please.\Um... adding please to the end\of every sentence doesn't make it polite. Please.\It doesn't? Please.\Please don't be upset.\My granddaughter is still learning the Imanity language. response:	Also...
context: touched me out of nowhere. Please.\Get back to it already. Please.\Um... adding please to the end\of every sentence doesn't make it polite. Please.\It doesn't? Please.\Please don't be upset.\My granddaughter is still learning the Imanity language.\Also... response:	Keep your filthy hands off my sweet granddaughter, hairless monkey!
context: Get back to it already. Please.\Um... adding please to the end\of every sentence doesn't make it polite. Please.\It doesn't? Please.\Please don't be upset.\My granddaughter is still learning the Imanity language.\Also...\Keep your filthy hands off my sweet granddaughter, hairless monkey! response:	I'll rip you in half!
context: Um... adding please to the end\of every sentence doesn't make it polite. Please.\It doesn't? Please.\Please don't be upset.\My granddaughter is still learning the Imanity language.\Also...\Keep your filthy hands off my sweet granddaughter, hairless monkey!\I'll rip you in half! response:	Please refrain from any actions that would make me say that.
context: of every sentence doesn't make it polite. Please.\It doesn't? Please.\Please don't be upset.\My granddaughter is still learning the Imanity language.\Also...\Keep your filthy hands off my sweet granddaughter, hairless monkey!\I'll rip you in half!\Please refrain from any actions that would make me say that. response:	I see. So that's where she gets it from.
context: It doesn't? Please.\Please don't be upset.\My granddaughter is still learning the Imanity language.\Also...\Keep your filthy hands off my sweet granddaughter, hairless monkey!\I'll rip you in half!\Please refrain from any actions that would make me say that.\I see. So that's where she gets it from. response:	I don't like him. -1000 points.
context: Please don't be upset.\My granddaughter is still learning the Imanity language.\Also...\Keep your filthy hands off my sweet granddaughter, hairless monkey!\I'll rip you in half!\Please refrain from any actions that would make me say that.\I see. So that's where she gets it from.\I don't like him. -1000 points. response:	But Izuna is so cute with her contrasting personalities! +1050 points.
context: My granddaughter is still learning the Imanity language.\Also...\Keep your filthy hands off my sweet granddaughter, hairless monkey!\I'll rip you in half!\Please refrain from any actions that would make me say that.\I see. So that's where she gets it from.\I don't like him. -1000 points.\But Izuna is so cute with her contrasting personalities! +1050 points. response:	You hairless monkeys are better than my grandpa.
context: Also...\Keep your filthy hands off my sweet granddaughter, hairless monkey!\I'll rip you in half!\Please refrain from any actions that would make me say that.\I see. So that's where she gets it from.\I don't like him. -1000 points.\But Izuna is so cute with her contrasting personalities! +1050 points.\You hairless monkeys are better than my grandpa. response:	Keep at it, please.
context: Keep your filthy hands off my sweet granddaughter, hairless monkey!\I'll rip you in half!\Please refrain from any actions that would make me say that.\I see. So that's where she gets it from.\I don't like him. -1000 points.\But Izuna is so cute with her contrasting personalities! +1050 points.\You hairless monkeys are better than my grandpa.\Keep at it, please. response:	Okay, why don't you stop calling us hairless monkeys?
context: I'll rip you in half!\Please refrain from any actions that would make me say that.\I see. So that's where she gets it from.\I don't like him. -1000 points.\But Izuna is so cute with her contrasting personalities! +1050 points.\You hairless monkeys are better than my grandpa.\Keep at it, please.\Okay, why don't you stop calling us hairless monkeys? response:	I'm Sora.
context: Please refrain from any actions that would make me say that.\I see. So that's where she gets it from.\I don't like him. -1000 points.\But Izuna is so cute with her contrasting personalities! +1050 points.\You hairless monkeys are better than my grandpa.\Keep at it, please.\Okay, why don't you stop calling us hairless monkeys?\I'm Sora. response:	That's Shiro, my little sister.
context: I see. So that's where she gets it from.\I don't like him. -1000 points.\But Izuna is so cute with her contrasting personalities! +1050 points.\You hairless monkeys are better than my grandpa.\Keep at it, please.\Okay, why don't you stop calling us hairless monkeys?\I'm Sora.\That's Shiro, my little sister. response:	Hi, Izuna-tan.
context: I don't like him. -1000 points.\But Izuna is so cute with her contrasting personalities! +1050 points.\You hairless monkeys are better than my grandpa.\Keep at it, please.\Okay, why don't you stop calling us hairless monkeys?\I'm Sora.\That's Shiro, my little sister.\Hi, Izuna-tan. response:	Got it.
context: But Izuna is so cute with her contrasting personalities! +1050 points.\You hairless monkeys are better than my grandpa.\Keep at it, please.\Okay, why don't you stop calling us hairless monkeys?\I'm Sora.\That's Shiro, my little sister.\Hi, Izuna-tan.\Got it. response:	Sora, Shiro. Please.
