context: Takase! response:	I can't help but follow Sugawara-kun with my eyes these days.
context: Besides, why would you guess Sugawara-kun?\Oh, no, it's just a rumor that I heard.\That he likes you.\I've heard that rumor, too.\Sugawara-kun likes me?\Sugawara-kun does?\Sugawara-kun does?\Suga response:	It's just a rumor, though.
context: Oh, no, it's just a rumor that I heard.\That he likes you.\I've heard that rumor, too.\Sugawara-kun likes me?\Sugawara-kun does?\Sugawara-kun does?\Suga\It's just a rumor, though. response:	But maybe if you confessed to him...
context: That he likes you.\I've heard that rumor, too.\Sugawara-kun likes me?\Sugawara-kun does?\Sugawara-kun does?\Suga\It's just a rumor, though.\But maybe if you confessed to him... response:	I-I'm not going to, no way.
context: I've heard that rumor, too.\Sugawara-kun likes me?\Sugawara-kun does?\Sugawara-kun does?\Suga\It's just a rumor, though.\But maybe if you confessed to him...\I-I'm not going to, no way. response:	By the way, how did you confess, Ayaka-chan?
context: Sugawara-kun likes me?\Sugawara-kun does?\Sugawara-kun does?\Suga\It's just a rumor, though.\But maybe if you confessed to him...\I-I'm not going to, no way.\By the way, how did you confess, Ayaka-chan? response:	Well...
context: Sugawara-kun does?\Sugawara-kun does?\Suga\It's just a rumor, though.\But maybe if you confessed to him...\I-I'm not going to, no way.\By the way, how did you confess, Ayaka-chan?\Well... response:	Come on, let's practice.
context: Sugawara-kun does?\Suga\It's just a rumor, though.\But maybe if you confessed to him...\I-I'm not going to, no way.\By the way, how did you confess, Ayaka-chan?\Well...\Come on, let's practice. response:	My girlfriend dumped me.
context: Suga\It's just a rumor, though.\But maybe if you confessed to him...\I-I'm not going to, no way.\By the way, how did you confess, Ayaka-chan?\Well...\Come on, let's practice.\My girlfriend dumped me. response:	I want to die.
context: It's just a rumor, though.\But maybe if you confessed to him...\I-I'm not going to, no way.\By the way, how did you confess, Ayaka-chan?\Well...\Come on, let's practice.\My girlfriend dumped me.\I want to die. response:	Can't we get back together?
context: But maybe if you confessed to him...\I-I'm not going to, no way.\By the way, how did you confess, Ayaka-chan?\Well...\Come on, let's practice.\My girlfriend dumped me.\I want to die.\Can't we get back together? response:	Like, what?
context: I-I'm not going to, no way.\By the way, how did you confess, Ayaka-chan?\Well...\Come on, let's practice.\My girlfriend dumped me.\I want to die.\Can't we get back together?\Like, what? response:	Kana, about the other day...
context: By the way, how did you confess, Ayaka-chan?\Well...\Come on, let's practice.\My girlfriend dumped me.\I want to die.\Can't we get back together?\Like, what?\Kana, about the other day... response:	Let's go.
context: Well...\Come on, let's practice.\My girlfriend dumped me.\I want to die.\Can't we get back together?\Like, what?\Kana, about the other day...\Let's go. response:	But, Chiaki's...
context: Come on, let's practice.\My girlfriend dumped me.\I want to die.\Can't we get back together?\Like, what?\Kana, about the other day...\Let's go.\But, Chiaki's... response:	I don't care.
context: My girlfriend dumped me.\I want to die.\Can't we get back together?\Like, what?\Kana, about the other day...\Let's go.\But, Chiaki's...\I don't care. response:	Let's go.
context: I want to die.\Can't we get back together?\Like, what?\Kana, about the other day...\Let's go.\But, Chiaki's...\I don't care.\Let's go. response:	Water Under the Bridge
context: Can't we get back together?\Like, what?\Kana, about the other day...\Let's go.\But, Chiaki's...\I don't care.\Let's go.\Water Under the Bridge response:	I want to die.
context: Like, what?\Kana, about the other day...\Let's go.\But, Chiaki's...\I don't care.\Let's go.\Water Under the Bridge\I want to die. response:	What? Why'd you break up?
context: Kana, about the other day...\Let's go.\But, Chiaki's...\I don't care.\Let's go.\Water Under the Bridge\I want to die.\What? Why'd you break up? response:	Because he gave the weirdest first kiss ever.
context: Let's go.\But, Chiaki's...\I don't care.\Let's go.\Water Under the Bridge\I want to die.\What? Why'd you break up?\Because he gave the weirdest first kiss ever. response:	I do agree he messed up, but are you sure you really want to break up?
context: But, Chiaki's...\I don't care.\Let's go.\Water Under the Bridge\I want to die.\What? Why'd you break up?\Because he gave the weirdest first kiss ever.\I do agree he messed up, but are you sure you really want to break up? response:	Yeah. He's not worth it.
context: I don't care.\Let's go.\Water Under the Bridge\I want to die.\What? Why'd you break up?\Because he gave the weirdest first kiss ever.\I do agree he messed up, but are you sure you really want to break up?\Yeah. He's not worth it. response:	I'm really sorry! Are you still angry? See you at school tomorrow...
context: Let's go.\Water Under the Bridge\I want to die.\What? Why'd you break up?\Because he gave the weirdest first kiss ever.\I do agree he messed up, but are you sure you really want to break up?\Yeah. He's not worth it.\I'm really sorry! Are you still angry? See you at school tomorrow... response:	Still no answer.
context: Water Under the Bridge\I want to die.\What? Why'd you break up?\Because he gave the weirdest first kiss ever.\I do agree he messed up, but are you sure you really want to break up?\Yeah. He's not worth it.\I'm really sorry! Are you still angry? See you at school tomorrow...\Still no answer. response:	Not even marked as read.
context: I want to die.\What? Why'd you break up?\Because he gave the weirdest first kiss ever.\I do agree he messed up, but are you sure you really want to break up?\Yeah. He's not worth it.\I'm really sorry! Are you still angry? See you at school tomorrow...\Still no answer.\Not even marked as read. response:	I think I'll stop messaging her.
context: What? Why'd you break up?\Because he gave the weirdest first kiss ever.\I do agree he messed up, but are you sure you really want to break up?\Yeah. He's not worth it.\I'm really sorry! Are you still angry? See you at school tomorrow...\Still no answer.\Not even marked as read.\I think I'll stop messaging her. response:	I've been ignoring him.
context: Because he gave the weirdest first kiss ever.\I do agree he messed up, but are you sure you really want to break up?\Yeah. He's not worth it.\I'm really sorry! Are you still angry? See you at school tomorrow...\Still no answer.\Not even marked as read.\I think I'll stop messaging her.\I've been ignoring him. response:	Should I forgive him now?
context: I do agree he messed up, but are you sure you really want to break up?\Yeah. He's not worth it.\I'm really sorry! Are you still angry? See you at school tomorrow...\Still no answer.\Not even marked as read.\I think I'll stop messaging her.\I've been ignoring him.\Should I forgive him now? response:	It's not like Chiaki was trying to be awful.
context: Yeah. He's not worth it.\I'm really sorry! Are you still angry? See you at school tomorrow...\Still no answer.\Not even marked as read.\I think I'll stop messaging her.\I've been ignoring him.\Should I forgive him now?\It's not like Chiaki was trying to be awful. response:	All right.
context: I'm really sorry! Are you still angry? See you at school tomorrow...\Still no answer.\Not even marked as read.\I think I'll stop messaging her.\I've been ignoring him.\Should I forgive him now?\It's not like Chiaki was trying to be awful.\All right. response:	If she doesn't reply after one more message, I'll give up.
context: Still no answer.\Not even marked as read.\I think I'll stop messaging her.\I've been ignoring him.\Should I forgive him now?\It's not like Chiaki was trying to be awful.\All right.\If she doesn't reply after one more message, I'll give up. response:	If he apologizes one more time, I'll forgive him.
context: Not even marked as read.\I think I'll stop messaging her.\I've been ignoring him.\Should I forgive him now?\It's not like Chiaki was trying to be awful.\All right.\If she doesn't reply after one more message, I'll give up.\If he apologizes one more time, I'll forgive him. response:	I'm really sorry about what happened. I won't try to pull weird kisses anymore. Can you forgive me? I miss you...
context: I think I'll stop messaging her.\I've been ignoring him.\Should I forgive him now?\It's not like Chiaki was trying to be awful.\All right.\If she doesn't reply after one more message, I'll give up.\If he apologizes one more time, I'll forgive him.\I'm really sorry about what happened. I won't try to pull weird kisses anymore. Can you forgive me? I miss you... response:	Maybe a long letter?
context: I've been ignoring him.\Should I forgive him now?\It's not like Chiaki was trying to be awful.\All right.\If she doesn't reply after one more message, I'll give up.\If he apologizes one more time, I'll forgive him.\I'm really sorry about what happened. I won't try to pull weird kisses anymore. Can you forgive me? I miss you...\Maybe a long letter? response:	Would that be too creepy?
context: Should I forgive him now?\It's not like Chiaki was trying to be awful.\All right.\If she doesn't reply after one more message, I'll give up.\If he apologizes one more time, I'll forgive him.\I'm really sorry about what happened. I won't try to pull weird kisses anymore. Can you forgive me? I miss you...\Maybe a long letter?\Would that be too creepy? response:	He's been messaging me every day.
context: It's not like Chiaki was trying to be awful.\All right.\If she doesn't reply after one more message, I'll give up.\If he apologizes one more time, I'll forgive him.\I'm really sorry about what happened. I won't try to pull weird kisses anymore. Can you forgive me? I miss you...\Maybe a long letter?\Would that be too creepy?\He's been messaging me every day. response:	Why not today?
context: All right.\If she doesn't reply after one more message, I'll give up.\If he apologizes one more time, I'll forgive him.\I'm really sorry about what happened. I won't try to pull weird kisses anymore. Can you forgive me? I miss you...\Maybe a long letter?\Would that be too creepy?\He's been messaging me every day.\Why not today? response:	Hurry up and apologize, idiot.
context: If she doesn't reply after one more message, I'll give up.\If he apologizes one more time, I'll forgive him.\I'm really sorry about what happened. I won't try to pull weird kisses anymore. Can you forgive me? I miss you...\Maybe a long letter?\Would that be too creepy?\He's been messaging me every day.\Why not today?\Hurry up and apologize, idiot. response:	Can I call you?
context: If he apologizes one more time, I'll forgive him.\I'm really sorry about what happened. I won't try to pull weird kisses anymore. Can you forgive me? I miss you...\Maybe a long letter?\Would that be too creepy?\He's been messaging me every day.\Why not today?\Hurry up and apologize, idiot.\Can I call you? response:	Yeah, this is the best way to do it.
context: I'm really sorry about what happened. I won't try to pull weird kisses anymore. Can you forgive me? I miss you...\Maybe a long letter?\Would that be too creepy?\He's been messaging me every day.\Why not today?\Hurry up and apologize, idiot.\Can I call you?\Yeah, this is the best way to do it. response:	I want to apologize directly if I can.
context: Maybe a long letter?\Would that be too creepy?\He's been messaging me every day.\Why not today?\Hurry up and apologize, idiot.\Can I call you?\Yeah, this is the best way to do it.\I want to apologize directly if I can. response:	Come on!
context: Would that be too creepy?\He's been messaging me every day.\Why not today?\Hurry up and apologize, idiot.\Can I call you?\Yeah, this is the best way to do it.\I want to apologize directly if I can.\Come on! response:	You can't be serious!
context: He's been messaging me every day.\Why not today?\Hurry up and apologize, idiot.\Can I call you?\Yeah, this is the best way to do it.\I want to apologize directly if I can.\Come on!\You can't be serious! response:	What did he want?!
context: Why not today?\Hurry up and apologize, idiot.\Can I call you?\Yeah, this is the best way to do it.\I want to apologize directly if I can.\Come on!\You can't be serious!\What did he want?! response:	She's not answering.
context: Hurry up and apologize, idiot.\Can I call you?\Yeah, this is the best way to do it.\I want to apologize directly if I can.\Come on!\You can't be serious!\What did he want?!\She's not answering. response:	She doesn't leave her phone even when she takes a bath.
context: Can I call you?\Yeah, this is the best way to do it.\I want to apologize directly if I can.\Come on!\You can't be serious!\What did he want?!\She's not answering.\She doesn't leave her phone even when she takes a bath. response:	She's totally ignoring me.
context: Yeah, this is the best way to do it.\I want to apologize directly if I can.\Come on!\You can't be serious!\What did he want?!\She's not answering.\She doesn't leave her phone even when she takes a bath.\She's totally ignoring me. response:	I-It's okay.
context: I want to apologize directly if I can.\Come on!\You can't be serious!\What did he want?!\She's not answering.\She doesn't leave her phone even when she takes a bath.\She's totally ignoring me.\I-It's okay. response:	I'm sure he was apologizing again.
context: Come on!\You can't be serious!\What did he want?!\She's not answering.\She doesn't leave her phone even when she takes a bath.\She's totally ignoring me.\I-It's okay.\I'm sure he was apologizing again. response:	I just need to reply tomorrow.
context: You can't be serious!\What did he want?!\She's not answering.\She doesn't leave her phone even when she takes a bath.\She's totally ignoring me.\I-It's okay.\I'm sure he was apologizing again.\I just need to reply tomorrow. response:	I guess I'll give up.
context: What did he want?!\She's not answering.\She doesn't leave her phone even when she takes a bath.\She's totally ignoring me.\I-It's okay.\I'm sure he was apologizing again.\I just need to reply tomorrow.\I guess I'll give up. response:	But what if Chiaki gives up?
context: She's not answering.\She doesn't leave her phone even when she takes a bath.\She's totally ignoring me.\I-It's okay.\I'm sure he was apologizing again.\I just need to reply tomorrow.\I guess I'll give up.\But what if Chiaki gives up? response:	After how long I've ignored him, he might just quit.
context: She doesn't leave her phone even when she takes a bath.\She's totally ignoring me.\I-It's okay.\I'm sure he was apologizing again.\I just need to reply tomorrow.\I guess I'll give up.\But what if Chiaki gives up?\After how long I've ignored him, he might just quit. response:	He might even hate me now.
context: She's totally ignoring me.\I-It's okay.\I'm sure he was apologizing again.\I just need to reply tomorrow.\I guess I'll give up.\But what if Chiaki gives up?\After how long I've ignored him, he might just quit.\He might even hate me now. response:	I don't want him to hate me.
context: I-It's okay.\I'm sure he was apologizing again.\I just need to reply tomorrow.\I guess I'll give up.\But what if Chiaki gives up?\After how long I've ignored him, he might just quit.\He might even hate me now.\I don't want him to hate me. response:	He pisses me off sometimes, but I love him.
context: I'm sure he was apologizing again.\I just need to reply tomorrow.\I guess I'll give up.\But what if Chiaki gives up?\After how long I've ignored him, he might just quit.\He might even hate me now.\I don't want him to hate me.\He pisses me off sometimes, but I love him. response:	I want to apologize to him.
context: I just need to reply tomorrow.\I guess I'll give up.\But what if Chiaki gives up?\After how long I've ignored him, he might just quit.\He might even hate me now.\I don't want him to hate me.\He pisses me off sometimes, but I love him.\I want to apologize to him. response:	Please.
context: I guess I'll give up.\But what if Chiaki gives up?\After how long I've ignored him, he might just quit.\He might even hate me now.\I don't want him to hate me.\He pisses me off sometimes, but I love him.\I want to apologize to him.\Please. response:	Turn on...
context: But what if Chiaki gives up?\After how long I've ignored him, he might just quit.\He might even hate me now.\I don't want him to hate me.\He pisses me off sometimes, but I love him.\I want to apologize to him.\Please.\Turn on... response:	Turn on.
context: After how long I've ignored him, he might just quit.\He might even hate me now.\I don't want him to hate me.\He pisses me off sometimes, but I love him.\I want to apologize to him.\Please.\Turn on...\Turn on. response:	Turn on!
context: He might even hate me now.\I don't want him to hate me.\He pisses me off sometimes, but I love him.\I want to apologize to him.\Please.\Turn on...\Turn on.\Turn on! response:	Kana, are you ever coming out?
context: I don't want him to hate me.\He pisses me off sometimes, but I love him.\I want to apologize to him.\Please.\Turn on...\Turn on.\Turn on!\Kana, are you ever coming out? response:	What are you doing undressed?
context: He pisses me off sometimes, but I love him.\I want to apologize to him.\Please.\Turn on...\Turn on.\Turn on!\Kana, are you ever coming out?\What are you doing undressed? response:	I dropped my phone in the bath.
context: I want to apologize to him.\Please.\Turn on...\Turn on.\Turn on!\Kana, are you ever coming out?\What are you doing undressed?\I dropped my phone in the bath. response:	It's fine. Just give it a good whack.
context: Please.\Turn on...\Turn on.\Turn on!\Kana, are you ever coming out?\What are you doing undressed?\I dropped my phone in the bath.\It's fine. Just give it a good whack. response:	Stop, Mom!
context: Turn on...\Turn on.\Turn on!\Kana, are you ever coming out?\What are you doing undressed?\I dropped my phone in the bath.\It's fine. Just give it a good whack.\Stop, Mom! response:	What if it gets even worse?
context: Turn on.\Turn on!\Kana, are you ever coming out?\What are you doing undressed?\I dropped my phone in the bath.\It's fine. Just give it a good whack.\Stop, Mom!\What if it gets even worse? response:	No way!
context: Turn on!\Kana, are you ever coming out?\What are you doing undressed?\I dropped my phone in the bath.\It's fine. Just give it a good whack.\Stop, Mom!\What if it gets even worse?\No way! response:	I'm good with technology.
context: Kana, are you ever coming out?\What are you doing undressed?\I dropped my phone in the bath.\It's fine. Just give it a good whack.\Stop, Mom!\What if it gets even worse?\No way!\I'm good with technology. response:	Thanks, Mom.
context: What are you doing undressed?\I dropped my phone in the bath.\It's fine. Just give it a good whack.\Stop, Mom!\What if it gets even worse?\No way!\I'm good with technology.\Thanks, Mom. response:	I can't give up.
context: I dropped my phone in the bath.\It's fine. Just give it a good whack.\Stop, Mom!\What if it gets even worse?\No way!\I'm good with technology.\Thanks, Mom.\I can't give up. response:	Let me apologize!
