context: Why was I beaten? response:	I won't lose to you!
context: I see.\Priestess Tsubaki, you said you were Master's disciple, too.\Please pardon my rudeness, but how old are you?\You look so young.\I am much older than you, of course.\But this is a result of my training.\Is there a skill to keep one young?\If you continue your training, it will become possible. response:	It's not easy, though.
context: Priestess Tsubaki, you said you were Master's disciple, too.\Please pardon my rudeness, but how old are you?\You look so young.\I am much older than you, of course.\But this is a result of my training.\Is there a skill to keep one young?\If you continue your training, it will become possible.\It's not easy, though. response:	Priestess Tsubaki, why did you return to this shrine?
context: Please pardon my rudeness, but how old are you?\You look so young.\I am much older than you, of course.\But this is a result of my training.\Is there a skill to keep one young?\If you continue your training, it will become possible.\It's not easy, though.\Priestess Tsubaki, why did you return to this shrine? response:	I am being pursued by a demon.
context: You look so young.\I am much older than you, of course.\But this is a result of my training.\Is there a skill to keep one young?\If you continue your training, it will become possible.\It's not easy, though.\Priestess Tsubaki, why did you return to this shrine?\I am being pursued by a demon. response:	Huh?!
context: I am much older than you, of course.\But this is a result of my training.\Is there a skill to keep one young?\If you continue your training, it will become possible.\It's not easy, though.\Priestess Tsubaki, why did you return to this shrine?\I am being pursued by a demon.\Huh?! response:	A demon?
context: But this is a result of my training.\Is there a skill to keep one young?\If you continue your training, it will become possible.\It's not easy, though.\Priestess Tsubaki, why did you return to this shrine?\I am being pursued by a demon.\Huh?!\A demon? response:	Now then, what shall I do with these two?
context: Is there a skill to keep one young?\If you continue your training, it will become possible.\It's not easy, though.\Priestess Tsubaki, why did you return to this shrine?\I am being pursued by a demon.\Huh?!\A demon?\Now then, what shall I do with these two? response:	Kill them off immediately?
context: If you continue your training, it will become possible.\It's not easy, though.\Priestess Tsubaki, why did you return to this shrine?\I am being pursued by a demon.\Huh?!\A demon?\Now then, what shall I do with these two?\Kill them off immediately? response:	We will assist, Priestess Tsubaki!
context: It's not easy, though.\Priestess Tsubaki, why did you return to this shrine?\I am being pursued by a demon.\Huh?!\A demon?\Now then, what shall I do with these two?\Kill them off immediately?\We will assist, Priestess Tsubaki! response:	You are our sister disciple!
context: Priestess Tsubaki, why did you return to this shrine?\I am being pursued by a demon.\Huh?!\A demon?\Now then, what shall I do with these two?\Kill them off immediately?\We will assist, Priestess Tsubaki!\You are our sister disciple! response:	Hmm...
context: I am being pursued by a demon.\Huh?!\A demon?\Now then, what shall I do with these two?\Kill them off immediately?\We will assist, Priestess Tsubaki!\You are our sister disciple!\Hmm... response:	I see...
context: Huh?!\A demon?\Now then, what shall I do with these two?\Kill them off immediately?\We will assist, Priestess Tsubaki!\You are our sister disciple!\Hmm...\I see... response:	After that time...
context: A demon?\Now then, what shall I do with these two?\Kill them off immediately?\We will assist, Priestess Tsubaki!\You are our sister disciple!\Hmm...\I see...\After that time... response:	I was under a curse placed by the Dark Priestess Tsubaki.
context: Now then, what shall I do with these two?\Kill them off immediately?\We will assist, Priestess Tsubaki!\You are our sister disciple!\Hmm...\I see...\After that time...\I was under a curse placed by the Dark Priestess Tsubaki. response:	Hey...
context: Kill them off immediately?\We will assist, Priestess Tsubaki!\You are our sister disciple!\Hmm...\I see...\After that time...\I was under a curse placed by the Dark Priestess Tsubaki.\Hey... response:	Feel all right?
context: We will assist, Priestess Tsubaki!\You are our sister disciple!\Hmm...\I see...\After that time...\I was under a curse placed by the Dark Priestess Tsubaki.\Hey...\Feel all right? response:	Yes, I'm okay.
context: You are our sister disciple!\Hmm...\I see...\After that time...\I was under a curse placed by the Dark Priestess Tsubaki.\Hey...\Feel all right?\Yes, I'm okay. response:	Kagome?
context: Hmm...\I see...\After that time...\I was under a curse placed by the Dark Priestess Tsubaki.\Hey...\Feel all right?\Yes, I'm okay.\Kagome? response:	Kagome?
context: I see...\After that time...\I was under a curse placed by the Dark Priestess Tsubaki.\Hey...\Feel all right?\Yes, I'm okay.\Kagome?\Kagome? response:	Kagome!
context: After that time...\I was under a curse placed by the Dark Priestess Tsubaki.\Hey...\Feel all right?\Yes, I'm okay.\Kagome?\Kagome?\Kagome! response:	Kagome!
context: I was under a curse placed by the Dark Priestess Tsubaki.\Hey...\Feel all right?\Yes, I'm okay.\Kagome?\Kagome?\Kagome!\Kagome! response:	Look! I'm all right!
context: Hey...\Feel all right?\Yes, I'm okay.\Kagome?\Kagome?\Kagome!\Kagome!\Look! I'm all right! response:	The sorceress who placed the curse is named Tsubaki.
context: Feel all right?\Yes, I'm okay.\Kagome?\Kagome?\Kagome!\Kagome!\Look! I'm all right!\The sorceress who placed the curse is named Tsubaki. response:	Fifty years ago, she was a priestess equal in status to my sister, Kikyo.
context: Yes, I'm okay.\Kagome?\Kagome?\Kagome!\Kagome!\Look! I'm all right!\The sorceress who placed the curse is named Tsubaki.\Fifty years ago, she was a priestess equal in status to my sister, Kikyo. response:	Why did she turn into an evil priestess?
context: Kagome?\Kagome?\Kagome!\Kagome!\Look! I'm all right!\The sorceress who placed the curse is named Tsubaki.\Fifty years ago, she was a priestess equal in status to my sister, Kikyo.\Why did she turn into an evil priestess? response:	I do not know.
context: Kagome?\Kagome!\Kagome!\Look! I'm all right!\The sorceress who placed the curse is named Tsubaki.\Fifty years ago, she was a priestess equal in status to my sister, Kikyo.\Why did she turn into an evil priestess?\I do not know. response:	Perhaps, the name is just a coincidence.
context: Kagome!\Kagome!\Look! I'm all right!\The sorceress who placed the curse is named Tsubaki.\Fifty years ago, she was a priestess equal in status to my sister, Kikyo.\Why did she turn into an evil priestess?\I do not know.\Perhaps, the name is just a coincidence. response:	What's the matter?
context: Kagome!\Look! I'm all right!\The sorceress who placed the curse is named Tsubaki.\Fifty years ago, she was a priestess equal in status to my sister, Kikyo.\Why did she turn into an evil priestess?\I do not know.\Perhaps, the name is just a coincidence.\What's the matter? response:	I sense the presence of the Sacred Jewel Shard.
context: Look! I'm all right!\The sorceress who placed the curse is named Tsubaki.\Fifty years ago, she was a priestess equal in status to my sister, Kikyo.\Why did she turn into an evil priestess?\I do not know.\Perhaps, the name is just a coincidence.\What's the matter?\I sense the presence of the Sacred Jewel Shard. response:	Are you sure, Kagome?
context: The sorceress who placed the curse is named Tsubaki.\Fifty years ago, she was a priestess equal in status to my sister, Kikyo.\Why did she turn into an evil priestess?\I do not know.\Perhaps, the name is just a coincidence.\What's the matter?\I sense the presence of the Sacred Jewel Shard.\Are you sure, Kagome? response:	Yes, I feel it very distinctly.
context: Fifty years ago, she was a priestess equal in status to my sister, Kikyo.\Why did she turn into an evil priestess?\I do not know.\Perhaps, the name is just a coincidence.\What's the matter?\I sense the presence of the Sacred Jewel Shard.\Are you sure, Kagome?\Yes, I feel it very distinctly. response:	It was a huge Shard.
context: Why did she turn into an evil priestess?\I do not know.\Perhaps, the name is just a coincidence.\What's the matter?\I sense the presence of the Sacred Jewel Shard.\Are you sure, Kagome?\Yes, I feel it very distinctly.\It was a huge Shard. response:	And? Which way is it?
context: I do not know.\Perhaps, the name is just a coincidence.\What's the matter?\I sense the presence of the Sacred Jewel Shard.\Are you sure, Kagome?\Yes, I feel it very distinctly.\It was a huge Shard.\And? Which way is it? response:	That way.
context: Perhaps, the name is just a coincidence.\What's the matter?\I sense the presence of the Sacred Jewel Shard.\Are you sure, Kagome?\Yes, I feel it very distinctly.\It was a huge Shard.\And? Which way is it?\That way. response:	We have no choice but to go.
context: What's the matter?\I sense the presence of the Sacred Jewel Shard.\Are you sure, Kagome?\Yes, I feel it very distinctly.\It was a huge Shard.\And? Which way is it?\That way.\We have no choice but to go. response:	Yes, in order to get the Sacred Jewel back,
context: I sense the presence of the Sacred Jewel Shard.\Are you sure, Kagome?\Yes, I feel it very distinctly.\It was a huge Shard.\And? Which way is it?\That way.\We have no choice but to go.\Yes, in order to get the Sacred Jewel back, response:	we must not miss this opportunity.
context: Are you sure, Kagome?\Yes, I feel it very distinctly.\It was a huge Shard.\And? Which way is it?\That way.\We have no choice but to go.\Yes, in order to get the Sacred Jewel back,\we must not miss this opportunity. response:	What, Kaede?! You mean to follow us?
context: Yes, I feel it very distinctly.\It was a huge Shard.\And? Which way is it?\That way.\We have no choice but to go.\Yes, in order to get the Sacred Jewel back,\we must not miss this opportunity.\What, Kaede?! You mean to follow us? response:	The enemy is a Dark Shrine Maiden!
context: It was a huge Shard.\And? Which way is it?\That way.\We have no choice but to go.\Yes, in order to get the Sacred Jewel back,\we must not miss this opportunity.\What, Kaede?! You mean to follow us?\The enemy is a Dark Shrine Maiden! response:	Isn't it better if I, a shrine maiden, came along?
context: And? Which way is it?\That way.\We have no choice but to go.\Yes, in order to get the Sacred Jewel back,\we must not miss this opportunity.\What, Kaede?! You mean to follow us?\The enemy is a Dark Shrine Maiden!\Isn't it better if I, a shrine maiden, came along? response:	Are you a shrine MAIDEN even when you're old?
context: That way.\We have no choice but to go.\Yes, in order to get the Sacred Jewel back,\we must not miss this opportunity.\What, Kaede?! You mean to follow us?\The enemy is a Dark Shrine Maiden!\Isn't it better if I, a shrine maiden, came along?\Are you a shrine MAIDEN even when you're old? response:	Kagome!
context: We have no choice but to go.\Yes, in order to get the Sacred Jewel back,\we must not miss this opportunity.\What, Kaede?! You mean to follow us?\The enemy is a Dark Shrine Maiden!\Isn't it better if I, a shrine maiden, came along?\Are you a shrine MAIDEN even when you're old?\Kagome! response:	Inuyasha, sit!
context: Yes, in order to get the Sacred Jewel back,\we must not miss this opportunity.\What, Kaede?! You mean to follow us?\The enemy is a Dark Shrine Maiden!\Isn't it better if I, a shrine maiden, came along?\Are you a shrine MAIDEN even when you're old?\Kagome!\Inuyasha, sit! response:	Arghh!
context: we must not miss this opportunity.\What, Kaede?! You mean to follow us?\The enemy is a Dark Shrine Maiden!\Isn't it better if I, a shrine maiden, came along?\Are you a shrine MAIDEN even when you're old?\Kagome!\Inuyasha, sit!\Arghh! response:	Impudent fellow!
context: What, Kaede?! You mean to follow us?\The enemy is a Dark Shrine Maiden!\Isn't it better if I, a shrine maiden, came along?\Are you a shrine MAIDEN even when you're old?\Kagome!\Inuyasha, sit!\Arghh!\Impudent fellow! response:	Let us go!
context: The enemy is a Dark Shrine Maiden!\Isn't it better if I, a shrine maiden, came along?\Are you a shrine MAIDEN even when you're old?\Kagome!\Inuyasha, sit!\Arghh!\Impudent fellow!\Let us go! response:	Let's go, Kirara!
context: Isn't it better if I, a shrine maiden, came along?\Are you a shrine MAIDEN even when you're old?\Kagome!\Inuyasha, sit!\Arghh!\Impudent fellow!\Let us go!\Let's go, Kirara! response:	Hey, Inuyasha.
context: Are you a shrine MAIDEN even when you're old?\Kagome!\Inuyasha, sit!\Arghh!\Impudent fellow!\Let us go!\Let's go, Kirara!\Hey, Inuyasha. response:	Why you!
context: Kagome!\Inuyasha, sit!\Arghh!\Impudent fellow!\Let us go!\Let's go, Kirara!\Hey, Inuyasha.\Why you! response:	That way!
context: Inuyasha, sit!\Arghh!\Impudent fellow!\Let us go!\Let's go, Kirara!\Hey, Inuyasha.\Why you!\That way! response:	Oh!
context: Arghh!\Impudent fellow!\Let us go!\Let's go, Kirara!\Hey, Inuyasha.\Why you!\That way!\Oh! response:	Hey!
context: Impudent fellow!\Let us go!\Let's go, Kirara!\Hey, Inuyasha.\Why you!\That way!\Oh!\Hey! response:	Don't forget me!
context: Let us go!\Let's go, Kirara!\Hey, Inuyasha.\Why you!\That way!\Oh!\Hey!\Don't forget me! response:	You learn quickly, Tsubaki.
context: Let's go, Kirara!\Hey, Inuyasha.\Why you!\That way!\Oh!\Hey!\Don't forget me!\You learn quickly, Tsubaki. response:	Really, Master?
context: Hey, Inuyasha.\Why you!\That way!\Oh!\Hey!\Don't forget me!\You learn quickly, Tsubaki.\Really, Master? response:	Yes.
context: Why you!\That way!\Oh!\Hey!\Don't forget me!\You learn quickly, Tsubaki.\Really, Master?\Yes. response:	Humph! Sixty years have passed.
context: That way!\Oh!\Hey!\Don't forget me!\You learn quickly, Tsubaki.\Really, Master?\Yes.\Humph! Sixty years have passed. response:	It's only natural that my teacher is dead.
context: Oh!\Hey!\Don't forget me!\You learn quickly, Tsubaki.\Really, Master?\Yes.\Humph! Sixty years have passed.\It's only natural that my teacher is dead. response:	Priestess Tsubaki!
context: Hey!\Don't forget me!\You learn quickly, Tsubaki.\Really, Master?\Yes.\Humph! Sixty years have passed.\It's only natural that my teacher is dead.\Priestess Tsubaki! response:	Special charms unique to this shrine would keep out any demons.
context: Don't forget me!\You learn quickly, Tsubaki.\Really, Master?\Yes.\Humph! Sixty years have passed.\It's only natural that my teacher is dead.\Priestess Tsubaki!\Special charms unique to this shrine would keep out any demons. response:	Where could they be?
context: You learn quickly, Tsubaki.\Really, Master?\Yes.\Humph! Sixty years have passed.\It's only natural that my teacher is dead.\Priestess Tsubaki!\Special charms unique to this shrine would keep out any demons.\Where could they be? response:	Please leave that to us, Priestess Tsubaki.
context: Really, Master?\Yes.\Humph! Sixty years have passed.\It's only natural that my teacher is dead.\Priestess Tsubaki!\Special charms unique to this shrine would keep out any demons.\Where could they be?\Please leave that to us, Priestess Tsubaki. response:	Even if we cannot slay them, we can at least hamper them.
context: Yes.\Humph! Sixty years have passed.\It's only natural that my teacher is dead.\Priestess Tsubaki!\Special charms unique to this shrine would keep out any demons.\Where could they be?\Please leave that to us, Priestess Tsubaki.\Even if we cannot slay them, we can at least hamper them. response:	Can you?
context: Humph! Sixty years have passed.\It's only natural that my teacher is dead.\Priestess Tsubaki!\Special charms unique to this shrine would keep out any demons.\Where could they be?\Please leave that to us, Priestess Tsubaki.\Even if we cannot slay them, we can at least hamper them.\Can you? response:	The enemy is a terrible, evil demon.
context: It's only natural that my teacher is dead.\Priestess Tsubaki!\Special charms unique to this shrine would keep out any demons.\Where could they be?\Please leave that to us, Priestess Tsubaki.\Even if we cannot slay them, we can at least hamper them.\Can you?\The enemy is a terrible, evil demon. response:	- We have trained hard and long, too. - It is our duty to fight demons.
context: Priestess Tsubaki!\Special charms unique to this shrine would keep out any demons.\Where could they be?\Please leave that to us, Priestess Tsubaki.\Even if we cannot slay them, we can at least hamper them.\Can you?\The enemy is a terrible, evil demon.\- We have trained hard and long, too. - It is our duty to fight demons. response:	Then I shall leave it to you.
context: Special charms unique to this shrine would keep out any demons.\Where could they be?\Please leave that to us, Priestess Tsubaki.\Even if we cannot slay them, we can at least hamper them.\Can you?\The enemy is a terrible, evil demon.\- We have trained hard and long, too. - It is our duty to fight demons.\Then I shall leave it to you. response:	Give me as much time as possible.
context: Where could they be?\Please leave that to us, Priestess Tsubaki.\Even if we cannot slay them, we can at least hamper them.\Can you?\The enemy is a terrible, evil demon.\- We have trained hard and long, too. - It is our duty to fight demons.\Then I shall leave it to you.\Give me as much time as possible. response:	Yes!
context: Please leave that to us, Priestess Tsubaki.\Even if we cannot slay them, we can at least hamper them.\Can you?\The enemy is a terrible, evil demon.\- We have trained hard and long, too. - It is our duty to fight demons.\Then I shall leave it to you.\Give me as much time as possible.\Yes! response:	How's this, Momiji?
context: Even if we cannot slay them, we can at least hamper them.\Can you?\The enemy is a terrible, evil demon.\- We have trained hard and long, too. - It is our duty to fight demons.\Then I shall leave it to you.\Give me as much time as possible.\Yes!\How's this, Momiji? response:	I think this will do fine, Botan.
context: Can you?\The enemy is a terrible, evil demon.\- We have trained hard and long, too. - It is our duty to fight demons.\Then I shall leave it to you.\Give me as much time as possible.\Yes!\How's this, Momiji?\I think this will do fine, Botan. response:	It's our first time.
context: The enemy is a terrible, evil demon.\- We have trained hard and long, too. - It is our duty to fight demons.\Then I shall leave it to you.\Give me as much time as possible.\Yes!\How's this, Momiji?\I think this will do fine, Botan.\It's our first time. response:	All the more reason for just doing it!
context: - We have trained hard and long, too. - It is our duty to fight demons.\Then I shall leave it to you.\Give me as much time as possible.\Yes!\How's this, Momiji?\I think this will do fine, Botan.\It's our first time.\All the more reason for just doing it! response:	Yes! It's all part of training and experience, right?
context: Then I shall leave it to you.\Give me as much time as possible.\Yes!\How's this, Momiji?\I think this will do fine, Botan.\It's our first time.\All the more reason for just doing it!\Yes! It's all part of training and experience, right? response:	Onward!
context: Give me as much time as possible.\Yes!\How's this, Momiji?\I think this will do fine, Botan.\It's our first time.\All the more reason for just doing it!\Yes! It's all part of training and experience, right?\Onward! response:	To slay the demon!
context: Yes!\How's this, Momiji?\I think this will do fine, Botan.\It's our first time.\All the more reason for just doing it!\Yes! It's all part of training and experience, right?\Onward!\To slay the demon! response:	You must never open these doors.
context: How's this, Momiji?\I think this will do fine, Botan.\It's our first time.\All the more reason for just doing it!\Yes! It's all part of training and experience, right?\Onward!\To slay the demon!\You must never open these doors. response:	This is the forbidden Pagoda of Many Treasures.
context: I think this will do fine, Botan.\It's our first time.\All the more reason for just doing it!\Yes! It's all part of training and experience, right?\Onward!\To slay the demon!\You must never open these doors.\This is the forbidden Pagoda of Many Treasures. response:	Forbidden, huh?
context: It's our first time.\All the more reason for just doing it!\Yes! It's all part of training and experience, right?\Onward!\To slay the demon!\You must never open these doors.\This is the forbidden Pagoda of Many Treasures.\Forbidden, huh? response:	Why you!
context: All the more reason for just doing it!\Yes! It's all part of training and experience, right?\Onward!\To slay the demon!\You must never open these doors.\This is the forbidden Pagoda of Many Treasures.\Forbidden, huh?\Why you! response:	Naraku wants the Sacred Jewel back.
context: Yes! It's all part of training and experience, right?\Onward!\To slay the demon!\You must never open these doors.\This is the forbidden Pagoda of Many Treasures.\Forbidden, huh?\Why you!\Naraku wants the Sacred Jewel back. response:	This belongs to me!
context: Onward!\To slay the demon!\You must never open these doors.\This is the forbidden Pagoda of Many Treasures.\Forbidden, huh?\Why you!\Naraku wants the Sacred Jewel back.\This belongs to me! response:	Didn't he promise to give it to you, only IF you fulfilled his wish?
context: To slay the demon!\You must never open these doors.\This is the forbidden Pagoda of Many Treasures.\Forbidden, huh?\Why you!\Naraku wants the Sacred Jewel back.\This belongs to me!\Didn't he promise to give it to you, only IF you fulfilled his wish? response:	I will fulfill his wish! By using this Sacred Jewel.
context: You must never open these doors.\This is the forbidden Pagoda of Many Treasures.\Forbidden, huh?\Why you!\Naraku wants the Sacred Jewel back.\This belongs to me!\Didn't he promise to give it to you, only IF you fulfilled his wish?\I will fulfill his wish! By using this Sacred Jewel. response:	That Kagome... and Inuyasha...
context: This is the forbidden Pagoda of Many Treasures.\Forbidden, huh?\Why you!\Naraku wants the Sacred Jewel back.\This belongs to me!\Didn't he promise to give it to you, only IF you fulfilled his wish?\I will fulfill his wish! By using this Sacred Jewel.\That Kagome... and Inuyasha... response:	I'll kill them all!
context: Forbidden, huh?\Why you!\Naraku wants the Sacred Jewel back.\This belongs to me!\Didn't he promise to give it to you, only IF you fulfilled his wish?\I will fulfill his wish! By using this Sacred Jewel.\That Kagome... and Inuyasha...\I'll kill them all! response:	How? You lost to them once already.
context: Why you!\Naraku wants the Sacred Jewel back.\This belongs to me!\Didn't he promise to give it to you, only IF you fulfilled his wish?\I will fulfill his wish! By using this Sacred Jewel.\That Kagome... and Inuyasha...\I'll kill them all!\How? You lost to them once already. response:	There is power here.
context: Naraku wants the Sacred Jewel back.\This belongs to me!\Didn't he promise to give it to you, only IF you fulfilled his wish?\I will fulfill his wish! By using this Sacred Jewel.\That Kagome... and Inuyasha...\I'll kill them all!\How? You lost to them once already.\There is power here. response:	Power that I can harvest with this Sacred Jewel.
context: This belongs to me!\Didn't he promise to give it to you, only IF you fulfilled his wish?\I will fulfill his wish! By using this Sacred Jewel.\That Kagome... and Inuyasha...\I'll kill them all!\How? You lost to them once already.\There is power here.\Power that I can harvest with this Sacred Jewel. response:	Doesn't sound very hopeful at all.
context: Didn't he promise to give it to you, only IF you fulfilled his wish?\I will fulfill his wish! By using this Sacred Jewel.\That Kagome... and Inuyasha...\I'll kill them all!\How? You lost to them once already.\There is power here.\Power that I can harvest with this Sacred Jewel.\Doesn't sound very hopeful at all. response:	Shall I tell you something very interesting?
context: I will fulfill his wish! By using this Sacred Jewel.\That Kagome... and Inuyasha...\I'll kill them all!\How? You lost to them once already.\There is power here.\Power that I can harvest with this Sacred Jewel.\Doesn't sound very hopeful at all.\Shall I tell you something very interesting? response:	What is it?
context: That Kagome... and Inuyasha...\I'll kill them all!\How? You lost to them once already.\There is power here.\Power that I can harvest with this Sacred Jewel.\Doesn't sound very hopeful at all.\Shall I tell you something very interesting?\What is it? response:	The ultimate way to use the Sacred Jewel.
context: I'll kill them all!\How? You lost to them once already.\There is power here.\Power that I can harvest with this Sacred Jewel.\Doesn't sound very hopeful at all.\Shall I tell you something very interesting?\What is it?\The ultimate way to use the Sacred Jewel. response:	Huh?
context: How? You lost to them once already.\There is power here.\Power that I can harvest with this Sacred Jewel.\Doesn't sound very hopeful at all.\Shall I tell you something very interesting?\What is it?\The ultimate way to use the Sacred Jewel.\Huh? response:	Over there!
context: There is power here.\Power that I can harvest with this Sacred Jewel.\Doesn't sound very hopeful at all.\Shall I tell you something very interesting?\What is it?\The ultimate way to use the Sacred Jewel.\Huh?\Over there! response:	What's the matter, Kirara?
context: Power that I can harvest with this Sacred Jewel.\Doesn't sound very hopeful at all.\Shall I tell you something very interesting?\What is it?\The ultimate way to use the Sacred Jewel.\Huh?\Over there!\What's the matter, Kirara? response:	That's!
context: Doesn't sound very hopeful at all.\Shall I tell you something very interesting?\What is it?\The ultimate way to use the Sacred Jewel.\Huh?\Over there!\What's the matter, Kirara?\That's! response:	What is it?!
context: Shall I tell you something very interesting?\What is it?\The ultimate way to use the Sacred Jewel.\Huh?\Over there!\What's the matter, Kirara?\That's!\What is it?! response:	A barrier.
context: What is it?\The ultimate way to use the Sacred Jewel.\Huh?\Over there!\What's the matter, Kirara?\That's!\What is it?!\A barrier. response:	A barrier we put up to prevent demons from entering.
context: The ultimate way to use the Sacred Jewel.\Huh?\Over there!\What's the matter, Kirara?\That's!\What is it?!\A barrier.\A barrier we put up to prevent demons from entering. response:	Is it Tsubaki's doing?
context: Huh?\Over there!\What's the matter, Kirara?\That's!\What is it?!\A barrier.\A barrier we put up to prevent demons from entering.\Is it Tsubaki's doing? response:	I sense the Sacred Jewel beyond this barrier.
context: Over there!\What's the matter, Kirara?\That's!\What is it?!\A barrier.\A barrier we put up to prevent demons from entering.\Is it Tsubaki's doing?\I sense the Sacred Jewel beyond this barrier. response:	Damn! I'll tear apart this stupid barrier!
context: What's the matter, Kirara?\That's!\What is it?!\A barrier.\A barrier we put up to prevent demons from entering.\Is it Tsubaki's doing?\I sense the Sacred Jewel beyond this barrier.\Damn! I'll tear apart this stupid barrier! response:	Oww! What IS this?!
context: That's!\What is it?!\A barrier.\A barrier we put up to prevent demons from entering.\Is it Tsubaki's doing?\I sense the Sacred Jewel beyond this barrier.\Damn! I'll tear apart this stupid barrier!\Oww! What IS this?! response:	Huh?
context: What is it?!\A barrier.\A barrier we put up to prevent demons from entering.\Is it Tsubaki's doing?\I sense the Sacred Jewel beyond this barrier.\Damn! I'll tear apart this stupid barrier!\Oww! What IS this?!\Huh? response:	Hey, this isn't the time to be playing.
