context: I did it! response:	Kaio- sama, what should I do next?
context: How rude!\W- what was that?\It looks like a cricket.\C- cricket?\That's crickediculous!\-Oh, nice one! -You are so disrespectful!\I am Gregory, the one who looks after Kaio- sama.\You dare face the man who stands at the head of all response:	the gods throughout the universe, Kaio- sama...
context: W- what was that?\It looks like a cricket.\C- cricket?\That's crickediculous!\-Oh, nice one! -You are so disrespectful!\I am Gregory, the one who looks after Kaio- sama.\You dare face the man who stands at the head of all\the gods throughout the universe, Kaio- sama... response:	That's crickediculous!
context: It looks like a cricket.\C- cricket?\That's crickediculous!\-Oh, nice one! -You are so disrespectful!\I am Gregory, the one who looks after Kaio- sama.\You dare face the man who stands at the head of all\the gods throughout the universe, Kaio- sama...\That's crickediculous! response:	Ahem... You dare face Kaio- sama, and ask him,
context: C- cricket?\That's crickediculous!\-Oh, nice one! -You are so disrespectful!\I am Gregory, the one who looks after Kaio- sama.\You dare face the man who stands at the head of all\the gods throughout the universe, Kaio- sama...\That's crickediculous!\Ahem... You dare face Kaio- sama, and ask him, response:	Are you sure you're all that strong !?
context: That's crickediculous!\-Oh, nice one! -You are so disrespectful!\I am Gregory, the one who looks after Kaio- sama.\You dare face the man who stands at the head of all\the gods throughout the universe, Kaio- sama...\That's crickediculous!\Ahem... You dare face Kaio- sama, and ask him,\Are you sure you're all that strong !? response:	I can only put up with so much shamelessness from such a whippersnapper!
context: -Oh, nice one! -You are so disrespectful!\I am Gregory, the one who looks after Kaio- sama.\You dare face the man who stands at the head of all\the gods throughout the universe, Kaio- sama...\That's crickediculous!\Ahem... You dare face Kaio- sama, and ask him,\Are you sure you're all that strong !?\I can only put up with so much shamelessness from such a whippersnapper! response:	But I ain't even carrying a whip.
context: I am Gregory, the one who looks after Kaio- sama.\You dare face the man who stands at the head of all\the gods throughout the universe, Kaio- sama...\That's crickediculous!\Ahem... You dare face Kaio- sama, and ask him,\Are you sure you're all that strong !?\I can only put up with so much shamelessness from such a whippersnapper!\But I ain't even carrying a whip. response:	Son Goku, you got off a pretty good one, there!
context: You dare face the man who stands at the head of all\the gods throughout the universe, Kaio- sama...\That's crickediculous!\Ahem... You dare face Kaio- sama, and ask him,\Are you sure you're all that strong !?\I can only put up with so much shamelessness from such a whippersnapper!\But I ain't even carrying a whip.\Son Goku, you got off a pretty good one, there! response:	Kaio- sama, this is no time for you to be laughing.
context: the gods throughout the universe, Kaio- sama...\That's crickediculous!\Ahem... You dare face Kaio- sama, and ask him,\Are you sure you're all that strong !?\I can only put up with so much shamelessness from such a whippersnapper!\But I ain't even carrying a whip.\Son Goku, you got off a pretty good one, there!\Kaio- sama, this is no time for you to be laughing. response:	This works out perfectly, Son Goku.
context: That's crickediculous!\Ahem... You dare face Kaio- sama, and ask him,\Are you sure you're all that strong !?\I can only put up with so much shamelessness from such a whippersnapper!\But I ain't even carrying a whip.\Son Goku, you got off a pretty good one, there!\Kaio- sama, this is no time for you to be laughing.\This works out perfectly, Son Goku. response:	After Bubbles- kun, your next opponent will be Gregory.
context: Ahem... You dare face Kaio- sama, and ask him,\Are you sure you're all that strong !?\I can only put up with so much shamelessness from such a whippersnapper!\But I ain't even carrying a whip.\Son Goku, you got off a pretty good one, there!\Kaio- sama, this is no time for you to be laughing.\This works out perfectly, Son Goku.\After Bubbles- kun, your next opponent will be Gregory. response:	This guy?
context: Are you sure you're all that strong !?\I can only put up with so much shamelessness from such a whippersnapper!\But I ain't even carrying a whip.\Son Goku, you got off a pretty good one, there!\Kaio- sama, this is no time for you to be laughing.\This works out perfectly, Son Goku.\After Bubbles- kun, your next opponent will be Gregory.\This guy? response:	What is that look on your face supposed to mean?
context: I can only put up with so much shamelessness from such a whippersnapper!\But I ain't even carrying a whip.\Son Goku, you got off a pretty good one, there!\Kaio- sama, this is no time for you to be laughing.\This works out perfectly, Son Goku.\After Bubbles- kun, your next opponent will be Gregory.\This guy?\What is that look on your face supposed to mean? response:	But I wanted to get my training directly from you, Kaio- sama.
context: But I ain't even carrying a whip.\Son Goku, you got off a pretty good one, there!\Kaio- sama, this is no time for you to be laughing.\This works out perfectly, Son Goku.\After Bubbles- kun, your next opponent will be Gregory.\This guy?\What is that look on your face supposed to mean?\But I wanted to get my training directly from you, Kaio- sama. response:	Kaio- sama, I am absolutely infuriated!
context: Son Goku, you got off a pretty good one, there!\Kaio- sama, this is no time for you to be laughing.\This works out perfectly, Son Goku.\After Bubbles- kun, your next opponent will be Gregory.\This guy?\What is that look on your face supposed to mean?\But I wanted to get my training directly from you, Kaio- sama.\Kaio- sama, I am absolutely infuriated! response:	If it's okay with you,
context: Kaio- sama, this is no time for you to be laughing.\This works out perfectly, Son Goku.\After Bubbles- kun, your next opponent will be Gregory.\This guy?\What is that look on your face supposed to mean?\But I wanted to get my training directly from you, Kaio- sama.\Kaio- sama, I am absolutely infuriated!\If it's okay with you, response:	I would like to take this disparager down a peg. What do you say?
context: This works out perfectly, Son Goku.\After Bubbles- kun, your next opponent will be Gregory.\This guy?\What is that look on your face supposed to mean?\But I wanted to get my training directly from you, Kaio- sama.\Kaio- sama, I am absolutely infuriated!\If it's okay with you,\I would like to take this disparager down a peg. What do you say? response:	Very well.
context: After Bubbles- kun, your next opponent will be Gregory.\This guy?\What is that look on your face supposed to mean?\But I wanted to get my training directly from you, Kaio- sama.\Kaio- sama, I am absolutely infuriated!\If it's okay with you,\I would like to take this disparager down a peg. What do you say?\Very well. response:	What's that?
context: This guy?\What is that look on your face supposed to mean?\But I wanted to get my training directly from you, Kaio- sama.\Kaio- sama, I am absolutely infuriated!\If it's okay with you,\I would like to take this disparager down a peg. What do you say?\Very well.\What's that? response:	K- Kaio- sama, isn't that a little big?
context: What is that look on your face supposed to mean?\But I wanted to get my training directly from you, Kaio- sama.\Kaio- sama, I am absolutely infuriated!\If it's okay with you,\I would like to take this disparager down a peg. What do you say?\Very well.\What's that?\K- Kaio- sama, isn't that a little big? response:	Son Goku, here...
context: But I wanted to get my training directly from you, Kaio- sama.\Kaio- sama, I am absolutely infuriated!\If it's okay with you,\I would like to take this disparager down a peg. What do you say?\Very well.\What's that?\K- Kaio- sama, isn't that a little big?\Son Goku, here... response:	What do you think? Heavy, right?
context: Kaio- sama, I am absolutely infuriated!\If it's okay with you,\I would like to take this disparager down a peg. What do you say?\Very well.\What's that?\K- Kaio- sama, isn't that a little big?\Son Goku, here...\What do you think? Heavy, right? response:	Your next training exercise will be to take that hammer and swat Gregory with it.
context: If it's okay with you,\I would like to take this disparager down a peg. What do you say?\Very well.\What's that?\K- Kaio- sama, isn't that a little big?\Son Goku, here...\What do you think? Heavy, right?\Your next training exercise will be to take that hammer and swat Gregory with it. response:	With this?
context: I would like to take this disparager down a peg. What do you say?\Very well.\What's that?\K- Kaio- sama, isn't that a little big?\Son Goku, here...\What do you think? Heavy, right?\Your next training exercise will be to take that hammer and swat Gregory with it.\With this? response:	Once you manage to do that, I will begin training you personally.
context: Very well.\What's that?\K- Kaio- sama, isn't that a little big?\Son Goku, here...\What do you think? Heavy, right?\Your next training exercise will be to take that hammer and swat Gregory with it.\With this?\Once you manage to do that, I will begin training you personally. response:	All right, I'll give it a try!
context: What's that?\K- Kaio- sama, isn't that a little big?\Son Goku, here...\What do you think? Heavy, right?\Your next training exercise will be to take that hammer and swat Gregory with it.\With this?\Once you manage to do that, I will begin training you personally.\All right, I'll give it a try! response:	Hmph! You think a pipsqueak like you is going to be able to catch me?
context: K- Kaio- sama, isn't that a little big?\Son Goku, here...\What do you think? Heavy, right?\Your next training exercise will be to take that hammer and swat Gregory with it.\With this?\Once you manage to do that, I will begin training you personally.\All right, I'll give it a try!\Hmph! You think a pipsqueak like you is going to be able to catch me? response:	He's fast!
context: Son Goku, here...\What do you think? Heavy, right?\Your next training exercise will be to take that hammer and swat Gregory with it.\With this?\Once you manage to do that, I will begin training you personally.\All right, I'll give it a try!\Hmph! You think a pipsqueak like you is going to be able to catch me?\He's fast! response:	Dammit!
context: What do you think? Heavy, right?\Your next training exercise will be to take that hammer and swat Gregory with it.\With this?\Once you manage to do that, I will begin training you personally.\All right, I'll give it a try!\Hmph! You think a pipsqueak like you is going to be able to catch me?\He's fast!\Dammit! response:	Looks like this is going to take a while.
context: Your next training exercise will be to take that hammer and swat Gregory with it.\With this?\Once you manage to do that, I will begin training you personally.\All right, I'll give it a try!\Hmph! You think a pipsqueak like you is going to be able to catch me?\He's fast!\Dammit!\Looks like this is going to take a while. response:	Yow-ow-ow-ow... All right, I'll get you this time for sure!
context: With this?\Once you manage to do that, I will begin training you personally.\All right, I'll give it a try!\Hmph! You think a pipsqueak like you is going to be able to catch me?\He's fast!\Dammit!\Looks like this is going to take a while.\Yow-ow-ow-ow... All right, I'll get you this time for sure! response:	That jerk!
context: Once you manage to do that, I will begin training you personally.\All right, I'll give it a try!\Hmph! You think a pipsqueak like you is going to be able to catch me?\He's fast!\Dammit!\Looks like this is going to take a while.\Yow-ow-ow-ow... All right, I'll get you this time for sure!\That jerk! response:	Wait up!
context: All right, I'll give it a try!\Hmph! You think a pipsqueak like you is going to be able to catch me?\He's fast!\Dammit!\Looks like this is going to take a while.\Yow-ow-ow-ow... All right, I'll get you this time for sure!\That jerk!\Wait up! response:	He didn't!
context: Hmph! You think a pipsqueak like you is going to be able to catch me?\He's fast!\Dammit!\Looks like this is going to take a while.\Yow-ow-ow-ow... All right, I'll get you this time for sure!\That jerk!\Wait up!\He didn't! response:	It's a good thing I'm so cheerful...
context: He's fast!\Dammit!\Looks like this is going to take a while.\Yow-ow-ow-ow... All right, I'll get you this time for sure!\That jerk!\Wait up!\He didn't!\It's a good thing I'm so cheerful... response:	Get up, now!
context: Dammit!\Looks like this is going to take a while.\Yow-ow-ow-ow... All right, I'll get you this time for sure!\That jerk!\Wait up!\He didn't!\It's a good thing I'm so cheerful...\Get up, now! response:	Don't get too full of yourself,
context: Looks like this is going to take a while.\Yow-ow-ow-ow... All right, I'll get you this time for sure!\That jerk!\Wait up!\He didn't!\It's a good thing I'm so cheerful...\Get up, now!\Don't get too full of yourself, response:	just because you managed to dodge me once or twice.
context: Yow-ow-ow-ow... All right, I'll get you this time for sure!\That jerk!\Wait up!\He didn't!\It's a good thing I'm so cheerful...\Get up, now!\Don't get too full of yourself,\just because you managed to dodge me once or twice. response:	You're still too soft!
context: That jerk!\Wait up!\He didn't!\It's a good thing I'm so cheerful...\Get up, now!\Don't get too full of yourself,\just because you managed to dodge me once or twice.\You're still too soft! response:	Help me!
context: Wait up!\He didn't!\It's a good thing I'm so cheerful...\Get up, now!\Don't get too full of yourself,\just because you managed to dodge me once or twice.\You're still too soft!\Help me! response:	Come back up here on your own!
context: He didn't!\It's a good thing I'm so cheerful...\Get up, now!\Don't get too full of yourself,\just because you managed to dodge me once or twice.\You're still too soft!\Help me!\Come back up here on your own! response:	Squirrel! Watermelon! Sea gull! Killifish! Monster!
context: It's a good thing I'm so cheerful...\Get up, now!\Don't get too full of yourself,\just because you managed to dodge me once or twice.\You're still too soft!\Help me!\Come back up here on your own!\Squirrel! Watermelon! Sea gull! Killifish! Monster! response:	Cow! White shark! Quince! Apple! Gorilla! Lion!
context: Get up, now!\Don't get too full of yourself,\just because you managed to dodge me once or twice.\You're still too soft!\Help me!\Come back up here on your own!\Squirrel! Watermelon! Sea gull! Killifish! Monster!\Cow! White shark! Quince! Apple! Gorilla! Lion! response:	You say the next one!
context: Don't get too full of yourself,\just because you managed to dodge me once or twice.\You're still too soft!\Help me!\Come back up here on your own!\Squirrel! Watermelon! Sea gull! Killifish! Monster!\Cow! White shark! Quince! Apple! Gorilla! Lion!\You say the next one! response:	Both Ten- san and Yamucha- san have gotten even better!
context: just because you managed to dodge me once or twice.\You're still too soft!\Help me!\Come back up here on your own!\Squirrel! Watermelon! Sea gull! Killifish! Monster!\Cow! White shark! Quince! Apple! Gorilla! Lion!\You say the next one!\Both Ten- san and Yamucha- san have gotten even better! response:	Yajirobe! Take this seriously!
context: You're still too soft!\Help me!\Come back up here on your own!\Squirrel! Watermelon! Sea gull! Killifish! Monster!\Cow! White shark! Quince! Apple! Gorilla! Lion!\You say the next one!\Both Ten- san and Yamucha- san have gotten even better!\Yajirobe! Take this seriously! response:	Eeyow-ow-ow-ow-ow!
context: Help me!\Come back up here on your own!\Squirrel! Watermelon! Sea gull! Killifish! Monster!\Cow! White shark! Quince! Apple! Gorilla! Lion!\You say the next one!\Both Ten- san and Yamucha- san have gotten even better!\Yajirobe! Take this seriously!\Eeyow-ow-ow-ow-ow! response:	T- time out!
context: Come back up here on your own!\Squirrel! Watermelon! Sea gull! Killifish! Monster!\Cow! White shark! Quince! Apple! Gorilla! Lion!\You say the next one!\Both Ten- san and Yamucha- san have gotten even better!\Yajirobe! Take this seriously!\Eeyow-ow-ow-ow-ow!\T- time out! response:	K- Kaio- sama?
context: Squirrel! Watermelon! Sea gull! Killifish! Monster!\Cow! White shark! Quince! Apple! Gorilla! Lion!\You say the next one!\Both Ten- san and Yamucha- san have gotten even better!\Yajirobe! Take this seriously!\Eeyow-ow-ow-ow-ow!\T- time out!\K- Kaio- sama? response:	It's time for supper!
context: Cow! White shark! Quince! Apple! Gorilla! Lion!\You say the next one!\Both Ten- san and Yamucha- san have gotten even better!\Yajirobe! Take this seriously!\Eeyow-ow-ow-ow-ow!\T- time out!\K- Kaio- sama?\It's time for supper! response:	Yahoo!
context: You say the next one!\Both Ten- san and Yamucha- san have gotten even better!\Yajirobe! Take this seriously!\Eeyow-ow-ow-ow-ow!\T- time out!\K- Kaio- sama?\It's time for supper!\Yahoo! response:	You're really something!
context: Both Ten- san and Yamucha- san have gotten even better!\Yajirobe! Take this seriously!\Eeyow-ow-ow-ow-ow!\T- time out!\K- Kaio- sama?\It's time for supper!\Yahoo!\You're really something! response:	Goku, how are you coming along?
context: Yajirobe! Take this seriously!\Eeyow-ow-ow-ow-ow!\T- time out!\K- Kaio- sama?\It's time for supper!\Yahoo!\You're really something!\Goku, how are you coming along? response:	Whew! He's so fast! I've never seen anyone like this dude before!
context: Eeyow-ow-ow-ow-ow!\T- time out!\K- Kaio- sama?\It's time for supper!\Yahoo!\You're really something!\Goku, how are you coming along?\Whew! He's so fast! I've never seen anyone like this dude before! response:	T- this dude ?
context: T- time out!\K- Kaio- sama?\It's time for supper!\Yahoo!\You're really something!\Goku, how are you coming along?\Whew! He's so fast! I've never seen anyone like this dude before!\T- this dude ? response:	You may have conquered the gravity on this planet, but now the problem is your speed.
context: K- Kaio- sama?\It's time for supper!\Yahoo!\You're really something!\Goku, how are you coming along?\Whew! He's so fast! I've never seen anyone like this dude before!\T- this dude ?\You may have conquered the gravity on this planet, but now the problem is your speed. response:	The Saiyans that you have to fight are unbelievably strong.
context: It's time for supper!\Yahoo!\You're really something!\Goku, how are you coming along?\Whew! He's so fast! I've never seen anyone like this dude before!\T- this dude ?\You may have conquered the gravity on this planet, but now the problem is your speed.\The Saiyans that you have to fight are unbelievably strong. response:	Kaio- sama!
context: Yahoo!\You're really something!\Goku, how are you coming along?\Whew! He's so fast! I've never seen anyone like this dude before!\T- this dude ?\You may have conquered the gravity on this planet, but now the problem is your speed.\The Saiyans that you have to fight are unbelievably strong.\Kaio- sama! response:	Do you know about the Saiyans!?
context: You're really something!\Goku, how are you coming along?\Whew! He's so fast! I've never seen anyone like this dude before!\T- this dude ?\You may have conquered the gravity on this planet, but now the problem is your speed.\The Saiyans that you have to fight are unbelievably strong.\Kaio- sama!\Do you know about the Saiyans!? response:	L- listen, you! Kaio- sama stands at the head of all
context: Goku, how are you coming along?\Whew! He's so fast! I've never seen anyone like this dude before!\T- this dude ?\You may have conquered the gravity on this planet, but now the problem is your speed.\The Saiyans that you have to fight are unbelievably strong.\Kaio- sama!\Do you know about the Saiyans!?\L- listen, you! Kaio- sama stands at the head of all response:	the gods throughout the universe-
context: Whew! He's so fast! I've never seen anyone like this dude before!\T- this dude ?\You may have conquered the gravity on this planet, but now the problem is your speed.\The Saiyans that you have to fight are unbelievably strong.\Kaio- sama!\Do you know about the Saiyans!?\L- listen, you! Kaio- sama stands at the head of all\the gods throughout the universe- response:	Gregory, it's all right.
context: T- this dude ?\You may have conquered the gravity on this planet, but now the problem is your speed.\The Saiyans that you have to fight are unbelievably strong.\Kaio- sama!\Do you know about the Saiyans!?\L- listen, you! Kaio- sama stands at the head of all\the gods throughout the universe-\Gregory, it's all right. response:	Son Goku, as I recall, you said something about yourself being a Saiyan too, right?
context: You may have conquered the gravity on this planet, but now the problem is your speed.\The Saiyans that you have to fight are unbelievably strong.\Kaio- sama!\Do you know about the Saiyans!?\L- listen, you! Kaio- sama stands at the head of all\the gods throughout the universe-\Gregory, it's all right.\Son Goku, as I recall, you said something about yourself being a Saiyan too, right? response:	Yeah. But I don't know anything about Saiyans.
context: The Saiyans that you have to fight are unbelievably strong.\Kaio- sama!\Do you know about the Saiyans!?\L- listen, you! Kaio- sama stands at the head of all\the gods throughout the universe-\Gregory, it's all right.\Son Goku, as I recall, you said something about yourself being a Saiyan too, right?\Yeah. But I don't know anything about Saiyans. response:	Apparently, I came to Earth when I was a baby.
context: Kaio- sama!\Do you know about the Saiyans!?\L- listen, you! Kaio- sama stands at the head of all\the gods throughout the universe-\Gregory, it's all right.\Son Goku, as I recall, you said something about yourself being a Saiyan too, right?\Yeah. But I don't know anything about Saiyans.\Apparently, I came to Earth when I was a baby. response:	So that's how it is, huh?
context: Do you know about the Saiyans!?\L- listen, you! Kaio- sama stands at the head of all\the gods throughout the universe-\Gregory, it's all right.\Son Goku, as I recall, you said something about yourself being a Saiyan too, right?\Yeah. But I don't know anything about Saiyans.\Apparently, I came to Earth when I was a baby.\So that's how it is, huh? response:	In that case, let me tell you about the history of the Saiyans.
context: L- listen, you! Kaio- sama stands at the head of all\the gods throughout the universe-\Gregory, it's all right.\Son Goku, as I recall, you said something about yourself being a Saiyan too, right?\Yeah. But I don't know anything about Saiyans.\Apparently, I came to Earth when I was a baby.\So that's how it is, huh?\In that case, let me tell you about the history of the Saiyans. response:	Really?
context: the gods throughout the universe-\Gregory, it's all right.\Son Goku, as I recall, you said something about yourself being a Saiyan too, right?\Yeah. But I don't know anything about Saiyans.\Apparently, I came to Earth when I was a baby.\So that's how it is, huh?\In that case, let me tell you about the history of the Saiyans.\Really? response:	Oh, my, thank you.
context: Gregory, it's all right.\Son Goku, as I recall, you said something about yourself being a Saiyan too, right?\Yeah. But I don't know anything about Saiyans.\Apparently, I came to Earth when I was a baby.\So that's how it is, huh?\In that case, let me tell you about the history of the Saiyans.\Really?\Oh, my, thank you. response:	I'll just plop down here...
context: Son Goku, as I recall, you said something about yourself being a Saiyan too, right?\Yeah. But I don't know anything about Saiyans.\Apparently, I came to Earth when I was a baby.\So that's how it is, huh?\In that case, let me tell you about the history of the Saiyans.\Really?\Oh, my, thank you.\I'll just plop down here... response:	Once upon a time...
context: Yeah. But I don't know anything about Saiyans.\Apparently, I came to Earth when I was a baby.\So that's how it is, huh?\In that case, let me tell you about the history of the Saiyans.\Really?\Oh, my, thank you.\I'll just plop down here...\Once upon a time... response:	There were two races of people who lived on a world named Planet Vegeta.
context: Apparently, I came to Earth when I was a baby.\So that's how it is, huh?\In that case, let me tell you about the history of the Saiyans.\Really?\Oh, my, thank you.\I'll just plop down here...\Once upon a time...\There were two races of people who lived on a world named Planet Vegeta. response:	The Saiyans, who are your forebears, and the Tsufruians.
context: So that's how it is, huh?\In that case, let me tell you about the history of the Saiyans.\Really?\Oh, my, thank you.\I'll just plop down here...\Once upon a time...\There were two races of people who lived on a world named Planet Vegeta.\The Saiyans, who are your forebears, and the Tsufruians. response:	Saiyans and Tsufruians?
context: In that case, let me tell you about the history of the Saiyans.\Really?\Oh, my, thank you.\I'll just plop down here...\Once upon a time...\There were two races of people who lived on a world named Planet Vegeta.\The Saiyans, who are your forebears, and the Tsufruians.\Saiyans and Tsufruians? response:	Planet Vegeta, like my own planet here, had an extremely strong gravity.
context: Really?\Oh, my, thank you.\I'll just plop down here...\Once upon a time...\There were two races of people who lived on a world named Planet Vegeta.\The Saiyans, who are your forebears, and the Tsufruians.\Saiyans and Tsufruians?\Planet Vegeta, like my own planet here, had an extremely strong gravity. response:	As a result, the Tsufruians,
context: Oh, my, thank you.\I'll just plop down here...\Once upon a time...\There were two races of people who lived on a world named Planet Vegeta.\The Saiyans, who are your forebears, and the Tsufruians.\Saiyans and Tsufruians?\Planet Vegeta, like my own planet here, had an extremely strong gravity.\As a result, the Tsufruians, response:	who controlled the larger half of Planet Vegeta,
context: I'll just plop down here...\Once upon a time...\There were two races of people who lived on a world named Planet Vegeta.\The Saiyans, who are your forebears, and the Tsufruians.\Saiyans and Tsufruians?\Planet Vegeta, like my own planet here, had an extremely strong gravity.\As a result, the Tsufruians,\who controlled the larger half of Planet Vegeta, response:	were a race whose bodies were only about half the size of the Saiyans.
context: Once upon a time...\There were two races of people who lived on a world named Planet Vegeta.\The Saiyans, who are your forebears, and the Tsufruians.\Saiyans and Tsufruians?\Planet Vegeta, like my own planet here, had an extremely strong gravity.\As a result, the Tsufruians,\who controlled the larger half of Planet Vegeta,\were a race whose bodies were only about half the size of the Saiyans. response:	However, they had a remarkable,
context: There were two races of people who lived on a world named Planet Vegeta.\The Saiyans, who are your forebears, and the Tsufruians.\Saiyans and Tsufruians?\Planet Vegeta, like my own planet here, had an extremely strong gravity.\As a result, the Tsufruians,\who controlled the larger half of Planet Vegeta,\were a race whose bodies were only about half the size of the Saiyans.\However, they had a remarkable, response:	comparatively advanced level of civilization.
context: The Saiyans, who are your forebears, and the Tsufruians.\Saiyans and Tsufruians?\Planet Vegeta, like my own planet here, had an extremely strong gravity.\As a result, the Tsufruians,\who controlled the larger half of Planet Vegeta,\were a race whose bodies were only about half the size of the Saiyans.\However, they had a remarkable,\comparatively advanced level of civilization. response:	On the other hand, the Saiyans were a race that was very few in numbers,
context: Saiyans and Tsufruians?\Planet Vegeta, like my own planet here, had an extremely strong gravity.\As a result, the Tsufruians,\who controlled the larger half of Planet Vegeta,\were a race whose bodies were only about half the size of the Saiyans.\However, they had a remarkable,\comparatively advanced level of civilization.\On the other hand, the Saiyans were a race that was very few in numbers, response:	but their bodies were bigger, not to mention stronger,
context: Planet Vegeta, like my own planet here, had an extremely strong gravity.\As a result, the Tsufruians,\who controlled the larger half of Planet Vegeta,\were a race whose bodies were only about half the size of the Saiyans.\However, they had a remarkable,\comparatively advanced level of civilization.\On the other hand, the Saiyans were a race that was very few in numbers,\but their bodies were bigger, not to mention stronger, response:	and they were an aggressive, primitive race.
context: As a result, the Tsufruians,\who controlled the larger half of Planet Vegeta,\were a race whose bodies were only about half the size of the Saiyans.\However, they had a remarkable,\comparatively advanced level of civilization.\On the other hand, the Saiyans were a race that was very few in numbers,\but their bodies were bigger, not to mention stronger,\and they were an aggressive, primitive race. response:	The tails the Saiyans had were their greatest distinguishing characteristic.
context: who controlled the larger half of Planet Vegeta,\were a race whose bodies were only about half the size of the Saiyans.\However, they had a remarkable,\comparatively advanced level of civilization.\On the other hand, the Saiyans were a race that was very few in numbers,\but their bodies were bigger, not to mention stronger,\and they were an aggressive, primitive race.\The tails the Saiyans had were their greatest distinguishing characteristic. response:	They were all warrior-like people, as it were.
