context: Huh? Where'd I put my pass? response:	Ah, here it is.
context: But Mizu-chin's here, too...\Now that I started thinking about this, it's suddenly become hard to talk...\Um, hey...\Y-Yeah?\Ah, sorry. Phone call for me.\It's from my house.\Yes?\Masa? response:	Mom was hoping you could make some deliveries that were just ordered.
context: Now that I started thinking about this, it's suddenly become hard to talk...\Um, hey...\Y-Yeah?\Ah, sorry. Phone call for me.\It's from my house.\Yes?\Masa?\Mom was hoping you could make some deliveries that were just ordered. response:	Ah... yeah. I'll take care of them when I get home.
context: Um, hey...\Y-Yeah?\Ah, sorry. Phone call for me.\It's from my house.\Yes?\Masa?\Mom was hoping you could make some deliveries that were just ordered.\Ah... yeah. I'll take care of them when I get home. response:	And when will that be?
context: Y-Yeah?\Ah, sorry. Phone call for me.\It's from my house.\Yes?\Masa?\Mom was hoping you could make some deliveries that were just ordered.\Ah... yeah. I'll take care of them when I get home.\And when will that be? response:	Dunno. In a bit.
context: Ah, sorry. Phone call for me.\It's from my house.\Yes?\Masa?\Mom was hoping you could make some deliveries that were just ordered.\Ah... yeah. I'll take care of them when I get home.\And when will that be?\Dunno. In a bit. response:	When exactly is in a bit? We're in kind of a hurry here.
context: It's from my house.\Yes?\Masa?\Mom was hoping you could make some deliveries that were just ordered.\Ah... yeah. I'll take care of them when I get home.\And when will that be?\Dunno. In a bit.\When exactly is in a bit? We're in kind of a hurry here. response:	Soon, soon. I'll be there.
context: Yes?\Masa?\Mom was hoping you could make some deliveries that were just ordered.\Ah... yeah. I'll take care of them when I get home.\And when will that be?\Dunno. In a bit.\When exactly is in a bit? We're in kind of a hurry here.\Soon, soon. I'll be there. response:	He's so persistent...
context: Masa?\Mom was hoping you could make some deliveries that were just ordered.\Ah... yeah. I'll take care of them when I get home.\And when will that be?\Dunno. In a bit.\When exactly is in a bit? We're in kind of a hurry here.\Soon, soon. I'll be there.\He's so persistent... response:	By the way, where are you now?
context: Mom was hoping you could make some deliveries that were just ordered.\Ah... yeah. I'll take care of them when I get home.\And when will that be?\Dunno. In a bit.\When exactly is in a bit? We're in kind of a hurry here.\Soon, soon. I'll be there.\He's so persistent...\By the way, where are you now? response:	Oh? He hung up on me.
context: Ah... yeah. I'll take care of them when I get home.\And when will that be?\Dunno. In a bit.\When exactly is in a bit? We're in kind of a hurry here.\Soon, soon. I'll be there.\He's so persistent...\By the way, where are you now?\Oh? He hung up on me. response:	That boy's really smart... unexpectedly.
context: And when will that be?\Dunno. In a bit.\When exactly is in a bit? We're in kind of a hurry here.\Soon, soon. I'll be there.\He's so persistent...\By the way, where are you now?\Oh? He hung up on me.\That boy's really smart... unexpectedly. response:	He must take after me.
context: Dunno. In a bit.\When exactly is in a bit? We're in kind of a hurry here.\Soon, soon. I'll be there.\He's so persistent...\By the way, where are you now?\Oh? He hung up on me.\That boy's really smart... unexpectedly.\He must take after me. response:	Damn it. Where the hell did he go?
context: When exactly is in a bit? We're in kind of a hurry here.\Soon, soon. I'll be there.\He's so persistent...\By the way, where are you now?\Oh? He hung up on me.\That boy's really smart... unexpectedly.\He must take after me.\Damn it. Where the hell did he go? response:	Let me say that I've never even touched any of his girlfriends.
context: Soon, soon. I'll be there.\He's so persistent...\By the way, where are you now?\Oh? He hung up on me.\That boy's really smart... unexpectedly.\He must take after me.\Damn it. Where the hell did he go?\Let me say that I've never even touched any of his girlfriends. response:	So, what's up with this?!
context: He's so persistent...\By the way, where are you now?\Oh? He hung up on me.\That boy's really smart... unexpectedly.\He must take after me.\Damn it. Where the hell did he go?\Let me say that I've never even touched any of his girlfriends.\So, what's up with this?! response:	Takeuchi might've learned that it's more fair to outwit someone in a fight...
context: By the way, where are you now?\Oh? He hung up on me.\That boy's really smart... unexpectedly.\He must take after me.\Damn it. Where the hell did he go?\Let me say that I've never even touched any of his girlfriends.\So, what's up with this?!\Takeuchi might've learned that it's more fair to outwit someone in a fight... response:	Shut up! Takahashi's my girl!
context: Oh? He hung up on me.\That boy's really smart... unexpectedly.\He must take after me.\Damn it. Where the hell did he go?\Let me say that I've never even touched any of his girlfriends.\So, what's up with this?!\Takeuchi might've learned that it's more fair to outwit someone in a fight...\Shut up! Takahashi's my girl! response:	Though she dumped me...
context: That boy's really smart... unexpectedly.\He must take after me.\Damn it. Where the hell did he go?\Let me say that I've never even touched any of his girlfriends.\So, what's up with this?!\Takeuchi might've learned that it's more fair to outwit someone in a fight...\Shut up! Takahashi's my girl!\Though she dumped me... response:	Poor you.
context: He must take after me.\Damn it. Where the hell did he go?\Let me say that I've never even touched any of his girlfriends.\So, what's up with this?!\Takeuchi might've learned that it's more fair to outwit someone in a fight...\Shut up! Takahashi's my girl!\Though she dumped me...\Poor you. response:	You worked up quite a sweat running here, didn't you?
context: Damn it. Where the hell did he go?\Let me say that I've never even touched any of his girlfriends.\So, what's up with this?!\Takeuchi might've learned that it's more fair to outwit someone in a fight...\Shut up! Takahashi's my girl!\Though she dumped me...\Poor you.\You worked up quite a sweat running here, didn't you? response:	You didn't even consider your best friend betraying you, huh?
context: Let me say that I've never even touched any of his girlfriends.\So, what's up with this?!\Takeuchi might've learned that it's more fair to outwit someone in a fight...\Shut up! Takahashi's my girl!\Though she dumped me...\Poor you.\You worked up quite a sweat running here, didn't you?\You didn't even consider your best friend betraying you, huh? response:	Should I teach you some points to assure certain victory in love?
context: So, what's up with this?!\Takeuchi might've learned that it's more fair to outwit someone in a fight...\Shut up! Takahashi's my girl!\Though she dumped me...\Poor you.\You worked up quite a sweat running here, didn't you?\You didn't even consider your best friend betraying you, huh?\Should I teach you some points to assure certain victory in love? response:	One. Pick the right partner.
context: Takeuchi might've learned that it's more fair to outwit someone in a fight...\Shut up! Takahashi's my girl!\Though she dumped me...\Poor you.\You worked up quite a sweat running here, didn't you?\You didn't even consider your best friend betraying you, huh?\Should I teach you some points to assure certain victory in love?\One. Pick the right partner. response:	Two. Be honest.
context: Shut up! Takahashi's my girl!\Though she dumped me...\Poor you.\You worked up quite a sweat running here, didn't you?\You didn't even consider your best friend betraying you, huh?\Should I teach you some points to assure certain victory in love?\One. Pick the right partner.\Two. Be honest. response:	If you try to skip one or the other, it won't work at out all.
context: Though she dumped me...\Poor you.\You worked up quite a sweat running here, didn't you?\You didn't even consider your best friend betraying you, huh?\Should I teach you some points to assure certain victory in love?\One. Pick the right partner.\Two. Be honest.\If you try to skip one or the other, it won't work at out all. response:	Who's the right partner?
context: Poor you.\You worked up quite a sweat running here, didn't you?\You didn't even consider your best friend betraying you, huh?\Should I teach you some points to assure certain victory in love?\One. Pick the right partner.\Two. Be honest.\If you try to skip one or the other, it won't work at out all.\Who's the right partner? response:	Isn't loving someone good enough?
context: You worked up quite a sweat running here, didn't you?\You didn't even consider your best friend betraying you, huh?\Should I teach you some points to assure certain victory in love?\One. Pick the right partner.\Two. Be honest.\If you try to skip one or the other, it won't work at out all.\Who's the right partner?\Isn't loving someone good enough? response:	In the end, people can only be together with the one they're fated to be with.
context: You didn't even consider your best friend betraying you, huh?\Should I teach you some points to assure certain victory in love?\One. Pick the right partner.\Two. Be honest.\If you try to skip one or the other, it won't work at out all.\Who's the right partner?\Isn't loving someone good enough?\In the end, people can only be together with the one they're fated to be with. response:	Whatever. If fate isn't involved, then I'll just make my own.
context: Should I teach you some points to assure certain victory in love?\One. Pick the right partner.\Two. Be honest.\If you try to skip one or the other, it won't work at out all.\Who's the right partner?\Isn't loving someone good enough?\In the end, people can only be together with the one they're fated to be with.\Whatever. If fate isn't involved, then I'll just make my own. response:	You're pretty confident.
context: One. Pick the right partner.\Two. Be honest.\If you try to skip one or the other, it won't work at out all.\Who's the right partner?\Isn't loving someone good enough?\In the end, people can only be together with the one they're fated to be with.\Whatever. If fate isn't involved, then I'll just make my own.\You're pretty confident. response:	Screw that.
context: Two. Be honest.\If you try to skip one or the other, it won't work at out all.\Who's the right partner?\Isn't loving someone good enough?\In the end, people can only be together with the one they're fated to be with.\Whatever. If fate isn't involved, then I'll just make my own.\You're pretty confident.\Screw that. response:	But... when you fall in love with someone, I want to believe that it's because of fate.
context: If you try to skip one or the other, it won't work at out all.\Who's the right partner?\Isn't loving someone good enough?\In the end, people can only be together with the one they're fated to be with.\Whatever. If fate isn't involved, then I'll just make my own.\You're pretty confident.\Screw that.\But... when you fall in love with someone, I want to believe that it's because of fate. response:	Go ahead and laugh.
context: Who's the right partner?\Isn't loving someone good enough?\In the end, people can only be together with the one they're fated to be with.\Whatever. If fate isn't involved, then I'll just make my own.\You're pretty confident.\Screw that.\But... when you fall in love with someone, I want to believe that it's because of fate.\Go ahead and laugh. response:	Then you're just lacking the honesty.
context: Isn't loving someone good enough?\In the end, people can only be together with the one they're fated to be with.\Whatever. If fate isn't involved, then I'll just make my own.\You're pretty confident.\Screw that.\But... when you fall in love with someone, I want to believe that it's because of fate.\Go ahead and laugh.\Then you're just lacking the honesty. response:	I'll tell you another good thing.
context: In the end, people can only be together with the one they're fated to be with.\Whatever. If fate isn't involved, then I'll just make my own.\You're pretty confident.\Screw that.\But... when you fall in love with someone, I want to believe that it's because of fate.\Go ahead and laugh.\Then you're just lacking the honesty.\I'll tell you another good thing. response:	From what I can remember, they took the puppies and made a right in that direction.
context: Whatever. If fate isn't involved, then I'll just make my own.\You're pretty confident.\Screw that.\But... when you fall in love with someone, I want to believe that it's because of fate.\Go ahead and laugh.\Then you're just lacking the honesty.\I'll tell you another good thing.\From what I can remember, they took the puppies and made a right in that direction. response:	They're probably at the park near the supermarket.
context: You're pretty confident.\Screw that.\But... when you fall in love with someone, I want to believe that it's because of fate.\Go ahead and laugh.\Then you're just lacking the honesty.\I'll tell you another good thing.\From what I can remember, they took the puppies and made a right in that direction.\They're probably at the park near the supermarket. response:	Ayaka, they didn't take a right. They took a left didn't they?
