context: What about these? response:	Miuna, those are weeds.
context: Oh, henbits!\Should I really be helping Aka-chan get ready to be married?\Well, it looks like hibernation is totally out of the question.\But I guess it can't be helped.\What's wrong?\I'm a bad person.\Huh?\I want Hikari to be saved, too... response:	But for some reason, I didn't want him to go hibernate.
context: Should I really be helping Aka-chan get ready to be married?\Well, it looks like hibernation is totally out of the question.\But I guess it can't be helped.\What's wrong?\I'm a bad person.\Huh?\I want Hikari to be saved, too...\But for some reason, I didn't want him to go hibernate. response:	And actually, I don't actually want to be apart from Aka-chan either...
context: Well, it looks like hibernation is totally out of the question.\But I guess it can't be helped.\What's wrong?\I'm a bad person.\Huh?\I want Hikari to be saved, too...\But for some reason, I didn't want him to go hibernate.\And actually, I don't actually want to be apart from Aka-chan either... response:	And yet...
context: But I guess it can't be helped.\What's wrong?\I'm a bad person.\Huh?\I want Hikari to be saved, too...\But for some reason, I didn't want him to go hibernate.\And actually, I don't actually want to be apart from Aka-chan either...\And yet... response:	So you don't want to be apart from Hikari?
context: What's wrong?\I'm a bad person.\Huh?\I want Hikari to be saved, too...\But for some reason, I didn't want him to go hibernate.\And actually, I don't actually want to be apart from Aka-chan either...\And yet...\So you don't want to be apart from Hikari? response:	Does that make me a bad person?
context: I'm a bad person.\Huh?\I want Hikari to be saved, too...\But for some reason, I didn't want him to go hibernate.\And actually, I don't actually want to be apart from Aka-chan either...\And yet...\So you don't want to be apart from Hikari?\Does that make me a bad person? response:	I don't want...
context: Huh?\I want Hikari to be saved, too...\But for some reason, I didn't want him to go hibernate.\And actually, I don't actually want to be apart from Aka-chan either...\And yet...\So you don't want to be apart from Hikari?\Does that make me a bad person?\I don't want... response:	Kaname...
context: I want Hikari to be saved, too...\But for some reason, I didn't want him to go hibernate.\And actually, I don't actually want to be apart from Aka-chan either...\And yet...\So you don't want to be apart from Hikari?\Does that make me a bad person?\I don't want...\Kaname... response:	I don't to be apart from him either!
context: But for some reason, I didn't want him to go hibernate.\And actually, I don't actually want to be apart from Aka-chan either...\And yet...\So you don't want to be apart from Hikari?\Does that make me a bad person?\I don't want...\Kaname...\I don't to be apart from him either! response:	I'm totally evil.
context: And actually, I don't actually want to be apart from Aka-chan either...\And yet...\So you don't want to be apart from Hikari?\Does that make me a bad person?\I don't want...\Kaname...\I don't to be apart from him either!\I'm totally evil. response:	You're not evil!
context: And yet...\So you don't want to be apart from Hikari?\Does that make me a bad person?\I don't want...\Kaname...\I don't to be apart from him either!\I'm totally evil.\You're not evil! response:	I'm
context: So you don't want to be apart from Hikari?\Does that make me a bad person?\I don't want...\Kaname...\I don't to be apart from him either!\I'm totally evil.\You're not evil!\I'm response:	Nope!
context: Does that make me a bad person?\I don't want...\Kaname...\I don't to be apart from him either!\I'm totally evil.\You're not evil!\I'm\Nope! response:	I'd never lose to you! I'm totally more evil!
context: I don't want...\Kaname...\I don't to be apart from him either!\I'm totally evil.\You're not evil!\I'm\Nope!\I'd never lose to you! I'm totally more evil! response:	So you're Miuna-san...
context: Kaname...\I don't to be apart from him either!\I'm totally evil.\You're not evil!\I'm\Nope!\I'd never lose to you! I'm totally more evil!\So you're Miuna-san... response:	A pervert!
context: I don't to be apart from him either!\I'm totally evil.\You're not evil!\I'm\Nope!\I'd never lose to you! I'm totally more evil!\So you're Miuna-san...\A pervert! response:	Huh?
context: I'm totally evil.\You're not evil!\I'm\Nope!\I'd never lose to you! I'm totally more evil!\So you're Miuna-san...\A pervert!\Huh? response:	Miuna! Make him eat the flowers!
context: You're not evil!\I'm\Nope!\I'd never lose to you! I'm totally more evil!\So you're Miuna-san...\A pervert!\Huh?\Miuna! Make him eat the flowers! response:	Take that!
context: I'm\Nope!\I'd never lose to you! I'm totally more evil!\So you're Miuna-san...\A pervert!\Huh?\Miuna! Make him eat the flowers!\Take that! response:	Episode Twelve: I Want to be Kind
context: Nope!\I'd never lose to you! I'm totally more evil!\So you're Miuna-san...\A pervert!\Huh?\Miuna! Make him eat the flowers!\Take that!\Episode Twelve: I Want to be Kind response:	We're so sorry!
context: I'd never lose to you! I'm totally more evil!\So you're Miuna-san...\A pervert!\Huh?\Miuna! Make him eat the flowers!\Take that!\Episode Twelve: I Want to be Kind\We're so sorry! response:	Ahem.
context: So you're Miuna-san...\A pervert!\Huh?\Miuna! Make him eat the flowers!\Take that!\Episode Twelve: I Want to be Kind\We're so sorry!\Ahem. response:	I had no idea you were Aka-chan and Hikari's dad...
context: A pervert!\Huh?\Miuna! Make him eat the flowers!\Take that!\Episode Twelve: I Want to be Kind\We're so sorry!\Ahem.\I had no idea you were Aka-chan and Hikari's dad... response:	Well, your fingers are super hairy and you had a pervy aura so...
context: Huh?\Miuna! Make him eat the flowers!\Take that!\Episode Twelve: I Want to be Kind\We're so sorry!\Ahem.\I had no idea you were Aka-chan and Hikari's dad...\Well, your fingers are super hairy and you had a pervy aura so... response:	Oh, I'm sorry!
context: Miuna! Make him eat the flowers!\Take that!\Episode Twelve: I Want to be Kind\We're so sorry!\Ahem.\I had no idea you were Aka-chan and Hikari's dad...\Well, your fingers are super hairy and you had a pervy aura so...\Oh, I'm sorry! response:	No...
context: Take that!\Episode Twelve: I Want to be Kind\We're so sorry!\Ahem.\I had no idea you were Aka-chan and Hikari's dad...\Well, your fingers are super hairy and you had a pervy aura so...\Oh, I'm sorry!\No... response:	Don't worry about it.
context: Episode Twelve: I Want to be Kind\We're so sorry!\Ahem.\I had no idea you were Aka-chan and Hikari's dad...\Well, your fingers are super hairy and you had a pervy aura so...\Oh, I'm sorry!\No...\Don't worry about it. response:	Please!
context: We're so sorry!\Ahem.\I had no idea you were Aka-chan and Hikari's dad...\Well, your fingers are super hairy and you had a pervy aura so...\Oh, I'm sorry!\No...\Don't worry about it.\Please! response:	Huh?
context: Ahem.\I had no idea you were Aka-chan and Hikari's dad...\Well, your fingers are super hairy and you had a pervy aura so...\Oh, I'm sorry!\No...\Don't worry about it.\Please!\Huh? response:	Could you tell...
context: I had no idea you were Aka-chan and Hikari's dad...\Well, your fingers are super hairy and you had a pervy aura so...\Oh, I'm sorry!\No...\Don't worry about it.\Please!\Huh?\Could you tell... response:	Aka-chan and Hikari to go sleep in the sea?
context: Well, your fingers are super hairy and you had a pervy aura so...\Oh, I'm sorry!\No...\Don't worry about it.\Please!\Huh?\Could you tell...\Aka-chan and Hikari to go sleep in the sea? response:	So virtuous! Good girl, Miuna!
context: Oh, I'm sorry!\No...\Don't worry about it.\Please!\Huh?\Could you tell...\Aka-chan and Hikari to go sleep in the sea?\So virtuous! Good girl, Miuna! response:	Please!
context: No...\Don't worry about it.\Please!\Huh?\Could you tell...\Aka-chan and Hikari to go sleep in the sea?\So virtuous! Good girl, Miuna!\Please! response:	No one knows what will happen even if we do hibernate.
context: Don't worry about it.\Please!\Huh?\Could you tell...\Aka-chan and Hikari to go sleep in the sea?\So virtuous! Good girl, Miuna!\Please!\No one knows what will happen even if we do hibernate. response:	Huh?
context: Please!\Huh?\Could you tell...\Aka-chan and Hikari to go sleep in the sea?\So virtuous! Good girl, Miuna!\Please!\No one knows what will happen even if we do hibernate.\Huh? response:	The threat to the surface is still far off into the future.
context: Huh?\Could you tell...\Aka-chan and Hikari to go sleep in the sea?\So virtuous! Good girl, Miuna!\Please!\No one knows what will happen even if we do hibernate.\Huh?\The threat to the surface is still far off into the future. response:	Therefore, both Akari and Hikari might be happier living on the surface.
context: Could you tell...\Aka-chan and Hikari to go sleep in the sea?\So virtuous! Good girl, Miuna!\Please!\No one knows what will happen even if we do hibernate.\Huh?\The threat to the surface is still far off into the future.\Therefore, both Akari and Hikari might be happier living on the surface. response:	Now that you mention it...
context: Aka-chan and Hikari to go sleep in the sea?\So virtuous! Good girl, Miuna!\Please!\No one knows what will happen even if we do hibernate.\Huh?\The threat to the surface is still far off into the future.\Therefore, both Akari and Hikari might be happier living on the surface.\Now that you mention it... response:	Yeah... Yeah!
context: So virtuous! Good girl, Miuna!\Please!\No one knows what will happen even if we do hibernate.\Huh?\The threat to the surface is still far off into the future.\Therefore, both Akari and Hikari might be happier living on the surface.\Now that you mention it...\Yeah... Yeah! response:	Yeah!
context: Please!\No one knows what will happen even if we do hibernate.\Huh?\The threat to the surface is still far off into the future.\Therefore, both Akari and Hikari might be happier living on the surface.\Now that you mention it...\Yeah... Yeah!\Yeah! response:	Thank you, Mister!
context: No one knows what will happen even if we do hibernate.\Huh?\The threat to the surface is still far off into the future.\Therefore, both Akari and Hikari might be happier living on the surface.\Now that you mention it...\Yeah... Yeah!\Yeah!\Thank you, Mister! response:	Wrong.
context: Huh?\The threat to the surface is still far off into the future.\Therefore, both Akari and Hikari might be happier living on the surface.\Now that you mention it...\Yeah... Yeah!\Yeah!\Thank you, Mister!\Wrong. response:	Aka-chan's going to be your mom.
context: The threat to the surface is still far off into the future.\Therefore, both Akari and Hikari might be happier living on the surface.\Now that you mention it...\Yeah... Yeah!\Yeah!\Thank you, Mister!\Wrong.\Aka-chan's going to be your mom. response:	Oh, right. Um...
context: Therefore, both Akari and Hikari might be happier living on the surface.\Now that you mention it...\Yeah... Yeah!\Yeah!\Thank you, Mister!\Wrong.\Aka-chan's going to be your mom.\Oh, right. Um... response:	Thank you, Grandpa.
context: Now that you mention it...\Yeah... Yeah!\Yeah!\Thank you, Mister!\Wrong.\Aka-chan's going to be your mom.\Oh, right. Um...\Thank you, Grandpa. response:	Huh?
context: Yeah... Yeah!\Yeah!\Thank you, Mister!\Wrong.\Aka-chan's going to be your mom.\Oh, right. Um...\Thank you, Grandpa.\Huh? response:	I think Hikari and the others should be out of school soon.
context: Yeah!\Thank you, Mister!\Wrong.\Aka-chan's going to be your mom.\Oh, right. Um...\Thank you, Grandpa.\Huh?\I think Hikari and the others should be out of school soon. response:	Yeah.
context: Thank you, Mister!\Wrong.\Aka-chan's going to be your mom.\Oh, right. Um...\Thank you, Grandpa.\Huh?\I think Hikari and the others should be out of school soon.\Yeah. response:	Please excuse us.
context: Wrong.\Aka-chan's going to be your mom.\Oh, right. Um...\Thank you, Grandpa.\Huh?\I think Hikari and the others should be out of school soon.\Yeah.\Please excuse us. response:	Please excuse us.
context: Aka-chan's going to be your mom.\Oh, right. Um...\Thank you, Grandpa.\Huh?\I think Hikari and the others should be out of school soon.\Yeah.\Please excuse us.\Please excuse us. response:	Hey, wait up!
context: Oh, right. Um...\Thank you, Grandpa.\Huh?\I think Hikari and the others should be out of school soon.\Yeah.\Please excuse us.\Please excuse us.\Hey, wait up! response:	Grandpa...
context: Thank you, Grandpa.\Huh?\I think Hikari and the others should be out of school soon.\Yeah.\Please excuse us.\Please excuse us.\Hey, wait up!\Grandpa... response:	Hikari, where are we meeting up today?
context: Huh?\I think Hikari and the others should be out of school soon.\Yeah.\Please excuse us.\Please excuse us.\Hey, wait up!\Grandpa...\Hikari, where are we meeting up today? response:	The Fishery Cooperative.
context: I think Hikari and the others should be out of school soon.\Yeah.\Please excuse us.\Please excuse us.\Hey, wait up!\Grandpa...\Hikari, where are we meeting up today?\The Fishery Cooperative. response:	Got it! Go ahead without me.
context: Yeah.\Please excuse us.\Please excuse us.\Hey, wait up!\Grandpa...\Hikari, where are we meeting up today?\The Fishery Cooperative.\Got it! Go ahead without me. response:	Where's Tsumugu?
context: Please excuse us.\Please excuse us.\Hey, wait up!\Grandpa...\Hikari, where are we meeting up today?\The Fishery Cooperative.\Got it! Go ahead without me.\Where's Tsumugu? response:	Yeah, I'm having him go with the wardrobe crew.
context: Please excuse us.\Hey, wait up!\Grandpa...\Hikari, where are we meeting up today?\The Fishery Cooperative.\Got it! Go ahead without me.\Where's Tsumugu?\Yeah, I'm having him go with the wardrobe crew. response:	So with Chisaki and Manaka?
context: Hey, wait up!\Grandpa...\Hikari, where are we meeting up today?\The Fishery Cooperative.\Got it! Go ahead without me.\Where's Tsumugu?\Yeah, I'm having him go with the wardrobe crew.\So with Chisaki and Manaka? response:	It's a little nerve-racking to have those two go on the train into the city alone.
context: Grandpa...\Hikari, where are we meeting up today?\The Fishery Cooperative.\Got it! Go ahead without me.\Where's Tsumugu?\Yeah, I'm having him go with the wardrobe crew.\So with Chisaki and Manaka?\It's a little nerve-racking to have those two go on the train into the city alone. response:	Thrift Store
context: Hikari, where are we meeting up today?\The Fishery Cooperative.\Got it! Go ahead without me.\Where's Tsumugu?\Yeah, I'm having him go with the wardrobe crew.\So with Chisaki and Manaka?\It's a little nerve-racking to have those two go on the train into the city alone.\Thrift Store response:	Oh, this might be good.
context: The Fishery Cooperative.\Got it! Go ahead without me.\Where's Tsumugu?\Yeah, I'm having him go with the wardrobe crew.\So with Chisaki and Manaka?\It's a little nerve-racking to have those two go on the train into the city alone.\Thrift Store\Oh, this might be good. response:	That's a little out of our budget.
context: Got it! Go ahead without me.\Where's Tsumugu?\Yeah, I'm having him go with the wardrobe crew.\So with Chisaki and Manaka?\It's a little nerve-racking to have those two go on the train into the city alone.\Thrift Store\Oh, this might be good.\That's a little out of our budget. response:	Then...
context: Where's Tsumugu?\Yeah, I'm having him go with the wardrobe crew.\So with Chisaki and Manaka?\It's a little nerve-racking to have those two go on the train into the city alone.\Thrift Store\Oh, this might be good.\That's a little out of our budget.\Then... response:	How about this?
context: Yeah, I'm having him go with the wardrobe crew.\So with Chisaki and Manaka?\It's a little nerve-racking to have those two go on the train into the city alone.\Thrift Store\Oh, this might be good.\That's a little out of our budget.\Then...\How about this? response:	I think the spot on that is a bit too big...
context: So with Chisaki and Manaka?\It's a little nerve-racking to have those two go on the train into the city alone.\Thrift Store\Oh, this might be good.\That's a little out of our budget.\Then...\How about this?\I think the spot on that is a bit too big... response:	Are you from the sea by chance?
context: It's a little nerve-racking to have those two go on the train into the city alone.\Thrift Store\Oh, this might be good.\That's a little out of our budget.\Then...\How about this?\I think the spot on that is a bit too big...\Are you from the sea by chance? response:	Oh, yes.
context: Thrift Store\Oh, this might be good.\That's a little out of our budget.\Then...\How about this?\I think the spot on that is a bit too big...\Are you from the sea by chance?\Oh, yes. response:	Hey, if you're looking for a kimono,
context: Oh, this might be good.\That's a little out of our budget.\Then...\How about this?\I think the spot on that is a bit too big...\Are you from the sea by chance?\Oh, yes.\Hey, if you're looking for a kimono, response:	how about this?
context: That's a little out of our budget.\Then...\How about this?\I think the spot on that is a bit too big...\Are you from the sea by chance?\Oh, yes.\Hey, if you're looking for a kimono,\how about this? response:	That's rather dull.
context: Then...\How about this?\I think the spot on that is a bit too big...\Are you from the sea by chance?\Oh, yes.\Hey, if you're looking for a kimono,\how about this?\That's rather dull. response:	T-Tsumugu-kun!
context: How about this?\I think the spot on that is a bit too big...\Are you from the sea by chance?\Oh, yes.\Hey, if you're looking for a kimono,\how about this?\That's rather dull.\T-Tsumugu-kun! response:	Right?
context: I think the spot on that is a bit too big...\Are you from the sea by chance?\Oh, yes.\Hey, if you're looking for a kimono,\how about this?\That's rather dull.\T-Tsumugu-kun!\Right? response:	But...
context: Are you from the sea by chance?\Oh, yes.\Hey, if you're looking for a kimono,\how about this?\That's rather dull.\T-Tsumugu-kun!\Right?\But... response:	Look.
context: Oh, yes.\Hey, if you're looking for a kimono,\how about this?\That's rather dull.\T-Tsumugu-kun!\Right?\But...\Look. response:	Oh!
context: Hey, if you're looking for a kimono,\how about this?\That's rather dull.\T-Tsumugu-kun!\Right?\But...\Look.\Oh! response:	It's so pretty!
context: how about this?\That's rather dull.\T-Tsumugu-kun!\Right?\But...\Look.\Oh!\It's so pretty! response:	It's just like I heard.
context: That's rather dull.\T-Tsumugu-kun!\Right?\But...\Look.\Oh!\It's so pretty!\It's just like I heard. response:	This was sold to us by a lady who lived in the sea.
context: T-Tsumugu-kun!\Right?\But...\Look.\Oh!\It's so pretty!\It's just like I heard.\This was sold to us by a lady who lived in the sea. response:	It's apparently made to reflect Ena's shine.
context: Right?\But...\Look.\Oh!\It's so pretty!\It's just like I heard.\This was sold to us by a lady who lived in the sea.\It's apparently made to reflect Ena's shine. response:	I'll sell it to you cheap.
context: But...\Look.\Oh!\It's so pretty!\It's just like I heard.\This was sold to us by a lady who lived in the sea.\It's apparently made to reflect Ena's shine.\I'll sell it to you cheap. response:	Thank goodness we were able to get a nice one.
context: Look.\Oh!\It's so pretty!\It's just like I heard.\This was sold to us by a lady who lived in the sea.\It's apparently made to reflect Ena's shine.\I'll sell it to you cheap.\Thank goodness we were able to get a nice one. response:	I know.
context: Oh!\It's so pretty!\It's just like I heard.\This was sold to us by a lady who lived in the sea.\It's apparently made to reflect Ena's shine.\I'll sell it to you cheap.\Thank goodness we were able to get a nice one.\I know. response:	The hem is a little short, so I'll have to fix that later.
context: It's so pretty!\It's just like I heard.\This was sold to us by a lady who lived in the sea.\It's apparently made to reflect Ena's shine.\I'll sell it to you cheap.\Thank goodness we were able to get a nice one.\I know.\The hem is a little short, so I'll have to fix that later. response:	Hey...
context: It's just like I heard.\This was sold to us by a lady who lived in the sea.\It's apparently made to reflect Ena's shine.\I'll sell it to you cheap.\Thank goodness we were able to get a nice one.\I know.\The hem is a little short, so I'll have to fix that later.\Hey... response:	Will you guys come with me for a bit?
context: This was sold to us by a lady who lived in the sea.\It's apparently made to reflect Ena's shine.\I'll sell it to you cheap.\Thank goodness we were able to get a nice one.\I know.\The hem is a little short, so I'll have to fix that later.\Hey...\Will you guys come with me for a bit? response:	Just one sec.
context: It's apparently made to reflect Ena's shine.\I'll sell it to you cheap.\Thank goodness we were able to get a nice one.\I know.\The hem is a little short, so I'll have to fix that later.\Hey...\Will you guys come with me for a bit?\Just one sec. response:	I wonder who that is?
context: I'll sell it to you cheap.\Thank goodness we were able to get a nice one.\I know.\The hem is a little short, so I'll have to fix that later.\Hey...\Will you guys come with me for a bit?\Just one sec.\I wonder who that is? response:	I'm pretty sure that's Tsumugu-kun's mom.
context: Thank goodness we were able to get a nice one.\I know.\The hem is a little short, so I'll have to fix that later.\Hey...\Will you guys come with me for a bit?\Just one sec.\I wonder who that is?\I'm pretty sure that's Tsumugu-kun's mom. response:	Huh?
context: I know.\The hem is a little short, so I'll have to fix that later.\Hey...\Will you guys come with me for a bit?\Just one sec.\I wonder who that is?\I'm pretty sure that's Tsumugu-kun's mom.\Huh? response:	Here, take this. For Grandpa.
context: The hem is a little short, so I'll have to fix that later.\Hey...\Will you guys come with me for a bit?\Just one sec.\I wonder who that is?\I'm pretty sure that's Tsumugu-kun's mom.\Huh?\Here, take this. For Grandpa. response:	Okay...
context: Hey...\Will you guys come with me for a bit?\Just one sec.\I wonder who that is?\I'm pretty sure that's Tsumugu-kun's mom.\Huh?\Here, take this. For Grandpa.\Okay... response:	I'm glad that you seem well.
context: Will you guys come with me for a bit?\Just one sec.\I wonder who that is?\I'm pretty sure that's Tsumugu-kun's mom.\Huh?\Here, take this. For Grandpa.\Okay...\I'm glad that you seem well. response:	How's Grandpa doing?
context: Just one sec.\I wonder who that is?\I'm pretty sure that's Tsumugu-kun's mom.\Huh?\Here, take this. For Grandpa.\Okay...\I'm glad that you seem well.\How's Grandpa doing? response:	The same as usual.
context: I wonder who that is?\I'm pretty sure that's Tsumugu-kun's mom.\Huh?\Here, take this. For Grandpa.\Okay...\I'm glad that you seem well.\How's Grandpa doing?\The same as usual. response:	I see...
context: I'm pretty sure that's Tsumugu-kun's mom.\Huh?\Here, take this. For Grandpa.\Okay...\I'm glad that you seem well.\How's Grandpa doing?\The same as usual.\I see... response:	Hey, do you want to get something to eat?
context: Huh?\Here, take this. For Grandpa.\Okay...\I'm glad that you seem well.\How's Grandpa doing?\The same as usual.\I see...\Hey, do you want to get something to eat? response:	I'm with my friends, so...
context: Here, take this. For Grandpa.\Okay...\I'm glad that you seem well.\How's Grandpa doing?\The same as usual.\I see...\Hey, do you want to get something to eat?\I'm with my friends, so... response:	I see.
context: Okay...\I'm glad that you seem well.\How's Grandpa doing?\The same as usual.\I see...\Hey, do you want to get something to eat?\I'm with my friends, so...\I see. response:	Enjoy.
context: I'm glad that you seem well.\How's Grandpa doing?\The same as usual.\I see...\Hey, do you want to get something to eat?\I'm with my friends, so...\I see.\Enjoy. response:	Thanks.
context: How's Grandpa doing?\The same as usual.\I see...\Hey, do you want to get something to eat?\I'm with my friends, so...\I see.\Enjoy.\Thanks. response:	You know, thanks to Miuna, I realized something.
context: The same as usual.\I see...\Hey, do you want to get something to eat?\I'm with my friends, so...\I see.\Enjoy.\Thanks.\You know, thanks to Miuna, I realized something. response:	You knew of the danger that was coming to the surface,
context: I see...\Hey, do you want to get something to eat?\I'm with my friends, so...\I see.\Enjoy.\Thanks.\You know, thanks to Miuna, I realized something.\You knew of the danger that was coming to the surface, response:	and for the sake of my future...
context: Hey, do you want to get something to eat?\I'm with my friends, so...\I see.\Enjoy.\Thanks.\You know, thanks to Miuna, I realized something.\You knew of the danger that was coming to the surface,\and for the sake of my future... response:	That's why you disapproved of me getting married to Itaru-san, right?
context: I'm with my friends, so...\I see.\Enjoy.\Thanks.\You know, thanks to Miuna, I realized something.\You knew of the danger that was coming to the surface,\and for the sake of my future...\That's why you disapproved of me getting married to Itaru-san, right? response:	Yet I had no idea, and acted like a child.
context: I see.\Enjoy.\Thanks.\You know, thanks to Miuna, I realized something.\You knew of the danger that was coming to the surface,\and for the sake of my future...\That's why you disapproved of me getting married to Itaru-san, right?\Yet I had no idea, and acted like a child. response:	I'm sorry.
context: Enjoy.\Thanks.\You know, thanks to Miuna, I realized something.\You knew of the danger that was coming to the surface,\and for the sake of my future...\That's why you disapproved of me getting married to Itaru-san, right?\Yet I had no idea, and acted like a child.\I'm sorry. response:	After seeing her, I realized something, too.
context: Thanks.\You know, thanks to Miuna, I realized something.\You knew of the danger that was coming to the surface,\and for the sake of my future...\That's why you disapproved of me getting married to Itaru-san, right?\Yet I had no idea, and acted like a child.\I'm sorry.\After seeing her, I realized something, too. response:	Huh?
context: You know, thanks to Miuna, I realized something.\You knew of the danger that was coming to the surface,\and for the sake of my future...\That's why you disapproved of me getting married to Itaru-san, right?\Yet I had no idea, and acted like a child.\I'm sorry.\After seeing her, I realized something, too.\Huh? response:	If there were some way your mother didn't have to leave us forever,
context: You knew of the danger that was coming to the surface,\and for the sake of my future...\That's why you disapproved of me getting married to Itaru-san, right?\Yet I had no idea, and acted like a child.\I'm sorry.\After seeing her, I realized something, too.\Huh?\If there were some way your mother didn't have to leave us forever, response:	I probably would have chosen that.
context: and for the sake of my future...\That's why you disapproved of me getting married to Itaru-san, right?\Yet I had no idea, and acted like a child.\I'm sorry.\After seeing her, I realized something, too.\Huh?\If there were some way your mother didn't have to leave us forever,\I probably would have chosen that. response:	Dad...
context: That's why you disapproved of me getting married to Itaru-san, right?\Yet I had no idea, and acted like a child.\I'm sorry.\After seeing her, I realized something, too.\Huh?\If there were some way your mother didn't have to leave us forever,\I probably would have chosen that.\Dad... response:	How's the Ofunehiki... and the wedding coming along?
context: Yet I had no idea, and acted like a child.\I'm sorry.\After seeing her, I realized something, too.\Huh?\If there were some way your mother didn't have to leave us forever,\I probably would have chosen that.\Dad...\How's the Ofunehiki... and the wedding coming along? response:	Apparently Hikari and the others are taking care of my wardrobe, too.
context: I'm sorry.\After seeing her, I realized something, too.\Huh?\If there were some way your mother didn't have to leave us forever,\I probably would have chosen that.\Dad...\How's the Ofunehiki... and the wedding coming along?\Apparently Hikari and the others are taking care of my wardrobe, too. response:	Everything's so perfect that I don't think I can tease him anymore.
context: After seeing her, I realized something, too.\Huh?\If there were some way your mother didn't have to leave us forever,\I probably would have chosen that.\Dad...\How's the Ofunehiki... and the wedding coming along?\Apparently Hikari and the others are taking care of my wardrobe, too.\Everything's so perfect that I don't think I can tease him anymore. response:	I see.
context: Huh?\If there were some way your mother didn't have to leave us forever,\I probably would have chosen that.\Dad...\How's the Ofunehiki... and the wedding coming along?\Apparently Hikari and the others are taking care of my wardrobe, too.\Everything's so perfect that I don't think I can tease him anymore.\I see. response:	I heard that the Ofunehiki and the hibernation are on the same day.
context: If there were some way your mother didn't have to leave us forever,\I probably would have chosen that.\Dad...\How's the Ofunehiki... and the wedding coming along?\Apparently Hikari and the others are taking care of my wardrobe, too.\Everything's so perfect that I don't think I can tease him anymore.\I see.\I heard that the Ofunehiki and the hibernation are on the same day. response:	It's fine.
context: I probably would have chosen that.\Dad...\How's the Ofunehiki... and the wedding coming along?\Apparently Hikari and the others are taking care of my wardrobe, too.\Everything's so perfect that I don't think I can tease him anymore.\I see.\I heard that the Ofunehiki and the hibernation are on the same day.\It's fine. response:	Watch me be a bride from the sea along with Mom...
context: Dad...\How's the Ofunehiki... and the wedding coming along?\Apparently Hikari and the others are taking care of my wardrobe, too.\Everything's so perfect that I don't think I can tease him anymore.\I see.\I heard that the Ofunehiki and the hibernation are on the same day.\It's fine.\Watch me be a bride from the sea along with Mom... response:	Dad...
context: How's the Ofunehiki... and the wedding coming along?\Apparently Hikari and the others are taking care of my wardrobe, too.\Everything's so perfect that I don't think I can tease him anymore.\I see.\I heard that the Ofunehiki and the hibernation are on the same day.\It's fine.\Watch me be a bride from the sea along with Mom...\Dad... response:	Stop.
context: Apparently Hikari and the others are taking care of my wardrobe, too.\Everything's so perfect that I don't think I can tease him anymore.\I see.\I heard that the Ofunehiki and the hibernation are on the same day.\It's fine.\Watch me be a bride from the sea along with Mom...\Dad...\Stop. response:	You don't have to do that.
context: Everything's so perfect that I don't think I can tease him anymore.\I see.\I heard that the Ofunehiki and the hibernation are on the same day.\It's fine.\Watch me be a bride from the sea along with Mom...\Dad...\Stop.\You don't have to do that. response:	Let me say it.
