context: Don't talk to me anymore! response:	I don't want to have anything to do with you!
context: I'm clearly your saviour!\A manhole without a cover?\Crap! I was thinking too much that I forgot to look in front of me!\I'll definately protect big sister from the impact!\Safe landing\Also you're...\Why do I get hurt everytime I see you?\Our encounter must be ill-fated response:	She's covered in blood!
context: A manhole without a cover?\Crap! I was thinking too much that I forgot to look in front of me!\I'll definately protect big sister from the impact!\Safe landing\Also you're...\Why do I get hurt everytime I see you?\Our encounter must be ill-fated\She's covered in blood! response:	Excuse us! Emergency patient!
context: Crap! I was thinking too much that I forgot to look in front of me!\I'll definately protect big sister from the impact!\Safe landing\Also you're...\Why do I get hurt everytime I see you?\Our encounter must be ill-fated\She's covered in blood!\Excuse us! Emergency patient! response:	Serious head injury! Prepare for surgery!
context: I'll definately protect big sister from the impact!\Safe landing\Also you're...\Why do I get hurt everytime I see you?\Our encounter must be ill-fated\She's covered in blood!\Excuse us! Emergency patient!\Serious head injury! Prepare for surgery! response:	The sewers were really cold
context: Safe landing\Also you're...\Why do I get hurt everytime I see you?\Our encounter must be ill-fated\She's covered in blood!\Excuse us! Emergency patient!\Serious head injury! Prepare for surgery!\The sewers were really cold response:	Not good! The patient!
context: Also you're...\Why do I get hurt everytime I see you?\Our encounter must be ill-fated\She's covered in blood!\Excuse us! Emergency patient!\Serious head injury! Prepare for surgery!\The sewers were really cold\Not good! The patient! response:	It seems...
context: Why do I get hurt everytime I see you?\Our encounter must be ill-fated\She's covered in blood!\Excuse us! Emergency patient!\Serious head injury! Prepare for surgery!\The sewers were really cold\Not good! The patient!\It seems... response:	We're ill-fated after all
context: Our encounter must be ill-fated\She's covered in blood!\Excuse us! Emergency patient!\Serious head injury! Prepare for surgery!\The sewers were really cold\Not good! The patient!\It seems...\We're ill-fated after all response:	It'd be better if we stopped seeing each other
context: She's covered in blood!\Excuse us! Emergency patient!\Serious head injury! Prepare for surgery!\The sewers were really cold\Not good! The patient!\It seems...\We're ill-fated after all\It'd be better if we stopped seeing each other response:	Did you not see what happened that day?
context: Excuse us! Emergency patient!\Serious head injury! Prepare for surgery!\The sewers were really cold\Not good! The patient!\It seems...\We're ill-fated after all\It'd be better if we stopped seeing each other\Did you not see what happened that day? response:	Really?
context: Serious head injury! Prepare for surgery!\The sewers were really cold\Not good! The patient!\It seems...\We're ill-fated after all\It'd be better if we stopped seeing each other\Did you not see what happened that day?\Really? response:	Even the SWAT team was deployed
context: The sewers were really cold\Not good! The patient!\It seems...\We're ill-fated after all\It'd be better if we stopped seeing each other\Did you not see what happened that day?\Really?\Even the SWAT team was deployed response:	SWAT team?
context: Not good! The patient!\It seems...\We're ill-fated after all\It'd be better if we stopped seeing each other\Did you not see what happened that day?\Really?\Even the SWAT team was deployed\SWAT team? response:	Too bad that Yeyan kid got away
context: It seems...\We're ill-fated after all\It'd be better if we stopped seeing each other\Did you not see what happened that day?\Really?\Even the SWAT team was deployed\SWAT team?\Too bad that Yeyan kid got away response:	That day... What really happened?
context: We're ill-fated after all\It'd be better if we stopped seeing each other\Did you not see what happened that day?\Really?\Even the SWAT team was deployed\SWAT team?\Too bad that Yeyan kid got away\That day... What really happened? response:	He... He clearly turned into a bear
context: It'd be better if we stopped seeing each other\Did you not see what happened that day?\Really?\Even the SWAT team was deployed\SWAT team?\Too bad that Yeyan kid got away\That day... What really happened?\He... He clearly turned into a bear response:	And then there was a gang of monsters
context: Did you not see what happened that day?\Really?\Even the SWAT team was deployed\SWAT team?\Too bad that Yeyan kid got away\That day... What really happened?\He... He clearly turned into a bear\And then there was a gang of monsters response:	Who is that kid anyways?
context: Really?\Even the SWAT team was deployed\SWAT team?\Too bad that Yeyan kid got away\That day... What really happened?\He... He clearly turned into a bear\And then there was a gang of monsters\Who is that kid anyways? response:	Did he summon those monsters?
context: Even the SWAT team was deployed\SWAT team?\Too bad that Yeyan kid got away\That day... What really happened?\He... He clearly turned into a bear\And then there was a gang of monsters\Who is that kid anyways?\Did he summon those monsters? response:	Also that scary women...
context: SWAT team?\Too bad that Yeyan kid got away\That day... What really happened?\He... He clearly turned into a bear\And then there was a gang of monsters\Who is that kid anyways?\Did he summon those monsters?\Also that scary women... response:	She effortlessly defeated buff bro
context: Too bad that Yeyan kid got away\That day... What really happened?\He... He clearly turned into a bear\And then there was a gang of monsters\Who is that kid anyways?\Did he summon those monsters?\Also that scary women...\She effortlessly defeated buff bro response:	She's also after Yeyan
context: That day... What really happened?\He... He clearly turned into a bear\And then there was a gang of monsters\Who is that kid anyways?\Did he summon those monsters?\Also that scary women...\She effortlessly defeated buff bro\She's also after Yeyan response:	That sinister feeling
context: He... He clearly turned into a bear\And then there was a gang of monsters\Who is that kid anyways?\Did he summon those monsters?\Also that scary women...\She effortlessly defeated buff bro\She's also after Yeyan\That sinister feeling response:	What is it?
context: And then there was a gang of monsters\Who is that kid anyways?\Did he summon those monsters?\Also that scary women...\She effortlessly defeated buff bro\She's also after Yeyan\That sinister feeling\What is it? response:	Not good! I saw too much!
context: Who is that kid anyways?\Did he summon those monsters?\Also that scary women...\She effortlessly defeated buff bro\She's also after Yeyan\That sinister feeling\What is it?\Not good! I saw too much! response:	Would she try to silence me?
context: Did he summon those monsters?\Also that scary women...\She effortlessly defeated buff bro\She's also after Yeyan\That sinister feeling\What is it?\Not good! I saw too much!\Would she try to silence me? response:	I'm just hallucinating, hallucinating...
context: Also that scary women...\She effortlessly defeated buff bro\She's also after Yeyan\That sinister feeling\What is it?\Not good! I saw too much!\Would she try to silence me?\I'm just hallucinating, hallucinating... response:	Student, do you know where is classroom 3A?
context: She effortlessly defeated buff bro\She's also after Yeyan\That sinister feeling\What is it?\Not good! I saw too much!\Would she try to silence me?\I'm just hallucinating, hallucinating...\Student, do you know where is classroom 3A? response:	Bro!
context: She's also after Yeyan\That sinister feeling\What is it?\Not good! I saw too much!\Would she try to silence me?\I'm just hallucinating, hallucinating...\Student, do you know where is classroom 3A?\Bro! response:	He's passed out?
context: That sinister feeling\What is it?\Not good! I saw too much!\Would she try to silence me?\I'm just hallucinating, hallucinating...\Student, do you know where is classroom 3A?\Bro!\He's passed out? response:	City people are so cowardly
context: What is it?\Not good! I saw too much!\Would she try to silence me?\I'm just hallucinating, hallucinating...\Student, do you know where is classroom 3A?\Bro!\He's passed out?\City people are so cowardly response:	Beauty, he's probably just too excited
context: Not good! I saw too much!\Would she try to silence me?\I'm just hallucinating, hallucinating...\Student, do you know where is classroom 3A?\Bro!\He's passed out?\City people are so cowardly\Beauty, he's probably just too excited response:	3A right? I'll lead the way
context: Would she try to silence me?\I'm just hallucinating, hallucinating...\Student, do you know where is classroom 3A?\Bro!\He's passed out?\City people are so cowardly\Beauty, he's probably just too excited\3A right? I'll lead the way response:	Thank you very much
context: I'm just hallucinating, hallucinating...\Student, do you know where is classroom 3A?\Bro!\He's passed out?\City people are so cowardly\Beauty, he's probably just too excited\3A right? I'll lead the way\Thank you very much response:	Take good care of bro!
context: Student, do you know where is classroom 3A?\Bro!\He's passed out?\City people are so cowardly\Beauty, he's probably just too excited\3A right? I'll lead the way\Thank you very much\Take good care of bro! response:	This way
context: Bro!\He's passed out?\City people are so cowardly\Beauty, he's probably just too excited\3A right? I'll lead the way\Thank you very much\Take good care of bro!\This way response:	Based on experience, this should last for a while
context: He's passed out?\City people are so cowardly\Beauty, he's probably just too excited\3A right? I'll lead the way\Thank you very much\Take good care of bro!\This way\Based on experience, this should last for a while response:	I better get to class!
context: City people are so cowardly\Beauty, he's probably just too excited\3A right? I'll lead the way\Thank you very much\Take good care of bro!\This way\Based on experience, this should last for a while\I better get to class! response:	Quiet, quiet!
context: Beauty, he's probably just too excited\3A right? I'll lead the way\Thank you very much\Take good care of bro!\This way\Based on experience, this should last for a while\I better get to class!\Quiet, quiet! response:	Listen up, This is our new beautiful girl student!
context: 3A right? I'll lead the way\Thank you very much\Take good care of bro!\This way\Based on experience, this should last for a while\I better get to class!\Quiet, quiet!\Listen up, This is our new beautiful girl student! response:	(she's our goddess!)
context: Thank you very much\Take good care of bro!\This way\Based on experience, this should last for a while\I better get to class!\Quiet, quiet!\Listen up, This is our new beautiful girl student!\(she's our goddess!) response:	Student, why don't you introduce yourself?
context: Take good care of bro!\This way\Based on experience, this should last for a while\I better get to class!\Quiet, quiet!\Listen up, This is our new beautiful girl student!\(she's our goddess!)\Student, why don't you introduce yourself? response:	Hello everyone, I just transferred here...
context: This way\Based on experience, this should last for a while\I better get to class!\Quiet, quiet!\Listen up, This is our new beautiful girl student!\(she's our goddess!)\Student, why don't you introduce yourself?\Hello everyone, I just transferred here... response:	Who's knocking on the board?
context: Based on experience, this should last for a while\I better get to class!\Quiet, quiet!\Listen up, This is our new beautiful girl student!\(she's our goddess!)\Student, why don't you introduce yourself?\Hello everyone, I just transferred here...\Who's knocking on the board? response:	New student? Don't you know it's nap time?
context: I better get to class!\Quiet, quiet!\Listen up, This is our new beautiful girl student!\(she's our goddess!)\Student, why don't you introduce yourself?\Hello everyone, I just transferred here...\Who's knocking on the board?\New student? Don't you know it's nap time? response:	It's been a while since I had a good nap
context: Quiet, quiet!\Listen up, This is our new beautiful girl student!\(she's our goddess!)\Student, why don't you introduce yourself?\Hello everyone, I just transferred here...\Who's knocking on the board?\New student? Don't you know it's nap time?\It's been a while since I had a good nap response:	It's all your fault!
context: Listen up, This is our new beautiful girl student!\(she's our goddess!)\Student, why don't you introduce yourself?\Hello everyone, I just transferred here...\Who's knocking on the board?\New student? Don't you know it's nap time?\It's been a while since I had a good nap\It's all your fault! response:	So who is this new student anyways?
context: (she's our goddess!)\Student, why don't you introduce yourself?\Hello everyone, I just transferred here...\Who's knocking on the board?\New student? Don't you know it's nap time?\It's been a while since I had a good nap\It's all your fault!\So who is this new student anyways? response:	Is she really that exciting?
context: Student, why don't you introduce yourself?\Hello everyone, I just transferred here...\Who's knocking on the board?\New student? Don't you know it's nap time?\It's been a while since I had a good nap\It's all your fault!\So who is this new student anyways?\Is she really that exciting? response:	The heavens must be corrupt...
context: Hello everyone, I just transferred here...\Who's knocking on the board?\New student? Don't you know it's nap time?\It's been a while since I had a good nap\It's all your fault!\So who is this new student anyways?\Is she really that exciting?\The heavens must be corrupt... response:	We meet again...
context: Who's knocking on the board?\New student? Don't you know it's nap time?\It's been a while since I had a good nap\It's all your fault!\So who is this new student anyways?\Is she really that exciting?\The heavens must be corrupt...\We meet again... response:	(do they know each other?)
context: New student? Don't you know it's nap time?\It's been a while since I had a good nap\It's all your fault!\So who is this new student anyways?\Is she really that exciting?\The heavens must be corrupt...\We meet again...\(do they know each other?) response:	You!
context: It's been a while since I had a good nap\It's all your fault!\So who is this new student anyways?\Is she really that exciting?\The heavens must be corrupt...\We meet again...\(do they know each other?)\You! response:	Did those things to me!
context: It's all your fault!\So who is this new student anyways?\Is she really that exciting?\The heavens must be corrupt...\We meet again...\(do they know each other?)\You!\Did those things to me! response:	(those things?)
context: So who is this new student anyways?\Is she really that exciting?\The heavens must be corrupt...\We meet again...\(do they know each other?)\You!\Did those things to me!\(those things?) response:	Caused me those types of harm!
context: Is she really that exciting?\The heavens must be corrupt...\We meet again...\(do they know each other?)\You!\Did those things to me!\(those things?)\Caused me those types of harm! response:	(those types of harm?)
context: The heavens must be corrupt...\We meet again...\(do they know each other?)\You!\Did those things to me!\(those things?)\Caused me those types of harm!\(those types of harm?) response:	Do you think you can get away with this?
context: We meet again...\(do they know each other?)\You!\Did those things to me!\(those things?)\Caused me those types of harm!\(those types of harm?)\Do you think you can get away with this? response:	Um...
context: (do they know each other?)\You!\Did those things to me!\(those things?)\Caused me those types of harm!\(those types of harm?)\Do you think you can get away with this?\Um... response:	BYE!
context: You!\Did those things to me!\(those things?)\Caused me those types of harm!\(those types of harm?)\Do you think you can get away with this?\Um...\BYE! response:	Are you just going to run away?
context: Did those things to me!\(those things?)\Caused me those types of harm!\(those types of harm?)\Do you think you can get away with this?\Um...\BYE!\Are you just going to run away? response:	As a man you must take responsibility!
context: (those things?)\Caused me those types of harm!\(those types of harm?)\Do you think you can get away with this?\Um...\BYE!\Are you just going to run away?\As a man you must take responsibility! response:	(dahm you yeyan! go to hell!)
context: Caused me those types of harm!\(those types of harm?)\Do you think you can get away with this?\Um...\BYE!\Are you just going to run away?\As a man you must take responsibility!\(dahm you yeyan! go to hell!) response:	(how dare you violate our goddess)
context: (those types of harm?)\Do you think you can get away with this?\Um...\BYE!\Are you just going to run away?\As a man you must take responsibility!\(dahm you yeyan! go to hell!)\(how dare you violate our goddess) response:	I'm wrong big sis, please forgive me!
context: Do you think you can get away with this?\Um...\BYE!\Are you just going to run away?\As a man you must take responsibility!\(dahm you yeyan! go to hell!)\(how dare you violate our goddess)\I'm wrong big sis, please forgive me! response:	At least spare my underwear
context: Um...\BYE!\Are you just going to run away?\As a man you must take responsibility!\(dahm you yeyan! go to hell!)\(how dare you violate our goddess)\I'm wrong big sis, please forgive me!\At least spare my underwear response:	Lowly commoner
context: BYE!\Are you just going to run away?\As a man you must take responsibility!\(dahm you yeyan! go to hell!)\(how dare you violate our goddess)\I'm wrong big sis, please forgive me!\At least spare my underwear\Lowly commoner response:	I wasn't even supposed to notice you
context: Are you just going to run away?\As a man you must take responsibility!\(dahm you yeyan! go to hell!)\(how dare you violate our goddess)\I'm wrong big sis, please forgive me!\At least spare my underwear\Lowly commoner\I wasn't even supposed to notice you response:	But you hospitalized me twice in one week
context: As a man you must take responsibility!\(dahm you yeyan! go to hell!)\(how dare you violate our goddess)\I'm wrong big sis, please forgive me!\At least spare my underwear\Lowly commoner\I wasn't even supposed to notice you\But you hospitalized me twice in one week response:	The second time wasn't my fault!
context: (dahm you yeyan! go to hell!)\(how dare you violate our goddess)\I'm wrong big sis, please forgive me!\At least spare my underwear\Lowly commoner\I wasn't even supposed to notice you\But you hospitalized me twice in one week\The second time wasn't my fault! response:	SHUT IT!
context: (how dare you violate our goddess)\I'm wrong big sis, please forgive me!\At least spare my underwear\Lowly commoner\I wasn't even supposed to notice you\But you hospitalized me twice in one week\The second time wasn't my fault!\SHUT IT! response:	Do you know the cost of medical treatment?
context: I'm wrong big sis, please forgive me!\At least spare my underwear\Lowly commoner\I wasn't even supposed to notice you\But you hospitalized me twice in one week\The second time wasn't my fault!\SHUT IT!\Do you know the cost of medical treatment? response:	I've used up all my savings!
context: At least spare my underwear\Lowly commoner\I wasn't even supposed to notice you\But you hospitalized me twice in one week\The second time wasn't my fault!\SHUT IT!\Do you know the cost of medical treatment?\I've used up all my savings! response:	I don't even have enough to eat!
context: Lowly commoner\I wasn't even supposed to notice you\But you hospitalized me twice in one week\The second time wasn't my fault!\SHUT IT!\Do you know the cost of medical treatment?\I've used up all my savings!\I don't even have enough to eat! response:	Maybe it's...
context: I wasn't even supposed to notice you\But you hospitalized me twice in one week\The second time wasn't my fault!\SHUT IT!\Do you know the cost of medical treatment?\I've used up all my savings!\I don't even have enough to eat!\Maybe it's... response:	I think it's the doctor who's at fault...
context: But you hospitalized me twice in one week\The second time wasn't my fault!\SHUT IT!\Do you know the cost of medical treatment?\I've used up all my savings!\I don't even have enough to eat!\Maybe it's...\I think it's the doctor who's at fault... response:	The punishment is...
context: The second time wasn't my fault!\SHUT IT!\Do you know the cost of medical treatment?\I've used up all my savings!\I don't even have enough to eat!\Maybe it's...\I think it's the doctor who's at fault...\The punishment is... response:	Allow me to live with you!
context: SHUT IT!\Do you know the cost of medical treatment?\I've used up all my savings!\I don't even have enough to eat!\Maybe it's...\I think it's the doctor who's at fault...\The punishment is...\Allow me to live with you! response:	Huh?
context: Do you know the cost of medical treatment?\I've used up all my savings!\I don't even have enough to eat!\Maybe it's...\I think it's the doctor who's at fault...\The punishment is...\Allow me to live with you!\Huh? response:	I have to take care of you?
context: I've used up all my savings!\I don't even have enough to eat!\Maybe it's...\I think it's the doctor who's at fault...\The punishment is...\Allow me to live with you!\Huh?\I have to take care of you? response:	(I'll take care of you!)
context: I don't even have enough to eat!\Maybe it's...\I think it's the doctor who's at fault...\The punishment is...\Allow me to live with you!\Huh?\I have to take care of you?\(I'll take care of you!) response:	(why does it have to be this way!)
context: Maybe it's...\I think it's the doctor who's at fault...\The punishment is...\Allow me to live with you!\Huh?\I have to take care of you?\(I'll take care of you!)\(why does it have to be this way!) response:	(my goddess! die yeyan!)
context: I think it's the doctor who's at fault...\The punishment is...\Allow me to live with you!\Huh?\I have to take care of you?\(I'll take care of you!)\(why does it have to be this way!)\(my goddess! die yeyan!) response:	(I'll kill him!)
context: The punishment is...\Allow me to live with you!\Huh?\I have to take care of you?\(I'll take care of you!)\(why does it have to be this way!)\(my goddess! die yeyan!)\(I'll kill him!) response:	(why can't it be me!)
context: Allow me to live with you!\Huh?\I have to take care of you?\(I'll take care of you!)\(why does it have to be this way!)\(my goddess! die yeyan!)\(I'll kill him!)\(why can't it be me!) response:	Come in
context: Huh?\I have to take care of you?\(I'll take care of you!)\(why does it have to be this way!)\(my goddess! die yeyan!)\(I'll kill him!)\(why can't it be me!)\Come in response:	Headmaster, the new Stray Spirit has arrived
context: I have to take care of you?\(I'll take care of you!)\(why does it have to be this way!)\(my goddess! die yeyan!)\(I'll kill him!)\(why can't it be me!)\Come in\Headmaster, the new Stray Spirit has arrived response:	That's great, the heavens have finally responded
context: (I'll take care of you!)\(why does it have to be this way!)\(my goddess! die yeyan!)\(I'll kill him!)\(why can't it be me!)\Come in\Headmaster, the new Stray Spirit has arrived\That's great, the heavens have finally responded response:	This generation can be saved
context: (why does it have to be this way!)\(my goddess! die yeyan!)\(I'll kill him!)\(why can't it be me!)\Come in\Headmaster, the new Stray Spirit has arrived\That's great, the heavens have finally responded\This generation can be saved response:	Then I'll find some one to show them around
context: (my goddess! die yeyan!)\(I'll kill him!)\(why can't it be me!)\Come in\Headmaster, the new Stray Spirit has arrived\That's great, the heavens have finally responded\This generation can be saved\Then I'll find some one to show them around response:	Wait, don't rush, we'll observe them for a while
context: (I'll kill him!)\(why can't it be me!)\Come in\Headmaster, the new Stray Spirit has arrived\That's great, the heavens have finally responded\This generation can be saved\Then I'll find some one to show them around\Wait, don't rush, we'll observe them for a while response:	A censorate must adapt to all environments
context: (why can't it be me!)\Come in\Headmaster, the new Stray Spirit has arrived\That's great, the heavens have finally responded\This generation can be saved\Then I'll find some one to show them around\Wait, don't rush, we'll observe them for a while\A censorate must adapt to all environments response:	Bring order to all worlds
context: Come in\Headmaster, the new Stray Spirit has arrived\That's great, the heavens have finally responded\This generation can be saved\Then I'll find some one to show them around\Wait, don't rush, we'll observe them for a while\A censorate must adapt to all environments\Bring order to all worlds response:	They must be able to fit in on their own
context: Headmaster, the new Stray Spirit has arrived\That's great, the heavens have finally responded\This generation can be saved\Then I'll find some one to show them around\Wait, don't rush, we'll observe them for a while\A censorate must adapt to all environments\Bring order to all worlds\They must be able to fit in on their own response:	Newer censorates must learn the ways of the present
context: That's great, the heavens have finally responded\This generation can be saved\Then I'll find some one to show them around\Wait, don't rush, we'll observe them for a while\A censorate must adapt to all environments\Bring order to all worlds\They must be able to fit in on their own\Newer censorates must learn the ways of the present response:	If they can't even do that, then they'll just have to be replaced
context: This generation can be saved\Then I'll find some one to show them around\Wait, don't rush, we'll observe them for a while\A censorate must adapt to all environments\Bring order to all worlds\They must be able to fit in on their own\Newer censorates must learn the ways of the present\If they can't even do that, then they'll just have to be replaced response:	(laowang, it's your turn)
context: Then I'll find some one to show them around\Wait, don't rush, we'll observe them for a while\A censorate must adapt to all environments\Bring order to all worlds\They must be able to fit in on their own\Newer censorates must learn the ways of the present\If they can't even do that, then they'll just have to be replaced\(laowang, it's your turn) response:	Sigh... this is troublesome
context: Wait, don't rush, we'll observe them for a while\A censorate must adapt to all environments\Bring order to all worlds\They must be able to fit in on their own\Newer censorates must learn the ways of the present\If they can't even do that, then they'll just have to be replaced\(laowang, it's your turn)\Sigh... this is troublesome response:	When everything is wrong, only art remains pure
context: A censorate must adapt to all environments\Bring order to all worlds\They must be able to fit in on their own\Newer censorates must learn the ways of the present\If they can't even do that, then they'll just have to be replaced\(laowang, it's your turn)\Sigh... this is troublesome\When everything is wrong, only art remains pure response:	Hey, can you eat this?
context: Bring order to all worlds\They must be able to fit in on their own\Newer censorates must learn the ways of the present\If they can't even do that, then they'll just have to be replaced\(laowang, it's your turn)\Sigh... this is troublesome\When everything is wrong, only art remains pure\Hey, can you eat this? response:	Big sis, you should wear more, it'll be troubling if people saw us like this
context: They must be able to fit in on their own\Newer censorates must learn the ways of the present\If they can't even do that, then they'll just have to be replaced\(laowang, it's your turn)\Sigh... this is troublesome\When everything is wrong, only art remains pure\Hey, can you eat this?\Big sis, you should wear more, it'll be troubling if people saw us like this response:	I'm used to this
context: Newer censorates must learn the ways of the present\If they can't even do that, then they'll just have to be replaced\(laowang, it's your turn)\Sigh... this is troublesome\When everything is wrong, only art remains pure\Hey, can you eat this?\Big sis, you should wear more, it'll be troubling if people saw us like this\I'm used to this response:	(laowang, what happened?)
context: If they can't even do that, then they'll just have to be replaced\(laowang, it's your turn)\Sigh... this is troublesome\When everything is wrong, only art remains pure\Hey, can you eat this?\Big sis, you should wear more, it'll be troubling if people saw us like this\I'm used to this\(laowang, what happened?) response:	Old people can't withstand stimulation
context: (laowang, it's your turn)\Sigh... this is troublesome\When everything is wrong, only art remains pure\Hey, can you eat this?\Big sis, you should wear more, it'll be troubling if people saw us like this\I'm used to this\(laowang, what happened?)\Old people can't withstand stimulation response:	(laowang, you have to hold on!)
context: Sigh... this is troublesome\When everything is wrong, only art remains pure\Hey, can you eat this?\Big sis, you should wear more, it'll be troubling if people saw us like this\I'm used to this\(laowang, what happened?)\Old people can't withstand stimulation\(laowang, you have to hold on!) response:	It's a Xiahou student
context: When everything is wrong, only art remains pure\Hey, can you eat this?\Big sis, you should wear more, it'll be troubling if people saw us like this\I'm used to this\(laowang, what happened?)\Old people can't withstand stimulation\(laowang, you have to hold on!)\It's a Xiahou student response:	He's got quite a bit of life force, he'll make a nice component
context: Hey, can you eat this?\Big sis, you should wear more, it'll be troubling if people saw us like this\I'm used to this\(laowang, what happened?)\Old people can't withstand stimulation\(laowang, you have to hold on!)\It's a Xiahou student\He's got quite a bit of life force, he'll make a nice component response:	This is...
context: Big sis, you should wear more, it'll be troubling if people saw us like this\I'm used to this\(laowang, what happened?)\Old people can't withstand stimulation\(laowang, you have to hold on!)\It's a Xiahou student\He's got quite a bit of life force, he'll make a nice component\This is... response:	Urine?
context: I'm used to this\(laowang, what happened?)\Old people can't withstand stimulation\(laowang, you have to hold on!)\It's a Xiahou student\He's got quite a bit of life force, he'll make a nice component\This is...\Urine? response:	I'll have to look into this
context: (laowang, what happened?)\Old people can't withstand stimulation\(laowang, you have to hold on!)\It's a Xiahou student\He's got quite a bit of life force, he'll make a nice component\This is...\Urine?\I'll have to look into this response:	Where am I? So thirsty...
context: Old people can't withstand stimulation\(laowang, you have to hold on!)\It's a Xiahou student\He's got quite a bit of life force, he'll make a nice component\This is...\Urine?\I'll have to look into this\Where am I? So thirsty... response:	F*ck! What are you doing!?
context: (laowang, you have to hold on!)\It's a Xiahou student\He's got quite a bit of life force, he'll make a nice component\This is...\Urine?\I'll have to look into this\Where am I? So thirsty...\F*ck! What are you doing!? response:	Your awake?
context: It's a Xiahou student\He's got quite a bit of life force, he'll make a nice component\This is...\Urine?\I'll have to look into this\Where am I? So thirsty...\F*ck! What are you doing!?\Your awake? response:	This student is all grown
context: He's got quite a bit of life force, he'll make a nice component\This is...\Urine?\I'll have to look into this\Where am I? So thirsty...\F*ck! What are you doing!?\Your awake?\This student is all grown response:	How could you pee in public?
context: This is...\Urine?\I'll have to look into this\Where am I? So thirsty...\F*ck! What are you doing!?\Your awake?\This student is all grown\How could you pee in public? response:	MONSTER!
